Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,LELB
9,0.00212428,0.00147494,0.00982542,0.0187401,0.00576016,0.0036871,0,0,0,0.0190844,0.00107948,0.0411032,0.0069213,0.0253823,0.0091562,0.0063881,0.00168531,0.0129368,0.0135178,0.0124915,0.0337611,0.00484556,0.00465238,0.00351711,0.0134589,0.0101796,0.00219291,0.00441768,0.00137806,0.0158706,0.0182496,0.0118841,0.0126806,0.00479082,0,0,0.00300902,0,0.015832,0.00124261,0.0360631,0.0225517,0.0312936,0.0169659,0.0133453,0.00477085,0.00322059,0.021792,0.00659416,0.00795672,0.0144947,0.0371781,0.0110325,0.0177784,0.0205828,0.00112913,0.00126434,0.000781066,0.00313938,0.00437227,0,0,0,0,0,0.00291894
10,0.00253091,0.0010622,0.00962397,0.0168041,0.00549808,0.00349791,0,0,0,0.0204871,0.00263245,0.0410662,0.00666127,0.0258532,0.0096583,0.00636508,0.00109233,0.0125053,0.0138238,0.013204,0.03392,0.0048935,0.00409322,0.00356198,0.0139822,0.0102108,0.00268503,0,0.00396353,0.0153625,0.0180817,0.0113073,0.0127639,0.00441864,0,0,0.00180925,0,0.0158934,0.000977513,0.0360854,0.0228873,0.0310489,0.0162636,0.013351,0.00330495,0.00337716,0.0218241,0.00638363,0.00812073,0.0143262,0.0368967,0.010808,0.0176413,0.0206717,0.00200233,0.00199644,0.00108491,0.00238535,0.00434811,0,0,0,0,0,0.00138177
11,0.00188102,0.00136026,0.00953108,0.0187854,0.00608197,0.00360646,0,0,0,0.0191222,0.00138626,0.0408265,0.008556,0.0262324,0.00947746,0.00634814,0.00207138,0.0116269,0.0136696,0.0138576,0.0341123,0.00465181,0.00325789,0.00309897,0.0140395,0.0102106,0.00239035,0.00450511,0.001463,0.014787,0.0182477,0.0108008,0.0127836,0.0041405,0,0,0.00261671,0,0.0159306,0.00100867,0.0360787,0.0234072,0.0308499,0.0154121,0.0133319,0.00462894,0.00343859,0.0218396,0.00604317,0.0080924,0.0141148,0.0365438,0.0105849,0.017529,0.0207093,0.00123225,0.00174953,0.000912119,0.0031965,0.0043075,0,0,0,0,0,0.00304824
12,0.00194342,0.00125103,0.00911673,0.0188772,0.00622039,0.00399953,0,0,0,0.0190989,0.00157569,0.040496,0.0102815,0.0263032,0.00872502,0.00641928,0.00213287,0.0107186,0.0130909,0.0139763,0.0341896,0.00416032,0.00296374,0.00297743,0.0137968,0.00991755,0.00263544,0.0046496,0.0014408,0.0139949,0.0181883,0.0103011,0.012772,0.0038898,0,0,0.00276278,0,0.0159271,0.00108151,0.036079,0.0242602,0.0306064,0.0140926,0.0135206,0.00462572,0.00341546,0.0218328,0.0053574,0.00791537,0.0140462,0.0361463,0.0104146,0.0177323,0.0209812,0.00119515,0.00208403,0.000861602,0.00318023,0.00444627,0,0,0,0,0,0.00354043
13,0.00205009,0.00131267,0.00927405,0.0192115,0.00563054,0.00397842,0,0,0,0.018942,0.00191823,0.0401779,0.00957537,0.0261897,0.00772953,0.00647782,0.00226652,0.00985839,0.0120131,0.0132601,0.0337873,0.00394479,0.00327968,0.00318086,0.0133569,0.00993063,0.00277517,0.00498742,0.00167938,0.0131194,0.0181595,0.0102379,0.012687,0.00375072,0,0,0.00263539,0,0.0158886,0.00115037,0.0359298,0.0255028,0.0303246,0.0127166,0.0137969,0.00462869,0.00326632,0.0218824,0.00468763,0.00768481,0.014154,0.0356924,0.0103357,0.0181933,0.0212367,0.00137746,0.00228053,0.000819953,0.00328704,0.00460598,0,0,0,0,0,0.00405066
14,0.00225876,0.00121904,0.0106981,0.0191412,0.00543871,0.00383634,0,0,0,0.0190964,0.00170832,0.0398399,0.00791125,0.0260119,0.00693831,0.00648157,0.00209896,0.00867145,0.0102993,0.0117914,0.032673,0.00413537,0.00379533,0.00349705,0.0128602,0.0108184,0.00253513,0.00483006,0.00148697,0.0122529,0.018174,0.010671,0.0125053,0.0037682,0,0,0.00241221,0,0.0159009,0.00114144,0.0357239,0.0268253,0.0299986,0.0114347,0.01417,0.00452092,0.00306326,0.0220415,0.00417345,0.00744683,0.0143629,0.0351657,0.0104203,0.0188046,0.0213689,0.00154742,0.00248498,0.000841938,0.00317315,0.00480846,0,0,0,0,0,0.0038608
15,0.0023662,0.00104288,0.0129913,0.0191447,0.00642129,0.00397716,0,0,0,0.0192771,0.00148972,0.0395158,0.00859916,0.0258289,0.0063732,0.00644752,0.00199641,0.0071256,0.00808868,0.00971315,0.0309606,0.00463532,0.00429787,0.0038639,0.0123853,0.0123467,0.00217814,0.00469074,0.00131596,0.0113351,0.0182189,0.0116109,0.0123033,0.00382336,0,0,0.00218878,0,0.0159317,0.00112832,0.0355611,0.0282524,0.0296249,0.0103325,0.0146147,0.00448287,0.0029303,0.0222654,0.00387144,0.00724832,0.0146088,0.0345106,0.0107681,0.0194691,0.02144,0.00168577,0.00277125,0.000859663,0.00308191,0.00494711,0,0,0,0,0,0.00358579
16,0.00236318,0.000871149,0.0155255,0.019132,0.00845603,0.00411768,0,0,0,0.0193227,0.00136088,0.0392208,0.0109854,0.0257755,0.00609233,0.00630304,0.00195328,0.00540542,0.00624215,0.0076517,0.02918,0.0054028,0.00507125,0.00414974,0.0118553,0.0143801,0.00186207,0.00466389,0.00124087,0.0103687,0.0182223,0.0129516,0.012031,0.00380189,0,0,0.00187801,0,0.0159389,0.00115144,0.0355086,0.0300391,0.0292027,0.009431,0.0150199,0.00434734,0.00286017,0.0224764,0.00380465,0.00706681,0.0148721,0.0337921,0.011397,0.0200813,0.0215062,0.0020095,0.00287153,0.000856879,0.00296471,0.00504194,0,0,0,0,0,0.00343627
17,0.00224895,0.000874029,0.016249,0.0191434,0.0102772,0.0040119,0,0,0,0.0191926,0.00143282,0.0389379,0.0125563,0.0258631,0.00646976,0.0060221,0.001979,0.00376438,0.00523231,0.00639964,0.0277238,0.00631261,0.00583173,0.00403965,0.0112224,0.0150993,0.00172559,0.00476898,0.00125366,0.00929799,0.0182247,0.014718,0.0117286,0.0036232,0,0,0.0017026,0,0.0159473,0.00120392,0.0355039,0.0319523,0.0287338,0.00865806,0.0152979,0.00419125,0.00281065,0.0226421,0.0039804,0.00686279,0.0151532,0.0330165,0.0119495,0.0207499,0.0213973,0.00236528,0.00302622,0.000897984,0.00295431,0.00506428,0,0,0,0,0,0.00345077
18,0.00208333,0.000854701,0.0142141,0.019122,0.00998337,0.00401095,0,0,0,0.0191437,0.00156601,0.0386154,0.0125841,0.0260587,0.00778611,0.00529515,0.00217457,0.00226058,0.00557515,0.00655395,0.0268887,0.00664865,0.00604449,0.00355124,0.0107426,0.0134059,0.00146448,0.00468788,0.00130723,0.00820804,0.0181989,0.0170516,0.0111643,0.00262475,0,0,0.00181565,0,0.0159884,0.00134393,0.0355452,0.034509,0.0281985,0.00780813,0.0148342,0.00332633,0.00261555,0.0229349,0.00445644,0.00638369,0.0157132,0.0321937,0.0124612,0.0216732,0.0208893,0.00259739,0.00328247,0.000922735,0.00252459,0.00465866,0,0,0,0,0,0.00339086
