Timestep,C7,CLAV,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,LASI
All Timesteps RMSE,0.0154164,0.0181584,0.0308364,0.0223046,0.0160235,0,0,0.0130987,0,0.0164941,0.00861573,0.0342818,0.0187338,0.0246818,0.0117985,0.00880527,0.0297687,0.0119721,0.0157109,0.0128044,0.0270795,0.00928293,0.0133269,0.00697369,0.0126127,0.0384237,0.010414,0.00540584,0.00799793,0.0216695,0.0187608,0.0231381,0.00917205,0.0241485,0,0,0.0118806,0,0.014641,0.00708134,0.0378568,0.0268882,0.0309407,0.0131328,0.0114711,0.0326093,0.00828833,0.0147099,0.00924049,0.0106703,0.014314,0.030114,0.015416,0.0169579,0.0255857,0.0184423,0.00212903,0.00334552,0.0269296,0.021945,0,0,0,0,0,0.00711314
0,0.0503346,0.0356898,0.0333089,0.0510685,0.0203994,0,0,0.0752435,0,0.0463015,0.06648,0.0285586,0.0345552,0.0226124,0.0278294,0.00773113,0.0666115,0.0261356,0.028376,0.0294619,0.0339721,0.0121434,0.00689491,0.00331459,0.0144979,0.0364703,0.0465825,0.0581319,0.0449732,0.0246509,0.0192502,0.02525,0.00431529,0.0535318,0,0,0.0142986,0,0.01477,0.00792202,0.0358813,0.0240204,0.0374894,0.00597825,0.00734727,0.0489278,0.00734594,0.0119601,0.00894794,0.00829265,0.00672354,0.0342137,0.013686,0.00916636,0.0285076,0.0240986,0.00267732,0.00301712,0.0572534,0.0481966,0,0,0,0,0,0
1,0.0111834,0.0174803,0,0.0213287,0.0223284,0,0,0.0231744,0,0.0163158,0.0127811,0.0283717,0.0310922,0.0241899,0.0147861,0.00820048,0.0193627,0.0184403,0.0177033,0.0219899,0.0325826,0.00437681,0.00558135,0.00389614,0.0153089,0.0451681,0.0114475,0,0.00692524,0.022121,0.0190448,0.0240161,0.00497364,0.0234879,0,0,0.01272,0,0.0146658,0.00707181,0.0360025,0.0234495,0.0356845,0.00750144,0.00847819,0.0363815,0.00719232,0.0123831,0.00760015,0.00773704,0.00750577,0.0348924,0.0141224,0.00935268,0.0262316,0.0191894,0.00222316,0.00314303,0.0275948,0.0151646,0,0,0,0,0,0
2,0.0115795,0.0153706,0.0393755,0.0248091,0.0212051,0,0,0.0132303,0,0.014343,0.00848215,0.0285511,0.0269999,0.0243265,0.0131614,0.00683662,0.0209145,0.0176184,0.0168431,0.0213829,0.0322534,0.0054324,0.00730035,0.00457544,0.0167736,0.0469173,0.00433956,0.0068468,0.00674157,0.0210651,0.0190825,0.023576,0.00507935,0.0224738,0,0,0.0124352,0,0.0146363,0.00694603,0.0358511,0.0232881,0.0359322,0.00839923,0.00754521,0.0345448,0.00746667,0.0121173,0.00717475,0.00791861,0.00782298,0.0345587,0.0140947,0.00969615,0.0255216,0.0183725,0.00224134,0.00313933,0.0248013,0.0143142,0,0,0,0,0,0
3,0.00958998,0.0151976,0.0416199,0.0226062,0.0229402,0,0,0.0144772,0,0.0151481,0.0081656,0.0285612,0.0256832,0.0240691,0.012297,0.00743002,0.0188134,0.0172589,0.0166558,0.0211618,0.0319753,0.00643669,0.00896087,0.00556216,0.0174006,0.0498453,0.00704322,0.00200694,0.00608097,0.0204004,0.0189866,0.0230274,0.00589685,0.0211864,0,0,0.0118653,0,0.0147223,0.00672607,0.0357141,0.0226999,0.0357462,0.00941955,0.00870878,0.0343034,0.00788297,0.0120395,0.00691672,0.0081503,0.00811816,0.0343667,0.0140851,0.0098756,0.0248314,0.0182025,0.00239178,0.00298778,0.0235936,0.0130225,0,0,0,0,0,0
4,0.00901677,0.014987,0.0431452,0.0221719,0.0242371,0,0,0.0148742,0,0.0155287,0.00801607,0.0287702,0.0248394,0.0238618,0.0113037,0.00815157,0.0181966,0.0169114,0.016463,0.0209279,0.0317152,0.00733974,0.010596,0.00630922,0.0178798,0.0523545,0.00810396,0.00124007,0.00615671,0.0197019,0.0189706,0.0225446,0.00666039,0.0204677,0,0,0.0117279,0,0.014674,0.00663939,0.0355712,0.0222581,0.0355619,0.0106266,0.00989535,0.0339259,0.00826957,0.0120353,0.00676513,0.00837992,0.0086863,0.0341864,0.0141009,0.0103972,0.0241559,0.0181362,0.00231004,0.00288561,0.0230178,0.0132122,0,0,0,0,0,0.00670605
5,0.00868696,0.0148078,0.0441121,0.0219749,0.0251619,0,0,0.0151786,0,0.0156624,0.00799928,0.0289095,0.024676,0.0238201,0.0103113,0.00919656,0.0176545,0.0166146,0.0161465,0.0206412,0.0315694,0.0081127,0.0119005,0.00693954,0.0182231,0.0539509,0.00878389,0.000997915,0.00634433,0.0190386,0.0188433,0.0219024,0.00744974,0.0200062,0,0,0.0117192,0,0.01453,0.00657661,0.0355945,0.02139,0.035474,0.0119443,0.0112632,0.0336829,0.00858114,0.0121439,0.00673446,0.00860163,0.00920952,0.0339626,0.0140322,0.0108386,0.0233367,0.018247,0.00237425,0.00267272,0.0224797,0.0135553,0,0,0,0,0,0.00715167
6,0.0114279,0.0133616,0.0443193,0.0263805,0.0258009,0,0,0.0114913,0,0.0140188,0.00793736,0.0287935,0.0247874,0.0242136,0.00974152,0.00924547,0.0191929,0.0165101,0.0160839,0.0202864,0.0316279,0.00858184,0.0127258,0.00737802,0.0183854,0.0543621,0.00457516,0.00924041,0.00728919,0.0179493,0.018993,0.0207169,0.00828053,0.0208739,0,0,0.0119673,0,0.0144274,0.00676835,0.035653,0.0199978,0.0356766,0.0137313,0.0115406,0.0326493,0.00897445,0.0122839,0.0068357,0.00899202,0.00977893,0.0335921,0.0138766,0.0110552,0.0218676,0.0180265,0.00242821,0.00252981,0.0218924,0.0154833,0,0,0,0,0,0
7,0.00818025,0.0141679,0,0.0214742,0.0287454,0,0,0.0144217,0,0.0161271,0.0074332,0.0284428,0.0276604,0.0244877,0.00958764,0.0105538,0.0170731,0.0165697,0.0161977,0.0200161,0.0312545,0.00874709,0.0137796,0.00814802,0.0175023,0.0563134,0.00900298,0,0.0062949,0.017962,0.0188741,0.0200221,0.00906698,0.0197178,0,0,0.0119691,0,0.0145781,0.00687897,0.0360212,0.0185683,0.0351848,0.0145353,0.0133366,0.0334456,0.00908937,0.0125016,0.00694357,0.00909698,0.00974868,0.0334405,0.0137661,0.0105788,0.021181,0.0187527,0.00284755,0.00243042,0.0214272,0.0138527,0,0,0,0,0,0
8,0.03793,0.0240384,0,0.0551463,0.0280556,0,0,0.047704,0,0.0378768,0.0475754,0.0281534,0.0263503,0.0247877,0.00868362,0.00707909,0.0498332,0.015737,0.0156514,0.0192147,0.0305329,0.00925182,0.0150154,0.00874483,0.0179263,0.0554438,0.0253345,0.0584689,0.0404439,0.01694,0.0183755,0.0193109,0.0087079,0.042688,0,0,0.0133162,0,0.015687,0.00812243,0.0366346,0.0182362,0.0369214,0.015221,0.00861897,0.0428233,0.00981543,0.0118394,0.0078924,0.0100678,0.00960138,0.0327437,0.0131635,0.0105321,0.0200615,0.0222327,0.00497329,0.00262078,0.040202,0.0379775,0,0,0,0,0,0
