Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65
All Timesteps RMSE,0.00365983,0.00262561,0.0279667,0.018512,0.014229,0.00444325,0,0,0.00461638,0,0.0200012,0.00234487,0.0378369,0.0204695,0.0235441,0.0164208,0.00523139,0.00294103,0.00951892,0.0143119,0.0106156,0.0250408,0.0111693,0.0142013,0.00723613,0.0145163,0.0338509,0.00290155,0.00477263,0.00130289,0.0167527,0.0183862,0.0192164,0.00815392,0.00441252,0,0,0.00443695,0,0.0159592,0.0024039,0.0375105,0.0282914,0.0290843,0.0154039,0.0074925,0.00579729,0.00509951,0.0175014,0.00653279,0.00607071,0.0204666,0.0341186,0.0177276,0.0230925,0.0169848,0.00321371,0.00179274,0.00134837,0.00406652,0.00369723,0,0,0,0,0
0,0.00328368,0.000545752,0.0271119,0.0189456,0.0173071,0.00675088,0,0,0.0044473,0,0.0203581,0.00215899,0.0357292,0.0207723,0.0180857,0.0138212,0.00277662,0.003063,0.00756491,0.0165214,0.0106575,0.0242931,0.0140379,0.0203513,0.00784524,0.0135759,0.034607,0.00244987,0.00423968,0.000748211,0.0115071,0.0185899,0.0124126,0.00105658,0.00360907,0,0,0.00347663,0,0.0156527,0.00185713,0.0330191,0.0189085,0.0349071,0.00520785,0.00342642,0.00377939,0.00542212,0.0181091,0.0057826,0.00606687,0.0118292,0.0411769,0.010825,0.012908,0.00508609,0.00245365,0.000510505,0.000784015,0.00258849,0.00457501,0,0,0,0,0
1,0.00299471,0.000674976,0.0294366,0.0175072,0.0171315,0.00693202,0,0,0.00542535,0,0.0207402,0.00383324,0.0356702,0.018961,0.0182409,0.0140213,0.00248815,0.00333578,0.0078517,0.01689,0.0107421,0.0236296,0.0139721,0.0204904,0.00743173,0.0131254,0.0385932,0.0028318,0,0.00272018,0.0114791,0.0185298,0.0124453,0.000831742,0.0033704,0,0,0.00401719,0,0.0158136,0.00225011,0.0327075,0.0190197,0.0348493,0.00527593,0.00280474,0.00410182,0.00517696,0.017922,0.00544982,0.00597706,0.0116928,0.0412243,0.0109858,0.0131261,0.00530352,0.00299513,0.000414703,0.000714215,0.00245493,0.00441018,0,0,0,0,0
2,0.00390391,0.000645961,0.0313955,0.0188313,0.016904,0.00688658,0,0,0.00384926,0,0.0200858,0.0018354,0.0357213,0.0172527,0.0182519,0.0136023,0.00247548,0.00210073,0.00795731,0.0164933,0.0107488,0.0232492,0.013718,0.0201297,0.0068991,0.012828,0.0417054,0.00164532,0.00409743,0.000881639,0.0115696,0.0186524,0.0124628,0.000922165,0.00353201,0,0,0.00478636,0,0.0158749,0.00247459,0.0325208,0.0192289,0.034552,0.00536524,0.00290703,0.00306455,0.00507153,0.0178983,0.00542688,0.00590262,0.0118236,0.0410811,0.0111079,0.013554,0.00569033,0.00321509,0.000918568,0.000876102,0.00340797,0.00376274,0,0,0,0,0
3,0.00318237,0.000439135,0.0329324,0.0188067,0.0167044,0.00680319,0,0,0.00298902,0,0.0201258,0.00138592,0.0358242,0.015614,0.01825,0.0129391,0.00256004,0.00224892,0.00804019,0.0159314,0.0108022,0.0230541,0.0132733,0.0194709,0.00638945,0.0125744,0.0442783,0.000833102,0.00412856,0.00105632,0.011897,0.0186674,0.0127848,0.0013303,0.00300212,0,0,0.000901865,0,0.0158866,0.000458074,0.0324704,0.0197823,0.0342493,0.00605766,0.00334336,0.00261824,0.00496125,0.0179054,0.00529323,0.00562254,0.0121833,0.0408788,0.0112196,0.0141687,0.00676719,0.00106647,0.000619365,0.000771309,0.00337415,0.00332023,0,0,0,0,0
4,0.00316658,0.000754948,0.0342182,0.0186011,0.0165119,0.00662064,0,0,0.00251062,0,0.0199682,0.00115888,0.0359635,0.0140265,0.018246,0.0120184,0.00248115,0.00213363,0.00808745,0.0150651,0.0107873,0.0229529,0.0128635,0.0189887,0.00583284,0.0124108,0.0461032,0.000337195,0.00399281,0.00117699,0.0122007,0.0187074,0.0129281,0.00176093,0.00290936,0,0,0.00104206,0,0.015956,0.000519319,0.0325209,0.0200113,0.0339112,0.00660667,0.00373537,0.00226875,0.00483727,0.0178847,0.00530614,0.00530046,0.0125057,0.0407025,0.0111029,0.0146893,0.00787746,0.00124878,0.000411129,0.000836358,0.00377281,0.00302283,0,0,0,0,0
5,0.00321938,0.00106211,0.0352233,0.018303,0.0165799,0.00622166,0,0,0.00208698,0,0.0197869,0.000935548,0.0361694,0.0124862,0.0183858,0.0109919,0.00248996,0.00206995,0.00820217,0.0140407,0.0109171,0.0227963,0.0123984,0.0184409,0.00533682,0.0122329,0.0473494,0.000430114,0.00383965,0.0011483,0.0127139,0.0187479,0.0132228,0.00212304,0.00286843,0,0,0.00117515,0,0.0160292,0.000618709,0.0326427,0.0206259,0.0337533,0.00741911,0.00425838,0.00196615,0.00461041,0.0177066,0.00486071,0.00479442,0.012955,0.0405347,0.0112263,0.0154378,0.00936526,0.00140314,0.000117438,0.000851305,0.0041526,0.00279578,0,0,0,0,0
6,0.00367549,0.00100817,0.0360736,0.0180774,0.0165432,0.00618286,0,0,0.0020639,0,0.019659,0.000867329,0.0363871,0.0112979,0.0185701,0.0102379,0.00205803,0.00118682,0.00841216,0.0131278,0.0109849,0.0226003,0.0120967,0.0178804,0.00488232,0.0120391,0.0481073,0.000864366,0.00350392,0.0010837,0.0126505,0.0187559,0.0129858,0.0024974,0.00228369,0,0,0.00145998,0,0.0160999,0.000883918,0.032973,0.0209219,0.033543,0.00752019,0.00429384,0.00251889,0.00439693,0.0175869,0.00473912,0.00442342,0.0131721,0.0403987,0.0112337,0.0158821,0.0104821,0.00192052,0.000498976,0.000891021,0.00381169,0.00269254,0,0,0,0,0
7,0.00335998,0.00147446,0.0365668,0.0180436,0.0166952,0.00580244,0,0,0.00178938,0,0.0198899,0.000585335,0.0365162,0.010681,0.0187742,0.00939479,0.00281606,0.00199457,0.00854139,0.0122628,0.0109726,0.0225814,0.0117613,0.0172453,0.00457523,0.0119592,0.0483627,0.00144812,0.00357765,0.000896256,0.0137442,0.0187625,0.0137196,0.00340409,0.00292792,0,0,0.00135266,0,0.0161007,0.000706456,0.0334056,0.0219615,0.0333252,0.00929051,0.0053469,0.00166202,0.00413186,0.017626,0.00402292,0.00377662,0.0137642,0.0401709,0.0115964,0.0164512,0.0119557,0.00161678,0.000637144,0.000837137,0.00472925,0.00248034,0,0,0,0,0
8,0.00367679,0.00143376,0.0368982,0.0180568,0.016685,0.00581516,0,0,0.00172804,0,0.0199478,0.000403697,0.0365583,0.0109345,0.0189155,0.00899948,0.00246578,0.00134379,0.00884714,0.0117483,0.0108997,0.0225432,0.0115387,0.0168923,0.00429527,0.0116919,0.0484599,0.00169404,0.0033061,0.00105134,0.0134036,0.0187325,0.0133956,0.00381098,0.00213285,0,0,0.00122864,0,0.016131,0.000844096,0.0335981,0.0219129,0.0330155,0.00929674,0.00531063,0.00224886,0.00397821,0.0176808,0.00431277,0.00352646,0.0138239,0.0401333,0.0116138,0.0164896,0.0126216,0.00192748,0.000781325,0.000879012,0.00424251,0.00273383,0,0,0,0,0
