Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65
All Timesteps RMSE,0.0201256,0.0210263,0.0364686,0.024201,0.0199888,0.0182132,0,0,0.0204044,0,0.0151419,0.00939992,0.0350761,0.0206228,0.0293758,0.0199086,0.0342019,0.016789,0.0128275,0.020656,0.0143159,0.02764,0.0145586,0.0212123,0.0108315,0.0109821,0.0451431,0.0145547,0.00451974,0.00665899,0.0287686,0.0200737,0.0252463,0.0172615,0.0316443,0,0,0.0195457,0,0.0138252,0.0100585,0.0352749,0.0259967,0.028847,0.013281,0.0384798,0.0272293,0.00991849,0.0180414,0.0122292,0.0117593,0.0142826,0.0268771,0.0146547,0.0165857,0.0299375,0.00786036,0.00241778,0.00555472,0.0276554,0.0222965,0,0,0,0,0
0,0.0175814,0.0159722,0.024031,0.0241297,0.0153801,0.0184836,0,0,0.017407,0,0.0152001,0.00869147,0.034059,0.0211522,0.0297835,0.017944,0.0328994,0.00950847,0.0119639,0.0178916,0.0149102,0.0264958,0.0115663,0.0159437,0.00856863,0.00675176,0.0469193,0.0122291,0.00474249,0.00659194,0.0337789,0.0197272,0.0335169,0.00992546,0.019997,0,0,0.0151975,0,0.0139524,0.00907657,0.030858,0.0328641,0.0342077,0.0149023,0.0247496,0.0149286,0.00974996,0.0229422,0.0167234,0.0131371,0.0102606,0.0318971,0.0114008,0.0137217,0.039824,0.0034919,0.00240164,0.00437002,0.020941,0.0175452,0,0,0,0,0
1,0.0177516,0.0159125,0.0207378,0.0240386,0.0148965,0.0173833,0,0,0.0181509,0,0.0156097,0.00894588,0.034153,0.0194338,0.0293301,0.0169676,0.0337646,0.00980159,0.0118461,0.0171754,0.0152847,0.0265137,0.0104568,0.0138512,0.00812139,0.00675677,0.0433386,0.0126167,0.00467864,0.00650375,0.0324824,0.0196958,0.0320095,0.0101282,0.0204152,0,0,0.0152215,0,0.0139139,0.00894258,0.0307519,0.0306691,0.034215,0.014486,0.0255508,0.0150955,0.0102126,0.0217977,0.016468,0.0139268,0.00984403,0.0314727,0.0113728,0.0135166,0.0383528,0.00320392,0.00226852,0.00433347,0.0212933,0.0175255,0,0,0,0,0
2,0.0178416,0.015993,0.0176971,0.0244369,0.0142757,0.0164098,0,0,0.0184157,0,0.0154707,0.00899388,0.034244,0.0178372,0.0288662,0.0161435,0.034353,0.0102776,0.0115495,0.0161251,0.015513,0.0265991,0.00951582,0.0122252,0.00769794,0.00685022,0.0401281,0.0127515,0.00470447,0.00640034,0.031107,0.0197968,0.0305637,0.0102921,0.020864,0,0,0.015244,0,0.0139381,0.00876653,0.0308091,0.0283585,0.0341485,0.013379,0.0261802,0.0154141,0.0103415,0.0206751,0.0164665,0.0142044,0.00925521,0.0313529,0.0116882,0.0127586,0.0363908,0.00291903,0.00221424,0.00432793,0.021579,0.0174968,0,0,0,0,0
3,0.0178612,0.0161409,0.0156622,0.0247006,0.013699,0.0154711,0,0,0.0189579,0,0.0154043,0.00920882,0.034375,0.0167866,0.0284345,0.0155588,0.0347932,0.0110498,0.0114115,0.0148978,0.0156907,0.0268223,0.00862315,0.0108593,0.00723402,0.00707695,0.0373288,0.0131683,0.0046495,0.00636148,0.0301687,0.0199296,0.0298339,0.0102358,0.0213618,0,0,0.0152758,0,0.0139496,0.00853633,0.0310976,0.0266507,0.0340679,0.0122971,0.0268039,0.0159099,0.010563,0.0196205,0.016688,0.0145448,0.00873582,0.0314465,0.0118545,0.0118423,0.0350607,0.00274425,0.00215427,0.00432479,0.0219758,0.0174584,0,0,0,0,0
4,0.0177631,0.0164164,0.015792,0.0251637,0.0133731,0.0146845,0,0,0.0193435,0,0.0151821,0.00937984,0.0344316,0.0164684,0.0280437,0.0152041,0.0349452,0.0119569,0.011621,0.0138416,0.0158454,0.0271377,0.00773537,0.00960391,0.00674034,0.00745416,0.0347209,0.0135014,0.00456978,0.00647342,0.0298858,0.0200778,0.0296166,0.0100899,0.0218919,0,0,0.0153309,0,0.0139601,0.00834268,0.0315545,0.0256901,0.0340984,0.011613,0.0272908,0.0163878,0.0109234,0.0187729,0.0168187,0.0150471,0.00848323,0.0315757,0.0118176,0.0117765,0.0341123,0.00280795,0.00211102,0.00438723,0.0225312,0.0174034,0,0,0,0,0
5,0.0178284,0.0168108,0.0177697,0.0250868,0.0131968,0.0141735,0,0,0.0201496,0,0.0153674,0.00977792,0.0342976,0.0175461,0.0277313,0.0149646,0.0347255,0.0128767,0.0112289,0.013097,0.0161451,0.0275635,0.00668847,0.00834559,0.00605173,0.00801261,0.0322496,0.0140534,0.00434601,0.00646737,0.0300234,0.0201409,0.0295976,0.0101285,0.0224766,0,0,0.015272,0,0.013921,0.00818595,0.0319857,0.0252552,0.0342883,0.011373,0.0276177,0.0168204,0.0112452,0.0184069,0.0167746,0.0155051,0.00845643,0.0316439,0.0116436,0.0118898,0.0336553,0.00292504,0.00217246,0.00445909,0.0231891,0.0174679,0,0,0,0,0
6,0.0177838,0.0169897,0.0204834,0.0250048,0.01323,0.0137048,0,0,0.0208375,0,0.0156079,0.0101186,0.034127,0.0196208,0.0275784,0.0147009,0.0339774,0.0138236,0.0109113,0.0126485,0.0164005,0.0279881,0.00560477,0.00709712,0.00517599,0.00866486,0.0293672,0.0146098,0.00428228,0.00641977,0.0303384,0.0201411,0.0297157,0.0104755,0.0229773,0,0,0.0153135,0,0.0138763,0.00809896,0.0319867,0.0249921,0.0344301,0.0114002,0.0274982,0.0172383,0.0112898,0.0184376,0.0165812,0.015657,0.00837113,0.0316322,0.0115156,0.0118749,0.0334188,0.0030966,0.00201993,0.00451301,0.0237609,0.0174365,0,0,0,0,0
7,0.0177911,0.0171006,0.0226549,0.0252424,0.0137323,0.0132762,0,0,0.0210409,0,0.0157468,0.0102024,0.0339008,0.0220324,0.0275168,0.0142598,0.0329877,0.0145303,0.0109115,0.0123479,0.0165534,0.0285235,0.00434605,0.00617593,0.00405889,0.00942457,0.0262827,0.0148483,0.00422923,0.00630789,0.0304544,0.0201619,0.0297636,0.0106976,0.0233403,0,0,0.0153651,0,0.0138644,0.00808465,0.0313824,0.0248049,0.0343475,0.0114603,0.0272434,0.0175295,0.0115593,0.0184433,0.0164246,0.0159357,0.00814823,0.0315998,0.0113916,0.0118643,0.0331478,0.00322163,0.00178496,0.00454853,0.0240526,0.0173721,0,0,0,0,0
8,0.0177461,0.0170231,0.024442,0.0252949,0.0143117,0.0129742,0,0,0.0209873,0,0.0157793,0.010157,0.033674,0.0242456,0.0275581,0.013728,0.0318644,0.014993,0.0112807,0.0122442,0.016526,0.0289419,0.00298993,0.00579504,0.00286193,0.0103069,0.0242332,0.014925,0.00415975,0.00620346,0.0301972,0.0201824,0.0295235,0.0106374,0.0235492,0,0,0.0153624,0,0.0138995,0.00815226,0.0306229,0.0243912,0.0342911,0.0115729,0.027033,0.0177664,0.0119013,0.0183834,0.0165059,0.0162074,0.0079911,0.0314498,0.0113069,0.0120342,0.0326045,0.00327279,0.00151537,0.00455712,0.0242653,0.0172708,0,0,0,0,0
9,0.0176523,0.0169133,0.0262547,0.0249506,0.0148722,0.0128455,0,0,0.020841,0,0.0157457,0.0100284,0.0335368,0.0259274,0.0276471,0.0131113,0.0306955,0.0152143,0.0112674,0.0121206,0.0162756,0.0290763,0.00217677,0.00599386,0.0019516,0.011268,0.0259725,0.0149238,0.00412853,0.00609815,0.0294717,0.02021,0.028843,0.0106606,0.0236572,0,0,0.015303,0,0.0140272,0.008307,0.0300737,0.0235433,0.0343811,0.0113998,0.0269232,0.0178626,0.0119178,0.018344,0.0164885,0.0161114,0.00773282,0.0312196,0.0114524,0.0121069,0.0315622,0.00314042,0.00153814,0.00454262,0.0243214,0.017176,0,0,0,0,0
10,0.0209964,0.0191621,0.0291174,0.0245897,0.0150521,0.0127729,0,0,0.0202951,0,0.0154221,0.00939743,0.0335108,0.0272507,0.0277974,0.0122691,0.0294083,0.0117681,0.0109871,0.0118613,0.0159236,0.0289539,0.00225848,0.00673209,0.00188852,0.0121406,0.0310865,0.0145211,0.00378643,0.00607698,0.0283052,0.0201634,0.0277745,0.011079,0.0241626,0,0,0.0163417,0,0.0139969,0.00917809,0.0298131,0.0222995,0.0345368,0.0108389,0.0266798,0.0178219,0.0116988,0.0181194,0.0161979,0.0156464,0.00745121,0.030895,0.0115581,0.0117624,0.0303266,0.0031345,0.00158865,0.00471603,0.0240228,0.0193614,0,0,0,0,0
11,0.0220744,0.020019,0.0321419,0.0242362,0.0158475,0.0126546,0,0,0.020089,0,0.0151463,0.00905722,0.0334774,0.0276856,0.0278673,0.0112798,0.0284792,0.011148,0.0107575,0.0116472,0.0154203,0.0287278,0.00283225,0.00761743,0.00225951,0.0129521,0.0356631,0.0143851,0.00362842,0.00605539,0.0273551,0.0200193,0.0268948,0.0115674,0.02374,0,0,0.0167648,0,0.0139419,0.00957542,0.0297482,0.0213711,0.0345445,0.0101216,0.0268254,0.0169224,0.0115516,0.0178331,0.0157684,0.0151693,0.00734913,0.0305764,0.0116296,0.0113359,0.0291341,0.00336684,0.00147537,0.00468674,0.0236495,0.020107,0,0,0,0,0
