Timestep,C7,CLAV,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,LASI
100,0.00737908,0.00488512,0.0263719,0.0190074,0.0262333,0,0,0.00194494,0,0.019447,0.00110863,0.0374876,0.0452479,0.0103555,0.04865,0.0114711,0.0038037,0.0289729,0.0408261,0.0364945,0.0268399,0.0251882,0.0212376,0.00613257,0.0122513,0.0258305,0.00262256,0.00463731,0.00142389,0.0139452,0.0195038,0.0103456,0.00567434,0.00103383,0,0,0.00884443,0,0.0160106,0.00302338,0.0317461,0.0179577,0.0388019,0.00213055,0.00657802,0.00776044,0.00918574,0.0220066,0.00912367,0.0116392,0.0130927,0.0410416,0.0109515,0.0155643,0.016329,0.00521474,0.00118385,0.00164701,0.00727039,0.00410571,0,0,0,0,0,0.0080978
101,0.00340321,0.00348486,0.0351033,0.0183031,0.0182603,0,0,0.00395059,0,0.0202867,0.00181885,0.0361987,0.0149331,0.0183821,0.0135479,0.00249025,0.00342639,0.00587084,0.0158928,0.010713,0.024233,0.0119545,0.0196367,0.007399,0.0144927,0.0443962,0.00190528,0.00468569,0.00115256,0.0133216,0.0186644,0.00949632,0.00416612,0.00536065,0,0,0.00184891,0,0.0161045,0.00134123,0.0334801,0.016097,0.037958,0.00304239,0.00237057,0.00365787,0.00861638,0.0205385,0.00796692,0.0108307,0.0121519,0.0407115,0.0104858,0.0139703,0.0149032,0.00348874,0.00163512,0.000404102,0.00551022,0.00322859,0,0,0,0,0,0.00400215
102,0.00416454,0.00197523,0.0366282,0.0186449,0.019511,0,0,0.00447283,0,0.0197865,0.00245765,0.0360693,0.0150346,0.0181627,0.0135331,0.00297614,0.00309809,0.00564841,0.0159392,0.0104643,0.0239035,0.0123748,0.020442,0.00774737,0.0146051,0.0464275,0.00200579,0.0046272,0.00120101,0.013308,0.0186289,0.00979878,0.00474816,0.00463972,0,0,0.00843102,0,0.0161844,0.00464117,0.0335289,0.0165543,0.0378712,0.0041956,0.00249223,0.00359213,0.00843628,0.0204342,0.00761383,0.0102617,0.0121461,0.0406945,0.0106498,0.0139007,0.015321,0.00223919,0.00309501,0.000647716,0.00386606,0.0018195,0,0,0,0,0,0.0044294
103,0.00656084,0.0044459,0.0334548,0.0198478,0.0312926,0,0,0.00124996,0,0.0188812,0.000889924,0.0367019,0.0492343,0.0103198,0.0482224,0.0136261,0.00325576,0.0291881,0.0402686,0.0369368,0.026801,0.0248819,0.0176743,0.00382212,0.0132472,0.0332322,0.00243834,0.00522399,0.00164069,0.0150647,0.0195308,0.0121468,0.00841543,0.000969754,0,0,0.00677808,0,0.0158474,0.00373414,0.0315464,0.0196216,0.0385118,0.00803098,0.00944058,0.00673574,0.00826334,0.021692,0.00729071,0.00900823,0.0134444,0.0405806,0.0117579,0.0157225,0.0174603,0.00688577,0.00323828,0.00182189,0.00639713,0.00348211,0,0,0,0,0,0.00828104
104,0.00433768,0.00182832,0.0371976,0.0186733,0.0203007,0,0,0.00275031,0,0.0198505,0.0012929,0.0358572,0.0150575,0.0180857,0.0133578,0.00434446,0.00307852,0.0056052,0.0157999,0.0101726,0.023556,0.0125292,0.0206612,0.00810336,0.0145678,0.0471056,0.0011994,0.00517491,0.00137735,0.0143761,0.0188668,0.0112875,0.00608568,0.0054646,0,0,0.00185445,0,0.0160769,0.00113288,0.0333314,0.0177889,0.0377605,0.00758883,0.0033799,0.00454056,0.00780694,0.0205642,0.00684237,0.00889349,0.0126512,0.0404874,0.011332,0.0145838,0.0160801,0.00324541,0.00190377,0.000565964,0.00255783,0.00237583,0,0,0,0,0,0.00448874
105,0.00472039,0.0015766,0.0365761,0.0183597,0.0200238,0,0,0.00215822,0,0.0200115,0.000978672,0.0356219,0.0143828,0.0180113,0.0131074,0.00479586,0.00289072,0.00559517,0.0155455,0.0101333,0.0233547,0.0123349,0.0203175,0.00792235,0.014387,0.0461504,0.00102263,0.00514924,0.00128682,0.0148634,0.0188906,0.0114175,0.00643138,0.00564667,0,0,0.00154919,0,0.0161489,0.000868197,0.0331226,0.0179114,0.0376208,0.00824475,0.00378487,0.00474985,0.00765437,0.0207603,0.00664706,0.00861898,0.012942,0.0403641,0.0114379,0.0149942,0.0169428,0.00280984,0.00155231,0.000603574,0.00225899,0.00219948,0,0,0,0,0,0.00444635
106,0.00468558,0.00120568,0.0353655,0.0186219,0.019389,0,0,0.00205199,0,0.0196128,0.001159,0.0354371,0.0133853,0.0179721,0.0126766,0.00503691,0.00249275,0.00553694,0.0150474,0.0101477,0.0231503,0.0118546,0.0195048,0.00746085,0.0140854,0.0446402,0.000525342,0.005039,0.00146817,0.0154735,0.0189079,0.0114392,0.00678456,0.00582766,0,0,0.00103387,0,0.0161843,0.000474643,0.0329549,0.017803,0.037481,0.00873527,0.00412589,0.00471011,0.00753968,0.0209904,0.00642218,0.00836628,0.013132,0.0402292,0.0114665,0.0152851,0.0178454,0.00220149,0.00115478,0.000624383,0.0020615,0.00245072,0,0,0,0,0,0.00425683
107,0.0076085,0.00343041,0.0305874,0.0197146,0.0307787,0,0,0.00246804,0,0.0186675,0.0011888,0.0360276,0.0500015,0.0105768,0.0494856,0.0150744,0.00382047,0.0295566,0.0412168,0.0367481,0.0248808,0.025666,0.0189647,0.00460495,0.0127709,0.0296355,0.00274895,0.00515199,0.00165021,0.0167979,0.0196619,0.0125085,0.00981194,0.00273765,0,0,0.00566648,0,0.0159696,0.00349432,0.0310405,0.0203964,0.037732,0.0113242,0.0116916,0.00759932,0.00726656,0.0221623,0.00626797,0.00744815,0.0144398,0.0397417,0.0119595,0.0170595,0.0208719,0.00544122,0.00242096,0.00200576,0.00528488,0.00311576,0,0,0,0,0,0.00847414
108,0.00536493,0.000663302,0.0328218,0.0187032,0.0173993,0,0,0.00169693,0,0.0194927,0.00106626,0.0354875,0.0112217,0.0181606,0.0110623,0.00501559,0.00234963,0.00521052,0.0137224,0.0101729,0.0226756,0.0103535,0.0168664,0.00609525,0.0132458,0.0413857,0.000309844,0.0049124,0.00142937,0.0161995,0.0189618,0.0111857,0.00741246,0.00612915,0,0,0.00108706,0,0.0162156,0.000444359,0.0326964,0.0180997,0.0369305,0.00976072,0.00473987,0.00607351,0.00735763,0.0213355,0.00610117,0.00793633,0.0134357,0.0399833,0.0115118,0.0157191,0.0195269,0.00191651,0.000547911,0.000563417,0.00172825,0.00279939,0,0,0,0,0,0.00362199
109,0.00523057,0.0007117,0.0316151,0.0181677,0.0161789,0,0,0.00130866,0,0.019972,0.000675595,0.035616,0.0102537,0.018242,0.0102276,0.00475687,0.00161289,0.00522949,0.0130483,0.0101993,0.0223599,0.00958778,0.0154686,0.00545943,0.0126834,0.0399557,0.000254628,0.00466367,0.000925866,0.0166961,0.0189642,0.010891,0.00772445,0.00611656,0,0,0.000927846,0,0.0162957,0.000640183,0.0326866,0.0179236,0.0366674,0.0098404,0.00491022,0.00575567,0.00722997,0.021407,0.00595431,0.00780504,0.0134975,0.039841,0.0114629,0.0158466,0.0202198,0.00154869,0.000537233,0.00040213,0.00202112,0.00356599,0,0,0,0,0,0.00343345
