Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,LWRA
All Timesteps RMSE,0.00958901,0.0162506,0.0301135,0.0225556,0.0166611,0.0253148,0,0,0.0115861,0,0.017531,0.00875892,0.033687,0.018948,0.0247148,0.0140515,0.010147,0.0262186,0.0127009,0.0170547,0.0136154,0.0268935,0.0104527,0.015258,0.00757327,0.0123637,0.0370157,0.0110395,0.00845592,0.0145151,0.0188753,0.016514,0.0107347,0.0163762,0,0,0.0106778,0,0.0144975,0.0064075,0.0390151,0.0227775,0.0338862,0.0205643,0.0121949,0.026305,0.00612834,0.0167582,0.0100395,0.00919478,0.017377,0.0290062,0.015545,0.019373,0.0203392,0.0149906,0.00228702,0.00329045,0.0232065,0.0147108,0,0,0,0,0,0.00856653
0,0.00460291,0.0180498,0.026155,0.0207991,0.0203196,0.0058893,0,0,0.0124401,0,0.0166418,0.00700736,0.030948,0.0413679,0.019046,0.0293897,0.0125477,0.0234278,0.0244801,0.027834,0.0286987,0.0332736,0.0129157,0.00842285,0.00207929,0.0142697,0.0267209,0.00891478,0.00642096,0.0121469,0.0193907,0.0180935,0.00976115,0.0143518,0,0,0.0102445,0,0.0144253,0.00567181,0.0345932,0.025598,0.0419336,0.0195638,0.00906633,0.0299485,0.00397761,0.0162544,0.00472198,0.00369292,0.0153178,0.0350348,0.0154525,0.0168445,0.0254063,0.0141899,0.00255834,0.00342492,0.0269117,0.00842697,0,0,0,0,0,0
1,0.00631222,0.0175882,0.0281231,0.0210094,0.0208514,0.0057741,0,0,0.00926818,0,0.0162499,0.0056215,0.0307602,0.0378909,0.0198725,0.0227068,0.0114236,0.025292,0.0210368,0.0224449,0.0250187,0.0325339,0.00918363,0.00322615,0.00212213,0.0150324,0.0289984,0.00669696,0.00507689,0.0113293,0.0193595,0.0172652,0.00988014,0.0147979,0,0,0.00997887,0,0.0144996,0.00565766,0.0347347,0.0251038,0.0418038,0.0213427,0.00867246,0.0289866,0.00400502,0.0163271,0.00552063,0.00392149,0.0159857,0.0345652,0.0154066,0.0174493,0.0242369,0.0139624,0.00163714,0.00311779,0.0260481,0.00938246,0,0,0,0,0,0
2,0.00671319,0.0171686,0.0301126,0.0210953,0.0216498,0.00567044,0,0,0.00839614,0,0.0160941,0.00517265,0.030706,0.035789,0.0200886,0.0196912,0.0114228,0.02559,0.0196682,0.0203206,0.023615,0.0321054,0.00807353,0.00263815,0.00333067,0.0158107,0.0314533,0.00663763,0.00468964,0.0107917,0.019365,0.0166871,0.0100207,0.014869,0,0,0.00964477,0,0.0145428,0.00538371,0.0347036,0.0243231,0.0415669,0.0226402,0.00908621,0.0282914,0.00418756,0.0162923,0.0059744,0.00441159,0.0163866,0.0342339,0.0153504,0.0177594,0.023185,0.013693,0.00131393,0.00296123,0.025175,0.00964258,0,0,0,0,0,0
3,0.0071111,0.0165293,0.0317694,0.0212362,0.0219212,0.00556509,0,0,0.00765395,0,0.0159512,0.00470085,0.0307522,0.0329794,0.0204736,0.0159411,0.0113893,0.0258536,0.0178348,0.0179481,0.0219109,0.0316345,0.00710359,0.0049413,0.00471189,0.0165052,0.0338015,0.00685541,0.00432092,0.0103619,0.0193819,0.0162126,0.0101841,0.014848,0,0,0.00960614,0,0.0145687,0.00528441,0.0346514,0.023348,0.0413168,0.0235145,0.009389,0.0274767,0.0042693,0.01626,0.00625421,0.00464033,0.016577,0.0339179,0.0151731,0.0178806,0.0223041,0.0135677,0.00113263,0.00290075,0.0242473,0.0102206,0,0,0,0,0,0
4,0.0076147,0.0162647,0.0329399,0.0214542,0.022367,0.00570676,0,0,0.0070641,0,0.0158469,0.00432735,0.0308573,0.0308845,0.0205017,0.0141723,0.0116282,0.0261318,0.0169983,0.0170404,0.0211446,0.0312509,0.00727499,0.00674895,0.00557844,0.0169345,0.0356351,0.00737342,0.00407188,0.00992456,0.0194295,0.0157878,0.0103417,0.014858,0,0,0.00961875,0,0.0145679,0.00528174,0.0345794,0.0221394,0.0410672,0.0239612,0.0098556,0.0266997,0.0041519,0.01627,0.00643718,0.00488154,0.0166417,0.033702,0.0149539,0.017834,0.0212196,0.0134152,0.000924396,0.0029187,0.0233457,0.0109669,0,0,0,0,0,0
5,0.00802379,0.0158516,0.0334068,0.0216631,0.0226266,0.00609753,0,0,0.00667474,0,0.0157578,0.00404418,0.0309324,0.029023,0.0204672,0.013102,0.0118288,0.0262782,0.0165072,0.0165978,0.0206402,0.0307827,0.00767795,0.0078282,0.00608114,0.0172076,0.0372542,0.0080917,0.00388607,0.00950985,0.0194796,0.0153938,0.010491,0.0148686,0,0,0.00956164,0,0.0145557,0.005316,0.0345224,0.0208607,0.0408124,0.0241558,0.0103004,0.0259419,0.00396851,0.0163269,0.00657575,0.00516984,0.0166169,0.0335572,0.0147336,0.0176269,0.0200821,0.0131892,0.000802447,0.00295293,0.0224961,0.0116357,0,0,0,0,0,0
6,0.00817899,0.0151148,0.0336131,0.02181,0.0226676,0,0,0,0.00657493,0,0.0156965,0.00395216,0.0307351,0.0274769,0.0205474,0.0124424,0.0116894,0.0262056,0.0160661,0.0162051,0.0202145,0.0302371,0.00803343,0.00836553,0.00637641,0.0173663,0.0385029,0.00869337,0.00386683,0.00870743,0.0194861,0.0148798,0.0105082,0.0149099,0,0,0.00940402,0,0.0145348,0.00535757,0.0346682,0.0193963,0.0405764,0.02457,0.0105109,0.0252469,0.00386337,0.0163922,0.00671232,0.00538624,0.0165582,0.0333725,0.0145383,0.0171707,0.0181354,0.012977,0.000737871,0.00298289,0.0216142,0.0118369,0,0,0,0,0,0
7,0.00906265,0.0123742,0.032077,0.0218142,0.020072,0.0158266,0,0,0.0069697,0,0.0157345,0.004169,0.0293492,0.0258396,0.0267929,0.0206445,0.0136408,0.0258165,0.0220661,0.0218402,0.025842,0,0.00807132,0.000714389,0.00232964,0.0158463,0.0365361,0.00911005,0.00391674,0.00664718,0.0192698,0.0113911,0.0140714,0.0142166,0,0,0.00972371,0,0.0144873,0.00562807,0.0348284,0.0146777,0.0391224,0.0274773,0.0156763,0.021964,0.00557508,0.0154737,0.00802475,0.00766146,0.0162597,0.0310552,0.0134082,0.0156446,0.01363,0.012991,0.00119898,0.00288881,0.0189628,0.0143853,0,0,0,0,0,0
8,0.00746159,0.0121267,0.033136,0.0221311,0.022075,0,0,0,0.00658478,0,0.0157927,0.00375305,0.0306028,0.0251773,0.020494,0.0123353,0.0117888,0.0247943,0.0155041,0.0160816,0.019699,0.0289017,0.00842116,0.00806593,0.00623109,0.017289,0.0389807,0.0108143,0.00393372,0.00762457,0.0195839,0.0135246,0.0111128,0.0139247,0,0,0.00880497,0,0.0145116,0.00520687,0.0350884,0.0164845,0.0400379,0.0257587,0.011516,0.0232472,0.00397708,0.0164063,0.00709355,0.00619127,0.016565,0.0329241,0.0142323,0.0164531,0.0142524,0.0119149,0.000735627,0.00311501,0.0192787,0.0113921,0,0,0,0,0,0
