Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65
175,0.0124584,0.0207685,0.022246,0.0194031,0.0149782,0.00855079,0,0,0.0146952,0,0.0177519,0.00999505,0.0357358,0.00930692,0.0344403,0.00775961,0.0152224,0.022239,0.0142385,0.0171289,0.0116594,0.0296997,0.00916253,0.0127548,0.0100924,0.00874875,0.02684,0.00807282,0.00284453,0.007322,0.0219552,0.0158072,0.0238579,0.0163367,0.0122428,0,0,0.0285393,0,0.0151016,0.0176017,0.0384805,0.0284168,0.0373364,0.0174291,0.00499141,0.0229743,0.00798207,0.0143259,0.00575467,0.00900347,0.0127176,0.0216208,0.0139267,0.0150143,0.0143771,0.0272187,0.00607746,0.00785645,0.0214407,0.00889499,0,0,0,0,0
176,0.0123552,0.0205832,0.0217164,0.0194408,0.0143019,0.00852007,0,0,0.0148279,0,0.0177948,0.0100167,0.0354873,0.0113348,0.0346783,0.00734371,0.0153634,0.0219758,0.0138962,0.0175854,0.0119508,0.0296726,0.00967809,0.0138458,0.0099406,0.00940807,0.0264927,0.0079641,0.00287535,0.00730624,0.0217304,0.0157388,0.0238051,0.0162379,0.0124629,0,0,0.0291919,0,0.0151238,0.0179113,0.0385242,0.0286772,0.0372434,0.0175765,0.0051298,0.0231915,0.00819923,0.0142873,0.00604353,0.0093387,0.0133175,0.0208976,0.0143909,0.0155908,0.0122598,0.0275168,0.00612738,0.00791343,0.0211509,0.00919491,0,0,0,0,0
177,0.0122604,0.0203872,0.0214129,0.0195101,0.0139322,0.00839966,0,0,0.0149318,0,0.0177926,0.0101196,0.0352429,0.0135541,0.0348272,0.00729579,0.0153118,0.0217277,0.0138749,0.0181091,0.0126716,0.0302678,0.0106405,0.015092,0.00991293,0.010176,0.0260728,0.00787178,0.00285957,0.00727953,0.0217847,0.0157064,0.0237287,0.0160631,0.0125873,0,0,0.0297299,0,0.0151605,0.0181911,0.0385401,0.0286373,0.0371563,0.0176509,0.00531429,0.0233237,0.00833425,0.0142867,0.00623379,0.00975187,0.0139146,0.0202235,0.0148195,0.0161414,0.0102526,0.0277186,0.00611877,0.00793213,0.0208681,0.00941829,0,0,0,0,0
178,0.0120495,0.0201093,0.0212729,0.0195121,0.0139616,0.00832511,0,0,0.0149498,0,0.0176875,0.0100591,0.035049,0.0152723,0.0348657,0.00923412,0.0150311,0.0214787,0.0141808,0.0187067,0.0134967,0.030921,0.0115847,0.0164494,0.0100417,0.0106534,0.0256863,0.00778267,0.00281833,0.00720831,0.0221622,0.0157163,0.0239006,0.0157938,0.0125339,0,0,0.0300714,0,0.0152209,0.0183989,0.0383432,0.0287991,0.0370458,0.0173121,0.00545576,0.0233129,0.0083672,0.0143353,0.00645582,0.0101335,0.0145557,0.0196538,0.0152444,0.0168258,0.00863386,0.0278492,0.00611733,0.00798425,0.0205572,0.00954685,0,0,0,0,0
179,0.0117776,0.0198212,0.0213438,0.019568,0.0142423,0.00825726,0,0,0.0148343,0,0.0176275,0.0100923,0.0348319,0.0162284,0.0347929,0.0123449,0.0146018,0.0212609,0.0145871,0.0195805,0.0141592,0.0310709,0.0123027,0.0176995,0.0103508,0.0105387,0.0254462,0.00766886,0.00276508,0.00716884,0.0228666,0.015738,0.0242904,0.0154104,0.0123035,0,0,0.0302509,0,0.015262,0.0185457,0.0380854,0.0290891,0.0368794,0.0166832,0.00556951,0.0232206,0.00834487,0.0144902,0.00644518,0.010451,0.0153362,0.0190674,0.0157724,0.0176685,0.00751726,0.0278546,0.00614739,0.00797066,0.0202482,0.00959634,0,0,0,0,0
180,0.0116152,0.0195987,0.0212624,0.019659,0.0145972,0.00822286,0,0,0.0147315,0,0.0176314,0.0100798,0.0344181,0.0166885,0.0347039,0.014554,0.0141601,0.0212068,0.0148774,0.0207129,0.014522,0.0305266,0.0128221,0.0187647,0.0106427,0.00999389,0.0250886,0.00751022,0.00269734,0.00716241,0.0237478,0.0157505,0.0247169,0.0148736,0.0119972,0,0,0.0303931,0,0.0152925,0.0187063,0.0376652,0.0293018,0.0366139,0.0160247,0.00565205,0.0230972,0.00833646,0.0147006,0.00668474,0.0107061,0.0161439,0.0183541,0.0163285,0.0185993,0.00686242,0.0278153,0.00639649,0.00799252,0.0200682,0.00960699,0,0,0,0,0
181,0.0115809,0.0194134,0.0213844,0.0197327,0.0150878,0.00823116,0,0,0.0147042,0,0.0176398,0.010036,0.0339621,0.0170595,0.0346068,0.0151756,0.0137385,0.0211213,0.0151309,0.0217539,0.0145678,0.0296474,0.0133064,0.0196723,0.0109744,0.00936507,0.0249325,0.00738449,0.00264801,0.00717345,0.0248398,0.0157355,0.0252076,0.014192,0.0117482,0,0,0.0305514,0,0.0152938,0.0188638,0.0374568,0.0297098,0.0363864,0.0153962,0.00561151,0.0229906,0.00832719,0.0149889,0.00727201,0.0110683,0.0171275,0.0175078,0.0168366,0.0197739,0.00664093,0.0277793,0.00635097,0.00801793,0.0199351,0.00970721,0,0,0,0,0
182,0.0115861,0.0192507,0.0218815,0.0196885,0.0156726,0.00816368,0,0,0.0147856,0,0.0175897,0.0100266,0.0335245,0.0172895,0.0345144,0.0150779,0.0134025,0.0209373,0.0153195,0.0222899,0.0144307,0.0289081,0.0137744,0.0203745,0.0113236,0.00885887,0.0251716,0.00732833,0.00264772,0.00720113,0.0256467,0.0157135,0.0255756,0.0134911,0.0115524,0,0,0.0307762,0,0.0152999,0.0189966,0.0373791,0.0305649,0.0362063,0.0146946,0.0054881,0.0228905,0.00833269,0.0152693,0.00805494,0.0115305,0.0182206,0.0167646,0.017259,0.0212133,0.00711308,0.0277885,0.00640057,0.00796741,0.0197923,0.0099645,0,0,0,0,0
183,0.0115956,0.0190649,0.0225195,0.0196957,0.0160835,0.00796994,0,0,0.0147391,0,0.0175356,0.00991468,0.033084,0.0172213,0.0344,0.0151704,0.0131316,0.0207613,0.0153518,0.022247,0.0142774,0.0284782,0.0141667,0.0209063,0.0115966,0.00855918,0.0258027,0.00725966,0.00262827,0.00713728,0.0263722,0.0157481,0.0257991,0.0129546,0.0113561,0,0,0.0308819,0,0.0153573,0.0190161,0.037318,0.0313986,0.0360748,0.0139853,0.00531339,0.0227558,0.00837904,0.0154894,0.00903695,0.012031,0.0193212,0.0160669,0.0178901,0.0228316,0.0078026,0.0277881,0.00634293,0.00780518,0.0195994,0.0102393,0,0,0,0,0
184,0.0115918,0.0188842,0.0227849,0.0197855,0.016206,0.00772164,0,0,0.0145679,0,0.0174481,0.00971692,0.0327505,0.0169504,0.0342616,0.01556,0.0130119,0.0206429,0.015222,0.0218648,0.0141288,0.0282902,0.0144148,0.0212288,0.011804,0.00841323,0.0262435,0.00716146,0.00254686,0.00706555,0.0265092,0.0157985,0.025547,0.0123443,0.0111147,0,0,0.0308529,0,0.0154007,0.0189454,0.0372198,0.0318264,0.0359768,0.0132966,0.00520769,0.0226172,0.00848339,0.0156223,0.0100947,0.0124709,0.0203097,0.0152134,0.0186276,0.0242731,0.00832555,0.0277256,0.0061051,0.00748106,0.0193534,0.0104245,0,0,0,0,0
185,0.0115809,0.0186874,0.0227732,0.0199623,0.016033,0.00749985,0,0,0.0144121,0,0.0173377,0.0095174,0.0327398,0.0165035,0.0341581,0.0158856,0.0130083,0.0205125,0.0149916,0.0213367,0.0139865,0.0282351,0.0144757,0.0212732,0.0119617,0.00831746,0.0263358,0.0071254,0.00246714,0.00704148,0.0258431,0.0158595,0.0245796,0.0116505,0.0109034,0,0,0.0307924,0,0.0154202,0.0188502,0.0370952,0.0316721,0.0358396,0.0129396,0.00527002,0.0225015,0.00862946,0.0156293,0.0111084,0.012835,0.0211546,0.0141239,0.0193461,0.0252612,0.00902024,0.027626,0.00580942,0.00718872,0.0190459,0.0105899,0,0,0,0,0
186,0.0115293,0.0184708,0.0226667,0.0202026,0.0156421,0.00739544,0,0,0.0141517,0,0.0171843,0.00925139,0.0330531,0.0159011,0.0341165,0.0158272,0.0130598,0.0204134,0.0147763,0.0208923,0.0138705,0.0282502,0.0143779,0.0208873,0.0120603,0.00824583,0.0265198,0.00710697,0.00233547,0.00697088,0.0243462,0.0159162,0.0229634,0.0109343,0.0107178,0,0,0.0306785,0,0.0154194,0.0187757,0.0370367,0.0310793,0.0356838,0.0127782,0.00548092,0.0223748,0.00871863,0.0156175,0.0124229,0.0131576,0.0218267,0.0128427,0.0200188,0.0257863,0.0102388,0.0274441,0.00578803,0.00693332,0.0186752,0.0107895,0,0,0,0,0
187,0.0114318,0.0182637,0.022743,0.0203567,0.015118,0.0073583,0,0,0.0139901,0,0.0170029,0.00897412,0.0335104,0.0153039,0.0342075,0.0155943,0.0132681,0.0203151,0.0147633,0.0207073,0.013802,0.0282113,0.0142073,0.0203764,0.0120359,0.00819556,0.027008,0.00719404,0.00223841,0.00692405,0.022356,0.0160313,0.0210865,0.0102227,0.0105135,0,0,0.0305077,0,0.0154478,0.018693,0.0368842,0.03024,0.0354887,0.0125613,0.00592736,0.0222488,0.00880977,0.0156085,0.0139379,0.0134693,0.0224043,0.0117325,0.020649,0.0261279,0.0114391,0.0271753,0.00572489,0.0067154,0.0183303,0.0110148,0,0,0,0,0
188,0.011314,0.0180827,0.0231503,0.0205293,0.0146109,0.00730033,0,0,0.0138809,0,0.0168529,0.00854312,0.0339635,0.0147404,0.034388,0.0155742,0.0136086,0.020212,0.0149244,0.0207726,0.0137522,0.0280609,0.0140152,0.0199573,0.0118391,0.00812909,0.0278424,0.00732771,0.00215314,0.00690554,0.0200823,0.0162291,0.0191818,0.00950517,0.0102973,0,0,0.0301968,0,0.0155359,0.0185014,0.0367475,0.0292253,0.0353252,0.0122058,0.00666946,0.0220966,0.00905535,0.0156475,0.0152417,0.0138505,0.0228723,0.0108949,0.0211145,0.0265178,0.0127468,0.0268444,0.00566915,0.00649801,0.0180339,0.011261,0,0,0,0,0
189,0.0111465,0.0178897,0.0235959,0.0207083,0.0142111,0.00728629,0,0,0.0136722,0,0.0167175,0.0082133,0.0341801,0.0140552,0.0344971,0.015783,0.0138244,0.020167,0.0149498,0.0207518,0.0137153,0.0278622,0.0138218,0.0196832,0.0116337,0.00800335,0.0285057,0.00742326,0.00209167,0.00687411,0.0179236,0.0163773,0.0173837,0.00890436,0.0100922,0,0,0.0297308,0,0.0155701,0.0181647,0.0366753,0.0281883,0.0352308,0.0117534,0.00746007,0.0218977,0.00947656,0.0156659,0.0163018,0.0143872,0.023191,0.0103438,0.0212187,0.0268308,0.0148433,0.0264719,0.00562966,0.00624096,0.0177417,0.0114287,0,0,0,0,0
190,0.0109672,0.0177194,0.0240352,0.0208886,0.0141801,0.00720636,0,0,0.0134765,0,0.0166445,0.00804675,0.0341971,0.0135505,0.0345127,0.015957,0.014065,0.0201385,0.014721,0.0204696,0.0136336,0.0276907,0.0136877,0.0196261,0.0115203,0.0078612,0.0291387,0.00749738,0.00199984,0.00681773,0.0158763,0.0164385,0.0158463,0.0083646,0.00994927,0,0,0.0293061,0,0.0155512,0.0178901,0.0366927,0.0276104,0.0352178,0.0111074,0.00839084,0.0217327,0.00997451,0.0157132,0.0172893,0.0148623,0.0232163,0.010082,0.0210032,0.0267088,0.0186627,0.0261461,0.0056216,0.0060489,0.0175114,0.0114658,0,0,0,0,0
