Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65
All Timesteps RMSE,0.0194288,0.0200401,0.036388,0.0239197,0.0211492,0.0200681,0,0,0.0187667,0,0.0153104,0.00865792,0.0360799,0.0216371,0.0301859,0.0191212,0.0362443,0.0152309,0.0113484,0.0188185,0.0130926,0.0280069,0.0140887,0.02039,0.0115034,0.0103846,0.0442812,0.0127606,0.00425685,0.0066668,0.015898,0.0200948,0.0147683,0.0196562,0.0285884,0,0,0.0198044,0,0.0138014,0.0102623,0.0361169,0.0216487,0.0310787,0.0230518,0.0392355,0.029179,0.00707947,0.0179653,0.00884762,0.00869381,0.0175413,0.0293821,0.0146441,0.0183725,0.0197083,0.00821522,0.00238047,0.00562062,0.0265694,0.0190887,0,0,0,0,0
0,0.013168,0.0160175,0.0164628,0.024228,0.0158442,0.017578,0,0,0.0176408,0,0.0160771,0.00848916,0.0361972,0.0154563,0.0292361,0.0150937,0.0360006,0.0101709,0.00873213,0.0102781,0.0144921,0.0293386,0.00920958,0.011375,0.00891582,0.00576659,0.0340496,0.0126995,0.00451067,0.00601242,0.0119719,0.0202425,0.0150158,0.0181494,0.021103,0,0,0.0181885,0,0.0137765,0.00980564,0.0321253,0.0230299,0.03951,0.0229111,0.0275521,0.0203459,0.00557716,0.0167509,0.00392788,0.00583754,0.0170675,0.0343323,0.014403,0.0179556,0.0196555,0.00431687,0.000993026,0.00516232,0.0225357,0.0162767,0,0,0,0,0
1,0.013283,0.0163087,0.0187658,0.0245104,0.0155299,0.0170748,0,0,0.0180669,0,0.0160355,0.00876732,0.0360807,0.0170584,0.0290223,0.0156294,0.0360359,0.0113112,0.00967935,0.0108286,0.0153067,0.0299191,0.00849423,0.0107601,0.00811354,0.00664686,0.0326567,0.0130894,0.004329,0.00581302,0.0107374,0.0203844,0.0141112,0.0182788,0.0219798,0,0,0.018301,0,0.0138492,0.00949284,0.0320097,0.0219917,0.039596,0.0246404,0.0281514,0.0210281,0.00527986,0.0172838,0.00522949,0.00582628,0.0176984,0.0340356,0.0144869,0.0183716,0.0176728,0.00467686,0.000935748,0.005166,0.023222,0.0163129,0,0,0,0,0
2,0.0134031,0.0162867,0.0214203,0.0245595,0.0152891,0.0166236,0,0,0.0185707,0,0.0157728,0.00907566,0.0358596,0.0188651,0.0288697,0.0158568,0.0357261,0.0123912,0.0103671,0.0107895,0.0159264,0.0305741,0.00750032,0.00993232,0.0070564,0.00753809,0.030465,0.0135115,0.00408056,0.00575525,0.00976889,0.0204792,0.0133566,0.0184271,0.0228436,0,0,0.0184387,0,0.0139292,0.00938807,0.0318218,0.0209929,0.0397435,0.025762,0.028536,0.0217169,0.00494472,0.0176397,0.0058864,0.00572563,0.0179149,0.0338573,0.014504,0.0183626,0.0157985,0.00486711,0.00102187,0.00517511,0.0236878,0.0163726,0,0,0,0,0
3,0.013364,0.0159342,0.023658,0.0246145,0.0149194,0.0162417,0,0,0.0186926,0,0.0152782,0.00916069,0.0357112,0.0210472,0.0286053,0.0160198,0.0350669,0.0133142,0.0108266,0.0110913,0.0164723,0.0311916,0.00634667,0.00903094,0.0058791,0.00839491,0.0275912,0.0137247,0.0039794,0.00572072,0.00903205,0.0205589,0.0127367,0.0187433,0.0236268,0,0,0.0185863,0,0.0139985,0.00942262,0.0317156,0.0201267,0.0397224,0.0265766,0.028715,0.0224216,0.00454075,0.0178717,0.00621356,0.00556931,0.0180104,0.0336663,0.0144276,0.0181344,0.0141876,0.00502071,0.00115076,0.00519818,0.0240706,0.0164468,0,0,0,0,0
4,0.0139317,0.015216,0.0250606,0.0230576,0.0145524,0.0160947,0,0,0.0212662,0,0.0169539,0.0113465,0.0357452,0.0234167,0.0284393,0.0160197,0.0345724,0.0149947,0.011225,0.0115201,0.0168776,0.0316287,0.00496086,0.00814352,0.0045121,0.00929242,0.0250304,0.0155599,0,0.00715247,0.00851796,0.0203993,0.0122558,0.0191698,0.0238881,0,0,0.018226,0,0.0140455,0.00952306,0.031643,0.0194049,0.0395741,0.0272615,0.0292092,0.0221751,0.00421948,0.0180181,0.00645086,0.00543268,0.0180418,0.0333949,0.0142794,0.0178434,0.0129128,0.00407229,0.00108033,0.00507424,0.0239556,0.0164045,0,0,0,0,0
5,0.0185555,0.0194873,0.0260587,0.0247968,0.0146525,0.0158818,0,0,0.0184546,0,0.0157526,0.00847938,0.0358052,0.0252166,0.0285272,0.0157632,0.0331504,0.00981284,0.0114898,0.0117883,0.0167826,0.0317309,0.00352448,0.00741546,0.00331886,0.0102185,0.0249487,0.0130996,0.00302984,0.00596241,0.00799091,0.0203744,0.0117134,0.0194097,0.0235786,0,0,0.020931,0,0.0139989,0.0108379,0.0315856,0.0186877,0.0397867,0.0279615,0.0288279,0.0211551,0.00382277,0.0180658,0.00685037,0.00531057,0.0180048,0.0329302,0.0140516,0.0176427,0.0116795,0.00426231,0.00152275,0.00547322,0.0240508,0.0204395,0,0,0,0,0
6,0.0191528,0.0199123,0.0281894,0.0245691,0.0147332,0.015902,0,0,0.0179909,0,0.014917,0.00807908,0.0358314,0.0270702,0.0285656,0.0151962,0.0320607,0.00943664,0.0115843,0.0116614,0.0163301,0.0315853,0.00216862,0.00685298,0.00234162,0.0112343,0.028272,0.0125206,0.00320164,0.0058006,0.00798088,0.0203159,0.0114856,0.019754,0.0232858,0,0,0.0208661,0,0.0140618,0.010905,0.0314525,0.0181036,0.0397786,0.0282212,0.0288402,0.0205366,0.00377826,0.0181787,0.00706616,0.00526896,0.0178069,0.0324991,0.0138982,0.0174522,0.0112498,0.00418818,0.00194629,0.0054354,0.0239573,0.0208408,0,0,0,0,0
7,0.0197784,0.0201133,0.0308318,0.0245174,0.0146258,0.0161865,0,0,0.0172973,0,0.0143896,0.0076778,0.0357975,0.027716,0.028514,0.0143725,0.0309369,0.00936323,0.0114101,0.0114789,0.0158143,0.0312647,0.00161723,0.00675995,0.00177962,0.0121838,0.0329228,0.0118291,0.00345924,0.0057337,0.00811584,0.0202266,0.0113354,0.0199172,0.0228464,0,0,0.0206267,0,0.01412,0.011143,0.0312777,0.0175133,0.0396476,0.0286391,0.0287305,0.019668,0.00382787,0.0182188,0.00723836,0.0054003,0.0175395,0.0320593,0.013628,0.0172171,0.0112901,0.00414009,0.00248936,0.0053846,0.0236114,0.0212092,0,0,0,0,0
8,0.0208473,0.0205561,0.0330373,0.0241108,0.0152403,0.0160333,0,0,0.0171133,0,0.0145753,0.0074007,0.0356689,0.0267385,0.0285009,0.0134934,0.030061,0.010135,0.011107,0.0113336,0.0153597,0.0308461,0.00188787,0.00737915,0.00188467,0.0129506,0.0363255,0.011537,0.0030986,0.0056017,0.00824338,0.020061,0.0111776,0.0201133,0.0224412,0,0,0.0203046,0,0.0141617,0.011351,0.0311432,0.0168857,0.0395435,0.0290676,0.028778,0.018679,0.00398295,0.0181455,0.00728543,0.00574514,0.0172995,0.0316594,0.0132789,0.0170054,0.0113665,0.00406643,0.00291243,0.00527602,0.0233402,0.021848,0,0,0,0,0
