Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,LWRA
31,0.0135474,0.0191903,0.0290774,0.0223128,0.0161709,0.00744876,0,0,0.00938438,0,0.0157001,0.0065586,0.0376501,0.0134754,0.0248689,0.00316012,0.00580285,0.0309183,0.00944533,0.00988406,0.00917161,0.0325302,0.00725009,0.0105757,0.00782497,0.0162525,0.0337722,0.0122359,0.00729255,0.0248872,0.0179545,0.0208054,0.0164878,0.00680269,0,0,0.0100327,0,0.0142768,0.00651337,0.0380005,0.0157789,0.035603,0.0213304,0.0111463,0.0151447,0.00649017,0.0212703,0.00723966,0.00615478,0.00791087,0.0279129,0.0118276,0.00758597,0.0249876,0.0127301,0.00244161,0.00402012,0.0232521,0.011423,0,0,0,0,0,0.00259134
32,0.0133207,0.0192107,0.0305938,0.0223197,0.018456,0.00729809,0,0,0.00922822,0,0.0157994,0.00658682,0.0377094,0.0158025,0.0251353,0.00432241,0.00527952,0.0307357,0.00953317,0.0101103,0.00962531,0.0326722,0.00730516,0.010651,0.00798001,0.0165054,0.0350938,0.0119508,0.00733562,0.0242915,0.0179191,0.0207683,0.0163171,0.00653524,0,0,0.0105765,0,0.0142828,0.00680835,0.03805,0.016341,0.0354749,0.0211533,0.0107827,0.0150599,0.00642931,0.021382,0.00719121,0.00590315,0.00785169,0.0277687,0.0119012,0.00768719,0.024131,0.0130799,0.00244745,0.00409993,0.0231324,0.0109087,0,0,0,0,0,0.00257596
33,0.0132136,0.0191731,0.0312309,0.0222049,0.0203178,0.00720912,0,0,0.00901059,0,0.0157881,0.00650669,0.037539,0.0187587,0.0253462,0.00553843,0.00505225,0.0304359,0.00903628,0.0100649,0.00971808,0.0326818,0.00727152,0.0107698,0.00818711,0.016568,0.0352432,0.0117253,0.00734143,0.0236851,0.0178913,0.0205207,0.0162225,0.00640683,0,0,0.0110279,0,0.0142858,0.00704379,0.038084,0.0167835,0.035301,0.0210407,0.0107762,0.0150533,0.00639163,0.0214918,0.0071237,0.00559303,0.00792186,0.0275448,0.0119288,0.00785545,0.0234117,0.0133802,0.00240957,0.00414983,0.023058,0.0105068,0,0,0,0,0,0.00253968
34,0.0132132,0.0191079,0.0309702,0.02213,0.0205229,0.00721259,0,0,0.00883268,0,0.0157333,0.00638603,0.0372581,0.0202608,0.0255109,0.00574254,0.00511765,0.0299224,0.00831096,0.00973965,0.00949347,0.0326222,0.00716168,0.0106685,0.00825184,0.0165934,0.0347268,0.0115101,0.00726941,0.0231835,0.0178718,0.0201223,0.016142,0.00635617,0,0,0.0113792,0,0.0142756,0.00722573,0.0381182,0.0172006,0.0350673,0.0208611,0.011039,0.0149801,0.00631556,0.0215623,0.00702741,0.0053467,0.00810902,0.0272586,0.0119672,0.00809687,0.0227884,0.0136115,0.00235297,0.00419858,0.0229578,0.0103206,0,0,0,0,0,0.00255533
35,0.0132346,0.0190608,0.0301707,0.0222938,0.0191322,0.00722768,0,0,0.00870873,0,0.0156377,0.00635246,0.0369883,0.0191186,0.0255115,0.00481599,0.00535909,0.0295887,0.00768104,0.00950084,0.00908338,0.0322905,0.00701165,0.0105136,0.00810466,0.0164574,0.0344182,0.0112722,0.0071571,0.0226313,0.0178839,0.019665,0.0161081,0.00631741,0,0,0.0115119,0,0.0142595,0.00734234,0.0381417,0.0175795,0.0348053,0.0206533,0.0113749,0.0148341,0.00623832,0.0215732,0.00697823,0.00520866,0.00837431,0.0269299,0.0120079,0.00838929,0.0218447,0.0136987,0.00231036,0.00421423,0.0228356,0.0103701,0,0,0,0,0,0.00279005
36,0.0132231,0.0190025,0.0295876,0.0225509,0.0170147,0.00705489,0,0,0.00866076,0,0.01562,0.00638687,0.0368145,0.0162359,0.0254739,0.00390537,0.00559759,0.0291734,0.00720162,0.00967528,0.00861403,0.0315067,0.0071416,0.0107978,0.00796274,0.0160987,0.0345046,0.0110701,0.00712673,0.0220479,0.017905,0.0192579,0.016016,0.00630212,0,0,0.0115714,0,0.0142305,0.00749867,0.038055,0.0179428,0.0345371,0.0204639,0.0117942,0.0147464,0.00614945,0.0216362,0.00692732,0.00511327,0.00870275,0.0265373,0.0120856,0.0087523,0.0208866,0.0137301,0.00231657,0.0042189,0.0227365,0.0104454,0,0,0,0,0,0.00303209
37,0.0131243,0.0189003,0.0287717,0.0224941,0.0149957,0,0,0,0.00884973,0,0.0156803,0.00636922,0.0368944,0.0134077,0.0252428,0.00463647,0.00599621,0.0287578,0.00670676,0.00992333,0.00787957,0.030218,0.00746624,0.0112126,0.00793368,0.0156584,0.0336307,0.0110956,0.00709033,0.0213728,0.017938,0.0187244,0.0158473,0.00638894,0,0,0.0117777,0,0.0142192,0.00762363,0.0377417,0.0182736,0.0342961,0.0203993,0.0122674,0.0147881,0.00603112,0.0217884,0.00687233,0.00489777,0.00902489,0.026082,0.0121862,0.00916681,0.0198531,0.0137386,0.00229708,0.00421655,0.022595,0.0104786,0,0,0,0,0,0.00285183
38,0.0130266,0.0187094,0.0278648,0.0224348,0.0138894,0.00656741,0,0,0.00904702,0,0.015697,0.00636781,0.0365648,0.0125223,0.0252774,0.00592033,0.00661965,0.028409,0.00617573,0.00968814,0.00699998,0.0289703,0.0077728,0.0114801,0.0080235,0.0151793,0.0322145,0.0110609,0.00701586,0.0208082,0.0179609,0.018041,0.0158471,0.00650072,0,0,0.0120949,0,0.0142181,0.00774907,0.0377064,0.0185252,0.0337888,0.0206796,0.0132033,0.0148063,0.00581552,0.0217469,0.00667976,0.00464174,0.00944567,0.0254134,0.0122266,0.00971189,0.0188814,0.0137515,0.00228703,0.00420654,0.0224511,0.0105266,0,0,0,0,0,0.00270423
39,0.0127907,0.0186405,0.0269218,0.0224776,0.013188,0.00657988,0,0,0.00925127,0,0.0156656,0.00639901,0.0365054,0.0132904,0.0251083,0.00704273,0.0071152,0.0279383,0.00563547,0.00951089,0.00645862,0.027706,0.00811229,0.0114843,0.0078325,0.0145491,0.0308699,0.0110052,0.0069561,0.0202738,0.0179837,0.0175691,0.0158233,0.00671686,0,0,0.0123876,0,0.0142104,0.0078433,0.0376953,0.0189183,0.0333435,0.0208198,0.0140333,0.0149181,0.00561049,0.0216887,0.00647283,0.00432774,0.00983956,0.0247904,0.0123739,0.0102104,0.0177921,0.0137477,0.00221915,0.00416577,0.0223238,0.0107273,0,0,0,0,0,0.00269707
40,0.0125895,0.0184822,0.0259872,0.0225292,0.0120028,0.00685669,0,0,0.00943053,0,0.0156536,0.00650258,0.0364875,0.0147223,0.0250526,0.0079692,0.00716573,0.0275274,0.00542147,0.0100321,0.00679341,0.026839,0.00860931,0.0120223,0.00756537,0.0142595,0.0301931,0.0107984,0.00696505,0.0198221,0.0179382,0.0174194,0.0156953,0.00708229,0,0,0.0129425,0,0.0142035,0.00807793,0.0377524,0.0195614,0.0329202,0.0207792,0.0145749,0.0151912,0.00536408,0.0216448,0.00627843,0.00390404,0.010208,0.0241872,0.0126489,0.010684,0.0165023,0.013977,0.00228096,0.00417826,0.022174,0.0110436,0,0,0,0,0,0.00271644
