Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65
All Timesteps RMSE,0.0075678,0.00624573,0.0277202,0.018356,0.0141139,0.00439891,0,0,0.00440229,0,0.0200717,0.0028942,0.0372733,0.020438,0.0238025,0.0165019,0.00551481,0.0116783,0.0089971,0.0142157,0.0105072,0.0243687,0.0114371,0.0153619,0.00731796,0.0145518,0.0343961,0.00444731,0.00458176,0.00151182,0.0159037,0.0186126,0.0187645,0.00794705,0.0111633,0,0,0.00463541,0,0.0161562,0.0024549,0.0372504,0.0274538,0.0288135,0.0150683,0.00716295,0.0113393,0.00574077,0.0176277,0.00756253,0.00717778,0.0199598,0.0344828,0.0170121,0.0224512,0.0157756,0.00521649,0.00170876,0.00125143,0.0099963,0.00894025,0,0,0,0,0
0,0.0262346,0.0101549,0.0105463,0.0156602,0.0137974,0.00463292,0,0,0.00840866,0,0.0218223,0.00668198,0.0368612,0.0189727,0.0201809,0.00207338,0.00744945,0.0242026,0.00455816,0.00284593,0.00397982,0.0255937,0.00670271,0.00863451,0.00876705,0.00819778,0.0286078,0.00761169,0.00444608,0.00464185,0.0112188,0.0181541,0.0106179,0.0080731,0.0432286,0,0,0.0075216,0,0.0171371,0.00152271,0.0342129,0.0175762,0.0319047,0.00811502,0.00510082,0.0453542,0.00535339,0.0203452,0.0115544,0.0092091,0.0120617,0.0438705,0.0106691,0.0117856,0.0142439,0.0186177,0.00382965,0.00218436,0.0229837,0.0255471,0,0,0,0,0
1,0.0223051,0.0133358,0.00878088,0.0162399,0.0137349,0.00472044,0,0,0.00794432,0,0.0214943,0.00644085,0.0364211,0.0147633,0.0203635,0.00464978,0.00611335,0.0302034,0.00369261,0.00257056,0.0035012,0.0248818,0.00842889,0.011204,0.0088861,0.00849564,0.025064,0.00827655,0.00391518,0.00463173,0.012619,0.0173873,0.00919668,0.00811604,0.0418793,0,0,0.0116192,0,0.0172033,0.0040145,0.0348076,0.0149947,0.0326028,0.00796135,0.00664151,0.0447104,0.00472759,0.0197921,0.00994572,0.00833829,0.0109194,0.0422197,0.00912,0.00996231,0.0160723,0.0206416,0.00406235,0.00289314,0.0281105,0.0252418,0,0,0,0,0
2,0.0438934,0.0465631,0.0405429,0.0144213,0.016582,0.00565125,0,0,0.0160256,0,0.0224937,0.0148972,0.0380871,0.0267341,0.0145461,0.0370602,0.0127793,0.0840199,0.0251897,0.0389308,0.0280189,0.0222148,0.0211786,0.0278112,0.0118971,0.00879399,0.0714017,0.0254168,0.00149804,0.00775267,0.0133652,0.0160115,0.0111799,0.00707112,0.0466297,0,0,0.0191088,0,0.0169465,0.00964281,0.0348467,0.0167397,0.0327469,0.0086732,0.00577821,0.0438477,0.00610036,0.0211725,0.0102685,0.00940156,0.0125133,0.0436126,0.0107116,0.0120608,0.0138119,0.026108,0.00418918,0.00430372,0.0634158,0.0458614,0,0,0,0,0
3,0.0275045,0.0205914,0.00869482,0.0157781,0.0125095,0.00425274,0,0,0.0111724,0,0.0215675,0.00853747,0.0362685,0.00734029,0.0198786,0.00857626,0.0049035,0.0500304,0.0026228,0.00700663,0.00513072,0.0242857,0.00990389,0.0133391,0.00798266,0.00912505,0.0218296,0.0161582,0.00194714,0.00533956,0.0193169,0.0172424,0.0160634,0.00827783,0.042993,0,0,0.0103915,0,0.016792,0.00379186,0.0364491,0.018088,0.0318748,0.0119724,0.00549225,0.0415853,0.00479589,0.0187908,0.0112945,0.0101747,0.0134949,0.0406487,0.00995262,0.0143808,0.0221775,0.0188627,0.00263181,0.00247881,0.0376465,0.0320676,0,0,0,0,0
4,0.0186459,0.013456,0.00915818,0.0183721,0.0117116,0.00467209,0,0,0.0035726,0,0.0200089,0.00331685,0.0364321,0.00641063,0.0194882,0.00987802,0.00428698,0.027015,0.00252153,0.00931247,0.0066254,0.0242465,0.0102991,0.0139401,0.00720773,0.00933316,0.0205053,0.00835226,0.00334239,0.00259206,0.0161131,0.017723,0.0102598,0.00851351,0.0372594,0,0,0.00729294,0,0.0170822,0.00179595,0.036477,0.0122518,0.0320987,0.0106826,0.00543471,0.0407623,0.00505363,0.0163477,0.0112486,0.0108341,0.0115776,0.0411099,0.00804648,0.0100951,0.0200045,0.0162761,0.00272583,0.00237913,0.0264537,0.0218311,0,0,0,0,0
5,0.0246444,0.0174538,0.00984581,0.0173602,0.0108787,0.00466233,0,0,0.0071361,0,0.0206959,0.00592414,0.0366104,0.0092658,0.0190165,0.0107335,0.00391784,0.0434112,0.00281801,0.0110085,0.0080276,0.0246984,0.0105892,0.0141187,0.00652516,0.00965698,0.0191605,0.014088,0.00191321,0.00377792,0.0123953,0.017851,0.00916111,0.00746528,0.0415326,0,0,0.00682181,0,0.0168647,0.00185788,0.0365748,0.0130784,0.0328496,0.00761262,0.00469318,0.0417631,0.004642,0.0171443,0.00969733,0.00912209,0.0101358,0.0409207,0.00781755,0.0088986,0.0139672,0.0167335,0.00267346,0.00179526,0.0345156,0.0297056,0,0,0,0,0
6,0.0198581,0.0147923,0.0108365,0.0186353,0.0105627,0.00464849,0,0,0.00292624,0,0.0200141,0.00260795,0.036758,0.0134748,0.0187097,0.0111866,0.0038459,0.0304901,0.00370912,0.0120825,0.00892325,0.0250205,0.0109027,0.0142091,0.00604704,0.0100898,0.0165194,0.0100483,0.00271744,0.00230746,0.0118787,0.0181361,0.00971704,0.00672444,0.039237,0,0,0.00600341,0,0.0173533,0.0011186,0.0364106,0.0140494,0.0331195,0.00712424,0.00397539,0.042607,0.00493622,0.0168806,0.00954801,0.0093825,0.0102225,0.0411251,0.00808345,0.00887254,0.0124586,0.0159324,0.00297619,0.00223818,0.029417,0.0244785,0,0,0,0,0
7,0.0316354,0.0209309,0.0112968,0.0163601,0.0108254,0.00499448,0,0,0.00993457,0,0.0214765,0.00790712,0.0368988,0.017978,0.0184758,0.0114085,0.00328376,0.0533061,0.00431149,0.0126896,0.00934254,0.025171,0.0111057,0.0144879,0.0057298,0.0105181,0.0129121,0.0187641,0.000745954,0.00440874,0.0114215,0.0181923,0.0103841,0.006112,0.0485476,0,0,0.00562845,0,0.0172801,0.000906183,0.0355701,0.0150433,0.0331856,0.007229,0.00385629,0.0459377,0.00539394,0.0170376,0.00969324,0.00987776,0.010671,0.041317,0.00843484,0.00926791,0.0109803,0.0171914,0.00277858,0.00199362,0.0404049,0.0373218,0,0,0,0,0
8,0.0296716,0.0201966,0.0114385,0.0167257,0.0113034,0.00545114,0,0,0.00747052,0,0.0212305,0.00645261,0.0364215,0.0223486,0.0184134,0.0119916,0.00246992,0.0495392,0.00534795,0.0134483,0.00942563,0.0251776,0.0113543,0.0153208,0.005638,0.0109521,0.0111711,0.017147,0.000686585,0.00389381,0.0126453,0.018101,0.0117145,0.0061469,0.0481434,0,0,0.00621312,0,0.0173863,0.00144388,0.0347718,0.0159982,0.0333162,0.00870916,0.00469057,0.0468957,0.00587505,0.016522,0.0107722,0.0110021,0.0114967,0.0411641,0.00851684,0.0105712,0.0118168,0.0174394,0.00335973,0.00221647,0.0392168,0.0358366,0,0,0,0,0
