Timestep,C7,CLAV,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,LASI,LWRA
9,0.00547273,0.00383379,0,0.0165668,0.0189857,0,0,0.00328541,0,0.0208816,0.00274606,0.0359814,0.0161468,0.0190737,0.0110626,0.00422799,0.00352394,0.00600004,0.0130702,0.0103328,0.0222899,0.0116515,0.0189379,0.00649017,0.0125181,0.0476673,0.00300267,0.00252349,0.0169329,0.0190556,0.0179476,0.00454138,0.00522305,0,0,0.000673941,0,0.0161325,0.000724865,0.033517,0.0230647,0.0360702,0.0112761,0.00397265,0.004334,0.00440039,0.0212627,0.0152802,0.0113181,0.0164944,0.0373759,0.00832763,0.0212309,0.0166523,0.00180331,0.00118797,0.000312252,0.00189096,0.0042421,0,0,0,0,0,0,0
10,0.00499546,0.00363803,0,0.016512,0.0185041,0,0,0.0032764,0,0.0208492,0.00265992,0.0360597,0.01472,0.0191541,0.0105765,0.00423428,0.00285934,0.00613622,0.0125095,0.0103238,0.0220808,0.011173,0.0182255,0.00610807,0.0122752,0.046647,0.002736,0.00257529,0.0172473,0.0189921,0.0182069,0.00507582,0.00488655,0,0,0.000687595,0,0.0161106,0.000865474,0.0336452,0.0241336,0.0358587,0.0109531,0.00450841,0.00419921,0.00404333,0.021198,0.015089,0.0110469,0.0169321,0.0371645,0.00868414,0.0218802,0.0170013,0.00171671,0.00158291,0.000304531,0.00163165,0.00360161,0,0,0,0,0,0,0
11,0.0042904,0.00300926,0,0.0164661,0.0178335,0,0,0.00370292,0,0.0208669,0.00272422,0.036335,0.0134,0.0196355,0.0100792,0.003881,0.0023782,0.00639968,0.0119159,0.0103689,0.0220059,0.0106657,0.0173088,0.00559792,0.0119205,0.0457297,0.00275093,0.00275793,0.0178958,0.0188262,0.0187878,0.00543914,0.00479408,0,0,0.000779119,0,0.0159371,0.00096794,0.0336356,0.0263432,0.0356408,0.011087,0.00472802,0.00437794,0.00386768,0.0212832,0.0151333,0.0109341,0.0173547,0.0369456,0.00897648,0.0224179,0.0172863,0.00151177,0.00145784,0.000392996,0.00105615,0.00298444,0,0,0,0,0,0.00401814,0
12,0.00405194,0.00275461,0.0332576,0.0164367,0.0163169,0,0,0.0040289,0,0.0209375,0.00262545,0.0365769,0.0108849,0.0197364,0.00937361,0.0036202,0.00232068,0.00652446,0.0114094,0.0104265,0.0218421,0.00987445,0.0158173,0.0043759,0.0121369,0.043412,0.00276417,0.00282854,0.0183945,0.0188709,0.0191614,0.00587523,0.0048122,0,0,0.000491862,0,0.0159804,0.00099286,0.0337441,0.0272673,0.035517,0.0109669,0.00503256,0.00487072,0.00357171,0.0214411,0.0147983,0.010746,0.0175643,0.0367931,0.00920408,0.0226729,0.0179153,0.00175774,0.00178316,0.000407587,0.000971437,0.0029337,0,0,0,0,0,0,0
13,0.00584234,0.00524395,0.0327796,0.0164209,0.0157033,0,0,0,0,0.0202546,0.00650365,0.0368619,0.00973783,0.0202428,0.00885204,0.00380808,0.00688283,0.0069762,0.0109715,0.0106705,0.0220711,0.00963446,0.0151459,0.00403678,0.0117559,0.0429787,0.00650284,0.00495914,0.0185871,0.0195787,0.0193642,0.00656263,0.00654932,0,0,0.00505848,0,0.0157068,0.00366163,0.0336698,0.0273746,0.0353692,0.0107186,0.00569238,0.00983547,0.00326509,0.0214889,0.0143169,0.0103317,0.0175191,0.0365436,0.00936884,0.0225978,0.0183061,0.00616887,0.0019788,0.00166877,0.00381843,0.00208004,0,0,0,0,0,0.00437164,0
14,0.00305037,0.00351515,0.0330409,0.016145,0.0152941,0,0,0.00541128,0,0.0209592,0.0030205,0.0370145,0.00932433,0.0203484,0.00810531,0.0042728,0.00363121,0.00739432,0.0104892,0.0107945,0.0220201,0.00973024,0.0146651,0.00388504,0.0113941,0.0431014,0.0040284,0.00307156,0.0192605,0.0190226,0.0198988,0.00740745,0.00558881,0,0,0.00167767,0,0.0158548,0.00168225,0.0337045,0.0277303,0.035247,0.0108538,0.00656389,0.00706265,0.00292677,0.0215718,0.0140364,0.010133,0.0176423,0.0362362,0.00964054,0.0228012,0.019228,0.0031008,0.00195157,0.000735181,0.00190489,0.00286536,0,0,0,0,0,0.00463741,0
15,0.00239832,0.00255572,0.0334876,0.0160952,0.0147907,0,0,0.00521626,0,0.020821,0.00309444,0.0372106,0.00932361,0.0204614,0.00785275,0.00383311,0.00315195,0.0079234,0.0102321,0.0109502,0.0219355,0.00975932,0.0142477,0.0037754,0.0109435,0.0437268,0.00364511,0.00315621,0.0205033,0.0189544,0.0207867,0.00771848,0.00438069,0,0,0.00168355,0,0.0159246,0.00168154,0.0337868,0.0284024,0.0351458,0.0113775,0.0065494,0.00587399,0.00274081,0.021691,0.0141068,0.0101666,0.0180082,0.0359718,0.00993026,0.0232286,0.0199495,0.00271038,0.00152016,0.000657672,0.000435626,0.00243099,0,0,0,0,0,0.00497422,0
16,0.00293334,0.0024243,0.0340485,0.0160704,0.0145658,0,0,0.00516144,0,0.020852,0.00294428,0.0373783,0.00970378,0.0206365,0.00749076,0.00408835,0.0030639,0.0083435,0.0100057,0.0109594,0.0218437,0.0098952,0.0139218,0.00376347,0.0105136,0.0447008,0.00348289,0.00297229,0.0217828,0.0188777,0.0217175,0.0082332,0.00485077,0,0,0.00155619,0,0.0158791,0.00144811,0.033982,0.0285398,0.0349616,0.011787,0.00725059,0.00636334,0.00249772,0.0218135,0.0141757,0.0102616,0.0185169,0.0355348,0.0103313,0.023903,0.0209441,0.00279774,0.000960066,0.000722863,0.000705777,0.00282004,0,0,0,0,0,0.00538694,0
17,0.00311262,0.00179056,0.0347883,0.0159727,0.0143919,0,0,0.00500426,0,0.0207516,0.00296616,0.0374358,0.0104065,0.0206907,0.00693254,0.00440379,0.00312855,0.00863021,0.00976037,0.0108757,0.0216213,0.010136,0.0138019,0.00379138,0.0100591,0.0457974,0.0033896,0.00293808,0.023195,0.0188562,0.0229882,0.0088021,0.00530113,0,0,0.0029353,0,0.0159005,0.00189848,0.0344313,0.0282247,0.0346193,0.0123848,0.0081499,0.0063799,0.00224089,0.0219975,0.0144028,0.010593,0.0193597,0.0349759,0.0109242,0.0250768,0.0223751,0.00248059,0.0019392,0.000772483,0.000795576,0.00296192,0,0,0,0,0,0,0
18,0.00324199,0.00239104,0.0354872,0.0161186,0.0138015,0,0,0.00440905,0,0.0207793,0.00277441,0.0376431,0.0110008,0.0209528,0.00667439,0.00461971,0.00290339,0.00893985,0.00957163,0.01081,0.0215447,0.01029,0.0136266,0.00401299,0.00956624,0.046764,0.00298732,0.00290977,0.0245543,0.0187987,0.0245126,0.00916974,0.00453666,0,0,0.00251465,0,0.0158836,0.00170036,0.0344373,0.0289658,0.0342249,0.0131536,0.00888589,0.00594891,0.0022617,0.0222359,0.0148706,0.0109189,0.0201146,0.0344267,0.0114769,0.0261378,0.0238255,0.00287658,0.000820272,0.000428652,0.000988159,0.00311385,0,0,0,0,0,0,0
