Timestep,C7,CLAV,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,LASI,LWRA
103,0.00718601,0.00294397,0.0232017,0.0176525,0.0112179,0,0,0.00619007,0,0.0209178,0.00276995,0.0384311,0.0260755,0.0246585,0.00357652,0.00384661,0.00199581,0.00602813,0.00569314,0.00335373,0.0268422,0.00536281,0.00835079,0.004207,0.00831948,0.0298515,0.00143429,0.00151639,0.010707,0.0186404,0.0217635,0.00574257,0.00321337,0,0,0.00214347,0,0.0160279,0.00129723,0.0386487,0.0313006,0.0335931,0.0171184,0.0118672,0.00268376,0.00491019,0.0185158,0.00554553,0.00408859,0.0270352,0.0471859,0.02209,0.0311815,0.00961051,0.00117677,0.000621268,0.000580297,0.00229729,0.0058774,0,0,0,0,0,0.00609804,0.00711505
104,0.00743118,0.0027858,0.0225609,0.017245,0.0108224,0,0,0.00570608,0,0.0213156,0.00259545,0.0382109,0.0259441,0.0244722,0.00394362,0.00391401,0.0023095,0.00587675,0.0055788,0.00290312,0.0267792,0.00558059,0.00830959,0.00423988,0.00858296,0.0298338,0.00159354,0.00156533,0.011338,0.0185998,0.0204126,0.00552469,0.00351917,0,0,0.0022171,0,0.0160417,0.00115408,0.0389486,0.0297347,0.0339667,0.0156293,0.011671,0.00240138,0.00514273,0.0193226,0.00531432,0.00446838,0.0253806,0.0467533,0.0210198,0.029198,0.0122465,0.00107167,0.000800444,0.000574804,0.00225098,0.00603133,0,0,0,0,0,0.00637468,0.00729258
105,0.00757811,0.00267358,0.0219388,0.0173838,0.0103325,0,0,0.00548092,0,0.0209921,0.00237399,0.0380806,0.0256532,0.0242911,0.00437453,0.00409595,0.0025706,0.00568889,0.00542279,0.00243777,0.0266851,0.00570161,0.00830352,0.00425177,0.00888235,0.0298858,0.00157174,0.00166318,0.0117518,0.0185604,0.0190825,0.00538282,0.00370578,0,0,0.00237836,0,0.0160576,0.00111787,0.0391844,0.0291355,0.0342325,0.0136987,0.0113785,0.00214194,0.00519359,0.0198134,0.00513022,0.00448152,0.0237746,0.0466808,0.0201901,0.0272171,0.0137764,0.00110359,0.000687808,0.000506282,0.00230344,0.00611617,0,0,0,0,0,0.00663481,0.00714045
106,0.00758685,0.0025843,0.0211984,0.0175934,0.00975943,0,0,0.00536864,0,0.0208129,0.00237081,0.0379441,0.0252572,0.024025,0.00491851,0.00445729,0.00284004,0.00563416,0.00526809,0.00211627,0.0265182,0.00580582,0.0082773,0.00427528,0.0092677,0.029892,0.00159268,0.00182825,0.0108894,0.0184901,0.0172163,0.00537429,0.00379795,0,0,0.00258268,0,0.0160436,0.00116697,0.0393619,0.02846,0.0342359,0.00988898,0.0109908,0.0018962,0.00486639,0.0196989,0.00396201,0.00358224,0.0215819,0.0466851,0.0188914,0.0241736,0.0131614,0.00116559,0.000594637,0.000468658,0.00243619,0.00614259,0,0,0,0,0,0.00684993,0.00705842
107,0.00739688,0.00249835,0.0202964,0.0175481,0.00920469,0,0,0.00512349,0,0.0208268,0.00236889,0.0377575,0.0247943,0.0237931,0.00553637,0.00481535,0.00305246,0.00555632,0.00511524,0.0019624,0.0263186,0.00592787,0.0082024,0.00425337,0.00973818,0.0297642,0.00174665,0.00192206,0.00968328,0.0184662,0.0154654,0.00540458,0.00378942,0,0,0.0028832,0,0.016072,0.00136138,0.0392574,0.0272374,0.0340524,0.00552041,0.0104919,0.00190942,0.0041734,0.0192195,0.00282548,0.00225631,0.0191466,0.0463039,0.0171801,0.020783,0.0113183,0.00141638,0.000559188,0.000554552,0.00257213,0.00609454,0,0,0,0,0,0.00698787,0.00704226
108,0.00701909,0.00241065,0.0193182,0.0173948,0.00861625,0,0,0.00489938,0,0.0209216,0.00236559,0.0375269,0.0242654,0.0236364,0.00618761,0.00514467,0.00319335,0.00554894,0.00503544,0.00193633,0.0260396,0.00603041,0.0080493,0.00427586,0.010178,0.029512,0.00189235,0.00197036,0.0087942,0.018381,0.013985,0.00544285,0.00369969,0,0,0.00315752,0,0.0160461,0.00157989,0.0388277,0.0252984,0.0337246,0.00293118,0.00993375,0.00208564,0.00325634,0.0186354,0.00394726,0.00219095,0.0168352,0.0456108,0.0155247,0.0176648,0.00982425,0.00177231,0.000562747,0.000601582,0.0027225,0.00596466,0,0,0,0,0,0.00700212,0.00707705
109,0.00531381,0.00200101,0.0181508,0.0172753,0.00825326,0,0,0.00445762,0,0.0212075,0.00237757,0.0372435,0.0235472,0.0235373,0.00661789,0.00542377,0.00347956,0.00552998,0.005047,0.00228538,0.0256865,0.00606544,0.00777518,0.00442474,0.0106342,0.0291189,0.00246409,0.00201929,0.00814879,0.0183401,0.012439,0.00544987,0.00303463,0,0,0.00975207,0,0.016102,0.00595733,0.0383153,0.0226758,0.0333456,0.00351682,0.00953431,0.00301782,0.00242324,0.0183579,0.00623722,0.00392128,0.0148867,0.0449985,0.0141085,0.0147763,0.00911798,0.00456901,0.00330185,0.00150929,0.00243283,0.00597644,0,0,0,0,0,0.0067365,0.00710477
110,0.00596786,0.00274183,0.0166127,0.017037,0.0080529,0,0,0.00446022,0,0.021547,0.00247467,0.0368867,0.0226656,0.0235265,0.00670573,0.00535077,0.00389117,0.005447,0.00497622,0.00295437,0.0252736,0.00600596,0.00721116,0.00481817,0.0110224,0.0281465,0.00260112,0.00208749,0.00727041,0.0183107,0.0109371,0.00545968,0.0037302,0,0,0.0037813,0,0.0161675,0.00189073,0.0377848,0.0199839,0.0330164,0.00513941,0.00926101,0.00270008,0.0019631,0.0186876,0.00876874,0.00583061,0.0135204,0.0445783,0.012859,0.0125158,0.00931869,0.00279907,0.000742174,0.000787968,0.00392867,0.00542048,0,0,0,0,0,0.00645346,0.00729078
111,0.00566902,0.00292522,0.0152001,0.0169751,0.00799946,0,0,0.00457091,0,0.0214739,0.00270328,0.0365108,0.0214041,0.0233473,0.00681888,0.00543447,0.00414022,0.00535977,0.00494006,0.00367375,0.0248552,0.00596016,0.00657563,0.00524985,0.0113733,0.0270004,0.00286346,0.00219045,0.0069556,0.0182507,0.00979696,0.00540648,0.00372031,0,0,0.00398354,0,0.0161351,0.00198259,0.0372842,0.0174378,0.0328791,0.0067839,0.00890146,0.00303126,0.00204125,0.0196204,0.0105755,0.00723954,0.0127075,0.0442364,0.0115669,0.0111727,0.00952489,0.00316328,0.000652204,0.00080878,0.004352,0.00524962,0,0,0,0,0,0.00624404,0.00720715
112,0.00538022,0.00316217,0.0137132,0.0166442,0.00807612,0,0,0.00451543,0,0.0218493,0.00277973,0.0361429,0.0196037,0.0231422,0.00689345,0.00550335,0.00440089,0.0052436,0.00504543,0.00456639,0.0244184,0.00590804,0.00600469,0.00568124,0.011651,0.0258062,0.00311542,0.00216877,0.00697543,0.0181817,0.00873621,0.00545348,0.00365246,0,0,0.00417977,0,0.0160861,0.00214672,0.0370298,0.0144206,0.0326786,0.00974249,0.00845462,0.00352105,0.00255975,0.0212852,0.0125783,0.00842723,0.0124618,0.0435508,0.00976967,0.0106416,0.00988583,0.00354347,0.000640692,0.000828405,0.00480604,0.00497122,0,0,0,0,0,0.0060328,0.00731679
113,0.0051105,0.00333664,0.0126265,0.0166739,0.00825708,0,0,0.00476668,0,0.0221315,0.0029499,0.0358695,0.0172841,0.0228482,0.00692389,0.00549582,0.00451085,0.00496652,0.00521898,0.00514189,0.024055,0.00596019,0.00604454,0.00611511,0.0117352,0.0247436,0.00346557,0.0021684,0.00773863,0.018163,0.0082948,0.00533359,0.00342881,0,0,0.0042715,0,0.0160469,0.00228578,0.0368756,0.0120826,0.0327174,0.0124905,0.00793269,0.00384227,0.00329094,0.0227517,0.0138711,0.00900748,0.0128882,0.0426797,0.00832268,0.0112798,0.0103465,0.00375025,0.000740431,0.000789015,0.00511223,0.00479269,0,0,0,0,0,0.00567674,0.00734379
114,0.00469219,0.00347642,0.0120607,0.0166322,0.00852183,0,0,0.00524581,0,0.0220735,0.00319176,0.0358189,0.0144578,0.0224332,0.00744517,0.00532525,0.00456213,0.00443528,0.00550816,0.00580704,0.0237425,0.00620701,0.00708917,0.006602,0.0116948,0.0239258,0.00386352,0.00213548,0.00831422,0.0182368,0.00821828,0.00509426,0.00312687,0,0,0.00437572,0,0.0160845,0.00251807,0.036878,0.0107246,0.0330162,0.0138029,0.00744412,0.00405852,0.00407126,0.0232792,0.0142528,0.00916097,0.01317,0.0419029,0.00747336,0.0117751,0.0109613,0.00381324,0.000940174,0.000793582,0.00536344,0.00465695,0,0,0,0,0,0.00513898,0.00724705
115,0.00408697,0.00352486,0.01213,0.0166234,0.00886342,0,0,0.00566182,0,0.0219489,0.00328361,0.0359349,0.0112679,0.0219321,0.00852076,0.0050154,0.00459117,0.00375936,0.00616324,0.00669829,0.0234704,0.00673537,0.00886883,0.00704003,0.0115884,0.023207,0.0041701,0.00193362,0.008569,0.0183454,0.0080433,0.00488716,0.00269653,0,0,0.00449148,0,0.0161705,0.00277319,0.0371369,0.00988004,0.0332888,0.0144478,0.00679521,0.00416795,0.00480921,0.0233048,0.0140679,0.00943261,0.0134357,0.0412914,0.00697751,0.0122353,0.0111492,0.00369542,0.0014444,0.000814902,0.00546887,0.00449241,0,0,0,0,0,0.00442403,0.00724412
116,0.00447769,0.0034845,0.0130713,0.0169999,0.00917003,0,0,0.00532496,0,0.0217325,0.00274772,0.0361599,0.00798143,0.0214598,0.0097986,0.00472806,0.00436841,0.00300051,0.00724728,0.00747874,0.0232946,0.00757457,0.0109102,0.00727311,0.0114736,0.0220954,0.00403363,0.00168798,0.00861939,0.0184388,0.00787909,0.00462772,0.00272099,0,0,0.00366439,0,0.0161476,0.00197816,0.0376055,0.00953571,0.0335168,0.0141684,0.00589141,0.00402622,0.00526415,0.0228594,0.0136358,0.00967276,0.0133439,0.0409204,0.00684249,0.0124117,0.010552,0.00362267,0.00138128,0.000559185,0.00490814,0.00499892,0,0,0,0,0,0.0036377,0.0072218
117,0.00393242,0.00361038,0.0137957,0.0173814,0.00918958,0,0,0.00567406,0,0.0213309,0.00264855,0.0364644,0.00472422,0.0208747,0.0108759,0.00427562,0.00431149,0.00232519,0.0087687,0.00849329,0.0231922,0.00821595,0.0125697,0.00700472,0.0113081,0.0213878,0.00402758,0.00146705,0.00813881,0.0185292,0.00762819,0.00446507,0.0027981,0,0,0.00290581,0,0.0161633,0.00145663,0.0380877,0.00952756,0.0337474,0.0130444,0.00535835,0.00405389,0.005337,0.0219301,0.0129464,0.00968842,0.0128726,0.0407789,0.00697409,0.0121069,0.00954953,0.00322635,0.00165647,0.000282721,0.00524644,0.00438336,0,0,0,0,0,0.00288432,0.00671793
118,0.00349913,0.00357263,0.0148777,0.0180097,0.00894756,0,0,0.00587796,0,0.0206189,0.00258565,0.0367135,0.00269113,0.0202876,0.0117688,0.00385734,0.00409365,0.00208298,0.0104798,0.00976114,0.0233061,0.00849408,0.0137227,0.00645809,0.0111621,0.0213601,0.00384175,0.00136214,0.0075677,0.0187023,0.00737346,0.0043322,0.00285108,0,0,0.00194706,0,0.0161706,0.000845676,0.0383893,0.00983706,0.0339709,0.011698,0.00503232,0.00395066,0.00512496,0.0207587,0.012212,0.00952157,0.0122868,0.0407204,0.00727067,0.0116409,0.00814798,0.00260701,0.00143627,0.000151523,0.00541052,0.00373251,0,0,0,0,0,0.00250867,0.00613444
119,0.00335542,0.00369161,0.0164594,0.018091,0.00876266,0,0,0.0059588,0,0.0205995,0.00233278,0.0368427,0.0047818,0.0196927,0.0123694,0.00354822,0.0041489,0.00266194,0.0120594,0.0110076,0.0236661,0.00862952,0.014424,0.00574154,0.0110936,0.0216893,0.00380708,0.00107663,0.007187,0.0189017,0.00721237,0.00432468,0.00284759,0,0,0.00121107,0,0.016204,0.000575014,0.0383084,0.010502,0.0341697,0.0106199,0.00476684,0.00404499,0.00496485,0.0197302,0.0118008,0.0095084,0.0118014,0.0407346,0.00753478,0.0113156,0.00670559,0.00228916,0.000932692,0.000434891,0.00572282,0.00311985,0,0,0,0,0,0.00269834,0.0058519
120,0.0027862,0.00290011,0.0181756,0.0181973,0.00896945,0,0,0.00720108,0,0.0203105,0.00286546,0.0367664,0.00830808,0.0190636,0.0127629,0.00291297,0.00415613,0.00373197,0.0133324,0.0120278,0.0241275,0.00883202,0.0149573,0.0051198,0.0111059,0.0216263,0.00450164,0.000789392,0.00688967,0.0190694,0.00723508,0.00431476,0.00213492,0,0,0.0105685,0,0.0162821,0.00540522,0.0376352,0.0113748,0.0344466,0.00971765,0.00496673,0.00389931,0.00495212,0.0189924,0.0115043,0.00967815,0.011512,0.0408417,0.00776438,0.0112363,0.00562092,0.00357006,0.00374125,0.00112101,0.00514252,0.00304716,0,0,0,0,0,0.00326805,0.00520907
121,0.00256759,0.00389786,0.0198174,0.0187394,0.00932143,0,0,0.00684509,0,0.0198516,0.00250773,0.0366335,0.0118703,0.0186915,0.0131557,0.00201548,0.00401372,0.0048182,0.0142997,0.012881,0.0246536,0.00914116,0.0155085,0.00482078,0.0111743,0.0212997,0.00384984,0.00133126,0.00686996,0.0191629,0.00747436,0.00418412,0.003586,0,0,0.00163145,0,0.0162576,0.00128468,0.0364474,0.0121681,0.0346809,0.00887337,0.00531978,0.00468578,0.00506735,0.0185807,0.0112801,0.0099277,0.0115308,0.0410567,0.00809617,0.011504,0.00480158,0.00203516,0.000803473,0.000993275,0.00662304,0.00202335,0,0,0,0,0,0.00392236,0.00474274
122,0.00273516,0.00374293,0.0211224,0.0195011,0.00991139,0,0,0.00680733,0,0.0191474,0.00266145,0.0364878,0.0154101,0.0184181,0.0133334,0.00145795,0.0036071,0.0055793,0.0148904,0.0133468,0.0250858,0.00936349,0.0158994,0.00461989,0.0113313,0.0217024,0.00363175,0.00184198,0.0070794,0.0192717,0.00790089,0.00383533,0.00351159,0,0,0.00235222,0,0.0162272,0.00170539,0.0351794,0.0129499,0.0349405,0.00806728,0.00535103,0.00464012,0.00518927,0.0184769,0.011105,0.0100532,0.0116718,0.0412062,0.00842784,0.0121851,0.00425709,0.00237551,0.00144712,0.00116379,0.00634582,0.00228451,0,0,0,0,0,0.00437858,0.00438844
123,0.00279017,0.00362662,0.0223836,0.0198536,0.0108919,0,0,0.00701713,0,0.0188714,0.00286046,0.0364474,0.01915,0.0183003,0.0132834,0.00126103,0.00343092,0.00607871,0.0151399,0.0133212,0.0253341,0.00948156,0.0160989,0.00444666,0.0116409,0.0243103,0.00375672,0.00222984,0.00731455,0.0193,0.00828099,0.00330259,0.00322107,0,0,0.00278517,0,0.016177,0.00178721,0.0341929,0.013679,0.0352843,0.0068544,0.00518837,0.00449744,0.00522314,0.0184901,0.0105664,0.00981903,0.0117113,0.0412699,0.00875782,0.0127808,0.00385557,0.00262235,0.00169767,0.00118094,0.00605328,0.0025064,0,0,0,0,0,0.00452834,0.00421892
124,0.00268242,0.00344338,0.0240413,0.0198605,0.0118213,0,0,0.00716527,0,0.0188148,0.00288016,0.0364151,0.0232673,0.0184452,0.0130753,0.00130941,0.00335238,0.00635523,0.0150451,0.012897,0.0254285,0.00949493,0.0161938,0.00442368,0.0120608,0.0283208,0.00394591,0.00237353,0.00766448,0.0192415,0.00857498,0.00270119,0.00283475,0,0,0.00276867,0,0.0161561,0.00153832,0.033493,0.0142976,0.0356402,0.00538557,0.00492253,0.00420528,0.00519493,0.0186495,0.00972142,0.00929916,0.0117088,0.041283,0.00911294,0.01312,0.00371638,0.00254863,0.00136764,0.0010902,0.00568634,0.00274156,0,0,0,0,0,0.00440185,0.0040731
125,0.00252271,0.00327603,0.026175,0.0194773,0.0128845,0,0,0.00722634,0,0.0190359,0.00270867,0.0363622,0.0265013,0.0186064,0.0129613,0.00121423,0.00340709,0.00630176,0.0149756,0.0122981,0.0252938,0.00963676,0.0165677,0.00464203,0.0124631,0.0321005,0.004223,0.00236492,0.00814629,0.0191013,0.00901391,0.0019698,0.00234874,0,0,0.00233236,0,0.0161084,0.00108915,0.033164,0.0150384,0.0359755,0.00341312,0.00441185,0.00382854,0.00506788,0.0189452,0.00846262,0.00847227,0.0117416,0.0413148,0.00963668,0.0132483,0.00405081,0.00228715,0.001123,0.000876354,0.00527761,0.00308182,0,0,0,0,0,0.00423428,0.00379905
126,0.00226227,0.00312238,0.0283771,0.0189396,0.0141211,0,0,0.00703743,0,0.0195741,0.0022677,0.0362132,0.0267935,0.0187024,0.0130222,0.0010572,0.0033937,0.00609083,0.0150888,0.011744,0.0249376,0.010089,0.0172923,0.00499637,0.0128233,0.0353398,0.00427015,0.00234009,0.00805598,0.0189215,0.00918897,0.0015235,0.00197326,0,0,0.00165415,0,0.0160686,0.000641843,0.0333256,0.0155095,0.0360844,0.00237595,0.00399145,0.00348407,0.00494456,0.0193418,0.00779803,0.00790541,0.0117912,0.041297,0.00990557,0.013282,0.00516076,0.00205559,0.0010246,0.000584851,0.00486835,0.00345886,0,0,0,0,0,0.00436802,0.00358127
127,0.00188366,0.00309589,0.0301714,0.01883,0.0151145,0,0,0.00691696,0,0.0195633,0.00232762,0.0360903,0.0249533,0.0186884,0.0131528,0.000755744,0.00311941,0.0059076,0.0152051,0.0113638,0.0246449,0.0106359,0.0181149,0.00555562,0.0131768,0.0378367,0.00414394,0.00217859,0.00862626,0.0188934,0.00975379,0.00151259,0.0020033,0,0,0.00136832,0,0.0161148,0.000761348,0.0334708,0.0162606,0.0361833,0.00040956,0.00312259,0.00333135,0.00462478,0.0194442,0.00654983,0.0069488,0.0117225,0.0413063,0.0103929,0.0132608,0.00588062,0.00227616,0.00125969,0.000334676,0.00484093,0.00341287,0,0,0,0,0,0.00472684,0.00351745
128,0.001541,0.00295105,0.0315411,0.0189213,0.016178,0,0,0.00665404,0,0.0192859,0.00249079,0.0360534,0.0228514,0.0187736,0.0132949,0.000784014,0.00286196,0.00581028,0.0153386,0.0110811,0.0243535,0.0111786,0.0188285,0.00611434,0.0134798,0.0398368,0.00390783,0.00202498,0.00923079,0.0188858,0.0104517,0.00210911,0.00217178,0,0,0.00183239,0,0.0161466,0.0010741,0.0334887,0.0169481,0.0362049,0.00185938,0.00243501,0.00310964,0.00423577,0.0193944,0.00536507,0.00604532,0.0117582,0.0412987,0.0108644,0.0132975,0.00650399,0.00238089,0.00143225,0.000273094,0.00467283,0.00335154,0,0,0,0,0,0.00499948,0.00354911
129,0.00114323,0.00297041,0.0326075,0.0187957,0.017185,0,0,0.00641507,0,0.0195125,0.00227518,0.0360309,0.0212778,0.0186753,0.0135113,0.00154445,0.00278929,0.00580555,0.0155487,0.0108699,0.0240961,0.0116839,0.0193975,0.00644072,0.0136818,0.0416395,0.00386908,0.0017347,0.00990235,0.0188467,0.0111358,0.0028698,0.00228677,0,0,0.00207531,0,0.016183,0.0012132,0.0335343,0.0176597,0.036169,0.00377265,0.00213191,0.00298623,0.00383262,0.0192949,0.00450473,0.00522847,0.0119481,0.0412514,0.0112506,0.0135221,0.00722727,0.00231054,0.00123584,0.00041556,0.00470525,0.00306745,0,0,0,0,0,0.00496933,0.00364202
130,0.000920922,0.00303537,0.033628,0.0186954,0.017819,0,0,0.00614833,0,0.0197412,0.00209105,0.0359849,0.0201385,0.0186045,0.0136634,0.00241074,0.00267674,0.00590959,0.0158118,0.0107271,0.0238896,0.0120049,0.0197235,0.00654973,0.0137978,0.0431299,0.00378946,0.00148044,0.0105997,0.0188404,0.0117785,0.00359337,0.00240177,0,0,0.00184577,0,0.0161894,0.00114058,0.0335634,0.0183852,0.0361409,0.00550283,0.00255321,0.00291787,0.00352858,0.0192256,0.00380841,0.00454198,0.0122181,0.0411377,0.0115335,0.0139014,0.00802998,0.00197287,0.000963557,0.000559218,0.00475707,0.00269139,0,0,0,0,0,0.00492851,0.00382685
131,0.00108129,0.00298055,0.0342982,0.0186941,0.0179862,0,0,0.00585864,0,0.0197968,0.00200549,0.0359031,0.0191644,0.0185804,0.0138348,0.00306693,0.00257558,0.00605939,0.015991,0.0106152,0.0236917,0.0121733,0.0198174,0.00655042,0.0138305,0.0441251,0.00364899,0.00134461,0.0113036,0.0188867,0.0124114,0.00421153,0.00241317,0,0,0.00161678,0,0.0162092,0.00110201,0.0335167,0.0191874,0.0360891,0.00713326,0.00314886,0.00276479,0.0033805,0.0192323,0.00310301,0.00392477,0.0126186,0.0409819,0.0117883,0.0144313,0.00896381,0.00163424,0.000793399,0.00069455,0.00466664,0.00238505,0,0,0,0,0,0.00487417,0.00400818
132,0.00320155,0.00235997,0.0344045,0.0188095,0.0177259,0,0,0.00531991,0,0.0196287,0.00185603,0.0358145,0.0180287,0.01853,0.0136979,0.0036451,0.00216385,0.0061021,0.0159354,0.0104461,0.0234515,0.0121273,0.0195886,0.00645902,0.0137679,0.0445795,0.00357334,0.00131356,0.0121375,0.0190152,0.0130407,0.00487267,0.00282705,0,0,0.00653062,0,0.0161947,0.00360667,0.0333654,0.0199873,0.0359965,0.0086506,0.0037703,0.00286352,0.00321903,0.0193125,0.00245991,0.00339675,0.0131075,0.0408576,0.0120442,0.0150604,0.0100609,0.00236244,0.00259838,0.000539541,0.00274056,0.002653,0,0,0,0,0,0.00471649,0.00429597
133,0.00263146,0.00166556,0.0343359,0.0193733,0.0172738,0,0,0.00366024,0,0.0192853,0.00108514,0.0359243,0.0167004,0.0186374,0.0132001,0.00379669,0.00222359,0.00605215,0.0155495,0.0103414,0.0232625,0.0118634,0.0190489,0.00629114,0.0136229,0.0446799,0.00247634,0.00189054,0.012974,0.0190906,0.0135817,0.00549482,0.00198335,0,0,0.000861483,0,0.01615,0.000823136,0.0331737,0.0205616,0.0358377,0.00991738,0.00414028,0.00312573,0.00307074,0.0194619,0.00205239,0.00304308,0.0135837,0.0407721,0.0123107,0.0156606,0.0111452,0.00134325,0.000787222,0.000585189,0.00226659,0.00265847,0,0,0,0,0,0.00452397,0.0047471
134,0.00267557,0.0014771,0.0340835,0.019605,0.0168739,0,0,0.00311791,0,0.0191918,0.00103498,0.0360827,0.0153111,0.0187013,0.0125728,0.00392623,0.00188721,0.0059406,0.0149979,0.0102478,0.0230132,0.011506,0.0183254,0.00602174,0.0134012,0.0443032,0.00193881,0.00189,0.0134388,0.0191223,0.0136819,0.00580236,0.00217116,0,0,0.000728441,0,0.016175,0.000976759,0.0329627,0.0208307,0.0356491,0.0105418,0.00448137,0.00328192,0.00296555,0.0196275,0.00194261,0.00288697,0.0139509,0.0407156,0.0125045,0.0161155,0.012196,0.00102086,0.000759556,0.000658546,0.00214113,0.00231311,0,0,0,0,0,0.00424124,0.00492103
135,0.00281104,0.00138429,0.033576,0.0196156,0.0166337,0,0,0.0025764,0,0.0192965,0.00106201,0.0362594,0.0139567,0.0187612,0.011924,0.00407843,0.00156342,0.00586263,0.0143796,0.0102039,0.0228287,0.0110498,0.0175182,0.00566133,0.0131781,0.0436828,0.00146967,0.00184795,0.0139514,0.0191551,0.0136904,0.00624283,0.0023644,0,0,0.000679655,0,0.0162164,0.00105333,0.0328323,0.021017,0.0354066,0.0111674,0.00490033,0.00357794,0.00283359,0.0197291,0.0019135,0.00271266,0.0142718,0.0406172,0.0126199,0.0165149,0.0133849,0.000877169,0.000813893,0.000694104,0.00219807,0.00208237,0,0,0,0,0,0.00387517,0.00499678
136,0.00288552,0.00130475,0.0330708,0.0195675,0.0163282,0,0,0.00213268,0,0.019242,0.00100502,0.0364189,0.012616,0.0189,0.0112852,0.00411418,0.0012385,0.00587009,0.0137593,0.0101484,0.0225736,0.0105714,0.0167863,0.00524557,0.0128925,0.0430104,0.000976399,0.00178227,0.0144918,0.0191932,0.013822,0.00674856,0.0025035,0,0,0.000642546,0,0.0162639,0.00107065,0.0328518,0.0213041,0.0351346,0.0119706,0.00531679,0.00394343,0.00263306,0.0197323,0.00201067,0.00256616,0.014571,0.040439,0.0127149,0.0169174,0.014524,0.000848079,0.00100887,0.000653959,0.00230132,0.00191675,0,0,0,0,0,0.00357451,0.00506677
137,0.00297738,0.00125014,0.0326234,0.0194372,0.015961,0,0,0.00196338,0,0.0191213,0.00105305,0.0365703,0.0113763,0.0191474,0.0104927,0.00412242,0.000989188,0.00593458,0.0130145,0.010099,0.0223932,0.010067,0.0160004,0.00479416,0.0125749,0.0423307,0.000529632,0.00180273,0.0149998,0.019173,0.0139308,0.00727418,0.00256009,0,0,0.000576565,0,0.0162721,0.00101217,0.0329353,0.0216806,0.0348498,0.0127257,0.00564548,0.00428827,0.00242193,0.0197021,0.00217571,0.00246596,0.0148199,0.0402165,0.0127536,0.0172053,0.0155105,0.000876581,0.00116463,0.000564861,0.00247114,0.00176558,0,0,0,0,0,0.00334171,0.00506974
138,0.00248562,0.00111293,0.0322628,0.0193687,0.0152463,0,0,0.00225306,0,0.0190056,0.00136492,0.0367287,0.0103594,0.019407,0.00974056,0.00366833,0.000823518,0.00609958,0.0123031,0.0101151,0.0222562,0.00960149,0.0152087,0.00426662,0.0121679,0.0418215,0.000345494,0.00139584,0.0150767,0.0191041,0.0134517,0.00774452,0.00187908,0,0,0.000812105,0,0.0161907,0.00128351,0.0332871,0.0214861,0.0346123,0.0125625,0.00540519,0.00378298,0.00234564,0.0196406,0.00202381,0.00242453,0.0148138,0.0400755,0.0126406,0.0172891,0.0163584,0.000598976,0.00117177,0.00051287,0.00248806,0.00148362,0,0,0,0,0,0.0034601,0.00477371
139,0.00239563,0.00108707,0.032059,0.0193781,0.0147791,0,0,0.00201332,0,0.019063,0.00137716,0.0369128,0.00958364,0.0194656,0.00915813,0.00372812,0.000841257,0.00635585,0.0117408,0.0101895,0.0221244,0.0092831,0.0145686,0.00376683,0.0117378,0.0415517,0.000312351,0.00130696,0.0155739,0.0190338,0.0134376,0.00837638,0.00197659,0,0,0.000544266,0,0.0161408,0.00121035,0.0338013,0.0215234,0.0343723,0.0131736,0.00561958,0.00408036,0.00221337,0.0196449,0.00217449,0.00246705,0.0149116,0.039854,0.01256,0.0175218,0.0174315,0.000724422,0.00120413,0.000478631,0.00266695,0.00153051,0,0,0,0,0,0.00341226,0.00464584
140,0.00240385,0.00111584,0.0320849,0.0192179,0.0144192,0,0,0.00166219,0,0.0191966,0.00124424,0.0371021,0.00920011,0.0196112,0.00857108,0.00399118,0.000722418,0.00669635,0.0112676,0.0103335,0.0219738,0.00913193,0.0140606,0.00339616,0.0112946,0.0416597,0.000813304,0.00122843,0.0160087,0.0190142,0.0136174,0.00900026,0.0018719,0,0,0.000422892,0,0.0161644,0.000957497,0.034076,0.0216802,0.0340348,0.0140701,0.00616614,0.00438756,0.00200762,0.0196468,0.00257664,0.00263945,0.0150153,0.0396021,0.012469,0.0176634,0.0185307,0.00091741,0.00123401,0.000350064,0.002865,0.00149809,0,0,0,0,0,0.00340618,0.00450113
