Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRB,T10,x68,x69,x70,x72,STRN,x73
63,0,0,0,0,0,0,0.0313902,0.0299326,0,0,0,0.0808711,0,0.0247665,0.0394019,0,0,0.0212558,0,0,0.0434477,0.0484879,0.0375247,0.0149111,0.0205919,0.0383059,0.0356485,0.0466783,0.0529901,0.0379632,0.0242688,0.0267105,0.0251545,0.0167547,0.0223159,0.0326167,0.0386581,0.0115036,0.0118403,0.040317,0,0.0302401,0.0488055,0.0384016,0,0,0.0295613,0,0,0.019131,0.0543523,0.011893,0.0309342,0.0336677,0.047462,0.0519085,0.0784286,0.0871774,0.060548,0.0659714,0.0513895,0.0420977,0.064461,0.00169699,0.0484588,0.0112146,0.0717386,0,0,0,0,0.0331653,0
64,0,0,0,0,0,0,0.0313999,0.0299308,0,0,0,0.079995,0,0.0255255,0.0398485,0,0,0.0212636,0,0,0.0435943,0.048432,0.037332,0.0150747,0.0206637,0.038252,0.0357361,0.0471464,0.0532056,0.037591,0.0248527,0.0265087,0.0251289,0.0173184,0.022951,0.0305211,0.0384897,0.0113564,0.0121809,0.0397943,0,0.0302269,0.0487323,0.0383395,0,0,0.0294709,0,0,0.0191063,0.0545376,0.0118807,0.0308174,0.0336447,0.047413,0.0515371,0.0784711,0.0871768,0.0605146,0.0658093,0.0511802,0.0420859,0.0643363,0.00154754,0.0484376,0.0111883,0.0714907,0,0,0,0,0.0332179,0
65,0,0,0,0,0,0,0.0315694,0.0300296,0,0,0,0.0789362,0,0.0258975,0.0397398,0,0,0.0213315,0,0,0.0436438,0.0483147,0.0375435,0.0154905,0.0207967,0.0382291,0.0357891,0.0474344,0.0530202,0.0373334,0.0251038,0.0266737,0.0250909,0.0178437,0.0236826,0.0279983,0.0383555,0.0112718,0.0122253,0.0394914,0,0.0301338,0.0488476,0.0382514,0,0,0.0293672,0,0,0.0192368,0.0546353,0.0119151,0.0307494,0.0337099,0.0473995,0.0514686,0.0785746,0.0871833,0.0605292,0.0657312,0.0510773,0.0420775,0.064288,0.00159795,0.0485545,0.0109564,0.0714195,0,0,0,0,0.033341,0
66,0,0,0,0,0,0,0.0318652,0.0301421,0,0,0,0.0773775,0,0.0259697,0.0392989,0,0,0.0213394,0,0,0.0437511,0.0481429,0.0380579,0.0159858,0.0209246,0.0381978,0.0357976,0.0474919,0.0529378,0.0370872,0.0253756,0.0270155,0.0255833,0.0184262,0.0246002,0.0249768,0.0382758,0.0112113,0.0124034,0.0396658,0,0.0300534,0.0491881,0.0381722,0,0,0.029331,0,0,0.0191256,0.0546408,0.0120025,0.0306938,0.0337749,0.0473931,0.0513987,0.0786424,0.0872135,0.0604764,0.0656603,0.0510953,0.0420144,0.064205,0.00157223,0.0486488,0.0111819,0.0712621,0,0,0,0,0.0334622,0
67,0,0,0,0,0,0,0.0316885,0.0301185,0,0,0,0.0755692,0,0.0262426,0.0387179,0,0,0.0214362,0,0,0.0437651,0.0481325,0.0383661,0.0163764,0.02107,0.0382294,0.0357955,0.0475427,0.0541241,0.0368367,0.0258699,0.0276624,0.0264993,0.0194205,0.0258582,0.021672,0.0382218,0.0113523,0.0122127,0.0399581,0,0.0299777,0.0497321,0.0380855,0,0,0.0293592,0,0,0.0191748,0.0545674,0.0122028,0.0305912,0.0337777,0.0473633,0.0513345,0.0786965,0.087142,0.0604171,0.0655953,0.0510938,0.041941,0.0640622,0.0013923,0.0486014,0.0111914,0.0707776,0,0,0,0,0.033505,0
68,0,0,0,0,0,0,0.0316516,0.030124,0,0,0,0.0735347,0,0.0266335,0.0384651,0,0,0.0214513,0,0,0.0438478,0.048218,0.0387196,0.0166035,0.0213419,0.0383186,0.0357345,0.0475855,0.0545215,0.0365564,0.0264105,0.028475,0.0272942,0.0205734,0.0271056,0.0181531,0.0382729,0.0111111,0.0125807,0.0400161,0,0.0299079,0.0499126,0.0381061,0,0,0.0293504,0,0,0.0192123,0.0544244,0.0124246,0.0304375,0.0337034,0.0473331,0.0512326,0.0786918,0.0868839,0.0603135,0.0655988,0.0510433,0.0419353,0.0639384,0.00126492,0.0485749,0.0112055,0.0702369,0,0,0,0,0.0336447,0
69,0,0,0,0,0,0,0.0316434,0.0301798,0,0,0,0.0709851,0,0.0270714,0.0389147,0,0,0.0214357,0,0,0.0438069,0.048581,0.0388158,0.0166019,0.0215826,0.0384216,0.0356288,0.0477194,0.0543841,0.0363082,0.0269766,0.0292716,0.0281824,0.0218078,0.0283287,0.0146175,0.03833,0.0109791,0.0126276,0.0401273,0,0.0297781,0.0499327,0.0381606,0,0,0.0293438,0,0,0.019249,0.0542245,0.0126714,0.0302686,0.0335482,0.0472759,0.0510187,0.0786595,0.0866748,0.0601339,0.0656715,0.0511669,0.0420118,0.0637909,0.00139821,0.0486103,0.0112263,0.0700372,0,0,0,0,0.0338469,0
70,0,0,0,0,0,0,0.0316763,0.0302878,0,0,0,0.0680658,0,0.0273724,0.0390768,0,0,0.0213661,0,0,0.0435656,0.0490002,0.0389296,0.0164317,0.0216127,0.0384411,0.035449,0.0477569,0.0550957,0.0361491,0.0274964,0.0301578,0.0290187,0.0227165,0.0294938,0.0116759,0.0383991,0.0111684,0.0121247,0.0403792,0,0.029702,0.0500217,0.0382149,0,0,0.0293812,0,0,0.0192755,0.0541317,0.0129281,0.0300971,0.0333865,0.0472121,0.0506256,0.0785066,0.0864573,0.0599143,0.0657094,0.0513222,0.0420727,0.0636083,0.00141752,0.0487464,0.011224,0.070331,0,0,0,0,0.0341083,0
71,0,0,0,0,0,0,0.0319457,0.0304018,0,0,0,0.0653515,0,0.0276819,0.0385671,0,0,0.0212637,0,0,0.0434138,0.0493437,0.0395308,0.0163881,0.0214908,0.0383036,0.035246,0.0477127,0.0552883,0.0359232,0.027907,0.0311991,0.0301976,0.0230906,0.030278,0.00942509,0.0386094,0.0111723,0.0120535,0.0410346,0,0.0296865,0.0500291,0.0382824,0,0,0.029449,0,0,0.0192544,0.0541414,0.0130026,0.0300416,0.0332833,0.0471513,0.0502035,0.0782714,0.0861942,0.0596535,0.0658231,0.0514738,0.0421065,0.0633916,0.00193624,0.0489153,0.0111942,0.0702843,0,0,0,0,0.0344481,0
72,0,0,0,0,0,0,0.0323105,0.0305526,0,0,0,0.0627239,0,0.0280102,0.0379425,0,0,0.0212702,0,0,0.0432949,0.049788,0.0399828,0.0166697,0.0213853,0.0380407,0.0350833,0.0475253,0.054984,0.0357579,0.02829,0.0322477,0.0312492,0.0233239,0.030978,0.00852752,0.0387798,0.0110203,0.012158,0.0414003,0,0.0296839,0.0498897,0.0383709,0,0,0.0294831,0,0,0.0191755,0.0542365,0.0129248,0.0301089,0.0332121,0.0470279,0.0498285,0.0780484,0.0859074,0.0593606,0.0658702,0.0515902,0.0421689,0.063282,0.00230968,0.0489116,0.0112753,0.0699282,0,0,0,0,0.0348659,0
73,0,0,0,0,0,0,0.0321093,0.0306029,0,0,0,0.0607878,0,0.0284853,0.0375694,0,0,0.0212284,0,0,0.043258,0.0501996,0.0401091,0.017414,0.0213268,0.0375777,0.0349365,0.0472011,0.0541634,0.0356832,0.0287281,0.0332749,0.0321266,0.0236058,0.0318971,0.00846673,0.038763,0.0108574,0.01233,0.0415864,0,0.0297021,0.0495388,0.0384403,0,0,0.0294342,0,0,0.0192048,0.0543663,0.0127586,0.0303014,0.0330739,0.0469374,0.0494235,0.0778487,0.085668,0.0590048,0.0659506,0.0517148,0.0422834,0.0632824,0.00259977,0.0488469,0.011186,0.069742,0,0,0,0,0.0351637,0
74,0,0,0,0,0,0,0.0320205,0.0307429,0,0,0,0.0597426,0,0.0290642,0.0371547,0,0,0.0211487,0,0,0.0433483,0.05036,0.0398186,0.0181257,0.0212709,0.0369458,0.0347796,0.0467143,0.0532591,0.0357854,0.029278,0.0342647,0.0330716,0.0240375,0.0330618,0.00848994,0.038742,0.0108582,0.0123881,0.0415732,0,0.0298062,0.0489422,0.0383783,0,0,0.0292802,0,0,0.0192381,0.0546372,0.0125114,0.030498,0.0328037,0.0468211,0.0489972,0.0776081,0.0855294,0.0586493,0.0660616,0.0518321,0.0424135,0.0633177,0.00260447,0.0489112,0.0112123,0.0699967,0,0,0,0,0.0353928,0
75,0,0,0,0,0,0,0.0321032,0.0309348,0,0,0,0.0590123,0,0.029344,0.0366633,0,0,0.0211062,0,0,0.0434205,0.0500324,0.0393092,0.0190937,0.021312,0.0362057,0.0346283,0.0462374,0.052312,0.0361484,0.0297879,0.035281,0.0338234,0.0250759,0.0341298,0.00847495,0.0387782,0.010915,0.0123783,0.0423016,0,0.0300242,0.0480373,0.0382552,0,0,0.0291821,0,0,0.0193106,0.0548103,0.0122891,0.0307489,0.032416,0.0465748,0.0485663,0.0773875,0.0851185,0.0583085,0.0662849,0.0520157,0.0426028,0.0631871,0.00330023,0.0490523,0.0112515,0.0698455,0,0,0,0,0.0355497,0
76,0,0,0,0,0,0,0.0322896,0.0311474,0,0,0,0.0577649,0,0.0294917,0.0364938,0,0,0.0209777,0,0,0.0434266,0.0486649,0.0387579,0.0208027,0.0218362,0.0355056,0.034429,0.0459322,0.0510931,0.0366847,0.0300036,0.0366427,0.0347082,0.0263575,0.0346593,0.0090646,0.0388711,0.0109813,0.0123514,0.0433709,0,0.0304019,0.0473362,0.0381294,0,0,0.0290411,0,0,0.0194073,0.0553496,0.0121186,0.0310432,0.032107,0.046172,0.0482696,0.0770705,0.0846339,0.0581891,0.0664713,0.0520545,0.0427119,0.063048,0.00432603,0.0492514,0.0113165,0.069362,0,0,0,0,0.0357109,0
77,0,0,0,0,0,0,0.0325434,0.0314806,0,0,0,0.0572944,0,0.0292999,0,0,0,0.0206833,0,0,0.0432655,0.0438987,0.0378326,0.0242861,0.0220005,0.0349531,0.0335319,0.0433012,0.0496236,0.0382007,0.0289847,0.0374294,0.0349617,0.0273278,0.0343207,0.00923082,0.0392796,0.0109059,0.0123521,0.0451555,0,0.031721,0.0466286,0.0381929,0,0,0.0287136,0,0,0.0194789,0.0582104,0.0120386,0.0315074,0.0336012,0.0457258,0.0489093,0.0766278,0.0849913,0.0596678,0.0659413,0.0513758,0.0419388,0.0622067,0.00641224,0.0495345,0.0114165,0.0687685,0,0,0,0,0.0359412,0
78,0,0,0,0,0,0,0.032815,0.0315889,0,0,0,0.0535327,0,0.0298794,0.0356741,0,0,0.0206576,0,0,0.0432859,0.0459085,0.0376162,0.0239268,0.0235922,0.0344383,0.0338206,0.0447262,0.0487173,0.0381309,0.0294675,0.0394277,0.0367281,0.0292568,0.0343501,0.0111159,0.0391367,0.0108618,0.0124453,0.0462192,0,0.0307579,0.0459397,0.0378958,0,0,0.0283964,0,0,0.0195303,0.0559198,0.0122514,0.0315781,0.0313689,0.0452262,0.0478456,0.0766687,0.083777,0.0577352,0.0673974,0.0525555,0.042912,0.0627352,0.00734044,0.0498045,0.0115334,0.0684234,0,0,0,0,0.0360817,0
79,0,0,0,0,0,0,0.0330671,0.0319244,0,0,0,0.0506158,0,0.029754,0,0,0,0.0204752,0,0,0.043315,0.041582,0.0374521,0.0267737,0.0242711,0.0337217,0.033161,0.0419952,0.0474382,0.039505,0.0277306,0.039415,0.0364849,0.0286778,0.033261,0.0122886,0.0394168,0.0107642,0.0126552,0.0486598,0,0.0319337,0.0452159,0.0378797,0,0,0.0282074,0,0,0.0194381,0.0585515,0.0122265,0.0319434,0.0327865,0.0450663,0.048501,0.0763995,0.0842374,0.0592087,0.0668016,0.0518732,0.0421334,0.0616811,0.00993987,0.049911,0.0118406,0.0679214,0,0,0,0,0.0364179,0
80,0,0,0,0,0,0,0.0333312,0.032093,0,0,0,0.0478396,0,0.0301622,0.0347844,0,0,0.0205062,0,0,0.0435417,0.0445859,0.0375449,0.0257424,0.0256449,0.0338695,0.0336756,0.0430067,0.0466861,0.0390552,0.0288184,0.0408079,0.0378914,0.0294179,0.0337603,0.0131592,0.0392948,0.0107261,0.0129317,0.0481437,0,0.0307078,0.0451108,0.0374981,0,0,0.0278025,0,0,0.0196918,0.0560303,0.0124036,0.0319004,0.0305492,0.044446,0.0473845,0.0765472,0.0831568,0.0570861,0.0678707,0.0529041,0.0432244,0.0624744,0.00919118,0.0501823,0.0117228,0.0678514,0,0,0,0,0.0365824,0
81,0,0,0,0,0,0,0.033515,0.0322377,0,0,0,0.0459003,0,0.0307123,0.0342179,0,0,0.0205157,0,0,0.0434307,0.0444146,0.0384626,0.0261444,0.0264655,0.0339062,0.0337403,0.0422254,0.0459469,0.0389448,0.028945,0.041091,0.0381784,0.0289137,0.0334347,0.0144036,0.0393784,0.0108855,0.0126164,0.0490943,0,0.030584,0.0448595,0.0373003,0,0,0.0275813,0,0,0.0197551,0.0558601,0.0126041,0.032021,0.0301177,0.044155,0.0471198,0.0767027,0.0829203,0.0566836,0.067887,0.0529394,0.0429887,0.0622498,0.010267,0.0504398,0.011758,0.0678862,0,0,0,0,0.0368152,0
82,0,0,0,0,0,0,0.0335819,0.0323151,0,0,0,0.0448678,0,0.0311709,0.0338653,0,0,0.0205245,0,0,0.043376,0.0441397,0.0392603,0.0261004,0.0267682,0.0341353,0.033846,0.0417616,0.0452483,0.0383637,0.0290796,0.0412494,0.0384775,0.0281882,0.0329537,0.0157498,0.0393687,0.0109629,0.0124472,0.0503633,0,0.0305118,0.0447172,0.0371384,0,0,0.0275011,0,0,0.0197808,0.0557074,0.0129792,0.0321866,0.0297736,0.043941,0.0467347,0.0769599,0.0827013,0.0562782,0.0679065,0.052774,0.0423868,0.0617165,0.0117215,0.0507379,0.0117527,0.0679176,0,0,0,0,0.037031,0
83,0,0,0,0,0,0,0.0335469,0.0323695,0,0,0,0.0450557,0,0.0311418,0.0339205,0,0,0.0205286,0,0,0.0434227,0.0437938,0.0390361,0.0259005,0.0264931,0.0344636,0.0340077,0.0418021,0.045233,0.0375456,0.0287375,0.0408903,0.0385827,0.0278842,0.0334304,0.0161253,0.0392337,0.0109878,0.0124485,0.0515963,0,0.0304172,0.0445063,0.0370304,0,0,0.0275389,0,0,0.0197965,0.0556094,0.0134883,0.0323131,0.0294477,0.0437592,0.0462561,0.0772765,0.0825342,0.0558552,0.0678307,0.052488,0.0417121,0.0607828,0.0130383,0.0508439,0.0117235,0.0679692,0,0,0,0,0.0372721,0
84,0,0,0,0,0,0,0.0334635,0.0324297,0,0,0,0.045516,0,0.0309243,0.0336236,0,0,0.0205427,0,0,0.0434755,0.0431589,0.0378014,0.0256849,0.0260755,0.0348362,0.0342698,0.0422921,0.0457341,0.0365897,0.0276752,0.0400797,0.0380537,0.0283131,0.0344521,0.0157136,0.0390391,0.0110643,0.0124333,0.0528141,0,0.0305123,0.0441934,0.0369613,0,0,0.0276388,0,0,0.0198362,0.0556655,0.0141118,0.0324312,0.0293511,0.0435638,0.0457703,0.077652,0.0824547,0.0554421,0.0677358,0.0520464,0.0409502,0.0595999,0.0139927,0.0509086,0.0117197,0.0678356,0,0,0,0,0.0374981,0
85,0,0,0,0,0,0,0.0334966,0.0324521,0,0,0,0.0453732,0,0.0301681,0.0330509,0,0,0.0205558,0,0,0.0435671,0.042023,0.0358206,0.0260302,0.0256225,0.0351453,0.0346959,0.0429575,0.0464932,0.0356523,0.0259635,0.0393445,0.0374208,0.0291343,0.0354563,0.0151908,0.038833,0.0111177,0.0124593,0.0536684,0,0.0310649,0.0437487,0.0369223,0,0,0.0277309,0,0,0.0198963,0.0559927,0.0149341,0.0326632,0.0293417,0.0432682,0.0454378,0.0780783,0.0825253,0.0551122,0.0676955,0.0513248,0.03996,0.0587469,0.0144062,0.0511045,0.0117578,0.0674712,0,0,0,0,0.0377431,0
86,0,0,0,0,0,0,0.0336586,0.0324217,0,0,0,0.0442193,0,0.0283398,0.0331055,0,0,0.0205838,0,0,0.0436294,0.0404485,0.0330428,0.0272626,0.0252342,0.0355393,0.0350876,0.0430427,0.0467181,0.0350262,0.0238363,0.0390247,0.0373422,0.0288697,0.0347639,0.0159687,0.0387196,0.0111288,0.0125243,0.0552055,0,0.0322247,0.0424869,0.036916,0,0,0.0274981,0,0,0.0199517,0.0564317,0.0162993,0.0336707,0.0289953,0.0428341,0.0450024,0.0787123,0.0823978,0.0543437,0.0676466,0.0504205,0.0385925,0.0576727,0.0150665,0.051404,0.0118695,0.0675939,0,0,0,0,0.038049,0
87,0,0,0,0,0,0,0.0338927,0.0324097,0,0,0,0.0416037,0,0.0271054,0.033478,0,0,0.0205771,0,0,0.0436867,0.0392604,0.0307252,0.0285501,0.0251274,0.035945,0.0355502,0.0417699,0.0457277,0.035071,0.0233842,0.0393614,0.0382965,0.0273887,0.0329608,0.0165183,0.0387442,0.0111738,0.0125501,0.0538523,0,0.0331342,0.041536,0.0368273,0,0,0.0270521,0,0,0.0201026,0.0572263,0.0170859,0.0338375,0.0281786,0.0422506,0.0450851,0.0789096,0.0825605,0.0540371,0.0672207,0.0496307,0.037379,0.0572919,0.0132592,0.0518667,0.0118398,0.0677288,0,0,0,0,0.0383519,0
88,0,0,0,0,0,0,0.0339863,0.0324156,0,0,0,0.0373921,0,0.0273886,0.033616,0,0,0.0206595,0,0,0.0436743,0.0385031,0.0292305,0.0296675,0.0253434,0.0363726,0.0360731,0.0395019,0.0448196,0.0360306,0.0244488,0.0395794,0.039279,0.0259115,0.03131,0.0164566,0.0384785,0.0111739,0.0125644,0.0531611,0,0.034917,0.0401744,0.0368132,0,0,0.0266987,0,0,0.0202162,0.0580535,0.0180521,0.0345819,0.0271023,0.0416376,0.0451815,0.0791282,0.0826177,0.0535038,0.0671368,0.0487418,0.035745,0.0570148,0.0113872,0.0523044,0.0118802,0.067978,0,0,0,0,0.0381941,0
89,0,0,0,0,0,0,0.033828,0.0325336,0,0,0,0.0345368,0,0.0289002,0.0338038,0,0,0.020904,0,0,0.0437333,0.0382852,0.0275588,0.0302125,0.0256756,0.0367052,0.0365696,0.0376147,0.0438804,0.0371121,0.0262661,0.0395344,0.0397476,0.0252374,0.0308066,0.0161092,0.0378521,0.0111446,0.0125702,0.0531177,0,0.0373418,0.0386306,0.036999,0,0,0.0264224,0,0,0.020345,0.0589275,0.0190682,0.0357825,0.0261534,0.0411384,0.0453957,0.0793378,0.082615,0.0529587,0.0672676,0.0479278,0.0338751,0.0568176,0.00968964,0.0525984,0.0119421,0.068562,0,0,0,0,0.0377517,0
