Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,T10,x70,x71,x72,x73,LEAR,R5FT
35,0,0,0,0,0,0,0.0201804,0,0,0,0.0468631,0,0.0300105,0.0352846,0,0.0196607,0,0,0.0416143,0.0327286,0.0364478,0.0279695,0.0238696,0.0262673,0.0285471,0.0242498,0.0340196,0.0403563,0.0300431,0.0320497,0.0327195,0.0191351,0.0288003,0.0166895,0.039699,0.0107969,0.0127109,0,0.0241857,0.0402755,0.0353417,0,0,0.0243742,0,0,0.0238907,0.0573089,0.03994,0.012185,0.0278388,0.0250369,0.038152,0.0614215,0.0888468,0.0902503,0.0671211,0.0737334,0.0541351,0.0463776,0.0690411,0.00793905,0.0405744,0.0049925,0.009128,0.059232,0,0,0,0,0,0.0478315
36,0,0,0,0,0,0,0.0204628,0,0,0,0.0479505,0,0.0300531,0.0341686,0,0.0195272,0,0,0.0414176,0.0334351,0.0361346,0.0276831,0.0241176,0.0259552,0.0281945,0.0245678,0.0339514,0.0401785,0.0304845,0.0319512,0.0325194,0.0190969,0.0288857,0.0174091,0.0399861,0.0109252,0.0123292,0,0.0251652,0.0407085,0.0353572,0,0,0.0242485,0,0,0.0239543,0.0569765,0.0395137,0.0134444,0.0293252,0.0241906,0.0378375,0.0608944,0.0870932,0.0899712,0.0678093,0.0738841,0.0539868,0.0464347,0.0688172,0.00559747,0.0408154,0.00527698,0.00926226,0.0590198,0,0,0,0,0,0.0496115
37,0,0,0,0,0,0,0.0206844,0,0,0,0.0488852,0,0.0298629,0.033486,0,0.0194648,0,0,0.0413292,0.033885,0.035977,0.02743,0.0241794,0.0254878,0.027778,0.0247019,0.0336938,0.039993,0.0307179,0.0317367,0.0325195,0.0190686,0.0287137,0.0182267,0.0401862,0.0107778,0.0126497,0,0.0256518,0.0410515,0.0354577,0,0,0.0241439,0,0,0.0240048,0.0567464,0.0394469,0.0141513,0.0301831,0.0238167,0.0377366,0.0603003,0.0859282,0.0895185,0.0679453,0.0736723,0.0538722,0.0464248,0.0686084,0.00428349,0.0409445,0.00538905,0.00935626,0.0583376,0,0,0,0,0,0.0508985
38,0,0,0,0,0,0,0.0208353,0,0,0,0.0493305,0,0.0297174,0.0333562,0,0.0193102,0,0,0.0415031,0.0340602,0.0359544,0.0274623,0.0241166,0.0249422,0.0274794,0.0246962,0.0332922,0.0399719,0.0307801,0.0316109,0.0324536,0.0188626,0.0284166,0.0191607,0.0403364,0.0106039,0.0132353,0,0.0256938,0.0410758,0.0356163,0,0,0.0241031,0,0,0.024005,0.0566713,0.039187,0.0142412,0.0302205,0.0239006,0.0377733,0.059768,0.0852652,0.088917,0.0673362,0.0730293,0.0537626,0.0462975,0.068443,0.00344061,0.0407982,0.00538527,0.00934984,0.0572393,0,0,0,0,0,0.051648
39,0,0,0,0,0,0,0.0209497,0,0,0,0.0495173,0,0.029293,0.0336905,0,0.0191115,0,0,0.0416619,0.0340406,0.0358999,0.0276738,0.0239404,0.0244474,0.0271729,0.0245575,0.0332055,0.0399788,0.0307199,0.0313898,0.032149,0.0183726,0.0281356,0.0199979,0.0405246,0.010622,0.0132821,0,0.0251251,0.0408857,0.0357176,0,0,0.0241937,0,0,0.0240111,0.0565121,0.0388456,0.0139103,0.0294275,0.024282,0.0379301,0.0594105,0.0851523,0.0882843,0.0660885,0.0731703,0.0533901,0.0459709,0.0683746,0.00314795,0.0406169,0.00535779,0.00939332,0.056421,0,0,0,0,0,0.0517071
40,0,0,0,0,0,0,0.0210246,0,0,0,0.0494818,0,0.0287409,0.0342288,0,0.0190474,0,0,0.0418053,0.0339196,0.0358897,0.0278896,0.0237065,0.0240314,0.0268369,0.0244199,0.0334345,0.040005,0.0304687,0.0310095,0.0317623,0.0177213,0.0276764,0.0207158,0.0406583,0.0107517,0.013096,0,0.0234865,0.0405662,0.0357679,0,0,0.0243635,0,0,0.0239995,0.056235,0.0382935,0.0134844,0.0282677,0.0245769,0.0381286,0.0592071,0.0855903,0.0876829,0.0645644,0.0732355,0.052638,0.0455629,0.0687156,0.00346312,0.0404467,0.00540244,0.00950394,0.055999,0,0,0,0,0,0.0515403
41,0,0,0,0,0,0,0.0210883,0,0,0,0.0485973,0,0.0288369,0.0349583,0,0.0190182,0,0,0.0419418,0.0338593,0.0361105,0.0280216,0.0232425,0.0237848,0.0262795,0.024145,0.0335833,0.0402312,0.030437,0.0302598,0.0308521,0.0175066,0.0278096,0.0234102,0.0408359,0.0107725,0.012976,0,0.0218036,0.0403555,0.0357999,0,0,0.0243959,0,0,0.0240369,0.0558073,0.0365759,0.013272,0.0272424,0.0247223,0.0382569,0.0589331,0.086349,0.0872503,0.0629908,0.0731048,0.0516395,0.0450457,0.0691432,0.00410075,0.0404523,0.00541122,0.00934657,0.0557509,0,0,0,0,0,0.0505293
42,0,0,0,0,0,0,0.0211452,0,0,0,0.0470445,0,0.0302046,0.0357826,0,0.0188539,0,0,0.0421299,0.0340818,0.0362134,0.0279879,0.0225219,0.0236191,0.0254088,0.0234866,0.0335976,0.0408785,0.0310935,0.029624,0.0291892,0.0187358,0.0291138,0.0294975,0.0412223,0.0108468,0.0127929,0,0.0214734,0.0403462,0.0358882,0,0,0.024283,0,0,0.0240991,0.055135,0.0333926,0.0135309,0.0270759,0.0246957,0.0382773,0.0582979,0.0868213,0.0867512,0.061469,0.0727428,0.0510704,0.0441594,0.0687647,0.00520873,0.040673,0.00542618,0.00929776,0.0555646,0,0,0,0,0,0.048059
43,0,0,0,0,0,0,0.0210851,0,0,0,0.0470703,0,0.0303913,0.0364372,0,0.0185349,0,0,0.042229,0.0344888,0.0364001,0.0278209,0.0224238,0.0233248,0.0243103,0.0236803,0.0336933,0.0407977,0.0308555,0.0290594,0.0283319,0.0194235,0.0290277,0.0330513,0.0417535,0.0108449,0.013002,0,0.0220586,0.0404528,0.0360413,0,0,0.0240333,0,0,0.0240628,0.0543799,0.0299024,0.0143037,0.0279012,0.0244942,0.0381806,0.0571909,0.0862508,0.0859859,0.0602854,0.0722394,0.0513317,0.0431765,0.067561,0.00570072,0.0409191,0.00539497,0.00941189,0.0553974,0,0,0,0,0,0.044553
44,0,0,0,0,0,0,0.0209623,0,0,0,0.0484115,0,0.0289322,0.0365129,0,0.0179603,0,0,0.0422892,0.0349387,0.0365283,0.0274891,0.0228184,0.0230019,0.023369,0.0245459,0.0340332,0.0400343,0.029562,0.0291389,0.0281429,0.0182505,0.027063,0.0332405,0.0421925,0.0110643,0.0139394,0,0.021268,0.0407231,0.0362294,0,0,0.0238157,0,0,0.0238834,0.0537066,0.0269949,0.0151806,0.0288979,0.0241848,0.0380895,0.0558437,0.0849522,0.08531,0.0602202,0.0716037,0.0516818,0.0424561,0.0662452,0.00472031,0.0410097,0.00530207,0.00953636,0.0553737,0,0,0,0,0,0.0425189
45,0,0,0,0,0,0,0.0208294,0,0,0,0.050488,0,0.0266958,0.0361813,0,0.0176572,0,0,0.0423458,0.0352254,0.0378743,0.0270246,0.0238563,0.022785,0.0228334,0.0257903,0.0349058,0.0389027,0.0273125,0.0309953,0.0293572,0.0163041,0.0233667,0.0300434,0.0424202,0.0113176,0.0142952,0,0.0198913,0.0409429,0.0364874,0,0,0.023825,0,0,0.0237839,0.0531517,0.0257163,0.0157345,0.0292277,0.0239852,0.0381064,0.0548194,0.0838258,0.0850793,0.0610139,0.0711481,0.0516044,0.0420938,0.065527,0.00469575,0.0409918,0.00528147,0.00957951,0.0555394,0,0,0,0,0,0.0417927
46,0,0,0,0,0,0,0.0206792,0,0,0,0.0494159,0,0.0260892,0.0357104,0,0.0189761,0,0,0.0381685,0.0353113,0.0383692,0.0265653,0.0237567,0.0227348,0.0224509,0.0260308,0.0357183,0.0388892,0.0262629,0.031351,0.0292095,0.015725,0.0218155,0.0326181,0.0426708,0.0176115,0,0,0.0191723,0.0408224,0.0367265,0,0,0.0241246,0,0,0.0237416,0.0529372,0.0257628,0.015714,0.0287693,0.0240561,0.0384423,0.0547249,0.083853,0.0851907,0.0612712,0.0711034,0.051097,0.0419699,0.0654812,0.00584615,0.0409241,0.00532941,0.00957155,0.0558459,0,0,0,0,0,0.0412159
47,0,0,0,0,0,0,0.0211289,0,0,0,0.0471382,0,0.0251933,0.0355729,0,0.0137064,0,0,0.0331269,0.0351589,0.0390645,0.0262026,0.0234247,0.0228135,0.0213659,0.026204,0.0369433,0.0392028,0.0250823,0.0310103,0.029723,0.0148424,0.0202465,0.0356517,0.0437487,0.0151934,0,0,0.0189643,0.040298,0.0365187,0,0,0.0250777,0,0,0.0236629,0.052869,0.0267342,0.0153209,0.0281908,0.0244805,0.0392976,0.0554302,0.0849628,0.085318,0.0605287,0.0712167,0.0504057,0.0415964,0.0653178,0.00736455,0.040033,0.00538924,0.00954004,0.0561675,0,0,0,0,0,0.0411754
48,0,0,0,0,0,0,0.0206522,0,0,0,0.0451138,0,0.0240537,0.0353833,0,0.0143576,0,0,0.0328451,0.0351876,0.0395773,0.0257547,0.0231085,0.0231939,0.0218506,0.0263415,0.0379405,0.0399288,0.0240967,0.0295166,0.0302231,0.01351,0.0186677,0.0386404,0.0432501,0.0158397,0,0,0.0189813,0.0399549,0.0365556,0,0,0.025592,0,0,0.0236053,0.0526431,0.0279052,0.0147261,0.0280758,0.0248136,0.0401272,0.0560701,0.0859071,0.0850494,0.0593641,0.0712499,0.0500736,0.0412706,0.0649324,0.00804693,0.0395354,0.00534696,0.00945915,0.0566441,0,0,0,0,0,0.0417097
49,0,0,0,0,0,0,0.020197,0,0,0,0.0434903,0,0.0230552,0.0349639,0,0.0144937,0,0,0.0329919,0.035485,0.0396278,0.0250298,0.0222855,0.023797,0.022369,0.0267884,0.0395625,0.0410177,0.0230452,0.030016,0.0303474,0.0124725,0.0172896,0.0409595,0.0425239,0.0159566,0,0,0.019328,0.039556,0.0366455,0,0,0.0263126,0,0,0.023664,0.052198,0.0291166,0.0142633,0.0284736,0.0249878,0.0410996,0.0564672,0.0865922,0.0846597,0.0583189,0.0710523,0.0502102,0.0410628,0.0642419,0.00729606,0.038931,0.00515562,0.00914758,0.0571283,0,0,0,0,0,0.0429016
50,0,0,0,0,0,0,0.0197569,0,0,0,0.041362,0,0.0218732,0.0346626,0,0.0148154,0,0,0.0331252,0.036158,0.0392845,0.0239549,0.0211226,0.0245902,0.0231765,0.0272548,0.0415214,0.0421813,0.0219714,0.0305482,0.0304006,0.0122106,0.0164241,0.041359,0.0416972,0.0160608,0,0,0.0197107,0.0392964,0.036755,0,0,0.0271101,0,0,0.0238506,0.0518273,0.030052,0.0141902,0.0290626,0.0249887,0.0421265,0.0564225,0.0866525,0.0842167,0.0574425,0.0707517,0.0505747,0.0408785,0.0634059,0.00595949,0.0383452,0.00488875,0.00885775,0.0575984,0,0,0,0,0,0.0442792
51,0,0,0,0,0,0,0.0193285,0,0,0,0.0398441,0,0.0202869,0.034038,0,0.0151804,0,0,0.033305,0.0369733,0.0383084,0.022942,0.0196639,0.0254596,0.0241864,0.0276757,0.0434761,0.0434762,0.0209915,0.0306129,0.0302381,0.0125184,0.0156083,0.0407691,0.0408301,0.0162143,0,0,0.0198152,0.0392634,0.0368385,0,0,0.0280572,0,0,0.0235148,0.0515443,0.0300825,0.0144227,0.0295042,0.0249139,0.0431263,0.0559864,0.0860653,0.0837916,0.0568461,0.0704006,0.0505832,0.0405904,0.0627202,0.00526617,0.037776,0.00516757,0.00915571,0.0580999,0,0,0,0,0,0.0452727
52,0,0,0,0,0,0,0.0189027,0,0,0,0.0383465,0,0.0192256,0.0334639,0,0.0156984,0,0,0.033401,0.037783,0.0379257,0.021938,0.0182984,0.0262957,0.0251935,0.0282958,0.0453049,0.0448215,0.0202986,0.0305981,0.0302312,0.0130907,0.0153371,0.0420746,0.0402534,0.0163257,0,0,0.0194118,0.039399,0.0368844,0,0,0.0287087,0,0,0.0232529,0.0513973,0.0297449,0.0146995,0.0296677,0.0249909,0.0440072,0.0553215,0.0854969,0.0837465,0.0566613,0.0701645,0.0503936,0.0403375,0.0624984,0.00525406,0.0372968,0.00529997,0.00940107,0.0587467,0,0,0,0,0,0.0455943
53,0,0,0,0,0,0,0.0185981,0,0,0,0.0370581,0,0.0189121,0.0328294,0,0.0160196,0,0,0.0333864,0.0386117,0.0379301,0.0209279,0.0174934,0.0270397,0.0260093,0.0291374,0.0469667,0.0458989,0.0198058,0.0301943,0.030477,0.013753,0.0157953,0.0458817,0.0398428,0.0163785,0,0,0.0187882,0.0398889,0.0369514,0,0,0.0290568,0,0,0.0231826,0.051252,0.0293686,0.0149727,0.0295041,0.0252619,0.0447338,0.0547178,0.0850856,0.0838965,0.0567243,0.0700589,0.0503273,0.0402261,0.062686,0.00550832,0.0370624,0.00519693,0.00947119,0.0594786,0,0,0,0,0,0.0451562
54,0,0,0,0,0,0,0.0184598,0,0,0,0.0362394,0,0.020013,0.0321183,0,0.0162031,0,0,0.0333362,0.0392447,0.0394388,0.0201357,0.0177485,0.0275691,0.0265195,0.0302971,0.0480887,0.0461025,0.019141,0.0298197,0.031096,0.0147193,0.0166548,0.0509891,0.039694,0.0163674,0,0,0.0181413,0.040508,0.0370472,0,0,0.0292418,0,0,0.0231565,0.05122,0.0291232,0.0151059,0.0290917,0.0258088,0.0450825,0.0543223,0.08484,0.0841216,0.0568998,0.0700894,0.0505004,0.0403538,0.0629708,0.0059883,0.0371252,0.00497599,0.00945366,0.0601726,0,0,0,0,0,0.0441527
55,0,0,0,0,0,0,0.0183908,0,0,0,0.033888,0,0.0206301,0.0318424,0,0.0163339,0,0,0.0333507,0.0393393,0.0380871,0.0193464,0.0204055,0.0277143,0.02677,0.032711,0.0484005,0.0447547,0.0174152,0,0.0353529,0.0186217,0.0186899,0.0534618,0.0398001,0.0162866,0,0,0.017598,0.0410957,0.0372558,0,0,0.0294293,0,0,0.0230265,0.0513142,0.0289624,0.0150852,0.0286305,0.0268177,0.0451556,0.0540358,0.0845739,0.0842767,0.0570701,0.0701104,0.0507258,0.0408351,0.0630371,0.00666063,0.0373087,0.00482753,0.00953384,0.0608124,0,0,0,0,0,0.0430609
56,0,0,0,0,0,0,0.0185674,0,0,0,0.0361016,0,0.023091,0.0315645,0,0.0162998,0,0,0.0334243,0.0389756,0.0411963,0.0197761,0.017763,0.0275351,0.0267524,0.0320507,0.0485491,0.0458492,0.0185139,0.0313146,0.0318198,0.0168356,0.0182903,0.0516464,0.0403165,0.0162778,0,0,0.0172053,0.0414669,0.0373079,0,0,0.0292138,0,0,0.0230493,0.0510955,0.0291362,0.0150807,0.0281927,0.0274748,0.0445159,0.0538243,0.0845603,0.0844277,0.0570387,0.0699638,0.0508015,0.0408945,0.0628704,0.00760027,0.0378343,0.00467395,0.00959274,0.0608869,0,0,0,0,0,0.0416119
57,0,0,0,0,0,0,0.017844,0,0,0,0.0363745,0,0.0226671,0.031701,0,0.0195598,0,0,0.0427956,0.0383933,0.0398066,0.0198685,0.0174427,0.026975,0.0280074,0.0323416,0.0487607,0.0458803,0.0184614,0.0316655,0.0314215,0.0175723,0.0189167,0.047486,0.0391316,0.0120397,0.0147242,0,0.0170217,0.0416768,0.0377569,0,0,0.0283881,0,0,0.0230883,0.0508766,0.0292978,0.0151368,0.0279712,0.0284436,0.0438453,0.0533724,0.0844904,0.0843343,0.0567501,0.0697768,0.0507148,0.0406512,0.0625906,0.00851759,0.0388437,0.00457509,0.00969189,0.0610317,0,0,0,0,0,0.040346
58,0,0,0,0,0,0,0.0179908,0,0,0,0.0359092,0,0.0223625,0.0321536,0,0.0195555,0,0,0.042808,0.0378871,0.0384045,0.0200477,0.0169985,0.0266554,0.0279541,0.0327653,0.0490038,0.0459905,0.0182796,0.0316077,0.0315487,0.0183987,0.0197865,0.042678,0.0394611,0.0119824,0.0147718,0,0.0170875,0.0416485,0.0378723,0,0,0.0282491,0,0,0.0230696,0.0507526,0.0297052,0.0151351,0.0277656,0.0290276,0.0433446,0.0530925,0.0845645,0.0843105,0.056563,0.0694531,0.0504319,0.0404653,0.0621736,0.00932976,0.0391007,0.00456481,0.0097934,0.0610894,0,0,0,0,0,0.0393406
59,0,0,0,0,0,0,0.018137,0,0,0,0.0363096,0,0.0224558,0.0326787,0,0.0196194,0,0,0.0427827,0.0375967,0.0374168,0.0203268,0.0164592,0.0265058,0.0279229,0.0331692,0.0492574,0.0461674,0.0180152,0.0317593,0.0315715,0.0194621,0.0207786,0.0385843,0.0396369,0.0119638,0.0147898,0,0.0172827,0.0415462,0.0378824,0,0,0.0281306,0,0,0.0230174,0.050741,0.0302956,0.0151194,0.0275389,0.0292287,0.0431614,0.0530058,0.0845718,0.0843432,0.0565503,0.0691897,0.0501917,0.040268,0.0617964,0.00997381,0.0391563,0.00461313,0.00991579,0.0612125,0,0,0,0,0,0.0385168
60,0,0,0,0,0,0,0.0181267,0,0,0,0.037375,0,0.0227222,0.0333613,0,0.0197694,0,0,0.0427031,0.0375756,0.0372312,0.0203373,0.0162828,0.0265938,0.0278316,0.0329397,0.0494824,0.0462429,0.0178219,0.0321462,0.0314029,0.0202858,0.021479,0.0357717,0.0397064,0.0117702,0.0145213,0,0.0174669,0.041479,0.0379426,0,0,0.0280294,0,0,0.0229706,0.0506879,0.0309105,0.0151428,0.0272517,0.0292987,0.0432193,0.0530527,0.0846013,0.0844066,0.0566828,0.0690949,0.0500748,0.0404228,0.0616178,0.0104712,0.0390164,0.00468212,0.00999772,0.0613143,0,0,0,0,0,0.0380607
61,0,0,0,0,0,0,0.0179622,0,0,0,0.0381934,0,0.0232181,0.0338379,0,0.0200082,0,0,0.0425675,0.03759,0.0374596,0.0202078,0.0163325,0.026855,0.0278099,0.0327468,0.0496677,0.0461363,0.0177133,0.0327564,0.0310934,0.0203834,0.0216672,0.0338727,0.0397287,0.0114107,0.0141072,0,0.0177172,0.0415308,0.0380472,0,0,0.0279802,0,0,0.0229751,0.050774,0.0312293,0.0151589,0.0270547,0.0290846,0.0434917,0.0531392,0.0847273,0.0843463,0.0568858,0.0691052,0.050025,0.0405421,0.0615886,0.0105575,0.038669,0.0047093,0.0097,0.0613502,0,0,0,0,0,0.0380778
62,0,0,0,0,0,0,0.0177416,0,0,0,0.0387535,0,0.0238791,0.0339329,0,0.0199007,0,0,0.0424938,0.0376605,0.0379435,0.0199834,0.0163343,0.0271694,0.0276873,0.0328156,0.0496778,0.0458434,0.0175705,0.0328434,0.030873,0.01989,0.0215266,0.0323691,0.0396742,0.0115664,0.0144163,0,0.017987,0.0415868,0.0381591,0,0,0.0280185,0,0,0.0230715,0.0510028,0.0313504,0.0150876,0.0269053,0.0286341,0.0439877,0.0532174,0.0848515,0.0842722,0.0570702,0.0691185,0.0501304,0.0405521,0.0616253,0.0102639,0.0382034,0.00464894,0.00921517,0.0613199,0,0,0,0,0,0.0385231
63,0,0,0,0,0,0,0.0172394,0,0,0,0.0391573,0,0.0244718,0.0339777,0,0.0199929,0,0,0.0425694,0.0379106,0.0382877,0.0196214,0.0162874,0.0278764,0.0275948,0.0331595,0.049874,0.0460118,0.0172879,0.0321021,0.0308071,0.0194068,0.0210606,0.0312302,0.0392094,0.0113523,0.0145028,0,0.0182619,0.0415493,0.0386601,0,0,0.0238803,0,0,0.0127424,0.0511637,0.0312804,0.0148892,0.0267689,0.029078,0.0432537,0.0532705,0.0847878,0.0843632,0.0572085,0.0690714,0.0503371,0.0405648,0.0616645,0.00987909,0.0396284,0.00215621,0,0.0610086,0,0,0,0,0,0.0389856
64,0,0,0,0,0,0,0.017259,0,0,0,0.0395338,0,0.0248691,0.0341432,0,0.0196124,0,0,0.0424534,0.0379072,0.0380601,0.0189351,0.0167832,0.0276846,0.0271025,0.0334203,0.0499252,0.0460189,0.017118,0.0308717,0.0308283,0.0193315,0.0205302,0.0299203,0.0394411,0.0112178,0.0144628,0,0.0186088,0.0419433,0.0385288,0,0,0.0283977,0,0,0.0228815,0.0513892,0.0308051,0.0151598,0.0267663,0.029408,0.044947,0.0530368,0.0843835,0.0844077,0.0572404,0.0691017,0.0505446,0.0409103,0.0617388,0.00929208,0.0374259,0.00509979,0.00968292,0.0610402,0,0,0,0,0,0.0397416
65,0,0,0,0,0,0,0.0168439,0,0,0,0.0403961,0,0.0253975,0.0341914,0,0.0197331,0,0,0.0425472,0.0379932,0.0380949,0.0185671,0.0167291,0.0283684,0.0271285,0.0343536,0.0503118,0.046008,0.01686,0.0304946,0.0305271,0.0188208,0.0203235,0.0285731,0.0390962,0.0110723,0.0141945,0,0.018995,0.0423906,0.0390055,0,0,0.02408,0,0,0.0126555,0.0514767,0.030333,0.0151818,0.0266468,0.0294696,0.0440192,0.0528414,0.0839479,0.0846728,0.0574129,0.0689706,0.0505398,0.0411528,0.0617434,0.00863792,0.0391303,0.00238908,0,0.0606035,0,0,0,0,0,0.0407126
66,0,0,0,0,0,0,0.0170083,0,0,0,0.0415555,0,0.0256825,0.0340487,0,0.0193248,0,0,0.0424884,0.0379586,0.0379231,0.0182868,0.0168245,0.0281528,0.0267438,0.0351283,0.0504719,0.0453135,0.016499,0.0304535,0.0298904,0.0185331,0.0205277,0.0272909,0.0395135,0.0112032,0.0145261,0,0.0194083,0.0429781,0.0387639,0,0,0.0284851,0,0,0.0227395,0.0517111,0.0298183,0.0156737,0.0267488,0.029022,0.0455995,0.0524801,0.0833847,0.08461,0.0575658,0.0688774,0.0505203,0.0412912,0.0618307,0.00810655,0.0371161,0.00531492,0.00979984,0.0603896,0,0,0,0,0,0.0419107
67,0,0,0,0,0,0,0.0170236,0,0,0,0.042753,0,0.0259075,0.0341387,0,0.0191682,0,0,0.0425315,0.0380966,0.0379782,0.0179845,0.016911,0.0284135,0.0265167,0.0357847,0.05076,0.0447779,0.0163418,0.0301983,0.0293171,0.018385,0.0207088,0.0259662,0.039676,0.01133,0.0147346,0,0.0198315,0.0435263,0.0388284,0,0,0.0284741,0,0,0.022756,0.0518467,0.0297419,0.0160886,0.0267817,0.0286075,0.0458004,0.0522038,0.0828219,0.084494,0.0576714,0.0687508,0.0504887,0.0414025,0.0619072,0.0078463,0.037132,0.00528392,0.00959745,0.0599613,0,0,0,0,0,0.0431155
68,0,0,0,0,0,0,0.0170603,0,0,0,0.0436524,0,0.0264059,0.0343443,0,0.0191276,0,0,0.0424211,0.0383172,0.0383015,0.0176514,0.0170678,0.0285733,0.0263236,0.0365951,0.0512064,0.0444668,0.0163295,0.0296146,0.0288561,0.018539,0.020747,0.0248517,0.0398503,0.0113503,0.0145502,0,0.0202053,0.0442375,0.0389193,0,0,0.0284476,0,0,0.0227798,0.0520262,0.0300073,0.0166856,0.026855,0.0289659,0.0459385,0.0520286,0.082376,0.0843735,0.057722,0.0686547,0.0504943,0.0415597,0.0619289,0.00789848,0.0373091,0.00519031,0.0095537,0.0599338,0,0,0,0,0,0.0442396
69,0,0,0,0,0,0,0.0171687,0,0,0,0.044493,0,0.0270704,0.0346644,0,0.0192216,0,0,0.0422746,0.0385464,0.0390993,0.0173114,0.0174054,0.0287564,0.0262122,0.0376146,0.0512969,0.0441044,0.0163741,0.0289544,0.0284626,0.018818,0.0204656,0.0244048,0.0399426,0.0112389,0.0141114,0,0.0205205,0.0448176,0.038949,0,0,0.0284698,0,0,0.0227692,0.052133,0.030526,0.0172092,0.0270307,0.0290237,0.0460526,0.0518033,0.0819956,0.084254,0.0577694,0.0686175,0.0505371,0.0417082,0.0618963,0.00834059,0.0375783,0.00515596,0.00968034,0.0598962,0,0,0,0,0,0.0452379
70,0,0,0,0,0,0,0.0173172,0,0,0,0.0448378,0,0.0275563,0.0352602,0,0.0193091,0,0,0.0422179,0.0387961,0.0408866,0.0170842,0.0180441,0.0290037,0.0261354,0.0387413,0.0520107,0.0433096,0.0165591,0.0283945,0.0280198,0.0189579,0.0211592,0.0244567,0.0399802,0.0111677,0.0139704,0,0.0209642,0.0453846,0.0388019,0,0,0.0284723,0,0,0.022763,0.052192,0.0310076,0.0176943,0.0272995,0.0286431,0.0460942,0.0515091,0.0816769,0.0841489,0.0578241,0.0684579,0.0505562,0.0417591,0.0618574,0.00887074,0.0378838,0.00509011,0.00976716,0.0597655,0,0,0,0,0,0.0461122
71,0,0,0,0,0,0,0.0174707,0,0,0,0.0449024,0,0.0277554,0.0361159,0,0.0193687,0,0,0.0421906,0.0392218,0.0420347,0.0168194,0.0187761,0.0292376,0.0260618,0.0399544,0.0527844,0.0427163,0.0169156,0.0278773,0.0275341,0.0190465,0.0221009,0.0248145,0.0400093,0.0111319,0.0139492,0,0.0213844,0.046029,0.0385337,0,0,0.0284531,0,0,0.0227233,0.0521873,0.0314085,0.0183014,0.0275468,0.0287755,0.046092,0.0511949,0.0813643,0.0840131,0.0578269,0.0683318,0.0505851,0.0418132,0.0618451,0.00945633,0.0381786,0.00501695,0.0097744,0.0595933,0,0,0,0,0,0.0468584
72,0,0,0,0,0,0,0.0176293,0,0,0,0.0446862,0,0.0281232,0.0366118,0,0.0193375,0,0,0.0421764,0.0397172,0.0427197,0.0165605,0.0195997,0.0294823,0.0260242,0.0411548,0.0535751,0.042123,0.0173138,0.0274729,0.0271093,0.0191106,0.0229875,0.0256047,0.0400297,0.0111635,0.0140466,0,0.0219698,0.0466163,0.0383368,0,0,0.0284288,0,0,0.022696,0.0522821,0.0318537,0.0188679,0.0277724,0.0287286,0.0460853,0.0509445,0.0810016,0.0838944,0.0578272,0.0682086,0.0505939,0.0418074,0.0617998,0.00990221,0.0384492,0.00494071,0.00980472,0.0594049,0,0,0,0,0,0.047636
73,0,0,0,0,0,0,0.0178474,0,0,0,0.0441366,0,0.0287544,0.0368407,0,0.019209,0,0,0.0421347,0.0403363,0.0435213,0.016333,0.020272,0.0296568,0.0259342,0.0422918,0.054373,0.0414884,0.0179318,0.0273346,0.0268197,0.0192526,0.0235633,0.0268789,0.0400664,0.011186,0.0142334,0,0.0224825,0.0471825,0.0382093,0,0,0.028374,0,0,0.0227047,0.0523756,0.032419,0.0194773,0.0280243,0.0294119,0.0460547,0.050701,0.0806739,0.0837875,0.0577784,0.0681678,0.0506628,0.0418153,0.0618057,0.0103592,0.0386795,0.00487898,0.00981038,0.0592204,0,0,0,0,0,0.0483658
74,0,0,0,0,0,0,0.0180783,0,0,0,0.0431768,0,0.0292822,0.0370589,0,0.0193043,0,0,0.0420496,0.0409725,0.0442891,0.0161771,0.0209885,0.0298431,0.0258757,0.0434807,0.055361,0.0409516,0.0188343,0.0274299,0.0267243,0.0196068,0.0241381,0.0285973,0.0401289,0.0111061,0.0139357,0,0.0228985,0.0477617,0.0380652,0,0,0.0282482,0,0,0.0227384,0.0524852,0.0326557,0.0200521,0.0282999,0.0298022,0.0459732,0.0504543,0.0803916,0.0837228,0.0577487,0.0681097,0.0506779,0.041862,0.0618212,0.0108948,0.0388705,0.00486165,0.00978626,0.058996,0,0,0,0,0,0.0489901
