Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,T10,x70,x71,x72,x73,LEAR,R5FT
9,0,0,0,0,0,0,0.0181574,0,0,0,0.0403887,0,0.028586,0.0335437,0,0.0216154,0,0,0.0426291,0.0288494,0.0333417,0.0287069,0.0241532,0.0288902,0.0297083,0.0308582,0.0407396,0.037734,0.0261887,0.0333168,0.0337819,0.0210413,0.0298901,0.0132651,0.03834,0.0119422,0.0119699,0,0.0223436,0.0318794,0.0367226,0,0,0.0262027,0,0,0.0237917,0.0610721,0.055308,0.0171714,0.0361592,0.0279519,0.0401075,0.059276,0.0916482,0.0915331,0.056632,0.0673881,0.0469982,0.0340712,0.0653068,0.0575715,0.0400379,0.0044912,0.0095554,0.0658252,0,0,0,0,0,0.0341417
10,0,0,0,0,0,0,0.0181082,0,0,0,0.0405651,0,0.0288105,0.0339151,0,0.021523,0,0,0.0424418,0.0282471,0.0339892,0.0288094,0.0241272,0.0288455,0.0298096,0.0301226,0.0403996,0.0378854,0.0260662,0.0331819,0.0335497,0.0209045,0.029833,0.0131034,0.038024,0.0117323,0.0120764,0,0.0224684,0.0316283,0.0365502,0,0,0.0259965,0,0,0.0237732,0.0607452,0.056544,0.0160761,0.0366199,0.0283502,0.0401785,0.0592556,0.0916487,0.0915002,0.056671,0.06768,0.0473924,0.0343849,0.0659587,0.0597306,0.0397849,0.00467895,0.0095296,0.0656567,0,0,0,0,0,0.034257
11,0,0,0,0,0,0,0.0180231,0,0,0,0.0406355,0,0.0291041,0.0340313,0,0.0214247,0,0,0.0424113,0.0277447,0.0341303,0.028707,0.0239507,0.028827,0.030094,0.0295174,0.039988,0.038152,0.0259261,0.0330233,0.0332298,0.0205458,0.0295457,0.0129546,0.0376786,0.0117957,0.0120038,0,0.0223786,0.0314863,0.0363013,0,0,0.0258439,0,0,0.0237084,0.0604631,0.0577065,0.0148978,0.0368974,0.0287702,0.0402634,0.0591477,0.0918951,0.0914147,0.0563457,0.0676103,0.0472858,0.0341449,0.0660597,0.0619147,0.0395422,0.00481768,0.00937768,0.0654933,0,0,0,0,0,0.0329552
12,0,0,0,0,0,0,0.0179396,0,0,0,0.0406733,0,0.0293122,0.0338131,0,0.0213324,0,0,0.0425417,0.0273823,0.0342699,0.028805,0.023557,0.0287921,0.030427,0.0289665,0.0398555,0.0383637,0.0257248,0.0328175,0.0329758,0.020319,0.0292933,0.0129166,0.0373066,0.012124,0.0118524,0,0.0222568,0.0315089,0.0360669,0,0,0.025791,0,0,0.0237485,0.0602301,0.0584503,0.0137428,0.0367946,0.029217,0.0404672,0.0591406,0.0919866,0.0912854,0.0561645,0.0674261,0.0469898,0.0336655,0.0659136,0.0640977,0.0392767,0.00481183,0.00931568,0.0653508,0,0,0,0,0,0.0319493
13,0,0,0,0,0,0,0.0178864,0,0,0,0.0408901,0,0.0294999,0.0337344,0,0.0212767,0,0,0.0426389,0.0270922,0.0344961,0.0289473,0.0231152,0.0287588,0.0307049,0.028457,0.0395339,0.0385429,0.0255521,0.0326183,0.0328025,0.0204656,0.0289355,0.0128789,0.0369767,0.0123701,0.0118323,0,0.0222625,0.0317381,0.0358369,0,0,0.0258109,0,0,0.0237458,0.0600931,0.0590273,0.0126862,0.0364673,0.0296934,0.0407259,0.0592924,0.0920303,0.0912631,0.0560838,0.0672504,0.0466468,0.0332924,0.0657681,0.0663407,0.0390923,0.0048318,0.0093531,0.065234,0,0,0,0,0,0.0317029
14,0,0,0,0,0,0,0.0178589,0,0,0,0.0412567,0,0.0296188,0.0347348,0,0.0211857,0,0,0.0423473,0.0268269,0.0347252,0.0288368,0.023214,0.0288247,0.0307735,0.0280468,0.0392828,0.0387194,0.0256488,0.0327028,0.0326258,0.0204306,0.0287495,0.0127996,0.0367959,0.0115652,0.0124362,0,0.0222481,0.0322363,0.0357064,0,0,0.0258456,0,0,0.0237127,0.0599313,0.0598012,0.0117655,0.0361391,0.0303097,0.0408595,0.0593853,0.0921403,0.0911654,0.0561649,0.0671978,0.0464426,0.033194,0.0657147,0.0685151,0.0390798,0.0048693,0.00941817,0.065109,0,0,0,0,0,0.0320078
15,0,0,0,0,0,0,0.0178851,0,0,0,0.0414571,0,0.0296718,0.035507,0,0.021229,0,0,0.0421801,0.0265548,0.0351395,0.0285613,0.0232994,0.0287892,0.0308596,0.0278412,0.0392461,0.0388848,0.0256597,0.0326689,0.032471,0.0202557,0.0285961,0.0128071,0.0367546,0.0111351,0.0127814,0,0.0222737,0.0329338,0.0356486,0,0,0.0258935,0,0,0.0237216,0.0597687,0.0607583,0.0110694,0.0357362,0.0307522,0.0410237,0.0593951,0.0923385,0.0909469,0.0563972,0.0673113,0.0464102,0.0333198,0.0654186,0.0699562,0.0391649,0.00488404,0.00948199,0.064912,0,0,0,0,0,0.0327787
16,0,0,0,0,0,0,0.0179398,0,0,0,0.0414445,0,0.02968,0.0358816,0,0.0213253,0,0,0.0423074,0.0264607,0.0358192,0.0282013,0.0231829,0.0286104,0.0310987,0.0274695,0.0393235,0.0390268,0.0255801,0.0325094,0.0322713,0.0200591,0.0284456,0.0129525,0.0368358,0.0116708,0.0124704,0,0.0222746,0.033627,0.0356254,0,0,0.0258343,0,0,0.023667,0.059636,0.0613207,0.0104006,0.0351633,0.0309706,0.041158,0.0593254,0.092503,0.0908023,0.0566018,0.0678614,0.0466353,0.0334319,0.065369,0.0705894,0.0393645,0.00485998,0.00936349,0.0646665,0,0,0,0,0,0.0335962
17,0,0,0,0,0,0,0.0180443,0,0,0,0.0414847,0,0.0297944,0.0362728,0,0.0215035,0,0,0.0425566,0.0264603,0.0363201,0.028245,0.0231672,0.0283658,0.0311567,0.0272895,0.0390744,0.0391481,0.0254983,0.0322764,0.0319676,0.0198576,0.0283479,0.0130642,0.0370007,0.0126331,0.011832,0,0.0222347,0.0342861,0.0356558,0,0,0.0256367,0,0,0.023819,0.0595498,0.0617228,0.00976854,0.0344135,0.0311346,0.0411907,0.0594446,0.0925512,0.0907781,0.0568059,0.0687143,0.0471553,0.0336471,0.0657509,0.0716306,0.0396244,0.00459529,0.00900401,0.0644792,0,0,0,0,0,0.0339186
18,0,0,0,0,0,0,0.0181477,0,0,0,0.0417599,0,0.030143,0.036671,0,0.0214195,0,0,0.0425017,0.0264078,0.0365849,0.0284582,0.0231191,0.028115,0.03111,0.0269836,0.0387525,0.0392875,0.0254756,0.0320707,0.0318279,0.0196444,0.0282377,0.0131287,0.0373158,0.0125937,0.0118051,0,0.0224166,0.0348916,0.0357238,0,0,0.025353,0,0,0.0243183,0.0594695,0.0619409,0.00917558,0.0335242,0.0312867,0.0411906,0.0599169,0.0925668,0.09072,0.0569466,0.0698857,0.0477784,0.0343972,0.0663807,0.0727243,0.0398357,0.00409217,0.00855388,0.0643189,0,0,0,0,0,0.0342406
19,0,0,0,0,0,0,0.0182473,0,0,0,0.0417997,0,0.0301899,0.0368524,0,0.0213237,0,0,0.0421632,0.0263071,0.036926,0.0284706,0.023028,0.0278769,0.0311154,0.0265592,0.0384984,0.039483,0.0255803,0.0316944,0.0318262,0.0194792,0.0280356,0.0135513,0.0375802,0.0118136,0.0121969,0,0.0225699,0.0353728,0.035827,0,0,0.0253388,0,0,0.0242806,0.0593695,0.0622138,0.00865156,0.0325275,0.0314062,0.0411955,0.0606618,0.0929309,0.0906241,0.0569808,0.0707595,0.0483528,0.035893,0.0670565,0.0731426,0.0400214,0.00405112,0.00851457,0.064101,0,0,0,0,0,0.0346134
20,0,0,0,0,0,0,0.0183143,0,0,0,0.0417218,0,0.0301253,0.0367684,0,0.0216543,0,0,0.0370129,0.0262592,0.0372521,0.0284492,0.0228601,0.0275857,0.0308278,0.0261567,0.038591,0.0397478,0.0256009,0.0312,0.0317083,0.0192967,0.0279535,0.01387,0.0378964,0.0178138,0,0,0.0224461,0.0357446,0.0360607,0,0,0.0255724,0,0,0.0235844,0.0591603,0.0622821,0.00829709,0.0313473,0.0314365,0.0412854,0.060883,0.0932808,0.0903571,0.0568168,0.071351,0.0489312,0.0368786,0.0677831,0.0729817,0.0401856,0.00443624,0.00886604,0.0638141,0,0,0,0,0,0.0352683
21,0,0,0,0,0,0,0.018362,0,0,0,0.0417344,0,0.0301789,0.0373421,0,0.0211926,0,0,0.0413768,0.0263604,0.0374978,0.0283887,0.0226568,0.0274249,0.0307904,0.0258256,0.0385237,0.0399956,0.0257281,0.0309098,0.031445,0.0191454,0.0278634,0.0138776,0.0379322,0.00992169,0.0133377,0,0.0221705,0.0361164,0.0359972,0,0,0.0255147,0,0,0.0231755,0.0588714,0.0620752,0.00802698,0.030112,0.0315186,0.0412865,0.0611345,0.0934629,0.0901619,0.0568127,0.0720346,0.0496485,0.0374515,0.0683362,0.0730368,0.0403296,0.00449866,0.00916407,0.0635247,0,0,0,0,0,0.0356755
22,0,0,0,0,0,0,0.0176443,0,0,0,0.0388803,0,0.0289395,0.0381528,0,0.0243587,0,0,0.04351,0.0260476,0.0379905,0.027963,0.0225121,0.0267555,0.0302887,0.0247054,0.0375971,0.0404986,0.0266088,0.0310718,0.0311366,0.0203209,0.0289137,0.0150631,0.03761,0.0220236,0,0,0.0273455,0.0361534,0.036922,0,0,0.0209606,0,0,0.0125985,0.0584545,0.0637464,0.00852922,0.0274686,0.0320869,0.0407456,0.0623507,0.0956339,0.0917972,0.0576112,0.0724459,0.0467452,0.0365572,0.070706,0.0637923,0.0420635,0.00194869,0,0.0628318,0,0,0,0,0,0.0319819
23,0,0,0,0,0,0,0.0180214,0,0,0,0.0391966,0,0.0306523,0,0,0.0277068,0,0,0.0571417,0.0242129,0.0395537,0.0322578,0.0216998,0.0260627,0.0323543,0.0250792,0.0397726,0.0409611,0.0240278,0.0296063,0.0298971,0.018199,0.0270567,0.0155333,0.0376113,0.0294508,0,0,0.0217239,0.0365846,0.0360521,0,0,0.0253346,0,0,0.0235404,0.0612027,0.0609807,0.00886031,0.0268595,0.0319486,0.0420779,0.06219,0.0938508,0.0906117,0.0588888,0.0725551,0.0501273,0.03823,0.0685404,0.0702965,0.0403312,0.00433911,0.00875202,0.0623098,0,0,0,0,0,0.0334757
24,0,0,0,0,0,0,0.0175544,0,0,0,0.0382618,0,0.0289007,0.0390363,0,0.0283538,0,0,0.0564571,0.0261647,0.0380592,0.0278552,0.0226808,0.0263814,0.0315079,0.0240607,0.0372912,0.0407603,0.0265903,0.0307504,0.0308928,0.0198031,0.0286395,0.0156896,0.037446,0.0296243,0,0,0.0262856,0.0369685,0.0366554,0,0,0.024262,0,0,0.0245922,0.0585726,0.0626839,0.00853296,0.0248329,0.0320602,0.0417169,0.0631005,0.0965088,0.0918071,0.0583765,0.073336,0.0476711,0.0378749,0.0712579,0.0623108,0.04072,0.00411788,0.00825498,0.0622228,0,0,0,0,0,0.0302336
