Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,T10,x70,x71,x72,STRN,x73
9,0,0,0,0,0,0,0.0277584,0.0399272,0,0,0,0.047978,0,0.0288293,0.0388615,0,0,0.0179806,0,0,0.0436338,0.0378967,0.0418742,0.0269973,0.0249974,0.0218026,0.031207,0.040157,0.0465462,0.0419237,0.025084,0.0386171,0.0361498,0.0260786,0.0298833,0.0143915,0.0400963,0.0124701,0.01164,0.0333961,0,0.0259795,0.0441769,0.0396111,0,0,0.0261485,0,0,0.0248995,0.0600038,0.0327061,0.0216244,0.0306798,0.0281979,0.0393869,0.0492434,0.0774714,0.0798347,0.057763,0.0664279,0.0496853,0.0416035,0.0615213,0.012683,0.0360966,0.00677202,0.0116926,0.065478,0,0,0,0.0411016,0
10,0,0,0,0,0,0,0.0277801,0.0401662,0,0,0,0.046398,0,0.0279932,0.038184,0,0,0.0178203,0,0,0.043954,0.0368079,0.0420684,0.0284845,0.0226164,0.0209628,0.0314932,0.0369374,0.0458554,0.0447591,0.0270424,0.0395436,0.0371472,0.0287475,0.0332404,0.0169129,0.0398218,0.0121618,0.011391,0.0337649,0,0.0243195,0.0442409,0.0393494,0,0,0.026046,0,0,0.0251808,0.0602952,0.0325883,0.022454,0.031279,0.0276129,0.0395285,0.0484827,0.0770238,0.0790572,0.0569912,0.0674611,0.0506765,0.0422808,0.0618217,0.0126895,0.0359479,0.00676561,0.0112141,0.0652286,0,0,0,0.041791,0
11,0,0,0,0,0,0,0.0278558,0.0403258,0,0,0,0.0475987,0,0.0278098,0.0374224,0,0,0.0177158,0,0,0.0440788,0.0361304,0.0429231,0.029176,0.0226396,0.0207424,0.0316547,0.0355789,0.0454745,0.0453552,0.0276035,0.0397942,0.0375762,0.0290927,0.0338997,0.0168865,0.0396833,0.0121192,0.0113285,0.0356643,0,0.0232728,0.0442479,0.0391955,0,0,0.0259657,0,0,0.0253031,0.060433,0.0327316,0.0229963,0.0313535,0.0272709,0.0394436,0.047725,0.0769065,0.0787906,0.0563185,0.0682124,0.0510411,0.0423842,0.0618232,0.010794,0.0359191,0.00671248,0.0110833,0.0650734,0,0,0,0.0421631,0
12,0,0,0,0,0,0,0.0278982,0.0403019,0,0,0,0.0477537,0,0.0279325,0.0364042,0,0,0.0176944,0,0,0.0440355,0.0357207,0.0425861,0.0289955,0.0234565,0.020858,0.031746,0.0355057,0.0448418,0.0443358,0.0270027,0.039591,0.037266,0.0290719,0.0338301,0.017095,0.039601,0.0122038,0.0113083,0.0368784,0,0.022534,0.0443225,0.0391018,0,0,0.0259354,0,0,0.0253779,0.060584,0.0330143,0.0234611,0.0315215,0.0272709,0.0393392,0.0471555,0.0768829,0.0787036,0.0559073,0.0685176,0.051146,0.0423119,0.0616934,0.00945277,0.03593,0.00669069,0.0111492,0.0650161,0,0,0,0.0423745,0
13,0,0,0,0,0,0,0.0279334,0.0402495,0,0,0,0.0469152,0,0.0283007,0.0355969,0,0,0.0177852,0,0,0.0439376,0.0355926,0.0413474,0.0281409,0.0249959,0.0212667,0.0318864,0.0367752,0.0444409,0.0420522,0.025486,0.0392042,0.0365171,0.0287829,0.0331638,0.0177084,0.0395497,0.0123163,0.0114018,0.037496,0,0.02207,0.0444676,0.0390861,0,0,0.0259065,0,0,0.0253753,0.0607113,0.0332985,0.0238673,0.0313999,0.0276559,0.0392938,0.04681,0.0769174,0.0786545,0.0557128,0.0685685,0.0510229,0.0420925,0.0614756,0.00876507,0.0358228,0.00664131,0.0113609,0.0650927,0,0,0,0.0423966,0
14,0,0,0,0,0,0,0.028006,0.0402179,0,0,0,0.0480507,0,0.0300867,0.0355757,0,0,0.0179607,0,0,0.0438645,0.0357467,0.0403777,0.0271699,0.0264355,0.0219309,0.0319784,0.038933,0.0451295,0.0396452,0.0235875,0.0385447,0.0355235,0.0275696,0.0315792,0.0166072,0.039371,0.0125454,0.0116638,0.0401269,0,0.0238669,0.0447533,0.0391783,0,0,0.025856,0,0,0.0252634,0.0604523,0.0339932,0.0239578,0.0297438,0.0281457,0.0391197,0.0469925,0.0778955,0.0792347,0.0557166,0.067581,0.0494724,0.0407333,0.060757,0.00701395,0.0358034,0.00664709,0.011651,0.0651433,0,0,0,0.0423125,0
15,0,0,0,0,0,0,0.0279173,0.0401623,0,0,0,0.0479708,0,0.0301695,0.0356606,0,0,0.0181612,0,0,0.0440597,0.0359176,0.039651,0.0267282,0.025386,0.0222186,0.0323144,0.0398655,0.0459892,0.0389969,0.0229361,0.0383005,0.0352891,0.027685,0.0318317,0.0165605,0.0390231,0.0126129,0.0116676,0.0400432,0,0.0235896,0.0450245,0.039102,0,0,0.0259893,0,0,0.0252625,0.0604321,0.0341975,0.024407,0.0290179,0.0284569,0.0392337,0.0468606,0.0781229,0.0795001,0.0555352,0.0673109,0.0491502,0.0403613,0.0604293,0.00717894,0.0355214,0.00664323,0.0116509,0.0651433,0,0,0,0.0423928,0
16,0,0,0,0,0,0,0.0278636,0.0400704,0,0,0,0.0481752,0,0.0304026,0.035341,0,0,0.018409,0,0,0.0442401,0.0359785,0.0381635,0.0264397,0.0244622,0.0224851,0.0326514,0.0408524,0.0469813,0.0384818,0.0220584,0.037549,0.0345315,0.0281703,0.0325153,0.016403,0.0388205,0.0127118,0.0116359,0.0399832,0,0.0230722,0.0451623,0.0390511,0,0,0.0261545,0,0,0.0252232,0.0605284,0.0344582,0.0248511,0.0282344,0.0286732,0.0392768,0.0468233,0.0784728,0.079835,0.0553899,0.0670863,0.0488164,0.0400236,0.060207,0.00748388,0.0352569,0.00660998,0.0116471,0.0651596,0,0,0,0.0424775,0
17,0,0,0,0,0,0,0.0279316,0.0401009,0,0,0,0.047001,0,0.0294951,0.035786,0,0,0.01855,0,0,0.0443701,0.0356768,0.0352587,0.0266645,0.0239386,0.0228189,0.0328873,0.0415736,0.0477088,0.038053,0.0209975,0.0369134,0.0339164,0.0286925,0.03315,0.0162293,0.0387491,0.0126564,0.0117382,0.0401369,0,0.0224521,0.0452146,0.0390493,0,0,0.0261514,0,0,0.0252366,0.0607877,0.0346779,0.02548,0.027499,0.028543,0.0390742,0.0469214,0.0789778,0.0801814,0.0552678,0.0669716,0.0485313,0.0397236,0.0601028,0.00771044,0.0350994,0.00658797,0.0116972,0.0651435,0,0,0,0.0426281,0
18,0,0,0,0,0,0,0.0281911,0.0402358,0,0,0,0.0447916,0,0.0265954,0.0364531,0,0,0.0185506,0,0,0.0443175,0.0350643,0.0314073,0.0276744,0.0233528,0.0232952,0.0329934,0.0414983,0.0478234,0.0378366,0.0202401,0.036759,0.0345016,0.0282991,0.0327286,0.0162019,0.0388744,0.0126018,0.011762,0.0400326,0,0.0217862,0.0450899,0.0390542,0,0,0.0258998,0,0,0.025289,0.0612563,0.0348766,0.0263397,0.0267833,0.0278515,0.0385636,0.0472247,0.0793391,0.080607,0.0552041,0.0668857,0.0482951,0.0394331,0.0600619,0.008092,0.0354596,0.00652216,0.011757,0.0650693,0,0,0,0.0428922,0
