Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,T10,x70,x71,x72,x73
62,0,0,0,0,0,0,0.0199746,0,0,0,0.0503279,0,0.0244753,0.0389951,0,0,0.0191,0,0,0.0404624,0.0263258,0.0354754,0.0225194,0.0307585,0.0316829,0.0181954,0.0213763,0.02681,0.0383537,0.0310443,0.0393302,0.035673,0.0312938,0.0356655,0.0121412,0.0455137,0.00949703,0.0117426,0.061191,0,0.0212735,0.0302991,0.0376303,0,0,0.0231816,0,0,0.025103,0.0728599,0.0302387,0.0141598,0.0354973,0.0396458,0.0285401,0.068187,0.0893201,0.0897636,0.140913,0.0772343,0.0582212,0.048799,0.0675241,0.00552691,0.0498793,0.00541824,0.0118904,0.0579115,0,0,0,0
63,0,0,0,0,0,0,0.0200949,0,0,0,0.0504568,0,0.0246573,0.0391364,0,0,0.0192156,0,0,0.0404456,0.0267993,0.03533,0.0221008,0.0313825,0.031653,0.0177619,0.0218532,0.0265469,0.0379549,0.030971,0.0394222,0.0355551,0.0313785,0.0356146,0.0132019,0.0456842,0.00953763,0.0115025,0.0611021,0,0.0213519,0.0304016,0.0376254,0,0,0.0231208,0,0,0.0252484,0.0735451,0.0303329,0.0147199,0.0362662,0.0394313,0.028284,0.0682864,0.0887267,0.089346,0.140806,0.077366,0.0584524,0.0490319,0.0682742,0.00522281,0.0500778,0.00540702,0.0122398,0.057674,0,0,0,0
64,0,0,0,0,0,0,0.0201186,0,0,0,0.0504493,0,0.0249089,0.0393304,0,0,0.0192721,0,0,0.0404731,0.0271596,0.035066,0.0216989,0.032042,0.0316757,0.017211,0.0222427,0.0263628,0.0375398,0.0306445,0.0394099,0.0353228,0.0311809,0.0355287,0.0144324,0.0458365,0.00949573,0.0113553,0.0607337,0,0.0215412,0.0304629,0.0377185,0,0,0.0230632,0,0,0.0253066,0.0740352,0.030734,0.0152152,0.036412,0.0393585,0.0281476,0.0679823,0.0876465,0.0887895,0.140989,0.0773319,0.0585194,0.0489891,0.0690879,0.00465018,0.0501453,0.00545275,0.0123605,0.0575075,0,0,0,0
65,0,0,0,0,0,0,0.0200237,0,0,0,0.0502681,0,0.0250723,0.0395518,0,0,0.0192768,0,0,0.0405146,0.0273799,0.0349338,0.0214048,0.0325434,0.0316975,0.0167306,0.022418,0.0263439,0.0371579,0.0301653,0.0393214,0.0350396,0.0309836,0.0352402,0.0155913,0.045916,0.00946308,0.0112969,0.0594777,0,0.021388,0.0304213,0.0378908,0,0,0.022992,0,0,0.0252899,0.0744953,0.0310329,0.0154669,0.0360814,0.0394212,0.0282108,0.0676456,0.0863184,0.0881965,0.140988,0.0771815,0.0585021,0.0485457,0.0686763,0.00397508,0.0501051,0.00552201,0.0121912,0.0574643,0,0,0,0
66,0,0,0,0,0,0,0.0203202,0,0,0,0.0563581,0,0.0283571,0.0403534,0,0,0.0192377,0,0,0.0404908,0.0264338,0.0355122,0.0216186,0.0316393,0.0322365,0.0159858,0.0220952,0.0279632,0.0368366,0.0280744,0.0368922,0.0327033,0.0271651,0.0318537,0.0224141,0.0463797,0.00949453,0.0113231,0.0634664,0,0.0243668,0.0303802,0.0378807,0,0,0.022813,0,0,0.0252225,0.0750944,0.0319302,0.0152805,0.0327906,0.0400056,0.0280721,0.0682244,0.0836453,0.0884883,0.142533,0.075158,0.0552278,0.0455454,0.0673077,0.00826593,0.0499888,0.00534433,0.0123641,0.0574776,0,0,0,0
67,0,0,0,0,0,0,0.0202199,0,0,0,0.0563983,0,0.0281344,0.0413318,0,0,0.0192141,0,0,0.0404646,0.0262298,0.0357193,0.0217573,0.0312697,0.0320617,0.0155756,0.0217399,0.0281089,0.0370238,0.0279797,0.0366191,0.0325207,0.0269436,0.0315842,0.0228368,0.0465408,0.00947186,0.0113534,0.0610399,0,0.023491,0.0300575,0.0379561,0,0,0.0228736,0,0,0.025136,0.0750837,0.0323589,0.0149801,0.0312437,0.0402605,0.0283066,0.0677958,0.0826234,0.0882196,0.142631,0.074932,0.0545982,0.045075,0.0668469,0.00629471,0.0498291,0.00540666,0.0122602,0.0574821,0,0,0,0
68,0,0,0,0,0,0,0.0201139,0,0,0,0.0565098,0,0.0278066,0.0421504,0,0,0.0192522,0,0,0.0404259,0.0260054,0.0359747,0.0219435,0.0309354,0.0319681,0.0151418,0.0213468,0.0283316,0.0372407,0.0277883,0.0362665,0.0322804,0.0267252,0.0312501,0.0232894,0.0465679,0.00942159,0.0112241,0.0593444,0,0.0231036,0.0296061,0.037929,0,0,0.0230028,0,0,0.0251858,0.0747176,0.0334647,0.0147057,0.0293225,0.0405366,0.0286093,0.0672925,0.081625,0.0880688,0.142824,0.0748575,0.0539004,0.0445714,0.0667674,0.00427075,0.0496157,0.00541527,0.0122952,0.0575462,0,0,0,0
69,0,0,0,0,0,0,0.0200115,0,0,0,0.0563885,0,0.0274245,0.0423861,0,0,0.0192773,0,0,0.0404723,0.025841,0.0361076,0.0221155,0.0306522,0.0318905,0.014402,0.0209648,0.0285863,0.0374627,0.0276161,0.035941,0.0320894,0.0263492,0.0307731,0.0237081,0.0467668,0.00941544,0.0111539,0.0592524,0,0.0223301,0.0292095,0.0379331,0,0,0.0231446,0,0,0.0253141,0.0739687,0.0349356,0.014559,0.0275214,0.0407214,0.0288836,0.0668861,0.0805843,0.0880966,0.143352,0.0751014,0.0529736,0.0441054,0.0677016,0.00314309,0.0495115,0.00541915,0.0123412,0.057594,0,0,0,0
70,0,0,0,0,0,0,0.0199618,0,0,0,0.0560855,0,0.0269721,0.0422927,0,0,0.0192782,0,0,0.0404904,0.0257988,0.0359679,0.0221301,0.0303793,0.0316792,0.0132514,0.0207743,0.0287926,0.0376395,0.0273207,0.0356091,0.0319988,0.0257939,0.0302442,0.024083,0.0473179,0.00933619,0.0111973,0.0593336,0,0.0218726,0.0289763,0.0380536,0,0,0.0231479,0,0,0.0254196,0.073015,0.0345479,0.0146571,0.0265046,0.0407102,0.0290031,0.0664582,0.0798065,0.088114,0.143683,0.0754861,0.0521298,0.0439831,0.0690412,0.00321531,0.0496571,0.00539106,0.0123931,0.0574433,0,0,0,0
71,0,0,0,0,0,0,0.0199487,0,0,0,0.0557116,0,0.0264068,0.0424629,0,0,0.0193747,0,0,0.040382,0.025858,0.0355618,0.0219132,0.0301153,0.0312691,0.0119049,0.0208916,0.0289777,0.0376266,0.0271417,0.0353338,0.0320737,0.0253816,0.0297766,0.0243379,0.0482856,0.00925554,0.0111799,0.0572676,0,0.022561,0.0288234,0.0382869,0,0,0.0230033,0,0,0.0254584,0.0721156,0.0320942,0.0148309,0.0273518,0.0404331,0.0289904,0.0655961,0.0797031,0.0874867,0.143136,0.0755417,0.0520126,0.043637,0.0682049,0.00466931,0.0500414,0.00534055,0.0124293,0.0570981,0,0,0,0
