Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,T10,x70,x71,x72,LWRA,x73,RFHD,CLAV
173,0,0,0,0,0,0,0.0191906,0,0,0,0.0368572,0,0.0215007,0.0368982,0,0,0.0163185,0,0,0.0426129,0.0324484,0.0379431,0.0126748,0.0237402,0.031364,0.0266621,0.0220087,0.0409131,0.0421194,0.0226843,0.0290522,0.0305696,0.0131856,0.017044,0.0431938,0.043399,0.0108486,0.0580796,0,0.0207593,0.034976,0.0427555,0,0,0.0225312,0,0.0193372,0.0560336,0.0274555,0.018555,0.0268929,0.0384238,0.0415417,0.062629,0.0866792,0.0899639,0.141037,0.0693088,0.0456019,0.0373258,0.0599439,0.0218841,0.0417599,0.00709337,0.058898,0,0,0,0.0113528,0,0,0
174,0,0,0,0,0,0,0.0188298,0,0,0,0.0354476,0,0.0200715,0.037558,0,0,0.0163356,0,0,0.0425583,0.0324827,0.038207,0.012623,0.0229859,0.0325713,0.0272508,0.0223181,0.0420196,0.0430821,0.0221158,0.02906,0.0308146,0.0128586,0.0155154,0.0470601,0.0428883,0.0108157,0.0567039,0,0.0206375,0.0344343,0.0428529,0,0,0.0230445,0,0.0195783,0.0557111,0.0288453,0.0185773,0.0272011,0.0382128,0.0420894,0.0621012,0.087122,0.0897671,0.140771,0.0687669,0.0454319,0.0369267,0.0590961,0.0213939,0.0413633,0.00722818,0.0592537,0,0,0,0.0114221,0,0,0
175,0,0,0,0,0,0,0.018481,0,0,0,0.0345516,0,0.0188738,0.0381991,0,0,0.0164016,0,0,0.0425999,0.0327401,0.0384205,0.012478,0.022083,0.0331134,0.0280267,0.0223812,0.0433473,0.0442367,0.0217484,0.0290531,0.0308895,0.0127074,0.0141453,0.0502982,0.0422579,0.0107909,0.055087,0,0.0203891,0.0341789,0.0427816,0,0,0.0237739,0,0.0199083,0.0553912,0.029802,0.0187208,0.0274427,0.0379712,0.0427605,0.0615218,0.0875082,0.0896664,0.140594,0.0682707,0.0452233,0.0365605,0.0583524,0.0206234,0.0409646,0.00736411,0.0596653,0,0,0,0.0115429,0,0,0
176,0,0,0,0,0,0,0.018158,0,0,0,0.0346557,0,0.018012,0.0384993,0,0,0.0166243,0,0,0.0427056,0.033232,0.0385578,0.0123433,0.0210413,0.0333857,0.0288949,0.0224147,0.0446862,0.0455206,0.0214941,0.0291757,0.0308504,0.0128832,0.0137321,0.0535405,0.0414933,0.0107909,0.0538201,0,0.0199145,0.034324,0.0427269,0,0,0.0245557,0,0.0202586,0.0549145,0.0301459,0.0189419,0.0274293,0.0378027,0.0435625,0.0611714,0.087891,0.0897569,0.140496,0.0679341,0.0450489,0.0363506,0.0580647,0.0200489,0.0405895,0.00746795,0.0601847,0,0,0,0.0116421,0,0,0
177,0,0,0,0,0,0,0.0178168,0,0,0,0.0354092,0,0.0177984,0.0384002,0,0,0.0167701,0,0,0.0427186,0.0336025,0.0390157,0.0124809,0.0200845,0.0342242,0.0295684,0.0237179,0.0458022,0.0468197,0.0211703,0.0295421,0.0310176,0.0135502,0.0143823,0.0570438,0.0409268,0.0108341,0.0528178,0,0.019329,0.0346438,0.0427561,0,0,0.0251512,0,0.0205527,0.0545469,0.0300181,0.0193655,0.0271416,0.0379009,0.0443024,0.0610552,0.0882122,0.0900078,0.140459,0.0677918,0.0449922,0.0362401,0.0581092,0.019348,0.0403366,0.00749769,0.060752,0,0,0,0.0117083,0,0,0
178,0,0,0,0,0,0,0.017729,0,0,0,0.0349666,0,0.0230509,0.0370802,0,0,0.0160638,0,0,0.0430707,0.0344603,0.0431317,0.0126414,0.0203023,0.0351763,0.0306956,0.025417,0.0476922,0.0483775,0.0201284,0.0298015,0.0307244,0.0139515,0.0150135,0.0548217,0.0409728,0.0104512,0.0467382,0,0.0155386,0.0354345,0.0421239,0,0,0.0257317,0,0.0206643,0.0538975,0.0306152,0.018678,0.0287398,0.037313,0.0444388,0.0596764,0.0889342,0.0890634,0.138975,0.0694067,0.0473927,0.0383994,0.0590919,0.0120172,0.0398491,0.00723532,0.0615336,0,0,0,0.0114839,0,0,0
179,0,0,0,0,0,0,0.0175736,0,0,0,0.0339363,0,0.0263026,0.0365867,0,0,0.0160332,0,0,0.0430086,0.0346022,0.0471041,0.0129963,0.0203461,0.0360218,0.0308492,0.0264227,0.0483065,0.0486738,0.0196708,0.030847,0.0311835,0.0152124,0.0159562,0.0562075,0.0411072,0.0104108,0.0459438,0,0.0149648,0.0363231,0.0421674,0,0,0.0256124,0,0.0204936,0.0533924,0.0302366,0.0189864,0.0281476,0.0377197,0.0445629,0.0595392,0.0889183,0.0894455,0.139098,0.0694457,0.0472905,0.0384119,0.0592678,0.0114983,0.0397642,0.00702605,0.0618816,0,0,0,0.0113214,0,0,0
180,0,0,0,0,0,0,0.0176746,0,0,0,0.0327775,0,0.0298677,0.0364577,0,0,0.0159597,0,0,0.0430364,0.0346064,0.0503679,0.0135709,0.0204552,0.036607,0.0308251,0.0270753,0.0487324,0.0485455,0.0191887,0.0319802,0.0316827,0.0167057,0.0171522,0.0577897,0.0415408,0.0103023,0.0451424,0,0.0146517,0.037342,0.0423347,0,0,0.0253285,0,0.0203294,0.0528438,0.0302709,0.0191906,0.0277478,0.0382693,0.0443932,0.0592303,0.0887758,0.0895463,0.139116,0.0693788,0.0471287,0.0383272,0.0592219,0.0113312,0.0399899,0.00674006,0.0620602,0,0,0,0.011314,0,0,0
181,0,0,0,0,0,0,0.0179208,0,0,0,0.0321268,0,0.0315289,0.0366356,0,0,0.0159092,0,0,0.0432136,0.0344272,0.0512884,0.0143654,0.0202413,0.0371334,0.0306172,0.0274099,0.0490853,0.0484591,0.0189325,0.0324766,0.0315779,0.0178363,0.0184807,0.0587036,0.0422058,0.009932,0.0444022,0,0.0146537,0.0380826,0.0427653,0,0,0.0250019,0,0.0203851,0.0524313,0.030519,0.0192927,0.0275332,0.0386782,0.0440093,0.0589236,0.088588,0.089434,0.139033,0.069176,0.0468389,0.0380307,0.0588695,0.011478,0.0403742,0.00653164,0.0620749,0,0,0,0.0115999,0,0,0
182,0,0,0,0,0,0,0.0181718,0,0,0,0.0319662,0,0.0309101,0.0371732,0,0,0.015894,0,0,0.0432869,0.0341581,0.0505718,0.0152623,0.0198128,0.0372682,0.0302675,0.0275879,0.0493321,0.0486012,0.0188135,0.0323688,0.0311036,0.0185462,0.0197194,0.057509,0.0428649,0.00984692,0.0439278,0,0.0148386,0.0385246,0.0435319,0,0,0.0247353,0,0.0203696,0.0522764,0.0309594,0.0193484,0.0274102,0.0388757,0.0435245,0.0588019,0.0884194,0.0892622,0.138871,0.0688533,0.0465639,0.0377522,0.0585038,0.0117171,0.0407615,0.00638307,0.0620533,0,0,0,0.0116184,0,0,0
183,0,0,0,0,0,0,0.0183113,0,0,0,0.0319951,0,0.0299855,0.0371426,0,0,0.0159042,0,0,0.0433259,0.0339569,0.0488581,0.0161297,0.0194091,0.0372624,0.0298383,0.0277077,0.0494663,0.0487194,0.0188257,0.0324296,0.0309165,0.0193956,0.0210203,0.0551063,0.0432681,0.00983048,0.0439098,0,0.0150687,0.0388493,0.0439606,0,0,0.0244552,0,0.0202961,0.0523997,0.0314828,0.0193055,0.0273556,0.0390789,0.0430319,0.0588034,0.0883012,0.0891192,0.138711,0.0686164,0.0463877,0.0376451,0.0583905,0.0119203,0.0409664,0.00632063,0.0618499,0,0,0,0.0116217,0,0,0
184,0,0,0,0,0,0,0.0184834,0,0,0,0.0319688,0,0.0289475,0.0376362,0,0,0.0158237,0,0,0.0431661,0.0339483,0.046836,0.0170086,0.0190746,0.0371023,0.029467,0.0279471,0.0495625,0.0488728,0.0189332,0.0327211,0.0309746,0.0203637,0.0222804,0.052451,0.043396,0.0099297,0.0443859,0,0.0151963,0.0391426,0.0440336,0,0,0.0241141,0,0.0202751,0.0526905,0.0320196,0.01929,0.0273383,0.0390497,0.0426472,0.0586021,0.0882736,0.089014,0.13864,0.0686015,0.0464215,0.0377205,0.0583982,0.0121904,0.0411276,0.00627651,0.0616028,0,0,0,0.0114871,0,0,0
185,0,0,0,0,0,0,0.0186541,0,0,0,0.0321981,0,0.0278748,0.0380255,0,0,0.0158013,0,0,0.0430036,0.0339613,0.0449143,0.01771,0.018943,0.0372947,0.0290151,0.0280497,0.0495679,0.0490051,0.0191265,0.0330277,0.0310946,0.0211772,0.0231485,0.0498567,0.0434946,0.00995018,0.0451842,0,0.015442,0.0392312,0.0438537,0,0,0.0237508,0,0.0201753,0.0530466,0.0325279,0.0193535,0.0273893,0.0387176,0.0423902,0.0585186,0.0882712,0.0889251,0.138611,0.0686022,0.0466772,0.0380024,0.0584254,0.0126596,0.04124,0.00629431,0.0613755,0,0,0,0.0114438,0,0,0
186,0,0,0,0,0,0,0.0184851,0,0,0,0.0331586,0,0.0239868,0.0392687,0,0,0.0165816,0,0,0.0423672,0.0332494,0.041188,0.0183232,0.0186225,0.0375712,0.0278746,0.0280047,0.0484592,0.0481132,0.0196506,0.0335615,0.0321435,0.0222072,0.0234656,0.0537668,0.0431628,0.0104421,0.0513013,0,0.0192482,0.039135,0.0442438,0,0,0.0231542,0,0.0200064,0.0536168,0.0319909,0.0202709,0.0253979,0.0396353,0.0425416,0.0597518,0.0878103,0.0901121,0.140001,0.0670786,0.0446473,0.0362745,0.0574161,0.0195953,0.0415032,0.00649341,0.0610996,0,0,0,0.0116176,0,0,0
187,0,0,0,0,0,0,0.0183936,0,0,0,0.0332618,0,0.0244995,0.0396322,0,0,0.0164659,0,0,0.0422515,0.0332381,0.0403206,0.0188547,0.0186923,0.0376172,0.0276587,0.0280789,0.0484889,0.048101,0.019676,0.0333515,0.0320104,0.0221809,0.0233027,0.0505166,0.0429777,0.0104583,0.052594,0,0.0197882,0.0392798,0.0440868,0,0,0.0232206,0,0.0197933,0.0537711,0.0324417,0.0200773,0.0254765,0.0395577,0.0426128,0.0596119,0.0880228,0.09002,0.139871,0.0671661,0.044835,0.036611,0.0574782,0.0210988,0.0413049,0.00665012,0.0609185,0,0,0,0.0116353,0,0,0
188,0,0,0,0,0,0,0.0183145,0,0,0,0.0334878,0,0.0248849,0.0400304,0,0,0.0163697,0,0,0.0422241,0.033082,0.0395782,0.0192877,0.018697,0.0377541,0.0274379,0.0282735,0.0485684,0.0479645,0.0197704,0.0333048,0.031635,0.0216395,0.0227685,0.0471605,0.0427081,0.0105189,0.0539468,0,0.020288,0.03951,0.0439359,0,0,0.0233465,0,0.0196234,0.0538413,0.0327956,0.019787,0.025597,0.0394699,0.0427653,0.0593679,0.088375,0.0899357,0.139667,0.0673099,0.0450088,0.0369306,0.0575474,0.0226556,0.0411081,0.00675589,0.0606909,0,0,0,0.0116906,0,0,0
189,0,0,0,0,0,0,0.018271,0,0,0,0.0339644,0,0.0251567,0.0404553,0,0,0.0162934,0,0,0.0422755,0.032794,0.0387407,0.0196223,0.0187257,0.0380468,0.0272146,0.0284701,0.0487334,0.047698,0.0199166,0.0330474,0.0311588,0.0209926,0.022246,0.0436354,0.0425213,0.0106278,0.05534,0,0.0207491,0.0398114,0.0437653,0,0,0.0233801,0,0.0194884,0.0538331,0.0329257,0.0199496,0.0256425,0.0393632,0.0428305,0.0589972,0.0887814,0.0898975,0.139351,0.0673167,0.045171,0.0372543,0.0575774,0.0242552,0.0410079,0.0068421,0.0603931,0,0,0,0.0117201,0,0,0
190,0,0,0,0,0,0,0.0182981,0,0,0,0.0345834,0,0.0251924,0.0408442,0,0,0.016204,0,0,0.0423235,0.0324733,0.038116,0.0199012,0.0188881,0.0386063,0.0269576,0.0291999,0.048953,0.0473233,0.0198859,0.0326306,0.0305778,0.020345,0.0219265,0.0401299,0.042529,0.0107038,0.0569065,0,0.0212312,0.0401906,0.0436149,0,0,0.0233023,0,0.0193956,0.0537779,0.0329234,0.0205942,0.0256567,0.0391708,0.0427976,0.0585879,0.0891744,0.0898731,0.139102,0.0673851,0.0453218,0.0375157,0.0576427,0.026078,0.0410467,0.00695398,0.0600665,0,0,0,0.0117393,0,0,0
191,0,0,0,0,0,0,0.0183951,0,0,0,0.035326,0,0.025129,0.0412689,0,0,0.0161395,0,0,0.0422867,0.0322212,0.0378311,0.0201424,0.0193015,0.0393524,0.0266783,0.0301258,0.0492851,0.0469319,0.0191352,0.0319793,0.0299631,0.0197662,0.0217466,0.0367905,0.0426642,0.0107802,0.0586563,0,0.0219508,0.0406564,0.043554,0,0,0.0232711,0,0.0193532,0.0536159,0.0329028,0.0210759,0.0257699,0.0389646,0.0426949,0.0582839,0.089415,0.0897445,0.13895,0.0674098,0.0455204,0.0377574,0.0578567,0.0280402,0.0411932,0.00697397,0.0597485,0,0,0,0.0116666,0,0,0
192,0,0,0,0,0,0,0.0185265,0,0,0,0.036282,0,0.0250095,0.0420112,0,0,0.0162081,0,0,0.0423118,0.0320647,0.0378832,0.0204712,0.0198824,0.0398832,0.0264457,0.030944,0.0497017,0.0465287,0.0170788,0.0311656,0.0294263,0.0193892,0.0216725,0.033818,0.0429189,0.0107074,0.0606139,0,0.0227983,0.0412703,0.0436453,0,0,0.0231609,0,0.0192801,0.0534281,0.0331135,0.0214169,0.026057,0.0388899,0.0425772,0.0580503,0.0895137,0.0894934,0.138763,0.0675395,0.0457131,0.0380167,0.0580417,0.0301824,0.0412318,0.00695699,0.0595111,0,0,0,0.0117168,0,0,0
193,0,0,0,0,0,0,0.0186862,0,0,0,0.0374442,0,0.0250956,0.0426784,0,0,0.0162693,0,0,0.0422951,0.0320075,0.0381331,0.0209154,0.020429,0.0402888,0.0261818,0.0315827,0.0501994,0.0459965,0.0158179,0.0303983,0.029146,0.0194699,0.0217619,0.0316798,0.0433664,0.0105767,0.0624219,0,0.0236269,0.0419728,0.0436877,0,0,0.0227898,0,0.0191709,0.0532007,0.0332998,0.0218068,0.0263896,0.038618,0.0423688,0.0577719,0.0895392,0.0892635,0.138563,0.0677279,0.0458434,0.0382491,0.057966,0.032326,0.041088,0.0069949,0.0592916,0,0,0,0.011816,0,0,0
194,0,0,0,0,0,0,0.0190141,0,0,0,0.0384376,0,0.0253663,0.0431448,0,0,0.0163486,0,0,0.0422869,0.0320077,0.0384873,0.0213726,0.0208764,0.0407284,0.025857,0.0319789,0.0508217,0.0453735,0.0153746,0.0301018,0.0288956,0.0194575,0.0219476,0.0303566,0.0438236,0.0104114,0.064025,0,0.0244692,0.0427134,0.0436769,0,0,0.0223237,0,0.019191,0.0528995,0.0331356,0.0222959,0.0267456,0.0382558,0.0420774,0.0574594,0.0895752,0.0889775,0.138384,0.0676755,0.0459271,0.0383227,0.0576244,0.0342057,0.0411979,0.00688382,0.0590542,0,0,0,0.0119354,0,0,0
195,0,0,0,0,0,0,0.0246737,0,0,0,0.039105,0,0.0254035,0.0432397,0,0,0.0161922,0,0,0.0423153,0.0322091,0.0388745,0.0215663,0.0214088,0.0404794,0.023159,0.0327381,0.0512885,0.0446336,0.0152117,0.0297934,0.0285459,0.0194637,0.0222704,0.0296038,0.0429565,0.010902,0.0656189,0,0.0250936,0.0436649,0.0437286,0,0,0.0254392,0,0.0204324,0.052514,0.0326821,0.0225119,0.0272626,0.0375238,0.0437598,0.0567595,0.0895882,0.0883017,0.137927,0.0676494,0.0461588,0.0385816,0.057478,0.0360332,0.0372823,0.00731789,0.0606184,0,0,0,0.012351,0,0,0.041831
196,0,0,0,0,0,0,0.0250163,0,0,0,0.0392932,0,0.0255358,0.0436244,0,0,0.0162794,0,0,0.0422572,0.0322352,0.0393696,0.0221172,0.0218802,0.0406794,0.0230572,0.0336983,0.051911,0.0439906,0.0150993,0.0295137,0.0282556,0.0196496,0.0226504,0.0298206,0.0431826,0.0109015,0.0669166,0,0.0257472,0.0446145,0.0437674,0,0,0.0256127,0,0.0201685,0.0523032,0.0325941,0.0230463,0.0275942,0.0373965,0.0434055,0.056451,0.089762,0.0878963,0.13772,0.067679,0.0461135,0.0385593,0.0575858,0.0374076,0.0375879,0.00753104,0.0602282,0,0,0,0.0122171,0,0,0.0425255
197,0,0,0,0,0,0,0.0252005,0,0,0,0.0391396,0,0.0259082,0.0440181,0,0,0.0163903,0,0,0.0422484,0.032315,0.0401034,0.0226977,0.022379,0.0408636,0.0230329,0.0347568,0.0526399,0.0434352,0.015135,0.0294765,0.0281272,0.0200962,0.0231506,0.0307249,0.0433244,0.0108641,0.0680123,0,0.0263863,0.0456382,0.0437361,0,0,0.0257396,0,0.0200054,0.0522411,0.0326195,0.0236021,0.0279474,0.0372498,0.0430005,0.0561303,0.0898893,0.0876587,0.137526,0.0677569,0.0461779,0.0385812,0.0574154,0.0384696,0.0378175,0.00767649,0.0598961,0,0,0,0.0121883,0,0,0.0428953
198,0,0,0,0,0,0,0.0253142,0,0,0,0.038873,0,0.026487,0.0443791,0,0,0.0165375,0,0,0.0422752,0.0324408,0.0414279,0.0232333,0.0229137,0.0409171,0.0230905,0.0358785,0.0534098,0.0429276,0.0153928,0.0297308,0.0280946,0.0206352,0.0238603,0.0317096,0.0433066,0.0107745,0.0688497,0,0.0270339,0.046665,0.0435728,0,0,0.0255797,0,0.0199691,0.0522921,0.0328416,0.024182,0.0282834,0.0371702,0.0426882,0.0557821,0.0900006,0.0875407,0.137346,0.0676289,0.0462691,0.0386778,0.0575029,0.0392631,0.0378843,0.00761159,0.0596953,0,0,0,0.0122509,0,0,0.043032
199,0,0,0,0,0,0,0.025483,0,0,0,0.0390287,0,0.0272955,0.0437188,0,0,0.0159501,0,0,0.0425206,0.0332559,0.0420118,0.0234339,0.0236073,0.040512,0.0239776,0.0380023,0.055136,0.0428327,0.0150915,0.0296188,0.028119,0.0206088,0.0240271,0.0314296,0.0434659,0.0104844,0.0593815,0,0.0217158,0.0471273,0.0427263,0,0,0.0258161,0,0.0201321,0.0527427,0.035021,0.0236565,0.0326861,0.0359746,0.0426102,0.0535199,0.092051,0.0858817,0.134607,0.0704668,0.0505012,0.0423908,0.0591922,0.0270844,0.0375549,0.00706448,0.059516,0,0,0,0.0124055,0,0,0.0430822
200,0,0,0,0,0,0,0.0224578,0,0,0,0.038702,0,0.0278991,0.0445318,0,0,0.0167335,0,0,0.043021,0.0337833,0.042872,0.0251522,0.0234928,0.0425773,0.0238704,0.0393313,0.0562514,0.0429655,0.0153064,0.0294044,0.0279198,0.0206346,0.0243244,0.0323207,0.0410299,0.0103244,0.0592313,0,0.0219265,0.047317,0.0455058,0,0,0.020083,0,0.0184074,0.0525232,0.0353226,0.0233387,0.0326596,0.0363284,0.0391268,0.0536519,0.0922795,0.0861754,0.13483,0.0701669,0.0502459,0.0421684,0.0593301,0.0270644,0,0.00841373,0.0578576,0,0,0,0.0126183,0,0,0.0468159
201,0,0,0,0,0,0,0.0223604,0,0,0,0.0385283,0,0.027951,0.0449485,0,0,0.0167364,0,0,0.0430164,0.034277,0.0435622,0.0255062,0.0238459,0.0425878,0.0237337,0.0403569,0.0568893,0.0425522,0.0158758,0.0294694,0.0278748,0.0210404,0.0250583,0.0329311,0.0409918,0.0103363,0.0593674,0,0.0221018,0.0476459,0.0452945,0,0,0.0199964,0,0.0183283,0.0525155,0.0354652,0.0236572,0.0327836,0.0364007,0.038977,0.0535492,0.0924827,0.0861985,0.134817,0.07004,0.0501033,0.0421868,0.0593852,0.027151,0,0.00845613,0.0575986,0,0,0,0.0126339,0,0,0.0469347
202,0,0,0,0,0,0,0.0255928,0,0,0,0.0384649,0,0.0275936,0.0447671,0,0,0.0160034,0,0,0.0424716,0.0347425,0.0437297,0.0247366,0.0245007,0.0407483,0.0236623,0.0409514,0.056933,0.0415456,0.0167268,0.0298808,0.0283593,0.021685,0.0261608,0.0329882,0.0431569,0.0105089,0.0598659,0,0.0222334,0.0481138,0.0420069,0,0,0.0254611,0,0.0197689,0.0527945,0.0353595,0.0245963,0.0330889,0.0361592,0.042292,0.0531378,0.0926065,0.0859004,0.134507,0.0701297,0.050247,0.042459,0.0594133,0.0274482,0.0377855,0.00710506,0.0586905,0,0,0,0.0124445,0,0,0.0434641
203,0,0,0,0,0,0,0.0256369,0,0,0,0.0384195,0,0.0277679,0.044923,0,0,0.0159694,0,0,0.0424539,0.0354889,0.043658,0.0250108,0.0244182,0.0409312,0.0234517,0.0414074,0.0571689,0.0412025,0.0173743,0.0302362,0.0287325,0.0220962,0.0266969,0.032657,0.0430182,0.0105241,0.0599492,0,0.0223516,0.0483244,0.0418283,0,0,0.0254791,0,0.019617,0.0528953,0.0353002,0.0249387,0.033109,0.036249,0.0424911,0.0530559,0.0928627,0.0859638,0.134507,0.0700615,0.0502688,0.042506,0.0593819,0.0274749,0.0376054,0.00710783,0.0583778,0,0,0,0.0125235,0,0,0.0435771
204,0,0,0,0,0,0,0.0261166,0,0,0,0.0384868,0,0.027953,0.0449091,0,0,0.0159239,0,0,0.0424009,0.0362977,0.0433855,0.0252026,0.0239759,0.0411882,0.0230444,0.0415646,0.0572016,0.0409617,0.0180809,0.0308403,0.0293171,0.022479,0.0272848,0.0316692,0.0431948,0.0105786,0.0600696,0,0.022375,0.0484658,0.0415351,0,0,0.0255945,0,0.0139799,0.0530949,0.0349387,0.0254013,0.0331773,0.0362951,0.0429636,0.0529085,0.0930737,0.0859693,0.134476,0.0701742,0.0503862,0.0426004,0.0593622,0.0276922,0.037969,0,0.0582689,0,0,0,0.0125571,0,0,0.0434513
205,0,0,0,0,0,0,0.0257932,0,0,0,0.0389738,0,0.0281337,0.0442843,0,0,0.0159503,0,0,0.0423558,0.0372495,0.0431573,0.0251093,0.0231249,0.0400096,0.0222469,0.0416721,0.0569477,0.0408321,0.0187851,0.0314068,0.0299467,0.0227167,0.0280118,0.0299816,0.0434385,0.0107308,0.0597074,0,0.0222051,0.048566,0.0417345,0,0,0.0253333,0,0.0193678,0.0532849,0.0344932,0.0262892,0.0332371,0.0361597,0.0426477,0.0528819,0.0930975,0.08594,0.134729,0.0701831,0.0504394,0.0428063,0.0593569,0.027482,0.037567,0.00737988,0.057828,0,0,0,0.0124227,0,0,0.0441062
