Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,T10,x70,x71,x72,LWRA,x73,RFHD,CLAV
153,0,0,0,0,0,0,0.0181258,0,0,0,0.0355338,0,0.0320164,0.040343,0,0,0.0177892,0,0,0.0434897,0.0256822,0.0366236,0.0233274,0.0217541,0.0332425,0.030231,0.0192955,0.0386051,0.0437269,0.0267371,0.0305513,0.0298555,0.0148882,0.0260568,0.0183602,0.0406544,0.0105464,0.0371389,0,0.0200933,0.0345706,0.0416437,0,0,0.0237217,0,0.0188848,0.0626411,0.0442668,0.0138433,0.0187256,0.04066,0.0450931,0.0693464,0.0830563,0.0970746,0.149392,0.0717678,0.0481615,0.0394551,0.063514,0.0186791,0.0397327,0.00784373,0.059127,0,0,0,0.0122622,0,0,0
154,0,0,0,0,0,0,0.0184218,0,0,0,0.0364013,0,0.0321323,0.0395187,0,0,0.017714,0,0,0.0434253,0.0266255,0.0362188,0.0229264,0.0219711,0.0338633,0.0298091,0.0194355,0.0379829,0.0436319,0.0272342,0.0308098,0.0299886,0.015114,0.0261635,0.0177798,0.0407108,0.0105555,0.0451541,0,0.0216684,0.0344323,0.0415383,0,0,0.0235573,0,0.0188655,0.0628036,0.041524,0.0136475,0.0190917,0.0396851,0.0447414,0.0688311,0.0841168,0.0966897,0.147884,0.0716788,0.0482031,0.0402189,0.063315,0.00898394,0.0398932,0.00787503,0.058687,0,0,0,0.0122293,0,0,0
155,0,0,0,0,0,0,0.0188373,0,0,0,0.0373275,0,0.032228,0.0385436,0,0,0.0175984,0,0,0.0434876,0.0276782,0.0358086,0.0224704,0.0222558,0.0336424,0.0295507,0.0197484,0.0373956,0.0435292,0.027887,0.031176,0.0302257,0.0153777,0.0263304,0.0172512,0.0408402,0.0104244,0.0545119,0,0.0234255,0.0344382,0.0414258,0,0,0.0233624,0,0.0188367,0.0627989,0.0392053,0.0137478,0.0205397,0.038773,0.0443007,0.0681245,0.0855894,0.0960867,0.14604,0.0718338,0.0484756,0.0411955,0.0634646,0.0099484,0.0401161,0.00785081,0.0582062,0,0,0,0.0124068,0,0,0
156,0,0,0,0,0,0,0.0193051,0,0,0,0.0380294,0,0.032181,0.0373664,0,0,0.0174867,0,0,0.0433884,0.0287959,0.0355738,0.0219233,0.0226411,0.0325575,0.029347,0.020181,0.0367641,0.0431418,0.0284416,0.0316329,0.0304954,0.0156858,0.0264804,0.0168592,0.0411056,0.0105104,0.0615174,0,0.0257032,0.0346342,0.0414282,0,0,0.0231691,0,0.0187914,0.0626618,0.0374713,0.0141242,0.0230361,0.0378767,0.0437887,0.0672134,0.0873341,0.0953121,0.143945,0.0718488,0.0489418,0.0417651,0.063295,0.0182062,0.0403398,0.00775186,0.0576989,0,0,0,0.0122456,0,0,0
157,0,0,0,0,0,0,0.0197476,0,0,0,0.0387496,0,0.0320968,0.0361915,0,0,0.0173863,0,0,0.0432997,0.0299275,0.0354061,0.0212767,0.0229797,0.0320814,0.0289732,0.0206449,0.0361607,0.0427786,0.0288738,0.0318946,0.0307756,0.0159453,0.0265934,0.0165224,0.0415445,0.0106302,0.0676703,0,0.0276589,0.0351488,0.041499,0,0,0.0229086,0,0.0187225,0.0623032,0.035731,0.0149487,0.0259223,0.037006,0.0433366,0.0663544,0.0893403,0.0946748,0.142025,0.0719908,0.0495601,0.0424302,0.0631713,0.0256835,0.0404726,0.00764224,0.0572289,0,0,0,0.0120615,0,0,0
158,0,0,0,0,0,0,0.0201888,0,0,0,0.0394995,0,0.0319195,0.0350269,0,0,0.0172132,0,0,0.0432958,0.0309115,0.0351658,0.0207693,0.0231668,0.0318088,0.0285825,0.021295,0.0356918,0.0424236,0.0292218,0.0319823,0.0310104,0.0161653,0.0267111,0.0162677,0.0419082,0.0106312,0.0729419,0,0.028966,0.0358443,0.0416236,0,0,0.0227723,0,0.0186612,0.0617634,0.0344708,0.0160499,0.0283457,0.0364053,0.0429914,0.0657943,0.0912265,0.094254,0.140628,0.0723835,0.0502465,0.0431404,0.0635087,0.0308764,0.040566,0.00755089,0.0568155,0,0,0,0.0120779,0,0,0
159,0,0,0,0,0,0,0.0205323,0,0,0,0.0401204,0,0.0318453,0.0340065,0,0,0.0170683,0,0,0.0433689,0.0316545,0.0349755,0.0203616,0.0232978,0.0316969,0.0282501,0.0218783,0.0353654,0.0421059,0.0294914,0.0320304,0.0311624,0.0163543,0.0267977,0.0162155,0.0421928,0.0104763,0.0769825,0,0.0297839,0.0364778,0.0417401,0,0,0.0228491,0,0.0187099,0.061123,0.0333811,0.0170372,0.0298641,0.0361191,0.042787,0.0655924,0.0925146,0.0940277,0.139821,0.0729063,0.0509022,0.0438463,0.0642768,0.0336262,0.0408079,0.00749007,0.0564443,0,0,0,0.0122762,0,0,0
160,0,0,0,0,0,0,0.0206417,0,0,0,0.0397693,0,0.0316474,0,0,0,0.0168855,0,0,0.0432374,0.0304867,0.0355529,0.0205808,0.0230851,0.0316223,0.0271203,0.0211111,0.0357931,0.042183,0.02893,0.0316179,0.0307751,0.0160516,0.0264016,0.0168804,0.0425604,0.0105304,0.0808366,0,0.0309646,0.0355014,0.0421787,0,0,0.0230457,0,0.0188354,0.0621754,0.0330441,0.0173496,0.0310111,0.037603,0.0431581,0.065698,0.0936122,0.0938981,0.139078,0.0731468,0.0511308,0.0440302,0.0644922,0.036766,0.0408867,0.00745428,0.0562309,0,0,0,0.0120419,0,0,0
161,0,0,0,0,0,0,0.0208361,0,0,0,0.0408348,0,0.0314239,0.0335839,0,0,0.0169157,0,0,0.043161,0.0321168,0.0350378,0.0196526,0.0233853,0.0316845,0.0278337,0.0214451,0.0353083,0.0418912,0.0296242,0.0318839,0.0311247,0.0162187,0.0264025,0.0166861,0.0423375,0.0106836,0.0794029,0,0.0302297,0.036364,0.0418567,0,0,0.0229133,0,0.0190063,0.0601717,0.0334803,0.0173648,0.030004,0.0361807,0.0428429,0.0653704,0.0924889,0.0935488,0.139932,0.0731721,0.051439,0.0442721,0.0645601,0.0351893,0.0409821,0.00746531,0.0561212,0,0,0,0.0118434,0,0,0
162,0,0,0,0,0,0,0.020798,0,0,0,0.0377113,0,0.0291313,0.0332898,0,0,0.0165342,0,0,0.0432276,0.0327496,0.0343417,0.0194755,0.0245792,0.0299464,0.0285937,0.0214531,0.0342156,0.0410014,0.0299756,0.0331203,0.0315222,0.0179766,0.0275815,0.0179855,0.0424406,0.0105684,0.0658497,0,0.0253144,0.0357949,0.0415192,0,0,0.0231624,0,0.0188667,0.0588017,0.037287,0.0163746,0.0329529,0.035092,0.0429428,0.0633411,0.0943064,0.0921126,0.137979,0.0755276,0.0549563,0.0468486,0.0658142,0.0175501,0.0409148,0.0074112,0.0558742,0,0,0,0.0119555,0,0,0
