Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LWRA,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LBHD,LUPA,x73,LILC,LASI,LWRB
75,0,0,0,0,0,0,0.0316203,0.033361,0,0,0,0.0532254,0,0.031079,0,0.0216127,0,0,0.0448231,0.0313205,0.0361351,0.0266274,0.0364934,0.0371515,0.0256843,0.0327076,0.0413083,0.029624,0.0341687,0.0317961,0.0197074,0.0288376,0.0207458,0.0113556,0.0423277,0,0.0187406,0,0.0407264,0,0,0.0144138,0,0,0.0294514,0.0558787,0.0428952,0.0129976,0.0253931,0.0379836,0.0442503,0.0542009,0.087925,0.0836831,0.0533235,0.0768807,0.0566425,0.0448749,0.0719848,0.0339568,0.0342769,0.0109702,0.0132156,0.0351766,0.0710289,0,0,0,0,0.0403132,0,0.0308393,0.0382372,0.0108214
76,0,0,0,0,0,0,0.0314345,0.0333583,0,0,0,0.0508648,0,0.0303253,0,0.0216897,0,0,0.0449233,0.0284844,0.0357344,0.0268802,0.0355143,0.0371274,0.0250689,0.0325352,0.0399136,0.0283755,0.0346997,0.0325359,0.0204153,0.0286689,0.0189062,0.0113615,0.0414313,0,0.0182166,0.038098,0.0408368,0,0,0.0145752,0,0,0.0294454,0.0573749,0.0414302,0.0102595,0.025007,0.0369071,0.0447093,0.0554802,0.0884556,0.083646,0.0535193,0.0771574,0.0565897,0.0453596,0.0719022,0.0325444,0.0340262,0.0108522,0.013507,0.0350709,0.0713234,0,0,0,0,0.0402178,0,0.0327056,0.0384807,0.0107607
77,0,0,0,0,0,0,0.0314403,0.0334113,0,0,0,0.0509772,0,0.0303156,0,0.0216693,0,0,0.0449879,0.0285346,0.0357974,0.0269586,0.0356416,0.0369676,0.0250978,0.0324368,0.0397028,0.0285845,0.0347238,0.0325353,0.0204303,0.0286751,0.0191101,0.011376,0.0410009,0,0.0177483,0.0378319,0.0408148,0,0,0.0144898,0,0,0.0294022,0.057078,0.0394921,0.00992615,0.023751,0.0365251,0.0445665,0.0557033,0.0888659,0.0841668,0.0540773,0.0768231,0.0561133,0.045719,0.0714126,0.0296608,0.0340693,0.0108565,0.0134928,0.0349997,0.0714477,0,0,0,0,0.0403288,0,0.0327905,0.0381993,0.0107478
78,0,0,0,0,0,0,0.0315712,0.0335596,0,0,0,0.0538864,0,0.0312068,0,0.0216959,0,0,0.0450448,0.0319906,0.0365352,0.026835,0.0366247,0.0367721,0.0254123,0.0322637,0.0411156,0.0304029,0.0341206,0.0316925,0.0195589,0.0288705,0.0215033,0.0114535,0.0396652,0,0.017213,0,0.0407522,0,0,0.0142678,0,0,0.029428,0.0546135,0.0369668,0.0133581,0.0205034,0.0366638,0.0441478,0.0552497,0.08954,0.0858054,0.0560929,0.0752811,0.0549403,0.0459158,0.0705038,0.0275765,0.0342401,0.0108767,0.0135607,0.0351232,0.0713042,0,0,0,0,0.0405093,0,0.0307769,0.0375844,0.0105865
79,0,0,0,0,0,0,0.031224,0.0340711,0,0,0,0.0521694,0,0.0304369,0,0.0216758,0,0,0.0450925,0.0294727,0.0358789,0.0272398,0.0360074,0.0362329,0.0250036,0.0318046,0.0396245,0.029299,0.0348673,0.0325726,0.0203838,0.0288498,0.019922,0.0113249,0.0420786,0,0.0178328,0.0379135,0.0412212,0,0,0.0130452,0,0,0.0250989,0.0562091,0.0353221,0.00963234,0.0215667,0.0353224,0.0434242,0.0559825,0.0893598,0.0851017,0.0563389,0.0759874,0.0553888,0.0470199,0.0709917,0.0219917,0.0346928,0,0.0141605,0.0353457,0.0713804,0,0,0,0,0.0404584,0,0.0327861,0.0369819,0.0107539
80,0,0,0,0,0,0,0.0315443,0.0341615,0,0,0,0.0528839,0,0.0304326,0,0.0214136,0,0,0.0447743,0.0302182,0.0355575,0.0274496,0.0360408,0.0360098,0.0252664,0.0312686,0.0395732,0.0297785,0.03513,0.0327671,0.0205416,0.0290064,0.0208678,0.0111793,0.0445658,0,0.0188008,0.0379437,0.0410578,0,0,0.0139675,0,0,0.0299108,0.0558026,0.0335854,0.00932327,0.0217448,0.034268,0.043753,0.055767,0.0883428,0.0851733,0.0577226,0.0754216,0.0552082,0.0475556,0.0709676,0.0162589,0.0341556,0.0109722,0.0131149,0.0356059,0.0713583,0,0,0,0,0.0409333,0,0.0326915,0.0359675,0.0108995
81,0,0,0,0,0,0,0.0317049,0.034395,0,0,0,0.0562237,0,0.0312886,0,0.0213058,0,0,0.0447168,0.0343066,0.0358558,0.0274486,0.0370041,0.0361376,0.026218,0.0309553,0.0411779,0.0318874,0.034828,0.0321789,0.0199203,0.0293052,0.0241672,0.0110728,0.045958,0,0.0201201,0,0.0410281,0,0,0.014311,0,0,0.0295366,0.0530543,0.0327112,0.0121695,0.0217086,0.0333969,0.0433876,0.0551079,0.0868293,0.0863019,0.0601035,0.0729652,0.0538126,0.0465714,0.069788,0.012164,0.0340404,0.0108724,0.0132676,0.0360453,0.0710243,0,0,0,0,0.0409722,0,0.0308742,0.0339208,0.0110636
82,0,0,0,0,0,0,0.0321258,0.0343475,0,0,0,0.0554554,0,0.0303998,0,0.0189688,0,0,0.0373196,0.0325634,0.0344721,0.0281754,0.0367444,0.0339455,0.0263323,0.0302415,0.0394955,0.0312385,0.035784,0.0333917,0.0209448,0.02936,0.0233876,0.0179797,0.0502648,0,0.0223864,0.0388079,0.0410892,0,0,0.0145662,0,0,0.0295256,0.0544088,0.0317984,0.00944672,0.0246011,0.0322608,0.0432464,0.0550316,0.0845273,0.0849508,0.0605256,0.0735653,0.0545836,0.0476516,0.0706435,0.00558914,0.0337889,0.0107112,0.0134512,0.0360656,0.0708819,0,0,0,0,0.0417499,0,0.0326015,0.0326539,0
83,0,0,0,0,0,0,0.0319126,0.0348359,0,0,0,0.0596286,0,0.0312769,0,0.0211597,0,0,0.0450359,0.0368376,0.0345386,0.0283004,0.0375942,0.0361071,0.0274603,0.030034,0.0410058,0.0335168,0.0353515,0.032703,0.0202962,0.0295724,0.0271309,0.0111981,0.047807,0,0.0236228,0,0.0409979,0,0,0.0144405,0,0,0.0296257,0.0519706,0.0338304,0.0127978,0.025712,0.0311065,0.0428399,0.0544752,0.0820048,0.0860334,0.0628245,0.0703881,0.0522313,0.0464766,0.0693032,0.00793153,0.0340509,0.0106945,0.01351,0.0368033,0.0704367,0,0,0,0,0.0409392,0,0.0307748,0.0299775,0.0108301
84,0,0,0,0,0,0,0.0320521,0.0350775,0,0,0,0.0584553,0,0.0303992,0,0.0208716,0,0,0.0451389,0.0344526,0.033224,0.0289719,0.0372852,0.0353027,0.027193,0.0292315,0.0391176,0.0323151,0.0363544,0.0337863,0.0212679,0.0294461,0.0258024,0.011277,0.0502252,0,0.0258557,0.0402359,0.0411532,0,0,0.0144859,0,0,0.0297116,0.054363,0.0364728,0.0104796,0.0286768,0.0309668,0.0426577,0.0545253,0.0789914,0.0845379,0.0635875,0.0705899,0.0530744,0.047106,0.0693419,0.00775926,0.0341365,0.0106949,0.0133471,0.0369948,0.0702213,0,0,0,0,0.041175,0,0.0323623,0.0298435,0.0109558
