Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LWRA,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LBHD,LUPA,x73,LILC,LASI,LWRB
95,0,0,0,0,0,0,0.0333995,0.0363716,0,0,0,0.0656341,0,0.0268644,0,0.0198951,0,0,0.0448146,0.0370997,0.0344026,0.0274342,0.0341338,0.0323188,0.0269307,0.0313281,0.0382087,0.0308719,0.0333437,0.0320896,0.0197395,0.0268947,0.0386022,0.0112558,0.0327079,0,0.022308,0.0422412,0.0424395,0,0,0.0140689,0,0,0.0300373,0.0506757,0.0240087,0.0147484,0.0284145,0.031275,0.0422732,0.051256,0.0782199,0.079915,0.0590785,0.072282,0.0527944,0.0455216,0.0690018,0.00865965,0.0344289,0.0105688,0.0134586,0.0408314,0.0691959,0,0,0,0,0.0427324,0,0.0281731,0.0310483,0.0111224
96,0,0,0,0,0,0,0.0332933,0.0362303,0,0,0,0.0652165,0,0.0262492,0,0.0200446,0,0,0.0447373,0.0367397,0.0347183,0.0271798,0.0341296,0.0324793,0.026773,0.0322869,0.0382028,0.0296219,0.0329956,0.0321359,0.0194223,0.0257557,0.0401832,0.0111611,0.031796,0,0.0219156,0.041818,0.042434,0,0,0.0142025,0,0,0.0302052,0.0503606,0.0237026,0.01482,0.0274187,0.0315858,0.042258,0.0512414,0.079455,0.0796991,0.057232,0.072695,0.0527673,0.0454923,0.0686254,0.0105377,0.0342862,0.0105731,0.0133104,0.0408975,0.0694997,0,0,0,0,0.0427094,0,0.0276716,0.0314997,0.0111464
97,0,0,0,0,0,0,0.0331033,0.0361332,0,0,0,0.0642631,0,0.0255202,0,0.0203744,0,0,0.0446631,0.0364914,0.0351968,0.026556,0.0341309,0.0327944,0.0267514,0.0333436,0.038349,0.028609,0.0327512,0.0323988,0.0187144,0.0245478,0.0417886,0.0112243,0.0315899,0,0.0218926,0.0415811,0.0423315,0,0,0.0142914,0,0,0.0304161,0.0496156,0.0232382,0.0150631,0.0271988,0.0320715,0.0423996,0.051148,0.080576,0.0794207,0.0557034,0.0730517,0.0528697,0.0454097,0.0681192,0.01127,0.034313,0.0103835,0.0131828,0.0407725,0.06979,0,0,0,0,0.0425025,0,0.0271196,0.0316628,0.0109522
98,0,0,0,0,0,0,0.0328159,0.0359875,0,0,0,0.0647011,0,0.0256343,0,0.0208518,0,0,0.0448649,0.0397526,0.0364247,0.0247938,0.0343748,0.0340148,0.0274125,0.035167,0.0404525,0.0288952,0.0316959,0.0318087,0.0168964,0.0233071,0.045117,0.0112149,0.0309244,0,0.0210709,0,0.0420073,0,0,0.0145228,0,0,0.0304942,0.0463826,0.0229723,0.0183222,0.0253487,0.0318731,0.0430055,0.0512472,0.0821297,0.0811033,0.0563513,0.0711311,0.0512528,0.0436137,0.0658612,0.0121554,0.0340627,0.0101527,0.0131953,0.0407914,0.0700098,0,0,0,0,0.0417687,0,0.0249454,0.0302032,0.0109948
99,0,0,0,0,0,0,0.0329647,0.0356083,0,0,0,0.0632825,0,0.0244423,0,0.0188414,0,0,0.0376925,0.0403349,0.0363624,0.0235633,0.03485,0.0330896,0.0277128,0.0366037,0.0411992,0.0279515,0.0313325,0.032044,0.0159697,0.0218178,0.045816,0.0188345,0.03165,0,0.0208888,0,0.0417832,0,0,0.0150958,0,0,0.0305611,0.0459238,0.0224423,0.0185265,0.0255334,0.032515,0.0435463,0.0510415,0.0820007,0.0809213,0.0561659,0.0712412,0.051492,0.043343,0.0654289,0.0106837,0.0336588,0.0101084,0.01316,0.0403223,0.0703436,0,0,0,0,0.0419534,0,0.0242801,0.02996,0
100,0,0,0,0,0,0,0.0324147,0.0359862,0,0,0,0.0626084,0,0.0227101,0,0.0212954,0,0,0.0451953,0.0410285,0.0356534,0.0222763,0.0356068,0.0352188,0.0279812,0.038142,0.0421132,0.0270763,0.0310231,0.0321034,0.0156909,0.0206077,0.0443135,0.0111773,0.0322822,0,0.0206167,0,0.0417102,0,0,0.0151792,0,0,0.0306076,0.0458596,0.0218106,0.0186879,0.0255775,0.0331599,0.0437825,0.0509311,0.0819205,0.0807094,0.0558558,0.07131,0.0513246,0.0428163,0.0651953,0.0100115,0.0337545,0.0101756,0.0132298,0.0403942,0.0705701,0,0,0,0,0.0412324,0,0.0233921,0.0297253,0.0112582
101,0,0,0,0,0,0,0.032349,0.0355031,0,0,0,0.0635836,0,0.021233,0,0.0193667,0,0,0.0379608,0.0415227,0.0359602,0.0207817,0.0365963,0.0344862,0.0279789,0.0409061,0.0428426,0.0254144,0.0296885,0.0312786,0.0140285,0.0190908,0.0426826,0.0188023,0.0326198,0,0.0202612,0,0.0416922,0,0,0.0158379,0,0,0.0305716,0.0457384,0.0208855,0.0190209,0.0254757,0.0338822,0.0449668,0.0504293,0.0820686,0.0804485,0.0550213,0.0714163,0.0511204,0.0423439,0.0651342,0.00964395,0.0330037,0.0100147,0.0133693,0.039889,0.0712472,0,0,0,0,0.0413048,0,0.0221875,0.0292602,0
102,0,0,0,0,0,0,0.0316598,0.0358135,0,0,0,0.0608058,0,0.019393,0,0.0218981,0,0,0.0451655,0.0419653,0.035195,0.0202649,0.0378413,0.0366938,0.0282524,0.0426934,0.0440043,0.0244237,0.0297156,0.0311355,0.0138947,0.0187795,0.036758,0.0113252,0.0327472,0,0.020039,0,0.0417975,0,0,0.0159611,0,0,0.0303984,0.0456239,0.0200546,0.0193443,0.0251634,0.0344326,0.0456056,0.0500392,0.0825002,0.080505,0.054342,0.071305,0.0507856,0.0417745,0.0646526,0.0100403,0.0329753,0.0100243,0.0133899,0.0400048,0.0717604,0,0,0,0,0.0404751,0,0.0211549,0.0289681,0.0108571
103,0,0,0,0,0,0,0.0313511,0.0356749,0,0,0,0.0578043,0,0.0180221,0,0.0220315,0,0,0.0452442,0.0424673,0.033465,0.0200575,0.0391425,0.0373355,0.0286886,0.0442351,0.0450895,0.0235943,0.0300052,0.0313585,0.0137115,0.0185787,0.030349,0.0113055,0.0316648,0,0.0198932,0,0.0418876,0,0,0.0162632,0,0,0.0302476,0.0455112,0.0195444,0.0197441,0.024638,0.0350756,0.0464986,0.0496898,0.0827169,0.0807297,0.053921,0.0709933,0.0504802,0.0415369,0.0644403,0.0111829,0.0328155,0.00987572,0.0136196,0.0398983,0.0724597,0,0,0,0,0.0401501,0,0.0202058,0.028591,0.0109741
104,0,0,0,0,0,0,0.031492,0.0351066,0,0,0,0.0539057,0,0.0175512,0,0.0201511,0,0,0.0381404,0.0428927,0.0319639,0.0201966,0.0403419,0.0363847,0.0292505,0.0453651,0.0458037,0.0228928,0.0303735,0.031809,0.0137037,0.0182464,0.0239919,0.0185248,0.0303124,0,0.0195741,0,0.0419572,0,0,0.0168736,0,0,0.0300589,0.0453086,0.0193415,0.0200001,0.0239698,0.0358515,0.047457,0.0493571,0.0828602,0.0812027,0.0538114,0.0706554,0.0501466,0.0419424,0.0645677,0.0137803,0.0325535,0.00968315,0.0137137,0.0395116,0.0732668,0,0,0,0,0.0403064,0,0.0193735,0.0281339,0
105,0,0,0,0,0,0,0.0310487,0.0354151,0,0,0,0.0501114,0,0.0183375,0,0.0224,0,0,0.0453454,0.0431016,0.0318267,0.020824,0.0411079,0.0382609,0.0295591,0.045911,0.0459066,0.022391,0.0312169,0.0326806,0.0142091,0.0179742,0.0192855,0.0114948,0.0292807,0,0.0189952,0,0.0422382,0,0,0.016849,0,0,0.0298382,0.0449577,0.0194226,0.0203023,0.0231883,0.0366353,0.0478239,0.0486106,0.083078,0.0817859,0.0538235,0.0705314,0.0498292,0.0421801,0.0646076,0.0154,0.0326196,0.00966648,0.013797,0.0396997,0.0738107,0,0,0,0,0.0395393,0,0.018442,0.0277037,0.0107327
106,0,0,0,0,0,0,0.0310002,0.0353755,0,0,0,0.0468445,0,0.020397,0,0.0224762,0,0,0.0453622,0.043125,0.0337208,0.0216159,0.0414979,0.0384131,0.0298605,0.0461093,0.045663,0.0218475,0.0324069,0.0336617,0.0151126,0.0183553,0.018665,0.0115334,0.0283602,0,0.0184609,0,0.0424979,0,0,0.0169488,0,0,0.02973,0.0446247,0.0196694,0.0203478,0.0227774,0.0372086,0.0481777,0.0482005,0.0831899,0.0821054,0.0536638,0.0703993,0.0496955,0.0419825,0.0640323,0.0162168,0.0324288,0.00959198,0.013932,0.0395834,0.0741889,0,0,0,0,0.0393481,0,0.0177932,0.0274068,0.0106803
107,0,0,0,0,0,0,0.0309949,0.0353555,0,0,0,0.0444179,0,0.0222817,0,0.0224536,0,0,0.045337,0.0429216,0.0354398,0.0222235,0.0415001,0.0383359,0.0301038,0.0462481,0.0455164,0.0212841,0.0331093,0.0341005,0.0159514,0.0188078,0.0212287,0.0115111,0.0275233,0,0.0182454,0,0.0427767,0,0,0.0170042,0,0,0.029633,0.0443215,0.0201188,0.0203151,0.0225096,0.0374429,0.0483463,0.048154,0.0833094,0.0818875,0.0535524,0.0702622,0.049493,0.0415241,0.0635696,0.0171504,0.0323834,0.00956997,0.0139375,0.0394363,0.0744148,0,0,0,0,0.039315,0,0.017556,0.0273061,0.0107486
108,0,0,0,0,0,0,0.0309988,0.0353297,0,0,0,0.042588,0,0.0224689,0,0.0223686,0,0,0.0452684,0.042705,0.0356962,0.0223556,0.0413442,0.0380337,0.0300383,0.0463374,0.0456273,0.0210209,0.0330727,0.0339007,0.0162027,0.0186933,0.0244313,0.0115297,0.0269686,0,0.0184174,0,0.0430365,0,0,0.0169976,0,0,0.0295451,0.0440734,0.0207045,0.0201482,0.0221928,0.0372947,0.0484128,0.0482518,0.0834712,0.0818814,0.0535523,0.0699887,0.0493709,0.0413237,0.0634161,0.0182824,0.0324251,0.00954416,0.0139403,0.039281,0.0745527,0,0,0,0,0.0393811,0,0.0176578,0.0273454,0.0107412
109,0,0,0,0,0,0,0.0313527,0.0348582,0,0,0,0.0407919,0,0.0222178,0,0.0200185,0,0,0.0380238,0.0426336,0.0355925,0.0217192,0.0413088,0.0360732,0.029965,0.046046,0.0456052,0.021429,0.0329677,0.0334376,0.0166698,0.0187448,0.0275521,0.0186417,0.0267772,0,0.0185464,0,0.0431668,0,0,0.0171667,0,0,0.0294571,0.0439459,0.0212137,0.0197561,0.0218769,0.0368366,0.0485278,0.0483578,0.0835041,0.0821952,0.053552,0.0696902,0.0494159,0.0413342,0.0634206,0.0186076,0.0322228,0.0094329,0.0139487,0.0388595,0.0746125,0,0,0,0,0.0400078,0,0.0182349,0.0274109,0
110,0,0,0,0,0,0,0.0310142,0.0351991,0,0,0,0.0395921,0,0.0223113,0,0.0220311,0,0,0.0451467,0.0425837,0.0357569,0.0212501,0.0413288,0.0371073,0.0300252,0.0458425,0.0456464,0.0216702,0.0332438,0.033259,0.0176546,0.0192783,0.0297731,0.0114471,0.0270465,0,0.0186298,0,0.0433483,0,0,0.0167929,0,0,0.0293256,0.0440722,0.0216845,0.0194176,0.0215648,0.0362347,0.0483048,0.0484266,0.0833822,0.0824736,0.0536666,0.0695091,0.0494204,0.0413455,0.0633111,0.018228,0.0326377,0.00944109,0.01397,0.0390482,0.0743985,0,0,0,0,0.0396744,0,0.01883,0.0274857,0.0109328
111,0,0,0,0,0,0,0.0313092,0.03471,0,0,0,0.0389164,0,0.022603,0,0.0195197,0,0,0.0378514,0.0427092,0.0361343,0.0208954,0.0415794,0.0352668,0.0302303,0.0457641,0.0457741,0.0217632,0.0336581,0.0332385,0.0188772,0.0202522,0.0307416,0.0188978,0.0274991,0,0.0187028,0,0.0433606,0,0,0.0169526,0,0,0.0293167,0.0444024,0.0220549,0.0190705,0.0214711,0.0356536,0.0485463,0.0484702,0.0831194,0.0825338,0.053951,0.0693416,0.0494084,0.0414163,0.0632336,0.0174482,0.0323549,0.00934912,0.0139581,0.0386661,0.0743064,0,0,0,0,0.0402458,0,0.0195549,0.0274536,0
112,0,0,0,0,0,0,0.0308467,0.0351304,0,0,0,0.0386582,0,0.0228607,0,0.0217551,0,0,0.0450626,0.0428831,0.0364986,0.0210307,0.0417924,0.036556,0.0304101,0.0458756,0.0456892,0.0216085,0.0338646,0.0331895,0.0198576,0.0211086,0.030949,0.0114741,0.0279044,0,0.0188292,0,0.043426,0,0,0.0166984,0,0,0.029347,0.0445877,0.0224303,0.0189338,0.0216456,0.0352403,0.0484411,0.0484448,0.0827087,0.0825039,0.0543536,0.0688748,0.0492877,0.0414691,0.06325,0.0162956,0.0326359,0.00945137,0.0138929,0.0388562,0.0740555,0,0,0,0,0.0397941,0,0.0198767,0.027441,0.0109164
113,0,0,0,0,0,0,0.0310827,0.0346423,0,0,0,0.0385401,0,0.0229493,0,0.0193319,0,0,0.0377757,0.0432234,0.0367117,0.0211569,0.0421395,0.0349277,0.0306781,0.0459567,0.0455146,0.0214583,0.0338771,0.0330482,0.0205581,0.0217053,0.0309248,0.0188246,0.0285068,0,0.0187938,0,0.0433236,0,0,0.0169492,0,0,0.0293888,0.0446784,0.0227007,0.0188545,0.0216936,0.0349572,0.0487709,0.0483177,0.0821807,0.0822959,0.0545881,0.0683522,0.049187,0.0413771,0.0633574,0.0146157,0.03233,0.00945756,0.0139668,0.0383666,0.0739566,0,0,0,0,0.0402655,0,0.0202104,0.0273897,0
114,0,0,0,0,0,0,0.030968,0.0345445,0,0,0,0.038319,0,0.0230508,0,0.019146,0,0,0.0377534,0.0435077,0.0368525,0.0213305,0.0424281,0.0349055,0.0311025,0.0459599,0.0452099,0.0213294,0.0337172,0.0328236,0.0210332,0.0220874,0.0307902,0.018878,0.0290832,0,0.018938,0,0.0432913,0,0,0.0169652,0,0,0.0293901,0.0448764,0.0229344,0.0187919,0.0215704,0.0346948,0.04888,0.0482255,0.0816977,0.0820812,0.0548382,0.0679948,0.049083,0.0412999,0.0634299,0.0131367,0.0323365,0.00957157,0.0138622,0.038141,0.0737746,0,0,0,0,0.0402917,0,0.0203872,0.0274292,0
115,0,0,0,0,0,0,0.0305069,0.0348194,0,0,0,0.0380834,0,0.023256,0,0.0213856,0,0,0.0449561,0.0437845,0.0370266,0.0216278,0.0426383,0.0364844,0.0316576,0.0459112,0.0447891,0.0212689,0.0335575,0.0325726,0.0211707,0.022383,0.0306677,0.0115039,0.0290505,0,0.0195239,0,0.0433292,0,0,0.0166001,0,0,0.0294175,0.0451767,0.0235157,0.0188016,0.021429,0.0344872,0.0487102,0.0482917,0.0812456,0.0818536,0.0552176,0.0678368,0.0489258,0.0412483,0.0636887,0.0129293,0.032645,0.009723,0.0137553,0.0382422,0.0734946,0,0,0,0,0.0398429,0,0.0203383,0.0275364,0.0108081
116,0,0,0,0,0,0,0.0303814,0.0346128,0,0,0,0.0374914,0,0.0235319,0,0.0213455,0,0,0.0448777,0.0439242,0.037542,0.0219731,0.0428579,0.0365448,0.0323613,0.0459788,0.0442605,0.0211442,0.0333497,0.0323203,0.0211903,0.0226454,0.0311273,0.0115573,0.0295786,0,0.0200304,0,0.0433136,0,0,0.0164587,0,0,0.0293977,0.0453641,0.0242505,0.0185836,0.0217774,0.0342828,0.0486751,0.0482176,0.0809816,0.0818521,0.0554109,0.0679705,0.0488472,0.0412285,0.0635515,0.0129444,0.0326318,0.0097779,0.0137405,0.0380113,0.0733156,0,0,0,0,0.0398381,0,0.0203396,0.0277711,0.010801
117,0,0,0,0,0,0,0.0302679,0.0344601,0,0,0,0.0366075,0,0.0243363,0,0.0211038,0,0,0.0446959,0.0416956,0.0392235,0.0227135,0.0440228,0.0357626,0.0338398,0.0463393,0.0426327,0.020064,0.0329995,0.0318762,0.0214502,0.0233164,0.0339971,0.0115089,0.0317702,0,0.0209435,0.0422848,0.0434119,0,0,0.0160813,0,0,0.0293872,0.047796,0.0222999,0.0149223,0.0249342,0.0353377,0.0479982,0.0465539,0.0786229,0.0792694,0.0534904,0.070203,0.0511362,0.0433631,0.0651215,0.0103867,0.0329397,0.00991478,0.0136401,0.0373694,0.0733349,0,0,0,0,0.0404192,0,0.0211476,0.0279074,0.0108613
118,0,0,0,0,0,0,0.030178,0.0343288,0,0,0,0.035809,0,0.024963,0,0.021139,0,0,0.0447081,0.0418207,0.040416,0.0230854,0.0442542,0.0358088,0.0347427,0.0467097,0.0420476,0.0199242,0.0328146,0.0316221,0.0215703,0.0235731,0.0358368,0.0115625,0.0323668,0,0.0211426,0.0429808,0.0433857,0,0,0.016055,0,0,0.0294149,0.0479146,0.0229691,0.0146567,0.0252245,0.0352395,0.047931,0.0462473,0.078168,0.0793515,0.0535589,0.0698135,0.0511234,0.0432295,0.0652151,0.00967227,0.0330736,0.00999914,0.0135488,0.0371379,0.0731874,0,0,0,0,0.0405146,0,0.0211917,0.0280086,0.0107807
119,0,0,0,0,0,0,0.030438,0.033835,0,0,0,0.0349516,0,0.0256918,0,0.0189495,0,0,0.0374752,0.0421568,0.0417683,0.0236013,0.0444702,0.0343285,0.0358014,0.0471012,0.0413229,0.0199356,0.0326248,0.0314268,0.0216665,0.0238471,0.0382269,0.018575,0.0325089,0,0.0213318,0.0432163,0.043252,0,0,0.0163456,0,0,0.0293696,0.0478765,0.0233035,0.0147125,0.0250717,0.0351439,0.0481841,0.0459468,0.0775039,0.0794123,0.0535511,0.0692345,0.0510607,0.0430517,0.0649076,0.00892901,0.032941,0.00988064,0.0136248,0.0366531,0.0731537,0,0,0,0,0.0409291,0,0.0210248,0.0278285,0
120,0,0,0,0,0,0,0.0300258,0.0342403,0,0,0,0.034304,0,0.0260707,0,0.0216145,0,0,0.0450403,0.0446486,0.0420647,0.0240257,0.043547,0.0368413,0.0360594,0.0471429,0.0414671,0.0210086,0.0325658,0.0315179,0.0212014,0.0236113,0.0390349,0.0117478,0.0304591,0,0.0210283,0,0.0431171,0,0,0.0163068,0,0,0.0293615,0.0455984,0.0263828,0.018569,0.022931,0.0336576,0.0486583,0.0474959,0.0794547,0.0822844,0.0556479,0.0660308,0.0486199,0.0403927,0.0623917,0.0108026,0.0329154,0.00980961,0.0138859,0.0372622,0.0727367,0,0,0,0,0.0399177,0,0.0204049,0.0284127,0.0104853
121,0,0,0,0,0,0,0.0300113,0.0342445,0,0,0,0.0337527,0,0.0268888,0,0.0215426,0,0,0.045145,0.0448908,0.0433901,0.0246614,0.0437778,0.0369411,0.0370806,0.0475688,0.0406984,0.0211208,0.0322878,0.0315526,0.0208961,0.0236252,0.0420982,0.0115457,0.0305834,0,0.0213125,0,0.0429759,0,0,0.0162967,0,0,0.0293004,0.0457295,0.0266813,0.0187167,0.0231555,0.0334864,0.0487116,0.0474507,0.0793582,0.0823916,0.0557127,0.0655011,0.0483616,0.0402111,0.062119,0.0107684,0.0327724,0.0097997,0.0137859,0.0372095,0.0726356,0,0,0,0,0.03986,0,0.020453,0.0288437,0.0108913
122,0,0,0,0,0,0,0.0300843,0.0342808,0,0,0,0.0330041,0,0.0275855,0,0.0212905,0,0,0.0449215,0.0411402,0.0448086,0.0252902,0.0456792,0.035859,0.03622,0.0477807,0.0402771,0.0201528,0.0322963,0.0318816,0.0209838,0.0237693,0.0471925,0.0115376,0.0330049,0,0.0224516,0.0423604,0.042979,0,0,0.015872,0,0,0.0292266,0.0494342,0.0244835,0.0147267,0.0256328,0.0353215,0.047797,0.0459906,0.0766308,0.0800745,0.0548241,0.067172,0.050065,0.0418308,0.0637516,0.00872016,0.0331097,0.00989393,0.0135752,0.0366798,0.072645,0,0,0,0,0.0405229,0,0.0230665,0,0.0106852
123,0,0,0,0,0,0,0.0302894,0.0336761,0,0,0,0.0329947,0,0.0284624,0,0.0190336,0,0,0.0378371,0.0433391,0.0461862,0.0267993,0.0453318,0.0348693,0.0397535,0.0499509,0.0386546,0.0198773,0.0315107,0.0312882,0.0203197,0.0236225,0.0478483,0.0188683,0.0315427,0,0.0223128,0.0477804,0.0429266,0,0,0.0163349,0,0,0.0291377,0.0491357,0.0239341,0.0145345,0.0257055,0.0349217,0.0485549,0.0456769,0.0761871,0.079804,0.0541091,0.0672521,0.0504144,0.0422027,0.0644256,0.00982167,0.0325827,0.009784,0.0137876,0.0362459,0.072988,0,0,0,0,0.0406609,0,0.0201323,0.0294162,0
124,0,0,0,0,0,0,0.0302602,0.0336013,0,0,0,0.0324898,0,0.0286645,0,0.0190297,0,0,0.03777,0.043425,0.0465341,0.0275684,0.0455257,0.0349043,0.0404435,0.0508631,0.0382282,0.0198135,0.0314123,0.0310987,0.0202589,0.0236164,0.0486229,0.0188243,0.0316493,0,0.0225257,0.0510087,0.042914,0,0,0.016389,0,0,0.029135,0.0500685,0.0238421,0.0139148,0.0259147,0.0351281,0.0485509,0.0456006,0.0756138,0.0798949,0.0542496,0.0669447,0.0503737,0.0424793,0.0644708,0.00986796,0.0326373,0.00980054,0.0138209,0.0361606,0.072981,0,0,0,0,0.040633,0,0.0201044,0.0306831,0
125,0,0,0,0,0,0,0.030462,0.0335893,0,0,0,0.0316438,0,0.0279957,0,0.0191587,0,0,0.037672,0.0443157,0.0448221,0.0275649,0.0459563,0.035084,0.037221,0.0499293,0.0400058,0.0211815,0.0316209,0.031448,0.019819,0.0228854,0.04571,0.018585,0.0316159,0,0.0222632,0,0.0426054,0,0,0.0162849,0,0,0.0291455,0.0482439,0.0272673,0.0186696,0.0236603,0.0343919,0.0482284,0.0471278,0.0780383,0.0829505,0.0565898,0.0640389,0.0477155,0.0398853,0.0617536,0.0109339,0.0328196,0.00974996,0.0137659,0.0364713,0.0722398,0,0,0,0,0.0406064,0,0.0248143,0,0
126,0,0,0,0,0,0,0.0301167,0.0340336,0,0,0,0.0315789,0,0.0280251,0,0.0214903,0,0,0.0447667,0.0445925,0.0449521,0.0276588,0.0459334,0.0364672,0.0377312,0.0502681,0.0397217,0.0215872,0.0316295,0.0313938,0.0199617,0.0233135,0.0448715,0.0114548,0.0318339,0,0.0225305,0,0.0426719,0,0,0.0160191,0,0,0.0291455,0.0485267,0.0278314,0.018827,0.0237766,0.034137,0.0479624,0.0464126,0.0779003,0.082993,0.0565549,0.0637538,0.0477141,0.04007,0.061694,0.0107722,0.033069,0.00976918,0.0137451,0.0367901,0.0718834,0,0,0,0,0.0401446,0,0.0249981,0,0.0108334
127,0,0,0,0,0,0,0.0301854,0.03368,0,0,0,0.0322961,0,0.0289716,0,0.0192556,0,0,0.0374867,0.0450662,0.0474055,0.0277467,0.0456796,0.0344077,0.0423604,0.052259,0.0373866,0.0209173,0.0315044,0.0308694,0.0207913,0.0249583,0.0474499,0.0183109,0.0334034,0,0.0230006,0.0503692,0.0428872,0,0,0.016365,0,0,0.0291504,0.0506622,0.0246072,0.0133651,0.0261516,0.0345576,0.0482631,0.044048,0.0750645,0.0798167,0.0539329,0.0665389,0.050547,0.0430271,0.0644523,0.00872113,0.0326535,0.00968383,0.0138579,0.0360742,0.0722674,0,0,0,0,0.0407237,0,0.0198613,0.0325456,0
128,0,0,0,0,0,0,0.0298381,0.0341174,0,0,0,0.0327613,0,0.028831,0,0.0214398,0,0,0.0447308,0.0452909,0.0470726,0.0277731,0.0455087,0.0358947,0.0425605,0.0526485,0.0373614,0.0212237,0.0318333,0.0310281,0.021191,0.0255028,0.0455346,0.0115564,0.0336005,0,0.0229173,0.0504358,0.0429402,0,0,0.0161818,0,0,0.0292102,0.0511815,0.0249737,0.0131645,0.0261349,0.0342494,0.0480086,0.0441618,0.074799,0.0798011,0.0539235,0.0663637,0.0504754,0.0431496,0.064392,0.00848462,0.0329361,0.00974007,0.0138681,0.0363181,0.0718727,0,0,0,0,0.0401893,0,0.0203268,0.0328953,0.0106913
129,0,0,0,0,0,0,0.0299498,0.0341921,0,0,0,0.0330559,0,0.0281097,0,0.0211506,0,0,0.0446289,0.042613,0.0455377,0.0279646,0.0468104,0.0351269,0.0401077,0.0521024,0.0381363,0.0211879,0.0324321,0.0315778,0.0215788,0.0256078,0.0423794,0.0115916,0.035087,0,0.0232774,0.0512888,0.0428659,0,0,0.01584,0,0,0.0292485,0.053332,0.0253822,0.0124873,0.0263261,0.035444,0.0471495,0.0444147,0.0743078,0.0800769,0.0548666,0.0657736,0.0500035,0.0429383,0.0637677,0.0078152,0.0333095,0.00972194,0.0137545,0.0360788,0.0715239,0,0,0,0,0.04055,0,0.0243915,0,0.0106483
130,0,0,0,0,0,0,0.0298049,0.0340442,0,0,0,0.0337926,0,0.028383,0,0.021333,0,0,0.0447714,0.0459411,0.0464388,0.0275956,0.0450919,0.035611,0.0431905,0.0533359,0.0371598,0.0221848,0.0323413,0.0314671,0.0219581,0.0264332,0.039586,0.011637,0.0341076,0,0.0226263,0.0505675,0.0428437,0,0,0.016049,0,0,0.0292818,0.0521549,0.0251234,0.0128699,0.0259207,0.0336636,0.0480546,0.0442425,0.0746206,0.0798168,0.0539303,0.0660717,0.0504477,0.0432536,0.0642225,0.00799658,0.0330375,0.00965178,0.0138412,0.0361839,0.0714127,0,0,0,0,0.0399405,0,0.0212457,0.0333951,0.0106647
131,0,0,0,0,0,0,0.0300384,0.0340159,0,0,0,0.0356222,0,0.0278021,0,0.0212399,0,0,0.0446791,0.0459653,0.0441832,0.0269274,0.0449987,0.0354396,0.0401126,0.0519222,0.0387057,0.0244065,0.0320991,0.0316752,0.0211318,0.0259576,0.0311739,0.0116483,0.034027,0,0.0224598,0,0.0425662,0,0,0.0159651,0,0,0.0293405,0.0504501,0.0286758,0.0186826,0.0235774,0.0330203,0.0478809,0.0461546,0.0771938,0.0829146,0.0563126,0.0633315,0.0476673,0.0403339,0.0613752,0.00910485,0.0331138,0.0097846,0.0136602,0.0364978,0.0704332,0,0,0,0,0.0399886,0,0.0267314,0,0.010641
132,0,0,0,0,0,0,0.0298634,0.0339634,0,0,0,0.0371034,0,0.0283604,0,0.0214112,0,0,0.0446496,0.049039,0.0448131,0.0264009,0.0427678,0.0354696,0.0434915,0.0529113,0.0372017,0.0254693,0.0320701,0.0317219,0.02147,0.0270744,0.0289577,0.0116679,0.0333473,0,0.0220345,0,0.0427483,0,0,0.016332,0,0,0.029392,0.0494444,0.0282512,0.0180473,0.0234592,0.0312279,0.0489013,0.046077,0.0772604,0.0826688,0.0554396,0.0637879,0.0480499,0.0407061,0.0618651,0.00917859,0.0328424,0.00982873,0.0137655,0.0366803,0.0703385,0,0,0,0,0.0397861,0,0.0216387,0.0345711,0.0105425
133,0,0,0,0,0,0,0.0297359,0.0340569,0,0,0,0.0370133,0,0.0284868,0,0.0210947,0,0,0.0443917,0.0474248,0.0450159,0.0257016,0.0442713,0.0345272,0.0441475,0.0530914,0.0363632,0.0249195,0.0328285,0.0323517,0.0224178,0.0282693,0.02961,0.0116483,0.0354451,0,0.0226466,0.0499888,0.0428731,0,0,0.0160647,0,0,0.029384,0.05336,0.0246196,0.0120147,0.0261494,0.0332323,0.0479486,0.0440989,0.0740225,0.0795627,0.0536592,0.0661541,0.0503794,0.043023,0.0640093,0.00719557,0.03305,0.00992775,0.0135522,0.0360827,0.0707808,0,0,0,0,0.0402565,0,0.0223253,0.0330688,0.0104618
