Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,T10,x70,x71,x72,x73,RHEE,STRN,LASI,LWRB,R5HD,RWRB
87,0,0,0,0,0,0,0.0332642,0.0387629,0,0,0,0.0449693,0,0.0217807,0,0,0.0218219,0,0,0.0482614,0.0418477,0.0334963,0.0191444,0.021487,0.0439507,0.0350201,0.0300897,0.0441987,0.0432524,0.0214306,0.0326016,0.0311071,0.0205183,0.022221,0.0228133,0.0373036,0.0118166,0.0317769,0.0167113,0.0416074,0.0444764,0,0,0.0268045,0,0,0.0157184,0.0464224,0.0171088,0.0257604,0.0400101,0.0474611,0.046472,0.0802027,0.077517,0.0483942,0.0729993,0.0531491,0.0439643,0.0658929,0.0140032,0.0309878,0.011073,0.0738781,0,0,0,0,0.0266305,0.0427052,0.0304476,0.0120339,0,0
88,0,0,0,0,0,0,0.033226,0.0385146,0,0,0,0.0474063,0,0.0214701,0,0,0.0217361,0,0,0.0482957,0.0414563,0.0330935,0.0195716,0.0211178,0.0435788,0.0347978,0.0297843,0.0441707,0.0433486,0.0213289,0.0329728,0.0311943,0.0211294,0.0227131,0.0197645,0.0372375,0.0118942,0.0316751,0.0166739,0.0413615,0.0447264,0,0,0.0267329,0,0,0.0156297,0.0467274,0.0167162,0.0255189,0.0398245,0.0472996,0.0464334,0.0802673,0.0775775,0.0484093,0.0728603,0.0531871,0.0438732,0.0655657,0.0141882,0.0311368,0.0110216,0.0739074,0,0,0,0,0.026945,0.0423422,0.0302498,0.0119534,0,0
89,0,0,0,0,0,0,0.0331329,0.0383037,0,0,0,0.049551,0,0.0214849,0,0,0.0216763,0,0,0.0481604,0.0412564,0.0326661,0.0198306,0.0208902,0.0432543,0.0345961,0.0296504,0.0442178,0.0435172,0.0212414,0.0330766,0.0312363,0.021461,0.0231292,0.0176617,0.0372383,0.0118393,0.0317853,0.01663,0.0409877,0.0448186,0,0,0.0265303,0,0,0.0155174,0.0469002,0.0163553,0.0252597,0.0396764,0.0473247,0.04644,0.0800743,0.0776342,0.0484106,0.0727192,0.0532292,0.0438456,0.0654503,0.0140499,0.0312044,0.0110813,0.0739403,0,0,0,0,0.0272931,0.0419517,0.030188,0.0119172,0,0
90,0,0,0,0,0,0,0.0329237,0.0383355,0,0,0,0.0511477,0,0.0214571,0,0,0.0215361,0,0,0.0479124,0.0411136,0.032347,0.0199549,0.0209612,0.0431051,0.0343224,0.0294303,0.0441495,0.043577,0.0212445,0.0330027,0.0311148,0.0215384,0.0232782,0.0163397,0.0372643,0.0117755,0.0322258,0.0166521,0.0408705,0.0446818,0,0,0.0265362,0,0,0.0159403,0.047074,0.0160467,0.0251253,0.0396174,0.0475764,0.0463301,0.0798648,0.0776441,0.04842,0.0725432,0.0532661,0.043898,0.0654313,0.0135488,0.0312228,0.0113592,0.0739746,0,0,0,0,0.0277157,0.0417103,0.0301572,0.0121122,0,0
91,0,0,0,0,0,0,0.0330286,0.0382421,0,0,0,0.051993,0,0.0214876,0,0,0.0215124,0,0,0.0479662,0.0410506,0.0319274,0.0202023,0.0210499,0.0430379,0.0341894,0.0294874,0.0441852,0.04361,0.0211168,0.0328265,0.0307865,0.0214604,0.0233202,0.0157127,0.0371806,0.0116364,0.0327386,0.0167376,0.0410634,0.0446269,0,0,0.0263389,0,0,0.0157487,0.0470449,0.0158565,0.0250597,0.0393895,0.0477704,0.046295,0.079717,0.0776919,0.0485488,0.0723271,0.0532538,0.0439589,0.0651239,0.0128474,0.0310432,0.0113236,0.0738659,0,0,0,0,0.0278584,0.0414074,0.0302157,0.0120732,0,0
92,0,0,0,0,0,0,0.0329754,0.0383042,0,0,0,0.0524411,0,0.021632,0,0,0.0213727,0,0,0.0480055,0.0410233,0.031983,0.0202589,0.0211831,0.0432114,0.0340069,0.0296678,0.0441966,0.0435298,0.0209327,0.0325912,0.0306127,0.021279,0.0233084,0.0153716,0.0372768,0.0118318,0.033481,0.0170444,0.0408673,0.0445009,0,0,0.0261368,0,0,0.015397,0.0469266,0.0156652,0.0250686,0.0391128,0.0480024,0.0462167,0.0794551,0.0776995,0.0487014,0.0721155,0.053266,0.0440026,0.0649428,0.0118836,0.0308001,0.0113297,0.0736802,0,0,0,0,0.0273318,0.0412409,0.0303265,0.0119695,0,0
93,0,0,0,0,0,0,0.0329057,0.0383384,0,0,0,0.0533853,0,0.0217298,0,0,0.0212318,0,0,0.0480884,0.0411182,0.0324288,0.0201482,0.0213702,0.0435668,0.03381,0.0300069,0.0445568,0.0432638,0.020733,0.0325026,0.0306324,0.021064,0.0232373,0.0154608,0.0375209,0.0121062,0.0342835,0.0174295,0.0411205,0.0444711,0,0,0.0260574,0,0,0.0152205,0.0468857,0.0155001,0.0250116,0.0387809,0.0482091,0.0461118,0.0790688,0.0777273,0.0489009,0.0719393,0.0532942,0.044066,0.0650969,0.0111212,0.0307927,0.0114278,0.0735904,0,0,0,0,0.0272095,0.0411679,0.0304345,0.0117838,0,0
94,0,0,0,0,0,0,0.0328235,0.0383195,0,0,0,0.054311,0,0.0218689,0,0,0.021069,0,0,0.0480569,0.0413338,0.0326007,0.0199081,0.0214753,0.0439459,0.0336312,0.030507,0.0448763,0.0429433,0.0207151,0.0323576,0.0305888,0.0209006,0.0231691,0.015567,0.0378497,0.0120262,0.034743,0.0177706,0.0414612,0.0445018,0,0,0.0263118,0,0,0.0159978,0.0470026,0.0153847,0.0248906,0.0385601,0.0484083,0.0460592,0.0785829,0.0777438,0.0492445,0.0717377,0.0532908,0.0442086,0.0655203,0.0105214,0.0307233,0.0116724,0.0734879,0,0,0,0,0.0271668,0.041203,0.0305224,0.0118356,0,0
95,0,0,0,0,0,0,0.0327952,0.0382011,0,0,0,0.0551322,0,0.0219925,0,0,0.0209778,0,0,0.0480011,0.0414945,0.0328002,0.0197691,0.0214771,0.0442948,0.0334801,0.0310722,0.0448684,0.0425819,0.0207656,0.0322308,0.0305674,0.0207449,0.0232326,0.0157335,0.0381017,0.011969,0.0352987,0.0180988,0.0414908,0.0445917,0,0,0.0261636,0,0,0.0159735,0.0472524,0.0151469,0.0249088,0.0384177,0.0484315,0.0459379,0.0781267,0.0776826,0.0495603,0.071628,0.053273,0.0444042,0.0653511,0.00991149,0.0306655,0.0117994,0.0733491,0,0,0,0,0.0269365,0.0412689,0.0306312,0.0118706,0,0
96,0,0,0,0,0,0,0.0327984,0.0380056,0,0,0,0.0560662,0,0.0220726,0,0,0.0209063,0,0,0.0479838,0.0414749,0.0330996,0.0197595,0.0214941,0.0445226,0.0335047,0.0316481,0.0449647,0.0422788,0.0208195,0.032053,0.0304375,0.0207253,0.0234747,0.0159113,0.0382451,0.0118676,0.0360197,0.0184551,0.0418455,0.0446433,0,0,0.025948,0,0,0.0158646,0.0475462,0.014813,0.0249901,0.0382791,0.0484233,0.0458118,0.0776611,0.077607,0.0498476,0.071351,0.0532498,0.0446677,0.0648943,0.00960689,0.0306023,0.0119981,0.0731787,0,0,0,0,0.0269075,0.0413702,0.0309804,0.0120318,0,0
97,0,0,0,0,0,0,0.033206,0.0376423,0,0,0,0.0559952,0,0.0219785,0,0,0.0206736,0,0,0.0478607,0.039157,0.0327509,0.0214677,0.0211777,0.0449706,0.0328982,0.0306448,0.0452972,0.0428895,0.0206014,0.0321187,0.0303221,0.0211259,0.0237219,0.0162352,0.038694,0.0117349,0.0384084,0.0195543,0.042489,0.0448008,0,0,0.0257131,0,0,0.0158363,0.0498216,0.0130066,0.0256297,0.0389792,0.048089,0.0456684,0.0764865,0.0776302,0.0511857,0.0706563,0.0529034,0.0442202,0.0640755,0.00933283,0.0307053,0.0120513,0.0727423,0,0,0,0,0.0275713,0.0413695,0,0.0118722,0,0
98,0,0,0,0,0,0,0.0330048,0.0375956,0,0,0,0.0587548,0,0.0221598,0,0,0.0211355,0,0,0.0477499,0.0420281,0.0339395,0.0189715,0.0225317,0.0450874,0.033913,0.0335181,0.046353,0.0414091,0.0203092,0.0312069,0.0295738,0.0204983,0.0235033,0.0158602,0.0383948,0.0118541,0.0368648,0.0190613,0.0433047,0.044594,0,0,0.0256453,0,0,0.0156362,0.0475487,0.0147977,0.0252286,0.0383018,0.048393,0.0455878,0.0767834,0.0774905,0.0502255,0.0704832,0.053242,0.0449159,0.0647783,0.00931878,0.0306728,0.0121629,0.0729432,0,0,0,0,0.0269792,0.0416101,0.0321442,0.0116725,0,0
99,0,0,0,0,0,0,0.0330755,0.0374245,0,0,0,0.0593376,0,0.0224088,0,0,0.0212055,0,0,0.047636,0.0421891,0.0343877,0.0188122,0.0231149,0.0453402,0.0341272,0.0344458,0.0468888,0.040834,0.0201479,0.0308684,0.0293189,0.0206069,0.0238974,0.015784,0.0383728,0.0117362,0.0373996,0.0193207,0.0438179,0.0445157,0,0,0.0256123,0,0,0.0156471,0.0475704,0.0147515,0.0253982,0.0382535,0.0483292,0.0454524,0.0763563,0.0774559,0.0503876,0.070188,0.0531643,0.0450033,0.0647285,0.00922148,0.0307887,0.0121993,0.0728311,0,0,0,0,0.0270337,0.0416611,0.0323799,0.0117235,0,0
100,0,0,0,0,0,0,0.0331245,0.0373111,0,0,0,0.0594938,0,0.0224765,0,0,0.0213053,0,0,0.0475572,0.0423438,0.0354597,0.0188094,0.0235118,0.0455481,0.0342626,0.0354657,0.0470227,0.0402355,0.0201663,0.0307955,0.0292666,0.0207347,0.0243233,0.0156805,0.0383121,0.0117164,0.0379008,0.0196878,0.0444598,0.0444222,0,0,0.025596,0,0,0.0156968,0.0477008,0.014636,0.0255994,0.0381446,0.0483078,0.0453248,0.0758891,0.0774776,0.0505617,0.0699944,0.0530668,0.0449966,0.0646313,0.00926545,0.0309408,0.0121832,0.0726856,0,0,0,0,0.0270428,0.0416044,0.032631,0.0116681,0,0
101,0,0,0,0,0,0,0.0331672,0.0372886,0,0,0,0.0590738,0,0.0225276,0,0,0.0214138,0,0,0.0475299,0.0425019,0.036542,0.0189895,0.0238852,0.0457069,0.0343638,0.0363657,0.0475754,0.039759,0.0203611,0.0307538,0.0294605,0.0207934,0.0246788,0.0154914,0.0382333,0.0117782,0.0382855,0.02014,0.0450455,0.0443218,0,0,0.0255613,0,0,0.0157273,0.0479226,0.0144351,0.0258224,0.0379044,0.0482803,0.0452529,0.0754236,0.0774945,0.050736,0.0697742,0.0529885,0.0449594,0.0645986,0.00937992,0.0310967,0.0121311,0.0724689,0,0,0,0,0.0270049,0.0414313,0.0330693,0.0116073,0,0
102,0,0,0,0,0,0,0.0331664,0.0373278,0,0,0,0.0582144,0,0.0226157,0,0,0.0215269,0,0,0.0474778,0.042749,0.0372541,0.0192755,0.0241478,0.0458593,0.0344185,0.0371862,0.0482579,0.0394807,0.020609,0.0305969,0.0298696,0.0213068,0.0250289,0.0151193,0.0382161,0.0117967,0.0385019,0.0204544,0.0455293,0.0442179,0,0,0.0255088,0,0,0.0156784,0.0481911,0.0142057,0.0260789,0.0375754,0.0482242,0.0451731,0.0750119,0.0774861,0.0508582,0.0695291,0.0529534,0.0448812,0.0645335,0.00969872,0.0311813,0.0121119,0.0723019,0,0,0,0,0.0272212,0.0411427,0.0334832,0.0115529,0,0
103,0,0,0,0,0,0,0.033148,0.0374202,0,0,0,0.0571357,0,0.023231,0,0,0.0215884,0,0,0.0474675,0.0432151,0.0376405,0.0192374,0.0245902,0.0460639,0.0344171,0.0380857,0.048778,0.0392975,0.0211331,0.0307189,0.030273,0.0218666,0.0257734,0.0146486,0.038226,0.0116766,0.0386794,0.020532,0.0459815,0.0441115,0,0,0.025408,0,0,0.0156207,0.0483127,0.0141372,0.0262956,0.0372976,0.0481472,0.0450417,0.0746683,0.077414,0.0508306,0.0693666,0.0529198,0.044738,0.0645209,0.0100956,0.0312247,0.0121442,0.0721978,0,0,0,0,0.0277738,0.0407291,0.0340886,0.0117311,0,0
104,0,0,0,0,0,0,0.0331637,0.0374994,0,0,0,0.0557394,0,0.0236958,0,0,0.0216225,0,0,0.0475006,0.0436906,0.0379875,0.0193475,0.0250988,0.0462733,0.0344485,0.0388248,0.0493789,0.0392076,0.0216989,0.0312734,0.030563,0.0221936,0.0263596,0.0143303,0.0382023,0.0117635,0.0393365,0.0206177,0.0462553,0.0439474,0,0,0.0252842,0,0,0.0155777,0.048371,0.0140214,0.0264155,0.0369324,0.0480102,0.0449165,0.0744029,0.0773833,0.0508184,0.0692193,0.0528287,0.0446382,0.064565,0.0104871,0.0313058,0.0122177,0.072063,0,0,0,0,0.0280791,0.0403482,0.0343558,0.0117419,0,0
105,0,0,0,0,0,0,0.0332902,0.0375156,0,0,0,0.0540127,0,0.0241026,0,0,0.0216855,0,0,0.0475594,0.0440164,0.0382473,0.0198327,0.0254501,0.046426,0.0345073,0.0393936,0.0498091,0.0389252,0.0221005,0.0318041,0.0309964,0.0224196,0.0270281,0.0147297,0.0381161,0.0120147,0.0395191,0.0207675,0.0466937,0.04383,0,0,0.0244714,0,0,0.0137669,0.0486864,0.0137679,0.026554,0.0365873,0.047769,0.0448283,0.074127,0.0774584,0.0508946,0.0688775,0.0527212,0.0445648,0.0646826,0.010524,0.0316289,0.0120307,0.071888,0,0,0,0,0.0283916,0.0401044,0.0345533,0.011471,0,0
