Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFIN,RFRM,RGTR,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RWRA,T10,x70,x71,x72,,LEAR,RFHD,RHEE,x73,LWRA,x74,RUPA,STRN
19,0,0,0,0,0,0,0.0294231,0.0428082,0,0,0,0.0546702,0,0.0313506,0.0357158,0,0.0205855,0,0,0.0441641,0.0437659,0.0423815,0.020842,0.0257839,0.0291,0.0238241,0.0403276,0.0454687,0.0429363,0.029376,0.0390373,0.0365289,0.0265664,0.0319736,0.0130016,0.0421837,0.0123478,0.0459848,0,0.0272838,0.0500996,0.0384184,0,0,0.0228999,0,0.0100827,0.0527061,0.0127658,0.0257773,0.0287801,0.0343888,0,0.0810305,0.048221,0.0588947,0.0599395,0.0436988,0.0366408,0.0548774,0.0166876,0.00740747,0.0600644,0,0,0,0,0,0,0.0437423,0,0.0107064,0,0.0420086,0
20,0,0,0,0,0,0,0.0257465,0.0466221,0,0,0,0.0546712,0,0.0315111,0.0352347,0,0.0213166,0,0,0.0445727,0.0442408,0.0427259,0.0204837,0.025355,0.0310486,0.0227485,0.0407985,0.0460266,0.0426171,0.0286897,0.0380342,0.0352675,0.0260103,0.0313887,0.0130213,0.0402608,0.011113,0.0478839,0,0.027614,0.0505751,0.0413366,0,0,0.0196749,0,0.00902947,0.051691,0.0125066,0.0245026,0.0286016,0.0304951,0,0.0821938,0.0539937,0.0590851,0.0595165,0.0428511,0.0357342,0.0540992,0.0186428,0.00872018,0.058039,0,0,0,0,0,0,0.044809,0,0.0113072,0,0,0
21,0,0,0,0,0,0,0.0296182,0.0428378,0,0,0,0.0545133,0,0.0309971,0,0,0.0188618,0,0,0.0382982,0.0406547,0.0409934,0.0206973,0.0250196,0.028865,0.0217444,0.0391892,0.0454248,0.0413114,0.0266487,0.0375509,0.0347833,0.0262033,0.031606,0.0134549,0.042864,0.0189972,0.0511257,0,0.028536,0.0502373,0.0383895,0,0,0.0226486,0,0.0103488,0.0550246,0.012137,0.0247502,0.0306848,0.0351366,0,0.0817725,0.0518645,0.0605836,0.0592372,0.0423384,0.0349547,0.0531034,0.0215487,0.00732782,0.0598488,0,0,0,0,0,0,0.0454511,0,0,0,0.0418478,0
22,0,0,0,0,0,0,0.0298109,0.0430098,0,0,0,0.0559384,0,0.031052,0.0347176,0,0.02067,0,0,0.0437045,0.0438532,0.0386459,0.0193731,0.0243942,0.0293713,0.0233579,0.0417853,0.0462521,0.0398586,0.0271572,0.0376019,0.034907,0.0273236,0.033217,0.0131388,0.0420316,0.0104787,0.0493288,0,0.0273361,0.0512249,0.037902,0,0,0.0222481,0,0.0100308,0.0523996,0.0130158,0.0231724,0.0287804,0.0346719,0,0.082571,0.0511672,0.0587026,0.0597646,0.0427448,0.035457,0.0538134,0.0203805,0.00762891,0.0598403,0,0,0,0,0,0,0.0450655,0,0.0118064,0,0.0418329,0
23,0,0,0,0,0,0,0.0300415,0.0432661,0,0,0,0.0551827,0,0.0299343,0.0352321,0,0.0207045,0,0,0.0436633,0.043183,0.0354405,0.0197932,0.0238956,0.0298614,0.0233274,0.0425438,0.0466482,0.0389861,0.0261506,0.0372569,0.0347668,0.0274693,0.033884,0.0141685,0.0419469,0.0108827,0.0494836,0,0.027277,0.0516113,0.0378861,0,0,0.0219679,0,0.00989557,0.0527596,0.0131419,0.0223138,0.0287501,0.0342578,0,0.0831512,0.0513582,0.0591219,0.0596344,0.0425505,0.0352055,0.0537197,0.020824,0.00764598,0.0597735,0,0,0,0,0,0,0.0455074,0,0.0113658,0,0.0419423,0
24,0,0,0,0,0,0,0.0306249,0.0431949,0,0,0,0.05268,0,0.0280544,0.0362954,0,0.019402,0,0,0.0386824,0.041911,0.0329964,0.0213819,0.0236647,0.0301652,0.0227621,0.0421614,0.0464,0.0384792,0.0252018,0.0374585,0.0356509,0.0266015,0.0331496,0.0156036,0.0419343,0.0191515,0.0499859,0,0.0269613,0.0510461,0.037994,0,0,0.0217719,0,0.00981664,0.0536662,0.0130866,0.0219372,0.0283214,0.0338618,0,0.0831768,0.047556,0.0586428,0.0600203,0.0429237,0.0353159,0.0538141,0.0207387,0.00769035,0.0597982,0,0,0,0,0,0,0.0455927,0,0,0,0.0420293,0
25,0,0,0,0,0,0,0.0305443,0.0437155,0,0,0,0.0488087,0,0.027335,0.0365146,0,0.020885,0,0,0.0440091,0.0408945,0.0316373,0.0225342,0.023998,0.0308088,0.0240818,0.0410118,0.0458702,0.0381617,0.0248941,0.0380325,0.0370279,0.025693,0.0313316,0.0157354,0.0416285,0.0114138,0.0484645,0,0.023839,0.0480018,0.0376876,0,0,0.0215297,0,0.00978491,0.0549649,0.0139351,0.0225883,0.0273949,0.0333334,0,0.0828951,0,0.0576396,0.0607585,0.0450364,0.0382039,0.0557923,0.0204624,0.00768436,0.0600229,0,0,0,0,0,0,0.0398905,0,0.0110941,0,0.0423487,0
26,0,0,0,0,0,0,0.0301376,0.0436721,0,0,0,0.0472715,0,0.0275811,0.0358481,0,0.0211795,0,0,0.0442629,0.0409249,0.0301056,0.0231694,0.0244071,0.0321909,0.0259101,0.0393236,0.0447375,0.0384986,0.0264961,0.0384372,0.037961,0.025095,0.0307331,0.0132239,0.0406223,0.0113305,0.0467034,0,0.0230563,0.0452428,0.0372401,0,0,0.0215867,0,0.00987673,0.0562024,0.0142523,0.0227174,0.0270483,0.0330767,0.0492272,0.0803758,0,0.0545664,0.0639228,0.0467067,0.039384,0.0581309,0.0168376,0.00762315,0.0611635,0,0,0,0,0,0,0.0397524,0,0.0110972,0,0.0423469,0
27,0,0,0,0,0,0,0.0300839,0.0439995,0,0,0,0.0462032,0,0.0279775,0.0360641,0,0.0214295,0,0,0.0443384,0.0407454,0.0288882,0.0239191,0.0242039,0.032526,0.0261006,0.0382507,0.0443131,0.0392194,0.0280005,0.0380776,0.0378599,0.0244242,0.030823,0.0108232,0.0403201,0.0110956,0.0470695,0,0.0229923,0.0442961,0.0372794,0,0,0.02158,0,0.00995588,0.0564781,0.0145305,0.0215136,0.0265278,0.0329147,0.0491797,0.0812624,0,0.0538812,0.0643736,0.0467622,0.0390221,0.0584818,0.0165001,0.00756985,0.0615606,0,0,0,0,0,0,0.0400835,0,0.0113343,0,0.0425515,0
28,0,0,0,0,0,0,0.0299522,0.0442713,0,0,0,0.0455827,0,0.027631,0.0359728,0,0.0216302,0,0,0.044461,0.0404622,0.0276858,0.0241557,0.0237272,0.0329776,0.026167,0.0380328,0.0440146,0.039144,0.0286726,0.0374606,0.0380067,0.0238999,0.0313672,0.00951166,0.0400792,0.0109792,0.0469355,0,0.0231126,0.0432302,0.0372583,0,0,0.0215696,0,0.00994825,0.0567075,0.0149615,0.0208658,0.0262556,0.0328434,0.0492229,0.0824095,0,0.0531372,0.0649451,0.0468555,0.0384324,0.0586939,0.0160878,0.00756039,0.0620641,0,0,0,0,0,0,0.04083,0,0.0117403,0,0.0427411,0
29,0,0,0,0,0,0,0.0292123,0.0439725,0,0,0,0.0432546,0,0.0277434,0.034301,0,0.0222369,0,0,0.0447618,0.0399594,0.0286436,0.0241278,0.0242958,0.0338928,0.0282604,0.0385544,0.0434587,0.0373759,0.0272281,0.0374295,0.0385849,0.0240901,0.0319623,0.0115916,0.0387351,0.0111348,0.0431676,0,0.0219102,0.0382735,0.0367908,0,0,0.021771,0,0.0101641,0.0586135,0.0189733,0.0267954,0.0256433,0.0334958,0.0453207,0.0782378,0.0761319,0.0486566,0.0696242,0.0508577,0.0409133,0.0620979,0.0136745,0.00747394,0.0637914,0,0,0,0,0,0,0.0408931,0,0.0117273,0,0.042252,0
30,0,0,0,0,0,0,0.0289054,0.043685,0,0,0,0.0421474,0,0.0276772,0.0338536,0,0.0225332,0,0,0.0448685,0.039418,0.029455,0.0237159,0.0244545,0.0342168,0.0288086,0.0387361,0.0438158,0.0363204,0.0256686,0.0368269,0.0381859,0.023785,0.0322222,0.0128336,0.0383442,0.0112143,0.0426763,0,0.0237163,0.036688,0.0367231,0,0,0.0217831,0,0.0101624,0.0588699,0.0198004,0.028062,0.0254562,0.0337013,0.045314,0.0782758,0.0809292,0.047939,0.0700367,0.0506584,0.0400673,0.0624658,0.0157524,0.00753508,0.0645911,0,0,0,0,0,0,0.0435481,0,0.0117183,0,0.0421755,0
31,0,0,0,0,0,0,0.0285368,0.043284,0,0,0,0.0409949,0,0.0278202,0.0331323,0,0.0229873,0,0,0.0451349,0.0389456,0.0307601,0.0233134,0.0248191,0.0343004,0.0295087,0.0387147,0.0438988,0.0357164,0.0250396,0.0361448,0.0373,0.0231003,0.0314305,0.0140636,0.0379205,0.0108274,0.042496,0,0.0255399,0.0358363,0.0367765,0,0,0.0220205,0,0.0102058,0.0589153,0.0197343,0.0286388,0.0258258,0.033992,0.0457629,0.0790189,0.0805253,0.0479345,0.0699844,0.0499564,0.0384934,0.062497,0.0194963,0.00759855,0.0653892,0,0,0,0,0,0,0.0466054,0,0.0120754,0,0.0418918,0
32,0,0,0,0,0,0,0.0282691,0.0428346,0,0,0,0.0404459,0,0.027568,0.0314468,0,0.0233176,0,0,0.0455701,0.0393249,0.0303212,0.0230477,0.0249747,0.0345476,0.0302337,0.0384811,0.043989,0.0356594,0.0251496,0.0353704,0.0364623,0.0222133,0.0300464,0.0145877,0.0376288,0.0106733,0.0408176,0,0.0217346,0.0360517,0.0368385,0,0,0.0223728,0,0.010274,0.0577329,0.0187811,0.0296947,0.026209,0.0340783,0.0471548,0.0805947,0.0807329,0.0483854,0.0707026,0.0515234,0.0385183,0.0622053,0,0.00758243,0.0658744,0,0,0,0,0,0,0.0435493,0,0.0123856,0,0.0417269,0
33,0,0,0,0,0,0,0.0277412,0.0423402,0,0,0,0.0392264,0,0.0268779,0.0306657,0,0.0238204,0,0,0.0457613,0.0382238,0.0292096,0.0233884,0.0248832,0.03466,0.03139,0.0376909,0.0441092,0.0360412,0.0243861,0.0348379,0.0357808,0.0216815,0.0285785,0.0158344,0.0369473,0.0110526,0.0414211,0,0.0276308,0.0343948,0.0370057,0,0,0.022992,0,0.0105317,0.0584894,0.0189815,0.0295879,0.02755,0.0347274,0.0480009,0.0812562,0.0814605,0.048457,0.0694997,0.0485277,0.0346945,0.0628055,0.0301077,0.00754773,0.0667455,0,0,0,0,0,0,0.0512931,0,0.0120801,0,0.041145,0
34,0,0,0,0,0,0,0.0274956,0.0416793,0,0,0,0.0382842,0,0.0263644,0.0299502,0,0.0232252,0,0,0.0403958,0.0374342,0.028928,0.0236279,0.0246559,0.0346676,0.0318984,0.0372778,0.044343,0.036397,0.0238672,0.0346532,0.0354465,0.0214743,0.0275668,0.016285,0.0365514,0.0199173,0.0407489,0,0.0272844,0.0337298,0.0373465,0,0,0.0235998,0,0.0108549,0.0582017,0.0181102,0.0300621,0.0287373,0.0352306,0.0491912,0.0827156,0.0825839,0.0491706,0.0694168,0.0478845,0.0337775,0.0631852,0.0345006,0.00748998,0.0672683,0,0,0,0,0,0,0.0523571,0,0,0,0.0406567,0
35,0,0,0,0,0,0,0.0270641,0.0418083,0,0,0,0.0369142,0,0.0261456,0,0,0.024515,0,0,0.0452685,0.0332882,0.0280288,0.0247944,0.0242679,0.0348782,0.0327677,0.0351628,0.0445445,0.0374226,0.0227445,0.0342928,0.0349615,0.0209358,0.0268188,0.0170531,0.0362366,0.0119992,0.0396964,0,0.0259482,0.0326116,0.0374966,0,0,0.0239548,0,0.0110332,0.0600583,0.0178139,0.029625,0.0317202,0.0356081,0.0513999,0.0844615,0.0847173,0.0514679,0.0687363,0.0469371,0.033291,0.0636394,0.0366826,0.00735061,0.0676252,0,0,0,0,0,0,0.0520335,0,0.0106302,0,0.0404783,0
36,0,0,0,0,0,0,0.0275025,0.0409022,0,0,0,0.0365664,0,0.0260895,0.0289565,0,0.0231079,0,0,0.0370472,0.0348494,0.026543,0.0245253,0.0244449,0.0349043,0.0337487,0.0360675,0.0446703,0.0370305,0.0233923,0.0343529,0.0353077,0.0210081,0.0267943,0.0170609,0.0358594,0,0.0367865,0,0.0234718,0.0329764,0.0374199,0,0,0.0242238,0,0.0111599,0.0581541,0.0162066,0.0315585,0.0306052,0.0359262,0.0523143,0.0854897,0.0846021,0.0506746,0.069604,0.0475444,0.0338045,0.0651173,0.0415361,0.00735548,0.068084,0,0,0,0,0,0,0.051747,0,0.0190434,0,0.0400682,0
37,0,0,0,0,0,0,0.0279528,0.0416762,0,0,0,0.0356847,0,0.0264577,0.0315341,0,0.0238113,0,0,0.0452174,0.0327356,0.0266126,0.0242816,0.0237318,0.0335088,0.0327613,0.0347097,0.0441286,0.0379571,0.0230795,0.0335589,0.0345863,0.0199678,0.0260049,0.0177487,0.0368099,0.0127973,0.0341946,0,0.0212906,0.0355688,0.0375204,0,0,0.0235849,0,0.0107893,0.0568379,0.0112164,0.0265509,0.0316116,0.0354187,0.0578462,0.092358,0,0.0561374,0.0666165,0.0439998,0.0319063,0.0643718,0.0488188,0.00728433,0.0662302,0,0,0,0,0,0,0.0501294,0,0.00978014,0,0.0409592,0
38,0,0,0,0,0,0,0.0275917,0.0411491,0,0,0,0.0347441,0,0.0265379,0.0285314,0,0.0248773,0,0,0.045917,0.0340578,0.0266322,0.0238665,0.0251876,0.0356714,0.0368384,0.0352266,0.0432286,0.0369569,0.0244563,0.0340348,0.0355687,0.0201718,0.0263687,0.0188516,0.0348521,0.0122554,0,0,0.0293421,0.0329832,0.0367651,0,0,0.0238339,0,0.0108717,0.0586292,0.0151739,0.0374549,0.0310007,0.0358984,0.0526035,0.0850005,0.0849087,0.0509146,0.0649232,0.0437063,0.0270998,0.060869,0.0740245,0.00715309,0.0686496,0,0,0,0,0,0,0.0598551,0,0.0106035,0,0.0403203,0
39,0,0,0,0,0,0,0.0275403,0.0409285,0,0,0,0.033205,0,0.0269568,0.0290912,0,0.0252852,0,0,0.0463477,0.0337319,0.0276102,0.0233812,0.0258619,0.0363401,0.0381687,0.0347109,0.0428633,0.036829,0.0249622,0.0338575,0.0358325,0.0196631,0.0263829,0.0206113,0.0345062,0.0117144,0,0,0.0352274,0.0323439,0.0364524,0,0,0.0238471,0,0.0108551,0.0591898,0.01541,0.0391337,0.0314818,0.036132,0.0524929,0.0845488,0.0848222,0.050793,0.0608836,0.0406847,0.022206,0.056878,0.113226,0.00712657,0.0694598,0,0,0,0,0,0,0.0722161,0,0.0114923,0,0.0401237,0
40,0,0,0,0,0,0,0.0270022,0.040522,0,0,0,0.0313274,0,0.0274232,0.0305734,0,0.0269322,0,0,0.0460608,0.0326048,0.0282976,0.0217323,0.027187,0.0355236,0.0388215,0.034226,0.0427544,0.03629,0.0252069,0.0344012,0.0369604,0.0196679,0.0262196,0.0222109,0.0334662,0.0114574,0,0,0.0463085,0.0299952,0.0371665,0,0,0.0229239,0,0.0121324,0.0604049,0.0158262,0.0382275,0.0322,0.0371324,0.0532314,0.0856772,0.0862582,0.0512254,0.0602114,0.0337775,0.0205673,0.061557,0.116277,0.00684479,0.0703184,0,0,0,0,0,0,0.0856866,0,0.0133358,0,0.0397342,0
41,0,0,0,0,0,0,0.0265764,0.0404746,0,0,0,0.0307669,0,0.0274271,0.0309746,0,0.0267276,0,0,0.0414881,0.0325278,0.028948,0.0215824,0.0272364,0.0356817,0.0391063,0.0338527,0.0427933,0.0364055,0.0251119,0.0342143,0.0370943,0.0189988,0.0256624,0.0233835,0.0335836,0.0214744,0,0,0.0466149,0.0300076,0.0369327,0,0,0.022969,0,0.0117207,0.0603086,0.0152075,0.0381991,0.032132,0.0369349,0.053872,0.0864047,0.0868243,0.0513004,0.0596348,0.0332191,0.0203819,0.0616768,0.119916,0.00729777,0.0706007,0,0,0,0,0,0,0.0884727,0,0,0,0.0398421,0
42,0,0,0,0,0,0,0.0268512,0.0401855,0,0,0,0.0300712,0,0.0273048,0.0303628,0,0.0263947,0,0,0.0471101,0.0334932,0.0292529,0.0222571,0.0262408,0.0371718,0.0404112,0.0331305,0.0419811,0.0370752,0.0254113,0.0335439,0.0361347,0.018533,0.0253632,0.0250971,0.0337669,0.0111642,0,0,0.0389196,0.0323479,0.0358817,0,0,0.02386,0,0.0107242,0.0597055,0.0135477,0.0409552,0.0319806,0.0358454,0.0532862,0.0846816,0.0852811,0.0509863,0.057958,0.0382504,0.0190914,0.0562045,0.13671,0.00735902,0.070762,0,0,0,0,0,0,0.0867681,0,0.0122805,0,0.0400056,0
43,0,0,0,0,0,0,0.0302244,0.0350346,0,0,0,0.0296751,0,0.027796,0.0320296,0,0.0276903,0,0,0.0466779,0.0316292,0.0281477,0.0206733,0.0274553,0.0373691,0.0409907,0.0320623,0.0418843,0.0367528,0.025058,0.0343604,0.0372237,0.0188772,0.0245441,0.0244939,0.0319292,0.0128613,0,0,0.0451805,0.0308235,0.038614,0,0,0.023506,0,0.0125766,0.0607719,0.0132966,0.0397527,0.0343418,0.0370451,0.0538163,0.0862302,0.0867668,0.0510672,0.0607487,0.0341375,0.02173,0.0638632,0.124212,0.00715656,0.0721784,0,0,0,0,0,0,0.0900784,0,0.013004,0,0.0382978,0.0452676
44,0,0,0,0,0,0,0.0302013,0.0351532,0,0,0,0.0294357,0,0.027717,0.0322868,0,0.0276346,0,0,0.0465751,0.0311266,0.0275908,0.0205063,0.0271891,0.0371578,0.0411068,0.0314306,0.0420788,0.037064,0.024876,0.0345728,0.0373507,0.0188439,0.0245121,0.0246904,0.031948,0.0132536,0,0,0.0451608,0.0314148,0.0385166,0,0,0.0232825,0,0.0125061,0.0606549,0.0125106,0.0404696,0.0347929,0.036908,0.0537741,0.0863069,0.0868475,0.0510944,0.0616115,0.0349643,0.0228548,0.0656143,0.125265,0.00732611,0.0719596,0,0,0,0,0,0,0.0905282,0,0.0126116,0,0.0383147,0.0451871
45,0,0,0,0,0,0,0.0302495,0.035348,0,0,0,0.0290605,0,0.0276469,0.0326481,0,0.0276163,0,0,0.0466089,0.0304764,0.0271097,0.0204644,0.0269799,0.0369107,0.0411305,0.0307797,0.0422319,0.0374898,0.0248961,0.0349874,0.0378022,0.0189925,0.0246409,0.0248187,0.032189,0.0131745,0,0,0.0450768,0.0318613,0.038409,0,0,0.0229772,0,0.0123506,0.0604809,0.0117038,0.0410388,0.0353193,0.0367468,0.0536217,0.0862178,0.0868978,0.0510585,0.062451,0.0356957,0.023807,0.0669421,0.125957,0.00748326,0.071724,0,0,0,0,0,0,0.0903371,0,0.0128821,0,0.0383111,0.0451122
46,0,0,0,0,0,0,0.0302181,0.0355941,0,0,0,0.0287175,0,0.0275152,0.0329614,0,0.0275047,0,0,0.0466152,0.0298981,0.0269862,0.0204075,0.026918,0.0365685,0.0411494,0.0302756,0.0419632,0.0378444,0.0249807,0.0351856,0.0378696,0.0189533,0.0244752,0.0248774,0.0321343,0.012745,0,0,0.0448161,0.0321642,0.0382763,0,0,0.0227589,0,0.0121104,0.0602081,0.011011,0.0412343,0.0357691,0.0366162,0.05361,0.0860663,0.0869138,0.0509772,0.063108,0.0362579,0.0244166,0.0677033,0.126546,0.00769477,0.0715245,0,0,0,0,0,0,0.089566,0,0.0134172,0,0.0382653,0.0449663
47,0,0,0,0,0,0,0.0301742,0.0357444,0,0,0,0.028437,0,0.0279403,0.0331634,0,0.0273543,0,0,0.0468393,0.029433,0.0272513,0.0204768,0.0267191,0.0361406,0.0412518,0.0296667,0.0414,0.0382022,0.0250523,0.0350902,0.0378015,0.0186681,0.0243375,0.0250178,0.031936,0.0123265,0,0,0.044375,0.032301,0.0381545,0,0,0.0226733,0,0.0119433,0.0601081,0.0105005,0.0411975,0.0361336,0.0365894,0.0535617,0.0857512,0.0867946,0.050767,0.0635957,0.0365704,0.0246917,0.0681531,0.126282,0.00776684,0.0715059,0,0,0,0,0,0,0.0886597,0,0.0139873,0,0.0383844,0.0447416
48,0,0,0,0,0,0,0.0304081,0.0359087,0,0,0,0.0283445,0,0.0276747,0,0,0.0258303,0,0,0.0473177,0.0284896,0.0287421,0.0225297,0.0247641,0.0371746,0.0407581,0.0280797,0.0413579,0.0398224,0.0243167,0.0335788,0.0360394,0.0174711,0.0242461,0.0263138,0.0330085,0.0113309,0,0,0.0379589,0.0336323,0.0373976,0,0,0.0236255,0,0.0104218,0.0617031,0.0104075,0.0424468,0.0374453,0.0357334,0.0528218,0.0833071,0.084864,0.0508538,0.0615307,0.0412303,0.0230021,0.0619891,0.137975,0.00833662,0.071415,0,0,0,0,0,0,0.0860496,0,0.0132408,0,0.0386788,0.0442942
49,0,0,0,0,0,0,0.0304481,0.0357572,0,0,0,0.0295443,0,0.0277483,0.032505,0,0.0260626,0,0,0.047342,0.0310551,0.0287314,0.0213855,0.0253318,0.0368818,0.0414995,0.0291836,0.0406001,0.0386859,0.0252567,0.0339121,0.0368958,0.0180276,0.0248931,0.0247747,0.0325541,0.0114898,0,0,0.0380508,0.0339374,0.0371118,0,0,0.0235507,0,0.0103144,0.0594288,0.00818803,0.0425488,0.0358578,0.0355209,0.0527756,0.0837054,0.0843395,0.0497645,0.0619418,0.0414204,0.023617,0.062067,0.138321,0.00836658,0.0712373,0,0,0,0,0,0,0.0870944,0,0.0131212,0,0.0387377,0.0440916
50,0,0,0,0,0,0,0.026205,0.0402763,0,0,0,0.0295625,0,0.0283741,0.0340025,0,0.026814,0,0,0.0464352,0.0292826,0.0294931,0.0200691,0.0259539,0.0347279,0.0399281,0.0282213,0.0402704,0.0384223,0.0255231,0.0343176,0.0372847,0.0181588,0.0246031,0.0241361,0.0327337,0.0122675,0,0,0.0432149,0.0324027,0.0364535,0,0,0.0218007,0,0.0112581,0.0594068,0.00926389,0.0398312,0.0358444,0.0358983,0.054026,0.086538,0.0867133,0.0503718,0.0642342,0.0366164,0.0260154,0.0676563,0.124944,0.00765816,0.0700623,0,0,0,0,0,0,0.0882745,0,0.0133282,0,0.0398858,0
51,0,0,0,0,0,0,0.029862,0.0353202,0,0,0,0.0303118,0,0.0284796,0.0344283,0,0.0271581,0,0,0.0464844,0.0286443,0.0301987,0.0193965,0.0258227,0.0358901,0.0405516,0.0275071,0.0397889,0.0385357,0.0262242,0.0342609,0.0369497,0.0181111,0.0245593,0.0230805,0.0322379,0.0126776,0,0,0.0427274,0.0327386,0.0383467,0,0,0.0224015,0,0.0118203,0.0597659,0.00960755,0.0394706,0.0371002,0.0364505,0.0536381,0.0862391,0.0860414,0.0498126,0.0644946,0.0368791,0.0261284,0.0670573,0.124346,0.00763632,0.0711577,0,0,0,0,0,0,0.0881294,0,0.0134647,0,0.0384989,0.0435702
52,0,0,0,0,0,0,0.0298247,0.0351161,0,0,0,0.030665,0,0.0286193,0.034732,0,0.026996,0,0,0.0463215,0.0286128,0.0313864,0.0191208,0.0254823,0.0359543,0.0402055,0.0270415,0.0393109,0.0386781,0.0264731,0.0339795,0.036632,0.0181774,0.024538,0.0225219,0.0324341,0.012894,0,0,0.0426441,0.0329676,0.0385189,0,0,0.0223602,0,0.0117941,0.0597261,0.00971048,0.0387256,0.0373436,0.036458,0.0535807,0.0864047,0.0857344,0.0496182,0.064355,0.0368392,0.0261195,0.0660647,0.123343,0.00757625,0.0709506,0,0,0,0,0,0,0.087874,0,0.0130899,0,0.0384979,0.0434804
53,0,0,0,0,0,0,0.0297846,0.0349564,0,0,0,0.0309446,0,0.0288111,0.0349705,0,0.026656,0,0,0.0461759,0.0286487,0.0322248,0.0188872,0.0251834,0.0359626,0.039824,0.0264515,0.0388519,0.0388237,0.0266115,0.033824,0.0364993,0.0178881,0.0245436,0.022185,0.032486,0.0128861,0,0,0.0429147,0.0332288,0.0386349,0,0,0.0223326,0,0.0117272,0.0595857,0.00978259,0.037874,0.0375909,0.0364227,0.053616,0.0864572,0.0853596,0.0494242,0.0644525,0.0365924,0.0260466,0.0651605,0.121951,0.0075076,0.0705867,0,0,0,0,0,0,0.0872914,0,0.0129518,0,0.0385472,0.0434848
54,0,0,0,0,0,0,0.0297709,0.0348753,0,0,0,0.0313629,0,0.0289332,0.0349386,0,0.0263566,0,0,0.0459292,0.0286831,0.0327412,0.018595,0.0250412,0.0357786,0.0395728,0.0258881,0.0384085,0.0390101,0.0268581,0.0338393,0.0360848,0.0176319,0.0246305,0.0219794,0.03266,0.0128666,0,0,0.0471159,0.0334996,0.0386919,0,0,0.0222906,0,0.0116215,0.0596924,0.00968421,0.0367688,0.0377153,0.0364098,0.0535071,0.0858589,0.0847466,0.0491438,0.0643622,0.0358395,0.0265522,0.0655639,0.11683,0.00742256,0.0701751,0,0,0,0,0,0,0.089656,0,0.0127354,0,0.0387018,0.0434491
55,0,0,0,0,0,0,0.0297556,0.0348202,0,0,0,0.031787,0,0.0288735,0.0351499,0,0.0262019,0,0,0.0457866,0.0284017,0.0329977,0.0183661,0.0248003,0.0355266,0.0393254,0.0251171,0.0380339,0.0393368,0.0271058,0.0335544,0.0357537,0.0172557,0.0247082,0.0215837,0.0328642,0.0128637,0,0,0.0475262,0.0338481,0.0386974,0,0,0.0221881,0,0.0115506,0.0595015,0.0097629,0.0353704,0.0380505,0.0364325,0.0537025,0.0863778,0.0845366,0.0490204,0.0639728,0.035488,0.0263945,0.0651224,0.115402,0.00739258,0.0698519,0,0,0,0,0,0,0.0890106,0,0.0126037,0,0.0387852,0.0433549
56,0,0,0,0,0,0,0.0303418,0.0348024,0,0,0,0.0332724,0,0.0290899,0.0341024,0,0.0249749,0,0,0.0465546,0.0296826,0.0328762,0.0195392,0.0241234,0.0360148,0.0396352,0.0258249,0.0384447,0.0396292,0.0268466,0.0329691,0.0351241,0.0166766,0.0248917,0.0203451,0.0340203,0.011454,0,0,0.0432392,0.0356404,0.0375595,0,0,0.0231788,0,0.0100932,0.059416,0.00841122,0.0360671,0.0375151,0.0354496,0.0526924,0.0838933,0.0821055,0.0487014,0.0624486,0.038887,0.0244068,0.0605047,0.12511,0.00783952,0.0693193,0,0,0,0,0,0,0.0890734,0,0.0127181,0,0.0390362,0.0434836
57,0,0,0,0,0,0,0.0296992,0.0348543,0,0,0,0.032596,0,0.0293307,0.0355114,0,0.0262058,0,0,0.0461858,0.0281864,0.0329178,0.0182792,0.0243562,0.0347816,0.0390783,0.0240569,0.0373362,0.0399249,0.0274894,0.0331702,0.0352495,0.0169017,0.0250287,0.0205808,0.0337034,0.011793,0,0,0.047803,0.034729,0.0385118,0,0,0.0220475,0,0.011376,0.0591518,0.0100462,0.0328878,0.0385326,0.0362595,0.0542108,0.0876438,0.0845236,0.049238,0.0640435,0.0353946,0.0264302,0.0648045,0.113352,0.00749876,0.0691865,0,0,0,0,0,0,0.0882024,0,0.0138449,0,0.0388786,0.0437566
58,0,0,0,0,0,0,0.0298093,0.0348971,0,0,0,0.0330217,0,0.0294151,0.0356785,0,0.0259368,0,0,0.0460344,0.0282712,0.0330848,0.0181094,0.0242683,0.0344427,0.0388392,0.0236728,0.0370061,0.0401408,0.0277404,0.0330535,0.03493,0.0168433,0.0252745,0.0202023,0.0339803,0.012081,0,0,0.0476009,0.0351176,0.0385082,0,0,0.0219627,0,0.0113315,0.0590357,0.0102565,0.0317449,0.0387405,0.036117,0.0544291,0.0881471,0.0844729,0.0494261,0.0645066,0.0358588,0.0266632,0.0649119,0.112815,0.00742478,0.0689168,0,0,0,0,0,0,0.0878924,0,0.0133852,0,0.0390088,0.043935
