Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRB,T10,x69,x70,x71,x72,LASI,
156,0,0,0,0,0,0,0.0314872,0,0,0,0.031567,0,0.0278094,0,0,0.0189806,0,0,0.0190612,0.0435733,0.047994,0.0154958,0.0261137,0.036344,0.0388823,0.0448098,0.0542972,0.0378706,0.0206819,0.0344373,0.0333848,0.024655,0.0287707,0.0512476,0.0454118,0.00363241,0.0288822,0,0.0202238,0.0474135,0.0389238,0,0,0.0101645,0,0,0.0276706,0.0530417,0.025637,0.0141959,0.0259722,0.0321293,0.0349812,0.0496083,0.0820455,0.084806,0.0589798,0.0659402,0.0487898,0.0420215,0.0615405,0.012743,0.0583642,0.0148746,0.0711298,0,0,0,0,0.0333973,0
157,0,0,0,0,0,0,0.0315804,0,0,0,0.0315547,0,0.027482,0,0,0.0188203,0,0,0.0190592,0.0444128,0.0462518,0.0158742,0.0257488,0.0360159,0.0385213,0.045059,0.0545768,0.0377806,0.0212663,0.0348791,0.033873,0.0248043,0.0291641,0.0457362,0.0456551,0.00365677,0.0294787,0,0.0206342,0.0471899,0.0390752,0,0,0.0101147,0,0,0.0277268,0.0535986,0.0258507,0.0142443,0.026277,0.0321334,0.0348097,0.049398,0.0818128,0.084663,0.0589707,0.0663959,0.0486629,0.0424331,0.0616428,0.0122207,0.0584196,0.0149067,0.0708681,0,0,0,0,0.0338434,0
158,0,0,0,0,0,0,0.0315834,0,0,0,0.0330932,0,0.0274005,0,0,0.0186926,0,0,0.019006,0.0456085,0.0444257,0.0157406,0.0252793,0.0356064,0.0380621,0.0451364,0.0549832,0.0376996,0.0220306,0.0350364,0.0342038,0.024562,0.0295413,0.0379934,0.0458706,0.00366383,0.030162,0,0.0209691,0.0467013,0.0393311,0,0,0.0101172,0,0,0.0278099,0.0541741,0.0259253,0.0140913,0.026953,0.0321275,0.0347668,0.0490742,0.0813871,0.0843705,0.0588547,0.0666908,0.0488374,0.0422894,0.0617036,0.0112891,0.0583408,0.0148943,0.0707458,0,0,0,0,0.0343741,0
159,0,0,0,0,0,0,0.0315963,0,0,0,0.0360286,0,0.0279661,0,0,0.0184589,0,0,0.0188128,0.0464598,0.0428495,0.0158733,0.0242553,0.0350577,0.0375749,0.0447378,0.0546083,0.0376583,0.023422,0.035409,0.0347425,0.0245643,0.0303692,0.0304156,0.046106,0.00363521,0.0309473,0,0.0213076,0.0459751,0.0395353,0,0,0.0101675,0,0,0.0277314,0.0549453,0.0260479,0.0139498,0.0275984,0.0321658,0.0347554,0.0487607,0.0807799,0.0840617,0.0587028,0.0668469,0.0492162,0.0423918,0.0616733,0.0102843,0.0582834,0.0149204,0.0706596,0,0,0,0,0.0342019,0
160,0,0,0,0,0,0,0.0315921,0,0,0,0.0401897,0,0.028472,0,0,0.0182664,0,0,0.0187432,0.0468463,0.0418318,0.0163737,0.0229841,0.0344219,0.0370167,0.0441699,0.0537628,0.0377399,0.0252926,0.0361056,0.0356524,0.0248446,0.0314969,0.0233793,0.0461422,0.00356931,0.0317233,0,0.0216984,0.0451028,0.0396998,0,0,0.0101944,0,0,0.0276751,0.0558116,0.0262902,0.0138535,0.028198,0.0320536,0.0346353,0.0486127,0.0801171,0.083673,0.0585813,0.0669993,0.0496695,0.0427108,0.0617184,0.00965667,0.0583355,0.0148831,0.0704732,0,0,0,0,0.0334903,0
161,0,0,0,0,0,0,0.0316778,0,0,0,0.043978,0,0.0284454,0,0,0.0177003,0,0,0.0185755,0.0431253,0.0409818,0.0192939,0.0220884,0.0343287,0.0355562,0.0419167,0.0519187,0.0386614,0.0262958,0.0369808,0.0363131,0.0253404,0.0321282,0.0185457,0.0462459,0.00343899,0.0344635,0,0.0229047,0.0435868,0.0399873,0,0,0.010044,0,0,0.0276986,0.0589085,0.02697,0.0141764,0.0291594,0.033579,0.034224,0.0490088,0.0791846,0.0837489,0.0599741,0.0665988,0.0492477,0.0423147,0.0613274,0.00730296,0.0585081,0.0149181,0.0699779,0,0,0,0,0,0
162,0,0,0,0,0,0,0.0320022,0,0,0,0.0473008,0,0.0282195,0,0,0.0177743,0,0,0.0185843,0.0454075,0.0406094,0.0195134,0.0219019,0.0330895,0.0356256,0.0433943,0.0504229,0.0385323,0.0289101,0.0387073,0.0373463,0.026962,0.0332968,0.0154423,0.0463777,0.00335569,0.034361,0,0.0225857,0.0431233,0.0398304,0,0,0.00984933,0,0,0.0277553,0.0577757,0.026505,0.0141798,0.0297931,0.0311185,0.0339831,0.0483156,0.078969,0.0830093,0.0584045,0.0674347,0.0500388,0.0431707,0.0622933,0.00729647,0.0587502,0.0149465,0.0694263,0,0,0,0,0.0324655,0
163,0,0,0,0,0,0,0.0323696,0,0,0,0.0479351,0,0.0281705,0,0,0.0176054,0,0,0.0184854,0.0439437,0.0404477,0.0213501,0.0234854,0.032579,0.0348864,0.0433751,0.0483505,0.0389038,0.029694,0.0398763,0.0377016,0.0281583,0.0334794,0.0152576,0.0467865,0.00325292,0.0357208,0,0.0229485,0.0422799,0.0399144,0,0,0.00975744,0,0,0.0279066,0.0587627,0.0267709,0.0146155,0.0307152,0.0306252,0.0335917,0.0482407,0.0784876,0.0827038,0.0583038,0.0676626,0.0502312,0.0432852,0.0623748,0.00652665,0.0593195,0.0150356,0.0688345,0,0,0,0,0.0322767,0
164,0,0,0,0,0,0,0.0326377,0,0,0,0.047751,0,0.0287369,0,0,0.0174616,0,0,0.0184459,0.0427712,0.0403505,0.0226194,0.0248879,0.032171,0.0342817,0.0431106,0.0468666,0.0392237,0.0296255,0.0404258,0.0379248,0.0285809,0.0330247,0.0152931,0.0470361,0.00315596,0.0367805,0,0.023203,0.041431,0.0399746,0,0,0.00973804,0,0,0.0280183,0.0595664,0.0268206,0.0149577,0.0313519,0.0301851,0.0332427,0.0483923,0.078044,0.0823409,0.0581204,0.0678099,0.0504929,0.0435228,0.062554,0.00602271,0.0597882,0.0150953,0.0683937,0,0,0,0,0.0319059,0
165,0,0,0,0,0,0,0.0327647,0,0,0,0.0473693,0,0.0290557,0,0,0.0173591,0,0,0.0184339,0.0421191,0.0403671,0.0233845,0.0256954,0.0319652,0.0338122,0.0426775,0.0458498,0.039385,0.0293242,0.0408295,0.0382884,0.0285974,0.0327363,0.0153648,0.0471947,0.00312591,0.0370152,0,0.023212,0.0408903,0.0400257,0,0,0.00970946,0,0,0.0282543,0.0600031,0.0267504,0.0152288,0.0315677,0.029688,0.032849,0.0483229,0.0777393,0.082124,0.0578488,0.0679199,0.0506688,0.0438062,0.0628387,0.00590798,0.059892,0.0149052,0.0680331,0,0,0,0,0.0312056,0
