Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRB,T10,x66,x67,x68,x69,x70,CLAV
66,0,0,0,0,0,0,0.0192255,0,0,0,0.0475412,0,0.0296321,0.0285471,0,0,0.0219738,0,0,0.0348187,0.0418095,0.0400239,0.0276306,0.0275524,0.0341257,0.030604,0.0411958,0.0444153,0.0388139,0.0284164,0.0415069,0.0384922,0.0287064,0.0332412,0.0157776,0.041241,0.0171139,0.0476359,0.0325461,0.043754,0.0421703,0,0,0.0112435,0,0,0.0258368,0.0619398,0.0173408,0.0309514,0.0260282,0.0321852,0.0480328,0.0773779,0.0845699,0.0579916,0.0669674,0.0507418,0.0403182,0.0630553,0.00695668,0,0.0146931,0.0629415,0,0,0,0,0,0
67,0,0,0,0,0,0,0.0269996,0,0,0,0.0478852,0,0.0288576,0.0289844,0,0,0.0211815,0,0,0.0344761,0.0410635,0.0375179,0.026448,0.028153,0.0295323,0.0305156,0.0410742,0.0433101,0.0364122,0.0285293,0.0422721,0.0394339,0.0301414,0.0344969,0.0150794,0.0429647,0.0173598,0.049961,0.0327437,0.0445929,0.0372683,0,0,0.0119226,0,0,0.0252084,0.0625773,0.0202628,0.0312364,0.0263452,0.0376348,0.0478039,0.0770426,0.0840044,0.0578458,0.0673288,0.0508647,0.040147,0.0626059,0.00809141,0.06697,0.0150807,0.0661809,0,0,0,0,0,0
68,0,0,0,0,0,0,0.027055,0,0,0,0.0479014,0,0.0290728,0.0287279,0,0,0.0210196,0,0,0.0344987,0.0407349,0.0359537,0.0261291,0.0276574,0.0293317,0.0308438,0.041806,0.0440311,0.0353197,0.0276403,0.0415342,0.0386761,0.0304877,0.0353081,0.0146673,0.0426742,0.0174606,0.0510362,0.0325322,0.0451136,0.0370674,0,0,0.0121082,0,0,0.0253774,0.0621607,0.0212128,0.0309333,0.0265628,0.0376557,0.0477339,0.0778634,0.0840884,0.057751,0.0673183,0.0505194,0.0394773,0.0617331,0.00845963,0.0667369,0.0147697,0.0662862,0,0,0,0,0,0
69,0,0,0,0,0,0,0.027138,0,0,0,0.0468191,0,0.0282511,0.0284905,0,0,0.0209958,0,0,0.0344932,0.0400861,0.0332284,0.0264606,0.0271675,0.0295247,0.0309875,0.0423723,0.0447759,0.0344991,0.0265865,0.040978,0.0382893,0.0304048,0.0356628,0.0149907,0.0426339,0.0174586,0.052033,0.0323015,0.0451127,0.0369542,0,0,0.0118181,0,0,0.0254352,0.0619281,0.0222568,0.0307763,0.0264312,0.0373789,0.0474106,0.0784339,0.0845434,0.0576728,0.0674366,0.0502044,0.0387787,0.0608282,0.00880958,0.0669304,0.0148015,0.0662923,0,0,0,0,0,0
70,0,0,0,0,0,0,0.0273336,0,0,0,0.0442284,0,0.0264386,0.0284339,0,0,0.021026,0,0,0.0345284,0.0393842,0.0305403,0.0274383,0.0268303,0.0298532,0.0309678,0.0420373,0.0449448,0.0342433,0.0260854,0.0409116,0.0389018,0.0293229,0.0346908,0.0160173,0.0427832,0.0174363,0.0527823,0.0321634,0.0446828,0.0368673,0,0,0.0112231,0,0,0.0254887,0.0619049,0.0235015,0.0307847,0.0259612,0.0369283,0.0472515,0.0789429,0.0848225,0.0573879,0.0676595,0.049906,0.0380496,0.059959,0.00885615,0.0674469,0.0149181,0.0662581,0,0,0,0,0,0
71,0,0,0,0,0,0,0.0275062,0,0,0,0.0411318,0,0.0257937,0.0291073,0,0,0.0210043,0,0,0.0345676,0.0392348,0.0287885,0.0284187,0.02681,0.0302106,0.0308931,0.0407026,0.0443549,0.0346452,0.0265211,0.0411558,0.0399749,0.0279056,0.0331099,0.0161512,0.0429357,0.0174189,0.0532728,0.0324687,0.0437472,0.0367723,0,0,0.0106624,0,0,0.0255446,0.0620216,0.0247806,0.0312616,0.0251143,0.0364388,0.0472597,0.079341,0.0848398,0.0569593,0.0680643,0.0496434,0.0373623,0.0593497,0.0085875,0.0680836,0.0149744,0.0663443,0,0,0,0,0,0
72,0,0,0,0,0,0,0.0275596,0,0,0,0.0397062,0,0.0262987,0.0298298,0,0,0.0209608,0,0,0.0345623,0.0396785,0.0275235,0.0291218,0.0268811,0.0305261,0.0308293,0.0389916,0.0434485,0.0356239,0.0278217,0.0410759,0.0405615,0.0268578,0.0320978,0.0155089,0.0429837,0.0174007,0.0538268,0.0334407,0.0423323,0.0367688,0,0,0.0102569,0,0,0.0257237,0.0622139,0.0259447,0.0321505,0.024154,0.0361291,0.0471335,0.079731,0.0846271,0.0561515,0.0684518,0.0493171,0.0366951,0.0591362,0.00819038,0.0686973,0.0150794,0.0666817,0,0,0,0,0,0
73,0,0,0,0,0,0,0.0274661,0,0,0,0.0394723,0,0.0267882,0.0303845,0,0,0.0209477,0,0,0.0345535,0.0399132,0.0265128,0.0296285,0.0271212,0.030762,0.0308492,0.0377568,0.0427385,0.0364166,0.029297,0.0407044,0.0404522,0.0263708,0.0319331,0.0143736,0.0429396,0.0174041,0.054385,0.0347584,0.0406647,0.0367746,0,0,0.0100778,0,0,0.0258706,0.0625045,0.0270056,0.0332563,0.0233395,0.0359951,0.0470467,0.0801562,0.0844208,0.055144,0.0687096,0.0490646,0.0359879,0.0593218,0.00770219,0.069021,0.0151753,0.0672137,0,0,0,0,0,0
74,0,0,0,0,0,0,0.0273318,0,0,0,0.0397919,0,0.0269076,0.0308321,0,0,0.0210178,0,0,0.0345362,0.0393887,0.0258785,0.0297509,0.0275112,0.0310889,0.0310829,0.0375999,0.0422644,0.0360062,0.0299775,0.040158,0.039915,0.0261599,0.0322812,0.0129982,0.0428825,0.0174338,0.0539482,0.0361775,0.0390706,0.0367469,0,0,0.00997862,0,0,0.025914,0.062876,0.0281049,0.0346026,0.022828,0.036048,0.0472351,0.0807194,0.0844034,0.0542038,0.0689539,0.0488878,0.0352268,0.0594348,0.00746807,0.069138,0.0152213,0.0679126,0,0,0,0,0,0
75,0,0,0,0,0,0,0.027115,0,0,0,0.0406642,0,0.0267893,0.0314474,0,0,0.0211145,0,0,0.0346073,0.0386321,0.0264068,0.0291949,0.0278266,0.0315627,0.0315417,0.0383033,0.0420216,0.034497,0.0297638,0.0395836,0.0394735,0.0260252,0.0329933,0.0113715,0.0425985,0.0175298,0.0530505,0.037389,0.0376374,0.0366509,0,0,0.00994726,0,0,0.0258857,0.0631157,0.0292519,0.0362822,0.022471,0.0361847,0.0474863,0.0813683,0.0844682,0.053272,0.0693682,0.0487548,0.0338862,0.0591603,0.00964882,0.0685656,0.0152089,0.0687618,0,0,0,0,0,0
