Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRB,T10,x66,x67,x68,x69,x70,CLAV
96,0,0,0,0,0,0,0.0296118,0,0,0,0.0445388,0,0.0296371,0.0341351,0,0,0.0242348,0,0,0.0347323,0.0257261,0.0322871,0.0295786,0.0277988,0.0327292,0.0396437,0.0291645,0.0357715,0.035939,0.0269144,0.0361254,0.0352702,0.0229206,0.0294896,0.011407,0.0364226,0.0186156,0.037126,0.0331094,0.0268067,0.0384332,0,0,0.0172064,0,0,0.0236703,0.0628465,0.0160019,0.0453721,0.0321176,0.0434135,0.05588,0.0898404,0.0901953,0.0540901,0.0671993,0.0423138,0.0268285,0.0635941,0.0621747,0.0570431,0.013318,0.077498,0,0,0,0,0,0.0323652
97,0,0,0,0,0,0,0.0251053,0,0,0,0.0440382,0,0.029903,0.0346486,0,0,0.0240036,0,0,0.0347606,0.0251327,0.0322182,0.0293668,0.0276831,0.0326046,0.0402067,0.0286244,0.0357894,0.0362871,0.0265938,0.0358079,0.0348767,0.0226711,0.0292553,0.0113434,0.0382479,0.018003,0.0383151,0.0330711,0.0272172,0.037878,0,0,0.0149673,0,0,0.0242685,0.0624445,0.0148517,0.0445195,0.0326008,0.0414877,0.0562102,0.0902889,0.0904103,0.0543809,0.068257,0.043168,0.0277214,0.06425,0.0610186,0.0598464,0.0138953,0.0759729,0,0,0,0,0,0
98,0,0,0,0,0,0,0.0299511,0,0,0,0.0436528,0,0.0300714,0.0349622,0,0,0.0240145,0,0,0.0346573,0.0248496,0.0324165,0.0293313,0.0275878,0.0324737,0.0393954,0.0282015,0.0357825,0.0365436,0.0264518,0.0355271,0.0345591,0.0223767,0.0291433,0.0114061,0.0369033,0.0185312,0.0395685,0.0330801,0.0276523,0.0384489,0,0,0.0173829,0,0,0.0239166,0.0620527,0.014309,0.0442372,0.0328004,0.0437055,0.0559456,0.0901945,0.0901539,0.0539595,0.0696228,0.0444269,0.0289189,0.0651742,0.0602285,0.0595162,0.013516,0.0771976,0,0,0,0,0,0.0319263
99,0,0,0,0,0,0,0.0226861,0,0,0,0.0428844,0,0.0306765,0.0344303,0,0,0.0248786,0,0,0.0349973,0.0255807,0.0339917,0.0306173,0.0265725,0.0349829,0.0383858,0.0285538,0.0367692,0.0372502,0.0257616,0.0345121,0.0334809,0.0215601,0.0287843,0.0117107,0.0350597,0.018483,0.0403797,0.0334555,0.028636,0.0412854,0,0,0.0138522,0,0,0.0236274,0.0604328,0.0108566,0.0431847,0.0336955,0.038381,0.0564887,0.0909769,0.0908957,0.0543286,0.0703199,0.0454299,0.0301518,0.0658125,0.0605838,0,0.0133378,0.0739529,0,0,0,0,0,0.0367825
100,0,0,0,0,0,0,0.0169985,0,0,0,0.0420336,0,0.0307051,0.0349411,0,0,0.024583,0,0,0.0351387,0.0253001,0.0343402,0.0304523,0.0263064,0.0348987,0.0395144,0.028,0.0368037,0.0376588,0.0256618,0.0342094,0.0332264,0.0211157,0.0284943,0.0119665,0.0369523,0.0178536,0.0407028,0.0335802,0.028713,0.0414754,0,0,0.0121823,0,0,0.0246499,0.0599667,0.00950463,0.0420401,0.0343627,0.0364142,0.0568266,0.0914627,0.0912348,0.054772,0.0709281,0.0462663,0.0309348,0.0662657,0.0605428,0,0.0140109,0.072112,0,0,0,0,0,0
101,0,0,0,0,0,0,0.017079,0,0,0,0.0412853,0,0.0307071,0.0353622,0,0,0.024558,0,0,0.0351127,0.0251647,0.0344161,0.030345,0.0260963,0.0346344,0.0394157,0.0274187,0.0367728,0.0380549,0.0256923,0.0339681,0.0331041,0.0207357,0.0282537,0.0122401,0.0372944,0.0178151,0.0407238,0.0334921,0.0289202,0.0415478,0,0,0.0121297,0,0,0.0247127,0.0596579,0.00877863,0.0409131,0.0346117,0.0364515,0.0568218,0.0916212,0.0910921,0.0548536,0.0717947,0.0470633,0.0312251,0.0667334,0.0614948,0,0.0140309,0.0718107,0,0,0,0,0,0
102,0,0,0,0,0,0,0.0259139,0,0,0,0.0408266,0,0.0301109,0.0367876,0,0,0.0235679,0,0,0.0346938,0.0240615,0.0333928,0.0287014,0.0267188,0.0314341,0.0396552,0.0260646,0.0357463,0.0378826,0.0263734,0.0346628,0.0339567,0.0209973,0.0283118,0.0124442,0.0392496,0.0179086,0.0409582,0.0331485,0.0284399,0.0378598,0,0,0.015262,0,0,0.024705,0.0607067,0.0110569,0.0401926,0.033827,0.0420148,0.0562757,0.0909658,0.0904167,0.0543388,0.0730557,0.0479678,0.0318463,0.067259,0.0622335,0.0634972,0.014008,0.0749039,0,0,0,0,0,0
103,0,0,0,0,0,0,0.0172595,0,0,0,0.0401329,0,0.0306605,0.0364131,0,0,0.0244605,0,0,0.035055,0.0248211,0.0347328,0.0299919,0.0256403,0.0341005,0.0390065,0.0265977,0.0369085,0.0385234,0.0255705,0.0336392,0.032867,0.0202771,0.0278922,0.012839,0.0379357,0.0176837,0.0404913,0.0330019,0.0296115,0.0416873,0,0,0.0119756,0,0,0.0246661,0.0593578,0.00755867,0.0386155,0.0350848,0.0365442,0.0572575,0.091918,0.0913601,0.0551577,0.0735747,0.0486515,0.0323568,0.0677819,0.0661486,0,0.0139952,0.0710521,0,0,0,0,0,0
104,0,0,0,0,0,0,0.0258034,0,0,0,0.0398183,0,0.0301505,0.0379848,0,0,0.0234057,0,0,0.0347113,0.0238159,0.0336523,0.028327,0.0265568,0.0310257,0.0390715,0.025383,0.0359572,0.0381928,0.0261022,0.0342893,0.0335507,0.0207099,0.0279711,0.0128601,0.0397847,0.0178116,0.0402412,0.0326137,0.029435,0.037971,0,0,0.0150165,0,0,0.0246142,0.0605243,0.00972913,0.0382493,0.0342891,0.0418912,0.0568057,0.0918345,0.0906395,0.0549158,0.0747866,0.0498721,0.0334769,0.0686363,0.0674965,0.0621284,0.0139512,0.0738958,0,0,0,0,0,0
105,0,0,0,0,0,0,0.0256816,0,0,0,0.0396618,0,0.0302,0.038704,0,0,0.0232598,0,0,0.0347241,0.0237496,0.0340387,0.0281173,0.0266359,0.0308369,0.0387501,0.0251696,0.0360161,0.0381934,0.0259562,0.0341539,0.0333306,0.0206095,0.0278852,0.0130782,0.0400384,0.0177698,0.0398002,0.0320269,0.0300364,0.0380821,0,0,0.0148457,0,0,0.0245389,0.0604723,0.00918395,0.036701,0.0344637,0.0417743,0.0571608,0.0925527,0.0906582,0.0554043,0.0752743,0.0510455,0.0346528,0.0692354,0.0690191,0.0609533,0.013917,0.0733574,0,0,0,0,0,0
106,0,0,0,0,0,0,0.0174834,0,0,0,0.0395985,0,0.0308611,0.0383456,0,0,0.0240172,0,0,0.0350562,0.0244987,0.03555,0.0293773,0.0258537,0.033261,0.0381211,0.0257801,0.0370152,0.0386302,0.0252278,0.0331988,0.0322188,0.0198688,0.0276119,0.0133989,0.0387887,0.0175612,0.0394412,0.0314917,0.0313255,0.0419051,0,0,0.0117848,0,0,0.0246556,0.0592384,0.00641843,0.0341604,0.0355528,0.0365732,0.0583872,0.0939101,0.0916041,0.0564886,0.0752567,0.0518953,0.0358723,0.0695035,0.0704169,0,0.0140043,0.0696231,0,0,0,0,0,0
107,0,0,0,0,0,0,0.0260217,0,0,0,0.0396627,0,0.0305046,0.0396973,0,0,0.0230344,0,0,0.0346625,0.0237761,0.0347507,0.0277724,0.0266173,0.0304646,0.0382678,0.024574,0.0359442,0.0382629,0.0258648,0.0338185,0.0327779,0.0203773,0.0277755,0.0133561,0.0404838,0.0176977,0.0389821,0.0304641,0.0315243,0.0381014,0,0,0.0147458,0,0,0.0247451,0.060207,0.00825543,0.032991,0.0346745,0.0418171,0.0584234,0.0940245,0.091392,0.0566176,0.0759662,0.0530323,0.0373361,0.069759,0.0680757,0.0621901,0.01404,0.0726496,0,0,0,0,0,0
108,0,0,0,0,0,0,0.0261222,0,0,0,0.0399171,0,0.0306117,0.0399887,0,0,0.0228545,0,0,0.0345881,0.0239215,0.0349243,0.0276573,0.0265992,0.0303969,0.038072,0.0242274,0.0357911,0.0383653,0.0259321,0.0336991,0.0325698,0.0203917,0.0278247,0.013316,0.0404926,0.0176341,0.0381509,0.029471,0.0324272,0.0381533,0,0,0.0145334,0,0,0.0248608,0.0599416,0.00778285,0.0312447,0.0347417,0.0416867,0.059013,0.0948225,0.0919902,0.0575058,0.0763238,0.0537135,0.0384627,0.0697915,0.0651781,0.0618272,0.0141055,0.0722933,0,0,0,0,0,0
109,0,0,0,0,0,0,0.0178898,0,0,0,0.0402098,0,0.0311636,0.0391678,0,0,0.0235139,0,0,0.0349125,0.0247995,0.0361154,0.0290358,0.0258653,0.0328122,0.0375628,0.024713,0.0365044,0.0388541,0.0254844,0.0329371,0.0316333,0.0198276,0.0277636,0.0133549,0.0390111,0.0174202,0.0372896,0.0287392,0.033675,0.0420694,0,0,0.0115683,0,0,0.0248797,0.0585229,0.00576077,0.0287025,0.0356667,0.0365202,0.060199,0.0961548,0.0933018,0.0590194,0.0761004,0.0539358,0.0392884,0.0694307,0.0619376,0,0.0141506,0.0686366,0,0,0,0,0,0
110,0,0,0,0,0,0,0.0264913,0,0,0,0.0410429,0,0.0307479,0.0398624,0,0,0.0226157,0,0,0.0345599,0.0247497,0.0352264,0.0273464,0.0267377,0.0304261,0.0378127,0.0234656,0.0350525,0.0385423,0.0264558,0.0337954,0.0323986,0.0203002,0.0281837,0.0132515,0.0408288,0.0175854,0.0375684,0.0285444,0.0340808,0.0381856,0,0,0.0143641,0,0,0.0248416,0.0592577,0.00712613,0.0277674,0.0343998,0.0415517,0.059878,0.0959276,0.0930969,0.059648,0.076458,0.0544758,0.0406241,0.0691545,0.0539782,0.063125,0.0141313,0.0718402,0,0,0,0,0,0
111,0,0,0,0,0,0,0.0183043,0,0,0,0.0418274,0,0.0313927,0.0385189,0,0,0.0233698,0,0,0.0349392,0.0261067,0.0364306,0.0288501,0.026125,0.0330248,0.037391,0.0241589,0.03549,0.0389587,0.0263076,0.0332125,0.031691,0.020101,0.028282,0.0133615,0.0395095,0.0173653,0.0380568,0.0286991,0.0349683,0.0421517,0,0,0.0113911,0,0,0.0249816,0.0577299,0.00538281,0.0257293,0.0349023,0.0361565,0.0606913,0.0964858,0.0939167,0.0614521,0.0757134,0.0542405,0.0412005,0.0683465,0.047468,0,0.0141571,0.0680606,0,0,0,0,0,0
112,0,0,0,0,0,0,0.0185645,0,0,0,0.0428948,0,0.0315885,0.037769,0,0,0.0231898,0,0,0.0350078,0.027109,0.0363986,0.0287841,0.0263672,0.0331805,0.0372396,0.0240516,0.0348726,0.0389777,0.0269344,0.0333763,0.0317621,0.020385,0.0284748,0.0134287,0.0396166,0.0173594,0.0409587,0.029017,0.0356918,0.0421264,0,0,0.0112014,0,0,0.0250574,0.0572422,0.00530758,0.0247154,0.034134,0.0359848,0.0609166,0.0960405,0.0938377,0.0628186,0.0754345,0.0541847,0.0421248,0.0682704,0.0387961,0,0.0142701,0.0677118,0,0,0,0,0,0
113,0,0,0,0,0,0,0.0188083,0,0,0,0.0438958,0,0.0317379,0.0367738,0,0,0.0231226,0,0,0.0350759,0.0281175,0.0363521,0.0287512,0.0266614,0.0333616,0.0370671,0.0240728,0.0341994,0.0389893,0.0275025,0.0335852,0.0318766,0.0204946,0.0287095,0.0136411,0.0399229,0.0173479,0.0451642,0.0297132,0.0364073,0.0421176,0,0,0.0110537,0,0,0.0251913,0.05684,0.0054108,0.0243452,0.0332295,0.0357976,0.0613165,0.0953079,0.0939198,0.0641947,0.0754023,0.0542689,0.0430373,0.0685845,0.0310962,0,0.0143426,0.0673751,0,0,0,0,0,0
114,0,0,0,0,0,0,0.0190692,0,0,0,0.045041,0,0.0318001,0.0357593,0,0,0.0229731,0,0,0.0351682,0.0291127,0.036188,0.0287315,0.0269571,0.0335298,0.0368488,0.0241899,0.0335334,0.0389844,0.0280931,0.033838,0.0320446,0.0205505,0.0289184,0.013982,0.0401164,0.0173476,0.0487146,0.0306149,0.0371066,0.0420734,0,0,0.0109177,0,0,0.025344,0.0566145,0.00583974,0.0245172,0.0323136,0.0355806,0.0616859,0.0942678,0.0941362,0.065758,0.0752109,0.054727,0.0438085,0.0694254,0.0255425,0,0.0144248,0.0669707,0,0,0,0,0,0
115,0,0,0,0,0,0,0.0193288,0,0,0,0.046303,0,0.0317834,0.0348435,0,0,0.0228972,0,0,0.0352107,0.0300272,0.0360484,0.0287164,0.0272712,0.0336296,0.03656,0.0243448,0.0329435,0.0389667,0.0286191,0.0341042,0.0321631,0.0208125,0.0290792,0.0145245,0.0404528,0.0173151,0.0516564,0.0311253,0.0377678,0.0420626,0,0,0.0108163,0,0,0.02543,0.0565996,0.0065522,0.0249451,0.0314974,0.0353195,0.0622274,0.0930499,0.0944502,0.0673637,0.0749377,0.0553324,0.0444311,0.0707043,0.0219033,0,0.0144719,0.0665529,0,0,0,0,0,0
116,0,0,0,0,0,0,0.0195768,0,0,0,0.0476021,0,0.0317706,0.0340245,0,0,0.0229367,0,0,0.0352059,0.0307895,0.0359967,0.0287383,0.0276022,0.0336453,0.0362366,0.0245451,0.0324439,0.0389524,0.0291691,0.0344025,0.0322332,0.021149,0.0292111,0.0152447,0.040979,0.0172518,0.0530244,0.0314393,0.0383987,0.042113,0,0,0.0107712,0,0,0.0254933,0.0567059,0.00735032,0.0256683,0.0308023,0.0350702,0.0628415,0.0918107,0.0943256,0.0684439,0.0749668,0.0556248,0.0451355,0.0714255,0.0201082,0,0.0145145,0.0661644,0,0,0,0,0,0
117,0,0,0,0,0,0,0.0198253,0,0,0,0.0489959,0,0.0317184,0.0334875,0,0,0.0229252,0,0,0.0352199,0.0313312,0.0361518,0.0287788,0.027889,0.0335551,0.0358539,0.0247431,0.0320711,0.0389689,0.0297135,0.0346713,0.0322655,0.0214021,0.0294328,0.0161241,0.0413764,0.0171975,0.05305,0.0316781,0.0389332,0.0421366,0,0,0.0106563,0,0,0.0254896,0.0568468,0.00796338,0.026524,0.0302593,0.0348678,0.0631477,0.090748,0.0938832,0.0686787,0.0748089,0.0553143,0.0453504,0.0718241,0.0194486,0,0.0145192,0.0658377,0,0,0,0,0,0
118,0,0,0,0,0,0,0.0200076,0,0,0,0.0504579,0,0.0316517,0.0332375,0,0,0.0228619,0,0,0.0352451,0.0316274,0.0363311,0.0287776,0.0280697,0.0333233,0.035429,0.0248236,0.0317885,0.0390001,0.0299716,0.034856,0.0322964,0.0216274,0.0296475,0.0169497,0.0416708,0.0171564,0.052387,0.0319481,0.0392676,0.0421525,0,0,0.0105701,0,0,0.0256147,0.056931,0.00827364,0.0271862,0.02987,0.0347422,0.0629541,0.0898562,0.0933408,0.0683166,0.074416,0.0547943,0.0450968,0.0719401,0.0197851,0,0.0145742,0.0655515,0,0,0,0,0,0
119,0,0,0,0,0,0,0.0201803,0,0,0,0.0513297,0,0.0315526,0.0333026,0,0,0.0227613,0,0,0.035267,0.0317059,0.0364232,0.0287584,0.0281225,0.0329545,0.0350354,0.0248011,0.0316068,0.0389742,0.0299484,0.0349494,0.0322675,0.0218204,0.0296531,0.017704,0.0418585,0.0171065,0.0511202,0.0320975,0.0392422,0.0422425,0,0,0.0106064,0,0,0.0257886,0.0569207,0.00839072,0.0274586,0.0296128,0.0346337,0.0625051,0.0892003,0.0926624,0.0677309,0.0741589,0.054485,0.0447262,0.0717486,0.0211396,0,0.014638,0.0653351,0,0,0,0,0,0
120,0,0,0,0,0,0,0.0202938,0,0,0,0.0522142,0,0.0312781,0.0338351,0,0,0.0224531,0,0,0.0352979,0.0316865,0.0365388,0.0286635,0.0280666,0.0325551,0.0347231,0.0246786,0.031552,0.0389626,0.0298358,0.0348316,0.0321366,0.0218549,0.0295051,0.0185259,0.0416069,0.0171252,0.0495242,0.0318876,0.0390404,0.0422897,0,0,0.0106207,0,0,0.0258685,0.0568681,0.00833277,0.0272526,0.0294568,0.0346088,0.0619798,0.0888827,0.0918651,0.067153,0.0740911,0.0543702,0.0443542,0.071461,0.0230902,0,0.0146874,0.065216,0,0,0,0,0,0
121,0,0,0,0,0,0,0.0202231,0,0,0,0.0529729,0,0.0308958,0.0346369,0,0,0.0219515,0,0,0.0354083,0.0315803,0.036748,0.0285432,0.0279809,0.0321605,0.0345153,0.0245476,0.0316411,0.0389041,0.0298103,0.0345865,0.0319455,0.0217282,0.0292678,0.0194438,0.0407654,0.0171608,0.0489826,0.0313344,0.0386846,0.0422509,0,0,0.0106174,0,0,0.025856,0.0568525,0.00802197,0.0269285,0.0293361,0.034561,0.061376,0.0891393,0.0910963,0.0663875,0.0742946,0.0544778,0.0441935,0.0713097,0.0247982,0,0.0146873,0.0651104,0,0,0,0,0,0
122,0,0,0,0,0,0,0.0201891,0,0,0,0.0536368,0,0.0304753,0.0352071,0,0,0.0216581,0,0,0.0354574,0.0314999,0.0369023,0.0283423,0.0278976,0.0318767,0.0342214,0.0244834,0.0319287,0.0388013,0.0296702,0.0341856,0.0316811,0.0215367,0.0290412,0.0205253,0.0405396,0.0171563,0.049432,0.0304912,0.0383679,0.0423044,0,0,0.0107173,0,0,0.0258908,0.0566885,0.00763857,0.0265594,0.029306,0.0344588,0.0608743,0.0898039,0.0906595,0.0655098,0.0746355,0.0545737,0.0444194,0.0714724,0.0260779,0,0.0147069,0.0650973,0,0,0,0,0,0
123,0,0,0,0,0,0,0.0202137,0,0,0,0.0542794,0,0.0299889,0.0354144,0,0,0.0215334,0,0,0.0354757,0.0315131,0.0368898,0.0280934,0.0277222,0.0317206,0.0338087,0.0245431,0.0324134,0.0387243,0.029395,0.0336245,0.0314637,0.0213853,0.0288415,0.0218239,0.0407601,0.0171254,0.0500358,0.0301593,0.0382473,0.0424206,0,0,0.0106022,0,0,0.0260347,0.0563223,0.00761143,0.0262066,0.0294315,0.0343316,0.0603824,0.090367,0.0903793,0.064482,0.0749346,0.0546052,0.0447532,0.0721566,0.0267781,0,0.0147732,0.0651158,0,0,0,0,0,0
124,0,0,0,0,0,0,0.0204347,0,0,0,0.0549642,0,0.0294098,0.035373,0,0,0.0214049,0,0,0.0355081,0.0317213,0.0367201,0.0278632,0.0274979,0.0314501,0.0333031,0.0247887,0.0326308,0.0385269,0.0289169,0.033128,0.0312843,0.0212757,0.02847,0.023062,0.0411424,0.0171639,0.0484947,0.0311529,0.038552,0.0425466,0,0,0.0105343,0,0,0.0261677,0.0557512,0.00790873,0.0267087,0.029498,0.0340186,0.0594638,0.0901046,0.0896405,0.0631399,0.0749126,0.0543215,0.0443889,0.073536,0.0258008,0,0.0148357,0.0651133,0,0,0,0,0,0
125,0,0,0,0,0,0,0.0286792,0,0,0,0.0564604,0,0.0279797,0.0357306,0,0,0.0206581,0,0,0.0351831,0.0319824,0.0353338,0.0253372,0.0281529,0.0287653,0.032786,0.0242868,0.0316415,0.0378118,0.0291775,0.0335863,0.0320166,0.0214809,0.0283482,0.0250207,0.0431086,0.0173989,0.0455136,0.0327344,0.0396259,0.0382451,0,0,0.0109954,0,0,0.0256431,0.0559705,0.00956786,0.0288734,0.0282542,0.0385977,0.0574796,0.087272,0.0872226,0.0610059,0.0751563,0.0543746,0.0437868,0.0728836,0.0226657,0.0674088,0.0151752,0.0687565,0,0,0,0,0,0
126,0,0,0,0,0,0,0.0285419,0,0,0,0.0573092,0,0.0272055,0.0349637,0,0,0.0205819,0,0,0.0352605,0.0325599,0.0350835,0.0246552,0.028272,0.0282929,0.0324921,0.024872,0.0321451,0.0373287,0.0285813,0.0334291,0.0320099,0.0212919,0.0278756,0.0262941,0.0433217,0.0174175,0.0429812,0.0320583,0.040469,0.0383785,0,0,0.0111459,0,0,0.0257289,0.0551225,0.0106011,0.0304149,0.027929,0.0384402,0.0557974,0.084805,0.0865045,0.0604186,0.073418,0.053944,0.043237,0.0706588,0.02128,0.0670425,0.0148083,0.0689373,0,0,0,0,0,0
127,0,0,0,0,0,0,0.0201296,0,0,0,0.0573238,0,0.0269229,0.0331155,0,0,0.0211322,0,0,0.0356729,0.0334117,0.0360635,0.0258843,0.0275448,0.0305357,0.0320869,0.0264679,0.034195,0.0372723,0.0270032,0.0325757,0.0313817,0.02064,0.0269425,0.0270594,0.0419851,0.0171752,0.0404095,0.0307577,0.0407524,0.0429211,0,0,0.0108114,0,0,0.0263113,0.0533771,0.0105759,0.0304304,0.0287934,0.0331994,0.0549176,0.0833708,0.0869851,0.0615985,0.0709838,0.052981,0.0430054,0.0689057,0.0225678,0,0.0144747,0.0654425,0,0,0,0,0,0
128,0,0,0,0,0,0,0.0201618,0,0,0,0.05749,0,0.0257149,0.0321611,0,0,0.0211688,0,0,0.0356512,0.0337545,0.0357314,0.0251121,0.0272769,0.0307092,0.0315617,0.0269123,0.0351209,0.0371986,0.0262281,0.0324327,0.0317595,0.0202095,0.0260124,0.0284243,0.0421734,0.0171615,0.0385646,0.0309357,0.0412215,0.0431821,0,0,0.0106671,0,0,0.0261763,0.0530619,0.0112005,0.0305397,0.028827,0.033238,0.054068,0.0823576,0.0866507,0.0624306,0.0704412,0.0524311,0.0432165,0.0682995,0.0234863,0,0.0147562,0.065492,0,0,0,0,0,0
129,0,0,0,0,0,0,0.0202713,0,0,0,0.0570949,0,0.0245375,0.0318932,0,0,0.0211787,0,0,0.0355918,0.0337177,0.0355661,0.024316,0.0268455,0.0308717,0.0314381,0.0271084,0.0361634,0.0375286,0.0253979,0.0323106,0.0321911,0.0197696,0.0249243,0.0298576,0.0422937,0.0172067,0.0367574,0.030975,0.041482,0.0433439,0,0,0.0105655,0,0,0.0260609,0.0532293,0.0109809,0.0298627,0.029133,0.0336373,0.0536608,0.0828483,0.0864473,0.062401,0.0710146,0.0521271,0.043151,0.0673877,0.0246449,0,0.014736,0.065883,0,0,0,0,0,0
130,0,0,0,0,0,0,0.0283283,0,0,0,0.0564826,0,0.0228225,0.0327083,0,0,0.0206784,0,0,0.0351589,0.0331794,0.0348379,0.0217181,0.0269011,0.0284963,0.0316394,0.0262536,0.0360208,0.0376639,0.025483,0.0328887,0.0334952,0.0198842,0.0240469,0.0321338,0.0437627,0.0174412,0.0368971,0.0311819,0.0419895,0.0391009,0,0,0.0113897,0,0,0.025381,0.0541735,0.0116293,0.0298663,0.0282767,0.0391946,0.0529546,0.0832046,0.0854704,0.0605387,0.0719749,0.0525565,0.0432313,0.0671844,0.0241296,0.0668151,0.0150236,0.0699964,0,0,0,0,0,0
131,0,0,0,0,0,0,0.0198196,0,0,0,0.0536633,0,0.0227989,0.0316829,0,0,0.0212782,0,0,0.0354665,0.0339671,0.0363615,0.0229374,0.0252982,0.0315628,0.0317293,0.0275966,0.0387445,0.0388288,0.0235198,0.032083,0.0333234,0.0190248,0.0224779,0.0320258,0.0422541,0.0172079,0.0361806,0.0303208,0.0409862,0.0434456,0,0,0.010765,0,0,0.0257567,0.0524445,0.0108242,0.0300352,0.0296295,0.0346202,0.0539001,0.0847456,0.0852943,0.0591877,0.0714533,0.0521007,0.0422331,0.0661332,0.0248339,0,0.0146031,0.0667349,0,0,0,0,0,0
132,0,0,0,0,0,0,0.0277904,0,0,0,0.053432,0,0.0210157,0.0322129,0,0,0.020858,0,0,0.035201,0.0341712,0.035342,0.020335,0.0250948,0.0295103,0.0325385,0.0268784,0.0389619,0.0390236,0.0237674,0.0326385,0.0342924,0.0192661,0.0218931,0.0314757,0.0432867,0.0174103,0.03679,0.0303108,0.0413595,0.0392136,0,0,0.0125464,0,0,0.024964,0.0524705,0.0121802,0.0314478,0.0283496,0.0402343,0.0530736,0.0840002,0.084249,0.0585906,0.0714573,0.0523981,0.0421268,0.0655404,0.0229467,0.0648005,0.0145474,0.0707923,0,0,0,0,0,0
133,0,0,0,0,0,0,0.0321149,0,0,0,0.0539795,0,0.0196382,0.0317803,0,0,0.0209718,0,0,0.0352662,0.0351694,0.0345461,0.0197302,0.0242116,0.0303559,0.0322065,0.0276546,0.0405631,0.0398316,0.0231914,0.032537,0.034108,0.0191844,0.0216043,0.0287598,0.0409943,0.0180334,0.0366436,0.0297572,0.0410977,0.03982,0,0,0.0158008,0,0,0.024182,0.0518891,0.0123668,0.0322055,0.0280833,0.0432274,0.0526882,0.0834574,0.0842462,0.0584303,0.0712133,0.0525799,0.0419772,0.064909,0.0218313,0.0601382,0.0138411,0.0729083,0,0,0,0,0,0.0324607
134,0,0,0,0,0,0,0.0318934,0,0,0,0.0539772,0,0.0183909,0.0312816,0,0,0.0212121,0,0,0.0353043,0.0359591,0.0333711,0.0187819,0.0236133,0.0311413,0.0328638,0.0284898,0.0417854,0.0406811,0.0225848,0.0323203,0.0335698,0.0188732,0.0215055,0.0251397,0.0406257,0.0180649,0.0366387,0.0290516,0.0410271,0.0397874,0,0,0.0165331,0,0,0.0242617,0.0517084,0.0127302,0.032442,0.0282566,0.0440429,0.0524968,0.0833415,0.0845375,0.0584832,0.0709322,0.0525575,0.0417352,0.0648736,0.021104,0.0609525,0.0138748,0.0736476,0,0,0,0,0,0.0323647
135,0,0,0,0,0,0,0.0245331,0,0,0,0.05336,0,0.0182561,0.0302853,0,0,0.0220918,0,0,0.0355859,0.0373495,0.0327722,0.0195424,0.0220834,0.0343565,0.0326158,0.030365,0.0438261,0.042212,0.0211814,0.0315655,0.0324601,0.0179909,0.0208688,0.0230271,0.0386148,0.018035,0.0360286,0.0278465,0.0406675,0.0429905,0,0,0.0134452,0,0,0.0238364,0.0509577,0.0121347,0.0316313,0.0294555,0.0397713,0.0526438,0.0841049,0.0852444,0.0587298,0.0709654,0.0522321,0.0411718,0.065079,0.0220329,0,0.013504,0.0711837,0,0,0,0,0,0.0376164
136,0,0,0,0,0,0,0.0241944,0,0,0,0.0515537,0,0.0184194,0.0302224,0,0,0.022213,0,0,0.0355147,0.0378746,0.0319458,0.0188203,0.0215741,0.0349137,0.0330078,0.0309791,0.0444532,0.0425769,0.0207581,0.0315259,0.0321809,0.0176351,0.0206126,0.0229235,0.0384025,0.0180577,0.0355754,0.0270267,0.0409361,0.0430129,0,0,0.0136747,0,0,0.0236262,0.0509023,0.0120243,0.0313667,0.0299105,0.0402002,0.0524093,0.0844422,0.0854876,0.0587856,0.071366,0.0521074,0.0405192,0.0649736,0.0227337,0,0.0133964,0.0718352,0,0,0,0,0,0.0375557
137,0,0,0,0,0,0,0.0240723,0,0,0,0.0485604,0,0.02002,0.0302144,0,0,0.0222914,0,0,0.0355257,0.0381054,0.0327027,0.0183138,0.0213539,0.0351287,0.0331717,0.0316906,0.045091,0.0426993,0.0204885,0.0319283,0.0322993,0.0178692,0.0209102,0.0231332,0.0383329,0.018079,0.0349503,0.0265037,0.0412202,0.0432424,0,0,0.0138619,0,0,0.0235557,0.0508697,0.0117691,0.0313585,0.0305527,0.0404711,0.052246,0.0848303,0.0855998,0.0585642,0.071343,0.0519056,0.0403058,0.0644754,0.0235137,0,0.0133513,0.0724064,0,0,0,0,0,0.037488
