Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,x97,LILC,x77,,x89
690,0.0352826,0.0547118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034337,0,0.0232585,0.0655189,0,0,0.0119249,0,0,0.0423791,0.0528999,0.0415284,0.0215314,0.0534158,0.039966,0.0461875,0.0749305,0.0592569,0.0179173,0.0610821,0.0647959,0.0344915,0.0368972,0.026936,0.0168432,0.0139336,0.0120761,0,0.0273241,0.0466001,0.0420503,0,0,0.0123056,0,0,0.032715,0.0780996,0,0.0137936,0.026758,0.0510254,0.0362376,0.0331344,0.0587637,0.0615787,0.0386496,0.0234334,0.029271,0.015357,0.0297371,0.0342983,0.046726,0.0134687,0.0112399,0.0489192,0.0493034,0,0,0,0,0,0,0,0
691,0.0361167,0.0542369,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348196,0,0.0230464,0.0631441,0,0,0.0115687,0,0,0.0438942,0.053395,0.0383138,0.0223824,0.0559623,0.0371447,0.0468898,0.0745657,0.0576906,0.017297,0.0617035,0.0655173,0.035408,0.0372651,0.0237834,0.0295766,0.0142064,0.0139122,0,0.0259389,0.0445944,0.0426395,0,0,0.0101767,0,0,0.0336595,0.0786416,0,0.0163485,0.0289764,0.0528119,0.0353181,0.0325027,0.058834,0.0609481,0.0379299,0.0238061,0.0289552,0.014873,0.0301936,0.0326766,0.0469715,0.0196467,0.0103989,0.0475927,0.0498194,0,0,0,0,0,0,0,0
692,0.0364021,0.054957,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344481,0,0.0233104,0.0655835,0,0,0.0119303,0,0,0.0425325,0.0530752,0.0414271,0.0216228,0.0538111,0.039952,0.0461019,0.0748234,0.0592011,0.0180382,0.0611073,0.0648498,0.0345615,0.036843,0.0267675,0.0168597,0.0140222,0.0121948,0,0.0272296,0.0462354,0.0419846,0,0,0.0122487,0,0,0.0326792,0.0781806,0,0.01601,0.0266112,0.0514961,0.0360278,0.0330135,0.0586691,0.0616149,0.0389522,0.0234597,0.0293298,0.0154147,0.0297914,0.0339904,0.0468907,0.0135435,0.0110968,0.0489636,0.0493163,0,0,0,0,0,0,0,0
693,0.0367421,0.05463,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03445,0,0.0232848,0.0657153,0,0,0.010945,0,0,0.0430997,0.0530488,0.0416995,0.0214969,0.0536185,0.0384028,0.0461087,0.0749067,0.0593993,0.0182099,0.060951,0.0646728,0.034391,0.0367499,0.0268315,0.00767427,0.0186539,0.0117853,0,0.0275264,0.046697,0.0418682,0,0,0.0090309,0,0,0.0339992,0.0780302,0,0.0149197,0.026297,0.0512935,0.0354105,0.0331221,0.0586879,0.0616637,0.0388605,0.0234093,0.0293749,0.0155076,0.0296775,0.0344723,0.0469412,0.00808356,0.0160308,0.048838,0.0494712,0,0,0,0,0,0,0,0
694,0.0366337,0.0546062,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343862,0,0.0232521,0.0656483,0,0,0.0109937,0,0,0.0430634,0.0530142,0.0417123,0.0214809,0.0534997,0.0383541,0.0461394,0.0748933,0.0593781,0.018181,0.0609289,0.0646433,0.0343728,0.0367375,0.0268281,0.0076898,0.0186257,0.0117148,0,0.0275495,0.0468154,0.0419086,0,0,0.00902465,0,0,0.0340554,0.077975,0,0.0151573,0.0263345,0.0508946,0.0354439,0.0332067,0.058758,0.0616815,0.0387783,0.0233958,0.0293583,0.0154783,0.0296545,0.0346062,0.0469282,0.00807049,0.0160838,0.0488687,0.0493832,0,0,0,0,0,0,0,0
695,0.0365335,0.0545585,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343694,0,0.0232323,0.0656694,0,0,0.0110268,0,0,0.0430298,0.0530117,0.0416658,0.0214673,0.0535365,0.0383742,0.0461486,0.0748789,0.059333,0.0182203,0.0609356,0.0646422,0.0343778,0.0367704,0.0268239,0.00772494,0.0186138,0.0117274,0,0.0275437,0.0467453,0.041905,0,0,0.00901489,0,0,0.0340667,0.077994,0,0.0156651,0.0263263,0.0509018,0.0354542,0.0331726,0.0587379,0.0617072,0.0388053,0.0233933,0.0293483,0.0154673,0.0296665,0.0345664,0.0469291,0.0080637,0.0161142,0.0488176,0.0494344,0,0,0,0,0,0,0,0
696,0.0363485,0.0545141,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344709,0,0.0232376,0.06572,0,0,0.011005,0,0,0.0430308,0.053046,0.0416618,0.0214526,0.0536255,0.0384721,0.0461748,0.0748804,0.0593368,0.0183007,0.0608976,0.064612,0.0343478,0.0367524,0.0267931,0.00774336,0.0186164,0.0117916,0,0.027531,0.0467177,0.041849,0,0,0.00900599,0,0,0.0340556,0.078028,0,0.0151058,0.0263199,0.0512578,0.0354405,0.0330772,0.0586893,0.0616731,0.0388166,0.023409,0.0293799,0.0154989,0.0296902,0.0344765,0.0469122,0.00807059,0.0161062,0.0487797,0.0495399,0,0,0,0,0,0,0,0
697,0.0357467,0.0543785,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344238,0,0.0232572,0.0657225,0,0,0.011055,0,0,0.0429484,0.0530793,0.0416115,0.0214601,0.0537069,0.0385168,0.0461915,0.0748659,0.059345,0.0183233,0.06089,0.0645989,0.0343361,0.036741,0.0267304,0.00777144,0.01857,0.0118115,0,0.0275205,0.0466715,0.0418193,0,0,0.00903641,0,0,0.0340667,0.0780271,0,0.0153066,0.0262932,0.0513208,0.0355107,0.033053,0.0586648,0.0616976,0.0388667,0.0233876,0.0294144,0.0154795,0.0297129,0.0344649,0.0468966,0.00808594,0.0161125,0.0486601,0.0496557,0,0,0,0,0,0,0,0
698,0.0354654,0.054305,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343272,0,0.023265,0.0656742,0,0,0.0111145,0,0,0.0428629,0.0530686,0.041579,0.0214599,0.0536926,0.038507,0.0461813,0.0748428,0.0593258,0.0183171,0.0608944,0.064597,0.0343317,0.0367434,0.0267069,0.00781569,0.0184787,0.0117728,0,0.0275261,0.0466638,0.0418219,0,0,0.00904769,0,0,0.0340988,0.0780042,0,0.0156409,0.0262862,0.0510115,0.0355674,0.0331109,0.0586887,0.0617037,0.0389242,0.0233727,0.0294601,0.0154508,0.0296967,0.034546,0.0468874,0.00808776,0.0161239,0.0486129,0.049636,0,0,0,0,0,0,0,0
699,0.035386,0.0542801,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342659,0,0.0232612,0.0656493,0,0,0.0111411,0,0,0.0428251,0.0530827,0.0415918,0.0214666,0.0536854,0.0385453,0.04615,0.0748237,0.0593136,0.0183485,0.0608894,0.0645876,0.0343353,0.0367287,0.026696,0.00787097,0.0184096,0.0117456,0,0.0275302,0.0466623,0.0418205,0,0,0.00906487,0,0,0.0340722,0.0780084,0,0.0156066,0.0263114,0.0509329,0.0355866,0.0331369,0.0586924,0.0616871,0.0389133,0.0233866,0.0294111,0.0154705,0.0296798,0.0345519,0.0468805,0.00810695,0.0161077,0.0486043,0.0495843,0,0,0,0,0,0,0,0
700,0.0353148,0.0542812,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342747,0,0.0232604,0.0656565,0,0,0.0111579,0,0,0.0428213,0.0531116,0.0415882,0.0214738,0.0536829,0.0386251,0.0461281,0.074805,0.0592972,0.0183671,0.0608764,0.0645743,0.0343434,0.0366958,0.0266693,0.0079301,0.0183357,0.0117436,0,0.0275276,0.0466656,0.0418263,0,0,0.00910042,0,0,0.0339972,0.0780204,0,0.015435,0.0263341,0.0510339,0.0355977,0.0331272,0.058671,0.0616438,0.0389135,0.0234003,0.0293896,0.0155087,0.0296961,0.0345271,0.046865,0.00815796,0.0160253,0.0486101,0.0495779,0,0,0,0,0,0,0,0
701,0.0354432,0.0543383,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343544,0,0.023249,0.0656638,0,0,0.0111701,0,0,0.0428057,0.0531325,0.0415593,0.0214708,0.0536842,0.0386713,0.0461124,0.0748095,0.0593108,0.0183274,0.060853,0.0645606,0.0343341,0.0366626,0.0266417,0.00798591,0.0182626,0.0117476,0,0.0275163,0.0466785,0.0418391,0,0,0.0091149,0,0,0.0339551,0.0780315,0,0.0153418,0.0263263,0.0511117,0.0355808,0.0331183,0.0586745,0.0616244,0.0388719,0.0234017,0.029408,0.015531,0.0296775,0.0345355,0.0468686,0.00820453,0.0159497,0.048661,0.049556,0,0,0,0,0,0,0,0
702,0.0354856,0.0544339,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344764,0,0.0232281,0.065657,0,0,0.0112465,0,0,0.0426713,0.0531629,0.0415208,0.0214749,0.053643,0.0389275,0.0460891,0.0747878,0.0593511,0.0182919,0.0608334,0.0645606,0.0343255,0.036668,0.0266725,0.00834065,0.0177337,0.0117389,0,0.0275458,0.0467338,0.0418464,0,0,0.00941114,0,0,0.0338103,0.0780248,0,0.0153907,0.0263346,0.0509056,0.0356638,0.0331202,0.058692,0.0616389,0.0388192,0.023393,0.0294491,0.0155346,0.0296158,0.0345585,0.0468451,0.00857522,0.0154084,0.048762,0.0494513,0,0,0,0,0,0,0,0
703,0.0354931,0.0544215,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344581,0,0.023235,0.0656651,0,0,0.0112083,0,0,0.0426977,0.0531978,0.0415303,0.0214701,0.0536836,0.0388778,0.0460857,0.0747612,0.0593913,0.0182726,0.0608042,0.0645514,0.0342968,0.0366755,0.0266263,0.0082463,0.0178855,0.0117365,0,0.0275414,0.0467116,0.0418509,0,0,0.00930759,0,0,0.0338293,0.0780567,0,0.0151782,0.0263251,0.0512524,0.0356182,0.0330731,0.0586584,0.0616308,0.0388569,0.0234241,0.0294417,0.0155252,0.0296677,0.0345409,0.0468512,0.00847384,0.0155592,0.0487454,0.0494148,0,0,0,0,0,0,0,0
704,0.0355261,0.0543837,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343486,0,0.0232453,0.0656732,0,0,0.0111977,0,0,0.0427338,0.0531927,0.0415744,0.0214639,0.0537238,0.038842,0.0461077,0.074756,0.0593629,0.0183304,0.0607982,0.0645403,0.0342972,0.0366787,0.0265889,0.00819123,0.0180178,0.0117377,0,0.0275274,0.0466837,0.0418793,0,0,0.00922729,0,0,0.0338639,0.0780642,0,0.0150605,0.026303,0.0514859,0.0356045,0.0330467,0.0586377,0.0616143,0.0388635,0.0234105,0.0294235,0.0155136,0.0297088,0.0345339,0.0468527,0.00839117,0.0157083,0.0487128,0.0494118,0,0,0,0,0,0,0,0
705,0.0354945,0.0543936,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343614,0,0.0232218,0.0656701,0,0,0.0113113,0,0,0.0426753,0.0531626,0.0415994,0.02146,0.0536991,0.0389804,0.0461296,0.0747595,0.0593347,0.0183727,0.0607987,0.0645221,0.0342893,0.0366714,0.0265842,0.00842165,0.0177064,0.0117355,0,0.0275214,0.0466921,0.0418894,0,0,0.00926578,0,0,0.0339037,0.0780382,0,0.0151684,0.0263025,0.0513765,0.035666,0.0330757,0.0586712,0.061624,0.0388423,0.0233805,0.0294066,0.0155167,0.0296968,0.0345802,0.046851,0.008452,0.0156202,0.0487526,0.0493977,0,0,0,0,0,0,0,0
706,0.0354725,0.0544116,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342456,0,0.0231794,0.0656187,0,0,0.0113962,0,0,0.0426748,0.0531262,0.0415347,0.021475,0.0536303,0.0390212,0.0461212,0.0747756,0.0593269,0.0183647,0.0608115,0.0645194,0.0342903,0.0366854,0.0265855,0.00852395,0.0176225,0.0116671,0,0.0275515,0.0467229,0.0419241,0,0,0.00935466,0,0,0.0337902,0.0780104,0,0.0151686,0.026324,0.0510482,0.0357515,0.0331236,0.0587169,0.0616438,0.0388101,0.0233575,0.0293676,0.0154879,0.0296349,0.0346901,0.0468266,0.00854998,0.0154663,0.0488098,0.0493563,0,0,0,0,0,0,0,0
