Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,,FTL,LTHIP,x77,LILC,x78
346,0.0196169,0.0615003,0,0,0,0,0,0,0,0,0,0,0,0,0.0326544,0,0.0178772,0.0318015,0,0,0.0201155,0,0,0.0441147,0.0520953,0.0199383,0.0202878,0.0737914,0.0486701,0.0657001,0.0875855,0.063039,0.0591302,0.0613812,0,0.0302632,0.0107839,0.0318357,0.0123439,0.0246405,0.0241089,0,0.0189037,0.0498434,0.0484975,0,0,0.0316321,0,0,0.0391448,0.0753909,0.0260136,0.0164341,0.0216084,0.0592948,0.0723956,0.031235,0.0606287,0.0668885,0.0389729,0.0228888,0.0321235,0.0188234,0.0292335,0.0451896,0.048834,0.0276124,0.0102708,0.0476109,0.0493694,0,0,0,0,0,0.0233468,0,0.0335518,0
347,0.0192151,0.06138,0,0,0,0,0,0,0,0,0,0,0,0,0.0325089,0,0.0180648,0.0328241,0,0,0.0208089,0,0,0.0447962,0.0518939,0.0200472,0.0205385,0.0742738,0.0494649,0.0655969,0.0874448,0.0629486,0.0592213,0.0616242,0,0.0303145,0.0106199,0.0315603,0.0124769,0.0251229,0.0214254,0,0.0192629,0.0490679,0.0482357,0,0,0.0320066,0,0,0.0394218,0.075446,0.0265036,0.0156458,0.0207083,0.0594088,0.0741627,0.0320694,0.0621051,0.0676376,0.0389273,0.0227146,0.0316352,0.0180166,0.0284258,0.0486728,0.0496193,0.0281942,0.0107198,0.0471572,0.0494904,0,0,0,0,0,0.0229928,0,0.0340304,0
348,0.0188972,0.0611907,0,0,0,0,0,0,0,0,0,0,0,0,0.0321518,0,0.0183859,0.0342345,0,0,0.0216799,0,0,0.0453855,0.0518923,0.0203288,0.0209077,0.074782,0.0502584,0.065263,0.0870181,0.0627477,0.0594033,0.0617784,0,0.0303935,0.0102878,0.031274,0.0124923,0.0256301,0.0189673,0,0.019873,0.0479291,0.0478316,0,0,0.0321872,0,0,0.0395856,0.0751461,0.0269628,0.0149184,0.0197699,0.059635,0.0758889,0.0335483,0.0636162,0.0685837,0.0392222,0.0225472,0.0311477,0.0175233,0.0277404,0.0516015,0.0503701,0.0288103,0.0106675,0.0468588,0.049636,0,0,0,0,0,0.02295,0,0.0345415,0
349,0.0187261,0.0609674,0,0,0,0,0,0,0,0,0,0,0,0,0.0318974,0,0.0188381,0.0357408,0,0,0.022547,0,0,0.0457612,0.0518343,0.0206716,0.0212584,0.0753803,0.0510742,0.0649044,0.0864983,0.0624676,0.0595745,0.0619085,0,0.0303955,0.00995309,0.0309964,0.0125095,0.0260487,0.0176779,0,0.0207792,0.0468341,0.0473609,0,0,0.0321511,0,0,0.0396873,0.0748532,0.0276402,0.0142542,0.0190515,0.0599508,0.0774927,0.0351137,0.0651891,0.0695695,0.0394984,0.0222819,0.0307774,0.0171325,0.0271526,0.0549773,0.0510171,0.0292892,0.0104943,0.0466691,0.049759,0,0,0,0,0,0.0232532,0,0.0350144,0
350,0.0184991,0.0610032,0,0,0,0,0,0,0,0,0,0,0,0,0.0319308,0,0.0191725,0.0372502,0,0,0.0231255,0,0,0.0458763,0.0516161,0.0211605,0.0214024,0.0758931,0.0518394,0.0645879,0.0860714,0.0621502,0.0596643,0.061998,0,0.0305351,0.00972211,0.030846,0.0125351,0.0262974,0.0180945,0,0.0217332,0.0457779,0.0469329,0,0,0.0324787,0,0,0.0391883,0.0746376,0.0288695,0.0137946,0.0186156,0.0604077,0.0789828,0.0364474,0.0666038,0.0704634,0.0396878,0.022184,0.0299874,0.0164839,0.0267541,0.0598542,0.0515723,0.0296576,0.0101212,0.0462612,0.0498142,0,0,0,0,0,0.0237362,0,0.0352227,0
351,0.0182685,0.0613401,0,0,0,0,0,0,0,0,0,0,0,0,0.0321183,0,0.0193482,0.0387339,0,0,0.0235656,0,0,0.0460279,0.0513056,0.0216966,0.0214561,0.0762968,0.0525283,0.0643418,0.0857901,0.0618718,0.059666,0.0620119,0,0.0308334,0.00943909,0.0307122,0.0125851,0.0264507,0.019976,0,0.0227699,0.0446758,0.0465654,0,0,0.0325093,0,0,0.0392745,0.0745496,0.0311754,0.0136029,0.01851,0.0610617,0.0803337,0.0375214,0.0678347,0.0712309,0.0397701,0.0221944,0.0286866,0.015535,0.0267267,0.0659905,0.0519798,0.0300415,0.0100655,0.0458797,0.049925,0,0,0,0,0,0.024221,0,0.0351639,0
352,0.018126,0.0609844,0,0,0,0,0,0,0,0,0,0,0,0,0.0322073,0,0.0195923,0.0402766,0,0,0.0238922,0,0,0.0461702,0.0510784,0.0224083,0.0215972,0.0764459,0.0529368,0.0642555,0.0855293,0.0616558,0.0596452,0.0620319,0,0.0310945,0.00956805,0.0305109,0.0125926,0.0265729,0.0227761,0,0.0238969,0.0436507,0.0462125,0,0,0.0325511,0,0,0.0396994,0.0744566,0.034135,0.0136253,0.0186485,0.0619139,0.0815044,0.038309,0.0687953,0.0719141,0.0398194,0.0222986,0.0271905,0.0145278,0.0272284,0.0712989,0.0522363,0.0304382,0.0101631,0.0457515,0.0500314,0,0,0,0,0,0.024699,0,0.0351886,0
353,0.0181287,0.0604059,0,0,0,0,0,0,0,0,0,0,0,0,0.0321824,0,0.0198313,0.0415431,0,0,0.0240072,0,0,0.0462302,0.0511507,0.023224,0.0217203,0.0762692,0.0531693,0.0642701,0.0853651,0.0615803,0.0597279,0.0620527,0,0.0313096,0.00980404,0.0303453,0.0126328,0.0266524,0.0248188,0,0.0247089,0.0430672,0.0459185,0,0,0.0326621,0,0,0.0401972,0.0744592,0.0364923,0.0138468,0.0189597,0.0628571,0.0824712,0.0387563,0.0694763,0.0723482,0.0397938,0.0227028,0.0256185,0.0134959,0.0278887,0.07435,0.0525601,0.0308214,0.010327,0.045794,0.0500608,0,0,0,0,0,0.0252359,0,0.0354287,0
354,0.0182905,0.0600192,0,0,0,0,0,0,0,0,0,0,0,0,0.0322652,0,0.0199898,0.0424228,0,0,0.0239094,0,0,0.0462286,0.0511721,0.0239092,0.0218217,0.0759355,0.0532344,0.0644234,0.0853206,0.0616548,0.059759,0.0621145,0,0.0314661,0.00988516,0.0302447,0.0126085,0.0266897,0.0251774,0,0.0247898,0.0427829,0.0457577,0,0,0.0318125,0,0,0.0411085,0.0742199,0.0372572,0.0141309,0.0195046,0.0637077,0.0832528,0.0389492,0.0698315,0.0725294,0.0397067,0.0231972,0.0241526,0.0125865,0.0283841,0.0747925,0.0527794,0.0312414,0.0105899,0.0458327,0.0503047,0,0,0,0,0,0.0256748,0,0.0355698,0
355,0.0179767,0.059934,0,0,0,0,0,0,0,0,0,0,0,0,0.0324983,0,0.0201386,0.0431323,0,0,0.0236785,0,0,0.0461886,0.0511213,0.0244411,0.0219602,0.0755728,0.0532867,0.0645643,0.0852784,0.0616546,0.0598621,0.0622358,0,0.0315514,0.00985611,0.030227,0.012592,0.0266157,0.0244604,0,0.0245369,0.0424607,0.0458067,0,0,0.0330988,0,0,0.0393195,0.0737511,0.0369664,0.0143205,0.0199959,0.0643242,0.0838697,0.0390124,0.069945,0.0725618,0.0396337,0.0236516,0.0230587,0.0119096,0.0287398,0.0730474,0.0535792,0.0311846,0.010259,0.0459445,0.0503224,0,0,0,0,0,0.0259542,0,0.0355017,0
