Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,x77,LTHII,,LILC
9,0.0277644,0.0621533,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0439727,0,0.0107175,0.0780407,0,0,0.0125525,0,0,0.0404388,0.0642216,0.0390639,0.0139785,0.0942793,0.022929,0.0426539,0.0842952,0.0331046,0.0515184,0.0523429,0.0263854,0.034101,0.00900086,0.0386851,0.0117417,0.0148465,0.0431889,0,0.0212622,0.0482788,0.0483417,0,0,0.0146777,0,0,0.0304841,0.107802,0.0199749,0.0391478,0.026663,0.0963566,0.0448944,0.0431596,0.0493984,0.0703681,0.0635703,0.0289149,0.0311281,0.0181506,0.039623,0.0145568,0.0494156,0.00833999,0.0172482,0.0416115,0.0606773,0,0,0,0,0,0,0
10,0.0277408,0.0621035,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438689,0,0.0107478,0.078275,0,0,0.0125238,0,0,0.0404752,0.0643176,0.0390182,0.0139143,0.0943908,0.0229489,0.0428052,0.0843244,0.0331073,0.0514396,0.0522877,0.0263558,0.0340395,0.00886261,0.0386855,0.0117003,0.0149261,0.0432955,0,0.0211874,0.0482658,0.048368,0,0,0.0144575,0,0,0.0306256,0.107274,0.0200021,0.0392387,0.026953,0.0963701,0.0448573,0.0432626,0.0494247,0.0704963,0.0637105,0.0289229,0.0310466,0.0181064,0.0396566,0.0144561,0.0492414,0.00818582,0.0174062,0.0415689,0.0606869,0,0,0,0,0,0,0
11,0.0279047,0.0622112,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434926,0,0.0108022,0.0786146,0,0,0.0121858,0,0,0.0408573,0.0649451,0.0394624,0.0138898,0.0948689,0.0229428,0.0429182,0.0844276,0.0336818,0.0510289,0.0522563,0.0263383,0.0339827,0.00922824,0.0387184,0.0110809,0.0145858,0.0441033,0,0.0209108,0.0486011,0.0482594,0,0,0.014322,0,0,0.030829,0.106828,0.0203052,0.0389716,0.0271613,0.0967288,0.0447517,0.043341,0.0495362,0.0707369,0.0640482,0.0288645,0.0310332,0.0181434,0.0397566,0.0149019,0.048902,0.00806641,0.017575,0.0415922,0.0608185,0,0,0,0,0,0,0
12,0.0275814,0.0621303,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0435649,0,0.0107341,0.0779455,0,0,0.0126732,0,0,0.0399768,0.0632393,0.0383076,0.0139452,0.0940973,0.0229533,0.0434044,0.0845315,0.0324328,0.0499975,0.0521966,0.0264051,0.0337244,0.0081284,0.0386093,0.0117844,0.0155704,0.0430974,0,0.0208272,0.0479187,0.0484087,0,0,0.0139443,0,0,0.0308638,0.106984,0.0202632,0.0382351,0.0272825,0.0960024,0.044563,0.0434916,0.0496105,0.0708304,0.0640076,0.0288615,0.0306423,0.018154,0.0394405,0.0130148,0.0492256,0.00804531,0.0174156,0.041646,0.0604148,0,0,0,0,0,0,0
13,0.0277698,0.0620941,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0428766,0,0.0106079,0.0782842,0,0,0.0125206,0,0,0.0405143,0.0639211,0.0385385,0.0139082,0.0947194,0.0230059,0.0430881,0.0845015,0.0329391,0.0497612,0.0520558,0.0264633,0.0339137,0.00828077,0.0386745,0.0117173,0.0150006,0.0441632,0,0.0205936,0.0484926,0.0483362,0,0,0.0138381,0,0,0.0308391,0.108002,0.0206485,0.0364637,0.0276363,0.0964952,0.0446064,0.0436513,0.0497578,0.0711675,0.0645714,0.0288143,0.0304909,0.0179447,0.039638,0.0141293,0.0490475,0.00786295,0.0177468,0.0415357,0.0607305,0,0,0,0,0,0,0
14,0.0279361,0.0620988,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0424555,0,0.0102944,0.077988,0,0,0.0125048,0,0,0.0407032,0.0637653,0.0383687,0.0137208,0.0947625,0.0229751,0.0429488,0.0842328,0.0326532,0.0496641,0.051945,0.0264349,0.0338744,0.00805655,0.0388754,0.0118137,0.0148283,0.044805,0,0.0205454,0.0486259,0.0481388,0,0,0.0137684,0,0,0.0308153,0.108131,0.0207735,0.0352843,0.027808,0.096376,0.0443603,0.0436668,0.0498696,0.0713789,0.0647471,0.0286136,0.0305752,0.0178743,0.0394201,0.0142557,0.0488206,0.00790124,0.017803,0.0415183,0.0607009,0,0,0,0,0,0,0
15,0.0280171,0.0632961,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393182,0,0.00858739,0.0782752,0,0,0.0114503,0,0,0.0425843,0.0674236,0.0369607,0.0156571,0.0964753,0.022009,0.0404019,0.0826291,0.0341382,0,0.0540608,0.0287236,0.0357817,0.00885344,0.0382874,0.0104212,0.0130287,0.0473144,0,0.0189596,0.0498279,0.0483904,0,0,0.0130802,0,0,0.0319079,0.108029,0.0221811,0.0361595,0.0280821,0.0986954,0.0445506,0.0436694,0.0500358,0.0715603,0.0653293,0.0293141,0.0308632,0.0187501,0.0407356,0.0166469,0.0474031,0.00752723,0.0183301,0.0422951,0.0612456,0,0,0,0,0,0,0
16,0.0281661,0.062127,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0418177,0,0.0103227,0.0780563,0,0,0.012446,0,0,0.0408103,0.0640776,0.0382802,0.0137166,0.0950902,0.0226841,0.0428338,0.0840613,0.032346,0.050087,0.0518473,0.0263251,0.0336453,0.00795878,0.0390833,0.011573,0.0144937,0.0460163,0,0.0203022,0.0487303,0.0479619,0,0,0.0135596,0,0,0.0310488,0.109588,0.0210523,0.0345418,0.0281935,0.0964067,0.0441584,0.0436307,0.0500407,0.0715721,0.0649051,0.0286092,0.0305473,0.0177975,0.0396063,0.0151667,0.0484528,0.00799687,0.0177223,0.041511,0.060704,0,0,0,0,0,0,0
17,0.0276501,0.0622229,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04207,0,0.0111782,0.078666,0,0,0.0123881,0,0,0.0409838,0.0641689,0.0384077,0.0136766,0.0953037,0.0224588,0.0430483,0.0843355,0.0322161,0.0502517,0.0516338,0.0257942,0.0331224,0.00806087,0.0386535,0.0115193,0.0143911,0.045974,0,0.0196484,0.0484855,0.0484761,0,0,0.0109717,0,0,0.0282742,0.110023,0.0215395,0.0348056,0.0287085,0.0966745,0.0433414,0.0438778,0.0500976,0.0717362,0.065225,0.0290766,0.0300714,0.0179488,0.0402109,0.014968,0.0483549,0,0.0209933,0.0415732,0.060636,0,0,0,0,0,0,0
18,0.0280544,0.0625453,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0418559,0,0.0111984,0.0788221,0,0,0.0122827,0,0,0.041301,0.0645826,0.0385329,0.0137027,0.0953734,0.0224577,0.0429095,0.0842365,0.032296,0.0493229,0.0515672,0.025676,0.032966,0.00820989,0.0387243,0.0114722,0.0140902,0.0465072,0,0.0194823,0.0485908,0.0480416,0,0,0.0122531,0,0,0.0318611,0.109173,0.0217098,0.0356136,0.0287954,0.0966034,0.0440974,0.0437661,0.0501139,0.0718227,0.0652448,0.0290626,0.0301436,0.0180994,0.0402004,0.015119,0.0483923,0.00951235,0.0161732,0.0417956,0.0605733,0,0,0,0,0,0,0
19,0.0281638,0.0622571,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0409117,0,0.010948,0.0790297,0,0,0.012377,0,0,0.0410978,0.0651445,0.0381323,0.0138017,0.0957541,0.0229145,0.0425263,0.0840811,0.0326348,0.0490723,0.0516473,0.0258559,0.0333763,0.0076815,0.0389109,0.0114053,0.0143238,0.0466473,0,0.0198026,0.0489981,0.0481324,0,0,0.0129649,0,0,0.0310053,0.108659,0.0216291,0.0361368,0.0291897,0.0967934,0.0442179,0.0438474,0.0501615,0.0720139,0.0654663,0.0288007,0.0298881,0.0175917,0.040042,0.0155122,0.0480607,0.0081966,0.017021,0.0414018,0.0609393,0,0,0,0,0,0,0
20,0.0282639,0.0621925,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406498,0,0.0109585,0.0791208,0,0,0.0123532,0,0,0.0410515,0.0651424,0.0379682,0.0136786,0.095857,0.0229388,0.0424309,0.0840231,0.0325439,0.0494635,0.0515406,0.0256537,0.0332871,0.00746337,0.0388912,0.0112527,0.0143926,0.0468792,0,0.0197624,0.0490325,0.0481218,0,0,0.0128359,0,0,0.0309309,0.108244,0.0216997,0.0358612,0.0293958,0.0968087,0.0442414,0.0440504,0.0502341,0.0721625,0.0656348,0.0287234,0.029797,0.0174713,0.0399671,0.0155037,0.0478105,0.00803891,0.0171396,0.041343,0.0610441,0,0,0,0,0,0,0
