Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,x77,LTHII,,LILC
108,0.02881,0.0645096,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370613,0,0.00810374,0.0803901,0,0,0.0141579,0,0,0.0397921,0.0690767,0.0336542,0.0205121,0.0835184,0.022945,0.0345974,0.0712945,0.0262842,0.0671851,0.0564761,0,0.0358282,0.0035063,0.0417983,0.0117859,0.0143909,0.0543987,0,0.0295834,0.0750106,0.047057,0,0,0.0126124,0,0,0.016237,0.111988,0.00414985,0.120481,0.0431688,0.106994,0.0380463,0.0294846,0.0379456,0.0536366,0.0587622,0.0404258,0.0325968,0.0226987,0.0510709,0.0170925,0.0501938,0,0.0173372,0.0436965,0.0630907,0,0,0,0,0.0659554,0,0
109,0.0286404,0.0647913,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393993,0,0.00723557,0.081325,0,0,0.014693,0,0,0.039614,0.0663426,0.035332,0.0194417,0.0833553,0.0226225,0,0.0728696,0.0252648,0.0681464,0.0548563,0,0.0355144,0.00747701,0.0423233,0.0119552,0.0142168,0.0551391,0,0.0299411,0.0749337,0.0468688,0,0,0.0128055,0,0,0.0158132,0.112561,0.00333741,0.120557,0.0434092,0.106768,0.0369789,0.0309402,0.0375616,0.0542012,0.0599051,0.0406535,0.0326862,0.0228445,0.0512787,0.0176868,0.0507812,0,0.0169184,0.0439799,0.0626516,0,0,0,0,0.0661127,0,0
110,0.0301355,0.0632732,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0319156,0,0.0105757,0.0774124,0,0,0.013763,0,0,0.0392305,0,0.0351541,0.0217273,0.0839586,0.023522,0.0286893,0.0671583,0.0310903,0.0654864,0.0593499,0,0.0348083,0.0106708,0.0418757,0.0122118,0.0154743,0.0519736,0,0.0303795,0.0772067,0.0469498,0,0,0.0197304,0,0,0.0154753,0.112106,0.00420151,0.124011,0.0426067,0.107816,0.0414313,0.0301103,0.0371065,0.0547292,0.0590235,0.0405244,0.0322804,0.0229281,0.050549,0.0136346,0.047723,0,0.0148493,0.0424724,0.0648607,0,0,0,0,0.0678737,0,0
111,0.0303691,0.0635309,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0319918,0,0.0102767,0.077353,0,0,0.0136567,0,0,0.039638,0,0.035928,0.0218508,0.0839525,0.0235615,0.0277033,0.0667045,0.0315773,0.0655808,0.0597147,0,0.0345128,0.0120745,0.0421774,0.011987,0.0148659,0.051635,0,0.0311209,0.0778155,0.046685,0,0,0.0220556,0,0,0.0150271,0.11294,0.00515103,0.125097,0.0416238,0.107967,0.0416313,0.0310177,0.0364946,0.0550921,0.0593254,0.0406764,0.0322611,0.0232898,0.0503037,0.0133295,0.0471397,0,0.0129171,0.0425395,0.0648968,0,0,0,0,0.0680839,0,0
112,0.0298004,0.0634548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0332291,0,0.0107236,0.0774219,0,0,0.0142464,0,0,0.0385891,0,0.0338915,0.0225603,0.0833038,0.0236994,0.0267677,0.0662519,0.0299963,0.0648115,0.0598794,0,0.0345256,0.0086509,0.0421125,0.0127271,0.0160385,0.0490994,0,0.031934,0.0777468,0.0470459,0,0,0.022666,0,0,0.0142405,0.113885,0.00809189,0.12616,0.0410825,0.107866,0.0414274,0.032528,0.0353915,0.0554927,0.0597521,0.041129,0.031882,0.0236319,0.0500179,0.0108006,0.0476206,0,0.0120929,0.0425639,0.064699,0,0,0,0,0.0666736,0,0
113,0.0306278,0.064702,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0319673,0,0.00966921,0.0778186,0,0,0.0130182,0,0,0.0413351,0,0.0400145,0.0212314,0.0862916,0.0229874,0.0263174,0.0669762,0.0345005,0.0664989,0.059244,0,0.0338728,0.0166125,0.0420552,0.0111748,0.0128011,0.0524831,0,0.0317869,0.0795392,0.0465807,0,0,0.0231909,0,0,0.014786,0.113727,0.00532594,0.12736,0.0409773,0.110135,0.0408603,0.0326309,0.0355496,0.0555071,0.0607299,0.0416641,0.0328448,0.0243143,0.0511886,0.014745,0.0465384,0,0.0125478,0.04335,0.0655121,0,0,0,0,0.0702443,0,0
114,0.0302844,0.0633101,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0321923,0,0.0103912,0.0770709,0,0,0.0141318,0,0,0.0390134,0,0.0354334,0.0222742,0.0850229,0.0237114,0.026005,0.0660338,0.0319923,0.065169,0.0602244,0,0.0349277,0.0112128,0.0423669,0.0123267,0.0152862,0.049399,0,0.0325354,0.0797031,0.0469437,0,0,0.0232792,0,0,0.0143652,0.114364,0.00864962,0.128116,0.0409102,0.109397,0.0412377,0.0339941,0.0349821,0.0562709,0.0612127,0.0411238,0.032219,0.0237247,0.0504351,0.0118836,0.0474718,0,0.0121564,0.0422631,0.0657971,0,0,0,0,0.0678279,0,0
115,0.0303752,0.0632943,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323381,0,0.0102447,0.0774658,0,0,0.0142024,0,0,0.0389564,0,0.0354148,0.0224256,0.085558,0.0238254,0.0258917,0.0656649,0.0322493,0.0651036,0.0605402,0,0.0350379,0.0110308,0.0424594,0.0123604,0.0152401,0.0490467,0,0.0327627,0.0806055,0.0469419,0,0,0.0232838,0,0,0.0144448,0.114771,0.00956688,0.129241,0.0405863,0.109959,0.0410492,0.0347573,0.034767,0.0567066,0.0619625,0.0409423,0.0321063,0.0237503,0.0504661,0.0119247,0.0475431,0,0.012202,0.0420685,0.0661929,0,0,0,0,0.0678699,0,0
116,0.0297018,0.0651941,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395754,0,0.0062054,0.080304,0,0,0.0150177,0,0,0.0398099,0.0723067,0.0335861,0.0215391,0.0856341,0.0225541,0.0310896,0.0685943,0.02681,0.0663151,0.0583249,0,0.036054,0.00677906,0.0433336,0.0119873,0.0133434,0.0534239,0,0.0325658,0.0798086,0.0464915,0,0,0.0221625,0,0,0.0141421,0.114628,0.00771691,0.129425,0.0414628,0.110138,0.0381166,0.0362307,0.0352625,0.0570152,0.0637297,0.041438,0.0328326,0.024304,0.0516193,0.0160336,0.0484492,0,0.0120892,0.0434801,0.0648461,0,0,0,0,0.0651144,0,0
117,0.0298915,0.0650811,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039813,0,0.00598463,0.0802521,0,0,0.0149913,0,0,0.0398704,0.0724762,0.0333514,0.0220289,0.0859292,0.0225407,0.03113,0.0682859,0.026715,0.0660288,0.0587876,0,0.0362986,0.0070448,0.0435426,0.0118224,0.0133118,0.0540852,0,0.0323669,0.0805785,0.0464027,0,0,0.0222846,0,0,0.0142525,0.114566,0.00728042,0.130978,0.0414827,0.110532,0.0378637,0.0367575,0.0357679,0.0576555,0.064331,0.0413197,0.0331105,0.0242596,0.0516268,0.0166905,0.048486,0,0.0119705,0.0432763,0.0651607,0,0,0,0,0.0647994,0,0
118,0.0306661,0.0636725,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336474,0,0.00921939,0.0779339,0,0,0.0140869,0,0,0.0393575,0,0.0353821,0.0232547,0.0868485,0.0232607,0.0257608,0.0649534,0.0324183,0.0646175,0.061395,0,0.0352848,0.0105523,0.0428689,0.0120055,0.0146914,0.0512153,0,0.0319946,0.0832673,0.0468607,0,0,0.0232324,0,0,0.0147332,0.114725,0.00801307,0.133946,0.0404397,0.111688,0.0400521,0.0366674,0.0362528,0.0587238,0.0639886,0.0406144,0.0325081,0.0236454,0.0505215,0.0134884,0.0475721,0,0.0120285,0.0419304,0.0669014,0,0,0,0,0.0675219,0,0
119,0.0309794,0.0643227,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0325495,0,0.00932355,0.078659,0,0,0.0135364,0,0,0.0407771,0,0.0392228,0.0225798,0.0885889,0.0230399,0.0251553,0.0653464,0.0356592,0.0654061,0.0611679,0,0.0346589,0.0157523,0.0424929,0.0114853,0.0129258,0.0522407,0,0.0318989,0.0853657,0.0469657,0,0,0.023104,0,0,0.0147727,0.115863,0.00607607,0.135476,0.0400409,0.113566,0.0400317,0.0376617,0.0364095,0.0593023,0.0652309,0.0410193,0.0323467,0.0237265,0.0514425,0.0151863,0.0470563,0,0.0123621,0.0421332,0.0676013,0,0,0,0,0.0700559,0,0
120,0.0307855,0.0635945,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337043,0,0.00937122,0.0785756,0,0,0.0145331,0,0,0.0390512,0,0.0352314,0.0235783,0.0874738,0.0232517,0.0246884,0.0643637,0.0330197,0.0641734,0.0620635,0,0.035506,0.0109054,0.0428228,0.0125978,0.0146711,0.0502494,0,0.0324282,0.0852832,0.0470855,0,0,0.0232824,0,0,0.0145157,0.11603,0.0092581,0.137518,0.0393233,0.113102,0.0399551,0.0385196,0.0370029,0.060224,0.0656325,0.0403789,0.031791,0.0229704,0.0504664,0.0130843,0.0475957,0,0.0118921,0.0414954,0.0676077,0,0,0,0,0.0677775,0,0
121,0.030854,0.0635939,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339782,0,0.00925914,0.0789903,0,0,0.0147946,0,0,0.0389008,0,0.035018,0.0236202,0.0878716,0.0230298,0.0243399,0.0640545,0.0331653,0.0640004,0.062388,0,0.0356139,0.0107346,0.042881,0.0126969,0.0146923,0.0496724,0,0.0325085,0.0862386,0.0472001,0,0,0.0232056,0,0,0.014467,0.116374,0.0104772,0.139892,0.0390076,0.113971,0.0397332,0.0392703,0.0374399,0.060994,0.0665294,0.0403805,0.0316452,0.0228938,0.0504285,0.013495,0.0476551,0,0.0119719,0.0414823,0.0679622,0,0,0,0,0.067969,0,0
122,0.030944,0.0637644,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343545,0,0.00905236,0.0792304,0,0,0.0149812,0,0,0.0388753,0,0.0349681,0.0238658,0.0881979,0.0226506,0.0241984,0.0635564,0.0332349,0.0637668,0.0627522,0,0.0356055,0.0107212,0.0429439,0.0127252,0.0144857,0.0484897,0,0.0326845,0.087334,0.0471863,0,0,0.0231679,0,0,0.01451,0.116835,0.0119656,0.142897,0.0386655,0.114726,0.0393116,0.0400128,0.037595,0.061643,0.0670516,0.0404117,0.0317861,0.0231508,0.0501163,0.0138466,0.0477409,0,0.0119134,0.0415816,0.0681905,0,0,0,0,0.0679372,0,0
123,0.0312904,0.0646269,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033897,0,0.00858175,0.0796743,0,0,0.0144413,0,0,0.0403993,0,0.038477,0.0232164,0.0900731,0.021896,0.0238425,0.0639404,0.0360007,0.0645484,0.0625808,0,0.0349046,0.0146527,0.0427562,0.0119555,0.0125188,0.0482763,0,0.0326935,0.0894876,0.0471781,0,0,0.0226805,0,0,0.0147334,0.117749,0.011775,0.14636,0.038686,0.116687,0.0389088,0.0408479,0.0373865,0.0620279,0.0683356,0.0409934,0.032327,0.0239397,0.0506176,0.0157794,0.0473192,0,0.0122219,0.0421772,0.0687821,0,0,0,0,0.0701222,0,0
124,0.0310751,0.0638333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347234,0,0.00899768,0.0791331,0,0,0.0155747,0,0,0.0385987,0,0.0345044,0.0244777,0.0890961,0.021985,0.0232569,0.0628007,0.0334802,0.0632532,0.0632865,0,0.035579,0.0104087,0.043092,0.0129986,0.0143841,0.0449297,0,0.0336339,0.0898359,0.047396,0,0,0.0228291,0,0,0.0144234,0.118621,0.0142152,0.150229,0.0387916,0.116322,0.0387802,0.0421616,0.0373337,0.0627761,0.0689909,0.0405558,0.0322392,0.0238082,0.0494232,0.0141055,0.0479956,0,0.0119619,0.0416594,0.0687781,0,0,0,0,0.067702,0,0
125,0.0311055,0.0641836,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349734,0,0.00891506,0.0793675,0,0,0.0155856,0,0,0.0389128,0,0.0348324,0.0245239,0.089487,0.0213136,0.0228139,0.0623653,0.0334201,0.062946,0.0632922,0,0.0350655,0.0109217,0.0430026,0.0129141,0.0138634,0.0446098,0,0.033608,0.0905781,0.0474899,0,0,0.0226339,0,0,0.0146646,0.118814,0.0136696,0.154626,0.0391039,0.116946,0.0384276,0.0431929,0.0375422,0.063429,0.0701987,0.0404724,0.0327244,0.0242387,0.0492816,0.0142997,0.0480492,0,0.0116685,0.0420525,0.068798,0,0,0,0,0.0674873,0,0
126,0.0314234,0.0642711,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347326,0,0.00862577,0.0793657,0,0,0.0157676,0,0,0.0388535,0,0.0344461,0.0245158,0.0901918,0.0210355,0.022396,0.0617238,0.0334239,0.0627864,0.0634875,0,0.0350349,0.0108216,0.0432571,0.0129233,0.0137148,0.0442251,0,0.0339561,0.0915861,0.0473706,0,0,0.022705,0,0,0.0146936,0.119171,0.0135561,0.158677,0.0390918,0.11776,0.0380033,0.043908,0.0375282,0.0637684,0.0711193,0.0401965,0.0332322,0.0244278,0.0489475,0.0146894,0.0479372,0,0.0117353,0.0420361,0.0691568,0,0,0,0,0.0672479,0,0
127,0.0313936,0.0641911,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346099,0,0.00883992,0.0797724,0,0,0.016199,0,0,0.0382983,0,0.0334838,0.0247836,0.0909489,0.0207084,0.0222252,0.0613143,0.0331783,0.0624977,0.0635046,0,0.0349944,0.00992999,0.0432829,0.0131996,0.0141939,0.0433429,0,0.0340576,0.0930299,0.0475849,0,0,0.0225657,0,0,0.0144956,0.120099,0.0133746,0.162678,0.0391153,0.119004,0.0378921,0.0448443,0.0374368,0.0640989,0.0720211,0.040178,0.0332887,0.0244556,0.0489198,0.0145017,0.0481052,0,0.0121067,0.0419345,0.0696831,0,0,0,0,0.0669016,0,0
128,0.031478,0.0642339,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344272,0,0.00871856,0.0799875,0,0,0.0164393,0,0,0.0383004,0,0.0330168,0.0250267,0.0916943,0.0203082,0.0219873,0.0609393,0.0330277,0.0622855,0.0634938,0,0.034746,0.00970087,0.0433023,0.0132049,0.0140689,0.0435158,0,0.0338974,0.0944988,0.0475065,0,0,0.0224897,0,0,0.0145255,0.120594,0.0128773,0.167067,0.0390017,0.120234,0.0377504,0.0453377,0.0376465,0.0643441,0.0725037,0.0400272,0.0333812,0.0244233,0.0488837,0.0147576,0.0480769,0,0.0121767,0.0419859,0.070051,0,0,0,0,0.0666252,0,0
129,0.0314405,0.0643675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343146,0,0.0087072,0.0800683,0,0,0.0166312,0,0,0.0383086,0,0.0325204,0.0250317,0.0922374,0.0198992,0.0216962,0.0605736,0.0326658,0.0619655,0.0634977,0,0.0344507,0.00965161,0.043266,0.0131453,0.0139631,0.044378,0,0.0333915,0.0958168,0.0475708,0,0,0.0223297,0,0,0.0146226,0.120717,0.0116394,0.171892,0.0393063,0.121435,0.0376472,0.0457095,0.0378746,0.0645679,0.0731922,0.039946,0.0332931,0.0243454,0.0490527,0.0152301,0.0480098,0,0.0121493,0.0421184,0.0703094,0,0,0,0,0.0662223,0,0
130,0.0314349,0.0643525,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339622,0,0.00868053,0.0804041,0,0,0.0168531,0,0,0.0382201,0,0.0318649,0.0248924,0.0928081,0.0195594,0.0214339,0.0601781,0.0323424,0.0616571,0.0635372,0,0.0343227,0.00962846,0.043332,0.0131427,0.0139552,0.0458465,0,0.0327638,0.0970534,0.0476962,0,0,0.0222534,0,0,0.0146828,0.120598,0.00980949,0.176904,0.0398986,0.122667,0.037526,0.0459151,0.0380941,0.0646456,0.0740239,0.0397933,0.0331835,0.0241318,0.0492884,0.0162495,0.0478531,0,0.0122837,0.0421086,0.0706624,0,0,0,0,0.0658515,0,0
131,0.0315,0.0643799,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336041,0,0.00871842,0.0811959,0,0,0.0170421,0,0,0.0380761,0,0.0311438,0.0250258,0.093389,0.0191316,0.0214584,0.0596879,0.0319644,0.0612892,0.0635259,0,0.0339837,0.00973723,0.0433231,0.0131424,0.0139636,0.0475091,0,0.0318486,0.0984112,0.0478699,0,0,0.0221505,0,0,0.0147789,0.120523,0.00747149,0.182204,0.0406032,0.123913,0.037381,0.0460484,0.0383896,0.0646312,0.0748573,0.0395526,0.0331244,0.0238264,0.0495907,0.01769,0.0476723,0,0.0123843,0.0421469,0.0709948,0,0,0,0,0.065407,0,0
132,0.0316008,0.0644149,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331963,0,0.00883421,0.0819343,0,0,0.0172324,0,0,0.0379027,0,0.0305092,0.0254377,0.0939903,0.0187358,0.0216906,0.0592933,0.0315443,0.0609132,0.0634374,0,0.0336052,0.0100126,0.0432719,0.0131614,0.0139381,0.0488772,0,0.0308468,0.099642,0.0480841,0,0,0.0219922,0,0,0.0148274,0.120745,0.00534887,0.187721,0.0415335,0.125159,0.0372482,0.046181,0.0387098,0.0645704,0.0754399,0.0391646,0.0330047,0.023383,0.0495327,0.0190455,0.0475091,0,0.0124388,0.0421938,0.0713663,0,0,0,0,0.0649784,0,0
133,0.0319792,0.0649432,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322059,0,0.00822523,0.0829539,0,0,0.016849,0,0,0.0389667,0,0.0325585,0.0248912,0.0957788,0.0180841,0.0216641,0.0595881,0.033146,0.0614133,0.0627224,0,0.0324164,0.0121268,0.0429889,0.0125541,0.0125141,0.0496593,0,0.0302626,0.101226,0.0483257,0,0,0.0214015,0,0,0.0151744,0.122147,0.00495215,0.193257,0.0420744,0.12731,0.0371748,0.0466105,0.0382983,0.0643692,0.0760077,0.0389068,0.0329479,0.0232702,0.04923,0.0194385,0.0469622,0,0.0126067,0.0426097,0.0720987,0,0,0,0,0.066259,0,0
134,0.0324798,0.0657245,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322825,0,0.00759535,0.0835556,0,0,0.0167838,0,0,0.0392711,0,0.0330309,0.0248421,0.0971264,0.0173401,0.0217014,0.059332,0.0331542,0.0614608,0.0623219,0,0.0312515,0.0124958,0.042824,0.0125214,0.0120807,0.049553,0,0.0303592,0.102603,0.0482764,0,0,0.0211559,0,0,0.0153726,0.123539,0.00562791,0.198951,0.0418323,0.128938,0.0367015,0.0470697,0.037772,0.0641188,0.0760337,0.0381618,0.0329958,0.0230343,0.0480285,0.0183034,0.0466416,0,0.0126822,0.04326,0.0724322,0,0,0,0,0.0662087,0,0
135,0.0322827,0.0649567,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320955,0,0.00858512,0.0832649,0,0,0.0174583,0,0,0.0381764,0,0.0297508,0.0262145,0.0969911,0.0174799,0.0217624,0.0583296,0.0309663,0.0604559,0.0625743,0,0.0313564,0.0115763,0.0430408,0.0126565,0.0129733,0.0473968,0,0.030683,0.104095,0.0488664,0,0,0.0213499,0,0,0.0153688,0.12405,0.00664237,0.205567,0.0413496,0.128965,0.0365601,0.0475116,0.0371864,0.0637867,0.0754638,0.0374202,0.0322508,0.0222247,0.0466503,0.015553,0.0470601,0,0.0124271,0.0427318,0.0727054,0,0,0,0,0.0643254,0,0
136,0.0311826,0.0659607,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420818,0,0.00795213,0.0855267,0,0,0.0192053,0,0,0.0369501,0.0814036,0.0237739,0.0307515,0.0957895,0.0172801,0.0298079,0.0615235,0.0204932,0.060345,0.0613639,0,0.0334787,0.0197089,0.0442462,0.01305,0.0134192,0.0461876,0,0.0326346,0.107297,0.0484646,0,0,0.0199612,0,0,0.01482,0.126855,0.0123702,0.210579,0.0418977,0.127801,0.0330001,0.0505124,0.0362244,0.0640597,0.0761449,0.0366733,0.0316297,0.0216144,0.0443737,0.0120546,0.0493197,0,0.011878,0.0434363,0.0706769,0,0,0,0,0.0584371,0,0.017578
137,0.032791,0.0651323,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320494,0,0.0086652,0.0837296,0,0,0.0175356,0,0,0.0378822,0,0.0276974,0.0276243,0.0999348,0.0170359,0.0220098,0.0575871,0.0302451,0.0601372,0.0621376,0,0.0304907,0.0127118,0.0429471,0.0124251,0.0129395,0.0458615,0,0.0312097,0.110743,0.0496226,0,0,0.0205941,0,0,0.0158535,0.126896,0.0083776,0.217282,0.0412127,0.131879,0.0364063,0.050235,0.0359259,0.063987,0.0764762,0.0363418,0.031291,0.021357,0.044512,0.013554,0.0466785,0,0.0128955,0.0426829,0.0740848,0,0,0,0,0.0635767,0,0
138,0.031478,0.066258,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042505,0,0.00844127,0.08595,0,0,0.019647,0,0,0.0366899,0.0817203,0.0221393,0.0326083,0.0982752,0.0167368,0.0302074,0.0611408,0.0197214,0.0595062,0.0619717,0,0.0328786,0.0220606,0.043981,0.0133904,0.0136707,0.0437078,0,0.0336772,0.110304,0.0490124,0,0,0.019499,0,0,0.0149543,0.128764,0.0146681,0.222845,0.0412865,0.130381,0.0328022,0.0538095,0.0358206,0.065016,0.0775134,0.0358713,0.0312334,0.0214,0.042626,0.0100554,0.0493098,0,0.0118499,0.043642,0.0716831,0,0,0,0,0.0578165,0,0.0179846
139,0.0317187,0.0663717,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425638,0,0.00856961,0.085725,0,0,0.0197239,0,0,0.036726,0.080879,0.0218828,0.0326577,0.0996276,0.0164669,0.0300421,0.0610871,0.0199131,0.0590822,0.062532,0,0.0327564,0.0228426,0.0438627,0.0134608,0.013701,0.0426338,0,0.0342018,0.111507,0.0491666,0,0,0.0193509,0,0,0.0149847,0.129216,0.0154981,0.229162,0.0409741,0.131743,0.0326458,0.0555283,0.036577,0.0661854,0.0784426,0.0357061,0.0317385,0.0216842,0.0422412,0.00948887,0.0492833,0,0.0117747,0.0436867,0.072263,0,0,0,0,0.0578793,0,0.0181083
140,0.0319274,0.066455,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425759,0,0.00884613,0.0853882,0,0,0.0196704,0,0,0.0367731,0.0797814,0.0216815,0.032711,0.100937,0.0161167,0.0300188,0.0610104,0.0199446,0.0585784,0.0631536,0,0.0325513,0.023678,0.0437268,0.0134065,0.0136477,0.0418275,0,0.034666,0.112975,0.0493313,0,0,0.0192075,0,0,0.015048,0.129756,0.0162698,0.235728,0.0406161,0.133137,0.0324578,0.0571709,0.0378264,0.0676071,0.079386,0.0356738,0.0322844,0.0221649,0.042075,0.00894013,0.0493019,0,0.0116868,0.0437058,0.0728379,0,0,0,0,0.0578975,0,0.0183418
141,0.032039,0.0665174,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0427019,0,0.009261,0.0852301,0,0,0.0195046,0,0,0.0368318,0.0783715,0.021514,0.0327467,0.102234,0.015955,0.0301651,0.0610082,0.0198309,0.05797,0.0639242,0,0.0322569,0.0245838,0.0434644,0.013284,0.0135297,0.0410646,0,0.0349114,0.11461,0.0495031,0,0,0.0190359,0,0,0.0151657,0.130331,0.0170162,0.242389,0.0402061,0.134667,0.032137,0.0587017,0.0391279,0.0689997,0.080336,0.0357215,0.032734,0.0226436,0.0419813,0.00839039,0.0494335,0,0.0115844,0.0437709,0.0733839,0,0,0,0,0.05794,0,0.0186311
142,0.0324028,0.0663171,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0424685,0,0.0098678,0.0850494,0,0,0.0193837,0,0,0.0367477,0.0779931,0.0214741,0.0326295,0.103749,0.0161785,0.0302375,0.0610477,0.0198762,0.0573715,0.064784,0,0.0324536,0.0257474,0.04334,0.0132566,0.0135977,0.0403747,0,0.0354204,0.116348,0.0494936,0,0,0.0190277,0,0,0.0152604,0.13105,0.0179614,0.249066,0.0398654,0.136309,0.0315388,0.0599023,0.0399103,0.0699546,0.0811662,0.03561,0.0328841,0.0227405,0.0417326,0.00820766,0.0494374,0,0.0116467,0.0436596,0.0740877,0,0,0,0,0.0580752,0,0.0189751
143,0.0326328,0.066221,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423753,0,0.0106789,0.0850973,0,0,0.0192104,0,0,0.0367965,0.0777881,0.0214864,0.0324969,0.105225,0.0160705,0.0306206,0.0613531,0.019621,0.0566633,0.0655237,0,0.0324742,0.0269069,0.0430587,0.0133462,0.0136679,0.0398022,0,0.0353907,0.117878,0.0494745,0,0,0.0188075,0,0,0.015307,0.131956,0.0188642,0.256022,0.0395506,0.137906,0.0312417,0.060972,0.0403556,0.0706374,0.0819898,0.0353851,0.0327532,0.0226751,0.0413434,0.0075856,0.0496069,0,0.0115122,0.0437587,0.0745499,0,0,0,0,0.0581474,0,0.0191265
144,0.0328529,0.0659323,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0418512,0,0.0116261,0.0849688,0,0,0.019054,0,0,0.0368141,0.0775358,0.0214996,0.0322696,0.107026,0.0160565,0.0310319,0.0617403,0.0194609,0.0559444,0.0662556,0,0.0325952,0.0280001,0.0429237,0.0133071,0.0137685,0.0393524,0,0.0351373,0.119585,0.0496155,0,0,0.01867,0,0,0.0152943,0.133043,0.0200749,0.262984,0.0392695,0.139554,0.0309661,0.061745,0.0405429,0.0711004,0.0826956,0.0349069,0.0323918,0.0222682,0.040752,0.00722573,0.0495659,0,0.0114846,0.0436915,0.0751633,0,0,0,0,0.058342,0,0.019402
145,0.0331063,0.0656248,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0409129,0,0.0127385,0.0845285,0,0,0.0188362,0,0,0.0368806,0.0772696,0.0215441,0.0320137,0.109108,0.0162477,0.0316298,0.0623382,0.0193727,0.0551483,0.0671416,0,0.0326883,0.0289333,0.0427968,0.0132235,0.0138014,0.0390407,0,0.0348736,0.121381,0.0496934,0,0,0.0186887,0,0,0.0153919,0.134116,0.021587,0.269964,0.0389249,0.141239,0.0306884,0.0622882,0.0407599,0.0715386,0.0832283,0.0343884,0.0319613,0.0217774,0.0400662,0.00707387,0.0494171,0,0.0114734,0.0435699,0.0757993,0,0,0,0,0.0586509,0,0.019754
146,0.033227,0.0654067,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398155,0,0.0139926,0.0839025,0,0,0.0186102,0,0,0.037025,0.0769491,0.0215194,0.0316749,0.111312,0.01638,0.0323844,0.0630207,0.0193116,0.0542325,0.0679982,0,0.0326616,0.0297891,0.0425329,0.0131851,0.0138266,0.0386563,0,0.0348467,0.123123,0.0497105,0,0,0.0185534,0,0,0.0154195,0.135138,0.0229673,0.277205,0.0386485,0.142956,0.0306161,0.0628434,0.0411775,0.0721267,0.0837458,0.0340572,0.031301,0.0214114,0.0394912,0.00692941,0.0492872,0,0.0114188,0.0435046,0.0763201,0,0,0,0,0.0590747,0,0.0202001
