Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LEAR,LTIB,FTL,LGTR,,LILC,x77
109,0.0314981,0.0565234,0,0,0,0,0,0,0,0,0,0,0,0,0.0297808,0,0.0212032,0.0692235,0,0.00528301,0,0,0.0303864,0.0293443,0.0235372,0.0521192,0.0300741,0.0523796,0.0777279,0,0.0138079,0.0556985,0,0.0307691,0.0103133,0.037275,0,0.0236919,0.0256519,0,0.0251909,0.038645,0.0438058,0,0,0.0263939,0,0,0.026311,0.0843335,0.0267329,0.0217995,0.027039,0.0633427,0.0355763,0.0368867,0.0639972,0.0631299,0.0408219,0.026097,0.0234344,0.0100996,0.0343776,0.0283705,0.0437163,0.0123593,0.0125973,0.0456455,0.048466,0,0,0,0,0.0523303,0,0.142569,0,0,0
110,0.0314363,0.0563169,0,0,0,0,0,0,0,0,0,0,0,0,0.0309858,0,0.0226401,0.0684679,0,0.00538921,0,0,0.0305143,0.0289127,0.0271698,0.0516558,0.0297596,0.0528866,0.0766597,0.0579075,0.0122642,0.0559904,0.0310973,0.0288175,0.00894913,0.0371122,0,0.0236794,0.0270525,0,0.0252906,0.0372772,0.0439149,0,0,0.0266484,0,0,0.026233,0.0845634,0.0259927,0.0226786,0.0274524,0.0637641,0.0358793,0.0370673,0.0634863,0.0631885,0.0413518,0.0263516,0.0238794,0.0105001,0.034759,0.026043,0.0434242,0.0124128,0.0127168,0.0454767,0.0485484,0,0,0,0,0.0520133,0,0.149429,0,0,0
111,0.0315724,0.0561258,0,0,0,0,0,0,0,0,0,0,0,0,0.0310058,0,0.0228095,0.0681402,0,0.00568389,0,0,0.0305419,0.0290493,0.0273638,0.0515675,0.029659,0.051879,0.0761857,0.0578077,0.0123094,0.0558289,0.031014,0.0286676,0.00884818,0.0369922,0,0.0236373,0.0281417,0,0.0254128,0.0377112,0.0439549,0,0,0.0267402,0,0,0.0261333,0.0841982,0.0253074,0.0228452,0.0276512,0.0636001,0.0355246,0.0368268,0.0629241,0.0633407,0.0417401,0.0266628,0.0245654,0.0109773,0.0351578,0.0242056,0.0436048,0.0122928,0.0127098,0.0453243,0.0485613,0,0,0,0,0.0519005,0,0.147691,0,0,0
112,0.0317123,0.0561258,0,0,0,0,0,0,0,0,0,0,0,0,0.0309453,0,0.0229881,0.0675574,0,0.00599465,0,0,0.0304894,0.0292618,0.0275868,0.0514268,0.0296222,0.0513754,0.0758297,0.0578368,0.0123799,0.0557595,0.0309221,0.0285498,0.00882083,0.0369125,0,0.0235505,0.0292616,0,0.0255396,0.0381687,0.0439893,0,0,0.0268378,0,0,0.026056,0.0838445,0.0247404,0.0230396,0.0278364,0.0634285,0.0351679,0.0365849,0.062336,0.0634995,0.0421121,0.027081,0.0251583,0.0113955,0.0355542,0.0224786,0.043723,0.0121553,0.012741,0.045135,0.048592,0,0,0,0,0.0518605,0,0.146311,0,0,0
113,0.0318071,0.0561028,0,0,0,0,0,0,0,0,0,0,0,0,0.0306959,0,0.0231834,0.0669512,0,0.00626777,0,0,0.030387,0.0296422,0.0278076,0.051263,0.029637,0.051276,0.0756092,0.0579386,0.0123481,0.055681,0.0310039,0.02844,0.00907164,0.0368141,0,0.0234342,0.0304633,0,0.0256734,0.0385222,0.0440451,0,0,0.0268705,0,0,0.0260077,0.0835368,0.0242247,0.0231215,0.0279556,0.063366,0.0349153,0.0364265,0.0617511,0.0636227,0.0425319,0.0276091,0.0252154,0.011774,0.0359529,0.0207563,0.0437686,0.0120782,0.0128331,0.044954,0.0486451,0,0,0,0,0.0517927,0,0.146183,0,0,0
114,0.0319067,0.0559694,0,0,0,0,0,0,0,0,0,0,0,0,0.0308153,0,0.0233323,0.066789,0,0.00653512,0,0,0.0302342,0.0299419,0.028045,0.05118,0.0296736,0.0505967,0.0751424,0.0579918,0.0123158,0.0556107,0.0311084,0.0281923,0.00906549,0.0366598,0,0.0233059,0.0315312,0,0.0258156,0.0388432,0.0440984,0,0,0.0268534,0,0,0.0260105,0.0832065,0.0237573,0.0232731,0.0280938,0.0632948,0.0346271,0.0362495,0.0612631,0.0637343,0.0428641,0.0281094,0.0252699,0.0121135,0.0363451,0.0194414,0.0438197,0.0120268,0.0129555,0.0449001,0.0486923,0,0,0,0,0.0517081,0,0.146237,0,0,0
115,0.0320601,0.0558064,0,0,0,0,0,0,0,0,0,0,0,0,0.0319509,0,0.0226333,0.0669402,0,0.00667662,0,0,0.0301577,0.030713,0.0281276,0.0511907,0.0296792,0.0500623,0.0746096,0.0580221,0.0124027,0.0557758,0.0308539,0.0275772,0.00827588,0.0365543,0,0.0232313,0.0325051,0,0.0259712,0.0392341,0.0441288,0,0,0.026872,0,0,0.0259904,0.0827684,0.0233929,0.0234116,0.0282187,0.0631715,0.0342492,0.0360218,0.0607171,0.0638512,0.0431691,0.0282866,0.0255565,0.0124505,0.0367584,0.0184044,0.0439413,0.011923,0.0129841,0.044981,0.0487748,0,0,0,0,0.0517487,0,0.146083,0,0,0
116,0.0320684,0.0555321,0,0,0,0,0,0,0,0,0,0,0,0,0.0299179,0,0.0223072,0.0648259,0,0.00656833,0,0,0.0303497,0.0255905,0.0282038,0.0506896,0.0298365,0.0479591,0.072185,0.0562563,0.0121989,0.0591565,0.0347058,0.0319992,0.00881299,0.0363451,0,0.0234032,0.0329906,0,0.0261927,0.0385363,0.0440695,0,0,0.0270186,0,0,0.0260925,0.0820172,0.0231676,0.0234813,0.0283814,0.0631277,0.0344699,0.0358096,0.0604578,0.0639586,0.0430171,0.0285032,0.0256695,0.0127369,0.0372516,0.0179486,0.0434926,0.0118521,0.0131663,0.0448309,0.0491141,0,0,0,0,0,0,0.146991,0,0,0
117,0.032375,0.0556277,0,0,0,0,0,0,0,0,0,0,0,0,0.0338798,0,0.0215068,0.0663546,0,0.00675901,0,0,0.0302646,0.032552,0.0283222,0.0512826,0.0296296,0.0500756,0.0739215,0.058064,0.0125403,0.0559078,0.0303052,0.0262719,0.00744326,0.0363797,0,0.023222,0.0341963,0,0.0263735,0.0399148,0.0442054,0,0,0.0268235,0,0,0.0259707,0.081925,0.0227149,0.0235424,0.0284293,0.0629801,0.0336138,0.0357971,0.0599172,0.0643092,0.0439679,0.0288077,0.0260659,0.013203,0.0379662,0.0165126,0.0440828,0.011743,0.0130369,0.0446475,0.0490617,0,0,0,0,0.0527307,0,0.145319,0,0,0
118,0.0324952,0.0555459,0,0,0,0,0,0,0,0,0,0,0,0,0.0345889,0,0.021145,0.0657425,0,0.00704571,0,0,0.0302479,0.0331119,0.028354,0.0513315,0.0297357,0.0494066,0.0736325,0.0581891,0.0125548,0.0559837,0.0301736,0.0258844,0.00713151,0.036182,0,0.0231958,0.0347218,0,0.0263856,0.0401515,0.0442497,0,0,0.0267769,0,0,0.0259844,0.0815252,0.0224847,0.023574,0.0284111,0.0629086,0.0333925,0.0358645,0.0596226,0.0645833,0.0444003,0.0290561,0.0263722,0.0136296,0.0382613,0.0158837,0.0440724,0.0116975,0.0131825,0.0444347,0.0492036,0,0,0,0,0.0525866,0,0.144882,0,0,0
119,0.0325845,0.055455,0,0,0,0,0,0,0,0,0,0,0,0,0.0351949,0,0.0208796,0.0657923,0,0.00732492,0,0,0.0302118,0.0334782,0.0283773,0.0515565,0.0298774,0.0488697,0.0734935,0.0582719,0.012633,0.0560408,0.0300798,0.0256334,0.00679607,0.0358784,0,0.0231777,0.0351305,0,0.0264197,0.0403806,0.0443018,0,0,0.0268257,0,0,0.0260728,0.0810892,0.0222339,0.0235275,0.028408,0.0629013,0.0331688,0.0358548,0.0593753,0.0648145,0.0448175,0.0293099,0.0265683,0.0139312,0.0377549,0.0153561,0.0440467,0.0116301,0.0133719,0.0442171,0.0494023,0,0,0,0,0.0519569,0,0.144524,0,0,0
120,0.0326822,0.0553655,0,0,0,0,0,0,0,0,0,0,0,0,0.0359962,0,0.020653,0.0657713,0,0.00744468,0,0,0.0302239,0.0339824,0.028421,0.0518444,0.0298938,0.0487363,0.0734608,0.0583891,0.0127957,0.0560893,0.0299385,0.0252862,0.0066366,0.0355601,0,0.0231807,0.0356935,0,0.0264129,0.0405791,0.0443963,0,0,0.0266741,0,0,0.0261111,0.0805823,0.0219616,0.0235165,0.0283153,0.0629064,0.0329799,0.0358451,0.0591333,0.0650346,0.0452749,0.0294545,0.0267425,0.0141627,0.0376084,0.0147006,0.0439161,0.0116373,0.0135218,0.0439217,0.049655,0,0,0,0,0.0524174,0,0.144189,0,0,0
121,0.0327532,0.0552825,0,0,0,0,0,0,0,0,0,0,0,0,0.0365696,0,0.0204683,0.065511,0,0.00758805,0,0,0.0303516,0.0340469,0.0283916,0.0521379,0.0298911,0.0487586,0.0732091,0.0585664,0.0129764,0.0561024,0.0298729,0.0251612,0.00620761,0.0352708,0,0.023248,0.0361556,0,0.0262792,0.0406918,0.0445009,0,0,0.0265103,0,0,0.0262153,0.0801027,0.0215089,0.0236451,0.0282141,0.062857,0.0329027,0.0358532,0.0589603,0.0652714,0.0456287,0.0295319,0.0269296,0.0144029,0.0376882,0.0143096,0.0437168,0.0116411,0.0136539,0.0434842,0.0499331,0,0,0,0,0.0523281,0,0.143932,0,0,0
122,0.0327644,0.0552402,0,0,0,0,0,0,0,0,0,0,0,0,0.0370942,0,0.0202617,0.0653663,0,0.00795061,0,0,0.0305232,0.0337709,0.0283516,0.0524311,0.0300709,0.0483281,0.0728563,0.0586991,0.0130926,0.0560517,0.0297936,0.0252408,0.00537037,0.034912,0,0.0233415,0.0363801,0,0.0259288,0.0406293,0.0445132,0,0,0.0263892,0,0,0.0264063,0.0797444,0.0208328,0.0236053,0.0281533,0.0627653,0.0328829,0.0359786,0.0591065,0.0655827,0.0460043,0.0295323,0.0271339,0.0145764,0.0378879,0.0143696,0.0434478,0.0116168,0.0137653,0.0431165,0.050199,0,0,0,0,0.0513539,0,0.143677,0,0,0
123,0.0327867,0.0552334,0,0,0,0,0,0,0,0,0,0,0,0,0.0376739,0,0.0200495,0.065257,0,0.00795172,0,0,0.0307766,0.0335733,0.0282843,0.0528045,0.0301529,0.0480031,0.0727774,0.0588832,0.0132031,0.0559415,0.029691,0.0253013,0.00460145,0.0347369,0,0.0234992,0.036603,0,0.0256412,0.0405401,0.0445696,0,0,0.026294,0,0,0.0266848,0.0794838,0.0201981,0.0233999,0.0280212,0.0628161,0.0329195,0.0362132,0.0596115,0.0659234,0.0463516,0.029446,0.0273329,0.0145121,0.038227,0.0146999,0.0431201,0.0116328,0.0138963,0.0428398,0.0505426,0,0,0,0,0.0511565,0,0.143576,0,0,0
124,0.0332536,0.0554001,0,0,0,0,0,0,0,0,0,0,0,0,0.0419217,0,0.0191743,0.0677223,0,0.00825749,0,0,0.0308113,0.0337049,0.0291723,0.0534472,0.0302823,0,0.075522,0.0592698,0.0140609,0.0543025,0.0280958,0.0234408,0.00483232,0.0345864,0,0.0235179,0.036889,0,0.0253898,0.0400328,0.0449471,0,0,0.0258417,0,0,0.0267555,0.0794944,0.0199972,0.0227643,0.0276361,0.0617944,0.0319202,0.0372127,0.0605581,0.066678,0.0472099,0.0290234,0.027241,0.0139771,0.0383107,0.0146995,0.0436125,0.0116441,0.0138383,0.0428347,0.0503772,0,0,0,0,0.050115,0,0.142351,0,0,0
125,0.032194,0.0557244,0,0,0,0,0,0,0,0,0,0,0,0,0.0388638,0,0.019705,0.0650747,0,0.00874321,0,0,0.0310063,0.0334348,0.0280859,0.0539951,0.0302057,0.0479593,0.0730436,0.0593507,0.0135196,0.0555695,0.0291475,0.0249242,0.00340871,0.0338087,0,0.023737,0.0360599,0,0.025528,0.0404811,0.0455878,0,0,0.0173624,0,0,0.0309986,0.0786121,0.0189996,0.022781,0.0274911,0.0631556,0.0313311,0.0368723,0.060845,0.0666121,0.0469989,0.0290656,0.0271991,0.0138273,0.0385123,0.0151674,0.0436671,0.0102217,0.0164483,0.0424713,0.0507194,0,0,0,0,0.0520047,0,0.14354,0,0,0
126,0.0323509,0.0557729,0,0,0,0,0,0,0,0,0,0,0,0,0.0392542,0,0.0196047,0.0648559,0,0.00922606,0,0,0.0310524,0.0328794,0.0279994,0.0542158,0.0302662,0.0480724,0.0728397,0.0595663,0.0136283,0.055451,0.0289716,0.025028,0.0028085,0.0335049,0,0.0237707,0.0351356,0,0.0253951,0.040454,0.0458221,0,0,0.0169976,0,0,0.0311788,0.0780815,0.018203,0.0227467,0.0273688,0.0632354,0.0313365,0.0372014,0.0612543,0.0667697,0.047114,0.0289524,0.0269831,0.0136662,0.0382676,0.0153078,0.0435023,0.00959464,0.0171995,0.0422202,0.0508945,0,0,0,0,0.0519076,0,0.143515,0,0,0
127,0.0326011,0.0557761,0,0,0,0,0,0,0,0,0,0,0,0,0.0393994,0,0.0196687,0.0647164,0,0.00941516,0,0,0.0311229,0.0319791,0.0278633,0.0543522,0.0302574,0.048328,0.072699,0.0597931,0.0137445,0.0553538,0.0289638,0.0253921,0.00267951,0.0333876,0,0.0238039,0.0336257,0,0.0253467,0.0406014,0.0460233,0,0,0.0169199,0,0,0.0312326,0.0776748,0.0174838,0.0226078,0.0275319,0.0633643,0.0314639,0.0375202,0.0615679,0.066818,0.0471826,0.0289321,0.0267517,0.013655,0.0379632,0.015412,0.0433853,0.00932592,0.0173981,0.0420349,0.0510642,0,0,0,0,0.0515633,0,0.143487,0,0,0
128,0.032927,0.0556917,0,0,0,0,0,0,0,0,0,0,0,0,0.0393756,0,0.0199765,0.0647093,0,0.00961353,0,0,0.0310896,0.0306863,0.0277403,0.0544072,0.0301552,0.0481254,0.0727481,0.0599628,0.0138882,0.0552289,0.0290802,0.0259746,0.0038344,0.0332579,0,0.0237738,0.03182,0,0.0253857,0.0405434,0.0462642,0,0,0.0167418,0,0,0.0312093,0.0772633,0.0169722,0.0226015,0.027989,0.0634217,0.0317007,0.0378354,0.0617771,0.0668521,0.0474149,0.0288632,0.026641,0.0137635,0.0375972,0.015481,0.043299,0.00926267,0.0173903,0.0419068,0.05123,0,0,0,0,0.0509889,0,0.143839,0,0,0
129,0.0332801,0.0555613,0,0,0,0,0,0,0,0,0,0,0,0,0.0393656,0,0.0204769,0.0647805,0,0.00969386,0,0,0.0311256,0.0294937,0.0276728,0.0545645,0.0300093,0.048082,0.072901,0.0600983,0.0140387,0.0550858,0.0291171,0.0264958,0.00574625,0.0331506,0,0.023746,0.0303217,0,0.0255407,0.040123,0.0465227,0,0,0.0165427,0,0,0.0311175,0.076842,0.0163839,0.0223655,0.028523,0.0634144,0.0319362,0.0381121,0.0617484,0.0669352,0.0477964,0.028686,0.0267829,0.0139615,0.0371291,0.0156734,0.043267,0.00926758,0.0173294,0.0418007,0.0513787,0,0,0,0,0.0510474,0,0.144467,0,0,0
130,0.0336659,0.0553829,0,0,0,0,0,0,0,0,0,0,0,0,0.0400572,0,0.0203888,0.06473,0,0.00966288,0,0,0.0312187,0.028928,0.0274496,0.0547849,0.0297354,0.0477691,0.0730002,0.0602167,0.0140638,0.0551022,0.0290455,0.0265609,0.00683033,0.0330802,0,0.0237255,0.0293257,0,0.025643,0.0400999,0.0467252,0,0,0.0164156,0,0,0.0312114,0.0765027,0.015663,0.0221508,0.0288433,0.0633744,0.032198,0.0383503,0.0616119,0.0670774,0.0482147,0.0284941,0.0270769,0.0141795,0.0366975,0.0159658,0.0433125,0.0094195,0.0172129,0.041711,0.051518,0,0,0,0,0.0516532,0,0.144732,0,0,0
131,0.0340617,0.0551102,0,0,0,0,0,0,0,0,0,0,0,0,0.0407945,0,0.0199385,0.0645332,0,0.00963649,0,0,0.0312456,0.028545,0.0270751,0.0550027,0.029429,0.0477444,0.0731666,0.0604347,0.0141072,0.0552057,0.0290065,0.0265781,0.00748483,0.0330241,0,0.0236934,0.0285107,0,0.0256457,0.0396259,0.0468495,0,0,0.0163483,0,0,0.0313511,0.0761137,0.0150954,0.0219603,0.0287994,0.0634417,0.0325044,0.0385129,0.0615468,0.0671861,0.0483945,0.028389,0.0272722,0.0143694,0.0364118,0.0163798,0.043304,0.00953486,0.0170566,0.041673,0.0517378,0,0,0,0,0.0519354,0,0.14518,0,0,0
132,0.0344083,0.0548445,0,0,0,0,0,0,0,0,0,0,0,0,0.041528,0,0.019435,0.0642523,0,0.00970837,0,0,0.0311834,0.0281757,0.0265624,0.0552316,0.0290167,0.0480855,0.0734996,0.0607093,0.0141917,0.0552596,0.028885,0.0265947,0.00832386,0.0329427,0,0.0235919,0.0277772,0,0.0255758,0.0388083,0.0469443,0,0,0.0163322,0,0,0.031409,0.0757166,0.0148426,0.0217447,0.0285829,0.0635139,0.032874,0.0386195,0.06155,0.0671441,0.0482497,0.0283562,0.0272748,0.0144316,0.0363091,0.0167844,0.0433177,0.00956835,0.0169484,0.0416512,0.0519883,0,0,0,0,0.0519158,0,0.145827,0,0,0
133,0.0347289,0.0546175,0,0,0,0,0,0,0,0,0,0,0,0,0.0422802,0,0.0189311,0.0641531,0,0.00980827,0,0,0.0310585,0.0277725,0.02606,0.0555224,0.028471,0.0484503,0.0739474,0.0609539,0.0142099,0.0553017,0.028822,0.0264374,0.009199,0.032837,0,0.023438,0.027268,0,0.0254901,0.0388061,0.0471336,0,0,0.0162983,0,0,0.0313819,0.0754312,0.0149022,0.0213781,0.0285676,0.063553,0.0333557,0.038748,0.0615115,0.0668778,0.0478854,0.0282514,0.0271223,0.0143356,0.0362192,0.0172406,0.0433565,0.00961775,0.0168664,0.041638,0.0522264,0,0,0,0,0.051761,0,0.14626,0,0,0
134,0.0350093,0.0544343,0,0,0,0,0,0,0,0,0,0,0,0,0.0429142,0,0.0183306,0.064517,0,0.00986046,0,0,0.030941,0.0272885,0.0255275,0.0558952,0.0279498,0.048756,0.07443,0.0611658,0.0141379,0.0554741,0.028803,0.026467,0.0100333,0.0326743,0,0.0233005,0.0269785,0,0.0253478,0.0406367,0.047381,0,0,0.0162024,0,0,0.031352,0.0752887,0.015209,0.0208293,0.0287981,0.0635326,0.0340843,0.0389033,0.0614925,0.066453,0.0474505,0.0280432,0.0268133,0.0141024,0.0359872,0.0177809,0.0433606,0.00965037,0.0167705,0.0416718,0.0524473,0,0,0,0,0.0515251,0,0.146549,0,0,0
135,0.0352754,0.0543195,0,0,0,0,0,0,0,0,0,0,0,0,0.0438192,0,0.017673,0.0649897,0,0.00974635,0,0,0.0308956,0.0268349,0.0248238,0.0564147,0.0279669,0.0490023,0.0749002,0.0614302,0.0142186,0.0556921,0.0287837,0.0267114,0.0110543,0.0324426,0,0.0232975,0.026848,0,0.0251811,0.0415108,0.0477014,0,0,0.0161065,0,0,0.0313416,0.0750819,0.0155706,0.0202664,0.0290634,0.0633988,0.0348587,0.0389974,0.0614719,0.0659989,0.0469867,0.0277998,0.0265229,0.0138177,0.0356625,0.01824,0.0434119,0.00970702,0.0166665,0.0418673,0.0526879,0,0,0,0,0.0512668,0,0.146794,0,0,0
136,0.0356511,0.054147,0,0,0,0,0,0,0,0,0,0,0,0,0.0450574,0,0.0171014,0.0648192,0,0.00963911,0,0,0.0308369,0.0265048,0.0241914,0.0570402,0.0276211,0.0492724,0.0754371,0.0617645,0.0143896,0.055829,0.0287237,0.0267618,0.0123296,0.0322345,0,0.0232559,0.0269511,0,0.0250721,0.0414756,0.0480316,0,0,0.0160371,0,0,0.0312953,0.0749782,0.015821,0.0197346,0.0293637,0.0632098,0.035714,0.0391732,0.0613934,0.0657598,0.0466324,0.0276386,0.0262906,0.013514,0.0353881,0.0183057,0.0433846,0.00975911,0.0165076,0.0421606,0.0529992,0,0,0,0,0.0515827,0,0.146974,0,0,0
137,0.0360605,0.0539123,0,0,0,0,0,0,0,0,0,0,0,0,0.0461972,0,0.016535,0.0642534,0,0.00965038,0,0,0.0307552,0.0262457,0.0235209,0.0577202,0.0269697,0.0495807,0.0759808,0.0621682,0.0146009,0.0559726,0.0286134,0.0268102,0.0136174,0.0320172,0,0.023175,0.0272433,0,0.0250572,0.0413664,0.048252,0,0,0.0160116,0,0,0.0311002,0.0750141,0.0159093,0.0192497,0.0296046,0.0630047,0.0367188,0.0394479,0.0613044,0.0656405,0.0464231,0.0275964,0.0262094,0.0132302,0.03523,0.0178458,0.0432584,0.00980579,0.0163285,0.0422149,0.0533114,0,0,0,0,0.0518094,0,0.14762,0,0,0
138,0.0361556,0.0534116,0,0,0,0,0,0,0,0,0,0,0,0,0.0481946,0,0.0165794,0.0627556,0,0.00980601,0,0,0.0308244,0.0244054,0.0237001,0.056937,0.0265316,0.0485132,0.0749418,0.061273,0.014184,0.0577573,0.0299293,0.0277174,0.0158685,0.0315405,0,0.0232481,0.0273131,0,0.0249258,0.0417379,0.0481903,0,0,0.0161763,0,0,0.0307715,0.0742306,0.0159864,0.0193854,0.0292709,0.0630315,0.0393067,0.0394359,0.0614044,0.065864,0.0463797,0.0274088,0.0259616,0.01302,0.0349491,0.0174484,0.0425031,0.00968584,0.01637,0.042312,0.0536614,0,0,0,0,0.0532852,0,0.149634,0,0.0277456,0
139,0.0369043,0.0533863,0,0,0,0,0,0,0,0,0,0,0,0,0.0485434,0,0.0154382,0.0638012,0,0.00976013,0,0,0.0306818,0.0260422,0.0219467,0.0591858,0.0258322,0.0502373,0.0773036,0.0630636,0.015,0.0563608,0.0283987,0.026993,0.0162952,0.0314393,0,0.0230962,0.0274967,0,0.0251724,0.0417616,0.0486303,0,0,0.0161582,0,0,0.0304526,0.0751995,0.0160048,0.0181021,0.0299769,0.062636,0.0390838,0.0397552,0.0613153,0.0654277,0.0458616,0.0276474,0.0256619,0.0128541,0.0349137,0.0168582,0.0428791,0.00974083,0.0158277,0.0421761,0.0539027,0,0,0,0,0.051754,0,0.148632,0,0,0
140,0.0369329,0.0529709,0,0,0,0,0,0,0,0,0,0,0,0,0.0506188,0,0.0156596,0.0618186,0,0.00985493,0,0,0.0308442,0.0245069,0.0221531,0.0585534,0.0256125,0.0492565,0.0763765,0.0621568,0.0144266,0.0581278,0.0297025,0.0278797,0.0186801,0.0310346,0,0.0232355,0.027023,0,0.0249849,0.0421526,0.0486151,0,0,0.0163035,0,0,0.0303299,0.0744008,0.0161,0.0184419,0.0295513,0.0629944,0.0416481,0.0395386,0.0613426,0.0656134,0.0456983,0.0273931,0.0255236,0.0127816,0.03459,0.0171238,0.042212,0.00964915,0.0158598,0.0423593,0.0542259,0,0,0,0,0.0531531,0,0.149964,0,0.0278915,0
141,0.0372855,0.0527569,0,0,0,0,0,0,0,0,0,0,0,0,0.0518084,0,0.0152858,0.0611356,0,0.0100311,0,0,0.0308833,0.0247937,0.0213623,0.0593313,0.0253628,0.0497203,0.0771169,0.0625913,0.0144352,0.0583088,0.0295821,0.0278267,0.0201584,0.0308876,0,0.0232931,0.026385,0,0.0250732,0.0423223,0.0488092,0,0,0.0165786,0,0,0.0302033,0.0743327,0.0162059,0.0182333,0.0294794,0.0632268,0.0428499,0.0394903,0.0611885,0.0655439,0.045342,0.0273693,0.0253982,0.0127679,0.0344885,0.0175443,0.0420221,0.00968326,0.0156544,0.0421808,0.0544411,0,0,0,0,0.0531119,0,0.149912,0,0.0279808,0
142,0.0376328,0.0525355,0,0,0,0,0,0,0,0,0,0,0,0,0.0524038,0,0.0149789,0.0603409,0,0.0102779,0,0,0.0309187,0.025265,0.020628,0.0602144,0.0251169,0.050264,0.0778721,0.0630357,0.0142364,0.0584437,0.0293956,0.0276783,0.0215359,0.0307674,0,0.0233606,0.0258279,0,0.0251966,0.0421339,0.0489423,0,0,0.0168535,0,0,0.030103,0.0741394,0.0161957,0.0179056,0.0293922,0.0632246,0.0440119,0.0393439,0.0609558,0.0655178,0.0450383,0.0274155,0.0252753,0.0127887,0.0345139,0.0178547,0.0418539,0.00967075,0.0155321,0.0419255,0.0546883,0,0,0,0,0.0530293,0,0.149741,0,0.0280606,0
143,0.0379414,0.0522855,0,0,0,0,0,0,0,0,0,0,0,0,0.0527209,0,0.0147175,0.0593739,0,0.0104469,0,0,0.0309519,0.0258766,0.0199028,0.0611871,0.0249838,0.050994,0.078694,0.0635535,0.0140726,0.0585241,0.0290684,0.0275269,0.0227264,0.0306764,0,0.0234418,0.0255151,0,0.0252969,0.0420405,0.0489923,0,0,0.0169765,0,0,0.0297003,0.073766,0.0161991,0.017489,0.0293711,0.0630354,0.0454,0.0391298,0.060912,0.0654973,0.0448122,0.0274988,0.0251619,0.0128682,0.0346137,0.0180533,0.041728,0.00962488,0.0153407,0.0416832,0.0549363,0,0,0,0,0.0528835,0,0.149746,0,0.028108,0
144,0.0382545,0.0520365,0,0,0,0,0,0,0,0,0,0,0,0,0.0528182,0,0.01451,0.0582623,0,0.0105866,0,0,0.0309635,0.0266261,0.0191966,0.0622259,0.0249284,0.0519446,0.0796686,0.0641924,0.0139569,0.058532,0.0286554,0.0273349,0.0235902,0.0306087,0,0.0235049,0.0251996,0,0.0253802,0.0419063,0.0489869,0,0,0.0170506,0,0,0.0293851,0.0732647,0.0163703,0.0173511,0.0294224,0.0630061,0.0470013,0.0389121,0.0609164,0.0654491,0.0446119,0.0275512,0.02507,0.0129492,0.0347325,0.0182344,0.0416584,0.00960636,0.0151383,0.0415176,0.0551313,0,0,0,0,0.0526404,0,0.150509,0,0.0282141,0
145,0.0385554,0.0517491,0,0,0,0,0,0,0,0,0,0,0,0,0.0524935,0,0.0143296,0.0574318,0,0.0107566,0,0,0.0310087,0.0273733,0.0185466,0.0633316,0.0249473,0.052636,0.0808382,0.0648923,0.0138864,0.0584143,0.028199,0.0271783,0.0239859,0.0305312,0,0.0235521,0.0246318,0,0.0254609,0.0417532,0.0489731,0,0,0.0171659,0,0,0.0292013,0.0726378,0.0168093,0.0172401,0.029467,0.0630638,0.0487088,0.0386776,0.0607561,0.0653609,0.0443474,0.0276774,0.0250146,0.0130341,0.0348517,0.0186194,0.0416035,0.00959881,0.0149653,0.0413817,0.0552836,0,0,0,0,0.0523511,0,0.150747,0,0.0283244,0
146,0.0388042,0.0514379,0,0,0,0,0,0,0,0,0,0,0,0,0.051837,0,0.0140634,0.0562174,0,0.0109637,0,0,0.0310597,0.0280251,0.0179621,0.0644641,0.0250482,0.0534052,0.0820069,0.0656609,0.0138778,0.0581675,0.0276687,0.0270294,0.0238999,0.0304971,0,0.0235565,0.0240558,0,0.0255163,0.0420013,0.0489093,0,0,0.0172374,0,0,0.0288109,0.0719952,0.0174099,0.0169967,0.0295055,0.0630939,0.0505586,0.0384776,0.0607373,0.0652133,0.0441184,0.0278192,0.024868,0.0130311,0.0349439,0.0190138,0.0415574,0.009494,0.0148068,0.0412793,0.0553855,0,0,0,0,0.0520184,0,0.150537,0,0.0284149,0
