Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LEAR,LTIB,FTL,LGTR,,LILC,x77
9,0.0278549,0.0593205,0,0,0,0,0,0,0,0,0,0,0,0,0.0228776,0,0.0260671,0.0452921,0,0.00940103,0,0,0.0409325,0.0257487,0.0315229,0.0598031,0.0370665,0.0528234,0.0723072,0,0.0625816,0.0635209,0.0362853,0.0340294,0.0197568,0.0393125,0.0122603,0.0199829,0.0206302,0,0.0246106,0.0531986,0.0454933,0,0,0.0115594,0,0,0.0327097,0.0745262,0.0160843,0.0198907,0.0240321,0.0549913,0.040875,0.030946,0.0588054,0.0655814,0.0399544,0.0254839,0.030438,0.0152695,0.0340478,0.0221586,0.0468527,0.0113491,0.0146301,0.0508139,0.0480276,0,0,0,0,0.0587452,0,0,0,0,0
10,0.0284357,0.0597832,0,0,0,0,0,0,0,0,0,0,0,0,0.0272133,0,0.0229238,0.0536401,0,0.00971037,0,0,0.0406962,0.0263001,0.0273517,0.0612565,0.0365736,0.0580324,0.0794358,0,0,0.0564251,0.0299474,0.0299378,0.0140684,0.0400565,0.0124756,0.0195174,0.0231027,0,0.024532,0.0525608,0.0455053,0,0,0.0110273,0,0,0.03243,0.0764239,0.0161659,0.0199619,0.0238267,0.0540911,0.0388549,0.0322909,0.0587212,0.0658754,0.0414208,0.0252897,0.030652,0.0152813,0.0340658,0.0196331,0.0483185,0.0121232,0.0134905,0.0511844,0.0469351,0,0,0,0,0.0527414,0,0.0529744,0,0,0
11,0.0278436,0.0595182,0,0,0,0,0,0,0,0,0,0,0,0,0.0223918,0,0.0248272,0.0492429,0,0.0097932,0,0,0.0407514,0.0227685,0.0320238,0.0597832,0.0361,0.0565418,0.0748286,0.0550946,0.0225773,0.0614519,0,0.0327291,0.0179091,0.0393784,0.0123295,0.0196314,0.0229464,0,0.0249094,0.0491385,0.0458831,0,0,0.0114995,0,0,0.0326875,0.0763443,0.015368,0.019579,0.0245844,0.0556505,0.0410932,0.0319795,0.0584302,0.0652485,0.0406209,0.0256656,0.030583,0.0153087,0.0343521,0.0196892,0.0469209,0.0113295,0.0146456,0.0510976,0.0474707,0,0,0,0,0.0585651,0,0.0558374,0,0,0
12,0.0280193,0.0596248,0,0,0,0,0,0,0,0,0,0,0,0,0.024496,0,0.0247236,0.0513371,0,0.00987541,0,0,0.0407178,0.0262138,0.0312611,0.0604818,0.0359728,0.0581164,0.0767451,0.0569609,0.0190306,0.058438,0.0318672,0.0295302,0.0167769,0.0395047,0.0123573,0.0195132,0.0235096,0,0.0247705,0.0499156,0.0458577,0,0,0.011455,0,0,0.0326092,0.0764809,0.0155591,0.0194527,0.0243836,0.0553421,0.0403086,0.0322879,0.0585013,0.0654472,0.0411049,0.0255534,0.0306503,0.0153162,0.0342527,0.0191371,0.0473758,0.0115929,0.0141849,0.0511432,0.0472595,0,0,0,0,0.0556698,0,0.0546732,0,0,0
13,0.0283602,0.0597527,0,0,0,0,0,0,0,0,0,0,0,0,0.0259959,0,0.0235867,0.05401,0,0.00987668,0,0,0.0407442,0.0278181,0.0267731,0.0613289,0.0360072,0.0583136,0.0795132,0,0.0185886,0.0561394,0.0295384,0.0294707,0.0160158,0.0397245,0.0123784,0.0194682,0.0238109,0,0.0246026,0.0513247,0.0457578,0,0,0.0113081,0,0,0.0325488,0.0765135,0.0158821,0.0194078,0.0240471,0.0546495,0.0392312,0.0325957,0.0586778,0.0657509,0.041636,0.0253561,0.0306878,0.0152919,0.0341005,0.0189077,0.0480234,0.011983,0.0136678,0.0512344,0.0469936,0,0,0,0,0.053666,0,0.0538928,0,0,0
14,0.0281874,0.0596283,0,0,0,0,0,0,0,0,0,0,0,0,0.0247113,0,0.0220147,0.0507835,0,0.00981726,0,0,0.0408394,0.0223735,0.0261495,0.0607629,0.0360573,0.0558523,0.0777452,0,0.0184873,0.0606447,0.033914,0.0346794,0.0164368,0.0393885,0.0122747,0.0196243,0.0229781,0,0.0247426,0.0505817,0.0458309,0,0,0.0115069,0,0,0.0326833,0.0757433,0.0156332,0.0190329,0.0243481,0.054902,0.0400436,0.0321256,0.0587047,0.0654775,0.0409037,0.0254581,0.0305482,0.0152376,0.0341454,0.0197374,0.0474523,0.0116919,0.0141513,0.0512043,0.0473142,0,0,0,0,0,0,0.0556785,0,0,0
15,0.0281058,0.0595975,0,0,0,0,0,0,0,0,0,0,0,0,0.0250567,0,0.0221383,0.0492105,0,0.0097893,0,0,0.0408575,0.0210507,0.0266243,0.0605087,0.0361907,0.0550329,0.076971,0,0.0265286,0.0623049,0.0354572,0.0361685,0.0160217,0.0391608,0.0122051,0.0197186,0.0225495,0,0.0248457,0.0501259,0.0458748,0,0,0.0116033,0,0,0.0327146,0.0752689,0.0155092,0.0189778,0.024516,0.0550081,0.0404242,0.0318871,0.0587117,0.0653543,0.040509,0.0255249,0.0304535,0.0151946,0.0341578,0.020177,0.0471781,0.0115724,0.0143826,0.0511661,0.0475108,0,0,0,0,0,0,0.0560717,0,0,0
16,0.0281072,0.0595931,0,0,0,0,0,0,0,0,0,0,0,0,0.0282599,0,0.0234157,0.0485759,0,0.00979784,0,0,0.0408252,0.0227129,0.0270401,0.0604757,0.0361933,0.0557901,0.076997,0,0.0703229,0.0618734,0.0347842,0.0345577,0.0133596,0.0390331,0.0121414,0.0197406,0.0223219,0,0.024892,0.0499106,0.0459038,0,0,0.0116705,0,0,0.0327616,0.0749272,0.0154313,0.0190017,0.0245903,0.0549545,0.040494,0.0317796,0.0587435,0.0652928,0.040301,0.0255572,0.0303923,0.0151646,0.0341497,0.0204177,0.0470914,0.0115126,0.0144045,0.0511326,0.0475965,0,0,0,0,0.0579835,0,0.0557906,0,0,0
17,0.0280091,0.0594728,0,0,0,0,0,0,0,0,0,0,0,0,0.0289753,0,0.0236115,0.0468555,0,0.0098061,0,0,0.0408357,0.0215568,0.0276317,0.0602206,0.0361933,0.0551695,0.0762473,0,0.0880783,0.0635085,0.0362072,0.0359778,0.0127934,0.0387702,0.0121062,0.0198044,0.0219137,0,0.0249719,0.049423,0.0459741,0,0,0.0118829,0,0,0.032889,0.0741742,0.0152794,0.0190513,0.0247503,0.0550865,0.0409503,0.0315364,0.0588189,0.0651424,0.0399012,0.0256137,0.0303153,0.0151511,0.0341734,0.0208681,0.0466203,0.0112611,0.0145803,0.051088,0.0478116,0,0,0,0,0.0595004,0,0.0566114,0,0,0
18,0.0280235,0.0594112,0,0,0,0,0,0,0,0,0,0,0,0,0.0292631,0,0.023465,0.0465059,0,0.00984376,0,0,0.0408088,0.0214257,0.0273642,0.0603393,0.0361869,0.0553088,0.0764691,0,0.0876675,0.0635402,0.0361639,0.0360826,0.012609,0.0386809,0.0120963,0.0198035,0.0220054,0,0.0249782,0.0493025,0.046028,0,0,0.0118398,0,0,0.0328897,0.0734891,0.0152095,0.0192566,0.0248156,0.055091,0.0410076,0.0315305,0.0588663,0.0650928,0.0398589,0.0256159,0.0303135,0.0151643,0.0342186,0.0207768,0.0461806,0.0111559,0.0145493,0.051087,0.0478339,0,0,0,0,0.059612,0,0.0564263,0,0,0
