Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRB,STRN,T10,x74,x75,x76,RWRA,,x77,LILC
172,0.0420418,0.0469554,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036825,0,0.0108456,0.0350389,0,0,0.0164024,0,0,0.0368752,0.0577835,0.0420802,0.0229593,0.0683583,0.0318398,0.0755188,0.0965195,0.0279603,0,0.0633245,0.0649048,0.0366249,0.0443231,0.0464164,0.0386596,0.010987,0.0212049,0.0111423,0,0.0282755,0.0655422,0.0472194,0,0,0.0160296,0,0,0.0264671,0.0644472,0.029094,0.0198025,0.0256488,0.0474557,0.0481428,0.0320317,0.0586403,0.062493,0.0398672,0.0277044,0.0226646,0.0127212,0.0338258,0.0305525,0.0445098,0.0109324,0.0420959,0.059035,0,0,0,0.0130838,0,0,0.0407492
173,0.041931,0.0470309,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364089,0,0.0111254,0.0351182,0,0,0.0164375,0,0,0.0369279,0.057711,0.0422864,0.0231649,0.0681934,0.0319535,0.0758611,0.0966853,0.0278289,0,0.0631143,0.0648001,0.0365252,0.0438752,0.0467046,0.0387909,0.0109751,0.0213416,0.0112262,0,0.0284414,0.0656242,0.0471324,0,0,0.0166283,0,0,0.0265301,0.0645609,0.0295066,0.0198942,0.0255954,0.0473775,0.0474985,0.0320393,0.0586233,0.0625013,0.039843,0.0276975,0.0225647,0.0126334,0.033794,0.0304866,0.0445163,0.0107396,0.0421272,0.0589237,0,0,0,0.0130972,0,0,0.0412201
174,0.0417867,0.0470637,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036037,0,0.0113355,0.0351929,0,0,0.0164166,0,0,0.0370035,0.0576133,0.0422517,0.0232384,0.0680055,0.0321169,0.0761663,0.0968087,0.0277772,0,0.0628171,0.0646482,0.0363685,0.0433377,0.0462597,0.038916,0.0109362,0.0215323,0.0113283,0,0.0285826,0.0656466,0.0470661,0,0,0.0171822,0,0,0.0265502,0.0647088,0.0298902,0.0199645,0.0255638,0.0473268,0.0468054,0.0320589,0.0586231,0.0625067,0.0398035,0.0276927,0.0223891,0.0125185,0.0337352,0.030356,0.0444785,0.0105677,0.0421579,0.0588435,0,0,0,0.0130709,0,0,0.041627
175,0.0417355,0.0470891,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0356834,0,0.0114939,0.0353226,0,0,0.016362,0,0,0.0370638,0.057527,0.0417682,0.0232006,0.0678015,0.0322645,0.076443,0.0967567,0.0277786,0,0.0624542,0.0644415,0.0361685,0.0427472,0.0452074,0.039042,0.0108782,0.0217299,0.0114729,0,0.0286393,0.0655852,0.0470495,0,0,0.0175296,0,0,0.0263672,0.0649349,0.0301673,0.020034,0.0255723,0.0472834,0.0460892,0.0320855,0.0586066,0.062516,0.0397551,0.0276852,0.0222704,0.0124299,0.0336823,0.030178,0.0443977,0.01043,0.0422195,0.0587592,0,0,0,0.0131053,0,0,0.0419953
176,0.0417072,0.0471084,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353117,0,0.0116517,0.0355325,0,0,0.0162893,0,0,0.0371278,0.0574593,0.0410679,0.0230561,0.0675945,0.0324403,0.0767049,0.096684,0.0278134,0,0.0620414,0.0642083,0.0359921,0.0421521,0.0436648,0.0392039,0.0108751,0.0218788,0.0117517,0,0.0286274,0.0654723,0.047069,0,0,0.0176382,0,0,0.0260097,0.0652666,0.0304739,0.0200987,0.025674,0.0472708,0.0453639,0.0321345,0.0585567,0.0625053,0.0396951,0.0276678,0.022204,0.0123788,0.0335666,0.0299333,0.0442988,0.0101794,0.0422898,0.0586428,0,0,0,0.0131667,0,0,0.0423776
177,0.0416937,0.0471499,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350415,0,0.0118472,0.0357676,0,0,0.0162904,0,0,0.0372609,0.0574768,0.0403912,0.022822,0.0673979,0.0327318,0.0769893,0.0966628,0.0278527,0,0.061601,0.0639432,0.0357959,0.0414925,0.0415052,0.0393961,0.011011,0.0219501,0.0121202,0,0.0286686,0.0653716,0.0471337,0,0,0.0177833,0,0,0.0260858,0.0656334,0.0307702,0.0201391,0.0257733,0.0472328,0.0446422,0.032205,0.0584945,0.0624871,0.0396249,0.0276819,0.0220457,0.0123722,0.0335037,0.0296569,0.0442571,0.0100582,0.0423582,0.0585291,0,0,0,0.0132812,0,0,0.0426704
178,0.0416187,0.0472596,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035131,0,0.0120612,0.0359949,0,0,0.0162581,0,0,0.0373044,0.0575791,0.0398048,0.022495,0.0672244,0.0330432,0.0772942,0.0966908,0.027911,0,0.0611174,0.0636267,0.0355297,0.0407809,0.0389411,0.0395814,0.0109835,0.0220476,0.0124354,0,0.0287638,0.0652749,0.0472129,0,0,0.0180813,0,0,0.0265062,0.0660006,0.0310368,0.0200912,0.0258373,0.0472275,0.0439699,0.032255,0.0584587,0.0624925,0.0395313,0.0276938,0.0217106,0.0124315,0.0335114,0.0292402,0.0442522,0.010039,0.0424011,0.0583964,0,0,0,0.013407,0,0,0.04289
179,0.0414254,0.0474386,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0354587,0,0.0122908,0.0362744,0,0,0.0161981,0,0,0.0373157,0.0577177,0.0390137,0.0220197,0.0670635,0.0333508,0.0775545,0.0966862,0.0280253,0,0.0605751,0.0632454,0.0351891,0.0400235,0.0361187,0.0397611,0.0109189,0.0221553,0.0127286,0,0.0289627,0.0650917,0.047264,0,0,0.0180693,0,0,0.0267788,0.0663519,0.0312957,0.0201086,0.0259704,0.0473072,0.043389,0.0322776,0.0584234,0.0625335,0.0394387,0.0277136,0.0215512,0.0124673,0.0335457,0.0288114,0.0441545,0.0101287,0.0424175,0.0582199,0,0,0,0.0134893,0,0,0.0430716
180,0.0411576,0.047686,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359838,0,0.0125253,0.0366793,0,0,0.0161166,0,0,0.0373107,0.0578453,0.0381367,0.021486,0.0669161,0.0336451,0.0777852,0.0964749,0.0281819,0,0.0599831,0.0627864,0.0348239,0.0392612,0.0330549,0.0399157,0.0108668,0.0222586,0.0130345,0,0.0292125,0.064744,0.0472617,0,0,0.017663,0,0,0.0267147,0.0667242,0.031547,0.0204508,0.0261201,0.0474815,0.0428579,0.0322766,0.0583351,0.0625395,0.0393853,0.0277849,0.0215081,0.0124565,0.0335665,0.028463,0.0439484,0.0103503,0.0423783,0.0580249,0,0,0,0.0134586,0,0,0.0432518
181,0.0408868,0.0479911,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036824,0,0.0128587,0.0370897,0,0,0.0160315,0,0,0.0373157,0.0579994,0.037358,0.0209132,0.0667561,0.0339301,0.0780248,0.0962153,0.0284063,0,0.0593946,0.062313,0.0344555,0.0385388,0.0299071,0.040041,0.0108342,0.0223605,0.0133338,0,0.029449,0.0643757,0.0472825,0,0,0.017358,0,0,0.0265237,0.067129,0.0317359,0.0206113,0.0262287,0.0476939,0.0424187,0.032268,0.0582245,0.0625015,0.0392887,0.0278823,0.0214379,0.0123925,0.0335583,0.0281842,0.0438381,0.0106107,0.0422455,0.0578238,0,0,0,0.0133601,0,0,0.0434219
182,0.0405568,0.0483267,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379164,0,0.0131279,0.0375345,0,0,0.0159863,0,0,0.0373488,0.0582001,0.0367781,0.0203322,0.0666082,0.0342146,0.0782643,0.0959882,0.028725,0,0.0588746,0.0618316,0.0340015,0.0378979,0.0267878,0.0401171,0.0108382,0.0224238,0.013601,0,0.0292129,0.0639922,0.0474157,0,0,0.0172771,0,0,0.0265943,0.0675844,0.0319442,0.0206305,0.0262989,0.0479231,0.0420236,0.0322711,0.0581262,0.0624814,0.0391457,0.0279377,0.0213222,0.0122435,0.03354,0.0278969,0.0438422,0.0109355,0.0421378,0.0575922,0,0,0,0.0131668,0,0,0.0436063
183,0.0401649,0.0485395,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392436,0,0.013428,0.0380506,0,0,0.0160227,0,0,0.0374231,0.0584314,0.0361934,0.0197708,0.0665058,0.0344735,0.0784699,0.0957543,0.0292244,0,0.0584296,0.0614039,0.0336191,0.0372887,0.0234695,0.0401531,0.0108612,0.0224622,0.0138831,0,0.0291606,0.0636142,0.0474787,0,0,0.0174032,0,0,0.027097,0.0680296,0.032205,0.0206308,0.0263755,0.04814,0.0416416,0.0323531,0.0580645,0.062486,0.0389913,0.0279912,0.0213436,0.012289,0.0334756,0.0275209,0.0439379,0.0113985,0.0420981,0.0573277,0,0,0,0.0129449,0,0,0.043782
184,0.0397782,0.0486867,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406905,0,0.0139139,0.0386747,0,0,0.0161884,0,0,0.0374511,0.058603,0.0355113,0.0193247,0.0664717,0.0346907,0.0786253,0.0954408,0.0297995,0,0.0579756,0.0611769,0.0333,0.0366975,0.0201443,0.0401467,0.0108846,0.0223949,0.0151117,0,0.0281004,0.0632073,0.0475044,0,0,0.0171313,0,0,0.0278924,0.0684612,0.0331722,0.0206417,0.0265467,0.048393,0.0412193,0.0325137,0.0580642,0.0624739,0.0388746,0.0280422,0.0221316,0.0134568,0.0330643,0.0264689,0.0440392,0.012393,0.0421477,0.0570993,0,0,0,0.0125296,0,0,0.0440334
