Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,,x80,LILC
All Timesteps RMSE,0.0328869,0.0532291,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0418842,0,0.0181183,0.0572159,0,0,0.0119838,0,0,0.0392045,0.053131,0.0328447,0.0224543,0.0567071,0.0432272,0.0588388,0.0694105,0.05888,0.0212326,0.054909,0.0582386,0.0300166,0.0345962,0.0218354,0.0379802,0.011951,0.0209474,0.0211938,0,0.0261021,0.0494207,0.0434602,0,0,0.0172784,0,0,0.0311915,0.0766623,0.0243959,0.0170662,0.0270418,0.0515557,0.0411978,0.0327163,0.0582107,0.0591605,0.0370928,0.0270772,0.0251306,0.0134161,0.0344479,0.0349243,0.0475957,0.0118351,0.0147524,0.0453059,0.0549773,0,0,0,0,0,0.0332785
0,0.0278514,0.0554612,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416822,0,0.0209069,0.0638791,0,0,0.00804498,0,0,0.0428404,0.0575373,0.0351645,0.0219365,0.0516951,0.0387335,0.0429683,0.0709523,0.0602349,0.0184687,0.0618745,0.0654408,0.0367131,0.0383117,0.0196313,0.0389781,0.00968831,0.0180384,0.0165012,0,0.0279542,0.0484776,0.0448863,0,0,0.00758803,0,0,0.0363791,0.0769847,0.0162641,0.0164216,0.0264362,0.0480748,0.036824,0.0318511,0.0557582,0.0584524,0.0389682,0.0269807,0.0285264,0.0145287,0.0359598,0.0313574,0.0473279,0.00859657,0.0153449,0.0487186,0.0458533,0,0,0,0,0,0
1,0.0279546,0.0554789,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417238,0,0.0209084,0.0638085,0,0,0.00811419,0,0,0.0428898,0.0575564,0.0349823,0.0220014,0.0517313,0.0386534,0.0429535,0.0709027,0.0601356,0.0184255,0.0616908,0.0654954,0.0368278,0.0383979,0.019521,0.0390707,0.00973286,0.0180271,0.0163204,0,0.0279617,0.0483874,0.0448387,0,0,0.00756352,0,0,0.0363895,0.0769995,0.0162113,0.0163158,0.0264859,0.0481308,0.0368813,0.0318363,0.0558003,0.0584312,0.038916,0.0269918,0.0286107,0.0145793,0.0360331,0.031367,0.0473626,0.00924593,0.0152255,0.0486397,0.0458828,0,0,0,0,0,0
2,0.027671,0.0552756,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377942,0,0.0199074,0.0611207,0,0,0.00850974,0,0,0.0423737,0.0594254,0.0279834,0.0252568,0.051417,0.0386955,0.0415331,0.0683109,0.0580136,0.0193449,0,0.0689547,0.0410986,0.0422357,0.0162445,0.0388023,0.0100391,0.0184662,0.0157556,0,0.0281101,0.047448,0.0450451,0,0,0.00755999,0,0,0.0363703,0.0767032,0.0160681,0.0157501,0.026535,0.0486107,0.0375001,0.0314959,0.0558345,0.0580892,0.0381408,0.0271241,0.0287774,0.0148398,0.0361352,0.0317615,0.0469073,0.00910323,0.0158481,0.0484039,0.0461625,0,0,0,0,0,0
3,0.027422,0.05511,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386413,0,0.0193716,0.0603854,0,0,0.00867823,0,0,0.0421466,0.059862,0.0261566,0.0256164,0.0514543,0.0390288,0.0415909,0.0682418,0.057971,0,0,0.0690902,0.041448,0.0428771,0.0139795,0.0384834,0.0101606,0.0188933,0.0153431,0,0.0277824,0.048269,0.0452743,0,0,0.00730805,0,0,0.0363013,0.0763115,0.0157821,0.0157297,0.0262911,0.048519,0.0373912,0.0313452,0.0558628,0.0581124,0.0380081,0.027219,0.028664,0.0149446,0.036326,0.0323212,0.0470964,0.00853448,0.0159386,0.0482977,0.0462869,0,0,0,0,0,0
4,0.0278999,0.055453,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425968,0,0.0200747,0.0630507,0,0,0.00814974,0,0,0.0427189,0.0580683,0.0337509,0.0222099,0.0519484,0.0389452,0.0430574,0.0709767,0.0603609,0,0.0618993,0.0654419,0.036922,0.038814,0.0181067,0.0390047,0.00968239,0.0181944,0.0160163,0,0.0278216,0.0493884,0.0448027,0,0,0.0072911,0,0,0.0363261,0.0765121,0.0163047,0.0161745,0.0261668,0.0478931,0.0364007,0.0316157,0.0559313,0.0585327,0.0387092,0.0268425,0.0287509,0.0147864,0.0359981,0.0313764,0.0473548,0.00884995,0.015275,0.048638,0.0459741,0,0,0,0,0,0
5,0.0279559,0.0554137,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0418764,0,0.0208571,0.0637795,0,0,0.00813837,0,0,0.0429073,0.0576349,0.0350692,0.0220342,0.0516914,0.0384812,0.0429656,0.0709321,0.0602253,0.0184205,0.061728,0.065481,0.0367098,0.0383234,0.0195361,0.0389957,0.00972536,0.0179371,0.0159897,0,0.0279847,0.0483642,0.0448742,0,0,0.00743112,0,0,0.0362868,0.0770205,0.0163318,0.0163341,0.0264429,0.0480747,0.0367121,0.03191,0.0557494,0.0584658,0.0389653,0.0269417,0.028592,0.0146445,0.0361212,0.0312337,0.0473055,0.00862246,0.0154244,0.0486845,0.0458814,0,0,0,0,0,0
6,0.0279641,0.055428,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041824,0,0.0209031,0.0637838,0,0,0.00823003,0,0,0.0429885,0.0576441,0.0348967,0.0220879,0.0517894,0.0384994,0.0429789,0.0709021,0.0601474,0.0184174,0.0619352,0.0655203,0.0367359,0.0383119,0.0192989,0.0390314,0.00994308,0.0178396,0.0159581,0,0.0279986,0.0483469,0.0448747,0,0,0.00736931,0,0,0.0360614,0.0770181,0.0163265,0.016406,0.0264552,0.0481436,0.0365971,0.0319091,0.0557526,0.0584407,0.0389057,0.0269637,0.0285883,0.0146637,0.03617,0.0312327,0.0473222,0.00846759,0.0156716,0.0486352,0.0458918,0,0,0,0,0,0
7,0.0275381,0.0549543,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383109,0,0.0193175,0.0602303,0,0,0.00884425,0,0,0.042176,0.0600372,0.0258541,0.0257578,0.0516132,0.0388386,0.0413702,0.0681542,0.0580803,0,0,0.0691102,0.0415088,0.0430152,0.0136819,0.0385699,0.010415,0.0188452,0.0150589,0,0.0279275,0.0482816,0.0452701,0,0,0.00747644,0,0,0.0362157,0.0763258,0.0158375,0.0157093,0.0263977,0.0485617,0.0373314,0.0312056,0.0557418,0.0581089,0.0379955,0.0272446,0.0285831,0.014838,0.0364428,0.0321443,0.0470598,0.00865291,0.0160313,0.048128,0.0464872,0,0,0,0,0,0
8,0.0280391,0.0553874,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417188,0,0.0208687,0.0635062,0,0,0.00814061,0,0,0.0429212,0.0576614,0.0349449,0.0220539,0.0517013,0.0384556,0.042883,0.0709083,0.0601838,0.0184137,0.0618021,0.0651764,0.0367475,0.0383142,0.0194315,0.0390611,0.0101033,0.017701,0.0159004,0,0.0280318,0.0484061,0.044811,0,0,0.00740958,0,0,0.0360784,0.0769712,0.0163679,0.0165768,0.0263974,0.0479622,0.0366232,0.0318814,0.0557378,0.0584778,0.0389384,0.0269642,0.0285413,0.0146174,0.0361284,0.0312561,0.0471917,0.00871765,0.0157007,0.0486543,0.0459373,0,0,0,0,0,0
9,0.0279988,0.0554184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417221,0,0.0208708,0.0634578,0,0,0.00817668,0,0,0.0429331,0.0576793,0.0348931,0.0220599,0.0517815,0.0384466,0.0429077,0.0708808,0.0601792,0.0184456,0.06184,0.0651293,0.0367393,0.0382928,0.0193529,0.0390551,0.0102372,0.0176188,0.0159816,0,0.0280893,0.0484204,0.04483,0,0,0.00761468,0,0,0.0362683,0.0768794,0.0163904,0.0168123,0.0264014,0.0479181,0.0366074,0.0318489,0.0556677,0.0584656,0.0389653,0.0270386,0.0284095,0.0145803,0.0361409,0.0311341,0.0472851,0.00898713,0.0153877,0.0486806,0.045922,0,0,0,0,0,0
10,0.0279862,0.0554695,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416468,0,0.0208648,0.063643,0,0,0.0082112,0,0,0.0429655,0.0577281,0.0348322,0.0221019,0.0518544,0.0387463,0.0429329,0.0708128,0.060181,0.0185154,0.0615979,0.065117,0.0367159,0.0382719,0.0192566,0.0390295,0.0102807,0.0176207,0.0161627,0,0.0281302,0.0484988,0.044829,0,0,0.00771326,0,0,0.0363901,0.0767783,0.0164343,0.0169809,0.0264169,0.047902,0.0365973,0.0318376,0.0555712,0.0584084,0.0389672,0.0271728,0.0282222,0.0145718,0.0361719,0.0309052,0.047368,0.00919052,0.0151928,0.0487369,0.04589,0,0,0,0,0,0
11,0.0279859,0.0555209,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416682,0,0.0208486,0.0636493,0,0,0.00824894,0,0,0.0429636,0.0577776,0.0347443,0.0221606,0.0518849,0.0394021,0.0431283,0.070763,0.0601574,0.0185839,0.0616543,0.0651731,0.0366678,0.0382379,0.0191195,0.0389789,0.0103698,0.0175886,0.0163595,0,0.0281502,0.0486036,0.0448019,0,0,0.00772901,0,0,0.0364068,0.0767263,0.0164975,0.0170984,0.026428,0.0478917,0.036601,0.0318801,0.0554777,0.0583494,0.0389579,0.0272816,0.0280084,0.0145499,0.0362189,0.0306024,0.0474436,0.00923312,0.0151319,0.048796,0.0458653,0,0,0,0,0,0
12,0.0279205,0.0555769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422609,0,0.0201434,0.0629532,0,0,0.00836977,0,0,0.0428657,0.058286,0.0335068,0.0223802,0.0522239,0.0399295,0.0435717,0.0707351,0.0602938,0,0.0624761,0.0651286,0.0367286,0.0386251,0.017685,0.0389635,0.0105078,0.0176427,0.0165971,0,0.0279576,0.0497286,0.0447306,0,0,0.00759002,0,0,0.0363939,0.076154,0.0164683,0.0170217,0.0262359,0.0476772,0.0361954,0.0315944,0.0555313,0.0583688,0.0387027,0.0272732,0.0280452,0.0146456,0.0362066,0.0301233,0.0475338,0.00921493,0.0149642,0.048718,0.0459493,0,0,0,0,0,0
13,0.0279952,0.0555432,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0415061,0,0.0209725,0.0634503,0,0,0.00841907,0,0,0.0428708,0.0577794,0.0348517,0.0221465,0.0519498,0.0395963,0.0434365,0.0706528,0.0600865,0.018569,0.0628568,0.0651601,0.0364725,0.0379954,0.0190821,0.0389445,0.0105897,0.0172754,0.016885,0,0.0281599,0.0487829,0.0447733,0,0,0.00771885,0,0,0.0361536,0.0766531,0.0165251,0.0171924,0.0265777,0.0477748,0.0365525,0.0319514,0.0552166,0.0582811,0.039005,0.0274801,0.0276713,0.0144726,0.0363609,0.0296898,0.0474766,0.00903538,0.0150675,0.0487834,0.0458198,0,0,0,0,0,0
14,0.0279921,0.055547,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413838,0,0.0209256,0.0632774,0,0,0.00854219,0,0,0.0427381,0.0578418,0.0346534,0.0222447,0.0520472,0.0396677,0.0437129,0.0705433,0.0600007,0.0186081,0.0622201,0.0652211,0.0365089,0.0379759,0.0189108,0.0389098,0.0107186,0.0171039,0.017182,0,0.0281723,0.0488814,0.0447861,0,0,0.00779836,0,0,0.0358564,0.076575,0.0165078,0.017359,0.0266141,0.047734,0.0365393,0.0319591,0.0550735,0.0582504,0.0390604,0.0275324,0.0274661,0.014449,0.0364347,0.0294266,0.0474926,0.00894517,0.014966,0.0487771,0.0458186,0,0,0,0,0,0
15,0.0279809,0.0555741,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0411527,0,0.0209064,0.0631196,0,0,0.00872657,0,0,0.0427457,0.05789,0.0344919,0.0223946,0.0521559,0.0398595,0.0439405,0.0704917,0.0598999,0.0186086,0.0616483,0.0651833,0.0365139,0.0379085,0.0187371,0.038837,0.0108994,0.016936,0.0174328,0,0.0281494,0.0489567,0.0447867,0,0,0.00811122,0,0,0.0359972,0.0764853,0.0164668,0.0175123,0.0266537,0.0477099,0.0366109,0.0319207,0.054931,0.0582397,0.0391202,0.0275595,0.0273195,0.0144153,0.036473,0.02912,0.0475641,0.00947972,0.01443,0.0488078,0.0457802,0,0,0,0,0,0
16,0.0280112,0.0555272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0410402,0,0.0208851,0.0629851,0,0,0.00896401,0,0,0.0427399,0.0578987,0.0343207,0.0224847,0.0522605,0.0397168,0.0440929,0.0704334,0.0597753,0.0185845,0.0616743,0.0650604,0.0364661,0.0378001,0.0184892,0.0387544,0.0111308,0.0167446,0.017628,0,0.0281846,0.0490473,0.0447888,0,0,0.00833505,0,0,0.0359822,0.076377,0.0164655,0.0177012,0.0266983,0.0476674,0.0365972,0.031899,0.0547506,0.0582261,0.0391552,0.0276418,0.0272743,0.0143696,0.0365146,0.028799,0.0475698,0.00993484,0.0140466,0.0488254,0.0457711,0,0,0,0,0,0
17,0.0279802,0.0554654,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417707,0,0.0200905,0.0622592,0,0,0.00929865,0,0,0.0425309,0.058394,0.0328664,0.0227522,0.0527126,0.0392498,0.0442842,0.0703795,0.0597647,0,0.062442,0.0648148,0.0365367,0.0381392,0.0167898,0.0387117,0.0113778,0.016636,0.0178249,0,0.028004,0.0501906,0.0447598,0,0,0.00840723,0,0,0.035621,0.0757282,0.0163558,0.0178035,0.0264916,0.0473992,0.0361329,0.0315587,0.0547297,0.058212,0.0389111,0.0276669,0.0273382,0.0144912,0.0364906,0.0283941,0.0475889,0.00995034,0.013735,0.0487712,0.0459059,0,0,0,0,0,0
18,0.0279546,0.0554942,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0415123,0,0.0200618,0.0620115,0,0,0.00960474,0,0,0.0422841,0.0584219,0.0325882,0.0229091,0.0529349,0.0390059,0.0443811,0.0702019,0.059503,0,0.0625014,0.0645156,0.0364848,0.0380333,0.0165503,0.0386979,0.0116762,0.0162564,0.0181392,0,0.0280328,0.0501634,0.0447732,0,0,0.00890287,0,0,0.0353958,0.0756162,0.0162463,0.0179472,0.0265935,0.0474099,0.0362293,0.0315538,0.054569,0.0581452,0.0389344,0.0277968,0.0272178,0.0144582,0.0365843,0.0279889,0.0476219,0.0102995,0.0131499,0.0487995,0.0459097,0,0,0,0,0,0
19,0.0276666,0.0553472,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363919,0,0.0199184,0.0598487,0,0,0.0102141,0,0,0.0418606,0.0598499,0.026854,0.0259934,0.0523841,0.0391368,0.0430469,0.0674652,0.0570897,0.0193752,0,0.0676775,0.0403672,0.041258,0.0150964,0.0383535,0.012354,0.0161515,0.0180395,0,0.0284106,0.0482513,0.0450011,0,0,0.00981715,0,0,0.0356085,0.0757366,0.0161129,0.0177346,0.0269659,0.0480157,0.0375462,0.0314326,0.0542281,0.0577316,0.0385163,0.0281436,0.0271364,0.0145776,0.0368133,0.0279943,0.0471633,0.0114083,0.0128165,0.048787,0.0460761,0,0,0,0,0,0
20,0.0279355,0.0556289,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399573,0,0.0206551,0.0623317,0,0,0.0103965,0,0,0.0420218,0.0580162,0.0333709,0.0229676,0.0527595,0.0396105,0.0445546,0.0699553,0.0590207,0.0183842,0.0608089,0.0640281,0.0360996,0.037286,0.0174667,0.0383705,0.0127584,0.0150514,0.0185042,0,0.0283515,0.0493499,0.0447569,0,0,0.0106798,0,0,0.0352873,0.0759036,0.016372,0.0183192,0.0269666,0.0474889,0.0371212,0.031847,0.0541358,0.0580919,0.0392607,0.0280777,0.0269146,0.0143457,0.0367457,0.0272768,0.0477011,0.0132954,0.0111434,0.0491066,0.0457119,0,0,0,0,0,0
21,0.0279896,0.0556674,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0402549,0,0.0198366,0.0614058,0,0,0.0109415,0,0,0.0417362,0.0585765,0.0316991,0.0233654,0.0531591,0.0402537,0.0447723,0.0698336,0.0588845,0,0.0606962,0.0637445,0.0361661,0.0374949,0.0154794,0.0381171,0.0134814,0.0147065,0.0186006,0,0.0281087,0.0506471,0.0446163,0,0,0.0105266,0,0,0.0352482,0.07514,0.0162893,0.0176143,0.026746,0.047214,0.0368761,0.0314361,0.0542123,0.0581063,0.0389297,0.0280665,0.027028,0.0144525,0.0367284,0.0270144,0.0478712,0.0157231,0.0105109,0.0490766,0.0458175,0,0,0,0,0,0
22,0.0285429,0.0555403,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390293,0,0.0206028,0.0616216,0,0,0.0111091,0,0,0.0417569,0.0580725,0.0326954,0.0233226,0.0532244,0.0401333,0.0447369,0.0697415,0.0584383,0.0182179,0.0601786,0.063479,0.0357966,0.0367176,0.016534,0.0380796,0.0151208,0.0139022,0.0189852,0,0.02817,0.0496036,0.0444203,0,0,0.00809881,0,0,0.0369572,0.0755025,0.0161345,0.0174097,0.0272299,0.047439,0.0371186,0.0316693,0.0539845,0.0579989,0.0391531,0.0281563,0.0266707,0.0143098,0.0369179,0.0266046,0.0483371,0.0246354,0.0119319,0.0489564,0.0459594,0,0,0,0,0,0
23,0.0281498,0.0549784,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398845,0,0.0200236,0.0598595,0,0,0.0103082,0,0,0.0417888,0.0577385,0.0294308,0.0241466,0.0551261,0.0391309,0.0457976,0.0697141,0.0570579,0,0.0602266,0.0636615,0.0359728,0.0367688,0.0127586,0.0386364,0.0207226,0.0132878,0.0205505,0,0.0270132,0.0489298,0.0455265,0,0,0.00384249,0,0,0.0250206,0.0752693,0.014331,0.0172561,0.0282395,0.0483129,0.0316322,0.031323,0.0542719,0.057649,0.038762,0.0284248,0.0264588,0.01445,0.037577,0.024796,0.0494968,0,0.0169266,0.0478106,0.0461941,0,0,0,0,0,0
24,0.0283771,0.0550956,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038938,0,0.0197092,0.0605242,0,0,0.00901281,0,0,0.0422445,0.0585985,0.0305984,0.0238036,0.0537594,0.0392089,0.0452073,0.0695208,0.0579334,0,0.059865,0.0633597,0.0354654,0.0364945,0.01392,0.0387473,0.0108458,0.0182151,0.0192368,0,0.0280479,0.0508517,0.0447349,0,0,0.00748602,0,0,0.0354638,0.074681,0.0163442,0.0174639,0.0267881,0.0473686,0.0358299,0.0313924,0.0539487,0.058084,0.0390449,0.0278887,0.0266415,0.0143361,0.0368493,0.0266436,0.0481841,0.0099852,0.0143857,0.0484515,0.0462377,0,0,0,0,0,0
25,0.0282359,0.0553137,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375108,0,0.0204571,0.0608299,0,0,0.0114133,0,0,0.0415468,0.0582547,0.0314335,0.0236721,0.053449,0.039518,0.0455024,0.0693023,0.0574746,0.0178059,0.0592527,0.0631314,0.0351457,0.0356469,0.0149866,0.0382185,0.0138518,0.0147471,0.019953,0,0.0282383,0.0499478,0.044721,0,0,0.0103387,0,0,0.0343856,0.0751018,0.0163181,0.0176263,0.027138,0.0475306,0.0370366,0.0317085,0.0537305,0.0580121,0.0393827,0.0282261,0.0264098,0.0141916,0.036996,0.0265259,0.0480365,0.0151392,0.0107294,0.0486989,0.0460701,0,0,0,0,0,0
26,0.0280133,0.0549959,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367954,0,0.0199721,0.0625656,0,0,0.0112454,0,0,0.0413254,0.0570214,0.0327726,0.0211337,0.0546254,0.0391491,0.0463535,0.0714913,0,0.0184704,0.0569399,0.0603187,0.0329659,0.0347678,0.0138019,0.0380031,0.0131583,0.0158912,0.0205712,0,0.0276948,0.0512496,0.0454292,0,0,0.00674277,0,0,0.0282355,0.0749973,0.0162718,0.0180263,0.0267476,0.0475684,0.0338927,0.0321933,0.05384,0.0583132,0.0399928,0.0282635,0.0262906,0.0143114,0.0370501,0.0263019,0.0486031,0,0.0156604,0.0481897,0.0460073,0,0,0,0,0,0
27,0.0284501,0.0547797,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0360635,0,0.0202999,0.0599278,0,0,0.00950218,0,0,0.0415863,0.0581586,0.0302794,0.0243682,0.0539649,0.0385133,0.0460394,0.0690924,0.0567139,0.0178302,0.0585863,0.0618059,0.0347477,0.0345864,0.0138792,0.0384905,0.0107118,0.0185406,0.0203959,0,0.0283378,0.0499609,0.0449271,0,0,0.00804248,0,0,0.0355627,0.0748074,0.0163824,0.0173695,0.0270676,0.0477767,0.0362481,0.0317698,0.0536467,0.0580208,0.0394473,0.0284103,0.0261574,0.0141346,0.03705,0.0264733,0.0482023,0.0094282,0.015133,0.0481377,0.0464191,0,0,0,0,0,0
28,0.0284334,0.054674,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363749,0,0.0195739,0.0588633,0,0,0.00968439,0,0,0.0412701,0.058531,0.0282208,0.0251577,0.0544703,0.038772,0.0461629,0.0690077,0.0563442,0,0.0588016,0.06136,0.0346851,0.0346707,0.0114136,0.0384643,0.0106935,0.0189382,0.0202464,0,0.0281784,0.0510355,0.0449229,0,0,0.0080586,0,0,0.0353798,0.0741175,0.016328,0.0173708,0.0268969,0.0476139,0.0358844,0.0314817,0.0537468,0.0580593,0.0391865,0.0283709,0.0261798,0.0142105,0.0369859,0.0263594,0.0482785,0.00950229,0.0149125,0.0479176,0.0466284,0,0,0,0,0,0
29,0.028368,0.0546641,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357059,0,0.0197806,0.0585486,0,0,0.0105094,0,0,0.0409443,0.0585307,0.027556,0.0257052,0.0545842,0.0389285,0.0463958,0.0688883,0.0559297,0,0.0578862,0.0611625,0.03447,0.0343101,0.0108514,0.0382649,0.01161,0.0180472,0.0203234,0,0.0281755,0.0511377,0.0449405,0,0,0.00905228,0,0,0.0351643,0.0740076,0.0162576,0.0174192,0.0271342,0.0476551,0.0362274,0.031464,0.0537068,0.0580306,0.0391699,0.0283895,0.026088,0.0142588,0.037029,0.0261404,0.048163,0.0112247,0.0131173,0.0478251,0.0467159,0,0,0,0,0,0
30,0.0283961,0.0545184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033882,0,0.0207602,0.0584444,0,0,0.010562,0,0,0.0409246,0.058089,0.0284383,0.0259287,0.0543392,0.0385511,0.0466266,0.068924,0.055529,0.0170311,0.0570103,0.0607591,0.0339821,0.0334771,0.0124491,0.0382213,0.0117253,0.0180214,0.0204617,0,0.0283643,0.0502386,0.0450869,0,0,0.00888856,0,0,0.0351605,0.0745273,0.0162252,0.0160182,0.0275197,0.0480785,0.0365264,0.031741,0.0535367,0.0579295,0.0393661,0.0284016,0.0260751,0.0142294,0.0371777,0.0258664,0.0480441,0.0106306,0.014016,0.0477142,0.046729,0,0,0,0,0,0
31,0.0283626,0.0541858,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330907,0,0.0207822,0.0579783,0,0,0.0101506,0,0,0.0411119,0.0579905,0.0279915,0.0263249,0.0544756,0.0380049,0.0473086,0.0691892,0.0552272,0.0168786,0.0563662,0.0600929,0.0335002,0.0329365,0.0122648,0.0381405,0.011394,0.0187818,0.0202473,0,0.0284078,0.0505652,0.0454728,0,0,0.00546539,0,0,0.0310704,0.0743343,0.0162828,0.0126742,0.0273228,0.0483669,0.0349133,0.0317689,0.0535861,0.0578548,0.0391664,0.0285142,0.0262317,0.0143167,0.0371696,0.0258452,0.0480518,0,0.0202882,0.0474024,0.0468144,0,0,0,0,0,0
32,0.0285356,0.0541562,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033418,0,0.0202011,0.0574204,0,0,0.0103983,0,0,0.0409442,0.0585554,0.0256703,0.0272075,0.0547406,0.0384677,0.0482254,0.0689943,0.0548512,0,0.0562331,0.0599115,0.0334988,0.0330603,0.00984435,0.038318,0.0117714,0.0190556,0.0200508,0,0.0283131,0.0517659,0.0451601,0,0,0.00783809,0,0,0.0355353,0.0735272,0.0161985,0.0126953,0.0268756,0.0480427,0.0360267,0.0312912,0.0535523,0.0578753,0.0389448,0.0285628,0.0262603,0.0143618,0.0371512,0.0260039,0.0482515,0.00914185,0.0161754,0.047277,0.047073,0,0,0,0,0,0
33,0.0286149,0.0540563,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328601,0,0.0206051,0.0571618,0,0,0.0104956,0,0,0.0408407,0.0588505,0.0249885,0.0278979,0.0553371,0.0385543,0.0490772,0.0688065,0.0544677,0,0.0560478,0.0597075,0.033508,0.0326861,0.0095844,0.038345,0.0118653,0.0193233,0.0203431,0,0.0282544,0.051693,0.0451164,0,0,0.00784442,0,0,0.0354277,0.0730999,0.0160794,0.0159892,0.0267717,0.0479287,0.035868,0.0310549,0.0533756,0.0579205,0.0390881,0.0286427,0.0261962,0.0144129,0.037205,0.0258404,0.0483799,0.00916367,0.0161125,0.0467696,0.0474017,0,0,0,0,0,0
34,0.0284412,0.0540202,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323747,0,0.0208689,0.0565479,0,0,0.0108033,0,0,0.040687,0.058721,0.0247921,0.0282513,0.0539723,0.0380432,0.0493149,0.0690376,0.0543116,0,0.0555679,0.0591089,0.0331533,0.031995,0.00956429,0.0380757,0.0119587,0.0192866,0.0197736,0,0.0282556,0.0534035,0.0455515,0,0,0.0076171,0,0,0.0353175,0.0725307,0.0162329,0,0.0269779,0.0483295,0.036466,0.031365,0.0538326,0.0577544,0.0382742,0.0287219,0.0259538,0.0143115,0.0371623,0.0266155,0.0481191,0.00858056,0.0166309,0.0467764,0.0467906,0,0,0,0,0,0
35,0.0285966,0.0537861,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353643,0,0.0207494,0.0564081,0,0,0.0111198,0,0,0.0402706,0.058636,0.0293739,0.0303302,0.054265,0.0378712,0.0502897,0.0689814,0.0533772,0.0176138,0.0537985,0.058603,0.0315829,0.0276183,0.0136861,0.0381969,0.0123026,0.0195077,0.0189757,0,0.0282735,0.0523872,0.0455356,0,0,0.00791814,0,0,0.0349926,0.0731434,0.0160749,0,0.0279861,0.0488042,0.0368255,0.0313091,0.053152,0.057575,0.0386378,0.0292193,0.0253456,0.0141104,0.037644,0.0274716,0.0480514,0.00905149,0.0170131,0.0462133,0.0471632,0,0,0,0,0,0
36,0.028557,0.0537665,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032892,0,0.0212807,0.0565885,0,0,0.0111258,0,0,0.0402498,0.0583156,0.0272467,0.0301602,0.0543833,0.0379387,0.050444,0.0693077,0.0533845,0.0172201,0.0540185,0.0581303,0.0316725,0.0286804,0.012193,0.038117,0.0122941,0.0195104,0.021429,0,0.0311391,0.0517575,0.0454898,0,0,0.00822123,0,0,0.0350481,0.0736711,0.0201028,0,0.027307,0.0489067,0.0370035,0.0309317,0.0528734,0.0574427,0.037967,0.0278201,0.0275316,0.0147989,0.035633,0.0250772,0.0480037,0.00908193,0.0170108,0.0460845,0.0473382,0,0,0,0,0,0
