Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,,x80,LILC
422,0.0236381,0.0585802,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0499035,0,0.0112146,0.0403137,0,0,0.00982928,0,0,0.0392015,0.052207,0.0331777,0.0139573,0.0614191,0.0465324,0.071184,0,0.0643732,0.0294958,0.0535469,0.0565133,0.0288646,0.0354323,0.007001,0.0418994,0.0116787,0.0194294,0.0260337,0,0.0248526,0.0535845,0.0448207,0,0,0.030349,0,0,0.0300418,0.0810882,0.0188521,0.0213756,0.0270048,0.046499,0.0342328,0.0249165,0.0481354,0.0561794,0.0353524,0.0291933,0.0270809,0.0168685,0.037504,0.0138142,0.0492912,0.0206076,0.0107491,0.0497122,0.0463856,0,0,0,0,0,0.0310496
423,0.0234887,0.0587122,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0501247,0,0.0114265,0.0405544,0,0,0.0098097,0,0,0.0393002,0.0519951,0.032636,0.0141603,0.0613846,0.0463493,0.0707201,0,0.0646134,0.0296329,0.0538265,0.0568848,0.0292741,0.0355747,0.00750116,0.0419961,0.011706,0.0194729,0.0266858,0,0.0247085,0.0535117,0.045001,0,0,0.0302235,0,0,0.0301604,0.0814313,0.0189312,0.0214423,0.0270195,0.0464072,0.0345873,0.0251586,0.0479458,0.0561663,0.035305,0.0290755,0.0271341,0.016821,0.0374952,0.0135997,0.0493497,0.0210567,0.0105352,0.0497193,0.0464799,0,0,0,0,0,0.0311175
424,0.0234061,0.058847,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505968,0,0.0118384,0.0408184,0,0,0.00983816,0,0,0.0393295,0.0519322,0.0324039,0.0142446,0.0613851,0.0461174,0.0701993,0,0.0648161,0.0296477,0.0541049,0.0571619,0.0295152,0.0356684,0.00848552,0.0418744,0.0118396,0.0194247,0.0274578,0,0.024544,0.0533755,0.04519,0,0,0.0298924,0,0,0.0302629,0.0817358,0.0188377,0.0215238,0.0270291,0.0463532,0.0351217,0.0252667,0.0477916,0.0561121,0.0351219,0.0290384,0.0270724,0.0168442,0.037478,0.0133938,0.0494518,0.0213703,0.010413,0.049769,0.0465259,0,0,0,0,0,0.0311227
425,0.0233759,0.0588524,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0509977,0,0.0123016,0.0410886,0,0,0.00970086,0,0,0.0391919,0.0518713,0.0322912,0.0140712,0.0617554,0.0456082,0.0696772,0,0.0650925,0.0296759,0.0541299,0.0572297,0.0296314,0.0355871,0.00965878,0.0415413,0.0119161,0.0194081,0.0282979,0,0.0243325,0.053127,0.0456142,0,0,0.0153315,0,0,0.0387578,0.0820299,0.0186741,0.0214626,0.0270912,0.0464415,0.0350641,0.0252652,0.0477204,0.0560242,0.0350768,0.0291864,0.0269279,0.0167674,0.0374325,0.0133038,0.0476661,0.0239162,0.0104967,0.0496704,0.0465548,0,0,0,0,0,0.0314418
426,0.0240617,0.058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0511282,0,0.0125994,0.0417166,0,0,0.00940096,0,0,0.0391414,0.0515758,0.0313987,0.0140907,0.0611726,0.0455119,0.0689945,0,0.0650634,0.0293574,0.054455,0.0574926,0.0299113,0.0356169,0.0106492,0.0418953,0.0117942,0.0195965,0.0292983,0,0.0240258,0.0527442,0.0454916,0,0,0.0257203,0,0,0.0158132,0.082466,0.0184221,0.0217566,0.0272722,0.0462813,0.0354732,0.0251219,0.0476208,0.055775,0.0351965,0.0293825,0.0268431,0.0167179,0.0374047,0.0132955,0.0463375,0,0.0121556,0.0498289,0.0464343,0,0,0,0,0,0.031387
427,0.0238556,0.0591682,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0509233,0,0.0123041,0.0420704,0,0,0.00938283,0,0,0.0393173,0.0513494,0.0299134,0.0137581,0.0614154,0.0452622,0.0686397,0,0.0653539,0.0292817,0.0542714,0.0573328,0.029705,0.0355847,0.0112605,0.041807,0.0119017,0.0196621,0.0298724,0,0.0236547,0.0523358,0.045976,0,0,0.0258141,0,0,0.0159917,0.0827496,0.0183063,0.0216484,0.0271685,0.0461731,0.0363949,0.0250148,0.0475735,0.0557377,0.0351521,0.0292435,0.0267734,0.0167311,0.037291,0.0133791,0.0460815,0,0.0122596,0.0500326,0.045875,0,0,0,0,0,0.0316786
428,0.023494,0.0594782,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0497145,0,0.0118041,0.0423011,0,0,0.00941181,0,0,0.0393589,0.0511675,0.0281811,0.0134675,0.0617938,0.0451371,0.0685707,0,0.0656067,0.029258,0.0537759,0.057096,0.029297,0.0356239,0.0108337,0.0416727,0.012089,0.0196037,0.0302615,0,0.0233145,0.0520878,0.04641,0,0,0.0261948,0,0,0.0159814,0.082925,0.0182088,0.0212956,0.0268998,0.0459739,0.0376462,0.0249803,0.0476078,0.0559164,0.0350936,0.0290562,0.0268012,0.0168129,0.0372882,0.0137618,0.0456994,0,0.0123796,0.0502097,0.0454615,0,0,0,0,0,0.0317778
429,0.0231641,0.0597437,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0474678,0,0.0115349,0.0423633,0,0,0.00934992,0,0,0.0393024,0.0509621,0.0274791,0.0134783,0.0622721,0.0449417,0.0688579,0,0.0656984,0.0292887,0.0532548,0.056806,0.0287344,0.035711,0.00908578,0.0415079,0.012083,0.0196939,0.0306101,0,0.0228477,0.0519865,0.0466441,0,0,0.0267382,0,0,0.0164127,0.0829895,0.0182337,0.0208986,0.0267673,0.045962,0.0391381,0.0249373,0.0477696,0.0560722,0.0351325,0.028852,0.0269105,0.0168764,0.0372283,0.0142684,0.0451592,0,0.0125376,0.0502859,0.045142,0,0,0,0,0,0.032028
430,0.0230485,0.0596172,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0453804,0,0.0120182,0.0420931,0,0,0.00931021,0,0,0.0395755,0.0508809,0.0276619,0.0138054,0.0631734,0.0445507,0.0695793,0,0.0657203,0.0295401,0.052632,0.0562735,0.0278356,0.0358191,0.00603422,0.0412177,0.0121889,0.0198284,0.0307173,0,0.0222182,0.0519103,0.0469409,0,0,0.0200518,0,0,0.0213754,0.0829573,0.0186027,0.0204937,0.0266753,0.0462361,0.0401492,0.0247977,0.0479822,0.0560114,0.0349667,0.0285588,0.0270681,0.0169728,0.0369968,0.0147902,0.0439704,0,0.0150201,0.0498764,0.0451028,0,0,0,0,0,0.0325534
431,0.0227791,0.0600094,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0442512,0,0.0130187,0.0419932,0,0,0.00951348,0,0,0.039693,0.0509751,0.0275447,0.0145793,0.0636351,0.0442936,0.070434,0,0.0653648,0.0298891,0.0524,0.0559537,0.0270857,0.0359477,0.0032277,0.0411104,0.0120803,0.0200042,0.0308476,0,0.0215795,0.0519271,0.0469547,0,0,0.0276723,0,0,0.0174375,0.0829716,0.0190535,0.0204796,0.0264947,0.0464384,0.0427538,0.0246878,0.0482258,0.0561283,0.03486,0.0281714,0.0272296,0.0170764,0.0366245,0.015138,0.0441142,0,0.0133725,0.0500761,0.0447708,0,0,0,0,0,0.0326626
