Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,,LILC,LTHII
All Timesteps RMSE,0.0334969,0.0559981,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357653,0,0.0187753,0.0449804,0,0,0.0140349,0,0,0.0401021,0.0574819,0.0327341,0.0233941,0.0635981,0.0447768,0.0820222,0.0884295,0.0572022,0.0607835,0.0325445,0.0364621,0.023854,0.0369132,0.0121874,0.0218603,0.0526112,0,0.028549,0.0550094,0.0441105,0,0,0.0157782,0,0,0.0316291,0.073061,0.0221185,0.0215774,0.0250472,0.056498,0.0404814,0.034727,0.0608972,0.0657426,0.0406461,0.0284679,0.0204723,0.0126183,0.0347561,0.0356777,0.045921,0.0123222,0.0164667,0.0493875,0.0512196,0,0,0,0,0.0426308,0.0622089
0,0.0314854,0.0580305,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0326564,0,0.0203413,0.0556448,0,0,0.0118618,0,0,0.0403442,0.049219,0.0308889,0.0210837,0.0660126,0.0381178,0.0826705,0.0845557,0.0548095,0.0549947,0.0285222,0.0332504,0.0133997,0.032613,0.0113802,0.0204274,0.0132919,0,0.0271163,0.0522569,0.0463362,0,0,0.0139864,0,0,0.0289852,0.0765728,0.0141125,0.0189156,0.020983,0.0553959,0.0348127,0.0330204,0.0567604,0.0645847,0.0417999,0.0270058,0.0320073,0.0175194,0.0342091,0.0295915,0.0502237,0.0117478,0.0142826,0.0494317,0.0474851,0,0,0,0,0,0
1,0.031191,0.0577351,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264191,0,0.0176466,0.0501708,0,0,0.0117676,0,0,0.0405401,0.0521314,0.0222038,0.0243711,0.0648169,0.0384885,0.0791853,0.0807127,0,0.0631889,0,0.0421884,0.017394,0.0324563,0.0114498,0.0205677,0.0187927,0,0.0252604,0.050586,0.0458108,0,0,0.013723,0,0,0.0303246,0.0747604,0.0135547,0.0173896,0.0248241,0.0560491,0.0351068,0.0311978,0.0578996,0.0646751,0.0413837,0.0255421,0.0306763,0.0156812,0.0339334,0.0228299,0.0497342,0.00924986,0.0187493,0.0491617,0.0482483,0,0,0,0,0,0
2,0.0308861,0.0576358,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262092,0,0.0189775,0.047864,0,0,0.0119014,0,0,0.0406785,0.0544148,0.0202935,0.026759,0.0628975,0.0383233,0.0768283,0.0810361,0,0.0663075,0,0.0434769,0.0168961,0.0319099,0.011391,0.0207099,0.0183137,0,0.024885,0.0500326,0.0459914,0,0,0.0135463,0,0,0.0306727,0.0735664,0.0145854,0.017997,0.0240055,0.0561645,0.0365148,0.0315042,0.0586548,0.0654108,0.041662,0.0250209,0.0305078,0.0154794,0.0334781,0.023581,0.0486324,0.00880031,0.0198203,0.0493584,0.0482006,0,0,0,0,0.0351639,0
3,0.0320345,0.0578605,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352409,0,0.0185247,0.0557837,0,0,0.0115902,0,0,0.0404921,0.0491502,0.0291227,0.0189954,0.0644466,0.0387141,0.0838347,0.0818351,0,0.0576438,0.129391,0.0369056,0.0117116,0.0325936,0.0113904,0.0204877,0.0194905,0,0.0244959,0.0531113,0.0460601,0,0,0.013617,0,0,0.030593,0.0739248,0.0154719,0.0190958,0.0232426,0.0538196,0.0338285,0.0325269,0.0589644,0.0663058,0.0431765,0.0245443,0.0306783,0.0154294,0.0331663,0.0225056,0.050255,0.00921842,0.0186251,0.0497751,0.0474402,0,0,0,0,0.0444253,0
4,0.0322234,0.0578949,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0356658,0,0.0186917,0.0561124,0,0,0.0115788,0,0,0.0404761,0.0490562,0.0297396,0.0183717,0.0646127,0.0386457,0.0842795,0.081934,0,0.0571751,0.136925,0.0365901,0.0116268,0.032758,0.0115575,0.0204,0.0195835,0,0.024436,0.0535714,0.0461818,0,0,0.0136696,0,0,0.0307423,0.0737584,0.0155493,0.0187963,0.0231946,0.0535249,0.0336597,0.0325072,0.0589943,0.0663842,0.0432146,0.0244659,0.0304573,0.0154087,0.0331104,0.0224657,0.0503723,0.0092911,0.0184267,0.0497406,0.0474158,0,0,0,0,0.0449248,0
5,0.0315442,0.0577048,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261432,0,0.0188635,0.04733,0,0,0.0120644,0,0,0.04067,0.0549171,0.0203037,0.0264997,0.0630521,0.0381084,0.0771093,0.0812999,0,0.0664047,0,0.0435621,0.0169084,0.0319869,0.0114107,0.0206668,0.0183644,0,0.0248983,0.0516217,0.0462775,0,0,0.0133393,0,0,0.0312204,0.0730786,0.0145436,0.0178598,0.0241529,0.0555912,0.0364123,0.0312341,0.0586407,0.0654151,0.0413043,0.0250027,0.0297668,0.0154497,0.0335062,0.0236256,0.0486345,0.00855311,0.0200878,0.0491856,0.0481895,0,0,0,0,0.0351769,0
6,0,0.0558037,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259949,0,0.018738,0.0472578,0,0,0.0111482,0,0,0.0401122,0.05479,0.0205772,0.0264495,0.0633091,0.0383179,0.0775024,0.0815178,0,0.0661509,0,0.0434849,0.0171773,0.034314,0.0115905,0.0198181,0.0183362,0,0.0248081,0.0516584,0.0441661,0,0,0.0134263,0,0,0.0318359,0.0729383,0.0146873,0.0183529,0.0241484,0.0553123,0.0388631,0.0312525,0.0587464,0.0654949,0.0410462,0.0249068,0.0296876,0.0153666,0.0334995,0.0237183,0.0471855,0.0084436,0.0206997,0.0476793,0.0501497,0,0,0,0,0.035449,0
7,0,0.0557941,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257816,0,0.0187605,0.0471539,0,0,0.0110749,0,0,0.0401698,0.0548511,0.0206244,0.0264997,0.0634228,0.0383251,0.0775569,0.08152,0,0.0661515,0,0.0434893,0.0174237,0.0344211,0.0115865,0.019849,0.0183664,0,0.0247999,0.0514325,0.0442099,0,0,0.0131743,0,0,0.0319034,0.0729858,0.0146943,0.0190654,0.0241815,0.055236,0.0388604,0.0312146,0.0586791,0.065492,0.0411368,0.0250018,0.0301325,0.0153661,0.0335892,0.023719,0.0470845,0.00829613,0.0208946,0.0477688,0.0502107,0,0,0,0,0.0354035,0
8,0.0320978,0.0577591,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290783,0,0.0202471,0.0506326,0,0,0.0116173,0,0,0.0407657,0.0527519,0.0256001,0.0237007,0.063806,0.0380226,0.0790876,0.0845752,0.0599985,0.0610841,0,0.0371374,0.0148537,0.0326257,0.0113815,0.0206754,0.0194603,0,0.0248011,0.051966,0.0464756,0,0,0.0127472,0,0,0.0310369,0.073667,0.0148951,0.0191667,0.0239944,0.0547364,0.0355167,0.0316882,0.0585815,0.0657806,0.0422961,0.0248971,0.0301684,0.0153918,0.0335793,0.0225247,0.0489875,0.00848719,0.0197734,0.049791,0.0479592,0,0,0,0,0.0390378,0
9,0.0316607,0.0576796,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028572,0,0.0201831,0.05053,0,0,0.0115433,0,0,0.0408254,0.0530042,0.0254605,0.0236148,0.0638983,0.0380619,0.0791251,0.0844806,0.0587195,0.0612302,0,0.0372955,0.0154001,0.0328221,0.0115382,0.0206132,0.0195809,0,0.0247953,0.0520327,0.0464736,0,0,0.0126899,0,0,0.0310747,0.0736218,0.0149175,0.0192077,0.0240223,0.0546332,0.0356008,0.031604,0.0585842,0.0657816,0.0422709,0.0248699,0.0298425,0.0153476,0.0335784,0.0223665,0.0489514,0.00848404,0.0197231,0.0500426,0.048064,0,0,0,0,0.0389946,0
10,0.0318332,0.0577656,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028372,0,0.0191105,0.0522979,0,0,0.0112815,0,0,0.0407771,0.0513793,0.0276114,0.0210842,0.064854,0.0379537,0.0818204,0.0839946,0.0553882,0.0579639,0,0.0359588,0.0162669,0.0333143,0.0115322,0.020497,0.0191359,0,0.0253259,0.0558775,0.0466424,0,0,0.0127355,0,0,0.0311327,0.0735894,0.0141894,0,0.0250774,0.0545398,0.0347636,0.0316066,0.0585793,0.0650761,0.0408775,0.0251937,0.0290815,0.015165,0.0337489,0.0227837,0.0495385,0.00876664,0.0190493,0.0503614,0.0474758,0,0,0,0,0,0
11,0.0312203,0.0576738,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0279232,0,0.0201793,0.0503432,0,0,0.011366,0,0,0.0408889,0.0532554,0.0252724,0.0234771,0.0641005,0.0381387,0.0793889,0.0844797,0.0587602,0.0612659,0,0.0372124,0.0160035,0.0329266,0.0114694,0.0207071,0.0197555,0,0.0248284,0.05225,0.0464799,0,0,0.0125399,0,0,0.0314691,0.0734387,0.0150539,0.0194772,0.0240882,0.0543828,0.0357023,0.031459,0.0586419,0.0657889,0.0422451,0.0248753,0.0292441,0.0153006,0.033606,0.0220984,0.0487778,0.00851809,0.0196244,0.050021,0.0481351,0,0,0,0,0.0390582,0
12,0.031665,0.0578335,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276314,0,0.0191757,0.0531178,0,0,0.0111146,0,0,0.0407716,0.0510901,0.027549,0.0209623,0.0664971,0.0382447,0.0820345,0.0843845,0.0573456,0.0580417,0,0.0356432,0.0170769,0.0332751,0.0114148,0.0206214,0.0206494,0,0.025396,0.0528994,0.0463814,0,0,0.0125567,0,0,0.0314358,0.0746042,0.0138611,0.0203638,0.0251604,0.0541481,0.0341262,0.0309353,0.0577452,0.0649418,0.0420819,0.0256597,0.0293769,0.0155429,0.0342986,0.020838,0.0497207,0.00878534,0.0187326,0.0497222,0.0483066,0,0,0,0,0,0
13,0.0311024,0.057715,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241823,0,0.0189379,0.0455338,0,0,0.0113788,0,0,0.0409247,0.0561523,0.0202401,0.0264918,0.0623936,0.0375929,0.0775026,0.0815066,0,0.0665749,0,0.0436166,0.0191649,0.0324746,0.0112979,0.0208478,0.0177737,0,0.0247077,0.054323,0.0467982,0,0,0.0123964,0,0,0.0318918,0.0713272,0.0158038,0,0.0240463,0.0551559,0.0370966,0.031581,0.0597944,0.0659451,0.0409129,0.0246614,0.0287911,0.0147686,0.0331388,0.0245611,0.0476246,0.00814945,0.0203458,0.050592,0.0477035,0,0,0,0,0.0348847,0
14,0,0.0558263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023749,0,0.018768,0.0470786,0,0,0.0105755,0,0,0.0404309,0.0557271,0.0205481,0.0261038,0.064242,0.0383281,0.0778813,0.0817188,0,0.0662297,0,0.0435544,0.0198651,0.0350256,0.0115211,0.0201558,0.0189429,0,0.0248699,0.0521992,0.0444748,0,0,0.0126855,0,0,0.0325647,0.072468,0.0151491,0.019746,0.0244533,0.0547142,0.0388601,0.0307636,0.0588006,0.0655634,0.0413124,0.0252409,0.0294407,0.0151456,0.0338098,0.0229927,0.0466189,0.00828208,0.0204534,0.0486941,0.0504102,0,0,0,0,0.0356664,0
15,0,0.0558347,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0237594,0,0.0188108,0.0460966,0,0,0.0105634,0,0,0.0403815,0.0560901,0.020468,0.026185,0.0628814,0.0377845,0.077791,0.0817083,0,0.0663296,0,0.0435723,0.0198106,0.035176,0.0115171,0.0200659,0.0178826,0,0.0246697,0.0549194,0.0448727,0,0,0.0124943,0,0,0.0326987,0.0709682,0.0161356,0,0.0240742,0.0549237,0.0393097,0.0315891,0.0599724,0.0660575,0.04076,0.0247111,0.0288331,0.0146241,0.0331525,0.0246814,0.0462978,0.00801113,0.0209341,0.0492605,0.0496141,0,0,0,0,0.0355179,0
16,0,0.0558582,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233574,0,0.0187592,0.0474389,0,0,0.0104106,0,0,0.0404274,0.0557127,0.0203773,0.0260779,0.0643701,0.0381503,0.077822,0.0816894,0,0.0663127,0,0.0436393,0.0203566,0.0353362,0.011501,0.0201864,0.0193892,0,0.024875,0.0520585,0.0445123,0,0,0.0121778,0,0,0.0326727,0.0725151,0.0153006,0.0210984,0.0245611,0.0547108,0.038883,0.0307041,0.0587789,0.0654894,0.0414092,0.025332,0.0295501,0.0150372,0.0338955,0.0226145,0.0463429,0.00800429,0.0206128,0.0486266,0.0504398,0,0,0,0,0.0357186,0
17,0,0.0558004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273625,0,0.0190116,0.0461672,0,0,0.0104606,0,0,0.0404812,0.0547503,0.0206675,0.0258895,0.0629901,0.0379961,0.0794105,0.0808127,0,0.0661409,0,0.0443405,0.015301,0.035082,0.0114582,0.0203086,0.026887,0,0.0211503,0.0529941,0.0446803,0,0,0.0121724,0,0,0.0329533,0.0709278,0.0196229,0,0.0320858,0.0548389,0.0398575,0.0300892,0.0620946,0.0671478,0.0416732,0.0235442,0.0300467,0.0117621,0.0332468,0.0149724,0.0455385,0.0079071,0.021198,0.04925,0.0499416,0,0,0,0,0.0357897,0
18,0,0.0558656,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235394,0,0.0187668,0.0459104,0,0,0.0104496,0,0,0.0403113,0.0561208,0.0202013,0.0263182,0.0627675,0.0375693,0.0776298,0.0817003,0,0.0662982,0,0.0439273,0.0201739,0.0355071,0.0114998,0.0200402,0.0180534,0,0.0244691,0.05467,0.0448701,0,0,0.0118371,0,0,0.0328915,0.0710179,0.0162637,0,0.0240777,0.0547917,0.0394964,0.0315974,0.0599556,0.0660503,0.0407662,0.0248421,0.0296543,0.0144628,0.0332944,0.0245944,0.0458897,0.00789728,0.0207616,0.0493244,0.0496248,0,0,0,0,0.0352817,0
19,0,0.0559241,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231705,0,0.0189054,0.0472753,0,0,0.0102939,0,0,0.0403693,0.055628,0.0203328,0.0261881,0.0640707,0.0378329,0.077621,0.0817861,0,0.0663376,0,0.0438911,0.0205733,0.0357461,0.0115387,0.0201518,0.0193311,0,0.0249135,0.0517716,0.0445428,0,0,0.0116014,0,0,0.0328478,0.0726932,0.0154339,0.0206405,0.0242601,0.0546569,0.0391118,0.0308965,0.05876,0.065584,0.0414381,0.0254334,0.0295948,0.0150132,0.0339949,0.022702,0.0460899,0.0079406,0.0203666,0.0487198,0.050439,0,0,0,0,0.0355014,0
20,0,0.0560164,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230541,0,0.0177422,0.0498528,0,0,0.0102025,0,0,0.0403032,0.0533879,0.0226764,0.0233078,0.0659457,0.0376531,0.0799343,0.0816812,0,0.0631996,0,0.0425169,0.0214335,0.0364356,0.0116673,0.0199501,0.0200979,0,0.025513,0.0526096,0.0445096,0,0,0.0111978,0,0,0.0326912,0.0739105,0.0143572,0.0197552,0.0250705,0.0542343,0.0378242,0.0305579,0.0580925,0.0648652,0.0410637,0.0259903,0.0291616,0.0153155,0.0345708,0.0216406,0.0469444,0.00815385,0.0193971,0.0484519,0.0505293,0,0,0,0,0,0
21,0,0.0557948,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229521,0,0.017875,0.0500737,0,0,0.0101436,0,0,0.0403087,0.0532386,0.0227619,0.0234275,0.0658643,0.0375446,0.0799043,0.0816765,0,0.0630746,0,0.0424688,0.0216279,0.0365262,0.0117092,0.0199466,0.0201922,0,0.0255696,0.0522913,0.0445547,0,0,0.010983,0,0,0.0327806,0.074123,0.014337,0.0203468,0.0250139,0.0542451,0.037896,0.0305976,0.0580462,0.0648648,0.0409731,0.026057,0.0291543,0.0153488,0.0346098,0.0215366,0.0467681,0.00809211,0.0193685,0.0485423,0.0504772,0,0,0,0,0,0
22,0,0.0553885,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229484,0,0.0179741,0.0502066,0,0,0.0101208,0,0,0.040234,0.0531571,0.0228351,0.0235093,0.0658129,0.0375375,0.0799384,0.0816644,0,0.0630369,0,0.0424447,0.0217308,0.036595,0.0116662,0.019925,0.0200948,0,0.0255901,0.052133,0.0445537,0,0,0.0108573,0,0,0.0328722,0.0741047,0.0143394,0.0205727,0.0249396,0.0541815,0.0379318,0.0305809,0.0579759,0.0648812,0.0407708,0.0261855,0.0293998,0.0153334,0.0346481,0.0216381,0.0467091,0.00804664,0.0193979,0.0487141,0.0504133,0,0,0,0,0,0
23,0,0.0554497,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0232731,0,0.0192813,0.0477126,0,0,0.0102564,0,0,0.040183,0.0554266,0.0205791,0.0263067,0.063831,0.037525,0.0777232,0.0817733,0,0.0662376,0,0.0439392,0.0208704,0.03617,0.0116142,0.0199864,0.0192457,0,0.0251443,0.0514699,0.0446698,0,0,0.0111723,0,0,0.0332002,0.0728264,0.0154559,0.0207546,0.0239254,0.0544616,0.0393084,0.0309107,0.0587109,0.06561,0.041113,0.0256461,0.0292528,0.0150974,0.0341314,0.0227934,0.0456026,0.00776607,0.0202296,0.0490952,0.0502969,0,0,0,0,0.0355472,0
24,0,0.0544926,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235685,0,0.0193277,0.0466658,0,0,0.0105426,0,0,0.0401553,0.0558205,0.0206835,0.0262821,0.0625009,0.0368503,0.0777686,0.0817618,0,0.0663883,0,0.0439553,0.0203852,0.0356928,0.0117127,0.0198329,0.017636,0,0.0249297,0.0544864,0.0454394,0,0,0.00750652,0,0,0.0218857,0.0710274,0.0164215,0,0.023413,0.0546788,0.0356467,0.0317199,0.0599169,0.0660946,0.0404815,0.0250686,0.0287617,0.0146237,0.0334362,0.0250699,0.0465225,0,0.0209854,0.0494442,0.049774,0,0,0,0,0.0355959,0
25,0,0.0547581,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233885,0,0.0193536,0.0480031,0,0,0.0103019,0,0,0.0402223,0.055529,0.0206737,0.0262195,0.0635551,0.0376341,0.0777101,0.0818,0,0.066484,0,0.0438894,0.0205278,0.0363107,0.0118325,0.0198745,0.0187587,0,0.0251968,0.0520321,0.0446507,0,0,0.0112971,0,0,0.0331952,0.072407,0.015591,0.0193413,0.0238191,0.0542761,0.0395073,0.0308397,0.0587609,0.0656325,0.0408415,0.0257166,0.0294598,0.0151675,0.0341776,0.0234374,0.0454022,0.00802263,0.0198521,0.0493352,0.0501517,0,0,0,0,0.0358065,0
26,0,0.0548543,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233057,0,0.0180867,0.0504878,0,0,0.0101579,0,0,0.0401178,0.0532692,0.022983,0.0234075,0.0655258,0.0378178,0.0799643,0.0816661,0,0.0633942,0,0.0423988,0.0211913,0.0369252,0.0119469,0.0197313,0.0193383,0,0.0257276,0.0527703,0.0445908,0,0,0.0108253,0,0,0.0329378,0.0734428,0.0145068,0.0192615,0.0246058,0.0539789,0.0381749,0.0304667,0.0579936,0.0649435,0.0406696,0.026399,0.0297179,0.0154645,0.0347647,0.0226002,0.0464169,0.00818675,0.0190144,0.0490456,0.0502085,0,0,0,0,0,0
27,0,0.0549638,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264694,0,0.0196167,0.0545116,0,0,0.0101128,0,0,0.0399981,0.0506844,0.0279904,0.0207795,0.0662459,0.0378117,0.0819796,0.0848088,0.0557138,0.0579877,0,0.0362144,0.0188427,0.0373793,0.0119702,0.0196265,0.0203978,0,0.0257009,0.0529496,0.0447368,0,0,0.010482,0,0,0.0329136,0.0741269,0.014716,0.0206399,0.0243221,0.0535579,0.037356,0.031079,0.0579093,0.0652579,0.0416024,0.0262983,0.0298142,0.0154579,0.0347277,0.021517,0.0470126,0.00828964,0.018584,0.0491252,0.0499352,0,0,0,0,0,0
28,0,0.0548376,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233918,0,0.0181777,0.0493847,0,0,0.0101373,0,0,0.0400441,0.0534013,0.023118,0.0233336,0.0640651,0.0374534,0.0798538,0.0816314,0,0.0632609,0,0.0423344,0.0210667,0.0370537,0.0119035,0.0197289,0.0181057,0,0.0257297,0.0552743,0.0450117,0,0,0.0108032,0,0,0.0332857,0.0720765,0.0151466,0,0.0243238,0.0542613,0.0389021,0.0312223,0.0589556,0.0653103,0.0400397,0.0260377,0.0291742,0.0150461,0.0342852,0.0244084,0.0458022,0.00795176,0.0194728,0.0497766,0.0493652,0,0,0,0,0,0
29,0,0.0548473,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267651,0,0.0206722,0.0515795,0,0,0.0100099,0,0,0.0401547,0.0528039,0.0255279,0.0232422,0.0639698,0.0377464,0.0794164,0.084971,0.0585325,0.0613141,0,0.0377025,0.0178377,0.0371285,0.0119169,0.0198645,0.0195252,0,0.0252181,0.0520524,0.044855,0,0,0.0107982,0,0,0.0333867,0.0727374,0.0161225,0.0201195,0.0231403,0.0536944,0.0389771,0.0315588,0.0588248,0.0661866,0.0419901,0.0256301,0.0295923,0.0152396,0.0340859,0.0227949,0.0457527,0.00796025,0.0194245,0.0495984,0.0497237,0,0,0,0,0.0397075,0
30,0,0.0548641,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268427,0,0.0206939,0.0515304,0,0,0.00988101,0,0,0.0403109,0.0528137,0.0255856,0.0232352,0.0639209,0.0378916,0.0794042,0.084811,0.0585127,0.0612987,0,0.037666,0.017798,0.0372783,0.0120165,0.0199347,0.0193504,0,0.025195,0.0521901,0.0448792,0,0,0.0107159,0,0,0.0334392,0.0726076,0.0161786,0.0192908,0.0230188,0.0536089,0.0390177,0.0315871,0.0588592,0.0662116,0.0419125,0.025633,0.0295661,0.0152934,0.0340942,0.0230396,0.0457077,0.00795723,0.0193869,0.0496524,0.0496926,0,0,0,0,0.0397475,0
31,0,0.0548821,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269167,0,0.0206778,0.0515764,0,0,0.00984635,0,0,0.0403638,0.0527552,0.0255763,0.0231675,0.0639448,0.0379273,0.0793903,0.0848213,0.0585324,0.0613298,0,0.0376475,0.0178123,0.0374036,0.0120837,0.0199485,0.019385,0,0.0251971,0.0520545,0.0449002,0,0,0.0106084,0,0,0.0333974,0.0726421,0.0161681,0.0197177,0.0229914,0.0536451,0.0390267,0.0315936,0.0588298,0.0662341,0.0419118,0.0256231,0.0295886,0.0153671,0.034161,0.023028,0.0456084,0.0079105,0.0193376,0.0496633,0.0496992,0,0,0,0,0.0397356,0
32,0,0.0548938,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267589,0,0.0206592,0.0516966,0,0,0.00985301,0,0,0.0403121,0.0527154,0.0255549,0.0230746,0.0639446,0.0379847,0.0794655,0.0845554,0.0585016,0.0612122,0,0.0376332,0.0179497,0.0374749,0.0120718,0.0199365,0.0194298,0,0.0252266,0.0519496,0.0449162,0,0,0.0104697,0,0,0.0332856,0.0726375,0.0161602,0.0200612,0.0230322,0.0537123,0.0390371,0.0315993,0.0588503,0.0662637,0.0419285,0.0255926,0.0295753,0.0154308,0.0342367,0.0230012,0.045506,0.00783839,0.0192884,0.0496374,0.0496935,0,0,0,0,0.0397081,0
33,0,0.0549511,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229221,0,0.0182276,0.0506633,0,0,0.00976082,0,0,0.04034,0.0530096,0.0231805,0.0230201,0.0654356,0.0381992,0.0800473,0.08084,0,0.0629338,0,0.0423045,0.0218769,0.0376291,0.0120531,0.0199953,0.0191651,0,0.0259098,0.0520976,0.044713,0,0,0.0102238,0,0,0.0331715,0.0730967,0.0146828,0.0200515,0.0242864,0.0539477,0.0384772,0.0305536,0.0580095,0.0651791,0.0407771,0.0265434,0.0297332,0.0158152,0.0350452,0.0229842,0.0459327,0.00806339,0.0187813,0.0492283,0.0501394,0,0,0,0,0,0
34,0,0.0548698,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268083,0,0.0206253,0.0517427,0,0,0.00977092,0,0,0.0404766,0.052852,0.0254831,0.0230042,0.0637935,0.0378631,0.0796378,0.0842641,0.0584311,0.0609476,0,0.0377468,0.0180423,0.0373699,0.0120645,0.020058,0.0192563,0,0.0252705,0.0522419,0.0448482,0,0,0.0104001,0,0,0.0332896,0.0723199,0.0161573,0.0194247,0.023054,0.0536201,0.0391021,0.0315357,0.0588484,0.0663139,0.041863,0.0257418,0.0297402,0.0155443,0.0343442,0.0232104,0.0454604,0.00799621,0.0190301,0.049656,0.0497452,0,0,0,0,0.0396705,0
35,0,0.0549866,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265128,0,0.0196462,0.0544545,0,0,0.00980299,0,0,0.0404733,0.050582,0.0279751,0.0205422,0.06601,0.0376569,0.082026,0.0843285,0.055789,0.0577171,0,0.0362655,0.0189395,0.0379555,0.012183,0.0199036,0.0200577,0,0.0258465,0.0529084,0.0447611,0,0,0.0099834,0,0,0.0330692,0.0735274,0.0148792,0.0199827,0.0240515,0.0534012,0.0376127,0.0310372,0.0578891,0.0654858,0.0414975,0.026546,0.0299266,0.0158893,0.0350398,0.0220606,0.0465564,0.00836471,0.0180403,0.0492833,0.0499563,0,0,0,0,0,0
36,0,0.05492,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231204,0,0.018218,0.0505978,0,0,0.00977138,0,0,0.0405971,0.0531206,0.023175,0.0231753,0.0653465,0.0374878,0.0797674,0.0813082,0,0.063038,0,0.0422278,0.0214798,0.0378869,0.012111,0.0200978,0.0192737,0,0.0259539,0.052563,0.0446143,0,0,0.0102847,0,0,0.0332556,0.0730605,0.0146253,0.0199692,0.0242852,0.0539962,0.0384261,0.0303929,0.0578679,0.0652159,0.0406923,0.0267848,0.0298487,0.0159697,0.0351681,0.0228675,0.0459262,0.00815992,0.0185087,0.0491658,0.0502537,0,0,0,0,0,0
37,0,0.0549075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0232265,0,0.0182406,0.050168,0,0,0.00970414,0,0,0.0406395,0.0532791,0.023197,0.0231469,0.0652649,0.0376914,0.0797889,0.081423,0,0.0632214,0,0.0421962,0.0213424,0.0380604,0.012127,0.0201572,0.0192814,0,0.0259583,0.052915,0.0444774,0,0,0.0102378,0,0,0.0332653,0.0731773,0.0146604,0.0195077,0.0243198,0.0538354,0.0384119,0.0303645,0.0579415,0.0652383,0.0405954,0.0267683,0.0297848,0.0159966,0.0351857,0.0228752,0.0460325,0.0082825,0.018333,0.049222,0.0502618,0,0,0,0,0,0
38,0,0.0548257,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272974,0,0.0206848,0.0514892,0,0,0.00964032,0,0,0.0406336,0.052934,0.0255777,0.0228042,0.0636258,0.0378113,0.0796254,0.0848804,0.0600884,0.0611771,0,0.0375061,0.0173579,0.0379157,0.0120588,0.0202615,0.0195387,0,0.0252968,0.0528045,0.0445363,0,0,0.0102989,0,0,0.0332813,0.0724013,0.0161865,0.0196494,0.0230874,0.0533115,0.0389374,0.0314332,0.0588163,0.0663789,0.0417839,0.0258845,0.0297459,0.0156804,0.0344911,0.0229526,0.0456952,0.00817121,0.0185835,0.0497121,0.049798,0,0,0,0,0.039775,0
