Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,,LILC,LTHII
531,0.0301038,0.0581618,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280664,0,0.0156849,0.031091,0,0,0.0100295,0,0,0.0321092,0.0617276,0.0420393,0.0181833,0.0691059,0.0396623,0.0937245,0.0929967,0.0558747,0.0572441,0.0288801,0.0379125,0.0377403,0.0380162,0,0.0251054,0.0597092,0,0.0335018,0.0610476,0.0452123,0,0,0.0156844,0,0,0.0339056,0.0682747,0.0230937,0.0237058,0.0266868,0.0533269,0.0453827,0.0321459,0.0539951,0.0650361,0.0428214,0.0327936,0.0129801,0.0109518,0.0372606,0,0.0401047,0.00797987,0.0200511,0.0526025,0.0450357,0,0,0,0,0.030799,0.0678027
532,0.030094,0.058163,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0283314,0,0.0152328,0.0313093,0,0,0.00999304,0,0,0.0322699,0.0618078,0.0410958,0.0179398,0.0690258,0.0395216,0.0934129,0.0928166,0.0560269,0.0574866,0.0291604,0.0379112,0.0356965,0.0381477,0,0.0250329,0.0597963,0,0.0334396,0.0610971,0.0452319,0,0,0.0155751,0,0,0.0337269,0.0682667,0.0231118,0.0236801,0.026869,0.0529579,0.0454226,0.0322391,0.0540214,0.0650437,0.0429363,0.032831,0.0128259,0.0107643,0.0371951,0,0.0401702,0.00789496,0.020023,0.0525949,0.0446831,0,0,0,0,0.0310632,0.0673906
533,0.0300446,0.0582458,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285626,0,0.0148443,0.0315493,0,0,0.0100581,0,0,0.0322961,0.0616725,0.0402752,0.0177471,0.0690194,0.0393389,0.0931037,0.0929867,0.0561214,0.0576724,0.0293818,0.0378557,0.0338308,0.0383111,0,0.0248845,0.0598703,0,0.0333662,0.0611737,0.0453056,0,0,0.0154591,0,0,0.0338197,0.0682866,0.0231185,0.0235691,0.0270188,0.0524916,0.0453564,0.032321,0.0540236,0.0650732,0.0431484,0.0328182,0.0127693,0.0107406,0.0371834,0,0.040252,0.00786127,0.0199814,0.0526701,0.0445205,0,0,0,0,0.0312615,0.0669992
534,0.0300414,0.0582838,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287339,0,0.0145792,0.0318102,0,0,0.0101178,0,0,0.0321687,0.0615297,0.0394557,0.017557,0.0689564,0.0392372,0.0927631,0.0931185,0.056192,0.0578135,0.0295549,0.0376592,0.0321736,0.0384687,0,0.0247566,0.0598752,0,0.0333774,0.0613193,0.0453888,0,0,0.0153099,0,0,0.0338405,0.0683644,0.0232939,0.0232813,0.0271423,0.0525319,0.0452958,0.0322611,0.0539911,0.065125,0.0431022,0.0328258,0.0126964,0.0110678,0.0373721,0,0.0403806,0.00788937,0.0199461,0.0526995,0.0444874,0,0,0,0,0.0314068,0.0666265
535,0.0300056,0.0583453,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0289758,0,0.0143789,0.0320723,0,0,0.0101557,0,0,0.0320462,0.0615076,0.0387693,0.0174065,0.0686423,0.0390435,0.0924908,0.093292,0.0562329,0.0579062,0.0296611,0.0374763,0.0305946,0.0385337,0,0.0246039,0.0598138,0,0.0334411,0.0614735,0.0454509,0,0,0.0151666,0,0,0.0337029,0.0683763,0.0235336,0.0233481,0.0271422,0.052574,0.0452957,0.0322553,0.0540286,0.0651194,0.0428892,0.0328226,0.0126742,0.0114028,0.0374195,0,0.040473,0.007864,0.0199136,0.052775,0.0443882,0,0,0,0,0.0315207,0.0661691
536,0.029959,0.0583832,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292843,0,0.0143269,0.0323847,0,0,0.0101547,0,0,0.0319623,0.0616081,0.0381417,0.0172192,0.0684313,0.0388854,0.0922395,0.0935002,0.0562757,0.0579488,0.0297633,0.0373788,0.0289963,0.0384618,0,0.024456,0.0597464,0,0.0334604,0.0614634,0.0454643,0,0,0.0150499,0,0,0.0336938,0.0684228,0.0236928,0.0234588,0.0271299,0.0527006,0.0453394,0.0322822,0.0540424,0.0650306,0.0428069,0.0328107,0.0125795,0.0113389,0.0373784,0,0.0405401,0.00779627,0.0199164,0.0528254,0.0442512,0,0,0,0,0.0319576,0.0658
537,0.0299464,0.0583691,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02968,0,0.0142821,0.0327473,0,0,0.0100794,0,0,0.0317685,0.0618603,0.0375015,0.0169985,0.0683131,0.0387504,0.0919423,0.0937352,0.0563163,0.0580034,0.0298553,0.0372839,0.027387,0.0383568,0,0.0243364,0.0596694,0,0.0334935,0.0612407,0.0454715,0,0,0.0149746,0,0,0.0338831,0.0685186,0.0237953,0.0233259,0.0271482,0.052675,0.0454404,0.0322942,0.054029,0.0649689,0.0428997,0.0328354,0.012478,0.0110721,0.0373252,0,0.0406,0.00775627,0.0199751,0.0528473,0.0441787,0,0,0,0,0.0329352,0.0653161
538,0.0299376,0.0583704,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304041,0,0.014101,0.0331143,0,0,0.0100177,0,0,0.0315309,0.0621234,0.0367494,0.016756,0.0682434,0.038478,0.0916339,0.0939611,0.0563565,0.0580671,0.0299438,0.0371272,0.0255413,0.0382669,0,0.0241691,0.0594752,0,0.0336691,0.0610509,0.0455509,0,0,0.0149293,0,0,0.0340555,0.0685428,0.0240268,0.0233452,0.0271278,0.0525049,0.045496,0.0324187,0.0540751,0.0648561,0.0428215,0.0328406,0.0124847,0.0111047,0.0372946,0,0.0406318,0.00773657,0.0200457,0.0528998,0.044064,0,0,0,0,0.0334012,0.0646348
539,0.0294112,0.0591003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314255,0,0.0138004,0.0335946,0,0,0.0130263,0,0,0.0404096,0.0621811,0.0360513,0.0165557,0.0680096,0.0425147,0.0912455,0.0940842,0.056498,0.0582217,0.0301514,0.0370492,0.0234873,0.0383422,0.012471,0.0194233,0.059273,0,0.0338624,0.0609366,0.0456352,0,0,0.0143981,0,0,0.0338021,0.0686557,0.0242281,0.0233695,0.0271427,0.0524917,0.0458227,0.0325417,0.05409,0.0647432,0.0427585,0.0328713,0.0125041,0.0110756,0.0373424,0,0.0412587,0.00776329,0.0198102,0.0535623,0.0436809,0,0,0,0,0.0334238,0.0640315
540,0.0293525,0.0591066,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327669,0,0.0135041,0.034088,0,0,0.0128523,0,0,0.0400083,0.0621202,0.0353117,0.0163242,0.0680317,0.0422907,0.0908272,0.0941907,0.0566953,0.0584405,0.0304087,0.0371892,0.0212835,0.0381505,0.0117031,0.0197716,0.05913,0,0.0340808,0.0607022,0.0456812,0,0,0.0143143,0,0,0.0336154,0.0688414,0.0244104,0.0232311,0.0271563,0.0526641,0.0457751,0.0326421,0.0541215,0.0646727,0.042773,0.0328321,0.0125496,0.0112794,0.0373557,0,0.0412602,0.00769695,0.0198079,0.0535452,0.0436651,0,0,0,0,0.0335642,0.0636223
541,0.0292438,0.0590324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346033,0,0.0134966,0.0345611,0,0,0.0129781,0,0,0.0396362,0.0620256,0.0346315,0.0161522,0.068441,0.0419018,0.0903019,0.0939948,0.0568821,0.0585962,0.0305956,0.0373496,0.0187333,0.0381816,0.0122152,0.019719,0.0684551,0,0.0274871,0.0604194,0.0459732,0,0,0.0139773,0,0,0.0331985,0.0686714,0.0247707,0.0231214,0.0251474,0.0535047,0.0455742,0.0331466,0.054821,0.0643001,0.0418547,0.0313431,0.0196253,0.0146608,0.0339566,0,0.0415578,0.00798199,0.0198832,0.0532306,0.0437187,0,0,0,0,0.033924,0.0633052
542,0.0292935,0.0592428,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362054,0,0.0130374,0.0368696,0,0,0.0125954,0,0,0.0403063,0.0613237,0.0341887,0.0144972,0.0700223,0.0421931,0.0907186,0.0937362,0.055742,0.0574001,0.0299086,0.0364615,0.016284,0.0384671,0.0124673,0.0193282,0.0586202,0,0.0349043,0.0620422,0.0455373,0,0,0.012995,0,0,0.0333109,0.0699945,0.0246405,0.0218971,0.0275077,0.0524189,0.0440076,0.0321412,0.053402,0.0637349,0.0421005,0.033185,0.0125899,0.0114812,0.037849,0,0.0422556,0.00771913,0.0192893,0.0530969,0.043742,0,0,0,0,0,0.0646475
543,0.0286084,0.059009,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382085,0,0.0133727,0.0359358,0,0,0.0126526,0,0,0.0402521,0.0618627,0.0331733,0.0162204,0.0683435,0.0413987,0.089457,0.0940796,0.0572737,0.0589788,0.0310379,0.0375011,0.012656,0.0382938,0.0127878,0.0195401,0.066389,0,0.0292641,0.0597144,0.0460034,0,0,0.0138692,0,0,0.0335126,0.0692643,0.0248232,0.0227118,0.0250645,0.0531429,0.0455461,0.0333671,0.0549328,0.0642128,0.0417773,0.0313327,0.0185317,0.0134328,0.0343376,0,0.0416453,0.00783908,0.0201837,0.0531825,0.0436782,0,0,0,0,0.0343332,0.0625416
544,0.0285893,0.0590035,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378839,0,0.0134014,0.0368551,0,0,0.0124366,0,0,0.0402797,0.061776,0.0327078,0.0162667,0.0684028,0.0411777,0.0888254,0.093901,0.057493,0.059181,0.0312649,0.0376261,0.0103007,0.038308,0.0125986,0.0196824,0.065345,0,0.0301315,0.059209,0.0460819,0,0,0.0137287,0,0,0.0336115,0.0697125,0.0247621,0.0222875,0.0250952,0.0533643,0.0454075,0.0334422,0.0549275,0.064185,0.0416516,0.0313272,0.017991,0.0127536,0.034542,0,0.0417645,0.00794967,0.0201453,0.0530656,0.0437152,0,0,0,0,0.0345603,0.0622867
545,0.0287501,0.0589841,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357662,0,0.0140091,0.0377945,0,0,0.0122243,0,0,0.0402029,0.061745,0.0326691,0.0164053,0.0683851,0.0409423,0.0880349,0.0934889,0.0575202,0.0592998,0.0313264,0.0374056,0.010384,0.038306,0.0122705,0.0198981,0.064318,0,0.0309855,0.0587848,0.0463197,0,0,0.0135445,0,0,0.0336161,0.0701302,0.0247469,0.0220261,0.0249871,0.0533954,0.0452142,0.0335473,0.0549761,0.0641493,0.0414446,0.0312243,0.0175176,0.0124787,0.0346223,0,0.041899,0.00799558,0.0201034,0.0529426,0.043845,0,0,0,0,0.0347557,0.0621399
546,0.0288522,0.0589157,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333097,0,0.014944,0.0386242,0,0,0.0120466,0,0,0.0403217,0.0619003,0.0327154,0.0165931,0.068325,0.0407681,0.0874217,0.0930269,0.057286,0.0592483,0.0312071,0.0368956,0.0124624,0.0383364,0.0122622,0.0199671,0.0633648,0,0.0317736,0.0585015,0.0464013,0,0,0.0132903,0,0,0.0335677,0.0704839,0.0246456,0.0219191,0.024826,0.0531664,0.0449805,0.0335499,0.0550577,0.0641549,0.0412175,0.0311064,0.0171245,0.012181,0.0346447,0,0.042083,0.00797339,0.0200955,0.0527835,0.0440382,0,0,0,0,0.034965,0.0620173
547,0.0289601,0.0588068,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320264,0,0.015972,0.0392404,0,0,0.011872,0,0,0.0405248,0.0619056,0.0317644,0.0167868,0.0682256,0.0407057,0.0872179,0.0928749,0.0570982,0.0592818,0.0312677,0.0365136,0.0148003,0.0383641,0.0123482,0.0200077,0.0622972,0,0.0326751,0.0581918,0.0463669,0,0,0.0130247,0,0,0.0334557,0.0707598,0.0245779,0.0218451,0.0246397,0.0531156,0.0446834,0.0334365,0.0551529,0.0641543,0.0410065,0.0310003,0.0167058,0.0117272,0.0348333,0,0.0422657,0.00792109,0.0200647,0.052614,0.0442164,0,0,0,0,0.0350857,0.0618476
548,0.0290542,0.0584677,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329513,0,0.0173583,0.0344015,0,0,0.0118469,0,0,0.0409482,0,0.0280803,0.0190746,0.0683489,0.0419089,0.0844238,0.0922552,0.059361,0.061762,0.0333731,0.0377431,0.0142774,0.0380728,0.0123172,0.0205633,0.0606022,0,0.0325281,0.0610758,0.0458653,0,0,0.01292,0,0,0.0333853,0.0689192,0.0233815,0.0238645,0.0233617,0.0523486,0.0443119,0.0319059,0.0557228,0.0642758,0.0399874,0.0303791,0.016643,0.0115312,0.0345338,0,0.0422266,0.0078627,0.0200743,0.0521774,0.0451326,0,0,0,0,0.0338483,0.0601746
