Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LTIB
All Timesteps RMSE,0.0335586,0.054113,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327449,0,0.0213924,0.0540735,0,0,0.011281,0,0,0.0410178,0.0551406,0.0316477,0.0284454,0.0250887,0.0567179,0.0434085,0.0536426,0.0759003,0.0559254,0.0196856,0.0606572,0.0326635,0.0341176,0.0235718,0.0388695,0.0119203,0.0215704,0.019163,0,0.025342,0.0482049,0.0431764,0,0,0.0150878,0,0,0.032463,0.0769512,0.0216745,0.0166685,0.0283208,0.0528913,0.0404005,0.0321211,0.0587257,0.0606884,0.0382494,0.0265996,0.0272036,0.0143359,0.033964,0.035102,0.047476,0.0122478,0.0158237,0.0470977,0.0525547,0,0,0,0.0567973
0,0.0298919,0.0572568,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323065,0,0.0234672,0.0591014,0,0,0.00866303,0,0,0.0434762,0.0553649,0.0307225,0.0315655,0.0279997,0.0536732,0.0404469,0.0422501,0.067925,0.0543154,0.0199766,0.0704524,0.0418727,0.042579,0.0223778,0.0389452,0.0101531,0.0189343,0.0166193,0,0.0246087,0.0451007,0.0447051,0,0,0.00904355,0,0,0.0356928,0.0755805,0.014619,0.0160318,0.02716,0.0517201,0.0381296,0.0315637,0.0574606,0.0623084,0.0399308,0.0262258,0.0282651,0.0144505,0.0352773,0.029678,0.0452981,0.00778044,0.017624,0.0513365,0.0466022,0,0,0,0
1,0.030093,0.0572236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323215,0,0.0235876,0.0590278,0,0,0.00736406,0,0,0.0437513,0.0553608,0.0308708,0.0315633,0.0279108,0.0538493,0.0399568,0.0422574,0.0679312,0.0542978,0.0193488,0.070386,0.0417773,0.0424782,0.0223345,0.0394633,0.0102035,0.0188999,0.0166475,0,0.0247828,0.0450532,0.0445515,0,0,0.00939803,0,0,0.0352551,0.0753769,0.014749,0.0160417,0.0270399,0.0515612,0.0379902,0.0315574,0.0574369,0.0623339,0.0399066,0.0261852,0.0284296,0.0145619,0.0358168,0.0296824,0.0453059,0.00773587,0.0180514,0.0512019,0.0466097,0,0,0,0
2,0.0300598,0.0571977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324334,0,0.0235348,0.0589763,0,0,0.00743601,0,0,0.0436776,0.0554223,0.0306598,0.0314991,0.0279652,0.0538472,0.0399654,0.0422267,0.0678967,0.0542468,0.0184146,0.0704448,0.041851,0.042531,0.0221492,0.0393313,0.0103022,0.0188591,0.0165291,0,0.0248543,0.0451276,0.044569,0,0,0.0095222,0,0,0.0351947,0.0753313,0.0147558,0.0161336,0.0269169,0.0515652,0.03795,0.0315659,0.0574378,0.0623273,0.0398918,0.0262143,0.0284499,0.0146135,0.0359562,0.0298386,0.0452324,0.00780948,0.0179752,0.0510853,0.0465985,0,0,0,0
3,0.0297979,0.0573431,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336591,0,0.0229618,0.0584198,0,0,0.00768148,0,0,0.0436457,0.0558929,0.0285153,0.0311843,0.0284167,0.0537387,0.0400835,0.0426866,0.0677063,0.0537211,0,0.07057,0.0421225,0.0428604,0.0195592,0.0389502,0.0103818,0.0187773,0.0164555,0,0.0244639,0.0459492,0.0446708,0,0,0.00925905,0,0,0.0354669,0.0748426,0.0148119,0.0165097,0.0265121,0.0514027,0.0376955,0.0315167,0.0577427,0.0623912,0.0396293,0.0262487,0.0286388,0.0149867,0.0359104,0.0300723,0.0452644,0.00767808,0.0174649,0.0511635,0.0464265,0,0,0,0
4,0.0299333,0.0568989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0319126,0,0.0220635,0.0598323,0,0,0.00809347,0,0,0.0429192,0.0548731,0.0290615,0.0337293,0.0267798,0.0546841,0.04033,0.0418038,0.069239,0,0,0.0692622,0.0412077,0.0435993,0.0189946,0.0391446,0.0110392,0.0192477,0.0165317,0,0.0243731,0.0472947,0.0448166,0,0,0.00928731,0,0,0.0350284,0.074993,0.0149538,0.0160449,0.0265285,0.0515968,0.0372157,0.03142,0.0575788,0.0627054,0.0403811,0.0260534,0.0283965,0.014492,0.0359814,0.0297889,0.0457478,0.00819192,0.0170933,0.050423,0.046818,0,0,0,0
5,0.030008,0.057146,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323746,0,0.0235969,0.0591262,0,0,0.00767346,0,0,0.0435223,0.0552901,0.0308544,0.0315508,0.0279354,0.0537174,0.0398714,0.0422807,0.0676639,0.0542856,0.0194884,0.0704071,0.0417115,0.0424376,0.0221871,0.0389587,0.0106941,0.0184451,0.0166,0,0.0248133,0.0450221,0.0445599,0,0,0.0097751,0,0,0.03495,0.0754691,0.014795,0.0159811,0.0270326,0.0514849,0.0379958,0.0315941,0.0574343,0.0623511,0.0399494,0.0261495,0.0285841,0.0145047,0.0359216,0.0297847,0.0451123,0.00818688,0.0173446,0.0508765,0.0465235,0,0,0,0
6,0.0299909,0.0571301,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324102,0,0.0235986,0.0591629,0,0,0.00779353,0,0,0.043475,0.0552783,0.0308648,0.0315551,0.0279009,0.0536563,0.0398344,0.0422812,0.0676492,0.0542941,0.0198163,0.0703137,0.0417274,0.0424128,0.0222017,0.0388579,0.0108892,0.0182844,0.0165217,0,0.0248622,0.0450314,0.0445576,0,0,0.0099174,0,0,0.0348892,0.0754319,0.0148047,0.015885,0.0269807,0.0514398,0.0380405,0.0316194,0.0574189,0.0623342,0.0399467,0.0261613,0.0286465,0.0145233,0.0359164,0.0298639,0.0450583,0.00842105,0.0170904,0.0508353,0.0464846,0,0,0,0
7,0.0299924,0.0571024,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0325005,0,0.0235508,0.0591992,0,0,0.00797707,0,0,0.0433739,0.0552939,0.0307578,0.0315775,0.0279067,0.0536237,0.03976,0.0422842,0.0676566,0.0542898,0.0202807,0.0700901,0.0417326,0.0424187,0.0221095,0.0387401,0.0111652,0.0180492,0.0163952,0,0.024968,0.0450704,0.0445389,0,0,0.0101351,0,0,0.0348265,0.0755023,0.0147879,0.0161705,0.0268979,0.0513828,0.0380503,0.0316212,0.0573895,0.0622814,0.0399125,0.0262229,0.028671,0.0145935,0.0359391,0.0300185,0.0450012,0.00869973,0.0168383,0.0507887,0.0464628,0,0,0,0
8,0.0302991,0.056537,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324864,0,0.0229876,0.0593298,0,0,0.00883764,0,0,0.0422718,0.0551595,0.0289628,0.0316111,0.0279896,0.0516986,0.0397204,0.0436059,0.0678861,0.0534532,0.0202253,0.0701056,0.0419102,0.0425358,0.0205821,0.0383943,0.012596,0.0188921,0.0157218,0,0.0251814,0.0466326,0.0450493,0,0,0.0106911,0,0,0.0345842,0.0746937,0.0149569,0,0.0265242,0.0501484,0.0388054,0.0322531,0.0582401,0.0623232,0.0389705,0.0260763,0.028446,0.0144697,0.0356935,0.0314909,0.0450105,0.00878448,0.0166771,0.0513165,0.0457783,0,0,0,0
9,0.0302062,0.0572264,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366385,0,0.024503,0.062099,0,0,0.00838978,0,0,0.0435431,0.0531682,0.0376432,0.0344853,0.0246673,0.053524,0.0398898,0.0435394,0.0701758,0.0564066,0.0183026,0.0668094,0.0374745,0.0385075,0.0242977,0.0384351,0.0118891,0.0167318,0.0166832,0,0.0247958,0.0460711,0.0443576,0,0,0.0107496,0,0,0.0343779,0.0759791,0.0150599,0.016434,0.0266021,0.050725,0.0377573,0.03207,0.0574024,0.0626288,0.0406925,0.0259869,0.028477,0.0143852,0.0359224,0.0297267,0.0451891,0.00966276,0.0154441,0.0510065,0.0461057,0,0,0,0.062829
10,0.0301051,0.0573091,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0374008,0,0.0237162,0.0613901,0,0,0.00898378,0,0,0.043313,0.0537659,0.0357146,0.034322,0.0250948,0.0536956,0.0402836,0.043579,0.069975,0.0562856,0,0.0670031,0.0378158,0.0389826,0.0223491,0.0382762,0.0125564,0.0163116,0.0165628,0,0.0247345,0.0470577,0.0442712,0,0,0.0110534,0,0,0.0343024,0.0754053,0.0151217,0.0159016,0.0263748,0.0506155,0.0376838,0.031788,0.057565,0.0626705,0.0404413,0.025922,0.0286876,0.0145539,0.03583,0.0298424,0.0451227,0.0103922,0.0147932,0.050967,0.0461323,0,0,0,0.0631012
11,0.0302633,0.0574232,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364653,0,0.0244559,0.0619141,0,0,0.00945321,0,0,0.043293,0.053249,0.0376893,0.034506,0.0247616,0.0536533,0.0400945,0.0434623,0.0699977,0.0563414,0.0169802,0.0669431,0.0375813,0.0385081,0.0246997,0.0382893,0.0129691,0.0156019,0.0168502,0,0.0247275,0.0459715,0.0441318,0,0,0.0116048,0,0,0.0341002,0.0757842,0.0149511,0.0159448,0.0267958,0.0507922,0.0380642,0.0319934,0.0574215,0.0625711,0.0405706,0.0260188,0.0285228,0.0143815,0.0359511,0.0296292,0.0451294,0.0114053,0.0141613,0.0510259,0.0460275,0,0,0,0.0627837
12,0.030293,0.057604,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362611,0,0.0246042,0.0602446,0,0,0.012559,0,0,0.0420448,0.0531653,0.0357887,0.0349228,0.0252142,0.0557375,0.0403303,0.0442863,0.0696963,0.0549697,0.0171735,0.0675168,0.0382876,0.0387937,0.0229461,0.0381879,0.0132385,0.0146325,0.0182032,0,0.0242872,0.0440636,0.0441699,0,0,0.0113697,0,0,0.0338798,0.0762793,0.0138619,0.0158313,0.0286764,0.0518178,0.0377189,0.0313514,0.0573356,0.0618425,0.0397017,0.0264213,0.0285436,0.0142776,0.0364321,0.0281113,0.0458381,0.0139194,0.0125182,0.0503481,0.0462867,0,0,0,0.0632921
13,0.0301682,0.0574597,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366097,0,0.0244624,0.0614962,0,0,0.00995982,0,0,0.043284,0.0531102,0.0377464,0.0347964,0.0244068,0.0522751,0.0399914,0.0436841,0.0701589,0.0563858,0.0177534,0.0667895,0.0373922,0.0383588,0.0245067,0.0378531,0.0130874,0.0155084,0.0164099,0,0.0248842,0.0475866,0.0443457,0,0,0.0116552,0,0,0.0342623,0.0752998,0.0152444,0,0.0268646,0.0505341,0.0384494,0.0323003,0.0580102,0.0625198,0.0397393,0.025947,0.0284983,0.0143369,0.0356862,0.0304502,0.0448072,0.0112936,0.014441,0.0515673,0.045325,0,0,0,0.0626213
14,0.0303901,0.0569646,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366244,0,0.0244215,0.0615646,0,0,0.0067178,0,0,0.0442003,0.0531605,0.0377887,0.0347637,0.0244733,0.0522383,0.0385983,0.0436583,0.0701992,0.0565146,0.0168444,0.0667274,0.0373206,0.0383476,0.024423,0.0381944,0.0103901,0.018207,0.0160926,0,0.0249329,0.0478429,0.0444653,0,0,0.00931682,0,0,0.0354038,0.0752768,0.0154898,0,0.0265029,0.0505323,0.0376156,0.0324074,0.0581021,0.0626601,0.039825,0.025878,0.0284984,0.01435,0.0356022,0.0308208,0.0448804,0.00697441,0.0186933,0.0512335,0.0455039,0,0,0,0.0625926
15,0.0303466,0.0568271,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366911,0,0.0244235,0.0620603,0,0,0.00679268,0,0,0.0441509,0.0532727,0.0374537,0.0346144,0.0245091,0.0535736,0.0388451,0.0435323,0.0700827,0.056458,0.0165813,0.0668695,0.0376025,0.0385228,0.0240278,0.0382475,0.0108774,0.0180844,0.0164336,0,0.0248474,0.0462429,0.0442968,0,0,0.00914436,0,0,0.0353305,0.0759467,0.0151534,0.0164259,0.0264075,0.0506811,0.0372638,0.0320761,0.0574846,0.0626713,0.0406251,0.0260422,0.0285694,0.0144582,0.0359265,0.030099,0.0452083,0.0071177,0.0185793,0.0506089,0.0461481,0,0,0,0.0627294
16,0.0303234,0.056848,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0368713,0,0.0228896,0.0634969,0,0,0.00681193,0,0,0.0439192,0.0525201,0.0367176,0.0373589,0.0226004,0.0544215,0.039068,0.0439071,0.0720633,0,0,0.0650913,0.0366466,0.0391231,0.0211844,0.0385328,0.0120494,0.0179004,0.0167588,0,0.0243322,0.0485746,0.044402,0,0,0.00849624,0,0,0.0354933,0.075354,0.0155113,0.0166747,0.025564,0.0504456,0.0360272,0.0321754,0.0578821,0.0631068,0.04095,0.0257812,0.0289286,0.0148081,0.0357236,0.0297037,0.0457566,0.00736489,0.0179596,0.0504596,0.0460378,0,0,0,0.0617993
17,0.0300458,0.0570202,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0368818,0,0.0229191,0.0634698,0,0,0.00754368,0,0,0.0437659,0.0524782,0.0367564,0.037368,0.0225703,0.0544388,0.039547,0.0439328,0.0721008,0,0,0.0651103,0.0364096,0.0390856,0.0211689,0.0382141,0.0117075,0.017801,0.0167574,0,0.024336,0.0485127,0.0445209,0,0,0.00969066,0,0,0.0355508,0.0753052,0.0155578,0.0166763,0.025554,0.0504914,0.035876,0.0321983,0.0578952,0.0631247,0.0409617,0.0257686,0.0288635,0.0147852,0.0357129,0.0297097,0.0465452,0.00902657,0.0164042,0.0505405,0.0458449,0,0,0,0.0621686
18,0.0308324,0.0567481,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364866,0,0.0244009,0.0620224,0,0,0.00499716,0,0,0.0381043,0.053181,0.0383083,0.0347028,0.0244529,0.0535548,0.0360952,0.0436493,0.0700655,0.0563299,0.0182167,0.0669364,0.0352859,0.0382406,0.0254441,0.038062,0,0.0234814,0.0165133,0,0.0248147,0.046103,0.0438792,0,0,0.00993488,0,0,0.0352278,0.0758197,0.0153586,0.016547,0.0262892,0.0506774,0.0375174,0.0322121,0.05764,0.0627626,0.0405913,0.0259071,0.0284826,0.0144852,0.0357323,0.0300744,0.044917,0.00827686,0.0173214,0.0505992,0.0460408,0,0,0,0.0638511
19,0.03005,0.0568646,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0332599,0,0.0232972,0.0626091,0,0,0.00491101,0,0,0.0446872,0.0528414,0.0355173,0.0354726,0.0243352,0.0538341,0.0383285,0.0430894,0.0707037,0,0.0186294,0.0671292,0,0.040553,0.0231325,0.0385762,0.0129287,0.018011,0.0168553,0,0.0242349,0.0465309,0.0446266,0,0,0.0088961,0,0,0.0355771,0.0756735,0.0153751,0.0168624,0.0258977,0.0509195,0.0367897,0.0324851,0.0578384,0.0628689,0.0407467,0.0259552,0.0286731,0.0149123,0.0355494,0.0297684,0.0453681,0.00703895,0.0176522,0.0507071,0.0456789,0,0,0,0.0649057
20,0.0309237,0.0566172,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371528,0,0.0244563,0.0623813,0,0,0.00424536,0,0,0.0391957,0.052813,0.0381766,0.0352614,0.0240345,0.0539346,0.0360256,0.0440061,0.0705761,0.0566722,0.0172184,0.0664578,0.0469778,0.0380801,0.024145,0.038468,0,0.0244504,0.0164677,0,0.0247469,0.0462238,0.043981,0,0,0.00946547,0,0,0.035277,0.0757649,0.0153135,0.0163611,0.0263561,0.050859,0.0372682,0.0322497,0.0576923,0.0627638,0.0405881,0.0258488,0.0283808,0.0144195,0.0351474,0.0300434,0.0450523,0.00717211,0.0180633,0.0508413,0.0460509,0,0,0,0.0625289
21,0.0297508,0.0566075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292198,0,0.0236932,0.0575617,0,0,0.00613577,0,0,0.0439672,0.0570256,0.0263406,0.0291945,0.0299213,0.0528779,0.0383825,0.0415225,0.0657292,0.054794,0.0202166,0.0729788,0,0.0453572,0.021784,0.0379927,0.0102254,0.0198437,0.0144731,0,0.0260953,0.0449779,0.0446908,0,0,0.00944278,0,0,0.0355316,0.0751772,0.01487,0.0155747,0.0251178,0.0515317,0.0384842,0.0321433,0.0574559,0.0620102,0.0390062,0.0267842,0.0290603,0.0157866,0.0356778,0.032709,0.0447262,0.00695803,0.0186211,0.0506795,0.0460078,0,0,0,0
22,0.0304789,0.0568243,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036091,0,0.0225621,0.0631589,0,0,0.00560886,0,0,0.0443392,0.0523611,0.0356438,0.0366425,0.0233797,0.0540909,0.0388598,0.0441375,0.0715305,0.0602853,0.0179482,0.06598,0.12327,0.0394269,0.0217436,0.0385836,0.00997622,0.0193444,0.0166604,0,0.0245031,0.0474432,0.0442364,0,0,0.00901359,0,0,0.0351785,0.0757071,0.0154585,0.0158457,0.0261351,0.0506472,0.0366809,0.0322607,0.0578869,0.0629432,0.04066,0.025752,0.028491,0.0144888,0.0354571,0.0298758,0.0455115,0.00735633,0.0177218,0.0505359,0.0457434,0,0,0,0
23,0.0298206,0.056276,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301501,0,0.0221493,0.0573582,0,0,0.00604285,0,0,0.0437288,0.0568915,0.0236694,0.0303588,0.029595,0.0535231,0.0390454,0.0415762,0.0664718,0.0439383,0,0.0724948,0,0.0460671,0.0187141,0.0380962,0.0103231,0.0206645,0.0153723,0,0.0249847,0.0461018,0.0445408,0,0,0.00959277,0,0,0.0353848,0.075035,0.0148792,0.0148908,0.0268015,0.0515936,0.0383446,0.0311522,0.0576398,0.0622794,0.0392695,0.0262,0.0283799,0.0145053,0.0358074,0.0313204,0.0448522,0.00722048,0.0186727,0.0499217,0.0465307,0,0,0,0
24,0.0306805,0.0568873,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401412,0,0.0225343,0.0658204,0,0,0.00517902,0,0,0.0445354,0.0505644,0.0387147,0.0398206,0.0205526,0.0545196,0.0391469,0.0458419,0.074367,0.0454676,0,0.0627833,0.0434714,0.037478,0.0205448,0.0387465,0.00949904,0.0194995,0.0170516,0,0.0241887,0.0490988,0.0440749,0,0,0.00880647,0,0,0.0351312,0.0757637,0.0158297,0.016129,0.0257592,0.0502362,0.0359217,0.0324867,0.0580667,0.0633982,0.0413843,0.0254627,0.0286337,0.0143646,0.0353343,0.0293907,0.0458604,0.00745659,0.0173268,0.0506431,0.0456638,0,0,0,0.0595099
25,0.0306811,0.0568701,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403585,0,0.022264,0.0663542,0,0,0.00597962,0,0,0.0442962,0.0503423,0.0386775,0.0403408,0.0202567,0.0544187,0.0397145,0.0459545,0.0748454,0.0572578,0,0.0623957,0.0296915,0.0376397,0.0199615,0.0385706,0.0104969,0.0184006,0.0170774,0,0.0242192,0.0495014,0.0440178,0,0,0.00883486,0,0,0.0350197,0.0757554,0.0159089,0.0162237,0.0256831,0.0501486,0.0359329,0.0324923,0.0580763,0.0634895,0.0415358,0.0253962,0.0287289,0.0143509,0.0352984,0.0293266,0.0458376,0.00760423,0.0172003,0.0511333,0.0456785,0,0,0,0.0592394
26,0.0301733,0.0564215,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0326909,0,0.0195646,0.062012,0,0,0.00682645,0,0,0.0435669,0.0534818,0.0271087,0.035722,0.0255467,0.0539643,0.0398834,0.0432639,0.0709137,0.0606529,0,0.0680945,0,0.0442574,0.0163387,0.0382025,0.0113747,0.0189573,0.0161339,0,0.0245557,0.0481921,0.0443706,0,0,0.00910614,0,0,0.0351401,0.0752833,0.0154059,0.0152776,0.0261916,0.0507028,0.0371121,0.0317803,0.0578533,0.0629419,0.04054,0.0257741,0.0285861,0.014363,0.0356126,0.030394,0.0454948,0.00751887,0.017654,0.0509137,0.0461608,0,0,0,0
27,0.0307196,0.0567788,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0404675,0,0.022301,0.0663143,0,0,0.00504739,0,0,0.044541,0.0503813,0.0388401,0.0404281,0.0202742,0.054483,0.0394022,0.0458969,0.0748478,0.0548848,0,0.062345,0.0334439,0.0375641,0.0199381,0.0387895,0.00941244,0.0195878,0.0170255,0,0.0241785,0.0495535,0.0440063,0,0,0.00866084,0,0,0.0351424,0.0756813,0.0159839,0.01627,0.0256492,0.0501682,0.0358327,0.0325088,0.058083,0.0634935,0.0415711,0.0253476,0.0287132,0.0142997,0.0353359,0.0293776,0.0458527,0.00744925,0.0173461,0.0512958,0.0457288,0,0,0,0.0589967
28,0.0303746,0.0567096,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036547,0,0.0204171,0.0637094,0,0,0.00532888,0,0,0.0443488,0.0521729,0.031895,0.0375442,0.0234108,0.0540228,0.039408,0.0446532,0.0725129,0.0560218,0,0.0655773,0.0375982,0.0410635,0.0169354,0.038511,0.00974294,0.0199418,0.0166071,0,0.0242138,0.0489377,0.0442012,0,0,0.00864251,0,0,0.0354605,0.0753782,0.0157309,0.0160544,0.0255255,0.0502747,0.0362884,0.0322854,0.0582056,0.0631876,0.0408267,0.0255735,0.0289433,0.014744,0.035411,0.0299658,0.0456746,0.00726726,0.017543,0.0512582,0.0457459,0,0,0,0
29,0.0307237,0.0567924,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040265,0,0.0223726,0.0663424,0,0,0.00498927,0,0,0.0445619,0.0504289,0.0388076,0.0401057,0.0205806,0.0542939,0.0394132,0.045915,0.0747047,0.0531811,0,0.0624394,0.0332744,0.0375686,0.0200731,0.0387827,0.00946828,0.0196021,0.0163011,0,0.0247419,0.0496267,0.0440254,0,0,0.00870121,0,0,0.035213,0.0758942,0.0159594,0.0162513,0.0247642,0.0500628,0.0357241,0.0328428,0.0581168,0.0634349,0.0415168,0.0255265,0.0289073,0.0147236,0.0353442,0.0303516,0.04597,0.00751629,0.0174033,0.0511476,0.0455988,0,0,0,0.0595799
30,0.0306158,0.0565491,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0372616,0,0.0232443,0.0634711,0,0,0.00481727,0,0,0.0370643,0.0523781,0.0370143,0.0373006,0.0228622,0.0541276,0.036832,0.0436912,0.0722408,0,0,0.0650993,0.0357768,0.0390592,0.0206743,0.0379271,0,0.0242754,0.016275,0,0.0241648,0.0488642,0.043986,0,0,0.00931239,0,0,0.0352168,0.0755907,0.0157192,0.0158139,0.025628,0.0506894,0.0367464,0.032272,0.0581769,0.0631916,0.0410078,0.0256222,0.0286319,0.0145011,0.0355855,0.0303506,0.0455937,0.00796424,0.0166697,0.0504056,0.0460168,0,0,0,0.0633013
31,0.0302472,0.0566363,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0372031,0,0.0230893,0.0634794,0,0,0.00432221,0,0,0.0445463,0.0524059,0.0369854,0.037253,0.0228324,0.0540759,0.0393584,0.0438864,0.072154,0,0,0.0651594,0.0358406,0.0389672,0.0210097,0.0387889,0.0135788,0.0182193,0.0165004,0,0.0242663,0.0488739,0.0442803,0,0,0.0085658,0,0,0.0353196,0.0754206,0.0158066,0.0159977,0.0255651,0.0504205,0.0360674,0.0322672,0.0582743,0.0632308,0.0408404,0.0255062,0.028879,0.0145857,0.035395,0.0300616,0.0457607,0.00735665,0.0176054,0.0503698,0.0457899,0,0,0,0.0638137
32,0.0304427,0.0568037,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363062,0,0.0240409,0.0638441,0,0,0.0056648,0,0,0.0439997,0.052452,0.0390337,0.0366132,0.0226041,0.0537463,0.0392385,0.0434351,0.0719909,0,0.0195839,0.065248,0.0357282,0.0386129,0.023301,0.0386678,0.0113982,0.0183772,0.0146158,0,0.0267821,0.0487915,0.0442294,0,0,0.00861787,0,0,0.0351467,0.0757218,0.0161356,0.0158058,0.0226652,0.0505416,0.0362628,0.0334295,0.0577889,0.0630636,0.0407244,0.0263784,0.0299793,0.0162415,0.0354202,0.0326125,0.0459772,0.007498,0.0176556,0.050535,0.0455618,0,0,0,0.0636407
33,0.0310134,0.0565672,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327507,0,0.021978,0.0640392,0,0,0.00499505,0,0,0.0367515,0.0509281,0.0362419,0,0.0223434,0.0557374,0.0367967,0.0441949,0.0730108,0,0.0191608,0.0653236,0,0.0404993,0.022693,0.0384105,0,0.023726,0.0164557,0,0.0249588,0.0467986,0.043813,0,0,0.00982679,0,0,0.0344804,0.0770742,0.0145177,0.0164141,0.0275059,0.0507255,0.0361319,0.0318888,0.0571869,0.0620429,0.0401761,0.0263302,0.0284566,0.0142983,0.0361946,0.0297825,0.0463465,0.00927633,0.0151615,0.0498715,0.0461926,0,0,0,0.0643656
34,0.029676,0.0565812,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0274973,0,0.0227925,0.0590131,0,0,0.00822808,0,0,0.0428164,0.0555906,0.0264912,0.0318193,0.0285297,0.0536247,0.0402651,0.0407163,0.0675791,0,0.0207198,0.0717567,0,0.0459036,0.0213185,0.0381136,0.0131705,0.0178097,0.0157346,0,0.024838,0.045807,0.0443855,0,0,0.0105163,0,0,0.0346082,0.0757104,0.0149573,0.0150452,0.0269513,0.0515517,0.0383532,0.0315276,0.0576901,0.0623391,0.0396874,0.0260299,0.0285604,0.0143306,0.0358598,0.0308232,0.0454345,0.00966275,0.0158006,0.0501284,0.0462232,0,0,0,0
35,0.0302235,0.0563352,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0274992,0,0.021116,0.060612,0,0,0.00599072,0,0,0.043334,0.0537641,0.0275991,0,0.0263525,0.0555206,0.0394347,0.0418934,0.0698404,0,0.0192983,0.0696786,0,0.0453425,0.0213387,0.0388648,0.0108664,0.0202028,0.0158132,0,0.0252986,0.0462829,0.0442768,0,0,0.00872148,0,0,0.0350169,0.076604,0.0142355,0.015559,0.0277697,0.0514612,0.0365903,0.0311984,0.0570974,0.0616714,0.0392911,0.0265312,0.0286038,0.0144892,0.0362848,0.0304168,0.0463061,0.00782063,0.0174608,0.0495181,0.0464898,0,0,0,0
36,0.0296836,0.0572853,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320379,0,0.0227344,0.0611026,0,0,0.00967459,0,0,0.0428405,0.0540626,0.0312195,0.0340572,0.0259935,0.0537626,0.0408225,0.0421401,0.0694486,0,0.0179689,0.0687848,0.0404627,0.0423137,0.0207107,0.0380592,0.0141285,0.0159776,0.0163899,0,0.0243923,0.0467171,0.0441552,0,0,0.010979,0,0,0.0344923,0.0758802,0.0150419,0.015888,0.0264298,0.0511919,0.0379676,0.0319276,0.057922,0.0625007,0.03995,0.0259533,0.0288094,0.0148126,0.0357545,0.0301959,0.045728,0.0114314,0.0135373,0.050692,0.0456223,0,0,0,0
