Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LTIB
836,0.0319502,0.0534884,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304951,0,0.0222447,0.0580381,0,0,0.00776807,0,0,0.0406285,0.0562675,0.033745,0,0.0301561,0.0555562,0.0413873,0.0513132,0.0708268,0.0527214,0.0166697,0.0584563,0.0302729,0.0259035,0.0224106,0.0405347,0.0117555,0.0210857,0.0114266,0,0.0263133,0.0462074,0.0434423,0,0,0.00835456,0,0,0.0327469,0.0784958,0.0168987,0.016093,0.0270064,0.0523952,0.0359787,0.0325052,0.0568653,0.0600934,0.0393135,0.0273353,0.0273976,0.0144469,0.0342477,0.0348557,0.0497462,0.00945683,0.0153799,0.0465956,0.0513266,0,0,0,0.0533074
837,0.0321002,0.0535577,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301592,0,0.0222736,0.0580084,0,0,0.007759,0,0,0.0406204,0.05625,0.0334538,0,0.0301411,0.0555379,0.0413516,0.0513129,0.0708411,0.0526996,0.0166581,0.0584275,0.0302814,0.0260207,0.0221932,0.0405561,0.0117587,0.0210905,0.0115399,0,0.0263109,0.0462251,0.0434456,0,0,0.00833268,0,0,0.0327241,0.0785199,0.0169489,0.0159837,0.0270082,0.0523735,0.0359505,0.0325072,0.0568385,0.0601605,0.0393529,0.0274261,0.027379,0.0144534,0.0342899,0.0346952,0.0497528,0.00945251,0.0153715,0.0466592,0.0512864,0,0,0,0.0533247
838,0.0323372,0.0536347,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298282,0,0.0223078,0.057957,0,0,0.00777689,0,0,0.0406166,0.0562295,0.0332041,0,0.0301293,0.0554923,0.0412681,0.0513212,0.0708727,0.0526594,0.0166602,0.0583915,0.0303054,0.0261318,0.0220397,0.0405618,0.0117563,0.0210939,0.0116287,0,0.0263193,0.0462865,0.0434419,0,0,0.00830898,0,0,0.0327017,0.0785184,0.0170283,0.0159826,0.0270317,0.0522911,0.0359073,0.0325125,0.0568432,0.0602177,0.0394921,0.0274869,0.0273477,0.0144209,0.03431,0.0345923,0.0497656,0.00944814,0.0153663,0.0467504,0.0512148,0,0,0,0.0533923
839,0.032418,0.0536655,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295272,0,0.0223521,0.057915,0,0,0.00779179,0,0,0.0406324,0.056194,0.0329542,0,0.0301105,0.0554767,0.0412384,0.0513571,0.0709206,0.0526252,0.0167068,0.058367,0.0303429,0.0262571,0.0219036,0.0405736,0.0117586,0.0211048,0.0116905,0,0.0263323,0.0463125,0.043441,0,0,0.00829062,0,0,0.0327202,0.0785114,0.0170495,0.0161049,0.027033,0.05224,0.0358741,0.0325657,0.056839,0.0602196,0.039456,0.0275217,0.0273202,0.0144149,0.0343523,0.0345026,0.0498049,0.00943645,0.0153645,0.0467913,0.0512116,0,0,0,0.0534598
840,0.0324339,0.0536642,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291836,0,0.0224002,0.0578582,0,0,0.00778862,0,0,0.0406546,0.05618,0.0326984,0,0.0300736,0.0554628,0.0412512,0.051389,0.0709474,0.0526041,0.0167424,0.0583225,0.0303295,0.026373,0.021736,0.0405826,0.0117484,0.0211326,0.0117198,0,0.0263673,0.0463309,0.0434303,0,0,0.00828197,0,0,0.0327483,0.0785064,0.0170353,0.0160817,0.0270411,0.0522451,0.0358272,0.0326035,0.0568259,0.0601936,0.039472,0.0275417,0.0272843,0.0144253,0.0344138,0.0344128,0.0497946,0.00940001,0.0154014,0.0468101,0.0512614,0,0,0,0.0534686
841,0.0324469,0.0536896,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288383,0,0.0224486,0.057835,0,0,0.00777217,0,0,0.0406549,0.0561686,0.0324443,0,0.0300311,0.0554538,0.0412572,0.051409,0.0709808,0.0525695,0.0167492,0.058284,0.0302264,0.0264903,0.0215929,0.0406022,0.0117271,0.0211606,0.0117809,0,0.026387,0.0463473,0.0434075,0,0,0.0082787,0,0,0.0327089,0.0785006,0.0170259,0.0159287,0.0270573,0.0522814,0.0358023,0.0325491,0.0568138,0.0601741,0.0394572,0.0275455,0.0272605,0.0144144,0.0344675,0.0342969,0.0497455,0.00938838,0.0154162,0.0468532,0.0513044,0,0,0,0.0534814
842,0.0324388,0.0537025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285428,0,0.0225023,0.0578447,0,0,0.00769525,0,0,0.0406549,0.0561692,0.0322308,0,0.0300095,0.0554906,0.0413743,0.0514073,0.0710133,0.0525504,0.0167426,0.0582511,0.0301979,0.0265911,0.0214424,0.0406538,0.0117072,0.0212184,0.0118807,0,0.0263583,0.0463345,0.0433877,0,0,0.00828335,0,0,0.0326374,0.0785108,0.0170158,0.015731,0.0270516,0.0524276,0.0357701,0.0325,0.0567813,0.0601788,0.0393949,0.0275683,0.0272711,0.0144353,0.0345175,0.0341473,0.0497349,0.00943514,0.015352,0.0468936,0.0513451,0,0,0,0.0534759
843,0.0324313,0.0536807,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028297,0,0.0225684,0.0578652,0,0,0.00761732,0,0,0.0406919,0.0561707,0.0320454,0,0.0299846,0.0555564,0.0415594,0.0513967,0.0710326,0.0525596,0.0167511,0.0582074,0.0302423,0.0267002,0.0212871,0.0407015,0.0116995,0.0212903,0.012005,0,0.0263408,0.0463113,0.0433673,0,0,0.00825768,0,0,0.032644,0.078535,0.0169589,0.0154023,0.0270459,0.0527104,0.0357399,0.0324355,0.056736,0.0601686,0.0393353,0.0275879,0.027277,0.014461,0.0345818,0.0339271,0.0497673,0.00943863,0.0153657,0.0468947,0.0513855,0,0,0,0.0535141
844,0.0324365,0.05366,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280308,0,0.0226484,0.0578616,0,0,0.00758142,0,0,0.0407132,0.0561367,0.0318616,0,0.0299367,0.0555648,0.0416854,0.0514176,0.0710491,0.0525986,0.0167326,0.0581723,0.0302958,0.0268392,0.0211611,0.0407287,0.0117179,0.0213132,0.0121109,0,0.0263856,0.0463138,0.0433665,0,0,0.00824502,0,0,0.0327112,0.078552,0.0169132,0.0152722,0.0270584,0.052813,0.0357177,0.032384,0.0567109,0.0601283,0.0392981,0.0276229,0.0272736,0.0145041,0.0346954,0.0338387,0.0497695,0.00939129,0.0154632,0.0469063,0.0513927,0,0,0,0.053627
845,0.0324004,0.0536749,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278629,0,0.0226997,0.0578472,0,0,0.00758658,0,0,0.0406909,0.0561005,0.0317915,0,0.0297692,0.0554796,0.0416337,0.0514638,0.0710677,0.0526187,0.0166935,0.0581893,0.0303477,0.0269077,0.0211856,0.0407533,0.0117454,0.0212759,0.0121548,0,0.0264414,0.0463674,0.0433591,0,0,0.00832172,0,0,0.0326748,0.0785521,0.0168891,0.0154332,0.0270716,0.0526353,0.0357346,0.0323617,0.0567092,0.0601337,0.0390845,0.0276623,0.0272665,0.0145179,0.0347996,0.0338748,0.0497764,0.00949405,0.0152945,0.0469483,0.0513495,0,0,0,0.0537395
846,0.0323256,0.0536639,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027791,0,0.0226979,0.0578279,0,0,0.00759056,0,0,0.0406927,0.0560575,0.0317958,0,0.0295649,0.0553892,0.0415564,0.0515067,0.0710779,0.052589,0.0166819,0.0582239,0.0304104,0.0268488,0.0212895,0.0407646,0.0117445,0.0212734,0.0121781,0,0.026417,0.0464218,0.0433537,0,0,0.00834083,0,0,0.0327226,0.0785446,0.0169251,0.0156559,0.0270857,0.0523817,0.0357919,0.032381,0.056727,0.0601541,0.0387201,0.0276775,0.0272402,0.0144809,0.0348323,0.0338601,0.0497653,0.00949699,0.0152702,0.0469709,0.0513578,0,0,0,0.0536989
847,0.0324068,0.0536551,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277448,0,0.0227022,0.0579075,0,0,0.00757057,0,0,0.0407571,0.0560051,0.0317368,0,0.0297086,0.0554919,0.0416332,0.051507,0.0710729,0.0526046,0.0167171,0.0582431,0.030455,0.0268843,0.0212102,0.040764,0.0117556,0.0213267,0.0122615,0,0.0263732,0.0463723,0.0433028,0,0,0.00833194,0,0,0.0327545,0.0785923,0.0169094,0.015393,0.027079,0.0525969,0.0357451,0.0323258,0.0566916,0.0601588,0.0386235,0.0277019,0.0272543,0.0144755,0.0349124,0.0336705,0.0497607,0.00947383,0.0152933,0.0469476,0.0514442,0,0,0,0.0536996
848,0.0322793,0.0536145,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278135,0,0.0226857,0.0579884,0,0,0.0075386,0,0,0.0408062,0.0559618,0.031853,0,0.0297996,0.0555442,0.0417883,0.0514918,0.0710446,0.0525831,0.0167686,0.0582805,0.0304599,0.0269116,0.0211932,0.040788,0.0117696,0.021367,0.0123621,0,0.0263049,0.0463212,0.0432853,0,0,0.00834928,0,0,0.0327675,0.0786174,0.0169562,0.0152654,0.0270648,0.0527786,0.0357114,0.0323583,0.0566954,0.0601702,0.0386641,0.0277204,0.0272609,0.0144951,0.0349844,0.0334898,0.0497693,0.00944335,0.0153139,0.0468889,0.0515277,0,0,0,0.053775
849,0.0321885,0.0535914,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280552,0,0.0226421,0.0580253,0,0,0.00748528,0,0,0.0408386,0.0559684,0.0321499,0,0.0298026,0.0554095,0.0419568,0.0514863,0.070993,0.0525753,0.0168096,0.0583496,0.0304517,0.0268502,0.0213156,0.0408207,0.0117637,0.0214097,0.0124023,0,0.026309,0.0463159,0.0432923,0,0,0.00834024,0,0,0.0327698,0.0786257,0.0170071,0.0153922,0.0270321,0.0528979,0.0356756,0.0324012,0.0567137,0.0601683,0.0387156,0.0277646,0.0272597,0.0145003,0.0350083,0.0334723,0.0497875,0.00944359,0.0153096,0.0468462,0.0515756,0,0,0,0.0538018
850,0.0321831,0.0536081,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0284491,0,0.0225741,0.0580648,0,0,0.00744953,0,0,0.0408528,0.0559649,0.0325166,0,0.0298115,0.0552699,0.0419842,0.0514668,0.070964,0.0525847,0.0167985,0.0584341,0.0304202,0.0267008,0.0215535,0.0408437,0.0117544,0.0214399,0.0123929,0,0.026354,0.0463466,0.0432965,0,0,0.00832368,0,0,0.0327485,0.0786102,0.0170675,0.015401,0.0270003,0.0529586,0.0356632,0.032412,0.0567276,0.0601744,0.0387376,0.0277947,0.0272267,0.0144469,0.0349654,0.0335976,0.0497922,0.00945813,0.0153034,0.0468695,0.051522,0,0,0,0.0538008
851,0.0322206,0.0536588,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0289328,0,0.0224606,0.0581063,0,0,0.00746351,0,0,0.0408372,0.055935,0.0329066,0,0.0298538,0.0552001,0.0418483,0.0514219,0.0709381,0.0525464,0.0167912,0.0585132,0.0304077,0.0264702,0.021855,0.0408591,0.0117517,0.0214188,0.01231,0,0.0263907,0.0463603,0.0432891,0,0,0.00830386,0,0,0.0327124,0.0785868,0.0171826,0.0154054,0.0269686,0.0526118,0.0356683,0.0324574,0.0567198,0.0602198,0.0386588,0.0277816,0.0271611,0.0144211,0.0349392,0.033834,0.0498093,0.00947703,0.0153049,0.0469348,0.0514634,0,0,0,0.0537079
