Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LTHIP,LTIB,LILC,
22,0.0289291,0.0551905,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393463,0,0.0252612,0.0539656,0,0,0.00650991,0,0,0.0319984,0.0551365,0.0362113,0.028409,0.0604185,0.0212609,0.0390709,0.0707569,0.0594386,0.068231,0.0379364,0.0376639,0.022371,0.0382766,0,0.0177169,0.0214911,0,0.0284581,0.0458253,0.0475834,0,0,0.0121648,0,0,0.0357238,0.0813982,0.0148342,0.0294267,0.0275399,0.0702012,0.0466384,0.0343365,0.0536525,0.0612801,0.0447565,0.0291625,0.0268373,0.0150275,0.0377833,0.019908,0.0426565,0.00626038,0.0200307,0.0460429,0.0510093,0,0,0,0.0241746,0.0656757,0.142951,0
23,0.028977,0.0551028,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0387702,0,0.025249,0.0538124,0,0,0.00646255,0,0,0.0319101,0.0551755,0.0358973,0.0284632,0.0600091,0.0213732,0.0393108,0.0706831,0.0591256,0.0682856,0.0379734,0.0376753,0.0222164,0.0383277,0,0.0178275,0.021403,0,0.0284459,0.0459504,0.0475182,0,0,0.0120261,0,0,0.0355538,0.0812272,0.0149285,0.029725,0.0274739,0.0695621,0.046623,0.0342785,0.053715,0.0613281,0.044701,0.0290993,0.026843,0.014974,0.0377942,0.0199749,0.0426163,0.00610553,0.0201751,0.0460749,0.0508672,0,0,0,0.0232122,0.0651136,0.140515,0
24,0.02898,0.0550308,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383451,0,0.0252237,0.0534297,0,0,0.00652137,0,0,0.0317859,0.0552646,0.0353311,0.0285695,0.0597347,0.0214554,0.0396112,0.0706389,0.0587729,0.0684501,0.0382183,0.0377604,0.0217826,0.0382727,0,0.0179152,0.0211052,0,0.0284953,0.0461873,0.0474823,0,0,0.0120679,0,0,0.0350026,0.080727,0.0150409,0.0293774,0.0274006,0.0690841,0.0464736,0.0341521,0.0537787,0.0613017,0.0444592,0.0290082,0.0267945,0.014985,0.0377864,0.0202763,0.0427053,0.00686456,0.0196577,0.0460929,0.0506856,0,0,0,0.0218631,0.064342,0.138259,0
25,0.0286186,0.0543943,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345498,0,0.0237793,0.0500206,0,0,0.00607752,0,0,0.0309546,0.0580589,0.0253691,0.0323376,0.0597017,0.022117,0.038037,0.0677217,0.0566964,0.0722986,0.043161,0.0430256,0.0164065,0.0377648,0,0.019334,0.0199973,0,0.0285043,0.0465485,0.0479985,0,0,0.012437,0,0,0.0350751,0.0792417,0.01472,0.0288506,0.0272381,0.0694512,0.0473094,0.033217,0.053765,0.0609682,0.0434495,0.0290965,0.0266953,0.0150188,0.0377503,0.0213217,0.0424918,0.0070637,0.0204691,0.0455563,0.0515296,0,0,0,0,0,0.134897,0
26,0.0291048,0.0541265,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390262,0,0.0242642,0.0522455,0,0,0.00638125,0,0,0.0301533,0.0553535,0.029975,0.0292691,0.0587238,0.0222608,0.0411281,0.0705632,0.0572766,0.0686987,0.0391066,0.0387787,0.0162232,0.0379899,0,0.0201103,0.0201063,0,0.0284615,0.0472182,0.04777,0,0,0.0117687,0,0,0.0351599,0.0788692,0.0149849,0.0286602,0.0269122,0.0676295,0.0466237,0.0338114,0.0541064,0.0612309,0.043653,0.0290092,0.0266857,0.0150062,0.0369753,0.0214648,0.0431443,0.00672823,0.0201284,0.0458347,0.0506527,0,0,0,0,0.0654317,0.13746,0
27,0.028694,0.0544886,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371348,0,0.0234691,0.0548912,0,0,0.00649378,0,0,0.0308819,0.0555248,0.0328676,0.0272544,0.0606226,0.0222136,0.0394768,0.0723617,0,0.0669649,0.0374007,0.0388359,0.0179733,0.0381429,0,0.0190474,0.0206791,0,0.0278597,0.0487537,0.0478164,0,0,0.0104478,0,0,0.0317782,0.0792354,0.0150332,0.0279677,0.0269421,0.0684287,0.0449642,0.0339535,0.0540224,0.0618269,0.0448837,0.0289332,0.0264028,0.0146725,0.036832,0.0206193,0.0434617,0,0.0235108,0.045573,0.0507157,0,0,0,0,0.0635975,0.135934,0
28,0.0290916,0.0548958,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037421,0,0.0252317,0.0531421,0,0,0.00639271,0,0,0.0317499,0.0554732,0.0344669,0.0285388,0.0588004,0.0217738,0.0400402,0.0706595,0.0584415,0.068261,0.0382157,0.037427,0.0216596,0.0380853,0,0.0181105,0.0205682,0,0.0284771,0.046783,0.047226,0,0,0.0113646,0,0,0.036081,0.0797015,0.0150731,0.0272876,0.0272276,0.0677448,0.0469736,0.0340483,0.0539129,0.061324,0.0441122,0.0290269,0.0266219,0.0149,0.0367504,0.0207722,0.0428774,0.00935941,0.0194259,0.0463953,0.0502847,0,0,0,0.0207786,0.063395,0.135201,0
29,0.0289193,0.0549731,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370666,0,0.0252859,0.0528355,0,0,0.00650483,0,0,0.0316633,0.0554801,0.0342625,0.0284679,0.0587857,0.0220055,0.0402871,0.0706087,0.0582355,0.0682686,0.0382283,0.0373227,0.0217096,0.0381254,0,0.0180552,0.0206386,0,0.0284343,0.0468824,0.0472922,0,0,0.0116737,0,0,0.0354855,0.0798884,0.0148523,0.0259188,0.0273761,0.06759,0.0468667,0.0339803,0.0539777,0.0612527,0.0438626,0.0290325,0.0265857,0.014881,0.0368625,0.0206647,0.0428853,0.00664668,0.0202352,0.0464245,0.0500816,0,0,0,0.0217777,0.0633429,0.134271,0
30,0.0286996,0.0548508,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0332076,0,0.0247037,0.0501057,0,0,0.00624737,0,0,0.0315091,0.0573505,0.0277618,0.0315032,0.0583309,0.0221513,0.0395046,0.0681739,0.0560097,0.0713534,0.0419637,0.0409266,0.0193925,0.037948,0,0.0186458,0.0203167,0,0.0283905,0.046197,0.0474295,0,0,0.0119665,0,0,0.0358632,0.0796709,0.0146911,0.0278663,0.0270958,0.0675707,0.0475055,0.0335451,0.0540479,0.0609032,0.0429638,0.0291973,0.0269905,0.0153814,0.0368634,0.0210188,0.0425677,0.00693168,0.0203079,0.0463261,0.0504259,0,0,0,0.0234692,0,0.132074,0
31,0.0290458,0.0549104,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036709,0,0.0253995,0.0525808,0,0,0.0065202,0,0,0.0317642,0.0556765,0.0338617,0.0286789,0.0588357,0.0220793,0.0406519,0.0704056,0.0579851,0.0683527,0.0382639,0.0371518,0.0214472,0.0382719,0,0.0182059,0.0206732,0,0.0284041,0.0468725,0.047043,0,0,0.0115891,0,0,0.0355976,0.080117,0.0147501,0.02853,0.0272435,0.0671266,0.0467239,0.0337469,0.0539569,0.0613042,0.0437932,0.0290846,0.0266547,0.0149675,0.0368677,0.0206041,0.0430816,0.00695961,0.0201658,0.0462649,0.05013,0,0,0,0.0221341,0.0632546,0.13287,0
