Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LTHIP,LTIB,LILC,
140,0.0292758,0.0543673,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035973,0,0.0171316,0.0571478,0,0,0.00538662,0,0,0.0305456,0.069171,0.0181664,0.0317334,0.0489539,0.0277537,0.0322453,0.0584495,0.0515951,0.0653674,0.0400942,0.0365843,0.00429127,0.0396384,0,0.0218937,0.033059,0,0.0265775,0.0400222,0.0443408,0,0,0.0318939,0,0,0.0243284,0.0816687,0.022253,0.0328565,0.03081,0.073424,0.0437956,0.0320588,0.0569354,0.0601738,0.0413265,0.0295515,0.0265946,0.0134501,0.0371885,0.017276,0.0404639,0.0108457,0.0140672,0.041793,0.0540337,0,0,0,0.0185842,0,0.127765,0
141,0.0293488,0.0545204,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393459,0,0.0162215,0.0596968,0,0,0.00556951,0,0,0.0308001,0.0686523,0.0244567,0.0287878,0.0496086,0.0274684,0.032772,0.0610104,0.0543858,0.0623071,0.0361508,0.0327366,0.00581643,0.0397859,0,0.0214049,0.0340162,0,0.0263209,0.041436,0.0441149,0,0,0.0320069,0,0,0.0241237,0.0819039,0.0220149,0.0329921,0.0308333,0.073224,0.0429455,0.0321263,0.0567566,0.0605127,0.0421835,0.0295896,0.0264502,0.0133855,0.0373389,0.0161456,0.0409127,0.0107535,0.0139847,0.0417075,0.053711,0,0,0,0.0183532,0.0592202,0.12968,0
142,0.0293745,0.0543408,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397715,0,0.0159629,0.0599077,0,0,0.00551936,0,0,0.0308822,0.0692208,0.0245565,0.0286914,0.0496474,0.0274746,0.0322488,0.0609568,0.0545864,0.0622861,0.0360559,0.0326996,0.00625916,0.0397053,0,0.021375,0.034247,0,0.0262734,0.0415118,0.0440935,0,0,0.0321361,0,0,0.0240811,0.081544,0.0220494,0.0330418,0.0308354,0.0731033,0.0427517,0.0322779,0.0567147,0.0606061,0.0423968,0.0296929,0.0263701,0.0135032,0.0374627,0.01592,0.0409508,0.0106702,0.0141674,0.0414934,0.0537839,0,0,0,0.0187134,0.0595256,0.130931,0
143,0.0295808,0.0541727,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398658,0,0.015975,0.0595833,0,0,0.00528086,0,0,0.0310063,0.0692445,0.0241862,0.0289825,0.0486443,0.0282146,0.0326761,0.0607334,0.0544123,0.0622316,0.0359454,0.0326945,0.00644678,0.0396853,0,0.0217705,0.033977,0,0.0262301,0.0422011,0.0437625,0,0,0.0320385,0,0,0.0239619,0.0805892,0.0222483,0.0316708,0.0307427,0.0711919,0.0416376,0.0321797,0.057168,0.0607235,0.0421844,0.0297018,0.0265083,0.0136171,0.0374688,0.0162615,0.041472,0.0106547,0.0141346,0.0417278,0.0535963,0,0,0,0.0187075,0.0591326,0.123046,0
144,0.031526,0.0539099,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0404698,0,0.0183785,0.0660843,0,0,0.00497296,0,0,0.0311012,0.0616198,0.0283565,0.0307257,0.0445095,0.0359381,0.0435309,0.0649903,0.05309,0.0588659,0.032306,0.0276803,0.00562832,0.0395879,0,0.0247521,0.0326976,0,0.0274381,0.0437525,0.0414613,0,0,0.0303346,0,0,0.0226395,0.078572,0.0222083,0.019283,0.0310585,0.0538113,0.0321298,0.0306596,0.0576833,0.0597878,0.0391931,0.0298859,0.0275221,0.0141977,0.037364,0.0174127,0.0469279,0.0105816,0.0131828,0.0437275,0.0518978,0,0,0,0.0147533,0.0541991,0,0
145,0.0312635,0.0542141,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0410488,0,0.0185819,0.0657849,0,0,0.00894686,0,0,0.0410387,0.0622153,0.0279612,0.0307756,0.0445249,0.0423442,0.0432984,0.0649366,0.0531778,0.0589311,0.0323218,0.0278099,0.00643031,0.0386637,0.0118881,0.0211294,0.0326381,0,0.0274638,0.0441286,0.041593,0,0,0.0300434,0,0,0.022621,0.078174,0.0215985,0.0188516,0.0309542,0.0527761,0.0321373,0.0306823,0.0580362,0.0599959,0.0390492,0.0298002,0.0276105,0.0140389,0.0373734,0.0176428,0.0477031,0.0106161,0.0131526,0.0441877,0.0518673,0,0,0,0.0150721,0.0541866,0,0
146,0.0311737,0.0541257,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0429839,0,0.0187241,0.0642645,0,0,0.00905122,0,0,0.0411254,0.0642336,0.0276185,0.0317013,0.043886,0.0420091,0.0418908,0.0633915,0.052347,0.060255,0.0331213,0.0277982,0.00783682,0.0382966,0.0119121,0.0210212,0.0327045,0,0.0275459,0.0441226,0.0417811,0,0,0.0301492,0,0,0.0230513,0.0774729,0.0206767,0.0192418,0.029903,0.0536289,0.0331307,0.0308633,0.0585848,0.0606348,0.0394585,0.0294412,0.0276389,0.0136335,0.0373077,0.0181293,0.0467902,0.0106142,0.0132657,0.0440034,0.0522043,0,0,0,0.0152837,0.0554718,0.0243679,0
147,0.0320242,0.0538424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416477,0,0.0185555,0.0658153,0,0,0.0054902,0,0,0.0310369,0.0634137,0.0267438,0.0305744,0.0448634,0.0367265,0.0432143,0.0646305,0.0534236,0.0588352,0.032055,0.0279981,0.00815533,0.0390521,0,0.0247456,0.0323148,0,0.0279289,0.0437978,0.0415857,0,0,0.0299822,0,0,0.0233414,0.077542,0.0193209,0.0182331,0.0297862,0.0523253,0.0312431,0.0313489,0.0590943,0.0607555,0.0394456,0.0296875,0.0276788,0.0133676,0.037594,0.0187636,0.0471704,0.0102638,0.0134415,0.0435624,0.0524829,0,0,0,0.0150443,0.0545366,0,0
148,0.031555,0.0541007,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425573,0,0.0189812,0.0653568,0,0,0.00912323,0,0,0.0410428,0.0656576,0.0253171,0.031304,0.0439381,0.0422897,0.0423875,0.0635468,0.0527492,0.0597254,0.0328838,0.0285761,0.00956589,0.0380714,0.0120362,0.0208836,0.0308886,0,0.0277498,0.0439966,0.0416157,0,0,0.0298169,0,0,0.0233598,0.0768254,0.0181196,0.0186123,0.0290526,0.0523131,0.0322566,0.0315942,0.0597462,0.0614964,0.0399595,0.0296819,0.0277143,0.0132804,0.0374978,0.019698,0.0470758,0.0105015,0.0136944,0.0439185,0.0524794,0,0,0,0.0151956,0.0555183,0.0180881,0
149,0.0315504,0.0542172,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355793,0,0.0174291,0.0643402,0,0,0.0089395,0,0,0.0415085,0.0679357,0.0244743,0,0.0431308,0.041913,0.0405369,0.0616351,0.0523573,0.0616887,0.0353578,0.0309538,0.00402852,0.0377952,0.0114336,0.0204029,0.0284087,0,0.0270139,0.0445063,0.0415826,0,0,0.0293942,0,0,0.0238433,0.0761195,0.0170488,0.0196391,0.0290998,0.0525016,0.0324661,0.032014,0.0602499,0.0620639,0.0402668,0.0296764,0.0274027,0.0134003,0.0374241,0.0208931,0.0465513,0.0104272,0.013805,0.044104,0.0524011,0,0,0,0.0157165,0.0576796,0.0173123,0
150,0.0316354,0.0536322,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371576,0,0.0214721,0.0560961,0,0,0.00901577,0,0,0.0411472,0,0.0404051,0,0.0441113,0.0418915,0.0347504,0.0559327,0.0522724,0.0649379,0.0357215,0.026426,0.0176215,0.0375118,0.0115929,0.0214183,0.0236616,0,0.0275854,0.0487354,0.0415872,0,0,0.0298485,0,0,0.0239374,0.0737814,0.0161227,0.020415,0.0288837,0.0543175,0.0343516,0.0300479,0.0599771,0.0618334,0.0389626,0.0296584,0.0279844,0.014519,0.037562,0.0229274,0.045101,0.0106304,0.0146114,0.0430526,0.0540145,0,0,0,0.0181053,0.0582542,0.024893,0
151,0.0316524,0.0535094,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339894,0,0.0229612,0.0548467,0,0,0.00926015,0,0,0.0409992,0,0.0296819,0.0321763,0.043354,0.04116,0.032147,0.0556467,0.0536997,0.0645578,0.03675,0.0321044,0.00630174,0.0371249,0.0116978,0.0210567,0.0227877,0,0.0273027,0.0497584,0.0420064,0,0,0.0299551,0,0,0.0243841,0.0733229,0.0152491,0.0225841,0.0288203,0.0559953,0.0359509,0.0304476,0.0599243,0.0625534,0.0406299,0.029043,0.0281859,0.014756,0.0370496,0.0214925,0.0440008,0.0106367,0.0146528,0.0430855,0.0541424,0,0,0,0.0202041,0.0605431,0.0547158,0
152,0.0317355,0.0533485,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032943,0,0.0245574,0.0535805,0,0,0.00927452,0,0,0.0409317,0,0.0268458,0.0323587,0.0430645,0.0407174,0.0309345,0.0547813,0.0537446,0.0652047,0.0379977,0.0343406,0.00797725,0.0368759,0.0116597,0.0209962,0.0222463,0,0.027458,0.0500767,0.0422744,0,0,0.0299681,0,0,0.0247102,0.0728088,0.0145308,0.0236994,0.0288971,0.056873,0.036759,0.030732,0.0597417,0.0629235,0.0416755,0.0288291,0.0284444,0.0150354,0.0366847,0.0211274,0.0434148,0.0106766,0.0147714,0.0431297,0.0543534,0,0,0,0.0210042,0.0617737,0.0665944,0
153,0.0320112,0.0528303,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335869,0,0.0219329,0.0536848,0,0,0.00892807,0,0,0.0411061,0,0.0257742,0.0344739,0.0425149,0.0400745,0.0330459,0.0543947,0.0518686,0.0659243,0.0383698,0.0328419,0.00670664,0.036965,0.0113865,0.0207113,0.0219248,0,0.0273601,0.0500254,0.0426127,0,0,0.0297734,0,0,0.0249389,0.0716059,0.0144477,0.0242365,0.0279395,0.0566269,0.036549,0.0317389,0.0602035,0.0635741,0.0422511,0.0283534,0.0285364,0.0150205,0.0359992,0.0216963,0.0437277,0.0104237,0.0147685,0.0431089,0.0541614,0,0,0,0.0196486,0.0615468,0.0662469,0
154,0.0321756,0.0525312,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033621,0,0.0219386,0.0535534,0,0,0.00915803,0,0,0.0406745,0,0.0249042,0.0346258,0.042778,0.0396482,0.0335973,0.0546332,0.0516682,0.0657395,0.0382844,0.0327526,0.00737578,0.0369959,0.0117873,0.0209945,0.0213624,0,0.0276121,0.0498234,0.0428049,0,0,0.0295507,0,0,0.0249433,0.0714733,0.0144065,0.0239952,0.0278179,0.0567652,0.0364216,0.031737,0.0599197,0.063364,0.0421285,0.0284783,0.0285771,0.0150661,0.0359618,0.0223793,0.0437945,0.010447,0.0150087,0.043031,0.0543674,0,0,0,0.0191382,0.0613717,0.064004,0
155,0.0324466,0.0523528,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336662,0,0.0218715,0.05343,0,0,0.00947004,0,0,0.0404809,0,0.0242994,0.0347674,0.0429699,0.0393971,0.0340456,0.054741,0.0515,0.0657101,0.0383119,0.0326228,0.00835134,0.0369122,0.0119142,0.0208756,0.0206223,0,0.0278296,0.0497504,0.0429215,0,0,0.0294596,0,0,0.0250733,0.0713865,0.0152712,0.0238128,0.0275112,0.0568375,0.0365249,0.0316832,0.0598167,0.0629812,0.0414711,0.028445,0.0287031,0.0150721,0.0356849,0.0234182,0.043723,0.0109175,0.0145512,0.0430689,0.0545349,0,0,0,0.0187234,0.0612962,0.0633866,0
156,0.0326939,0.0520375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033742,0,0.0219227,0.0530061,0,0,0.00971063,0,0,0.0401203,0,0.0235745,0.0349159,0.0434897,0.0390979,0.0343412,0.0548916,0.0514568,0.065626,0.038306,0.0325159,0.0095289,0.0369074,0.0121544,0.0211168,0.020036,0,0.0279038,0.0495397,0.0431745,0,0,0.0292127,0,0,0.0251672,0.0715442,0.0160107,0.0234369,0.0277839,0.0571168,0.0367703,0.0314389,0.0595122,0.0624052,0.0407241,0.0285061,0.0286449,0.0147921,0.0354368,0.0243257,0.0436184,0.0110091,0.0148364,0.0428453,0.0549055,0,0,0,0.0183565,0.0611505,0.0633828,0
157,0.0327763,0.0519606,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353183,0,0.0214461,0.0528126,0,0,0.0096613,0,0,0.0400782,0,0.0224581,0.0349598,0.0438776,0.0387624,0.0345952,0.0553474,0.0515564,0.0656461,0.0382369,0.0323272,0.010016,0.0368208,0.012217,0.0212085,0.0201706,0,0.0276184,0.0495891,0.0433246,0,0,0.0285489,0,0,0.0255606,0.0716215,0.0166222,0.0231785,0.0281516,0.0572066,0.0370411,0.0313554,0.0593624,0.0618851,0.0401213,0.0282654,0.0285495,0.0144893,0.0350534,0.024658,0.0432117,0.01061,0.0155499,0.0429266,0.0551788,0,0,0,0.0183032,0.0610234,0.0632066,0
158,0.0328652,0.0520597,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366932,0,0.0207754,0.0527657,0,0,0.00966235,0,0,0.0402556,0,0.0225895,0.034239,0.0443134,0.0386487,0.0342635,0.0558232,0.0521658,0.0656827,0.037931,0.03193,0.0102717,0.0365631,0.0119268,0.0211291,0.0204988,0,0.0273143,0.0498438,0.0432755,0,0,0.0279965,0,0,0.0260375,0.0716563,0.0172878,0.0230273,0.0284425,0.056986,0.0374266,0.0312674,0.0590782,0.0615129,0.0398231,0.0279536,0.0282882,0.0142768,0.0348429,0.0246331,0.0427719,0.0105131,0.0155737,0.0432118,0.0554253,0,0,0,0.018658,0.0608493,0.0629596,0
159,0.033345,0.0521378,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0407683,0,0.0224112,0.0523202,0,0,0.00919451,0,0,0.0406657,0,0.0232267,0.0332329,0.0451485,0.0385363,0.0347378,0.0569675,0.0527609,0.0646764,0.0367168,0.030963,0.0130426,0.0364518,0.0114352,0.0209624,0.0200562,0,0.0270191,0.0502771,0.0427649,0,0,0.0279002,0,0,0.0261832,0.071909,0.0176267,0.0221231,0.0290989,0.056304,0.0376225,0.0308919,0.0583171,0.0610968,0.0397642,0.0281186,0.0274881,0.0141612,0.0351129,0.0251469,0.0424142,0.0105168,0.0157416,0.043402,0.0558889,0,0,0,0.0184597,0.0596747,0.0631437,0
160,0.032445,0.0524073,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423843,0,0.0221238,0.0517465,0,0,0.00939267,0,0,0.0406735,0,0.0242709,0.0329707,0.0462055,0.0379108,0.0358562,0.0576654,0.0529456,0.0650496,0.0364216,0.0300769,0.0130412,0.0358349,0.0112491,0.0211528,0.0202462,0,0.0271695,0.0508767,0.0435257,0,0,0.0124233,0,0,0.0344026,0.0718508,0.0179984,0.0215584,0.0289669,0.0560126,0.0350715,0.0313346,0.0581381,0.0611319,0.0397981,0.0280415,0.0270322,0.0140699,0.035066,0.0245808,0.0441234,0.0106246,0.0175627,0.0434019,0.0556342,0,0,0,0.0183631,0.0593197,0.063784,0
161,0.0327839,0.0522184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445875,0,0.0220743,0.0509962,0,0,0.00939208,0,0,0.0405349,0,0.0239707,0.0318797,0.046683,0.0377469,0.0364623,0.0583133,0.0532904,0.0654861,0.0363488,0.0302129,0.015135,0.0358234,0.0111081,0.0212765,0.0185193,0,0.0247114,0.0524878,0.0434813,0,0,0.0116615,0,0,0.0347229,0.0714835,0.0135662,0.0216138,0.0294813,0.0554643,0.0350921,0.0320302,0.0584474,0.0613156,0.0403556,0.0291383,0.0247621,0.0135882,0.0367942,0.0257338,0.0441999,0.0101741,0.018293,0.0434524,0.0558159,0,0,0,0.0188607,0.0594315,0.063885,0
162,0.0331108,0.0520119,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0471203,0,0.0218141,0.0500577,0,0,0.00939806,0,0,0.0403892,0,0.0234839,0.0304591,0.0472872,0.0375801,0.0368218,0.0591077,0.0535944,0.0658781,0.036259,0.0304203,0.0176511,0.0358767,0.0109576,0.0213415,0.0182293,0,0.0250159,0.0518287,0.0435142,0,0,0.0115439,0,0,0.0347933,0.0713139,0.0131236,0.0216434,0.029486,0.0553016,0.0349791,0.0321984,0.0581362,0.0613823,0.0403552,0.0292428,0.0247004,0.0137925,0.036719,0.0252356,0.0442173,0.00948174,0.0187757,0.0433893,0.0560776,0,0,0,0.0192895,0.0596103,0.0638528,0
163,0.0336442,0.0515877,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516933,0,0.0211367,0.0472168,0,0,0.00947128,0,0,0.040678,0,0.0239817,0.0280124,0.0474438,0.0386515,0.0380127,0.0610524,0.0561999,0.064248,0.0340792,0.0291398,0.0221169,0.0355966,0.0108537,0.0217673,0.0159039,0,0.0243454,0,0.04319,0,0,0.0118013,0,0,0.0348918,0.0678854,0.0140068,0.024388,0.0271124,0.0532131,0.0347476,0.0320553,0.0594154,0.062952,0.040216,0.0280288,0.0245062,0.0135903,0.0354869,0.028053,0.0438715,0.00892378,0.0191708,0.0438927,0.0562373,0,0,0,0.0225667,0.0578692,0.06369,0
164,0.03382,0.0514734,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515426,0,0.0213894,0.0481025,0,0,0.00953999,0,0,0.040496,0,0.0232696,0.0279086,0.0479231,0.0376963,0.0376014,0.0609877,0.0542843,0.0664228,0.0354942,0.0303837,0.0227154,0.0356953,0.0110935,0.0212304,0.0163114,0,0.0256728,0.0513635,0.0434214,0,0,0.0117254,0,0,0.034739,0.0706648,0.0121785,0.0224991,0.0290839,0.0549453,0.0349041,0.0319624,0.057559,0.0614722,0.0400298,0.0293373,0.0250462,0.0144521,0.0364282,0.0260239,0.0440323,0.00880647,0.0192625,0.0433629,0.0566239,0,0,0,0.0197978,0.059562,0.0635271,0
165,0.0341122,0.0512172,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0530741,0,0.0209812,0.0469747,0,0,0.00951717,0,0,0.0405857,0,0.0236764,0.0269475,0.0482195,0.0377517,0.0381674,0.0620129,0.0544468,0.0665531,0.0350007,0.0305562,0.024478,0.0358447,0.0111119,0.021247,0.0155091,0,0.0256603,0.0511613,0.0434094,0,0,0.0116949,0,0,0.0344808,0.0703107,0.0115834,0.0227753,0.0290953,0.0551655,0.0351227,0.0315194,0.0574194,0.0613913,0.0395572,0.0293443,0.0252613,0.0146727,0.0363072,0.0265203,0.0440024,0.00866597,0.0192114,0.043418,0.0567797,0,0,0,0.0196325,0.0596022,0.0635161,0
166,0.0344076,0.0508716,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0536229,0,0.0206066,0.0455752,0,0,0.00955357,0,0,0.0407692,0,0.02443,0.0262301,0.0486302,0.0379404,0.0387721,0.0631707,0.0547203,0.0664714,0.0342523,0.0305524,0.0255853,0.0358769,0.0112116,0.0212514,0.0144483,0,0.0256843,0.0509637,0.0433396,0,0,0.0118349,0,0,0.0343201,0.0699501,0.0113506,0.023219,0.0289916,0.0554689,0.035715,0.031125,0.0572153,0.0612634,0.0390359,0.0293669,0.0253804,0.014879,0.0362668,0.027492,0.0438039,0.00855323,0.0192043,0.0435708,0.0569617,0,0,0,0.0192828,0.0594235,0.0633085,0
167,0.0346569,0.0504733,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0530037,0,0.0202169,0.0446235,0,0,0.00963886,0,0,0.0410575,0,0.0252446,0.0257387,0.049335,0.0381961,0.0393778,0.0643577,0.0550669,0.0663092,0.0335223,0.0304764,0.0256404,0.0357869,0.0114016,0.0211902,0.0151525,0,0.0285401,0.0499655,0.0432595,0,0,0.012115,0,0,0.034263,0.0698879,0.016314,0.0233273,0.028335,0.0558596,0.036525,0.0304415,0.0566652,0.0610049,0.0380198,0.0283357,0.0273855,0.015538,0.0345746,0.0268887,0.0434573,0.00854218,0.019199,0.0438155,0.0572003,0,0,0,0.0184731,0.0591718,0.0631936,0
168,0.03489,0.0500397,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0523009,0,0.0197457,0.0425252,0,0,0.00960323,0,0,0.0411242,0,0.025991,0.0252798,0.0504257,0.038401,0.0402359,0.0655922,0.0556859,0.0659252,0.0326788,0.0304037,0.0252929,0.0356515,0.0112154,0.0214382,0.0119509,0,0.0258096,0.0498719,0.0432037,0,0,0.0123839,0,0,0.0342309,0.0692371,0.0118805,0.0240168,0.0288135,0.056027,0.0372761,0.0301639,0.0570975,0.0608812,0.0379608,0.0294386,0.0254802,0.0151423,0.0363312,0.0302778,0.0430913,0.00848013,0.0191669,0.0442393,0.0574037,0,0,0,0.0180883,0.0587055,0.0628619,0
169,0.0350669,0.0497354,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051162,0,0.0189157,0.0406001,0,0,0.0103466,0,0,0.0410851,0,0.0271581,0.0253975,0.0518207,0.0387905,0.0412039,0.066966,0.0561473,0.0655616,0.0318216,0.0306436,0.0239905,0.0353732,0.0119348,0.0206934,0.0108446,0,0.0257781,0.0497018,0.0431226,0,0,0.0126205,0,0,0.0341634,0.0688339,0.0124627,0.0243813,0.0288289,0.0562979,0.0383388,0.0296902,0.0572315,0.06074,0.0374509,0.0294246,0.0254097,0.0151415,0.0363538,0.0314429,0.042768,0.00831011,0.0191899,0.0445534,0.057677,0,0,0,0.0172771,0.0583543,0.0622991,0
170,0.0353314,0.0493787,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0487366,0,0.0180365,0.0390492,0,0,0.0104566,0,0,0.0414258,0,0.0278498,0.0253124,0.0530913,0.0389228,0.0423571,0.0682031,0.056799,0.0651919,0.0312317,0.0307484,0.0218104,0.0352231,0.0119106,0.0209039,0.00995744,0,0.0258524,0.0499842,0.0430892,0,0,0.012956,0,0,0.0341266,0.0686307,0.0132483,0.0246464,0.0287023,0.0563154,0.0396094,0.0296378,0.0572271,0.0606385,0.0372387,0.0294336,0.0252835,0.0150933,0.0364003,0.0322812,0.0423327,0.00832843,0.0191779,0.0445928,0.0580517,0,0,0,0.016294,0.0580738,0.0619966,0
171,0.0355101,0.0490545,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462042,0,0.0170866,0.0375077,0,0,0.010575,0,0,0.0416728,0,0.0285219,0.0252861,0.0544,0.0390213,0.0432802,0.0694163,0.0573827,0.0648654,0.0307336,0.0310646,0.0194609,0.0350324,0.0118256,0.0211276,0.0092035,0,0.0259527,0.0501305,0.0431241,0,0,0.0133459,0,0,0.0341368,0.0685016,0.0139842,0.0248666,0.0285873,0.0563235,0.0408545,0.0295267,0.0575248,0.060494,0.0370261,0.0294663,0.0250358,0.0149821,0.0364058,0.0331583,0.0419679,0.0084259,0.019103,0.0447886,0.0584491,0,0,0,0.0152318,0.0578903,0.0616811,0
172,0.0355613,0.0487811,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043514,0,0.016212,0.0358702,0,0,0.0107871,0,0,0.0418217,0,0.028954,0.0251701,0.0554925,0.0390916,0.0443616,0.070575,0.0578961,0.0645134,0.0303521,0.0314823,0.0174532,0.0348753,0.0116906,0.0213304,0.00854784,0,0.0260576,0.0503097,0.0431926,0,0,0.0136482,0,0,0.0341333,0.0684815,0.0145896,0.0249863,0.0284629,0.0563611,0.0421597,0.0293384,0.0577144,0.0603629,0.0368877,0.0295178,0.0247969,0.0148847,0.0364179,0.0338841,0.0416302,0.00859632,0.0190281,0.0446636,0.0588064,0,0,0,0.0145543,0.0576921,0.0613507,0
173,0.0357541,0.0486434,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405804,0,0.0155183,0.0346372,0,0,0.0109901,0,0,0.0418934,0,0.0292146,0.0250594,0.0562049,0.0391241,0.0455545,0.0716115,0.0583782,0.0640785,0.0299229,0.031799,0.0171148,0.0347208,0.0115573,0.0215041,0.00789663,0,0.0262551,0.0505481,0.0432836,0,0,0.0138607,0,0,0.0341,0.0684747,0.0151245,0.0251193,0.0283453,0.0563401,0.0433733,0.0291621,0.05776,0.0602517,0.0367764,0.0295634,0.0246834,0.0148539,0.0364095,0.0344845,0.0413468,0.00875432,0.0189577,0.0444167,0.0591408,0,0,0,0.0138847,0.0573898,0.0609902,0
174,0.03613,0.0485965,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375689,0,0.0148924,0.033226,0,0,0.0112745,0,0,0.04197,0,0.0294194,0.0251094,0.0565549,0.0391469,0.0466798,0.0725236,0.0588251,0.063466,0.0292855,0.0319509,0.0189841,0.0345553,0.0115247,0.0215509,0.00730637,0,0.0265305,0.0508031,0.0433901,0,0,0.0140092,0,0,0.0340631,0.0684848,0.0155867,0.0252045,0.0283287,0.0565669,0.0445212,0.0290511,0.0577344,0.0601405,0.0366874,0.0296221,0.0247273,0.0149319,0.0364014,0.0350548,0.0411986,0.00887976,0.0188694,0.0441658,0.0594799,0,0,0,0.013241,0.0569568,0.0606948,0
175,0.0365466,0.0484802,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346828,0,0.0142594,0.0322684,0,0,0.0116364,0,0,0.0419578,0,0.0294347,0.0252914,0.056636,0.0391147,0.0477108,0.0734851,0.0592965,0.0627673,0.0286084,0.0319841,0.0225516,0.0344165,0.0114633,0.021566,0.00666313,0,0.0265578,0.0512969,0.0434583,0,0,0.0140901,0,0,0.0340025,0.068454,0.0158886,0.0253072,0.0283711,0.0566587,0.0456285,0.0288482,0.0576648,0.0600422,0.0365813,0.0297252,0.0248422,0.015111,0.0364586,0.0355891,0.0411444,0.00909395,0.0187378,0.0439144,0.0599271,0,0,0,0.0127716,0.0564406,0.0604057,0
176,0.0369939,0.0482794,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0321563,0,0.0133822,0.0312197,0,0,0.0120697,0,0,0.0417376,0,0.0299433,0.0255881,0.0566089,0.039084,0.0486596,0.074342,0.0596651,0.062099,0.0281896,0.0322696,0.0270048,0.034229,0.0112599,0.0215758,0.00610389,0,0.0266107,0.0518814,0.043505,0,0,0.0140798,0,0,0.033906,0.0683968,0.0160692,0.0254563,0.0284245,0.0566709,0.0467163,0.0285533,0.0575826,0.0599902,0.0364536,0.0298561,0.0250394,0.0153448,0.0365494,0.0360798,0.0412638,0.00922693,0.018628,0.0436478,0.0604385,0,0,0,0.012265,0.0561332,0.0600463,0
177,0.0372783,0.0479246,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304743,0,0.01261,0.0303895,0,0,0.0123783,0,0,0.041424,0,0.0314244,0.0258205,0.0565502,0.0392214,0.0496181,0.0749807,0.0598263,0.061826,0.0284048,0.0330658,0.0315305,0.0340226,0.0110463,0.0215847,0.00565989,0,0.0267311,0.0525649,0.0435271,0,0,0.0139471,0,0,0.0337246,0.0683124,0.0161907,0.025632,0.0284647,0.0567894,0.0477322,0.028264,0.0575099,0.0599509,0.0363994,0.0300361,0.0252418,0.0155761,0.0366119,0.0364739,0.0415082,0.00926972,0.0185448,0.0433189,0.0609846,0,0,0,0.0116997,0.0563696,0.0597906,0
