Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LTHIP,LILC,,x77
9,0.0250341,0.0516995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281391,0,0.0239425,0.055859,0,0,0.0214049,0,0,0.0417277,0.0570501,0.022235,0.0296507,0.0520478,0.0405367,0.0524759,0.0718031,0.0535025,0.0562336,0.0607931,0.034199,0.0316547,0.0112174,0.0327318,0.0123669,0.072276,0.023877,0,0.0272364,0.0507199,0.0520138,0,0,0.00344232,0,0,0.020534,0.078191,0.0105978,0.019185,0.0266256,0.0455812,0.0383322,0.026256,0.0504076,0.0593839,0.0396689,0.0309595,0.0306706,0.0179398,0.0398668,0.0185214,0.0517092,0,0.0164868,0.0481591,0.0509238,0,0,0,0.0184734,0.0313164,0,0
10,0.0252179,0.0517881,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280728,0,0.0239433,0.0557863,0,0,0.0211208,0,0,0.0415541,0.0571814,0.0221357,0.0294881,0.051858,0.0408241,0.0525104,0.0719186,0.0534218,0.0562561,0.0610038,0.0341305,0.0317432,0.0111056,0.033424,0.0124132,0.0729777,0.0242359,0,0.0272972,0.0506842,0.0515669,0,0,0.00799595,0,0,0.0329062,0.0781157,0.0105227,0.0194084,0.0266591,0.0451004,0.0426118,0.0261556,0.0502895,0.0593473,0.0398239,0.030974,0.0303248,0.0179931,0.0399161,0.0181051,0.0507883,0.00921313,0.0166516,0.0484504,0.050914,0,0,0,0.0185248,0.0311143,0,0
11,0.0253105,0.0517767,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291574,0,0.0232957,0.0548879,0,0,0.0209143,0,0,0.0416981,0.0576559,0.0204073,0.0297232,0.0521427,0.0413274,0.0532587,0.0722511,0.0532468,0.0563325,0.0609643,0.0340862,0.0319479,0.00914622,0.0335156,0.0124559,0.0742519,0.0238363,0,0.0271421,0.0516681,0.0515368,0,0,0.00792294,0,0,0.0327941,0.0774234,0.0107922,0.0190758,0.0264835,0.0443944,0.0423194,0.0258006,0.0505317,0.0594617,0.0395697,0.0308256,0.0300779,0.0179646,0.0398319,0.0181236,0.0509423,0.00903072,0.0167864,0.0485695,0.0509588,0,0,0,0,0.0311614,0,0
12,0.0255822,0.0518803,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290681,0,0.0232058,0.05442,0,0,0.0206702,0,0,0.0413593,0.0577949,0.0203516,0.0294529,0.0521959,0.0414239,0.0533502,0.0724056,0.0533349,0.0563678,0.0608246,0.0341673,0.0319178,0.00927448,0.0333784,0.0121254,0.0705632,0.0237659,0,0.0271384,0.051861,0.0513413,0,0,0.00800762,0,0,0.032911,0.0770531,0.0108531,0.0183197,0.0264238,0.0445521,0.0421705,0.0258258,0.0506482,0.0595263,0.0395163,0.0307688,0.0298889,0.0178903,0.0397642,0.0180464,0.0508143,0.00901118,0.0168248,0.0486579,0.0508662,0,0,0,0,0.031118,0,0
13,0.0293583,0.0528933,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0279263,0,0.0217604,0.0549991,0,0,0.0223701,0,0,0.0303587,0.0555669,0.0220121,0.027593,0.0557198,0.0382722,0.0548753,0.0749538,0.0553596,0.0542714,0.058347,0.032129,0.0303381,0.0111937,0.0315432,0.0194573,0,0.0241214,0,0.0273455,0.0510784,0.0473476,0,0,0.0085739,0,0,0.0329411,0.0769912,0.0105087,0.0185726,0.0266894,0.0464707,0.0388252,0.0264969,0.0506784,0.0594743,0.0396139,0.0308106,0.0296882,0.0177316,0.0397998,0.0177723,0.0495628,0.00884179,0.0165219,0.0478259,0.0504437,0,0,0,0,0,0,0
14,0.029192,0.0528521,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269813,0,0.0234989,0.0537546,0,0,0.0218453,0,0,0.0302323,0.0571397,0.0222644,0.0284296,0.0541991,0.0375615,0.0532114,0.073174,0.0535116,0.0562696,0.0606464,0.0340323,0.0314198,0.0124158,0.0315172,0.0197216,0,0.0244319,0,0.0268646,0.0500689,0.0475367,0,0,0.00876515,0,0,0.0332739,0.0765492,0.0114171,0.0192579,0.0260455,0.0473715,0.0402103,0.0270498,0.0512172,0.0601183,0.0401805,0.0302785,0.0294806,0.0173435,0.0393451,0.0176734,0.048556,0.00854798,0.0172088,0.0479807,0.0505107,0,0,0,0.0184873,0.0313179,0,0
15,0.0294929,0.0528281,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282298,0,0.0228007,0.0531803,0,0,0.0213903,0,0,0.0300987,0.0575007,0.0206513,0.0287336,0.054632,0.0375943,0.0542547,0.0733157,0.0532328,0.0563622,0.0606978,0.034082,0.0316808,0.0102937,0.0317791,0.0197588,0,0.0242756,0,0.0266912,0.0508858,0.0472679,0,0,0.00887939,0,0,0.0332116,0.0760295,0.0118157,0.0197159,0.0257695,0.046995,0.0397406,0.0267881,0.0514665,0.0602384,0.0399903,0.0300881,0.0293621,0.0172083,0.0391466,0.017879,0.0486113,0.00844469,0.0171055,0.0479079,0.0505972,0,0,0,0,0.0314658,0,0
16,0.0304384,0.0530624,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026353,0,0.0223236,0.0546579,0,0,0.0186304,0,0,0.0380176,0.0552693,0.0238708,0.0269933,0.0564819,0.0387296,0.0548744,0.0749308,0.0550942,0.054423,0.058783,0.0321006,0.0306811,0.0136792,0.0336638,0.0132744,0.0149019,0.0251893,0,0.0273271,0.0495019,0.0466458,0,0,0.00882522,0,0,0.0328656,0.0772336,0.0107649,0.019865,0.0265467,0.0478259,0.0383685,0.0271534,0.0507914,0.0597835,0.0401312,0.0305924,0.0293442,0.017421,0.0395446,0.0169782,0.0490338,0.0085659,0.0167003,0.0474218,0.0504805,0,0,0,0.018621,0,0,0
17,0.030595,0.0531155,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268984,0,0.0234263,0.0528782,0,0,0.0181421,0,0,0.0381527,0.0569232,0.0226845,0.0282713,0.0552423,0.0385029,0.0536636,0.0731829,0.05324,0.0563138,0.0608486,0.0338912,0.0320091,0.0125308,0.0339043,0.0137196,0.0174939,0.0250769,0,0.0266737,0.0492316,0.0464734,0,0,0.00893002,0,0,0.0329624,0.0763213,0.0120603,0.0201368,0.0256349,0.0484508,0.0392948,0.0276212,0.0517479,0.0606613,0.040465,0.0299025,0.0291133,0.0169302,0.0389091,0.017311,0.048103,0.00825802,0.0173949,0.0476895,0.0505113,0,0,0,0.0184665,0.0313029,0,0
18,0.0307111,0.0531038,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269719,0,0.0233688,0.0529469,0,0,0.0175363,0,0,0.0381306,0.0570319,0.0227178,0.0281415,0.0552776,0.0385441,0.0535093,0.0731519,0.0532153,0.0563057,0.0606453,0.033806,0.0321173,0.0123208,0.0342671,0.0133081,0.017601,0.0251785,0,0.0266478,0.0492314,0.0464273,0,0,0.00893532,0,0,0.0329245,0.0762854,0.0121625,0.0201287,0.0255882,0.048579,0.039232,0.0276971,0.0518627,0.060694,0.0404375,0.0298874,0.029047,0.0168639,0.0388809,0.0172514,0.0481161,0.00831847,0.0173129,0.0476934,0.0506107,0,0,0,0.0185256,0.0313873,0,0
