Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LTHIP,LILC,,x77
114,0.0383915,0.0483888,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052461,0,0.01375,0.05818,0,0,0.0106305,0,0,0.0385605,0.0648029,0.0279178,0.02443,0.0482957,0.0352157,0.0404102,0.0652038,0.0569851,0.0588446,0.0651192,0.034543,0.0307925,0.0285315,0.0381013,0.0124844,0.0190659,0.017337,0,0.026542,0.0476792,0.0459382,0,0,0.0103339,0,0,0.0328916,0.0729515,0.0142345,0.0171272,0.0302681,0.0505314,0.0339114,0.0343105,0.0578127,0.0595143,0.0389284,0.0290255,0.0248686,0.0136165,0.0353936,0.0260332,0.0461228,0.0100826,0.0141282,0.0434816,0.0559182,0,0,0,0.0166913,0.018357,0,0
115,0.0383557,0.0482943,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516578,0,0.0142641,0.0570703,0,0,0.0107488,0,0,0.0387278,0.0636087,0.0289651,0.0236008,0.0492206,0.0350888,0.0409792,0.066437,0.0574831,0.0584611,0.0649474,0.0337855,0.030551,0.0283822,0.037619,0.0123947,0.0193749,0.0166083,0,0.0267718,0.0469791,0.0461137,0,0,0.0105039,0,0,0.032972,0.0724944,0.0134929,0.0174355,0.0301733,0.0508323,0.0348927,0.0341232,0.0577809,0.0598243,0.0388122,0.0293469,0.0250679,0.014093,0.0357449,0.0267213,0.0457756,0.00997869,0.0141484,0.0434251,0.0559527,0,0,0,0.0159105,0.0182733,0,0
116,0.0390272,0.0481693,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581205,0,0.016949,0.055292,0,0,0.00982442,0,0,0.0393505,0.061858,0.028051,0.0214326,0.0513176,0.0355874,0.0435399,0.0697879,0.0586617,0.0555479,0.0626287,0.0306162,0.027845,0.0348859,0.0379392,0.0118715,0.0193973,0.0143149,0,0.0268746,0.0469069,0.0454813,0,0,0.0118423,0,0,0.0324376,0.0717408,0.0131327,0.0162085,0.031031,0.050186,0.0350515,0.0327753,0.0567369,0.0595104,0.0382873,0.0301984,0.0246363,0.0144131,0.0365749,0.0293472,0.0451491,0.00993955,0.0144752,0.0430412,0.056351,0,0,0,0.0141463,0.0194442,0,0
117,0.0389711,0.0480519,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0562151,0,0.0162389,0.0531314,0,0,0.00993872,0,0,0.0395775,0.0611673,0.0287203,0.020913,0.0524872,0.0358081,0.0445055,0.071053,0.0594539,0.0552826,0.062261,0.0298852,0.0281048,0.032808,0.0377483,0.0119758,0.0194575,0.0139804,0,0.0270027,0.0465559,0.0455107,0,0,0.0122245,0,0,0.032375,0.0710065,0.0134429,0.0165123,0.0310592,0.0506043,0.0361726,0.0323696,0.0565537,0.0593112,0.0379809,0.030313,0.0246733,0.0145198,0.0367657,0.0296865,0.044617,0.00986003,0.0145905,0.0429913,0.056397,0,0,0,0.0135648,0.0191845,0,0
118,0.0383531,0.0478432,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0511433,0,0.0131835,0.050443,0,0,0.0109771,0,0,0.0393952,0.0601457,0.0337671,0.0217527,0.0525818,0.0358809,0.0443307,0.0721018,0.0597838,0.0560747,0.0621411,0.0297995,0.0309571,0.0272855,0.0370567,0.0125512,0.0196348,0.015813,0,0.0276651,0.0454287,0.0459026,0,0,0.012082,0,0,0.0326382,0.0703647,0.0147981,0.0182392,0.0304366,0.0521374,0.0387583,0.032712,0.057217,0.0591801,0.0374788,0.0296628,0.0254109,0.0144087,0.0361736,0.0274646,0.0438878,0.00990328,0.0146202,0.0431958,0.0564039,0,0,0,0.0133151,0.016549,0,0
119,0.038685,0.0476922,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555527,0,0.0144661,0.0479746,0,0,0.0108013,0,0,0.0396796,0.0586769,0.0321536,0.0214232,0.0546073,0.0363324,0.04734,0.0756751,0.0611512,0.0531604,0.059613,0.0267598,0.0289332,0.0298627,0.0369435,0.0120264,0.0192966,0.0138588,0,0.0272908,0.0458646,0.0454113,0,0,0.0131014,0,0,0.0321017,0.0700017,0.0148838,0.0172667,0.0315322,0.051719,0.0394611,0.0318196,0.0563312,0.0583101,0.036974,0.0307283,0.0241001,0.01436,0.0372076,0.0301416,0.0433402,0.00966357,0.0148529,0.0432195,0.0567004,0,0,0,0.0112953,0.0170589,0,0
120,0.0387446,0.0475905,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0488814,0,0.0133254,0.0469442,0,0,0.0107254,0,0,0.0397815,0.0593013,0.0291957,0.0192454,0.0559595,0.0360594,0.0485704,0.0752773,0.061333,0.0542409,0.0604478,0.0280375,0.0294201,0.0202358,0.0370512,0.0118765,0.0194369,0.0142367,0,0.0273507,0.0469045,0.0455107,0,0,0.0132231,0,0,0.0319089,0.0698417,0.0158825,0.0168155,0.0315379,0.051441,0.0402214,0.0320492,0.0563535,0.0582129,0.0370929,0.0307735,0.0237839,0.0142296,0.0373075,0.0300073,0.0431516,0.00961228,0.0149191,0.0432957,0.0565953,0,0,0,0.0118602,0.0180996,0,0
121,0.0385168,0.04751,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489287,0,0.0123183,0.0442123,0,0,0.010846,0,0,0.0397264,0.0585262,0.0311226,0.0209894,0.0564267,0.0362145,0.0503843,0.0783848,0.0622135,0.0523277,0.0584629,0.025678,0.0293344,0.018392,0.0367658,0.0115128,0.0197316,0.0141469,0,0.0276093,0.0468455,0.0454539,0,0,0.0135683,0,0,0.031879,0.069979,0.0166568,0.0172106,0.0318628,0.0520184,0.0422339,0.0319656,0.0563175,0.0578623,0.0368513,0.0310329,0.0235873,0.0142735,0.0375209,0.0302506,0.0424432,0.00954633,0.0151469,0.0433805,0.057035,0,0,0,0.0102874,0.0166106,0,0
122,0.0385148,0.0475693,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0452967,0,0.0112816,0.0425467,0,0,0.0111253,0,0,0.0397179,0.0586585,0.0302515,0.0212646,0.0570024,0.0363513,0.0518263,0.0796182,0.0626724,0.0518437,0.057803,0.0251725,0.0294326,0.0128565,0.0365268,0.0114972,0.0196773,0.014108,0,0.0278229,0.0474984,0.0454694,0,0,0.013808,0,0,0.0318915,0.0701445,0.0172431,0.0172012,0.0320025,0.0521527,0.043335,0.0318938,0.0564082,0.057719,0.0370199,0.0311845,0.0234237,0.0142654,0.037619,0.0301951,0.0418705,0.00963121,0.0151056,0.0434143,0.0572044,0,0,0,0.00995524,0.016554,0,0
123,0.03863,0.0476637,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417075,0,0.00986587,0.0409448,0,0,0.0114306,0,0,0.0398158,0.0587735,0.0293775,0.0215362,0.0572915,0.0364052,0.0531855,0.0807215,0.0630592,0.0515045,0.0572208,0.0248983,0.0297153,0.00837153,0.0363264,0.011596,0.019557,0.0140113,0,0.0280552,0.0482413,0.045408,0,0,0.0140822,0,0,0.0318249,0.0702877,0.0177112,0.0171502,0.0319995,0.0523254,0.0443099,0.0316656,0.0562422,0.0576267,0.0372364,0.0313299,0.0233227,0.0143189,0.0376872,0.0300563,0.0416427,0.00972106,0.0150379,0.0434032,0.0574963,0,0,0,0.00967733,0.0166027,0,0
124,0.0388007,0.0477148,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391627,0,0.00856637,0.0395811,0,0,0.0117774,0,0,0.039871,0.0588922,0.0293139,0.0216057,0.0573907,0.0365063,0.0544361,0.0816481,0.0633014,0.0517012,0.0570179,0.0252005,0.0305386,0.00816213,0.0363724,0.011651,0.0194312,0.0139504,0,0.0282173,0.0490724,0.0453617,0,0,0.014359,0,0,0.0317326,0.0703696,0.0181434,0.0171286,0.031928,0.0525268,0.0451215,0.0313296,0.0560657,0.0576375,0.0374515,0.0314495,0.0232517,0.0144238,0.0377519,0.0298464,0.0417554,0.00980928,0.0149081,0.0433389,0.0579167,0,0,0,0.00946619,0.0168132,0,0
125,0.0389864,0.0477229,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381115,0,0.00850504,0.0388413,0,0,0.0121104,0,0,0.0398172,0.0592069,0.0297964,0.0205636,0.0575433,0.0365561,0.0551676,0.0816106,0.0632691,0.0530383,0.057842,0.0265473,0.0321611,0.0130935,0.0365441,0.0116671,0.0192779,0.013975,0,0.028207,0.0500553,0.045367,0,0,0.0144053,0,0,0.0316784,0.0703559,0.0186055,0.0169505,0.0317912,0.0523065,0.0454204,0.0311294,0.0557321,0.0577471,0.0377841,0.0315071,0.0232552,0.0145072,0.0377673,0.029584,0.0418728,0.00995449,0.0147595,0.0432328,0.0582823,0,0,0,0.00983057,0.0175036,0,0
126,0.0391895,0.0477276,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038072,0,0.00949521,0.0386096,0,0,0.0125963,0,0,0.0396755,0.0596164,0.0299829,0.0193722,0.0576897,0.0365692,0.0557843,0.0812994,0.0632053,0.0547908,0.0592589,0.0283414,0.0337518,0.0177475,0.0365792,0.0119122,0.0188123,0.013977,0,0.0283047,0.0511224,0.0453729,0,0,0.0139745,0,0,0.031716,0.0703029,0.018972,0.0166541,0.0316745,0.0520196,0.0453614,0.0311069,0.0554515,0.0578714,0.0382128,0.0315796,0.0232419,0.0145888,0.0378418,0.0293373,0.0418892,0.00976471,0.0150403,0.0431155,0.0585596,0,0,0,0.0104282,0.0185379,0,0
127,0.0394012,0.0476671,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379576,0,0.00929164,0.0381706,0,0,0.0129003,0,0,0.0395978,0.0599914,0.030685,0.0195466,0.0576369,0.0365761,0.0562024,0.0814573,0.0633501,0.0556411,0.0597254,0.0291011,0.0348417,0.0195286,0.0365401,0.0119291,0.0186829,0.0139429,0,0.028426,0.0519522,0.04532,0,0,0.0138228,0,0,0.0316845,0.0702101,0.0192725,0.0165891,0.0316249,0.0520593,0.045578,0.0310198,0.0552649,0.0578577,0.0384926,0.0317369,0.0232617,0.0146879,0.037965,0.0291262,0.0418987,0.00986796,0.0148879,0.0429894,0.0590022,0,0,0,0.0102762,0.019094,0,0
128,0.0397347,0.0475685,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03672,0,0.00875454,0.0377325,0,0,0.0129227,0,0,0.0395868,0.0601703,0.0315152,0.0200498,0.0576753,0.0364889,0.0564854,0.0815357,0.0633496,0.0561821,0.0601324,0.0292883,0.0355019,0.0204643,0.0365581,0.0116738,0.0189068,0.0139371,0,0.0285187,0.052612,0.0452549,0,0,0.0138445,0,0,0.0315505,0.0700341,0.0195726,0.0165276,0.0315915,0.0519677,0.0457495,0.0309434,0.0551781,0.0578241,0.0386668,0.0317682,0.0232409,0.0147376,0.0380554,0.0289479,0.0420719,0.0101051,0.0144502,0.0428914,0.059469,0,0,0,0.00989526,0.0195175,0,0
129,0.0400451,0.047292,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367074,0,0.00941556,0.0319314,0,0,0.0133009,0,0,0.0398202,0,0.0320471,0.0218068,0.0580362,0.0376208,0.0541489,0.0783217,0.061926,0.0578265,0.0617582,0.0300277,0.0368165,0.0198045,0.0362708,0.0115023,0.0194069,0.01275,0,0.0283387,0.0567209,0.0447341,0,0,0.0137788,0,0,0.0314787,0.0678293,0.0193515,0.0182472,0.0306492,0.0517875,0.046109,0.0290502,0.0550403,0.0578141,0.0377725,0.0314335,0.023407,0.0149957,0.0380766,0.030134,0.0420036,0.0101904,0.0144307,0.0424009,0.0607506,0,0,0,0.010967,0.0204919,0,0
130,0.040303,0.0472205,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361394,0,0.00943721,0.031109,0,0,0.0135315,0,0,0.0396691,0,0.032777,0.0225428,0.0581844,0.0375366,0.0542789,0.0781879,0.0616487,0.0582696,0.0619472,0.0301726,0.03745,0.0224044,0.0362914,0.0115283,0.019264,0.0127789,0,0.0286168,0.0573534,0.0446431,0,0,0.0135244,0,0,0.0313548,0.0675546,0.0198557,0.0182302,0.0302239,0.0516155,0.0462108,0.0290667,0.0547911,0.0578715,0.0378734,0.0314054,0.0233823,0.0150327,0.0381227,0.0299738,0.0420457,0.0102198,0.0143404,0.0422819,0.0608062,0,0,0,0.0104254,0.02095,0,0
131,0.0402732,0.0471087,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0356555,0,0.00978515,0.0309331,0,0,0.0136702,0,0,0.0395571,0,0.0336208,0.0230026,0.0583851,0.0375356,0.0544183,0.0781244,0.0613688,0.0587586,0.0619998,0.0304228,0.0381681,0.0255742,0.0363894,0.0115472,0.019147,0.0131031,0,0.0289562,0.0578178,0.0444788,0,0,0.0132998,0,0,0.0312466,0.0673423,0.0203478,0.0182203,0.0300397,0.0513353,0.046299,0.0290956,0.0545749,0.0579114,0.0378746,0.0314403,0.0234397,0.0150782,0.038114,0.0294668,0.0419324,0.0101691,0.0142272,0.0422042,0.0606508,0,0,0,0.0100631,0.0214707,0,0
132,0.0400558,0.0469691,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351696,0,0.0101549,0.0306586,0,0,0.0138038,0,0,0.0395263,0,0.0346284,0.0232711,0.0586009,0.0375389,0.0547215,0.0781995,0.0611327,0.0592488,0.0621464,0.0306799,0.0388771,0.0288236,0.0364952,0.0116284,0.0190273,0.0132437,0,0.0290389,0.0581787,0.0443326,0,0,0.0132447,0,0,0.0311033,0.0671988,0.0207384,0.0182628,0.0300281,0.0510413,0.0464412,0.0291045,0.0544355,0.0579212,0.0378713,0.031541,0.0234277,0.0151323,0.038159,0.0290905,0.0419605,0.0100512,0.0141625,0.0421681,0.0607678,0,0,0,0.00987508,0.0219804,0,0
133,0.040106,0.0469135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347115,0,0.0103405,0.0302527,0,0,0.0142969,0,0,0.0395507,0,0.0357748,0.0234946,0.0587865,0.0377093,0.0551434,0.0783831,0.0609027,0.0597419,0.0623949,0.0309856,0.0395726,0.0317508,0.0365287,0.0121991,0.0184448,0.0132339,0,0.02896,0.0584726,0.0441711,0,0,0.0136405,0,0,0.0308576,0.0670921,0.0211079,0.0183498,0.0300635,0.050803,0.0467171,0.0291516,0.0543043,0.0579232,0.0379056,0.0316639,0.0233367,0.0151852,0.038265,0.028901,0.0419593,0.0103344,0.013379,0.0422285,0.0610113,0,0,0,0.00981551,0.0223939,0,0
134,0.0402286,0.0467616,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355124,0,0.00934083,0.028807,0,0,0.0142651,0,0,0.0397266,0,0.0364043,0.0260816,0.0587378,0.037955,0.0563027,0.0804948,0.0611561,0.0591132,0.0611031,0.03029,0.0400505,0.0299527,0.0365548,0.0120117,0.0188506,0.0133226,0,0.028799,0.0588266,0.0439016,0,0,0.0134498,0,0,0.0306776,0.0669437,0.0212031,0.0187738,0.030175,0.0511027,0.0475166,0.0288976,0.0541267,0.057846,0.0378146,0.0318365,0.0233458,0.0153078,0.0384627,0.0285733,0.0416955,0.0103207,0.0133372,0.0421472,0.061586,0,0,0,0.00817207,0.0226074,0,0
135,0.0404751,0.0469291,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337631,0,0.0100844,0.0348414,0,0,0.0139833,0,0,0.0392957,0.0610584,0.0379125,0.0224355,0.0589229,0.0363751,0.0587284,0.0822855,0.0622576,0.0594112,0.0617728,0.0310378,0.0399958,0.0381492,0.0371595,0.0120691,0.0182404,0.0149715,0,0.0288976,0.055396,0.044222,0,0,0.0132411,0,0,0.0304724,0.0689716,0.0221246,0.0162366,0.0311818,0.0504794,0.0468341,0.0310896,0.0542511,0.0580128,0.0390708,0.0320995,0.0230154,0.0149876,0.0385905,0.0266491,0.042243,0.0106512,0.0129863,0.0426633,0.0602531,0,0,0,0.00929133,0.0227049,0,0
136,0.0404513,0.0468435,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034037,0,0.0102899,0.0346497,0,0,0.0141282,0,0,0.039183,0.0610464,0.0385409,0.022676,0.0590214,0.0364186,0.0591014,0.0824571,0.0620908,0.0597936,0.061982,0.0313629,0.0405324,0.0388416,0.0372599,0.0121927,0.0180733,0.0152208,0,0.0288787,0.0557083,0.0439205,0,0,0.0130242,0,0,0.0304664,0.0689186,0.0224735,0.0161626,0.031156,0.0504378,0.0469402,0.0311432,0.0542174,0.0580471,0.0391792,0.0321824,0.0228492,0.0149943,0.0386567,0.0261707,0.0421893,0.0107152,0.0133201,0.0427393,0.0602889,0,0,0,0.00956141,0.023301,0,0
137,0.0404997,0.0468018,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345786,0,0.0102762,0.0345364,0,0,0.0141407,0,0,0.0391435,0.0611552,0.0389109,0.0228091,0.0591198,0.0364148,0.0596258,0.0827682,0.0619317,0.0601526,0.0621782,0.0316692,0.0410258,0.0384698,0.0374187,0.012258,0.0180427,0.0154808,0,0.0288882,0.0558978,0.0438754,0,0,0.0130563,0,0,0.0304417,0.0688861,0.022871,0.0160673,0.0310651,0.050315,0.046964,0.0312219,0.0540333,0.0580219,0.0392312,0.0322199,0.0223564,0.0150044,0.0386483,0.0256666,0.0421213,0.0108303,0.0133751,0.0428536,0.0603177,0,0,0,0.00993879,0.0237008,0,0
138,0.0405147,0.0467492,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353561,0,0.0100234,0.0344111,0,0,0.0142103,0,0,0.0392112,0.0614121,0.0390567,0.0228259,0.0591998,0.0364531,0.0602065,0.0830386,0.0617853,0.0605154,0.0623933,0.0320182,0.0414968,0.0372551,0.0375672,0.0123975,0.0179829,0.0156496,0,0.0290126,0.0560233,0.0438505,0,0,0.013262,0,0,0.0303103,0.0689151,0.0232578,0.0159875,0.0310069,0.0501802,0.0469015,0.0312648,0.0539292,0.0579639,0.0392746,0.0322716,0.0220572,0.0150015,0.0386319,0.0252807,0.0421056,0.0109125,0.0131031,0.0429587,0.0603392,0,0,0,0.0104205,0.024088,0,0
139,0.0405826,0.0466923,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362119,0,0.00970454,0.0339612,0,0,0.0142147,0,0,0.0392229,0.0616354,0.039083,0.0228198,0.0592678,0.036488,0.0606892,0.0832039,0.0615757,0.0608727,0.0626204,0.0323733,0.0419201,0.0356999,0.0377315,0.0125104,0.0179094,0.0157956,0,0.0290873,0.0561288,0.0437496,0,0,0.0135766,0,0,0.0301981,0.0689897,0.023631,0.0158957,0.0309822,0.050073,0.046708,0.0312966,0.0538953,0.0579188,0.0393148,0.0323183,0.0219539,0.0149942,0.0386235,0.0248472,0.042347,0.011006,0.0129888,0.0430331,0.060357,0,0,0,0.0109555,0.0244546,0,0
140,0.0405947,0.046644,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371803,0,0.00946615,0.0332409,0,0,0.0141327,0,0,0.0391462,0.0616163,0.0390861,0.0228629,0.0592805,0.0364539,0.0610799,0.0832757,0.0612328,0.0612263,0.062836,0.0327217,0.0422833,0.0341376,0.0379016,0.0125459,0.0178818,0.0160161,0,0.0289985,0.0563014,0.0436496,0,0,0.013766,0,0,0.0301632,0.0690788,0.0239851,0.015737,0.0309409,0.0500137,0.0464257,0.0313881,0.0537266,0.0579233,0.0393836,0.0323574,0.0218805,0.0149835,0.0385973,0.0242632,0.0425168,0.0112138,0.0130059,0.0430647,0.0604165,0,0,0,0.0114989,0.0247895,0,0
141,0.0405883,0.0466199,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038171,0,0.00938368,0.033455,0,0,0.0140093,0,0,0.0390344,0.0614747,0.0391887,0.0229116,0.0592463,0.0364507,0.0615841,0.0833743,0.0608328,0.0615129,0.0630236,0.0330207,0.0425804,0.0328768,0.0380361,0.0124892,0.0179521,0.0162588,0,0.0289227,0.0565598,0.0435895,0,0,0.0138858,0,0,0.0300832,0.0691127,0.0242976,0.0156422,0.0308896,0.0498238,0.0461278,0.031494,0.0535738,0.0579547,0.0393983,0.032383,0.0217556,0.0149369,0.038587,0.0237518,0.0425989,0.0114419,0.0128188,0.0430895,0.060493,0,0,0,0.0121737,0.0253127,0,0
142,0.0406065,0.046658,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388382,0,0.00941857,0.0340092,0,0,0.0139356,0,0,0.0389762,0.0614465,0.0394632,0.0229323,0.0592281,0.036481,0.0621033,0.0835181,0.0604578,0.0617828,0.0632144,0.0332986,0.0428537,0.0322839,0.0381404,0.0125372,0.0179603,0.0165906,0,0.0289067,0.0568885,0.0435569,0,0,0.0140004,0,0,0.0300569,0.0691336,0.0245831,0.0156119,0.0308179,0.0495667,0.0456879,0.0315817,0.0534677,0.0579715,0.0393808,0.0324294,0.0215867,0.0148793,0.0385823,0.0233504,0.0427791,0.0115781,0.0129435,0.0431191,0.0605209,0,0,0,0.012949,0.0259268,0,0
143,0.040546,0.046796,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390248,0,0.00948007,0.0340955,0,0,0.0139384,0,0,0.0390163,0.0614987,0.0398736,0.0229445,0.0591979,0.0365559,0.0625839,0.0836828,0.06005,0.0620472,0.0633621,0.0335743,0.0431456,0.0323957,0.038241,0.0126834,0.0178967,0.016955,0,0.0290141,0.0572851,0.0435498,0,0,0.0141189,0,0,0.0301427,0.0691316,0.0249247,0.0156348,0.0307266,0.0492926,0.0451014,0.0316548,0.0533425,0.0579717,0.0394783,0.0325079,0.0214319,0.0148655,0.0385864,0.0229177,0.0429095,0.0117002,0.0134038,0.0431374,0.0605355,0,0,0,0.0136581,0.0264186,0,0
144,0.040418,0.0469752,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391498,0,0.00954658,0.0337498,0,0,0.0138973,0,0,0.0391062,0.0615913,0.0403049,0.0229752,0.0591587,0.0366711,0.0629788,0.0839411,0.0597039,0.0623335,0.0635739,0.0338669,0.0434517,0.0329418,0.0383095,0.0127618,0.0179045,0.0173378,0,0.0290114,0.0577292,0.0436052,0,0,0.0142859,0,0,0.0301986,0.0691429,0.0253259,0.0157313,0.0306774,0.0490458,0.0444121,0.0317129,0.0532159,0.0579714,0.0395301,0.0325924,0.021205,0.0148776,0.0385591,0.0224306,0.0429805,0.0117871,0.0136493,0.0431451,0.0605579,0,0,0,0.0143397,0.026786,0,0
145,0.0403235,0.0471672,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393595,0,0.00960533,0.0335947,0,0,0.01383,0,0,0.0391921,0.061669,0.040732,0.0230239,0.0591188,0.0367958,0.0633928,0.0842033,0.0594488,0.0626685,0.0638589,0.0342028,0.0438004,0.0337599,0.0383339,0.012737,0.0180132,0.0176564,0,0.0289966,0.0582619,0.0436742,0,0,0.0145832,0,0,0.0301851,0.0691914,0.0257778,0.0159035,0.0306469,0.048803,0.0436698,0.0317334,0.0531217,0.0579861,0.0394886,0.0326644,0.020915,0.0149557,0.0384932,0.0220113,0.0430081,0.0119048,0.0136021,0.0431221,0.0605811,0,0,0,0.0150257,0.0271105,0,0
146,0.0403238,0.0473223,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0394365,0,0.00958821,0.0334193,0,0,0.013757,0,0,0.0393097,0.0617173,0.0411202,0.0230848,0.0591066,0.0369821,0.0638235,0.0844578,0.0592677,0.0630867,0.0642166,0.034632,0.0442375,0.0346764,0.0383178,0.0126979,0.0181649,0.0179332,0,0.0289785,0.0587723,0.0437684,0,0,0.0150447,0,0,0.0300502,0.0692918,0.0261944,0.0160864,0.0306342,0.0486286,0.0429513,0.0317149,0.0530282,0.0580567,0.039433,0.032682,0.020873,0.0150347,0.0384581,0.021652,0.0430008,0.0120037,0.01315,0.0430949,0.060618,0,0,0,0.0156327,0.0273841,0,0
147,0.0403523,0.0474238,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395203,0,0.00956323,0.0332146,0,0,0.0136837,0,0,0.0394618,0.0617453,0.0413711,0.0231846,0.0592004,0.0372663,0.0642092,0.0846661,0.0591217,0.0635851,0.064624,0.0351442,0.0447256,0.035666,0.038314,0.0126944,0.0183176,0.0181659,0,0.0290283,0.0592282,0.0438713,0,0,0.0155243,0,0,0.0299021,0.0694324,0.0265719,0.0162877,0.0305935,0.0484859,0.0421521,0.0317698,0.052948,0.0581123,0.0393895,0.0326952,0.0207983,0.0151381,0.0384709,0.0213979,0.0429911,0.0122041,0.0127398,0.0430808,0.0606624,0,0,0,0.0160462,0.0276193,0,0
148,0.0404205,0.0474999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395205,0,0.00953831,0.0330885,0,0,0.0135396,0,0,0.0395871,0.0617838,0.0414682,0.0233237,0.0593566,0.0375475,0.0645003,0.0847705,0.0589691,0.0640486,0.0650416,0.0356476,0.0451682,0.0365052,0.0383428,0.0126096,0.0185444,0.0183642,0,0.0291215,0.0596116,0.0439323,0,0,0.0157571,0,0,0.0299508,0.0695624,0.0269344,0.0165615,0.0305219,0.0483959,0.0412494,0.0318963,0.0528711,0.0581451,0.0393458,0.032739,0.0208486,0.0152125,0.0384701,0.0211372,0.0429731,0.0123388,0.0126647,0.0431075,0.0607091,0,0,0,0.0162999,0.0278187,0,0
149,0.0405055,0.0475205,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039446,0,0.0094938,0.0329441,0,0,0.0133889,0,0,0.0397025,0.0618456,0.0414188,0.0234765,0.059385,0.0378698,0.0646713,0.0848334,0.0588186,0.0644235,0.0654338,0.0360745,0.0454971,0.0370806,0.0384035,0.0125383,0.0187698,0.0186246,0,0.0291517,0.0598556,0.0439554,0,0,0.0159368,0,0,0.0300532,0.0696687,0.0272611,0.0168949,0.0304483,0.0483824,0.040304,0.0320142,0.052757,0.0581724,0.0393835,0.0327803,0.0209251,0.015229,0.0384511,0.0207958,0.0430081,0.012609,0.0126734,0.043142,0.0607861,0,0,0,0.0163882,0.028008,0,0
150,0.0406095,0.0475144,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392611,0,0.00942427,0.0327888,0,0,0.0132391,0,0,0.0398418,0.0617352,0.0412021,0.023617,0.0591723,0.0382685,0.0647811,0.0848983,0.0587196,0.0647267,0.0657596,0.0364394,0.0457059,0.0373023,0.0384999,0.0125165,0.0189728,0.0188077,0,0.0291252,0.0600227,0.0439704,0,0,0.0160736,0,0,0.0301533,0.0697465,0.0275613,0.0170585,0.0303205,0.0483205,0.0394212,0.0320493,0.0526501,0.0581968,0.0394035,0.0328072,0.0207426,0.0152222,0.0383901,0.0205961,0.0429997,0.0130042,0.0125212,0.0431254,0.0608655,0,0,0,0.0164414,0.0281668,0,0
151,0.0406522,0.0475233,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390785,0,0.00936919,0.0326877,0,0,0.0131035,0,0,0.0399841,0.0614952,0.0408798,0.0237095,0.0591324,0.0387054,0.0648771,0.0850093,0.0586894,0.064968,0.0660362,0.0367273,0.0457943,0.0373296,0.0385595,0.012497,0.019185,0.0188437,0,0.0290301,0.0600519,0.0440022,0,0,0.0161345,0,0,0.0300613,0.0698386,0.0277999,0.0171602,0.0302219,0.0482142,0.038676,0.0320125,0.0525952,0.0582546,0.0393248,0.0327646,0.0207637,0.0151813,0.0383071,0.0205782,0.0429517,0.0133567,0.0120594,0.0430177,0.0609195,0,0,0,0.0164168,0.0282895,0,0
