Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,
9,0,0,0,0,0.0156972,0.0217982,0,0,0,0.0340091,0.0107228,0.00916595,0.0106194,0,0,0.00678726,0,0.0185484,0.00271144,0.0495419,0.0156345,0.0199222,0.00945522,0.019987,0.0135753,0.00425307,0.00740823,0.00486906,0.0519736,0.0167624,0.0202019,0.0108661,0.0126223,0.0344201,0.00767201,0.00812348,0.00202607,0.025579,0.01335,0.0327927,0.0177302,0.0106074,0,0,0.0298685,0,0.0123023,0.0206364,0.0734904,0.0477978,0.0170595,0.0185762,0.0201036,0.0194731,0.0136354,0.0585422,0,0.100634,0.0291996,0,0.0254857,0.0377758,0.0234851,0.0179835,0.00847778,0.0104875,0.0230739,0.00557282,0,0,0,0,0,0
10,0,0,0,0,0.0157641,0.0218796,0,0,0,0.0357307,0.0108456,0.0102819,0.0104314,0,0,0.00661114,0,0.018533,0.00269791,0.0491173,0.0165077,0.0205326,0.00905647,0.0195689,0.0135411,0.00433892,0.00777811,0.00499921,0.0518997,0.0169003,0.0204573,0.0112495,0.0132281,0.0364523,0.00749396,0.00809875,0.00207523,0.0165231,0.0134233,0.0305356,0.017758,0.0108093,0,0,0.0295513,0,0.0122503,0.0204223,0.0737482,0.0460868,0.0165909,0.018068,0.0203096,0.0195127,0.0127011,0.0583151,0,0.0997046,0.0289718,0,0.0239867,0.037406,0.0159594,0.0176652,0.00839201,0.0103994,0.0230355,0.00619618,0,0,0,0,0,0
11,0,0,0,0,0.0156328,0.0217276,0,0,0,0.0376366,0.0110092,0.0115262,0.0104708,0,0,0.00643242,0,0.0184976,0.00267974,0.0487668,0.0173105,0.0211809,0.00858632,0.0192067,0.0133282,0.004763,0.00814026,0.00482491,0.0517555,0.0170939,0.0208185,0.0117007,0.0138492,0.0387267,0.00742457,0.00806257,0.00216938,0.00492099,0.0135423,0.0256372,0.0180125,0.0108571,0,0,0.0291232,0,0.0122206,0.0200374,0.0739067,0.0409789,0.0163092,0.0184254,0.0206091,0.0194466,0.0119788,0.0583633,0,0.0991971,0,0,0.0201826,0.0349681,0.0159034,0.017323,0.00823239,0.0103388,0.0228408,0.00668043,0,0,0,0,0,0
12,0,0,0,0,0.0155038,0.0216889,0,0,0,0.0393605,0.0110991,0.0128398,0.0104489,0,0,0.0064612,0,0.0183961,0.00273585,0.0484121,0.0179079,0.021751,0.00818095,0.0188749,0.0133957,0.00543376,0.00843033,0.00495694,0.0516538,0.0173585,0.0212702,0.0122177,0.0145096,0.0410212,0.00746931,0.00800411,0.00227694,0.00474563,0.0136101,0.0233199,0.0179627,0.0109802,0,0,0.028811,0,0.0121823,0.0197674,0.0742093,0.0390939,0.0159472,0.0185136,0.0208914,0.0193344,0.0113466,0.0578252,0,0.0985197,0,0,0.0188325,0.0355352,0.0188759,0.0170606,0.00812432,0.0102791,0.0227476,0.006966,0,0,0,0,0,0
13,0,0,0,0,0.0154048,0.0215887,0,0,0,0.0409521,0.0111633,0.0143119,0.0101705,0,0,0.00659892,0,0.0183173,0.00287902,0.0480671,0.0183065,0.0220617,0.0079253,0.0182446,0.0136652,0.00560535,0.00867662,0.0054292,0.0516762,0.0176584,0.0218087,0.0127936,0.0152199,0.0433433,0.00767139,0.00793918,0.0024716,0.00953133,0.013645,0.0214793,0.017678,0.0112078,0,0,0.0282944,0,0.0121029,0.019473,0.0746161,0.0375689,0.0154798,0.0178036,0.0210302,0.0190542,0.0103608,0.057035,0,0.0977854,0.0289157,0,0.0188712,0.0371433,0.0210346,0.0167443,0.00798246,0.0101818,0.0225449,0.00710021,0,0,0,0,0,0
14,0,0,0,0,0.0153294,0.0214325,0,0,0,0.0430369,0.0112693,0.016013,0.0103937,0,0,0.00665796,0,0.0183053,0.00295014,0.0477581,0.0186205,0.0225501,0.00784789,0.0176578,0.0138847,0.00572634,0.00889098,0.00603462,0.051802,0.0179035,0.0221514,0.0133703,0.015854,0.046003,0.00786955,0.00792274,0.00259475,0.0158331,0.013698,0.0192107,0.0177017,0.0113632,0,0,0.027794,0,0.0120886,0.0192099,0.0746694,0.0351633,0.0152028,0.0172448,0.021318,0.0187232,0.0093856,0.0564026,0,0.0974163,0.0291713,0,0.0180225,0.0377726,0.0266176,0.0164679,0.00783775,0.0102007,0.0223798,0.007024,0,0,0,0,0,0
15,0,0,0,0,0.0152892,0.0214187,0,0,0,0.0453069,0.0112689,0.0179525,0.0108063,0,0,0.00678301,0,0.0182537,0.00300491,0.0474653,0.0192175,0.0232397,0.00786878,0.0172146,0.0143476,0.00562677,0.00910087,0.00666516,0.0520156,0.0180756,0.0223872,0.013903,0.0164142,0.0486441,0.00799389,0.00789589,0.00259637,0.0207789,0.0136358,0.017712,0.0177375,0.011557,0,0,0.0275326,0,0.0120356,0.0190887,0.0748665,0.0338263,0.0150348,0.0168975,0.0216001,0.0184252,0.00841549,0.0556907,0,0.0970057,0.0296797,0,0.0169908,0.0392118,0.0316901,0.0163128,0.00766036,0.0103297,0.0222776,0.0068999,0,0,0,0,0,0
16,0,0,0,0,0.0154459,0.0216062,0,0,0,0.0476151,0.0112008,0.01966,0.0093266,0,0,0.00685215,0,0.0183536,0.00305548,0.0471292,0.0199538,0.0239449,0.00788072,0.0168696,0.0143234,0.00578604,0.00922667,0.0074082,0.0522348,0.0181997,0.0225218,0.014323,0.0168861,0.0514628,0.00803509,0.00799235,0.0025286,0.0242953,0.0135639,0.0173722,0.0177024,0.0118173,0,0,0.0276509,0,0.0120568,0.0191892,0.0752746,0.0341339,0.014884,0.0173772,0.0218639,0.0182271,0.00738551,0.0547069,0,0.0966352,0.0306772,0,0.016414,0.0411133,0.035365,0.0163781,0.0077414,0.010475,0.0223615,0.00680768,0,0,0,0,0,0
17,0,0,0,0,0.0156689,0.0218566,0,0,0,0.0498623,0.0110897,0.0208619,0.00863203,0,0,0.00680803,0,0.0184543,0.00307259,0.0468173,0.0206505,0.0245522,0.00793184,0.0165529,0.0143791,0.00630071,0.00922692,0.00822308,0.052418,0.0182674,0.0225248,0.0146606,0.0172718,0.0542438,0.0080522,0.00811171,0.00239724,0.0263912,0.0135406,0.0178322,0.0176457,0.0120912,0,0,0.0279906,0,0.0121537,0.0194357,0.0756241,0.0353641,0.0147498,0.0188593,0.0221153,0.0181095,0.00634094,0.0535137,0,0.0965949,0.0317328,0,0.0166331,0.0417706,0.0374964,0.016539,0.0080429,0.0105413,0.022614,0.00688846,0,0,0,0,0,0
18,0,0,0,0,0.0158138,0.0220395,0,0,0,0.0524217,0.010974,0.0221032,0.00813725,0,0,0.00665957,0,0.0184677,0.00302459,0.0464836,0.021391,0.0250363,0.00806453,0.0161573,0.0145577,0.0066007,0.00916485,0.00901375,0.052654,0.0184124,0.0226934,0.0150784,0.0176783,0.0571167,0.00805665,0.00816358,0.00229424,0.0309343,0.0134534,0.0168433,0.0178453,0.0122993,0,0,0.0282377,0,0.0122059,0.0196751,0.0756831,0.0329801,0.0147054,0.019795,0.0223473,0.0180117,0.00509241,0.0523308,0,0.0976735,0.0306961,0,0.0150272,0,0.0408385,0.0166315,0.00825762,0.0105839,0.0228032,0.00709846,0,0,0,0,0,0
