Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,IMU_M,
43,0,0,0,0,0.0152602,0.0074857,0,0,0.0275752,0.00774423,0.0180463,0.00434272,0,0,0.0129415,0,0.0209872,0.00738872,0.0545463,0.0158417,0.026837,0.0161135,0.00443623,0.0150869,0.00901366,0.0159031,0.011499,0.0467296,0.0176815,0.0236089,0.012166,0.0109847,0.0290982,0.0125199,0.010284,0.00528753,0.0542461,0.012611,0.026537,0.00857376,0.0120767,0,0,0.0124645,0,0.0129769,0.00707125,0.0740803,0.0401956,0.0315046,0.00962282,0.003071,0.00483825,0.00644613,0.0524153,0.0102789,0.0142759,0.0212237,0,0.0270503,0.0363282,0.0641439,0.00965267,0.00620909,0.00417869,0.00491026,0.00866706,0,0,0,0,0,0,0
44,0,0,0,0,0.0146773,0.00696218,0,0,0.0265233,0.0079489,0.0157645,0.00513417,0,0,0.0120792,0,0.0207606,0.00678825,0.0547107,0.011705,0.0263025,0.0203129,0.00506602,0.0145685,0.0125038,0.0200214,0.0130153,0.0459144,0.0176072,0.023913,0.0109223,0.011883,0.0275012,0.0116107,0.0101344,0.0052419,0.0568777,0.0124973,0.028273,0.00907412,0.0115539,0,0,0.0120638,0,0.0129937,0.00717393,0.0740708,0.0453374,0.0320554,0.00976414,0.00298937,0.00484324,0.00682491,0.0529718,0.0102177,0.0157597,0.0231645,0,0.0285523,0.0388169,0.0662941,0.00961781,0.00620954,0.00414356,0.00452314,0.00733429,0,0,0,0,0,0,0
45,0,0,0,0,0.0134054,0.0065133,0,0,0.0244155,0.00828234,0.0130632,0.00611433,0,0,0.0111492,0,0.0204654,0.00608615,0.0546399,0.00761946,0.0256474,0.0236067,0.00568436,0.0138984,0.0148092,0.0225981,0.0147323,0.045438,0.0177572,0.0239132,0.0100188,0.0126401,0.0250683,0.0107835,0.00992235,0.00509559,0.0594107,0.0124978,0.0307601,0.00964579,0.0108479,0,0,0.0112052,0,0.0129449,0.00683867,0.0738325,0.0518335,0.0322906,0.00986513,0.00297963,0.00465963,0.00765339,0.0535743,0.0100999,0.0171263,0.0243735,0,0.0300929,0.0404854,0.0678311,0.00928287,0.00603433,0.00405719,0.00417748,0.00661245,0,0,0,0,0,0,0
46,0,0,0,0,0.0131519,0.00642613,0,0,0.0223239,0.00896995,0.010396,0.00703183,0,0,0.0101332,0,0.0200537,0.00512321,0.054703,0.00430846,0.0249762,0.0261067,0.00624977,0.0134976,0.0158076,0.0240348,0.0162495,0.0455834,0.0179628,0.0237044,0.00943533,0.0133348,0.0225247,0.00996831,0.00953808,0.00467785,0.0618703,0.0125126,0.0330287,0.0103871,0.011175,0,0,0.0100615,0,0.0128446,0.00623418,0.0739354,0.057566,0.032412,0.00986008,0.00286116,0.00520005,0.00887481,0.0541733,0.0101072,0.0183134,0.0249055,0,0.0315231,0.0413689,0.0671361,0.00827782,0.00645788,0.00422012,0.00399667,0.00744117,0,0,0,0,0,0,0
47,0,0,0,0,0.0125242,0.00621694,0,0,0.0208722,0.00972657,0.00848991,0.00782901,0,0,0.00924275,0,0.0196939,0.00429169,0.0546633,0.00329934,0.0243957,0.0274129,0.00654563,0.012932,0.0159043,0.024504,0.017117,0.0461332,0.018045,0.0232099,0.00886251,0.0139027,0.0202076,0.00918124,0.00913329,0.00422398,0.0654352,0.0126798,0.0348621,0.0110412,0.0105196,0,0,0.00889276,0,0.0127051,0.00513474,0.0741464,0.0598507,0.0324888,0.0098194,0.00276484,0.00511812,0.0100903,0.0546766,0.0102696,0.0193043,0.024671,0,0.0324643,0.0414383,0.0643145,0.00735793,0.00649813,0.0039747,0.00393359,0.00782642,0,0,0,0,0,0,0
48,0,0,0,0,0.0111696,0.00584757,0,0,0.0203388,0.0104025,0.00723002,0.00852689,0,0,0.00879655,0,0.0193936,0.00381686,0.0544909,0.00364869,0.0239009,0.0281277,0.00676028,0.011769,0.0159718,0.0245814,0.0176853,0.0467569,0.0178465,0.0224101,0.00823681,0.0144189,0.0195306,0.0084842,0.00883504,0.00370847,0.068039,0.0129575,0.0369205,0.0115669,0.00852655,0,0,0.00791288,0,0.0125844,0.00387534,0.0742614,0.0620199,0.0325085,0.00984816,0.00274878,0.00379647,0.0111029,0.0550864,0.0103983,0.0203701,0.0242846,0,0.0332021,0.0414682,0.0619983,0.00693466,0.00619987,0.00337316,0.00403927,0.00730829,0,0,0,0,0,0,0
49,0,0,0,0,0.0106578,0.00533889,0,0,0.0204846,0.0110848,0.00652944,0.00915206,0,0,0.00803714,0,0.0191115,0.0032447,0.0542046,0.00472848,0.0233312,0.0279334,0.00706122,0.0111134,0.0161589,0.0241501,0.0178792,0.047393,0.0170518,0.0209147,0.00754509,0.0149629,0.0189822,0.00767292,0.00852402,0.00317326,0.0744858,0.0131565,0,0.0127701,0.00761986,0,0,0.00661351,0,0.0124912,0.00282348,0.074524,0.0702334,0.0328407,0.0111908,0.00282752,0.0037978,0.0135815,0.0555885,0.010732,0.0234388,0.028271,0,0.0387432,0.0454222,0.0665873,0.00593055,0.00654209,0.00322091,0.00412058,0.00752395,0,0,0,0,0,0,0
50,0,0,0,0,0.00981743,0.00490265,0,0,0.0210547,0.0116561,0.00625996,0.00913316,0,0,0.00750729,0,0.0188407,0.00300256,0.0537122,0.00604102,0.0229717,0.0274229,0.00700409,0.0102698,0.0165025,0.0238782,0.0179005,0.0481232,0.016248,0.0196846,0.00708804,0.0152232,0.0193823,0.00701627,0.00825525,0.00275156,0.0718904,0.0134007,0,0.0131124,0.00679434,0,0,0.00525446,0,0.0124322,0.00191891,0.0747767,0.0742111,0.0326441,0.0119039,0.00287276,0.0034152,0.0150429,0.0560192,0.0115905,0.0252357,0.0309174,0,0.040305,0.045446,0.0638499,0.00506872,0.0068286,0.00309565,0.0039222,0.00768401,0,0,0,0,0,0,0
51,0,0,0,0,0.00949993,0.00493605,0,0,0.0219415,0.0118744,0.00608252,0.00865669,0,0,0.00807747,0,0.0187689,0.00331932,0.0525672,0.00742916,0.0239168,0.0266037,0.00649971,0.00955558,0.0164006,0.0235835,0.0174259,0.0493836,0.0158318,0.0192602,0.00663968,0.0151063,0.02071,0.00719356,0.00816982,0.00261842,0.028135,0.0135377,0,0.0100143,0.00740568,0,0,0.00451144,0,0.012431,0.00168481,0.0735341,0.0449055,0.0309392,0.013988,0.00280761,0.00262499,0.0156872,0.0571009,0.0126874,0.02264,0.0232852,0.0276967,0.0324876,0.031842,0.0209421,0.00473026,0.00687862,0.00312164,0.00350912,0.00831019,0,0,0,0,0,0,0
52,0,0,0,0,0.00836346,0.004308,0,0,0.0233937,0.0122731,0.00651793,0.00843005,0,0,0.00701358,0,0.0184002,0.00283556,0.0528371,0.0083158,0.0234958,0.0266793,0.00619503,0.00849698,0.0168873,0.0239343,0.0177157,0.0494892,0.0160993,0.0198202,0.00671688,0.0149431,0.022078,0.00620518,0.00791922,0.00229257,0.0589217,0.0138554,0.0492023,0.011883,0.00590707,0,0,0.00321189,0,0.012393,0.0011652,0.0753716,0.0737532,0.0311475,0.0117811,0.00224956,0.00240738,0.015235,0.0557955,0,0.0261972,0.0311383,0,0.0376271,0.0443938,0.0519344,0.00375651,0.00711883,0.00294612,0.00339304,0.00741531,0,0,0,0,0,0,0
