Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,IMU_B,IMU_M
123,0,0,0,0,0.0366231,0.0485612,0,0.0201025,0.00910526,0.0163905,0.0147084,0,0,0.0196163,0,0.0204882,0.010039,0.0538443,0.0337542,0.0197177,0.0158797,0.0274637,0.0407533,0.015454,0.0187725,0.0137156,0.0464276,0.0128378,0.0149306,0.00964869,0.00894161,0.038165,0.00502178,0.00801252,0.00692045,0.0157512,0.00774792,0.0222972,0.0120052,0.014712,0,0,0.0584491,0,0.0154708,0.0396788,0.0590138,0.017345,0.0261753,0.0123193,0.0259575,0.0352519,0.00564735,0.0580551,0.0124793,0.00726599,0.00639581,0.0149653,0.022727,0.0125057,0.0114013,0.03334,0.0155039,0.0177829,0.0460645,0.0163557,0,0,0,0,0,0,0
124,0,0,0,0,0.0368326,0.0481809,0,0.0223177,0.00929585,0.0159737,0.0157302,0,0,0.0194151,0,0.0202586,0.00976597,0.0544142,0.0336359,0.0193994,0.0146261,0.0282207,0.0401844,0.0128387,0.0159557,0.0130508,0.0449078,0.0118278,0.0143768,0.00929269,0.00950108,0.0408593,0.00474363,0.00790582,0.00663935,0.015814,0.00771782,0.0215993,0.0134395,0.0150929,0,0,0.0579707,0,0.015572,0.0397744,0.0591869,0.0143437,0.0263049,0.0128549,0.026203,0.0355872,0.00647202,0.0585952,0.0131851,0.00886222,0.00693414,0.0154828,0.0218158,0.0124418,0.0116104,0.0328446,0.0157364,0.0179548,0.0454879,0.0160138,0,0,0,0,0,0,0
125,0,0,0,0,0.0368784,0.0476774,0,0.0242839,0.00954029,0.0150065,0.0167365,0,0,0.0191168,0,0.0201075,0.00937311,0.0549441,0.0325109,0.0190769,0.0137864,0.0289055,0.0397164,0.0127065,0.0156534,0.0131359,0.0439929,0.0111275,0.0141653,0.00921566,0.0100257,0.043055,0.0045801,0.00783178,0.00636757,0.0189727,0.00771612,0.0185777,0.0147414,0.0153062,0,0,0.0571869,0,0.0155605,0.0395431,0.0594048,0.0124324,0.0264106,0.0139047,0.026499,0.0358064,0.00720996,0.0587683,0.0133753,0.0102256,0.00702294,0.0164524,0.0217329,0.0149399,0.0160382,0.0321586,0.015871,0.0180217,0.0449217,0.0157273,0,0,0,0,0,0,0
126,0,0,0,0,0.0367587,0.0472356,0,0.0262463,0.00983256,0.0140147,0.0175654,0,0,0.0186854,0,0.0200482,0.00915258,0.055275,0.0314761,0.0189168,0.0132346,0.0294339,0.0394212,0.0137444,0.0168753,0.0133689,0.0437504,0.010632,0.0141395,0.00908328,0.0105344,0.0450637,0.00460935,0.00781597,0.00615891,0.0214642,0.007695,0.016125,0.0156477,0.0154666,0,0,0.0563005,0,0.0153959,0.0389852,0.0595182,0.0141247,0.0263734,0.0146421,0.0269,0.0360068,0.00819774,0.0589073,0,0.0115526,0.00535879,0.0175727,0.0216783,0.0163042,0.0187712,0.0314609,0.0158382,0.0180062,0.0445207,0.0155384,0,0,0,0,0,0,0
127,0,0,0,0,0.0369939,0.0464961,0,0.0289044,0.0105595,0.0137036,0.0189985,0,0,0.016684,0,0.0196928,0.0083204,0.05576,0.0315225,0.0179676,0.0128141,0.0299508,0.0385506,0.0148619,0.0183404,0.0133422,0.0430849,0.0099621,0.0142382,0.00879362,0.0109504,0.04755,0.00405219,0.00769877,0.00563654,0.0181129,0.00783862,0.0189656,0.018503,0.0166892,0,0,0.0543635,0,0.0150039,0.0374401,0.0605571,0.0109233,0.0258266,0.0151661,0.0263535,0.0362739,0.00852591,0.0581449,0.0176479,0.0116675,0.0115423,0,0.0144994,0.0132319,0.0172327,0.0300198,0.0154507,0.0175769,0.0435585,0.0162446,0,0,0,0,0,0,0
128,0,0,0,0,0.036783,0.0462955,0,0.0306862,0.0107976,0.0134049,0.0192053,0,0,0.0157604,0,0.0196006,0.00828311,0.0556162,0.031516,0.0177937,0.0127243,0.030117,0.0383825,0.015417,0.0193775,0.0130394,0.0429764,0.00973788,0.0145422,0.00833411,0.0112512,0.0491348,0.00437636,0.00769252,0.00546941,0.0198555,0.0079794,0.0182379,0.0191307,0.0169929,0,0,0.0537111,0,0.0148262,0.0367313,0.0605876,0.0122328,0.0256073,0.0157233,0.0265514,0.0361801,0.00948054,0.0584402,0.0183415,0.0131962,0.0128817,0,0.0132979,0.0141292,0.0187638,0.0294354,0.0152422,0.0173287,0.0433611,0.0162448,0,0,0,0,0,0,0
129,0,0,0,0,0.0367515,0.046245,0,0.0319233,0.0109555,0.0131791,0.0192634,0,0,0.0149401,0,0.0195186,0.00831462,0.0554537,0.031095,0.0175053,0.0129876,0.0300916,0.0383524,0.015441,0.0199744,0.0124589,0.04315,0.00990322,0.0149831,0.00814463,0.0113258,0.050187,0.00474672,0.0077536,0.005371,0.021939,0.00814707,0.0171745,0.0195477,0.0172736,0,0,0.0531313,0,0.0146435,0.0361724,0.0607716,0.0121103,0.0253905,0.0163957,0.0266954,0.0358961,0.0105348,0.0587739,0.0189579,0.0148567,0.0147867,0,0.0120416,0.0151198,0.0215409,0.0290486,0.0150051,0.0170033,0.0433807,0.0163184,0,0,0,0,0,0,0
130,0,0,0,0,0.0369547,0.0463456,0,0.0324213,0.0109583,0.0128102,0.0192448,0,0,0.0143424,0,0.0194945,0.00843382,0.0553014,0.0301339,0.0172432,0.0135305,0.0298508,0.0383948,0.0152519,0.0203864,0.0117215,0.0435557,0.0103162,0.0153352,0.00823929,0.0111821,0.0502218,0.00512972,0.00785597,0.00528979,0.024682,0.00824002,0.0163604,0.0196721,0.0175139,0,0,0.0527673,0,0.0144283,0.0358289,0.0609636,0.011685,0.0251385,0.0171406,0.0267698,0.0354665,0.0112592,0.0591751,0.0194128,0.0164717,0.0180714,0,0,0.0164087,0.0255218,0.0288884,0.0148183,0.0167043,0.0435826,0.016502,0,0,0,0,0,0,0
131,0,0,0,0,0.0372845,0.0465536,0,0.0318533,0.0107704,0.0123142,0.0191879,0,0,0.0138916,0,0.0194932,0.0086239,0.0551483,0.0286678,0.0170201,0.0141291,0.0295372,0.038571,0.0149345,0.0208046,0.0111941,0.0439591,0.0108166,0.0154277,0.00843385,0.0108777,0.0490637,0.00547903,0.00798399,0.00515489,0.0263335,0.00831086,0.0147561,0.0196746,0.0177004,0,0,0.0527829,0,0.0142325,0.035706,0.0611262,0.0128691,0.0248705,0.0175536,0.0268445,0.0348853,0.0120254,0.0597165,0.0198621,0.0181271,0.0179878,0,0,0.0177839,0.0280603,0.0290364,0.0147143,0.0164617,0.043807,0.0168437,0,0,0,0,0,0,0
132,0,0,0,0,0.0376462,0.0468051,0,0.030491,0.0104848,0.0118265,0.0189909,0,0,0.0135485,0,0.0195565,0.00872102,0.0550423,0.0269954,0.0170269,0.0145174,0.0292431,0.0389251,0.0143624,0.0211761,0.0110652,0.0443808,0.0113494,0.0152194,0.00861157,0.0105305,0.0469104,0.0056299,0.008122,0.00494795,0.0266876,0.00835617,0.0132887,0.0195908,0.0177031,0,0,0.0530813,0,0.0140993,0.0358141,0.0610244,0.0154568,0.0246455,0.0175791,0.0269479,0.0344106,0.0131597,0.060119,0.0202924,0.0200514,0.0144714,0,0.00831824,0.0193304,0.0295561,0.0294162,0.0145899,0.0162486,0.043989,0.0173254,0,0,0,0,0,0,0
