Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTIB,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,LTHII,LTHIP,RANK,RTHII,RTIBI,RTHIP,IMU_B,RTIBA,x73,
196,0,0,0,0,0.00287214,0.00433759,0,0,0.0512239,0.0121631,0.0208685,0.00496875,0,0,0.00778384,0,0.0186443,0.00307959,0.0489738,0.0204761,0.0266156,0.0162337,0.00295356,0.00883989,0.0106297,0.0160928,0.00930102,0.0126366,0.0128284,0.0275435,0.0600247,0.00862313,0.00769586,0.00157704,0.0165891,0.012317,0.00584937,0.00557213,0,0,0.00421031,0,0.0128271,0.00354039,0.0661979,0.0487156,0.0285771,0.0135018,0.00858106,0.00253231,0.010049,0.053366,0.0612639,0,0.030255,0.00573083,0.00432881,0.00461379,0.00524682,0.0044609,0,0,0,0,0,0.0163644,0.0497429,0.0240419,0.00456247,0.0289853,0,0,0.0167255,0,0
197,0,0,0,0,0.00264987,0.00407348,0,0,0.045871,0.0123104,0.0193969,0.00525391,0,0,0.00772688,0,0.018812,0.00305093,0.0499011,0.018534,0.0266246,0.0143179,0.00278565,0.00897828,0.0106996,0.0156305,0.00818347,0.0119773,0.0126558,0.026867,0.0531742,0.00884696,0.00770924,0.00169144,0.0166507,0.0121755,0.00593574,0.00512078,0,0,0.00413099,0,0.0128504,0.00361866,0.0664169,0.0483474,0.0287386,0.0135998,0.00873077,0.00257298,0.0107193,0.0526683,0.0612569,0,0.0307615,0.00527517,0.00468009,0.00488095,0.00516272,0.00408177,0,0,0,0,0,0.0148529,0.0486542,0.0239549,0.00484816,0.0293367,0,0,0.016157,0,0
198,0,0,0,0,0.00263541,0.00384626,0,0,0.0401204,0.0123677,0.0171956,0.00550526,0,0,0.00783977,0,0.0189375,0.00314099,0.0508537,0.0162508,0.0267713,0.0115089,0.00254231,0.00930668,0.0103619,0.0142839,0.00736307,0.0114048,0.0121478,0.0261773,0.0461643,0.00908791,0.0077203,0.00176261,0.0163041,0.0120471,0.00593907,0.00466647,0,0,0.00428186,0,0.0128797,0.00379701,0.0668103,0.0471063,0.0288763,0.0136184,0.00880972,0.00276803,0.0114571,0.0517611,0.061234,0,0.0310522,0.00501901,0.0049808,0.00522752,0.00505013,0.00370465,0,0,0,0,0,0.012598,0.0475493,0.0234468,0.00619281,0.0294149,0,0,0.0156662,0,0
199,0,0,0,0,0.00290643,0.00361514,0,0,0.034341,0.0123292,0.0146286,0.00538972,0,0,0.00812617,0,0.0190158,0.00318173,0.0517739,0.0136822,0.0271001,0.00789326,0.00225133,0.00969785,0.00944812,0.0120418,0.00719417,0.0110924,0.0114526,0.0253613,0.0391668,0.00933442,0.00777265,0.00174969,0.0162501,0.0119564,0.005749,0.00436129,0,0,0.00461545,0,0.0129664,0.00405242,0.0671572,0.0462459,0.0289398,0.0140491,0.00878647,0.00293223,0.0122953,0.0510541,0.0606486,0,0.0313404,0.00484764,0.00526767,0.00565821,0.00488481,0.00341594,0,0,0,0,0,0.0101128,0.0464296,0.0231751,0.0079728,0.0294765,0,0,0.0152812,0,0
200,0,0,0,0,0.00326343,0.0033925,0,0,0.028495,0.0122643,0.0115941,0.00484504,0,0,0.0085011,0,0.0191329,0.00332105,0.0527075,0.0114403,0.0276138,0.00454724,0.00194279,0.0100742,0.00800264,0.00906797,0.00789647,0.0112611,0.0107457,0.0243969,0.0327851,0.00969875,0.00784541,0.00175859,0.0165575,0.0118559,0.00529349,0.00426667,0,0,0.00499878,0,0.0130647,0.00438645,0.0673563,0.0458086,0.0288756,0.0144893,0.00865386,0.00292203,0.0129565,0.050596,0.06009,0,0.0317304,0.00495697,0.00555547,0.00588037,0.00469392,0.00323699,0,0,0,0,0,0.00807287,0.0453944,0.0229596,0.00926466,0.0294096,0,0,0.0148875,0,0
201,0,0,0,0,0.00363001,0.0032072,0,0,0.0232556,0.0121387,0.00859249,0.00397807,0,0,0.0088771,0,0.019251,0.0035409,0.0534454,0.0112284,0.0283037,0.00641332,0.00154593,0.0104588,0.00705798,0.00693754,0.00913609,0.0117469,0.00978815,0.0234447,0.0278937,0.00996321,0.00791583,0.00177121,0.0166516,0.011677,0.00450816,0.00406593,0,0,0.00544762,0,0.0130508,0.00481318,0.0676256,0.0453174,0.0287777,0.0148591,0.00839132,0.00302229,0.0136699,0.0498655,0.0592807,0,0.0321679,0.00505732,0.00572915,0.00606327,0.00452344,0.00321509,0,0,0,0,0,0.00842559,0.0446254,0.0226456,0,0.0291154,0,0,0.0149717,0,0
202,0,0,0,0,0.00408792,0.00299367,0,0,0.0190274,0.0118922,0.00763008,0.00328618,0,0,0.00905124,0,0.019299,0.00374646,0.0539299,0.0144421,0.0293362,0.0120632,0.00135607,0.0108176,0.00835735,0.00917798,0.0105633,0.0122821,0.00859435,0.0223787,0.0247746,0.0102964,0.00802264,0.00173456,0.0165488,0.0114683,0.0040148,0.00377595,0,0,0.00588762,0,0.0129789,0.00523339,0.0675536,0.0451424,0.0282265,0.0151683,0.00783516,0.00330306,0.0138546,0.0495872,0.0596213,0,0.0320759,0.00512046,0.00588621,0.0062174,0.00431486,0.00345603,0,0,0,0,0,0.0116844,0.0445954,0.0225262,0.0109703,0.0292575,0,0,0.0149209,0,0
203,0,0,0,0,0.00428783,0.00292293,0,0,0.01639,0.0117351,0.00932965,0.00292178,0,0,0.00925529,0,0.0193865,0.00385892,0.0544002,0.0196768,0.030442,0.0180039,0.00139146,0.0109954,0.0119708,0.0147329,0.0118636,0.0128915,0.00754128,0.0211096,0.0234358,0.0105868,0.00811977,0.00159011,0.0165371,0.0113398,0.00322556,0.00360509,0,0,0.0063458,0,0.0130273,0.00559349,0.0676552,0.0447278,0.0276408,0.0152494,0.00726657,0.0035267,0.0141978,0.0492737,0.0592226,0,0.0315965,0.00539087,0.00605204,0.00641073,0.00423788,0.00379391,0,0,0,0,0,0.0161554,0.0452343,0.0221983,0.0116072,0.0289886,0,0,0.0152527,0,0
204,0,0,0,0,0.00435777,0.00295909,0,0,0.0148507,0.0116276,0.0119746,0.00331145,0,0,0.00947344,0,0.0194794,0.00384141,0.0546234,0.02522,0.0315262,0.0235462,0.00159641,0.0110595,0.016961,0.0213751,0.0129415,0.0137051,0.00628778,0.0197203,0.023034,0.0109367,0.00819029,0.0015245,0.0163294,0.0112381,0.0026668,0.00369349,0,0,0.00670086,0,0.0131158,0.00581756,0.0676623,0.0442832,0.0269305,0.0150742,0.00675993,0.00371399,0.0144627,0.0490009,0.0589578,0,0.0312326,0.00561607,0.00626797,0.0066065,0.00421848,0.00416703,0,0,0,0,0,0.0204755,0.0462797,0.0218464,0.0121504,0.0286117,0,0,0.0156143,0,0
205,0,0,0,0,0.00336645,0.00308925,0,0,0.0166856,0.0113518,0.0161572,0.00415127,0,0,0.0103324,0,0.0195756,0.00440517,0.0546283,0.0308617,0.0325124,0.0276292,0.00195505,0.0107212,0.022335,0.0275477,0.0145143,0.0153934,0.0048372,0.0166431,0.026265,0.0117728,0.00831628,0.00161183,0.0158011,0.0114034,0.00254,0.00328413,0,0,0.00816911,0,0.0131214,0.00640811,0.0676148,0.0436188,0.0261665,0.0146344,0.00638758,0.00490536,0.0147009,0.0486956,0.0588005,0,0.0312419,0.00769948,0.00565807,0.00643318,0.00415028,0.00372225,0,0,0,0,0,0.0237041,0.0475558,0.0215238,0.0124784,0.0282909,0,0,0.0159772,0,0
206,0,0,0,0,0.00344704,0.00319667,0,0,0.0282385,0.0113239,0.026592,0.00505751,0,0,0.0103668,0,0.0195964,0.00440784,0.0545493,0.0402841,0.033258,0.0294823,0.00232651,0.0106191,0.0272298,0.0320389,0.0181365,0.0200793,0.0100525,0.00949406,0.0408781,0.0116669,0.00833672,0.0017506,0.015668,0.0113178,0.00271177,0.00311669,0,0,0.00816707,0,0.0132542,0.00660929,0.0676079,0.0431231,0.0257578,0.0142526,0.0059959,0.00494082,0.014879,0.0484738,0.0586891,0,0.0312824,0.00750432,0.00592319,0.00668817,0.00432633,0.00380293,0,0,0,0,0,0.026078,0.0488256,0.0212007,0.0127209,0.027896,0,0,0.0162876,0,0
207,0,0,0,0,0.00568152,0.00316218,0,0,0.0395284,0.0114154,0.0357575,0.00575327,0,0,0.00963129,0,0.0195768,0.00365537,0.0543634,0.0487581,0.0337387,0.0312516,0.00263836,0.0110657,0.0314101,0.036212,0.0212005,0.0242291,0.0160036,0.00515592,0.0516958,0.0112002,0.00825422,0.0015826,0.015667,0.0110275,0.00305117,0.00491995,0,0,0.00775062,0,0.0133691,0.00700805,0.0675424,0.0427233,0.0252066,0.0138646,0.00549025,0.00470597,0.0148813,0.0484219,0.0587188,0,0.0312923,0.00570798,0.00688772,0.00729656,0.00469946,0.00562607,0,0,0,0,0,0.0277509,0.0499724,0.021043,0.0127222,0.0275064,0,0,0.0166064,0,0
208,0,0,0,0,0.00392506,0.00328143,0,0,0.0469014,0.0111383,0.0417341,0.00609958,0,0,0.0104297,0,0.019506,0.00427627,0.054294,0.0538027,0.033969,0.0323944,0.00301324,0.0102781,0.0337953,0.0386134,0.0226199,0.026432,0.0194709,0.00403485,0.058735,0.0116834,0.00837831,0.0017887,0.0154103,0.0110399,0.00342445,0.00288341,0,0,0.00853935,0,0.0132662,0.00736391,0.0676108,0.0416544,0.0250844,0.0135029,0.00566855,0.00498867,0.0148502,0.0483477,0.0585757,0,0.0312517,0.00739852,0.00638138,0.00719348,0.00461331,0.00392314,0,0,0,0,0,0.028439,0.0505656,0.0206391,0.012682,0.0270709,0,0,0.0167772,0,0
209,0,0,0,0,0.0042964,0.00333483,0,0,0.0489946,0.0110501,0.0425455,0.00630108,0,0,0.0104624,0,0.0194445,0.00423171,0.0543696,0.0536889,0.0339781,0.0328635,0.0032174,0.0100955,0.0343096,0.039446,0.0223429,0.0261968,0.0194157,0.00419762,0.0598748,0.0117058,0.00834706,0.00177496,0.0152533,0.0108779,0.00362978,0.00313995,0,0,0.00900309,0,0.0132913,0.00779777,0.0675945,0.0409822,0.0249856,0.0130005,0.00577979,0.00497297,0.0147355,0.0484935,0.0587143,0,0.0313189,0.00758778,0.00665623,0.00743854,0.00475958,0.00381011,0,0,0,0,0,0.0284722,0.050168,0.0203912,0.0123052,0.0267499,0,0,0.0168758,0,0
210,0,0,0,0,0.0044572,0.00350516,0,0,0.0457185,0.0110422,0.0386672,0.00620225,0,0,0.0105528,0,0.0194111,0.00428349,0.054644,0.0478872,0.033904,0.0326597,0.00318385,0.0100611,0.0337188,0.0391266,0.0211659,0.0240445,0.0166268,0.00554388,0.0552567,0.0115707,0.00827622,0.00179794,0.0150947,0.010695,0.00360076,0.0031088,0,0,0.00962562,0,0.0133353,0.00834119,0.067564,0.04041,0.0251447,0.0123301,0.00597422,0.00497001,0.0144127,0.0487173,0.0590372,0,0.0311567,0.00790523,0.00698051,0.00775681,0.00506448,0.00361129,0,0,0,0,0,0.0276306,0.0491347,0.0202587,0.0131538,0.0265672,0,0,0.0167952,0,0
211,0,0,0,0,0.00439677,0.00387011,0,0,0.0379751,0.0109824,0.0310291,0.00588325,0,0,0.010644,0,0.0193471,0.00432607,0.05507,0.0381122,0.0336162,0.0318157,0.00322941,0.0101631,0.0322805,0.0382039,0.0192405,0.0205187,0.0119946,0.0089897,0.0454692,0.0114379,0.00826864,0.00185234,0.0151614,0.0105895,0.00328963,0.00297753,0,0,0.0103477,0,0.01353,0.00897959,0.0677645,0.0388571,0.0257671,0.0114981,0.00633617,0.00508124,0.0141747,0.0486519,0.0581022,0,0.0306455,0.00837997,0.0073238,0.00812969,0.00555759,0.00333191,0,0,0,0,0,0.0259288,0.0476908,0.0196385,0,0.0258542,0,0,0.0170193,0,0
212,0,0,0,0,0.00464453,0.00408498,0,0,0.0276453,0.0109535,0.0215347,0.00559813,0,0,0.0110094,0,0.0192828,0.00454075,0.0553459,0.0282319,0.0330959,0.0302907,0.00333661,0.010573,0.0304708,0.0369153,0.0167884,0.0160849,0.00749525,0.013632,0.0351257,0.011882,0.00826087,0.00182546,0.0149971,0.0105356,0.00292674,0.00407241,0,0,0.0118574,0,0.0135992,0.0100165,0.0677186,0.0376212,0.0263638,0.0103276,0.00655971,0.00590812,0.0132242,0.0490114,0.0581626,0,0.0294136,0.00904685,0.00780834,0.00845491,0.00611725,0.0037261,0,0,0,0,0,0.0236656,0.0463686,0.0193718,0,0.0255905,0,0,0.0169586,0,0
213,0,0,0,0,0.00404401,0.00468018,0,0,0.0224068,0.0109374,0.0147321,0.00538042,0,0,0.0115902,0,0.0193179,0.00482513,0.0555222,0.0232642,0.0325322,0.0279428,0.00330075,0.0107673,0.0281458,0.0351118,0.013824,0.0113946,0.00678461,0.0178017,0.0274183,0.0123289,0.00828279,0.00204381,0.0148034,0.0103554,0.00276751,0.00363886,0,0,0.0129598,0,0.0136193,0.0107866,0.0678677,0.0348387,0.0270302,0.00927548,0.00685759,0.00612339,0.011831,0.0493629,0.0581535,0,0.029142,0.00999481,0.00808157,0.00873707,0.00658042,0.00315939,0,0,0,0,0,0.0214214,0.0449535,0.0186219,0,0.0251074,0,0,0.0168524,0,0
214,0,0,0,0,0.00577602,0.00457385,0,0,0.0206454,0.011135,0.0140463,0.0051077,0,0,0.0116504,0,0.0192371,0.00445665,0.055265,0.0202601,0.0317937,0.0246522,0.00305568,0.0118794,0.0247078,0.0316806,0.0117076,0.0087325,0.00701519,0.0183934,0.0268145,0.0125505,0.00814278,0.00212361,0.0148038,0.00982178,0.00286111,0.00510557,0,0,0.0132023,0,0.013811,0.0114363,0.0681242,0.0303494,0.0276832,0.00847616,0.00673459,0.00798018,0.00991603,0.0496905,0.0581779,0,0.0295115,0.00876022,0.00927522,0.00968574,0.00727251,0.0043142,0,0,0,0,0,0.0198312,0.0435604,0.0169233,0,0.0240591,0,0,0.0170582,0,0
215,0,0,0,0,0.00444746,0.0051934,0,0,0.017687,0.0109974,0.0128588,0.00530395,0,0,0.0128381,0,0.0192764,0.00512248,0.0545094,0.0174933,0.0313762,0.0216821,0.00283866,0.0120028,0.0208696,0.0275045,0.0100357,0.00831871,0.00741462,0.0179568,0.0234724,0.0134902,0.00819213,0.00248028,0.0159192,0.00981918,0.00335749,0.00425771,0,0,0.0151442,0,0.0139514,0.0124037,0.068793,0.0221373,0.0284154,0.00770783,0.0065071,0.00803076,0.0074963,0.0497749,0.0585226,0,0.0306597,0.0107244,0.00932884,0.00994187,0.00785974,0.00346341,0,0,0,0,0,0.0188271,0.0422471,0.0135999,0,0.0223263,0,0,0.018092,0,0
216,0,0,0,0,0.00459975,0.00528345,0,0,0.0152901,0.0109722,0.0112069,0.00581032,0,0,0.0135343,0,0.01926,0.00533267,0.0538235,0.0150401,0.0310996,0.0182711,0.00258388,0.0122193,0.0168542,0.0224408,0.00955355,0.00943845,0.00816632,0.0170849,0.0206099,0.0140853,0.00813777,0.0026844,0.0175274,0.00968288,0.00396829,0.00486634,0,0,0.0166033,0,0.0142076,0.0132173,0.0696507,0.013779,0.0290297,0.00696188,0.00620187,0.00918516,0.00493572,0.0500139,0.0597989,0,0.0304035,0.011394,0.00977649,0.0103877,0.00830477,0.00380156,0,0,0,0,0,0.0179715,0.0415474,0.0106081,0,0.0209222,0,0,0.0196676,0,0
217,0,0,0,0,0.00474889,0.00527252,0,0,0.0148541,0.0109657,0.0104686,0.00604447,0,0,0.0139173,0,0.0192089,0.00551014,0.0538112,0.0130787,0.0309073,0.0146031,0.0022367,0.0122798,0.0134659,0.0175924,0.00919775,0.0102923,0.00844424,0.0166793,0.019375,0.0144066,0.00808827,0.00285102,0.018838,0.00953485,0.0046861,0.00521236,0,0,0.0176636,0,0.0142483,0.0137512,0.0703089,0.00976802,0.0296678,0.00641103,0.00602537,0.0100264,0.00302544,0.0509583,0.0616319,0,0.0301336,0.0118483,0.0100257,0.0105563,0.0086277,0.0040353,0,0,0,0,0,0.0170574,0.0415465,0.00992059,0,0.0201689,0,0,0.0212668,0,0
218,0,0,0,0,0.00486212,0.00526037,0,0,0.017345,0.0109149,0.0102843,0.00592245,0,0,0.013976,0,0.0191559,0.00579223,0.0545756,0.0102716,0.0308812,0.0116074,0.00184703,0.0121628,0.0105904,0.0127429,0.00789278,0.0106767,0.00741099,0.0167064,0.020918,0.0145079,0.00808857,0.00297182,0.0184691,0.00941802,0.0050974,0.00550501,0,0,0.0178007,0,0.0141486,0.013821,0.0707958,0.0126418,0.0300779,0.00703594,0.00585264,0.0102195,0.00137489,0.0511672,0.0643964,0,0.029428,0.0119448,0.0101032,0.0104632,0.00870726,0.00409933,0,0,0,0,0,0.0156586,0.0419086,0.0115765,0,0.0206023,0,0,0.0222956,0,0
219,0,0,0,0,0.00459147,0.00549494,0,0,0.0199889,0.0108579,0.00995033,0.00585962,0,0,0.0139034,0,0.0191575,0.00596515,0.0554769,0.00703451,0.0310551,0.0106174,0.00167092,0.0119509,0.00780674,0.00938972,0.00673921,0.0106667,0.00587346,0.0168643,0.0228992,0.0142916,0.00813485,0.00298132,0.0182313,0.00952722,0.00484482,0.00581773,0,0,0.0175214,0,0.0142377,0.013712,0.0711283,0.0154195,0.0299762,0,0.00564225,0.00962297,0.00211297,0.0516172,0.0661726,0,0.0286402,0.0121827,0.00995827,0.0102363,0.00875807,0.0040563,0,0,0,0,0,0.0135278,0.04213,0.0134714,0,0.0212361,0,0,0.0228019,0,0
220,0,0,0,0,0.00405552,0.00597186,0,0,0.0201361,0.0107564,0.00900811,0.00480346,0,0,0.0139177,0,0.0192247,0.00600334,0.0564584,0.0044225,0.0305386,0.0110699,0.00258147,0.0116089,0.00620081,0.00952443,0.00581019,0.010114,0.00433947,0.0172365,0.0224906,0.0139642,0.0081914,0.00284993,0.0178151,0.00961409,0.00649275,0.00588219,0,0,0.0173909,0,0.0142804,0.013857,0.071729,0.0183533,0.0312462,0.00832803,0.00561917,0.00909229,0.00225457,0.0519277,0.0688873,0,0.0267559,0.0127547,0.00986072,0.0100327,0.00905727,0.00384455,0,0,0,0,0,0.0111376,0.0414155,0.0148389,0,0.0220531,0,0,0.0241144,0,0
221,0,0,0,0,0.00286129,0.00709708,0,0,0.0193235,0.0109798,0.00766638,0.0035586,0,0,0.0130811,0,0.0191515,0.00542889,0.0580018,0.00296849,0.0285674,0.0128388,0.00377293,0.0109912,0.00827095,0.0123903,0.00550083,0.0100545,0.00363195,0.0176641,0.020889,0.0129408,0.00814177,0.00251489,0.0292582,0.00972985,0.0116406,0.0053925,0,0,0.0164877,0,0.0140061,0.0135998,0.0727527,0.0313909,0.0341609,0.00995266,0.00634405,0.00832684,0.00550578,0.0523924,0.0673954,0,0.0357443,0.0130781,0.00954002,0.00961995,0.0102541,0.00310481,0,0,0,0,0,0.0101205,0.0396695,0.0250918,0,0.0242355,0,0,0,0,0
222,0,0,0,0,0.00280587,0.00702936,0,0,0.0186955,0.0112717,0.00571479,0.00387174,0,0,0.0125842,0,0.0190805,0.00495262,0.0583412,0.00308782,0.027959,0.0146156,0.00409447,0.0108109,0.00974648,0.0146787,0.00606209,0.010829,0.00275516,0.0175857,0.0199026,0.0122936,0.00809568,0.00231726,0.0308343,0.00952724,0.0124263,0.00528395,0,0,0.0138474,0,0.0139145,0.0127052,0.0728667,0.0379043,0.0343224,0.0108018,0.00625559,0.00844883,0.0061771,0.0529621,0.0687842,0,0.0372597,0.0112483,0.0100162,0.00983064,0.0102051,0.00322406,0,0,0,0,0,0.00959523,0.0393035,0.0276653,0,0.0260541,0,0,0,0,0
223,0,0,0,0,0.00255089,0.00734098,0,0,0.0172366,0.0114066,0.00411628,0.00435163,0,0,0.0119574,0,0.0190911,0.00472091,0.0582081,0.00409976,0.0274857,0.0152966,0.0042021,0.0103942,0.00970623,0.0145559,0.00690355,0.0114141,0.00258285,0.0173658,0.0181843,0.0118265,0.00812147,0.00235857,0.0335516,0.00967309,0.0128228,0.00523554,0,0,0.0123053,0,0.0139239,0.0119831,0.0729385,0.0450516,0.0341798,0.0113757,0.0060934,0.00780806,0.00732605,0.0531648,0.0704759,0,0.0368281,0.0108106,0.00976434,0.00974809,0.0103105,0.00318825,0,0,0,0,0,0.00866918,0.0394604,0.0314096,0,0.0282158,0,0,0,0,0
224,0,0,0,0,0.00280554,0.00760897,0,0,0.016544,0.0114964,0.00337643,0.0048256,0,0,0.0112557,0,0.0189951,0.00447108,0.0576836,0.00511417,0.0271218,0.0159247,0.00429695,0.00992119,0.00940211,0.0140507,0.00753173,0.0118189,0.00269578,0.0172541,0.0174772,0.011269,0.00808793,0.00238088,0.0367303,0.00991761,0.0130002,0.00519999,0,0,0.0110883,0,0.0141227,0.0111096,0.0729985,0.0524751,0.0338914,0.0117098,0.00589982,0.00716109,0.00886509,0.0530304,0.0716589,0,0.0338927,0.0103828,0.00949103,0.00973215,0.0103446,0.00318062,0,0,0,0,0,0.00841817,0.0399488,0.0344832,0,0.0306565,0,0,0,0,0
225,0,0,0,0,0.00370014,0.00749936,0,0,0.016557,0.0118481,0.00347523,0.00499798,0,0,0.0104791,0,0.018876,0.00405291,0.0568358,0.00575349,0.0268085,0.0159003,0.00452153,0.00993625,0.00898449,0.0135273,0.00767481,0.0115055,0.00311957,0.017245,0.0164928,0.0106184,0.00795108,0.00240218,0.0392206,0.00999289,0.0131425,0.00512108,0,0,0.0102909,0,0.0139955,0.0102738,0.0731321,0.0586396,0.033492,0.0121783,0.00552474,0.00747779,0.010521,0.0532048,0.0720373,0,0.0300056,0.00975313,0.00938002,0.00950786,0.0104215,0.00329823,0,0,0,0,0,0.00841543,0.0406149,0.0379574,0,0.032189,0,0,0,0,0
226,0,0,0,0,0.00411465,0.00752038,0,0,0.016603,0.0121348,0.00394778,0.00499134,0,0,0.0100012,0,0.0187549,0.0039779,0.0559232,0.0060168,0.0265817,0.0154767,0.00438175,0.00955238,0.00858578,0.0132683,0.00766439,0.0110552,0.00380452,0.0172124,0.0163793,0.00998727,0.00784847,0.00250418,0.0390985,0.00989674,0.0129344,0.00526504,0,0,0.00913222,0,0.0134626,0.00905151,0.0733606,0.0628526,0.0330142,0.0130014,0.0053461,0.0070401,0.0121336,0.0538424,0.0718116,0,0.0282338,0.00906426,0.00917792,0.00900005,0.0102543,0.00379155,0,0,0,0,0,0.00854701,0.0413105,0.0405441,0,0.0327936,0,0,0,0,0
227,0,0,0,0,0.00453239,0.00753231,0,0,0.0167372,0.0123098,0.00458728,0.00493064,0,0,0.00937775,0,0.0186058,0.00388731,0.0551557,0.00637508,0.0263496,0.0145209,0.0040601,0.00905924,0.00814022,0.01274,0.00765025,0.0108086,0.00446084,0.0171052,0.0166511,0.00934551,0.0077501,0.00259947,0.0372543,0.00982754,0.012394,0.00561899,0,0,0.00790048,0,0.0128874,0.00794987,0.0734983,0.0648438,0.0325403,0.0144326,0.0052836,0.00635857,0.0135414,0.0546778,0.0708911,0,0.0271825,0.0080859,0.00883843,0.00823116,0.00995562,0.00441777,0,0,0,0,0,0.00851075,0.0418557,0.0417183,0,0.0326857,0,0,0,0,0
228,0,0,0,0,0.00511964,0.00753199,0,0,0.0171317,0.0123578,0.00510349,0.00483137,0,0,0.00874252,0,0.0184496,0.00375976,0.0545894,0.00659325,0.0262007,0.0132815,0.0036964,0.00840203,0.00768024,0.0118055,0.0076847,0.0107259,0.00494484,0.0169272,0.0172172,0.00884411,0.00768375,0.00258522,0.0342648,0.0099905,0.0117548,0.00607897,0,0,0.00702722,0,0.0126437,0.00727964,0.0734927,0.0651816,0.0319546,0.015753,0.00525104,0.00562204,0.0147988,0.0551406,0.0708226,0,0.0246452,0.00711168,0.00856467,0.00728939,0.00960173,0.0049575,0,0,0,0,0,0.0080915,0.0423183,0.0422695,0,0.0328839,0,0,0,0,0
229,0,0,0,0,0.00561692,0.00749516,0,0,0.0178931,0.012354,0.00538138,0.00460892,0,0,0.0082703,0,0.0183504,0.00361666,0.0542614,0.00650418,0.0262184,0.0120999,0.00347604,0.0076655,0.00727784,0.0107841,0.00789628,0.0108853,0.00515793,0.0167338,0.0180748,0.00838537,0.00766206,0.00257296,0.0306205,0.0102186,0.0111956,0.00645725,0,0,0.00645206,0,0.0126272,0.00681636,0.0734106,0.0646377,0.0313968,0.0169396,0.0052441,0.00497993,0.0158088,0.055665,0.0715775,0,0.0207704,0.00652711,0.00830429,0.0068422,0.00923575,0.00535026,0,0,0,0,0,0.00749362,0.042676,0.0426715,0,0.0334847,0,0,0,0,0
230,0,0,0,0,0.00660522,0.00792985,0,0,0.0183703,0.0121459,0.00559277,0.00413836,0,0,0.00853493,0,0.0183121,0.00379942,0.0541976,0.0062396,0.0264283,0.010846,0.00321648,0.00647918,0.00673159,0.00970577,0.0082206,0.0110043,0.00530022,0.0165023,0.018853,0.00812439,0.00772711,0.00250932,0.0259563,0.0106998,0.0111581,0.00735536,0,0,0.00730446,0,0.0125873,0.00715715,0.073288,0.0624693,0.0311082,0.016737,0.00545019,0.00387463,0.0165764,0.0557669,0.0740704,0,0.0154747,0.00845405,0.00673842,0.00624423,0.00904217,0.00612776,0,0,0,0,0,0.0066863,0.0428821,0.0416698,0.0217323,0.0346324,0,0,0,0,0
231,0,0,0,0,0.00620322,0.00746363,0,0,0.0182314,0.0121791,0.00575746,0.00354732,0,0,0.00783124,0,0.0181973,0.00326156,0.0542559,0.00570761,0.0269871,0.00883725,0.00267329,0.00595976,0.00558963,0.00802306,0.00843648,0.0106344,0.00537896,0.0162687,0.0185386,0.00731988,0.00765282,0.00240612,0.0234255,0.0106503,0.0107397,0.00685349,0,0,0.00641463,0,0.012499,0.00659027,0.0729316,0.0625253,0.0304992,0,0.00571897,0.00414789,0.0170326,0.0563274,0.074366,0,0.0126659,0.00666407,0.00723821,0.00629646,0.00872137,0.00583011,0,0,0,0,0,0.00529254,0.0431238,0.0421025,0.0232074,0.0352238,0,0,0,0,0
232,0,0,0,0,0.00668607,0.00748769,0,0,0.0176812,0.0120628,0.00561688,0.003088,0,0,0.00766927,0,0.0181545,0.00344942,0.0542547,0.00516105,0.0276383,0.00689155,0.00258742,0.00488414,0.00473249,0.00661159,0.00853662,0.010058,0.00537918,0.0162117,0.0185064,0.00675253,0.00769216,0.00235493,0.0209976,0.0108038,0.0103264,0.00730013,0,0,0.00589252,0,0.0124541,0.00620373,0.0725473,0.0607193,0.0299431,0,0.00582341,0.00379852,0.0170131,0.0564008,0.0754677,0,0.0125792,0.00609638,0.00710046,0.00606595,0.00841814,0.00613558,0,0,0,0,0,0.00404991,0.0433435,0.0416943,0.0231562,0.0352719,0,0,0,0,0
233,0,0,0,0,0.0074573,0.0072956,0,0,0.0182296,0.0120155,0.00515286,0.00259504,0,0,0.00715464,0,0.0180635,0.0033442,0.0540794,0.00489278,0.028304,0.00599893,0.00355914,0.00418757,0.00454509,0.00635751,0.00856518,0.00984587,0.00502091,0.0162817,0.0195354,0.00614367,0.00764792,0.00225952,0.0186015,0.0109117,0.0100853,0.00728536,0,0,0.00551047,0,0.0124216,0.00579055,0.0722771,0.0592277,0.029421,0,0.00569116,0.00380062,0.0166252,0.0561882,0.0758106,0,0.0106163,0.00541036,0.00711306,0.00581647,0.00816124,0.00620052,0,0,0,0,0,0.00347895,0.0436548,0.0410812,0.0230392,0.0349101,0,0,0,0,0
