Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTIB,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,LTHII,LTHIP,RANK,RTHII,RTIBI,RTHIP,IMU_B,RTIBA,x73,
172,0,0,0,0,0.00932377,0.00956817,0,0,0.0901441,0.0136515,0.0387501,0.00275726,0,0,0.00235554,0,0.0170142,0.000886097,0.036534,0.0157436,0.0329257,0.0271279,0.00420184,0.00318376,0.0211567,0.0218336,0.0102933,0.0174989,0.0155402,0.0271087,0.101791,0.00284865,0.00638496,0.00265308,0.0306683,0.0132187,0.0077636,0.010938,0,0,0.00167574,0,0.0127362,0.0028419,0.0716727,0.0339165,0.0243421,0.0119022,0.000873372,0.00528751,0.00701747,0.0452149,0.0204534,0,0.0298103,0.00175991,0.00252439,0.00363917,0.00835893,0.00902996,0,0,0,0,0,0.0329271,0.0670838,0.0259415,0,0.0212136,0.081377,0,0.0253299,0,0
173,0,0,0,0,0.00942067,0.00970586,0,0,0.0934819,0.0134532,0.0377124,0.00214859,0,0,0.00283016,0,0.0171635,0.000980466,0.0371149,0.0125724,0.0325087,0.0234859,0.00377001,0.00246984,0.0179102,0.0164517,0.0117712,0.0198063,0.0160649,0.0279446,0.107618,0.00329782,0.00651984,0.00218883,0.0303756,0.013083,0.00801024,0.0109545,0,0,0.00253025,0,0.0127389,0.00312338,0.0713207,0.0344799,0.0246121,0.0117601,0.000818366,0.00577678,0.00609037,0.0459372,0.0194815,0,0.0291858,0.00193066,0.00275541,0.0038665,0.00871455,0.00893371,0,0,0,0,0,0.031173,0.0672339,0.026348,0,0.0152229,0.0820855,0,0.0254858,0,0
174,0,0,0,0,0.00945064,0.0098016,0,0,0.0953617,0.013117,0.0369898,0.00162257,0,0,0.00323262,0,0.0172141,0.00109495,0.0379653,0.0126839,0.0321998,0.0188433,0.00329021,0.00198405,0.0145556,0.0110376,0.0139759,0.022648,0.0166495,0.0290098,0.112071,0.00383044,0.00669647,0.00171984,0.0301103,0.0129636,0.00807451,0.0108961,0,0,0.00341599,0,0.0127413,0.00333966,0.0711753,0.0345032,0.024791,0.0117857,0.00106054,0.00622131,0.00567181,0.0467845,0.0187159,0,0.0287944,0.00211517,0.00303061,0.00408139,0.00894799,0.00860135,0,0,0,0,0,0.0287676,0.0671966,0.0263066,0,0.0155017,0.0827792,0,0.0251938,0,0
175,0,0,0,0,0.00925443,0.00975996,0,0,0.0964398,0.0128087,0.0360184,0.0012538,0,0,0.0037793,0,0.0173239,0.00119575,0.0388903,0.0158659,0.0319988,0.0142084,0.00294637,0.00203662,0.01193,0.00764166,0.0164921,0.0256431,0.0173458,0.0301418,0.115234,0.0044969,0.0068869,0.00135594,0.0304365,0.0128446,0.00787784,0.0108031,0,0,0.00423679,0,0.0127373,0.00350135,0.071386,0.0343433,0.0248709,0.0128118,0.00144369,0.00658855,0.00593077,0.0471038,0.0189486,0,0.0291497,0.00232727,0.00330564,0.00426698,0.00900358,0.00820943,0,0,0,0,0,0.0260668,0.0668985,0.0263634,0,0,0.0838035,0,0.0246649,0,0
176,0,0,0,0,0.00883177,0.00953389,0,0,0.0969664,0.0126389,0.0353153,0.00106469,0,0,0.00438096,0,0.0175136,0.0012264,0.0396121,0.0195872,0.0317466,0.0111599,0.0028429,0.00255335,0.0105821,0.00758426,0.0186424,0.0280994,0.0177934,0.0311418,0.116811,0.0050805,0.00704733,0.00120684,0.0303205,0.0127594,0.00762566,0.0106081,0,0,0.00483343,0,0.0127294,0.00370609,0.0714923,0.034004,0.0250141,0.0130477,0.0019004,0.00676611,0.00633677,0.0473432,0.0189448,0,0.0290018,0.00252703,0.00340112,0.00439982,0.00884756,0.00782145,0,0,0,0,0,0.0241635,0.0666359,0.0263819,0,0,0.0838815,0,0.0239053,0,0
177,0,0,0,0,0.00841491,0.00930473,0,0,0.097069,0.0125789,0.035535,0.000937986,0,0,0.00491836,0,0.0177022,0.00136173,0.0401415,0.023103,0.0314543,0.00922575,0.00283817,0.00329231,0.00958091,0.0087695,0.0204284,0.0301594,0.0179496,0.0319209,0.117178,0.00571494,0.00716828,0.00127119,0.0299918,0.0127167,0.00729331,0.0103913,0,0,0.00517506,0,0.0127166,0.00377096,0.0715917,0.0334384,0.0251697,0.0133372,0.00236566,0.00681809,0.00650913,0.0475697,0.0191549,0,0.0287068,0.0027204,0.00343764,0.00450038,0.00863683,0.00760602,0,0,0,0,0,0.0228527,0.066209,0.0263976,0,0,0.0841315,0,0.0231516,0,0
178,0,0,0,0,0.00795774,0.00908492,0,0,0.0964904,0.0126057,0.0360161,0.000791103,0,0,0.0053867,0,0.0178506,0.00157135,0.0405538,0.0258974,0.0311214,0.00802948,0.00284142,0.00410927,0.00869196,0.00993055,0.0217288,0.0315833,0.0179919,0.0325478,0.116695,0.0063601,0.00721483,0.00137404,0.0293769,0.0127128,0.0068953,0.0101025,0,0,0.00535202,0,0.0127062,0.00380911,0.0716731,0.0327802,0.0253762,0.0135676,0.00282288,0.00672485,0.00646959,0.0478854,0.0195639,0,0.0280978,0.00293442,0.00344868,0.00456277,0.00847905,0.0074979,0,0,0,0,0,0.021804,0.0655892,0.0263731,0,0,0.084527,0,0.022472,0,0
179,0,0,0,0,0.00748825,0.00892364,0,0,0.0954832,0.012686,0.0361047,0.000646811,0,0,0.00599114,0,0.0179958,0.001914,0.0408948,0.0280439,0.0308948,0.00726666,0.00275928,0.00505769,0.0078175,0.0108369,0.0225144,0.0323775,0.0180418,0.0330068,0.115664,0.00713076,0.00721993,0.00149352,0.02842,0.0127438,0.00650441,0.00975571,0,0,0.00558473,0,0.01269,0.00397186,0.0717707,0.0326366,0.0256131,0.0137255,0.00316603,0.00662091,0.00644972,0.0482082,0.0199752,0,0.0272543,0.00327497,0.0035051,0.00454908,0.00846869,0.00747127,0,0,0,0,0,0.0208258,0.0648179,0.0262668,0,0,0.0849172,0,0.0222122,0,0
180,0,0,0,0,0.00669879,0.00858653,0,0,0.0940502,0.0127656,0.0358086,0.000572433,0,0,0.00655095,0,0.018191,0.00221015,0.0411781,0.029262,0.0306864,0.00702047,0.0026053,0.00619056,0.00701597,0.0112929,0.0228052,0.032803,0.0179354,0.0333653,0.114115,0.00788567,0.00722662,0.0016249,0.0269323,0.0127474,0.00625113,0.0091793,0,0,0.00579582,0,0.0127013,0.00419573,0.0718657,0.0332876,0.0259214,0.0135542,0.00345294,0.00633021,0.00647403,0.0485759,0.0201363,0,0.026105,0.0037333,0.00357533,0.00460145,0.00836489,0.0071967,0,0,0,0,0,0.0201963,0.0639585,0.026236,0,0,0.0850359,0,0.0226381,0,0
181,0,0,0,0,0.0064609,0.0083176,0,0,0.0923803,0.0128717,0.0351724,0.000658986,0,0,0.00702184,0,0.0184375,0.00239876,0.0415475,0.0304166,0.0304773,0.00706906,0.00251335,0.00662786,0.00622705,0.0113459,0.0226555,0.0328608,0.0177289,0.0335853,0.112165,0.00838276,0.0073549,0.00201181,0.0254433,0.0126831,0.0059744,0.00909234,0,0,0.00538331,0,0.0127354,0.00406857,0.071863,0.0332127,0.0261425,0.0138202,0.00377804,0.00581711,0.00669876,0.0489371,0.020241,0,0.0241513,0.00379454,0.00362362,0.00468553,0.00807895,0.00735569,0,0,0,0,0,0.0196042,0.0629056,0.0259583,0,0,0.0854057,0,0.0225035,0,0
