Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,RTIBI,IMU_M,IMU_B
104,0,0,0,0,0.0536035,0.0655554,0,0.0260789,0.00968574,0.0272261,0.0192964,0,0,0.00812354,0,0.0193032,0.00159911,0.0501983,0.0427034,0.0228824,0.0221902,0.0313322,0.0519937,0.016482,0.0199862,0.0195013,0.0503195,0.0133085,0.015562,0.0069196,0.012735,0.0383256,0.0143065,0.00847648,0.0052146,0.0122509,0.0111686,0.0133165,0.00924153,0.0283567,0,0,0.044352,0,0.0141036,0.0332823,0.0605527,0.0182771,0.02005,0.0122328,0.0283781,0.0434381,0.00495335,0.0546427,0.00766948,0.0115607,0.0157939,0,0.0156953,0.0162276,0.0213488,0.0180356,0.0142279,0.0599116,0.0225951,0,0,0,0,0,0.0266827,0,0
105,0,0,0,0,0.0535541,0.0659104,0,0.0268573,0.00962502,0.0294288,0.019485,0,0,0.00887458,0,0.0195137,0.00200496,0.0501531,0.0463812,0.0232309,0.0255761,0.0316836,0.0524252,0.0214185,0.0255934,0.0230286,0.0517588,0.0145139,0.0160331,0.00765926,0.0126039,0.0375147,0.0144551,0.00849026,0.00548326,0.0127439,0.0112224,0.0130046,0.00953466,0.0284507,0,0,0.0442646,0,0.0140236,0.0332113,0.060626,0.017824,0.0195406,0.0119963,0.0293763,0.0433073,0.00521378,0.054134,0.00733483,0.0116659,0.0152594,0,0.0156344,0.0167273,0.021373,0.0179957,0.0141119,0.0604037,0.02284,0,0,0,0,0,0.0262497,0,0
106,0,0,0,0,0.0535239,0.0662745,0,0.03679,0.0096098,0.0372523,0.0200511,0,0,0.00987577,0,0.019693,0.0025319,0.0500846,0.054818,0.0233807,0.0286488,0.0320296,0.0528268,0.0270331,0.0317441,0.0262688,0.0534067,0.0181573,0.0202829,0.0131824,0.0093054,0.0484345,0.0146476,0.00847282,0.00560268,0.012959,0.0112091,0.0123317,0.00999826,0.0285203,0,0,0.0443207,0,0.0139494,0.033239,0.0608627,0.0173842,0.0192421,0.0116573,0.0302979,0.0432652,0.00554303,0.053689,0.0069393,0.0118269,0.0144874,0,0.0158396,0.0169362,0.0214225,0.0179167,0.0140291,0.0608973,0.0229848,0,0,0,0,0,0.0257298,0,0
107,0,0,0,0,0.0536971,0.0665342,0,0.0499299,0.00967769,0.0471576,0.0205297,0,0,0.0114313,0,0.0196285,0.00324841,0.0499765,0.0645815,0.0234736,0.0310842,0.0322123,0.0531339,0.0319898,0.036847,0.0287878,0.0550963,0.0218958,0.0253729,0.0201981,0.00828199,0.0621948,0.0146837,0.00836425,0.00561768,0.0128883,0.0112006,0.0118936,0.0103842,0.0286348,0,0,0.0446298,0,0.0139361,0.0333913,0.0608258,0.0171269,0.0189117,0.0113896,0.0309866,0.0432379,0.00587143,0.0532159,0.00662393,0.0118123,0.0137527,0,0.0159108,0.0168529,0.021547,0.0178335,0.0139822,0.0613289,0.0230341,0,0,0,0,0,0.0252248,0,0
108,0,0,0,0,0.0536429,0.0667076,0,0.0581019,0.00974793,0.0531295,0.0206649,0,0,0.0123032,0,0.0196211,0.00363168,0.0500041,0.0711326,0.023482,0.0327321,0.0322899,0.0534012,0.0351306,0.0399635,0.0301436,0.0562103,0.023396,0.0277959,0.0237788,0.00916053,0.0700136,0.0151646,0.00832777,0.00569102,0.0125416,0.0112329,0.0116583,0.0105897,0.0287234,0,0,0.0448251,0,0.013938,0.0334616,0.0607269,0.017194,0.01866,0.0111751,0.0315121,0.0432791,0.00610725,0.052903,0.0063704,0.0117318,0.0134493,0,0.0159685,0.0165328,0.0217451,0.0176716,0.0139789,0.0616964,0.0229338,0,0,0,0,0,0.0249438,0,0
109,0,0,0,0,0.053574,0.0667548,0,0.0598004,0.00983881,0.0536691,0.0203181,0,0,0.0126583,0,0.0196834,0.003821,0.050239,0.0711899,0.0233275,0.0334331,0.0322737,0.0535968,0.0362203,0.0411921,0.0302621,0.0561823,0.0229051,0.0273694,0.0233142,0.0087355,0.0710891,0.0158262,0.00831705,0.00577407,0.0119295,0.0112947,0.0115466,0.0103663,0.0287621,0,0,0.0449206,0,0.0139271,0.0334696,0.0605832,0.0174699,0.0185106,0.0108961,0.0316065,0.0433465,0.00619,0.0528306,0.0061087,0.0114444,0.0136346,0,0.0159699,0.0159373,0.021979,0.0175919,0.0140207,0.0619127,0.0227449,0,0,0,0,0,0.0249324,0,0
110,0,0,0,0,0.0535141,0.0674154,0,0.0558238,0.00968552,0.049308,0.0190677,0,0,0.0134701,0,0.0198406,0.00386618,0.0506148,0.0644746,0.023244,0.0332573,0.0322007,0.054192,0.0361761,0.0413729,0.0294715,0.05557,0.0211141,0.0246018,0.019714,0.00783973,0.0655166,0.0151409,0.0083199,0.00596692,0.00482317,0.011119,0.0160887,0.00797095,0.0285493,0,0,0.0463228,0,0.0141211,0.0344874,0.0596058,0.0259853,0.0196612,0.0152504,0.0321722,0.0434859,0.00844698,0.0530969,0.0102278,0.0144413,0.0202253,0.0116263,0.0237892,0.00846095,0.0228413,0.0178887,0.0144258,0.0628361,0.0224164,0,0,0,0,0,0.0287319,0,0
111,0,0,0,0,0.0534173,0.0673215,0,0.0467924,0.0098013,0.0404171,0.0186047,0,0,0.0140619,0,0.0196997,0.00403378,0.0511939,0.0539416,0.0229907,0.0320294,0.0323526,0.0539856,0.0346409,0.0403628,0.0271215,0.0537799,0.0181067,0.0203837,0.0136175,0.00858947,0.0540118,0.0146775,0.00819743,0.0060424,0.00566511,0.0110502,0.0168663,0.00790886,0.028421,0,0,0.0467364,0,0.0142309,0.0349288,0.059434,0.0265568,0.0202065,0.014688,0.031688,0.0436939,0.00817539,0.0533807,0.00978809,0.0136385,0.0207012,0.0112928,0.0235708,0.00843419,0.0232015,0.0179788,0.0146137,0.0627879,0.0219766,0,0,0,0,0,0.0290491,0,0
112,0,0,0,0,0.0533411,0.06717,0,0.0379986,0.00989333,0.0317933,0.0180226,0,0,0.0149087,0,0.0195167,0.00425025,0.0517604,0.0439251,0.0227674,0.0300609,0.0326258,0.0534937,0.0326545,0.0387332,0.0245939,0.0520577,0.0152844,0.0164204,0.00822109,0.0117335,0.0422313,0.0142191,0.00813085,0.00594948,0.0066914,0.0108932,0.0177842,0.00816624,0.0283273,0,0,0.0475083,0,0.0143701,0.0356376,0.0593037,0.0272308,0.0210215,0.0143729,0.0313541,0.0441543,0.00776947,0.0537744,0.00947252,0.0129077,0.0208385,0.0109289,0.0233418,0.00876699,0.0236452,0.0182455,0.014961,0.0626319,0.0215174,0,0,0,0,0,0.0294135,0,0
113,0,0,0,0,0.0533457,0.0669058,0,0.0363422,0.010013,0.0294379,0.0176035,0,0,0.0154326,0,0.0193403,0.00439377,0.0524162,0.0414566,0.0225896,0.0275001,0.0327377,0.0526677,0.0305598,0.0367502,0.0220844,0.050558,0.0150837,0.0159274,0.00780916,0.0115743,0.0409661,0.0141126,0.0080583,0.00578411,0.00834646,0.0107002,0.0184581,0.00814006,0.0283823,0,0,0.0482845,0,0.0145044,0.0363644,0.0590718,0.0269882,0.021323,0.0140921,0.0308833,0.0448191,0.00717709,0.05414,0.00935366,0.0117449,0.0205025,0.0104228,0.0226081,0.00924476,0.0240174,0.0185973,0.0153321,0.0622675,0.0212417,0,0,0,0,0,0.0295765,0,0
