Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,IMU_B,IMU_M,IMU_T
129,0,0,0,0,0.042508,0.0559189,0.0560298,0.00668973,0.0269694,0.0297769,0,0,0.0153635,0,0.0245859,0.00974018,0.0495881,0.0391689,0.0235834,0.0222701,0.0396709,0.0431779,0.0157009,0.0205098,0.0217054,0.0553769,0.00505836,0.0102185,0.00570068,0.0169821,0.0706941,0.010366,0.0125178,0.00700758,0.00361171,0.00885773,0.00957621,0.0185947,0.01677,0,0,0.0572784,0,0.0173401,0.0420956,0.063836,0.0087974,0.0195541,0.00779045,0.0355857,0.0380773,0.00456405,0.0546376,0.00382474,0.00985413,0.00981339,0,0,0.013458,0.00801236,0.032838,0.0217963,0.0188972,0.055237,0.012643,0,0,0,0,0,0,0,0
130,0,0,0,0,0.0426774,0.0561847,0.050387,0.00664879,0.0258643,0.029591,0,0,0.0155049,0,0.0246679,0.0098995,0.0503909,0.0370776,0.0237036,0.0210034,0.0397239,0.043756,0.0157361,0.0203412,0.0200694,0.0542203,0.00522628,0.00963407,0.00597445,0.0166893,0.063473,0.0104329,0.0125306,0.00717188,0.003029,0.00888698,0.00912708,0.0183379,0.0166727,0,0,0.0572201,0,0.0172534,0.0419271,0.063662,0.00894401,0.0195247,0.00818067,0.0352296,0.0375999,0.0048579,0.0544241,0.00413977,0.0105821,0.0111411,0,0,0.0137726,0.00692915,0.0326553,0.0216497,0.0188416,0.0555419,0.0124081,0,0,0,0,0,0,0,0
131,0,0,0,0,0.0427766,0.0564831,0.044917,0.00662455,0.0250265,0.0293521,0,0,0.0157544,0,0.0247193,0.0100602,0.0511934,0.0359188,0.0237427,0.0183539,0.0399143,0.0444708,0.0149767,0.01896,0.0176101,0.0530383,0.00531248,0.00954592,0.0063028,0.0164047,0.0570251,0.0104798,0.0125376,0.0073413,0.0032046,0.00892586,0.00884552,0.0181741,0.0165964,0,0,0.0571665,0,0.0171864,0.0417868,0.0635112,0.00950087,0.0194856,0.00836617,0.0351489,0.0371725,0.00523784,0.054189,0.00432773,0.0112026,0.0110347,0,0,0.0140608,0.00661761,0.0325508,0.02157,0.0187379,0.0558559,0.0121008,0,0,0,0,0,0,0,0
132,0,0,0,0,0.042867,0.0567989,0.0396902,0.00659322,0.0247238,0.0291261,0,0,0.0159785,0,0.0247425,0.0101661,0.0519282,0.0362272,0.0237176,0.0145832,0.0400058,0.0452489,0.0133434,0.0163377,0.0145024,0.0519387,0.00563227,0.00984261,0.00693653,0.0159909,0.0514398,0.0104903,0.0125315,0.0074374,0.00421804,0.00897178,0.00869515,0.0180878,0.0165287,0,0,0.0570035,0,0.0171086,0.0416999,0.0634209,0.0100412,0.0194657,0.00850062,0.0352337,0.0368447,0.0055408,0.053907,0.00460095,0.0116837,0.0111626,0,0,0.0143089,0.00688556,0.032392,0.0215323,0.0186072,0.0561416,0.0118652,0,0,0,0,0,0,0,0
133,0,0,0,0,0.0429847,0.0570666,0.0349027,0.00657631,0.0251287,0.0287732,0,0,0.0161145,0,0.0247496,0.0102059,0.0524107,0.03722,0.0237179,0.0102675,0.0399037,0.0460007,0.0109591,0.0127362,0.0110916,0.0508981,0.00626315,0.0105256,0.00785902,0.0154627,0.0469046,0.0105936,0.0125394,0.0074751,0.00531598,0.00903023,0.00835287,0.0179836,0.0163665,0,0,0.0567317,0,0.0170137,0.0415706,0.0633491,0.00996976,0.0193666,0.0082797,0.0352735,0.0364285,0.00591767,0.0535516,0.00486767,0.0120726,0.0113792,0,0,0.0148692,0.00745337,0.0321831,0.0215088,0.0184633,0.0564483,0.0116476,0,0,0,0,0,0,0,0
134,0,0,0,0,0.0431049,0.0573492,0.0307178,0.00659229,0.0259908,0.0283769,0,0,0.0162584,0,0.0247758,0.0102447,0.0526569,0.0386422,0.0236551,0.00784916,0.0397308,0.0467505,0.00831122,0.00914679,0.00853936,0.0501346,0.0074555,0.0115758,0.00892981,0.0150183,0.0437538,0.0107055,0.0125839,0.00755001,0.0064067,0.00906823,0.00827358,0.0180816,0.0162371,0,0,0.056506,0,0.0169377,0.0414851,0.0632954,0.00977613,0.0190767,0.00758842,0.0355762,0.035972,0.00636308,0.0531591,0.00486108,0.0123666,0.0107619,0,0,0.0156845,0.00838858,0.0320754,0.0215762,0.0183682,0.0568224,0.0113796,0,0,0,0,0,0,0,0
135,0,0,0,0,0.0433293,0.0576315,0.0278872,0.00658284,0.0277793,0.0282111,0,0,0.0163639,0,0.0248315,0.0102505,0.0528859,0.0417517,0.0237196,0.00984705,0.0397772,0.0474374,0.00706869,0.00828077,0.00921545,0.0499065,0.00888188,0.0125318,0.010011,0.0149738,0.0418052,0.0108208,0.0125674,0.00761779,0.00764439,0.00915069,0.00831436,0.0184132,0.016299,0,0,0.056211,0,0.0168773,0.0413561,0.0632335,0.00949927,0.0186087,0.00699329,0.0361168,0.0355285,0.00682244,0.0527638,0.00455831,0.0125674,0.00894602,0,0,0.0146285,0.00960366,0.0318914,0.0216348,0.018243,0.0571787,0.0112979,0,0,0,0,0,0,0,0
136,0,0,0,0,0.0435712,0.0578473,0.026888,0.0066051,0.0302482,0.0282568,0,0,0.0162739,0,0.0248368,0.0101323,0.053088,0.0465065,0.0239177,0.0134146,0.0398594,0.048094,0.00915205,0.0112421,0.0122934,0.0502974,0.0100776,0.0130889,0.0111503,0.0152822,0.0409351,0.0108979,0.0125289,0.00762726,0.00861601,0.00922905,0.00838843,0.018942,0.0164989,0,0,0.0557572,0,0.0167583,0.041154,0.0632376,0.00897719,0.0180054,0.00715319,0.0365898,0.0351179,0.00737645,0.0520799,0.00407473,0.0127981,0.00857886,0,0.0219846,0.0138476,0.0104856,0.0316129,0.021692,0.0180987,0.0574405,0.0114071,0,0,0,0,0,0,0,0
137,0,0,0,0,0.0437612,0.0581615,0.0269966,0.00660708,0.0328515,0.0281879,0,0,0.0162031,0,0.0248847,0.0100959,0.0530904,0.0512429,0.0241181,0.0173985,0.0397671,0.0488166,0.0140149,0.0168925,0.0162437,0.0512662,0.0111576,0.0135943,0.0122212,0.0155959,0.040702,0.0109748,0.0125405,0.00763372,0.008835,0.00930771,0.00864898,0.01913,0.0166508,0,0,0.0553255,0,0.0166363,0.0409835,0.0629149,0.00888727,0.0174152,0.00954376,0.0371619,0.0347187,0.00776658,0.0514596,0.00373036,0.0132501,0.00954089,0,0,0.0139826,0.0106718,0.0314305,0.0217213,0.0179897,0.0578107,0.0115314,0,0,0,0,0,0,0,0
138,0,0,0,0,0.043924,0.058426,0.0279083,0.0066044,0.0346886,0.0280251,0,0,0.016116,0,0.0249119,0.0100727,0.0529469,0.0540373,0.0241333,0.0212739,0.0396846,0.0494274,0.0196621,0.0235414,0.0198474,0.0522126,0.0123419,0.0144406,0.0128023,0.01571,0.0403617,0.0109947,0.0125511,0.00760175,0.00921113,0.00940518,0.00905765,0.0195652,0.0168347,0,0,0.0549932,0,0.0165655,0.0408425,0.0627506,0.00835266,0.016824,0.00916384,0.0376145,0.0343545,0.00829829,0.0506835,0.00350674,0.0130776,0.00992475,0,0.0220454,0.0132007,0.0108456,0.0313175,0.0217107,0.01789,0.0581058,0.0117186,0,0,0,0,0,0,0,0
