Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,IMU_B,IMU_M,IMU_T
149,0,0,0,0,0.0469045,0.0623682,0.0260663,0.0064856,0.025894,0.024263,0,0,0.0238654,0,0.0267851,0.0139058,0.0530617,0.0330323,0.021723,0.0151488,0.0396247,0.0496047,0.0165328,0.0231584,0.0133319,0.0468476,0.0131645,0.0156851,0.0139651,0.00983318,0.0341643,0.0109619,0.0127487,0.00967145,0.017266,0.00866453,0.0149038,0.017079,0.017733,0,0,0.0633522,0,0.0181511,0.0465086,0.061048,0.01813,0.0180548,0.00877019,0.0388183,0.0398667,0.00516168,0.052968,0,0.00475784,0.0100555,0.0166755,0.0226035,0.0159596,0.0127784,0.0358688,0.0245426,0.0208677,0.0616783,0.0141488,0,0,0,0,0,0,0,0
150,0,0,0,0,0.0473979,0.062439,0.0232303,0.00648781,0.0238445,0.0241009,0,0,0.0243756,0,0.0269768,0.0143286,0.0533168,0.0322881,0.0216237,0.0127513,0.0397606,0.0491822,0.0138624,0.0193292,0.0114463,0.0468616,0.0145133,0.016881,0.0146264,0.00857044,0.0316395,0.0110501,0.0127308,0.00990011,0.0186934,0.00852189,0.0154513,0.0176868,0.0183602,0,0,0.0643036,0,0.0183059,0.0470093,0.0610077,0.0186293,0.0180193,0.00630416,0.0387355,0.0408698,0.00431443,0.0534885,0.00617979,0.0039445,0.00854501,0.0171913,0.0220297,0.0154472,0.0141954,0.0362521,0.0243845,0.0212024,0.0616238,0.0149339,0,0,0,0,0,0,0,0
151,0,0,0,0,0.0477549,0.0623822,0.0220528,0.00652378,0.023194,0.0244343,0,0,0.0246357,0,0.0270449,0.0145948,0.0539301,0.0326337,0.021811,0.010368,0.0399096,0.0486836,0.0112736,0.0149366,0.00920143,0.0472428,0.0154174,0.0175464,0.0148219,0.00795384,0.0306803,0.0110016,0.0126855,0.0100701,0.0200727,0.00839859,0.0165609,0.0183975,0.0190437,0,0,0.0645552,0,0.018371,0.0470991,0.0610361,0.0191311,0.0180677,0.0064662,0.0385864,0.0415277,0.00383339,0.0539672,0,0.00346864,0.00724864,0.0176941,0.0214108,0.0150068,0.015562,0.0362281,0.0241666,0.0212616,0.0613374,0.0158822,0,0,0,0,0,0,0,0
152,0,0,0,0,0.0480102,0.0622531,0.0217862,0.00658779,0.0228566,0.025156,0,0,0.0245933,0,0.0270429,0.0147542,0.0545709,0.0327365,0.0219468,0.00846623,0.0401897,0.0482062,0.00824525,0.0105579,0.00713751,0.0472557,0.0156508,0.0176232,0.0145672,0.00789587,0.0304118,0.0107754,0.0126587,0.0101688,0.0213263,0.00834936,0.0184805,0.0194963,0.0198357,0,0,0.0642342,0,0.0184497,0.0469023,0.0610669,0.0195583,0.018185,0.00701554,0.0383343,0.0419091,0.00302049,0.0545863,0.00717381,0.00423204,0.00690602,0.0178868,0.0212443,0.0158479,0.0167544,0.0357907,0.0239949,0.0212343,0.0608571,0.0166003,0,0,0,0,0,0,0,0
153,0,0,0,0,0.0488826,0.0616291,0.0212946,0.00658251,0.0225052,0.0272668,0,0,0.0228938,0,0.0266322,0.0140188,0.0556269,0.0330042,0.0214755,0.0072531,0.0408762,0.0475913,0.00569844,0.0076319,0.00583175,0.0462181,0.0152384,0.0172599,0.0142013,0.00826065,0.03064,0.00984826,0.0124756,0.00964368,0.0214636,0.00842146,0.0144325,0.0236043,0.0220579,0,0,0.0621517,0,0.0182298,0.0456258,0.0626331,0.0119973,0.0182624,0.00745483,0.03764,0.0420327,0.00698575,0.0537084,0.0116023,0.00444281,0.00272994,0,0.0153036,0.015757,0.019342,0.0343224,0.0236752,0.0207598,0.0595018,0.0179231,0,0,0,0,0,0,0,0
154,0,0,0,0,0.0487888,0.0621893,0.0204628,0.00655563,0.0215834,0.0274194,0,0,0.0247868,0,0.0273074,0.0150685,0.0554905,0.0320143,0.0219665,0.00674799,0.0412676,0.0478968,0.00538437,0.00700262,0.0060295,0.0461921,0.0153741,0.0174767,0.0139932,0.00881227,0.0298123,0.0103728,0.0126231,0.0103664,0.0262087,0.00841779,0.0169733,0.0224679,0.021457,0,0,0.062349,0,0.0185604,0.0460746,0.0613801,0.0139447,0.0185485,0.00953041,0.0383614,0.0423654,0.00199614,0.0555132,0.00875268,0.00667321,0.00824939,0.0184575,0.021784,0.0208384,0.0226686,0.0340941,0.0242305,0.0211209,0.0598867,0.0168866,0,0,0,0,0,0,0,0
155,0,0,0,0,0.0492903,0.0620579,0.0197156,0.00652795,0.0201725,0.0286002,0,0,0.024889,0,0.0274307,0.0150771,0.0556085,0.0309562,0.0220187,0.00701412,0.0416807,0.0479317,0.00671505,0.00808342,0.00693035,0.0460518,0.0153662,0.0175457,0.0139558,0.00943412,0.0292615,0.0103101,0.0126473,0.0103517,0.0274463,0.0085229,0.0160109,0.0240001,0.0221539,0,0,0.0609021,0,0.0185187,0.0454466,0.0616284,0.0123754,0.0185989,0.0111934,0.038768,0.0424035,0.00282767,0.0561106,0.00966054,0.0078219,0.0096664,0.018905,0.0217199,0.0212767,0.0242705,0.0331973,0.0243854,0.0210055,0.0594414,0.0168743,0,0,0,0,0,0,0,0
156,0,0,0,0,0.04991,0.0619433,0.0196302,0.0065046,0.0186178,0.0294945,0,0,0.0249476,0,0.0275469,0.0150741,0.0556115,0.029791,0.0221638,0.00744766,0.0420679,0.0481496,0.00804145,0.0094114,0.00772166,0.04629,0.0151469,0.0172625,0.0137235,0.00993621,0.0292047,0.0104041,0.0127081,0.0103096,0.0287123,0.00865096,0.0152402,0.025329,0.0228801,0,0,0.0594555,0,0.0183756,0.0446656,0.0618265,0.0109078,0.0186031,0.012893,0.039284,0.0423002,0.00381031,0.0566093,0.0105263,0.00877374,0.0097653,0.0194041,0.0213911,0.0209684,0.0256773,0.0324835,0.0244195,0.0208239,0.0592014,0.0170285,0,0,0,0,0,0,0,0
157,0,0,0,0,0.0506015,0.0619468,0.0204166,0.00651019,0.0173137,0.029901,0,0,0.024827,0,0.0276373,0.0151451,0.0553956,0.0289648,0.0223808,0.00774437,0.0424231,0.0486104,0.00907776,0.0105723,0.00819884,0.0466374,0.0144998,0.0165064,0.0131449,0.0103169,0.0303798,0.0105356,0.0128011,0.0102791,0.0305576,0.00880651,0.0139262,0.0264308,0.0238196,0,0,0.0579778,0,0.0181102,0.0436571,0.0619159,0.0107473,0.0185047,0.01297,0.0395662,0.0419944,0.00476693,0.0570332,0.0112873,0.010032,0.00797014,0.0195975,0.0211152,0.0206317,0.0280323,0.0318709,0.0241924,0.0204851,0.0591438,0.0175685,0,0,0,0,0,0,0,0
158,0,0,0,0,0.0524367,0.0619672,0.0223532,0.00658194,0.0165705,0.0300736,0,0,0.0234156,0,0.0274486,0.0147898,0.0554489,0.0282127,0.0218653,0.00766436,0.0424138,0.0495728,0.00933714,0.0107426,0.00807203,0.0464459,0.0135566,0.0155938,0.0125023,0.010454,0.0323485,0.0102199,0.0127953,0.00991376,0.0282197,0.00922733,0.0167256,0.0288921,0.0271264,0,0,0.0544045,0,0.0173148,0.0410096,0.0631824,0.0182571,0.0181917,0.00818808,0.0387542,0.0410717,0.00764973,0.0568558,0.0161031,0.012484,0.00879869,0,0.00965737,0.0160466,0.0285582,0.0302579,0.0230364,0.0192902,0.0585433,0.0204429,0,0,0,0,0,0,0,0
159,0,0,0,0,0.0514248,0.0611286,0.0241174,0.00635078,0.0161897,0.0297421,0,0,0.0219752,0,0.0270528,0.0143392,0.0551349,0.0274703,0.0218235,0.00782726,0.0423062,0.0489746,0.00925681,0.0108192,0.00777552,0.0466665,0.0128177,0.0148907,0.0119575,0.0106571,0.0339887,0.00994282,0.0127247,0.00950273,0.0295195,0.00936686,0.016564,0.0291449,0.0267307,0,0,0.0540599,0,0.0171297,0.0404581,0.0631152,0.0212135,0.0179603,0.00780715,0.0386133,0.0394907,0.00837932,0.0573777,0.01655,0.0140437,0.0103226,0,0.00886241,0.0159792,0.0309569,0.03022,0.0225899,0.0189005,0.0579013,0.0202665,0,0,0,0,0,0,0,0
160,0,0,0,0,0.050694,0.0606058,0.025387,0.0061649,0.0159966,0.0293941,0,0,0.020623,0,0.0266395,0.0138368,0.0548989,0.0270912,0.0216619,0.00805432,0.04217,0.0486672,0.00871676,0.0107602,0.00726074,0.046895,0.0124206,0.0145416,0.0115433,0.0106043,0.0347432,0.00963968,0.0126841,0.00907512,0.030137,0.00949199,0.0158717,0.0293297,0.0264803,0,0,0.0537953,0,0.0169642,0.0400863,0.0630429,0.0232567,0.0177053,0.00796651,0.0385817,0.0381349,0.00929556,0.0580042,0.0171527,0.0156739,0.0106616,0,0.00793447,0.0167466,0.0327634,0.0302417,0.0221432,0.0184998,0.0575158,0.0202344,0,0,0,0,0,0,0,0
161,0,0,0,0,0.0502475,0.0602646,0.0259363,0.00609486,0.0158084,0.0290394,0,0,0.0194577,0,0.0262875,0.013254,0.0548678,0.0268509,0.021441,0.00834214,0.0420266,0.0485927,0.00800009,0.0107209,0.00673236,0.0470681,0.0124616,0.0145448,0.011334,0.0102966,0.0345562,0.00947078,0.0126751,0.00870628,0.030397,0.00958894,0.014838,0.0294724,0.0262054,0,0,0.0537974,0,0.0168258,0.0399162,0.0629381,0.0248619,0.0174997,0.00862068,0.0386309,0.0369485,0.0103135,0.0585303,0.0179891,0.017368,0.0105378,0,0.00655704,0.0181,0.0340758,0.0304156,0.0217071,0.0181507,0.057273,0.0202218,0,0,0,0,0,0,0,0
162,0,0,0,0,0.0500533,0.0600508,0.0258294,0.00606368,0.0155179,0.0287291,0,0,0.0185921,0,0.026043,0.0126531,0.0550113,0.0260692,0.0212414,0.0086121,0.0418583,0.0485953,0.00725554,0.0106946,0.00636678,0.0472105,0.0128925,0.0148017,0.0113555,0.00983354,0.0335482,0.00939838,0.0126183,0.00841054,0.0301899,0.00961509,0.0140573,0.0296333,0.0257896,0,0,0.0540453,0,0.0167171,0.039877,0.0627089,0.0261768,0.0173431,0.0102426,0.0387572,0.0361096,0.0111627,0.0589695,0.0186827,0.0187869,0.0117039,0,0.00476546,0.019914,0.0349266,0.0306617,0.0213609,0.0179704,0.0571161,0.0201403,0,0,0,0,0,0,0,0
163,0,0,0,0,0.04996,0.0599007,0.025384,0.00608509,0.0152831,0.0285186,0,0,0.0178915,0,0.0258362,0.012054,0.0551365,0.0249743,0.0211515,0.00874967,0.0416826,0.0487015,0.00652699,0.0105663,0.00617689,0.0473615,0.0135752,0.0152964,0.0115853,0.00930983,0.0321965,0.00926215,0.0125771,0.00816772,0.0296797,0.0096351,0.0136568,0.0298493,0.025235,0,0,0.054365,0,0.0166601,0.0398936,0.062462,0.0272185,0.0172017,0.012981,0.038922,0.0355349,0.0116957,0.0593305,0.0189928,0.0198146,0.0132346,0,0,0.0217979,0.035491,0.030921,0.0211187,0.0178366,0.0570067,0.0199956,0,0,0,0,0,0,0,0
164,0,0,0,0,0.0498728,0.0597606,0.0249345,0.00612683,0.015266,0.0283514,0,0,0.0171406,0,0.0256239,0.0115808,0.0551052,0.0238115,0.0212185,0.00872374,0.0413502,0.0489108,0.00590231,0.0101713,0.00604348,0.0475131,0.0144137,0.0159658,0.0118575,0.0088306,0.0309462,0.00917878,0.0125616,0.00795257,0.0297294,0.00963071,0.0135457,0.0300298,0.024627,0,0,0.0546056,0,0.0166071,0.0399505,0.0622815,0.0284703,0.0170776,0.0138555,0.0391321,0.0351613,0.0121379,0.0596375,0.0194159,0.0204979,0.0150239,0,0.00272024,0.0241283,0.0360864,0.0311279,0.020902,0.0176982,0.0569499,0.0197997,0,0,0,0,0,0,0,0
165,0,0,0,0,0.0495956,0.0596041,0.0247114,0.00618576,0.0153968,0.0282565,0,0,0.0163586,0,0.0253985,0.0111145,0.0548408,0.0227958,0.0213729,0.00861399,0.040967,0.049099,0.0056202,0.00959209,0.00602391,0.0475945,0.0151982,0.0167114,0.0120886,0.00851234,0.0300137,0.00921995,0.0125498,0.00770854,0.0298744,0.00964632,0.0134816,0.0301977,0.0240011,0,0,0.0547446,0,0.0165761,0.0399639,0.0622468,0.0297207,0.0169584,0.0134948,0.0394944,0.0349632,0.0124522,0.0599298,0.0196743,0.0207715,0.0166159,0,0.00378076,0.0258969,0.0368273,0.031189,0.0207491,0.0175846,0.056939,0.0194608,0,0,0,0,0,0,0,0
166,0,0,0,0,0.0489474,0.0594741,0.0249547,0.00622699,0.0155615,0.028309,0,0,0.0157167,0,0.0251865,0.0107212,0.0543573,0.0218981,0.0214097,0.00842981,0.0406026,0.0492667,0.00562543,0.00900307,0.00617285,0.0475053,0.0157001,0.0173048,0.0122556,0.00839184,0.0295626,0.00939933,0.0125065,0.00746803,0.0300096,0.00967941,0.0133853,0.0302599,0.0233473,0,0,0.0547312,0,0.0165475,0.0399001,0.0621484,0.030853,0.0168272,0.0132068,0.0398782,0.0349084,0.0125825,0.0599978,0.019858,0.0207891,0.0181661,0,0.00524071,0.0275596,0.0377776,0.0311431,0.020642,0.0175314,0.056967,0.0190084,0,0,0,0,0,0,0,0
167,0,0,0,0,0.0483331,0.0593106,0.0257447,0.00630716,0.0157825,0.0282739,0,0,0.0150416,0,0.0249667,0.0103285,0.0539617,0.0213241,0.021534,0.00825239,0.0402223,0.04935,0.00590711,0.00874209,0.0065148,0.0473093,0.0157774,0.01746,0.0122717,0.00851468,0.0297308,0.00957615,0.0124385,0.00723181,0.0299934,0.00973943,0.0132256,0.0301633,0.0226794,0,0,0.0545582,0,0.0165168,0.0398092,0.061749,0.0323861,0.0166453,0.0130837,0.0400634,0.0348995,0.0122137,0.0599494,0.0198063,0.0202533,0.0195174,0,0.00664783,0.0288739,0.0388246,0.0309623,0.0205811,0.0174378,0.0568701,0.0185274,0,0,0,0,0,0,0,0
168,0,0,0,0,0.0478778,0.0590889,0.0269972,0.00641414,0.0162174,0.0280909,0,0,0.014396,0,0.024748,0.00987854,0.053679,0.0211124,0.0217126,0.00797435,0.039848,0.0492511,0.00654897,0.00878221,0.00695562,0.0470018,0.0155594,0.0172746,0.0122538,0.00881111,0.0304447,0.00977692,0.0123286,0.00697339,0.0300542,0.0097768,0.0130878,0.0298975,0.0220579,0,0,0.0543329,0,0.0164559,0.0396731,0.0609378,0.0343201,0.0164417,0.012694,0.0401427,0.0349143,0.0112085,0.0597035,0.0194766,0.0190174,0.0199256,0,0.00900623,0.0299814,0.0398641,0.0307361,0.0205221,0.0173227,0.0565852,0.0181779,0,0,0,0,0,0,0,0
169,0,0,0,0,0.0474859,0.0588908,0.0280972,0.00648656,0.0167527,0.0280328,0,0,0.0138438,0,0.024587,0.0095707,0.053496,0.0215122,0.0218633,0.00764649,0.0397272,0.0491382,0.00719496,0.00911054,0.00744808,0.0466141,0.0151856,0.0169389,0.0122265,0.00925285,0.0314772,0.00982253,0.0122298,0.00674039,0.0303727,0.00977049,0.0128006,0.0296827,0.0214448,0,0,0.0542287,0,0.0163987,0.0396124,0.0606893,0.0357041,0.0163232,0.0119062,0.0403305,0.0348588,0.0101181,0.0595055,0.0189442,0.01754,0.0199149,0,0.0131407,0.0313885,0.0407918,0.0306374,0.0203658,0.0172665,0.0563529,0.0178326,0,0,0,0,0,0,0,0
170,0,0,0,0,0.0458184,0.0621089,0.0258082,0.00608594,0.0169311,0.0267259,0,0,0.0209864,0,0.0263661,0.01317,0.0517615,0.0230805,0.0243038,0.00985387,0.0418027,0.0507751,0.00915,0.0120765,0.00965288,0.0484228,0.0152835,0.0166037,0.0119479,0.0109464,0.0305033,0.0106545,0.0129517,0.00893676,0.028289,0.0089435,0.0184108,0.0219831,0.0160437,0,0,0.060016,0,0.0175076,0.0436183,0.0433706,0.0185272,0.0183576,0.0445363,0.045619,0.0366182,0.0407865,0,0.0478561,0.0446149,0.0355285,0,0.0133315,0.0349768,0.0294324,0.0337406,0.021871,0.0190911,0.0609376,0.0123855,0,0,0,0,0,0,0,0
171,0,0,0,0,0.0468234,0.0586525,0.0292011,0.00673757,0.0180368,0.0281822,0,0,0.0130397,0,0.0242028,0.00895317,0.0532093,0.022774,0.0219967,0.00744246,0.039849,0.0489476,0.00827317,0.00966511,0.00821452,0.045959,0.0147892,0.0164983,0.0122145,0.0100322,0.0325415,0.00986906,0.012032,0.00621642,0.0308958,0.00972645,0.0129504,0.0294552,0.020364,0,0,0.0539197,0,0.0163933,0.0395444,0.0615981,0.0369239,0.0162265,0.0102986,0.0411962,0.0354509,0.00984899,0.0592297,0.0180456,0.0147414,0.0204452,0,0.0185825,0.0337939,0.0418023,0.0305903,0.0200038,0.0173409,0.0563272,0.0169156,0,0,0,0,0,0,0,0
172,0,0,0,0,0.0465866,0.0585196,0.029771,0.00678915,0.0188455,0.0281296,0,0,0.0128386,0,0.0240054,0.00872812,0.0530469,0.0229719,0.021993,0.00738633,0.0398042,0.0488104,0.00844032,0.00969042,0.008478,0.0457405,0.0148651,0.0166182,0.0123751,0.010256,0.032887,0.0100324,0.0119613,0.00602257,0.0305572,0.00976826,0.0128376,0.0291916,0.0200286,0,0,0.0538128,0,0.0163654,0.039434,0.0615792,0.0375654,0.0162117,0.00958991,0.0416471,0.0351991,0.00923147,0.0589322,0.0175365,0.0133146,0.0212411,0,0.0199288,0.0352406,0.0422481,0.030531,0.0197643,0.0172443,0.0562768,0.0165302,0,0,0,0,0,0,0,0
173,0,0,0,0,0.0463142,0.0584404,0.0302694,0.00683781,0.0195358,0.0282278,0,0,0.012643,0,0.0238156,0.00853747,0.0528764,0.0232983,0.0220135,0.00755396,0.0398381,0.0486772,0.00847849,0.00976876,0.00891434,0.0455282,0.0149279,0.0167214,0.0124325,0.0104837,0.0332439,0.0102153,0.0119023,0.00587045,0.0303386,0.00980462,0.0126515,0.0290418,0.0197477,0,0,0.0537606,0,0.0163568,0.0394112,0.0620421,0.0374673,0.0162402,0.00894755,0.0421322,0.0349428,0.00910918,0.0588343,0.0171309,0.0121451,0.0220336,0,0.0208491,0.0363619,0.042248,0.0305608,0.0196171,0.0171592,0.0562738,0.0160506,0,0,0,0,0,0,0,0
174,0,0,0,0,0.0459826,0.0583899,0.0308664,0.00688385,0.0200781,0.0284034,0,0,0.0124249,0,0.0236784,0.00849079,0.052611,0.0236086,0.0220353,0.00780167,0.0398929,0.0485783,0.00834911,0.00972129,0.00935987,0.0453396,0.0149564,0.0167235,0.0123495,0.0106596,0.0336773,0.0103389,0.0118503,0.00576638,0.0300762,0.00983724,0.013043,0.0289401,0.0194901,0,0,0.0537214,0,0.0163439,0.0393326,0.0623002,0.0372939,0.0162353,0.00801007,0.0425977,0.0346914,0.00889291,0.0586492,0.0163682,0.0109744,0.0229003,0,0.0224151,0.0374385,0.0417221,0.0305941,0.0194963,0.0171527,0.056278,0.0155518,0,0,0,0,0,0,0,0
175,0,0,0,0,0.0456372,0.058346,0.0316033,0.0069219,0.0206967,0.0284494,0,0,0.0122485,0,0.0236022,0.00841972,0.0523824,0.0240333,0.0220733,0.00818497,0.0399023,0.0485074,0.00825044,0.00961796,0.00963061,0.0452518,0.0149284,0.0166895,0.0125157,0.0108318,0.0343204,0.0105547,0.0118164,0.005742,0.0297767,0.00989062,0.0142498,0.0287986,0.0192377,0,0,0.0537237,0,0.0163665,0.0392765,0.0623167,0.0375748,0.0162176,0.00709413,0.0429717,0.0344671,0.00818058,0.0583821,0.0155086,0.00986184,0.023625,0,0.0241138,0.0383255,0.0413845,0.0306339,0.0193982,0.0171911,0.0563032,0.0150687,0,0,0,0,0,0,0,0
176,0,0,0,0,0.0453503,0.0583074,0.0324373,0.00692072,0.0215372,0.028297,0,0,0.0120214,0,0.0235212,0.00822777,0.0522981,0.0245399,0.0220873,0.00868831,0.0399253,0.0484433,0.00822616,0.0095014,0.009938,0.0451525,0.0148762,0.0166594,0.0126837,0.0109798,0.0351407,0.0107376,0.0117806,0.00566251,0.0295724,0.00988766,0.0153588,0.0285934,0.0190072,0,0,0.0536979,0,0.0163604,0.0393007,0.0622159,0.0385365,0.0162113,0.00630074,0.0432477,0.034291,0.00720529,0.0581145,0.0146482,0.00898189,0.024139,0,0.0254581,0.0390513,0.0412945,0.0306524,0.0193153,0.0172042,0.0563425,0.0146554,0,0,0,0,0,0,0,0
177,0,0,0,0,0.0451605,0.0582889,0.0333686,0.00691392,0.0222854,0.0281114,0,0,0.0118482,0,0.0233704,0.00800276,0.052189,0.0249941,0.0221365,0.00918409,0.0399119,0.0483723,0.00815117,0.00932497,0.0102659,0.0450395,0.0148312,0.01659,0.0127607,0.011114,0.0359891,0.0108454,0.0117336,0.00556677,0.0294375,0.00983327,0.0165222,0.0283322,0.0188258,0,0,0.053653,0,0.016316,0.0393149,0.0621206,0.0397163,0.0161792,0.00583158,0.0434407,0.0341782,0.00637147,0.0579265,0.0137038,0.00849405,0.0244843,0,0.0266482,0.0397041,0.0413838,0.0305905,0.019267,0.0171606,0.0563916,0.0142936,0,0,0,0,0,0,0,0
178,0,0,0,0,0.0450385,0.0582582,0.034389,0.00692408,0.0229322,0.0278185,0,0,0.0116781,0,0.0232034,0.00784415,0.0520069,0.0254347,0.0221651,0.00966176,0.0398442,0.0483304,0.00809395,0.00924476,0.0106165,0.0448583,0.0147952,0.0165314,0.012827,0.0112036,0.0368,0.0109121,0.0116736,0.00554412,0.029326,0.00976358,0.0178886,0.0281553,0.0186746,0,0,0.0537273,0,0.0162509,0.0393066,0.0620307,0.0410929,0.016113,0.00577662,0.0436571,0.0341613,0.00569469,0.0578192,0.0127148,0.0083126,0.0249137,0,0.0272995,0.0397265,0.0415185,0.0305516,0.0192466,0.0171519,0.0564181,0.0139967,0,0,0,0,0,0,0,0
179,0,0,0,0,0.0449419,0.0582062,0.0354872,0.00695348,0.0236879,0.0275463,0,0,0.0115492,0,0.0231012,0.00770262,0.0518823,0.025809,0.0221522,0.0101609,0.0398531,0.0483173,0.00807327,0.00930089,0.0110758,0.0446149,0.0147316,0.0164819,0.0128775,0.0112726,0.0377284,0.0109172,0.0116453,0.00564463,0.0291477,0.00971211,0.0196636,0.0280884,0.0185633,0,0,0.0539193,0,0.0162581,0.0393487,0.0619965,0.0426653,0.0160462,0.00624351,0.0439137,0.0341772,0.00514114,0.057812,0.0115695,0.00864886,0.0253287,0,0.0266906,0.0386233,0.0411136,0.0305476,0.0192865,0.0171641,0.0564186,0.0137131,0,0,0,0,0,0,0,0
180,0,0,0,0,0.0446557,0.0581916,0.0366112,0.00697695,0.0243984,0.0273361,0,0,0.0114477,0,0.0230279,0.00759374,0.0518775,0.02608,0.0221511,0.0106788,0.0399483,0.0482648,0.0081144,0.00947766,0.0115959,0.0443114,0.0146644,0.0164674,0.0129255,0.0113424,0.0388508,0.0108828,0.0116382,0.00577073,0.0289295,0.00968475,0.0214607,0.0279359,0.0184386,0,0,0.0541732,0,0.0163275,0.0394657,0.061895,0.0446495,0.0160148,0.00713336,0.0441647,0.0343703,0.0048162,0.0578968,0.0109573,0.00941866,0.0253708,0,0.0273705,0.0390113,0.0408418,0.030632,0.0194193,0.01723,0.0564622,0.0134458,0,0,0,0,0,0,0,0
181,0,0,0,0,0.0437929,0.0590409,0.0369465,0.00667201,0.0250888,0.0271196,0,0,0.0133185,0,0.0234685,0.00849536,0.0518371,0.0268556,0.0225636,0.0119298,0.040575,0.0484745,0.00861057,0.0106857,0.0123266,0.0444921,0.0145764,0.0163312,0.0130013,0.0118036,0.0394121,0.0107012,0.0118782,0.0064643,0.0469016,0.00941423,0.0173238,0.0255538,0.0169882,0,0,0.0561346,0,0.0167169,0.0407978,0.05995,0.0396483,0.0168361,0.00996072,0.0458407,0.0351949,0.00268789,0.0591175,0.00985848,0.00771683,0.0185987,0.018226,0.0258911,0.0296093,0.0616705,0.0316812,0.020109,0.0178365,0.0577497,0.0115902,0,0,0,0,0,0,0,0
182,0,0,0,0,0.0440519,0.0582236,0.038901,0.00706416,0.0257451,0.0271196,0,0,0.0112381,0,0.0229389,0.00731186,0.0519941,0.0266893,0.0221344,0.0118325,0.0399788,0.0480415,0.00827129,0.0101483,0.0122319,0.0438277,0.0142791,0.016326,0.0130925,0.0114301,0.0412718,0.0107096,0.0116154,0.00586871,0.0277254,0.0095913,0.0247626,0.0275325,0.0181711,0,0,0.054804,0,0.0165238,0.0399824,0.061726,0.0483999,0.0160027,0.00923542,0.0446271,0.0352032,0.00471664,0.0580911,0.0102047,0.0115583,0.0253129,0,0.0296936,0.038866,0.0394375,0.0308306,0.0199236,0.0175144,0.0565648,0.0130005,0,0,0,0,0,0,0,0
183,0,0,0,0,0.0431549,0.0590881,0.0393433,0.00672799,0.0264817,0.0269958,0,0,0.0133345,0,0.0234239,0.00834569,0.0517095,0.0274053,0.0224763,0.0130012,0.0405139,0.0482149,0.00885277,0.0113678,0.0128392,0.0439865,0.0140751,0.0162352,0.0132027,0.0118262,0.0416624,0.0105797,0.0118802,0.00656611,0.0457289,0.0093138,0.0173992,0.025247,0.0166547,0,0,0.0569709,0,0.0169553,0.0414194,0.0600217,0.0400454,0.0170454,0.0101978,0.0463758,0.035901,0.0024357,0.0592063,0.0096942,0.00842434,0.0164962,0.0184059,0.0255568,0.0257912,0.0607239,0.0319522,0.0204956,0.0181274,0.0578541,0.0110976,0,0,0,0,0,0,0,0
184,0,0,0,0,0.0430445,0.0591261,0.0405492,0.00678054,0.0271185,0.0270022,0,0,0.0133346,0,0.0233934,0.00834504,0.0516861,0.0275981,0.0223772,0.0134537,0.0405609,0.0480245,0.00900756,0.0116745,0.0131497,0.0436641,0.0139461,0.0162838,0.0133054,0.011777,0.0426116,0.0105128,0.0118734,0.00658904,0.0437701,0.009283,0.0170145,0.025279,0.0165639,0,0,0.0574745,0,0.0171294,0.0417969,0.0600022,0.0389942,0.0171282,0.0101218,0.0466316,0.0363444,0.00237018,0.0591688,0.00930813,0.00893245,0.0156877,0.0180672,0.0252301,0.0255263,0.0584498,0.0319986,0.0206915,0.0182567,0.0579419,0.0109338,0,0,0,0,0,0,0,0
185,0,0,0,0,0.043207,0.0591426,0.0417154,0.00678741,0.0277083,0.026957,0,0,0.0132711,0,0.023352,0.00840217,0.0517363,0.0277393,0.0221832,0.0138942,0.0406223,0.0478008,0.00916634,0.0119797,0.0133078,0.0433243,0.0139137,0.0163434,0.0134272,0.0116752,0.0437547,0.0104568,0.0118543,0.00659627,0.041432,0.00920746,0.0170217,0.025252,0.0164052,0,0,0.0578727,0,0.0172304,0.0421156,0.0598784,0.0384799,0.0172002,0.00974897,0.0468314,0.0368044,0.00237602,0.0590845,0.009242,0.00924606,0.0143345,0.0180907,0.024713,0.0257497,0.055777,0.0321653,0.0208677,0.0183862,0.0580546,0.0107193,0,0,0,0,0,0,0,0
