Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,RTIBP,LTHI,LHEE,LTHII,RTIBI,
223,0,0,0,0,0.0130049,0.00921056,0,0,0,0.0294362,0.0114763,0.0123109,0.00544098,0,0,0.00200216,0,0.0182111,0.00211559,0.0476867,0.0353965,0.00799264,0.00559154,0.00536545,0.00336393,0.0475572,0.0109663,0.0129077,0.00614794,0.0188294,0.0348795,0.00100965,0.00804587,0.000761607,0.0965778,0.0159611,0.0802335,0.00421256,0.0125589,0,0,0.00341608,0,0.0130151,0.00126489,0.0669323,0.0999852,0.0238205,0.03941,0.00600917,0.0041436,0.0236782,0.0611604,0,0.0323513,0,0.079516,0.103802,0.00450883,0.00329862,0.00274487,0.00673126,0.0108056,0,0,0,0,0,0.0463139,0.00238129,0.0112036,0.0105566,0,0
224,0,0,0,0,0.0131104,0.00920213,0,0,0,0.0313091,0.0114462,0.0137974,0.00631772,0,0,0.00229684,0,0.0182432,0.00214996,0.0472275,0.036268,0.00975123,0.00639391,0.00499537,0.00445235,0.0477757,0.0113563,0.0132407,0.00703644,0.0192995,0.0370199,0.00125023,0.00805887,0.000764278,0.0941305,0.0160498,0.0778889,0.00510302,0.0125382,0,0,0.00332626,0,0.0130963,0.00112413,0.0664827,0.0970638,0.0232279,0.0383105,0.00636022,0.00432577,0.0219194,0.0611675,0.0292854,0.0305338,0,0.0817267,0.100512,0.00449105,0.00333707,0.00289754,0.0068362,0.0111085,0,0,0,0,0,0.043846,0.002308,0.0117284,0.0120384,0,0
225,0,0,0,0,0.0115359,0.00895941,0,0,0,0.0329849,0.0113155,0.0152855,0.00718532,0,0,0.00200642,0,0.0184106,0.00188084,0.0467928,0.0371859,0.0116189,0.0074491,0.00424354,0.00554533,0.0480571,0.0117946,0.0135023,0.0076803,0.0197993,0.0389385,0.00114209,0.0081987,0.000812182,0.0903517,0.0160817,0.0742534,0.00653814,0.0115849,0,0,0.0034055,0,0.0131988,0.00121307,0.0661116,0.0923963,0.0229497,0.0358916,0.00693643,0.00537363,0.0200549,0.0607045,0.027143,0.0281107,0,0.0843076,0.0963738,0.00437735,0.00346319,0.00306112,0.00713881,0.0106491,0,0,0,0,0,0.0404135,0.00257124,0.0125026,0.0134045,0,0
226,0,0,0,0,0.0128525,0.00943411,0,0,0,0.0343553,0.011362,0.0166674,0.00808328,0,0,0.00340412,0,0.0184015,0.0025957,0.046372,0.0380564,0.0135634,0.0080022,0.0044057,0.00662639,0.0483656,0.0122148,0.0135662,0.00824102,0.0202902,0.0405976,0.00225247,0.00813392,0.00091105,0.0856126,0.0160425,0.0694136,0.00809028,0.0131321,0,0,0.00328774,0,0.0131671,0.0011224,0.065658,0.0871639,0.0227673,0.0326955,0.00766409,0.00486466,0.0177223,0.0602462,0.0245129,0.025018,0,0.0870234,0.0915466,0.00433807,0.00336185,0.00284983,0.00715685,0.0122644,0,0,0,0,0,0.03633,0.00339149,0.0132917,0.0147653,0,0
227,0,0,0,0,0.0127924,0.00933184,0,0,0,0.0357065,0.0111021,0.0179466,0.00894982,0,0,0.00325401,0,0.0184905,0.00232313,0.0460312,0.0388598,0.0154141,0.00688883,0.00385115,0.00770599,0.04865,0.0125535,0.0134762,0.00876876,0.0208186,0.0422025,0.00216978,0.00822571,0.000842876,0.0802559,0.0160883,0.0640063,0.00959505,0.0130542,0,0,0.00340372,0,0.0132026,0.00128673,0.0651889,0.0816692,0.0228269,0.0285713,0.00857534,0.00494087,0.0148108,0.0597323,0.0212646,0.0215508,0,0.0897821,0.0866556,0.00433787,0.00339213,0.00269952,0.0072392,0.0126067,0,0,0,0,0,0.0316572,0.00425945,0.0137406,0.0160344,0,0
228,0,0,0,0,0.0137338,0.00951286,0,0,0,0.037103,0.0110353,0.0191415,0.0100854,0,0,0.00416535,0,0.018516,0.00271526,0.0454752,0.0399692,0.0171096,0.00677949,0.00370988,0.00882106,0.049333,0.0131433,0.0135496,0.00927576,0.0211705,0.0438112,0.0028146,0.00821225,0.000807825,0.0729663,0.0161033,0.0567013,0.0119453,0.0140108,0,0,0.00349291,0,0.013224,0.00137438,0.0646996,0.0727237,0.0230322,0.0223617,0.00949541,0.00498218,0.0110379,0.0590873,0,0.0164696,0,0.0928976,0.0805256,0.00432168,0.00344452,0.00257361,0.00720379,0.0136574,0,0,0,0,0,0.0250122,0.00514647,0.0143129,0.0174057,0,0
229,0,0,0,0,0.013838,0.00924744,0,0,0,0.0387712,0.0110055,0.0201992,0.0109458,0,0,0.00430651,0,0.0185576,0.00276112,0.0449722,0.0407176,0.0184889,0.00742726,0.00318131,0.0096419,0.0500835,0.0136053,0.013589,0.00962563,0.0212821,0.0458168,0.00302337,0.00821836,0.000642849,0.0661436,0.0161279,0.0505536,0.0134621,0.0140642,0,0,0.00365837,0,0.0132493,0.00135517,0.0644438,0.0653652,0.0229805,0.0178311,0.0100409,0.00483489,0.00824225,0.0587636,0.0133579,0.0130219,0,0.0944617,0.0742346,0.004404,0.00342396,0.00262572,0.00694549,0.0138325,0,0,0,0,0,0.0199268,0.00587313,0.0143375,0.0186469,0,0
230,0,0,0,0,0.0137127,0.00898292,0,0,0,0.0397997,0.0110891,0.0212809,0.0117207,0,0,0.0047927,0,0.0185475,0.002952,0.04456,0.0414833,0.0203772,0.00760741,0.00276682,0.0111085,0.050472,0.0137503,0.0132731,0.0100788,0.0220039,0.0469882,0.00355794,0.00813819,0.000611506,0.0558694,0.0161495,0.0419826,0.0155058,0.0141902,0,0,0.00389316,0,0.0132458,0.00151477,0.0642638,0.055174,0.0230208,0.012108,0.0102975,0.00491976,0.0050742,0.0585619,0.0104294,0.0084719,0,0.0952964,0.0646634,0.00455045,0.00354679,0.0027342,0.00664392,0.0140935,0,0,0,0,0,0.0131159,0.00715201,0.0148736,0.0200221,0,0
231,0,0,0,0,0.0134881,0.00865474,0,0,0,0.0412581,0.0111758,0.0223513,0.0126303,0,0,0.00539431,0,0.0184598,0.00307894,0.0441263,0.0423468,0.0218927,0.00810827,0.0024413,0.0125281,0.0511955,0.0140676,0.0132364,0.0104982,0.0224871,0.0486038,0.00412964,0.00805826,0.00066459,0.0459078,0.016231,0.0348283,0.017699,0.0141065,0,0,0.00431705,0,0.0132725,0.00180151,0.0641756,0.0464587,0.0228639,0.0109361,0.010293,0.00498015,0.005791,0.0586396,0.0124934,0.00744957,0,0.0954715,0.0553281,0.00489443,0.00368521,0.00276091,0.00627562,0.0141347,0,0,0,0,0,0.00790521,0.00835164,0.0154144,0.0211037,0,0
232,0,0,0,0,0.0130913,0.00814359,0,0,0,0.0431148,0.0112883,0.0232131,0.0134637,0,0,0.00593749,0,0.0183833,0.00322047,0.0437486,0.0429689,0.0230483,0.00834451,0.00231741,0.0136061,0.0516672,0.014443,0.0132848,0.0106675,0.0227675,0.0507514,0.00469981,0.00795761,0.000708314,0.0377679,0.0163157,0.0304713,0.0195662,0.0137291,0,0,0.00477203,0,0.0133118,0.00204104,0.0643605,0.0405243,0.0225554,0.0184522,0.010027,0.00499052,0.0114951,0.0592951,0.0195836,0.0135587,0,0.0949407,0.047323,0.00528251,0.00382543,0.0028853,0.00576349,0.0137861,0,0,0,0,0,0.00861782,0.00937628,0.0158079,0.0223644,0,0
