Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_M,IMU_T,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,RTIB,RTHII,RTIBA,LASI,RTIBI,IMU_B
9,0,0,0,0,0.0205139,0.0376448,0,0,0.0399075,0.0063065,0.0382693,0,0,0.0188489,0,0.025124,0.0106277,0.0496679,0.052186,0.0239241,0.0253708,0.0252367,0.0344895,0.0290072,0.0310158,0.0229933,0.0540406,0.0143756,0.015578,0.0140456,0.0144685,0.0464074,0.011845,0.0122866,0.00679536,0.0284785,0.0104247,0.0156226,0.0045976,0.00586514,0,0,0.0370673,0,0.0128656,0.0269536,0.0610095,0.0280358,0.0193422,0.0114471,0.0209767,0.0189404,0.00894732,0.0548889,0.0155462,0.0241596,0.0415455,0.0200543,0.013295,0.0131486,0.0395936,0.00544279,0,0,0,0,0,0.0135382,0.00708444,0.0213423,0,0,0
10,0,0,0,0,0.0204854,0.0374703,0,0,0.0369998,0.00640545,0.035619,0,0,0.0188355,0,0.0252737,0.0105403,0.0500969,0.048224,0.0234744,0.0226326,0.0258803,0.0340883,0.0271665,0.0283515,0.0201425,0.0528681,0.0138175,0.014918,0.0129503,0.0147138,0.0424694,0.011504,0.0123832,0.0067368,0.0292267,0.0102212,0.0155301,0.00483419,0.00551182,0,0,0.0380313,0,0.0129749,0.0276327,0.0603509,0.0290747,0.0195275,0.0106359,0.0207096,0.0198005,0.00815547,0.0554172,0.0145312,0.023927,0.0433125,0.0203588,0.0137276,0.0134767,0.0395447,0.00493342,0,0,0,0,0,0.0132768,0.00700223,0.0214772,0,0,0
11,0,0,0,0,0.0205902,0.0371033,0,0,0.0373104,0.00641903,0.0344312,0,0,0.0191551,0,0.0253108,0.010735,0.0502944,0.0459983,0.0231892,0.0187971,0.0264636,0.0336494,0.0250062,0.0244947,0.0165438,0.0517558,0.0138011,0.0149714,0.0126602,0.0143766,0.0423049,0.0111951,0.0123432,0.00682245,0.0296151,0.0100468,0,0.00504321,0.00523335,0,0,0.038946,0,0.0131129,0.0283605,0.0601083,0.0298282,0.0199184,0.0100549,0.020497,0.020803,0.0070982,0.0557652,0.0133025,0.0235844,0.0446221,0.0206449,0.0140931,0.0139224,0.0395403,0.00451753,0,0,0,0,0,0.0128143,0.00689081,0.0215354,0,0,0
12,0,0,0,0,0.0206627,0.0370555,0,0,0.0387124,0.00636734,0.0334946,0,0,0.0197837,0,0.0253055,0.0110273,0.0503832,0.0449735,0.0228565,0.0148257,0.0269183,0.0330923,0.0219914,0.0207355,0.013009,0.0507461,0.0133616,0.0145509,0.0122605,0.0145028,0.0434971,0.0110684,0.0123365,0.00704141,0.0294918,0.00983887,0.0158609,0.00532085,0.00487243,0,0,0.0399315,0,0.0132621,0.0291282,0.060269,0.0296795,0.0202357,0.00928589,0.0203194,0.0217395,0.00577861,0.0557341,0.011662,0.0227371,0.0448204,0.0211149,0.0145284,0.0144904,0.0394611,0.00418178,0,0,0,0,0,0.0121813,0.0062133,0.0214756,0,0,0
13,0,0,0,0,0.0207581,0.0372174,0,0,0.0390759,0.0063488,0.0329886,0,0,0.0202847,0,0.0254581,0.0112579,0.0501657,0.0442016,0.0225182,0.0121807,0.0267687,0.032348,0.0186377,0.0177807,0.0113966,0.049911,0.0123491,0.0138776,0.0119736,0.0150273,0.0443885,0.010938,0.0123893,0.00722932,0.0296748,0.00956478,0.0159458,0.00563087,0.00443978,0,0,0.0406298,0,0.0133261,0.0296317,0.0609439,0.0292209,0.0207738,0.00858714,0.0198239,0.0227257,0.00434756,0.0559694,0.0098769,0.0218866,0.0449388,0.0214446,0.0147733,0.0149276,0.0388795,0.00379392,0,0,0,0,0,0.0113274,0.00538728,0.0215696,0.00871258,0.0256986,0
14,0,0,0,0,0.0208952,0.0377369,0,0,0.0368034,0.0063414,0.031655,0,0,0.0216477,0,0.0259404,0.0120339,0.0498437,0.0411936,0.0220798,0.0115099,0.0271689,0.0318997,0.0167807,0.0155023,0.0110477,0.0489117,0.0111134,0.0130265,0.0118686,0.0150405,0.0430021,0.0113567,0.0125843,0.00770388,0.0293639,0.00918812,0.0157535,0.00641996,0.00376806,0,0,0.0428544,0,0.0135376,0.0309726,0.0613456,0.0278257,0.02101,0.00846808,0.0204357,0.0239134,0.00295414,0.0564177,0.0083485,0.0206223,0.0443567,0.0228437,0.0151656,0.015544,0.0390314,0.00333542,0,0,0,0,0,0.010157,0.00595516,0.0218015,0.00900185,0.0256474,0
15,0,0,0,0,0.0213341,0.0381547,0,0,0.0321416,0.006393,0.0281377,0,0,0.0232948,0,0.0264612,0.0129767,0.0493686,0.0362506,0.0217923,0.0118788,0.0276928,0.0317227,0.0152271,0.0134932,0.0107995,0.0482139,0.0107116,0.0129829,0.0118532,0.0139145,0.0390159,0.0120101,0.0128185,0.00832897,0.0286144,0.00887206,0.0151365,0.00723202,0.00351031,0,0,0.0456003,0,0.0138409,0.0325717,0.0620039,0.0254487,0.0211513,0.00884388,0.0213659,0.0251558,0.00233955,0.0570407,0.00746647,0.0197733,0.0433382,0.0244592,0.0155644,0.0161752,0.0394765,0.00331573,0,0,0,0,0,0.00861615,0.00707909,0.0222845,0.00938135,0.0253272,0
16,0,0,0,0,0.0218553,0.0385315,0,0,0.0272178,0.00653719,0.024276,0,0,0.0248423,0,0.0270343,0.0139279,0.0491133,0.0325035,0.0217674,0.0116719,0.0282465,0.0317332,0.0126968,0.0116338,0.0104523,0.0483867,0.0115984,0.0140945,0.0120569,0.01213,0.0348896,0.0126118,0.0130594,0.00902567,0.0279732,0.00863988,0.0143802,0.00808396,0.00368191,0,0,0.0479517,0,0.0141159,0.0338749,0.0628189,0.0221154,0.0211044,0.00942008,0.0223617,0.0261709,0.00349321,0.0577067,0.00827238,0.0195093,0.0421009,0.0258898,0.0156559,0.0167096,0.0397842,0.00376685,0,0,0,0,0,0.00762762,0.00811934,0.022806,0.00947721,0.0251047,0
17,0,0,0,0,0.0340559,0.0456652,0,0,0.0232538,0.00845143,0.0217858,0,0,0.0311192,0,0.0300201,0.0180753,0.0496529,0.0317259,0.0208601,0.0108823,0.0299031,0.0384869,0.0108223,0.0103667,0.00915616,0.048953,0.0124463,0.0148381,0.0121789,0.0108525,0.0327255,0.0139325,0.0139213,0.0119044,0.0468176,0.00923904,0.0252469,0.0133417,0.0170861,0,0,0.0421831,0,0.0132754,0.0298949,0.0650041,0.0262086,0.0217984,0.0134314,0.0228969,0.0303752,0.00925971,0.0578337,0.0151248,0.0281595,0.0586452,0.0207219,0.0138045,0.015175,0.0443375,0.0127174,0,0,0,0,0,0.015919,0.012276,0,0.010981,0.0300152,0
18,0,0,0,0,0.0231546,0.0394517,0,0,0.0229462,0.00663107,0.0212926,0,0,0.0250435,0,0.0275075,0.014938,0.0495995,0.0314543,0.0218567,0.00874511,0.0291968,0.032079,0.00991509,0.00857105,0.00779786,0.0502912,0.0132106,0.0154206,0.0124833,0.0104031,0.0322497,0.0128099,0.0132819,0.00976433,0.0269698,0.00811459,0.014691,0.0102431,0.00505572,0,0,0.050514,0,0.0142983,0.0355606,0.0642249,0.0209223,0.0212649,0.0104299,0.0238327,0.0279433,0.00681871,0.058569,0.0120897,0.022444,0.0386692,0.0275978,0.0159302,0.0173958,0.0405015,0.00615498,0,0,0,0,0,0.0108597,0.00942555,0.0232463,0.0101826,0.0257511,0
