Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,LHEE,RTHI,,IMU_T
32,0,0,0,0,0.0331735,0.0507965,0,0.0491433,0.0109551,0.0259197,0.0202854,0,0,0.00261254,0,0.0178372,0.00154713,0.049842,0.0206361,0.00867379,0.029469,0.0550787,0.0077901,0.00775464,0.00825594,0.0426333,0.0156665,0.0179187,0.0124832,0.00988862,0.0528383,0.0223297,0.00834964,0.0021223,0.0228528,0.00981549,0.0209029,0.0200573,0.00777314,0,0,0.0543418,0,0.0152161,0.0366078,0.0629701,0.0290557,0.02051,0.00865873,0.0335161,0.0297753,0.0499952,0.00890105,0.00766521,0.0161225,0.0256938,0.0218925,0.00623907,0.0318879,0.0318776,0.0137655,0.0154132,0.0503703,0.0074209,0,0,0,0,0,0.0218514,0.00911081,0,0
33,0,0,0,0,0.0329563,0.0509406,0,0.046493,0.0107771,0.0248694,0.020157,0,0,0.00230981,0,0.0179435,0.00164729,0.0498445,0.0209341,0.00751133,0.0288101,0.0553344,0.0075228,0.00720509,0.00705107,0.0434314,0.0156269,0.0177097,0.0121301,0.00993528,0.0499494,0.0221573,0.00845213,0.00230739,0.017856,0.00971591,0.0120648,0.019445,0.00737614,0,0,0.0547919,0,0.015278,0.0369102,0.0633552,0.0199429,0.0206862,0.00965949,0.0334078,0.0295904,0.0492947,0.00670346,0.00530796,0.0145569,0.0237918,0.0188806,0.00952976,0.0247042,0.0323329,0.0139323,0.015478,0.0507688,0.00707713,0,0,0,0,0,0.0212329,0.0066711,0,0
34,0,0,0,0,0.0326092,0.0510655,0,0.0430193,0.010583,0.0237548,0.0201032,0,0,0.00228609,0,0.018058,0.00185095,0.0496564,0.0211333,0.00696113,0.0281674,0.0553149,0.00751286,0.00722844,0.00634445,0.0442928,0.0153223,0.017201,0.0115765,0.0100346,0.046054,0.0220381,0.00857593,0.00249407,0.0184644,0.00945257,0.00694035,0.0184572,0.00693437,0,0,0.055287,0,0.0152291,0.0373201,0.0632074,0.0148889,0.0208309,0.0102222,0.0331949,0.0295784,0.0493489,0.00545525,0.00496557,0.0132742,0.0239374,0.016515,0.0135459,0.0237781,0.0329226,0.0141451,0.0156059,0.0511399,0.00656973,0,0,0,0,0,0.0207473,0.00437834,0,0
35,0,0,0,0,0.0319537,0.0511156,0,0.0388057,0.0103079,0.0229069,0.0200971,0,0,0.00279227,0,0.0182357,0.00230607,0.049403,0.0212366,0.00736122,0.0276884,0.0548554,0.0079747,0.0078651,0.00659931,0.0452463,0.0146562,0.0163591,0.0107922,0.01003,0.0409843,0.0217004,0.00874829,0.00270301,0.022859,0.00926372,0.00495676,0.0174322,0.00639508,0,0,0.05617,0,0.0153883,0.0379606,0.0628144,0.0161854,0.0212187,0.0101526,0.0328228,0.0297462,0.04966,0.00515288,0.00607439,0.0131369,0.0253498,0.014041,0.0159347,0.0258581,0.0336974,0.014478,0.0159078,0.0515062,0.00576981,0,0,0,0,0,0.0205482,0.00270491,0,0
36,0,0,0,0,0.0312481,0.0509523,0,0.0338535,0.0100758,0.0228057,0.0203803,0,0,0.00387768,0,0.0184672,0.00289403,0.0493274,0.021242,0.00862521,0.0273416,0.0540234,0.00877031,0.00892041,0.00792293,0.0462549,0.0134315,0.0151932,0.0100779,0.0100252,0.0344054,0.0213359,0.00889487,0.00296885,0.0310792,0.00914145,0.0102654,0.0166808,0.00603658,0,0,0.05731,0,0.0156114,0.038585,0.0625769,0.0239111,0.0217705,0.0109634,0.0322757,0.0301397,0.0494353,0.0051592,0.00712795,0.0133839,0.0261471,0.0113595,0.017594,0.0293533,0.0343439,0.0147872,0.0162072,0.0517075,0.00522282,0,0,0,0,0,0.020954,0.00271488,0,0
37,0,0,0,0,0.0315819,0.0512346,0,0.0276132,0.00995065,0.0243253,0.0211422,0,0,0.00554,0,0.0187076,0.00345475,0.0493451,0.0212789,0.0099776,0.0275272,0.0534165,0.00964242,0.0103359,0.00981894,0.0473188,0.011636,0.0141858,0.00990576,0.0102884,0.0264864,0.0202234,0.0090354,0.00314538,0.0427904,0.00905091,0.0223531,0.0163275,0.00666929,0,0,0.0581348,0,0.0157851,0.0389771,0.0627616,0.0351252,0.0222469,0.0133241,0.0324159,0.0314109,0.0488451,0.00646904,0.00645845,0.0129016,0.0259159,0.00989138,0.0200404,0.0364936,0.0341695,0.0151535,0.0164095,0.052247,0.00577879,0,0,0,0,0,0.0228478,0.00328121,0,0
38,0,0,0,0,0.0316207,0.0511306,0,0.0222871,0.00974433,0.0270198,0.0217314,0,0,0.00651212,0,0.0187562,0.00388012,0.0492203,0.0217165,0.0119859,0.0276402,0.0527003,0.0106087,0.0121836,0.0124549,0.0487956,0.00981116,0.014254,0.0100506,0.0105961,0.0177689,0.0190921,0.009035,0.00327891,0.050951,0.00894496,0.0306788,0.0160588,0.00687412,0,0,0.0582133,0,0.0158944,0.0389785,0.0633934,0.0431884,0.0225952,0.0149012,0.0326083,0.0322716,0.048461,0.00727425,0.00481526,0.0120979,0.0255964,0.011076,0.0223817,0.0429623,0.033925,0.0154011,0.0165754,0.0522432,0.00701397,0,0,0,0,0,0.0249484,0.00333399,0,0
39,0,0,0,0,0.0315874,0.0509729,0,0.0204588,0.00961014,0.0310264,0.021903,0,0,0.00705409,0,0.0187968,0.00404804,0.0489876,0.0224008,0.0136934,0.0276659,0.0523494,0.0114444,0.0138383,0.014914,0.0506017,0.00845191,0.0163388,0.0105913,0.011078,0.0103069,0.0181012,0.00902317,0.00334043,0.049844,0.00886912,0.0306874,0.0159021,0.00687805,0,0,0.0575129,0,0.0158724,0.0386149,0.0639154,0.0419098,0.0226951,0.0133946,0.0328986,0.0327873,0.0490281,0.00702095,0.00424296,0.0102501,0.0253815,0.0123562,0.0225124,0.0422625,0.0333885,0.015479,0.0166012,0.0519569,0.00883711,0,0,0,0,0,0.027032,0.00369598,0,0
40,0,0,0,0,0.0316962,0.05085,0,0.0237273,0.00958518,0.0350446,0.0222579,0,0,0.00747829,0,0.0188156,0.00395354,0.0487376,0.0230577,0.0148916,0.0277408,0.0524544,0.0120321,0.015328,0.0167609,0.0524905,0.00826796,0.0200588,0.0113944,0.0115641,0.0123457,0.0173096,0.00899497,0.00331647,0.0479757,0.00887849,0.0299087,0.0159788,0.00671593,0,0,0.0564779,0,0.0158042,0.0380341,0.0642241,0.0391922,0.0226632,0.010944,0.0333027,0.0329955,0.0495828,0.00631119,0.00426363,0.00759745,0.0253322,0.0141978,0.0223152,0.0412525,0.0327277,0.0153688,0.0164732,0.0514777,0.0105843,0,0,0,0,0,0.0287266,0.00504441,0,0
41,0,0,0,0,0.0321285,0.050704,0,0.0299932,0.00967016,0.0381832,0.0229836,0,0,0.00799305,0,0.0188076,0.00361184,0.0483882,0.023609,0.015773,0.0279199,0.0528721,0.0123301,0.0170184,0.0180096,0.0541727,0.00914895,0.0238184,0.0122263,0.0118846,0.0214558,0.0167374,0.00894129,0.00324687,0.0463409,0.00897023,0.0289476,0.016393,0.00654223,0,0,0.0553802,0,0.0157394,0.0374001,0.0644081,0.036051,0.022581,0.00816689,0.0338089,0.0330905,0.0498334,0.00593961,0.0044649,0.00501983,0.0252999,0.0162908,0.0217224,0.0409197,0.0319478,0.0151271,0.0163344,0.0508043,0.0114204,0,0,0,0,0,0.0298398,0.00626024,0,0
42,0,0,0,0,0.0325742,0.0504636,0,0.0367501,0.0098683,0.0402983,0.0239279,0,0,0.00850098,0,0.0187482,0.00316124,0.0478952,0.0240433,0.0165165,0.0281851,0.0534075,0.0125028,0.0186312,0.0187921,0.0555988,0.0104621,0.0268746,0.0129743,0.0120284,0.0314202,0.0164275,0.00882333,0.00326096,0.045883,0.00909533,0.0289174,0.017038,0.00646054,0,0,0.0544095,0,0.0156443,0.0369106,0.064531,0.0342676,0.0226201,0.00664904,0.0343602,0.0331586,0.0494836,0.0063002,0.00428102,0.00396525,0.0250468,0.0175054,0.0212447,0.0415289,0.0311711,0.014936,0.0162286,0.0501574,0.0109756,0,0,0,0,0,0.0309642,0.00703416,0,0
43,0,0,0,0,0.0326398,0.0501747,0,0.0431196,0.0101497,0.0414597,0.0246967,0,0,0.0088891,0,0.0186561,0.00275893,0.0472927,0.0243396,0.0172515,0.0283434,0.0538544,0.0127346,0.0203833,0.0192358,0.0568349,0.0118238,0.0292529,0.0137008,0.0121061,0.0418064,0.0160073,0.00866365,0.00338684,0.0457513,0.00926511,0.0296199,0.0175134,0.00665612,0,0,0.0535133,0,0.0155452,0.0364847,0.064614,0.0333032,0.0226938,0.0063321,0.0347946,0.0332371,0.0493786,0.00637467,0.00431689,0.00383774,0.0250686,0.0175206,0.0212274,0.0420177,0.0305431,0.014867,0.0162063,0.0497843,0.00939972,0,0,0,0,0,0.0321318,0.00727,0,0
44,0,0,0,0,0.0322339,0.0498307,0,0.0487062,0.0104862,0.0417822,0.0249785,0,0,0.00890344,0,0.0185235,0.00257925,0.0466151,0.0243153,0.0181802,0.0281461,0.0538825,0.0130995,0.0224161,0.0192838,0.0578709,0.0132155,0.0311929,0.0143526,0.0121605,0.0527427,0.0157509,0.00848309,0.00352031,0.0454925,0.00940868,0.0308152,0.0174657,0.00706765,0,0,0.0525308,0,0.0154269,0.0359806,0.06457,0.0328422,0.0226889,0.0068873,0.0348916,0.0332494,0.0497407,0.00607134,0.00470063,0.0043349,0.0254988,0.0175735,0.0216822,0.042024,0.0299908,0.0148241,0.0160537,0.0495697,0.00744055,0,0,0,0,0,0.0335305,0.00682886,0,0
45,0,0,0,0,0.0317657,0.0495434,0,0.0532407,0.0107372,0.0414823,0.0250617,0,0,0.0087417,0,0.0184534,0.00275263,0.0461277,0.0241813,0.0193581,0.0278477,0.0534238,0.0135173,0.0246672,0.0189573,0.0586536,0.0145428,0.0327262,0.0149262,0.012243,0.0642404,0.0156267,0.00838506,0.00355782,0.0448525,0.00953229,0.0321351,0.0170048,0.00759,0,0,0.0516305,0,0.0153781,0.0355959,0.0642939,0.032957,0.0226107,0.00724695,0.0346723,0.0331748,0.0505782,0.00497437,0.00558209,0.00550305,0.0262355,0,0.022882,0.0414996,0.0295589,0.0148171,0.0159458,0.0494759,0.00597917,0,0,0,0,0,0.0350188,0.00582853,0,0
46,0,0,0,0,0.0315478,0.0493046,0,0.0572525,0.0108985,0.0406003,0.0248961,0,0,0.00846463,0,0.0183816,0.00308917,0.0458822,0.0239789,0.0207231,0.0275921,0.052522,0.0138422,0.0268973,0.0188064,0.0591485,0.0158595,0.0340702,0.0155288,0.0123002,0.0754245,0.0155155,0.0083565,0.00338927,0.0434571,0.00956169,0.0327315,0.0164084,0.00811621,0,0,0.0509382,0,0.0153254,0.0353728,0.0638914,0.0330217,0.0224107,0.00793264,0.0341977,0.0329873,0.0514896,0.00391549,0.00673357,0.00679187,0.0272118,0.0176792,0.0240345,0.0400365,0.0293593,0.0148363,0.0158915,0.049416,0.00512225,0,0,0,0,0,0.0373833,0.00519386,0,0
47,0,0,0,0,0.0316205,0.04927,0,0.0618922,0.0108284,0.0389866,0.024441,0,0,0.00837607,0,0.0184788,0.00368295,0.0457125,0.0237532,0.0221907,0.0274284,0.0514558,0.0142635,0.0291526,0.0185155,0.0594317,0.0171466,0.0353795,0.0160932,0.0124811,0.0854109,0.0156169,0.00848235,0.00314439,0.0428082,0.00955743,0.0339237,0.0157366,0.0084292,0,0,0.0508261,0,0.0153447,0.0354136,0.063422,0.0341179,0.0222379,0.00837376,0.033677,0.0327222,0.0521431,0.00425385,0.00745481,0.00793909,0.0279724,0,0.025323,0.0392873,0.029443,0.0150011,0.0159231,0.0495038,0.00476476,0,0,0,0,0,0.0413345,0.00498658,0,0
48,0,0,0,0,0.0317559,0.0493289,0,0.0669446,0.0106231,0.0372997,0.0237312,0,0,0.00876837,0,0.0187317,0.00438276,0.0456665,0.0235578,0.0237903,0.0272485,0.0504366,0.014801,0.0313631,0.0185751,0.0596926,0.0185311,0.0367626,0.0164256,0.0129431,0.0944527,0.0160579,0.00870027,0.00295137,0.0417102,0.00954388,0.0344033,0.0152047,0.00849033,0,0,0.0511289,0,0.0153779,0.0355218,0.0632727,0.0348334,0.0220749,0.0085454,0.0331294,0.032391,0.052693,0.00510353,0.00783799,0.00876109,0.0283584,0.0162828,0.0257965,0.0381618,0.0297451,0.0151766,0.0159482,0.0496495,0.00529387,0,0,0,0,0,0.0461827,0.00523562,0,0
49,0,0,0,0,0.0318128,0.0493669,0,0.0717241,0.0103212,0.0365927,0.0229378,0,0,0.00957177,0,0.0191222,0.00500987,0.0456641,0.0232854,0.0254378,0.02704,0.0497053,0.015475,0.033626,0.0190144,0.0600522,0.0198963,0.0382331,0.016492,0.0137392,0.102712,0.0163638,0.00899139,0.00285402,0.0411733,0.00950626,0.0347491,0.0147473,0.00830666,0,0,0.0517142,0,0.0153926,0.0356093,0.0633871,0.0349278,0.0220292,0.00864048,0.0326796,0.032067,0.0529727,0.00528298,0.00759891,0.00894679,0.0283485,0.0154552,0.0256821,0.0377444,0.0301738,0.0152203,0.0160059,0.0497612,0.00691786,0,0,0,0,0,0.0508374,0.00539848,0,0
50,0,0,0,0,0.0317501,0.0492778,0,0.0768223,0.00997612,0.0370709,0.0223741,0,0,0.0104213,0,0.019604,0.00548168,0.0456621,0.0230283,0.0268618,0.0270707,0.0493209,0.0162129,0.0356757,0.0193534,0.0604382,0.0210389,0.0395923,0.0165093,0.0148274,0.110418,0.0167973,0.00932836,0.00286945,0.0410202,0.00950257,0.0350788,0.0145132,0.00805286,0,0,0.0523929,0,0.0154567,0.0357152,0.0637159,0.0347253,0.0221004,0.00876551,0.0323017,0.0318501,0.0529291,0.00493168,0.00690754,0.00857064,0.028034,0.0153309,0.0252401,0.0378709,0.0305961,0.0152142,0.0160938,0.049732,0.00925503,0,0,0,0,0,0.0544997,0.00534505,0,0
51,0,0,0,0,0.0315416,0.0491867,0,0.0819666,0.00967583,0.0380278,0.0221204,0,0,0.0114156,0,0.0200667,0.00584851,0.0456095,0.0228172,0.0278571,0.0272787,0.0492791,0.0169093,0.0372739,0.0195973,0.0607135,0.0219571,0.0408643,0.0165761,0.0159776,0.117289,0.0174457,0.00962898,0.00292501,0.0409076,0.00948572,0.0351741,0.0144977,0.00787149,0,0,0.0528254,0,0.0154592,0.0357242,0.0641828,0.0341591,0.0222079,0.00884577,0.0319014,0.0318034,0.0528425,0.00517343,0.0058994,0.00785402,0.0276015,0.0164076,0.0246402,0.0380457,0.0308483,0.015143,0.0161482,0.0496026,0.0114075,0,0,0,0,0,0.0577496,0.00507698,0,0
52,0,0,0,0,0.0313076,0.0490939,0,0.0867583,0.00949106,0.0391717,0.0220066,0,0,0.0124252,0,0.0204476,0.00609509,0.0455393,0.0225781,0.0283845,0.0273816,0.0493975,0.0174487,0.03822,0.0198254,0.0608494,0.0226793,0.0420011,0.0166771,0.0170537,0.123171,0.018086,0.00983893,0.00289318,0.0407177,0.0094405,0.0349905,0.0144992,0.00764954,0,0,0.0528474,0,0.0153621,0.0355763,0.0646901,0.033247,0.022278,0.00905661,0.0315396,0.0318482,0.0529581,0,0.00479937,0.00706825,0.027104,0.0174424,0.0239145,0.0380458,0.0308232,0.0150207,0.0161237,0.0494645,0.0126843,0,0,0,0,0,0.0600736,0.00481391,0,0
53,0,0,0,0,0.0312601,0.0489991,0,0.091108,0.00942334,0.0403769,0.0220019,0,0,0.0133237,0,0.020677,0.00629,0.0455418,0.0223393,0.0284448,0.0274275,0.0493874,0.0176648,0.0384722,0.0198938,0.0608739,0.023174,0.0429537,0.0167106,0.0180087,0.12795,0.0184352,0.00991406,0.00277695,0.0403935,0.00944318,0.0346695,0.0145247,0.00752243,0,0,0.0526525,0,0.0153002,0.0354058,0.0651553,0.0324228,0.0222999,0.00878762,0.0311429,0.0318956,0.0532009,0.00705892,0.00348836,0.0064771,0.0265323,0.0183089,0.0235154,0.0378231,0.0305663,0.0149585,0.0160807,0.0493144,0.0126763,0,0,0,0,0,0.0613251,0.0047949,0,0
54,0,0,0,0,0.0315106,0.0489019,0,0.0947714,0.00939575,0.0416406,0.0220387,0,0,0.0139391,0,0.0207137,0.00654019,0.045636,0.022122,0.0281196,0.0274385,0.0492076,0.0175822,0.038128,0.0198366,0.0607978,0.0234809,0.0437329,0.0167253,0.0187603,0.131271,0.0184735,0.00990342,0.00269025,0.0397979,0.00942853,0.0344457,0.0145068,0.0074713,0,0,0.0523628,0,0.0152346,0.0352296,0.0655364,0.0324199,0.0222719,0.00913871,0.0306591,0.031972,0.0535513,0.0056142,0.00219681,0.00621025,0.025815,0.0186811,0.0247852,0.0371814,0.0302604,0.0149434,0.0160344,0.0491638,0.0115801,0,0,0,0,0,0.0621552,0.00552907,0,0
55,0,0,0,0,0.0318736,0.0488231,0,0.0975463,0.00941784,0.0424663,0.0219739,0,0,0.0143081,0,0.0206478,0.00682327,0.045772,0.0218816,0.0276689,0.0273803,0.0488051,0.0174969,0.0376699,0.0197407,0.0606822,0.0235136,0.0440493,0.0166419,0.0193215,0.133555,0.0182104,0.0098392,0.00272262,0.0391832,0.00941626,0.0345705,0.0144994,0.00751103,0,0,0.0521134,0,0.0151792,0.0350895,0.0657859,0.0327805,0.0222082,0.0103887,0.0301609,0.032081,0.0536047,0.0062211,0.00237376,0.00645491,0.0250203,0.0186024,0.0281655,0.0363645,0.029938,0.0149255,0.0159533,0.0489555,0.010047,0,0,0,0,0,0.0627598,0.00720816,0,0
56,0,0,0,0,0.0321125,0.0487439,0,0.0992137,0.00951114,0.0428432,0.021757,0,0,0.0146277,0,0.0205739,0.00717005,0.0459213,0.0216354,0.0270675,0.027271,0.048295,0.0173195,0.0369458,0.019719,0.0605074,0.0232979,0.0440003,0.0165131,0.0196762,0.13488,0.017764,0.00974358,0.00295242,0.0384182,0.00943297,0.0345619,0.0144546,0.00758664,0,0,0.0518952,0,0.0151673,0.0349628,0.06597,0.0326544,0.0220953,0.0113793,0.029622,0.0321454,0.053737,0,0.00361228,0.00703166,0.0242487,0.018806,0.0292913,0.0354446,0.0296368,0.0149305,0.0158907,0.0486517,0.00870399,0,0,0,0,0,0.0632001,0.00806835,0,0
57,0,0,0,0,0.0321782,0.0486013,0,0.0998959,0.0096153,0.0428252,0.0216815,0,0,0.0148154,0,0.0204923,0.00750167,0.0461161,0.0214487,0.0261525,0.0272018,0.0477364,0.0169656,0.0357855,0.0198573,0.0602228,0.0227939,0.0436139,0.016296,0.0198666,0.13541,0.0167635,0.00963272,0.00328959,0.0369907,0.00946392,0.0339849,0.014454,0.00772506,0,0,0.0517108,0,0.0151783,0.0348691,0.0660948,0.0321358,0.0219703,0.0113259,0.0290892,0.032194,0.0539719,0.00983797,0.00411226,0.00768059,0.0236268,0.0192073,0.0287667,0.0339855,0.0294218,0.0149602,0.0158883,0.0483273,0.00795357,0,0,0,0,0,0.0632678,0.00787385,0,0
58,0,0,0,0,0.0322254,0.0484377,0,0.0999464,0.00967383,0.0424947,0.0215948,0,0,0.0148717,0,0.020421,0.00777441,0.0462565,0.0213296,0.0249313,0.027177,0.0471575,0.0164485,0.0342574,0.0199977,0.0598767,0.0219941,0.0427748,0.0160083,0.0199338,0.135151,0.015686,0.00950903,0.0035942,0.0357045,0.00949534,0.0335216,0.014336,0.00791047,0,0,0.0515505,0,0.0151822,0.0347998,0.0660582,0.0323876,0.0219012,0.0111547,0.02867,0.0321955,0.0542117,0.0106505,0.00433575,0.00921112,0.0229189,0,0.0277801,0.0328112,0.0292683,0.0149888,0.0158649,0.0480683,0.00777072,0,0,0,0,0,0.0629395,0.00763096,0,0
59,0,0,0,0,0.0323997,0.0482975,0,0.0995524,0.00972065,0.0419592,0.0215995,0,0,0.0148248,0,0.0203551,0.00791511,0.0463814,0.0211817,0.0234713,0.0272495,0.0465534,0.0157814,0.0323689,0.0197872,0.0594632,0.0210023,0.041549,0.0155116,0.0199322,0.133979,0.0148237,0.00938805,0.00377889,0.0340747,0.00955164,0.0328607,0.0144233,0.00823004,0,0,0.0512493,0,0.0151643,0.0346037,0.0660248,0.0332038,0.0218238,0.0115296,0.0282741,0.0321342,0.0540662,0.0103283,0.0047753,0.00858262,0.0222915,0.0198818,0.0263044,0.0312482,0.0290809,0.0149543,0.0158459,0.047765,0.00789488,0,0,0,0,0,0.0623632,0.00765598,0,0
60,0,0,0,0,0.0326041,0.0481941,0,0.0985757,0.00969551,0.0412631,0.0216012,0,0,0.0147471,0,0.0203347,0.00791007,0.0464687,0.0209933,0.0219073,0.0273422,0.046052,0.0150461,0.0302155,0.0196107,0.0590141,0.0198139,0.0399423,0.0148644,0.0198722,0.132082,0.0142145,0.00935314,0.00386159,0.0331796,0.0096112,0.0328411,0.0144576,0.00856127,0,0,0.0509842,0,0.0151523,0.0344148,0.0659322,0.0350093,0.021783,0.0122694,0.0278506,0.0319668,0.0538235,0.0103348,0.00542597,0.00823047,0.0215552,0.0200659,0.0260545,0.0305278,0.0289913,0.014916,0.0158614,0.0475003,0.00829562,0,0,0,0,0,0.0615463,0,0,0
61,0,0,0,0,0.0328642,0.0481407,0,0.096768,0.00964094,0.040488,0.0216312,0,0,0.0145861,0,0.0203534,0.00776047,0.0465375,0.0207695,0.0201849,0.027414,0.0457604,0.014038,0.0277323,0.0195429,0.0585996,0.0183746,0.0378802,0.0140935,0.0197668,0.129163,0.0138041,0.00938708,0.00385642,0.0320948,0.00965365,0.0326074,0.0144638,0.00883084,0,0,0.0506896,0,0.0150899,0.0341679,0.0658779,0.0357475,0.0217999,0.0122822,0.0273967,0.0316946,0.05364,0.0100137,0.0056511,0.00948107,0.0209873,0.0204677,0.0251663,0.0298055,0.0289667,0.0148378,0.0158285,0.0472952,0.00881507,0,0,0,0,0,0.0603911,0.007983,0,0
62,0,0,0,0,0.0331016,0.0481325,0,0.0942052,0.00957936,0.0396096,0.0216985,0,0,0.0144362,0,0.0204017,0.00767774,0.0466026,0.0205889,0.0184068,0.0275278,0.0456399,0.012793,0.0248733,0.019554,0.0582796,0.0166274,0.0353143,0.0131896,0.0195926,0.125087,0.0135324,0.00943963,0.00382076,0.0311145,0.00972301,0.0325372,0.0142786,0.00902248,0,0,0.0504435,0,0.0150343,0.0339696,0.0657866,0.0366444,0.0219069,0.0120992,0.0270319,0.0313832,0.0537286,0.00965423,0.00613507,0.0104072,0.0202728,0,0.0250599,0.0295919,0.029001,0.0147494,0.0158015,0.047176,0.0093552,0,0,0,0,0,0.0587804,0.00757194,0,0
63,0,0,0,0,0.0333993,0.0481551,0,0.0907757,0.00955207,0.038548,0.0217913,0,0,0.014259,0,0.0204103,0.00772121,0.0467938,0.0203964,0.0167686,0.0276511,0.0455714,0.011467,0.0217124,0.0197128,0.0580657,0.0145242,0.0322207,0.0121461,0.0193106,0.119603,0.0133552,0.00945084,0.00377318,0.0302153,0.0097835,0.0323469,0.0140384,0.0092444,0,0,0.0500939,0,0.0149135,0.0337234,0.0658583,0.037457,0.0219227,0.0121146,0.0266334,0.0310314,0.0537207,0.00953146,0.00663148,0.010775,0.019672,0,0.0252533,0.0294082,0.0290344,0.0146108,0.0156891,0.0470841,0.00982017,0,0,0,0,0,0.0565744,0.0079417,0,0
64,0,0,0,0,0.0335256,0.0481337,0,0.0861672,0.00958432,0.0372523,0.0218906,0,0,0.0140941,0,0.0203977,0.00766173,0.0470208,0.0202305,0.0157158,0.027727,0.0455282,0.0103595,0.0184965,0.0201617,0.0579166,0.0120585,0.0284696,0.0109747,0.0189355,0.112519,0.0131644,0.00941706,0.00375222,0.0298518,0.00993053,0.0324473,0.0136134,0.00940363,0,0,0.0496604,0,0.0148445,0.0334385,0.0659236,0.0378786,0.0219423,0.0123067,0.0261093,0.0304123,0.053606,0.00962461,0.00716287,0.0117113,0.0193315,0,0.0257405,0.0297598,0.0290536,0.0144294,0.0155264,0.0470111,0.0103184,0,0,0,0,0,0.0538259,0.00793867,0,0
65,0,0,0,0,0.0336599,0.0481664,0,0.0804333,0.00967407,0.0355999,0.0221248,0,0,0.013848,0,0.0203978,0.00750014,0.0471983,0.0201722,0.0158697,0.0277354,0.0455631,0.00988553,0.0159388,0.02086,0.0577606,0.00931692,0.024156,0.0095784,0.018498,0.104082,0.0129262,0.00936243,0.00370215,0.0302781,0.0100788,0.0331767,0.0131593,0.00951629,0,0,0.0492002,0,0.0147414,0.0331315,0.0659785,0.0387611,0.022045,0.0123549,0.0255453,0.0297307,0.0534398,0.00964326,0.00772091,0.0133699,0.0192079,0,0.0266504,0.0310254,0.0290442,0.0142797,0.0152811,0.0470095,0.011032,0,0,0,0,0,0.0506675,0.00799463,0,0
66,0,0,0,0,0.033678,0.0481944,0,0.0736027,0.00962165,0.0337087,0.0223179,0,0,0.0136495,0,0.0203772,0.0073532,0.0475829,0.0202366,0.0174884,0.0277224,0.0457295,0.0104876,0.0150002,0.0218669,0.0576478,0.00665599,0.0195365,0.00817639,0.0179716,0.0942672,0.0127742,0.00933506,0.0036479,0.0320029,0.0102292,0.034995,0.012722,0.00949866,0,0,0.0488062,0,0.01465,0.0328647,0.0660194,0.0412965,0.0221751,0.0121913,0.0249967,0.0290816,0.0532709,0.00954255,0.00822022,0.0142346,0.019101,0,0.0280244,0.0334629,0.0290769,0.0141534,0.0150214,0.0471171,0.0117651,0,0,0,0,0,0.0470955,0.00802752,0,0
67,0,0,0,0,0.0340597,0.0476286,0,0.0671615,0.00976213,0.0319742,0.0234828,0,0,0.0123633,0,0.0200522,0.00665904,0.0485651,0.0198205,0.0190322,0.0284149,0.0454579,0.0116465,0.015502,0.0223031,0.0568609,0.00515989,0.0157985,0.00705748,0.0176102,0.0854509,0.0128245,0.00918853,0.00329573,0.0391935,0.0105553,0.0412633,0.016076,0.0104626,0,0,0.0474286,0,0.014391,0.0319492,0.0674467,0.0458823,0.0220634,0.00439414,0.0236128,0.0284164,0.0524915,0.00281774,0.00832124,0.00834968,0,0,0.0314337,0.0410983,0.0284954,0.0136863,0.0144877,0.0463973,0.0126452,0,0,0,0,0,0.0443241,0.00678925,0,0
68,0,0,0,0,0.0342516,0.0479438,0,0.0595565,0.00955309,0.0298505,0.0235328,0,0,0.0124558,0,0.0200584,0.0066997,0.0493033,0.0197918,0.0204237,0.0285506,0.0457182,0.0129368,0.0165538,0.0221379,0.056254,0.00439781,0.0124732,0.00626392,0.0170538,0.0751853,0.01272,0.00923861,0.00337761,0.0389438,0.0106798,0.0406811,0.0157801,0.0104294,0,0,0.0475609,0,0.0143293,0.032047,0.067427,0.0459449,0.022159,0.00481217,0.0233605,0.0281099,0.0524714,0.002331,0.00914624,0.00895025,0,0,0.0316065,0.0419414,0.0286521,0.0136074,0.0142928,0.0467445,0.0129208,0,0,0,0,0,0.0410338,0.00709351,0,0
