Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,LHEE,RTHI,,IMU_T
9,0,0,0,0,0.0380906,0.0527729,0,0.042257,0.0110829,0.0295328,0.021757,0,0,0.00735031,0,0.0180871,0.00480335,0.0542501,0.0216724,0.0187231,0.0334986,0.0533035,0.0110393,0.0161795,0.0162333,0.042823,0.0140806,0.0154444,0.0135788,0.0132361,0.0447196,0.0190492,0.0083091,0.00240882,0.0339876,0.00953023,0.0181168,0.0213431,0.0125596,0,0,0.0522404,0,0.0147056,0.0352079,0.0644372,0.0322317,0.0196146,0.0119938,0.0340414,0.0301224,0.0559707,0.00991199,0.0118877,0.0293606,0.0305948,0.033491,0.044195,0.0385894,0.0307536,0.0125569,0.0161768,0.0503595,0.0126614,0,0,0,0,0,0.031816,0.00510632,0,0
10,0,0,0,0,0.0378571,0.0528169,0,0.0445056,0.0110556,0.0306348,0.0214367,0,0,0.00681636,0,0.0181539,0.00446939,0.0540714,0.0218248,0.0197209,0.033102,0.0533809,0.0110939,0.0166446,0.0169664,0.0429574,0.0142546,0.0155727,0.0138472,0.0133194,0.0467816,0.0193905,0.00837698,0.00227119,0.0373969,0.00955819,0.0176322,0.0205767,0.0123012,0,0,0.0524913,0,0.0147719,0.0353386,0.0638871,0.0274463,0.019125,0.0114025,0.0342029,0.0299761,0.0562248,0.00910399,0.0112054,0.0275949,0.03069,0.0306419,0.0416193,0.0406703,0.0309231,0.0125648,0.0161968,0.0504248,0.0122306,0,0,0,0,0,0.0319065,0.00427237,0,0
11,0,0,0,0,0.0376144,0.0527414,0,0.0464336,0.0110357,0.0315862,0.0210588,0,0,0.00628002,0,0.0181743,0.00411145,0.0538597,0.0221498,0.020644,0.0327131,0.0535679,0.0111867,0.0171587,0.0177064,0.0431586,0.0144734,0.0158309,0.0141949,0.013371,0.0488589,0.0195348,0.00841746,0.0021383,0.0407013,0.00958682,0.0177584,0.0198993,0.0119854,0,0,0.0528054,0,0.01486,0.0355642,0.0632532,0.0228864,0.0188875,0.0107151,0.0343938,0.0298656,0.0565259,0.00885906,0.0103912,0.0260353,0.0307126,0.0295072,0.0397943,0.0429889,0.0311475,0.0126148,0.0162578,0.0504666,0.0117361,0,0,0,0,0,0.0318038,0.0039295,0,0
12,0,0,0,0,0.0374326,0.0526662,0,0.0479426,0.0110091,0.032377,0.0207394,0,0,0.00568636,0,0.0181524,0.00374945,0.0536305,0.0226124,0.0215769,0.0324153,0.0536483,0.0114139,0.0177813,0.0183906,0.0433068,0.0146886,0.016058,0.0146341,0.0134189,0.0508351,0.0195961,0.00843736,0.00202319,0.0430963,0.0095394,0.0176936,0.0193011,0.0117044,0,0,0.0532106,0,0.0149031,0.0358362,0.0628218,0.0195027,0.0191697,0.00959757,0.034771,0.029934,0.0567063,0.00858753,0.00917803,0.023875,0.0308601,0.0285054,0.0383514,0.0447502,0.0313941,0.012701,0.0163577,0.0506041,0.0113165,0,0,0,0,0,0.0315112,0.00397752,0,0
13,0,0,0,0,0.0372264,0.0527809,0,0.0494478,0.0109231,0.0330759,0.020357,0,0,0.0050453,0,0.0180338,0.00341515,0.0534413,0.02294,0.0223535,0.032227,0.053584,0.0117223,0.018437,0.0189802,0.0434027,0.0149362,0.0162635,0.014915,0.0134458,0.0526399,0.0197646,0.00843826,0.00192662,0.0446066,0.00942719,0.0175422,0.0187623,0.0113998,0,0,0.0536365,0,0.0148944,0.0361067,0.0626093,0.0167483,0.0195893,0.00862448,0.0353132,0.0301017,0.0567883,0.00828186,0.00824027,0.0209758,0.0311916,0.0269065,0.0365952,0.0461575,0.0316372,0.0127796,0.0164218,0.050785,0.0108998,0,0,0,0,0,0.031008,0.00422525,0,0
14,0,0,0,0,0.0369782,0.052838,0,0.0511203,0.0108825,0.0337065,0.0199225,0,0,0.00443833,0,0.0179232,0.00314297,0.05323,0.0230083,0.0229704,0.0318997,0.0534863,0.0121905,0.019103,0.0195796,0.0435504,0.015181,0.0164586,0.0153664,0.0134587,0.0541335,0.0199891,0.00841645,0.00186986,0.0452653,0.00942422,0.0184105,0.0181892,0.0111374,0,0,0.0537325,0,0.0149192,0.0362093,0.0623648,0.0162466,0.0194081,0.00788937,0.0355009,0.030125,0.0569148,0.00809248,0.00761671,0.0187838,0.0310739,0.0256795,0.035083,0.0466259,0.0317372,0.0127904,0.0163751,0.0508508,0.0106459,0,0,0,0,0,0.0306771,0.00467136,0,0
15,0,0,0,0,0.0374454,0.0513376,0,0.0544064,0.0115175,0.0345118,0.020426,0,0,0.00463391,0,0.0176356,0.00283104,0.0535173,0.0218503,0.0226896,0.0306202,0.0530478,0.0122021,0.018624,0.0199039,0.0428966,0.0149999,0.0166723,0.0155341,0.012675,0.0569283,0.0213189,0.00809441,0.00161332,0.0562207,0.00986749,0.0468981,0.0216554,0.0128813,0,0,0.0513085,0,0.0146041,0.0346758,0.065616,0.051109,0.0181022,0.00954345,0.0331144,0.0294423,0.0537009,0.00850892,0.0116712,0.0313915,0,0.0384521,0,0.0465873,0.0303173,0.0121193,0.0156649,0.048897,0.0125927,0,0,0,0,0,0.0300149,0.00718428,0,0
16,0,0,0,0,0.0364087,0.0525929,0,0.0540378,0.0110335,0.0346216,0.0195947,0,0,0.00392149,0,0.0180568,0.00292758,0.0525271,0.023022,0.0234799,0.0313446,0.0536195,0.0130084,0.0200578,0.020482,0.0437674,0.0154249,0.0169006,0.0154119,0.0133651,0.0562669,0.0204692,0.00843783,0.00191648,0.0456936,0.00947994,0.0211147,0.0175423,0.0106098,0,0,0.0539053,0,0.0149561,0.0363783,0.0621672,0.0205041,0.0193524,0.0060343,0.0357978,0.0298563,0.0567195,0.00714298,0.00617369,0.0164664,0.0297495,0.0242895,0.031981,0.0451163,0.0320466,0.0125699,0.0162349,0.0509653,0.0102885,0,0,0,0,0,0.0299803,0.00516321,0,0
17,0,0,0,0,0.0361427,0.0526326,0,0.0549626,0.0111682,0.0350805,0.0195988,0,0,0.00328645,0,0.0179227,0.00264686,0.052111,0.0230811,0.0235178,0.0313407,0.0537343,0.0132455,0.0202939,0.0206441,0.0438157,0.0154817,0.017076,0.015413,0.0132969,0.0571724,0.0204679,0.00832724,0.00194347,0.0458108,0.00947208,0.0211506,0.0173806,0.0104031,0,0,0.0540567,0,0.0149718,0.0364609,0.0621139,0.0216958,0.0194794,0.00497284,0.0361223,0.030044,0.0562994,0.00624678,0.00521663,0.0141419,0.0296079,0.0227621,0.0299203,0.0446031,0.0320877,0.0127023,0.0161944,0.0510695,0.0100609,0,0,0,0,0,0.0296678,0.00542887,0,0
18,0,0,0,0,0.0359109,0.0527133,0,0.0558816,0.0112458,0.035213,0.0196127,0,0,0.00268699,0,0.0177044,0.00236322,0.0517809,0.0230022,0.0235097,0.0313253,0.0539215,0.013304,0.0202709,0.0206519,0.0437194,0.015378,0.0171748,0.0154726,0.0131795,0.0580531,0.0207923,0.00817892,0.00195995,0.0457932,0.0094884,0.0218279,0.0171777,0.0101871,0,0,0.0542783,0,0.0150116,0.0365513,0.0620718,0.0242278,0.0195953,0.0048817,0.0363557,0.0301945,0.0555972,0.00608931,0.0049775,0.0120174,0.0292976,0.0212226,0.0291989,0.0438484,0.0321007,0.0128335,0.0161357,0.0510903,0.0098669,0,0,0,0,0,0.0294001,0.0061107,0,0
19,0,0,0,0,0.0356901,0.0527446,0,0.0566986,0.0113691,0.0349415,0.0196229,0,0,0.00218257,0,0.0176545,0.0021304,0.0515608,0.0228016,0.0233437,0.0313796,0.0540973,0.0132734,0.0199531,0.020531,0.0434914,0.015221,0.0172289,0.0155714,0.0129825,0.058674,0.0216866,0.00811805,0.00199251,0.0459881,0.00948825,0.0232841,0.0172814,0.0100062,0,0,0.0545251,0,0.0150228,0.036642,0.062064,0.0283705,0.0197382,0.00737851,0.0364667,0.0303795,0.0545492,0.00739058,0.00509883,0.010594,0.0284313,0.0199261,0.0300238,0.0430006,0.0321668,0.0129249,0.0160483,0.0510574,0.00968732,0,0,0,0,0,0.0292729,0.00699089,0,0
