Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,IMU_B,IMU_M,
178,0,0,0,0,0.021093,0.0269474,0,0.105041,0.0137326,0.0434508,0.00961346,0,0,0.00467056,0,0.0170186,0.00268673,0.0415512,0.0585891,0.0295125,0.023852,0.010364,0.0225966,0.0140946,0.0322545,0.0175542,0.0618987,0.0223519,0.0447295,0.0195598,0.0182308,0.141401,0.00513514,0.00611929,0.00391651,0.0297076,0.0107395,0.0196471,0.00888575,0.0130192,0,0,0.0374482,0,0.0132755,0.0285469,0.0613592,0.018276,0.029165,0.00904485,0.0158596,0.0304082,0.00176306,0.0554448,0.00739021,0.00533109,0.00955348,0.0182645,0,0,0.0314428,0.0189992,0.0171842,0.0140939,0.0250157,0.0125719,0,0,0,0,0,0,0,0
179,0,0,0,0,0.0212715,0.0268571,0,0.106957,0.0136736,0.0444874,0.00939001,0,0,0.00493159,0,0.0171035,0.00270299,0.0418242,0.0593709,0.0292031,0.0241233,0.0102798,0.0226908,0.0143086,0.0329705,0.0174784,0.0619446,0.0228843,0.0455636,0.0198766,0.0189176,0.143384,0.00531003,0.00620097,0.00411519,0.0294227,0.0107247,0.0201039,0.00897405,0.01304,0,0,0.0373868,0,0.0132871,0.0285382,0.0614789,0.0184127,0.0292024,0.00930129,0.0154377,0.030397,0.00177723,0.0557319,0.00751754,0.00534046,0.0102271,0.017924,0,0,0.0311181,0.019047,0.0172024,0.0140606,0.0248217,0.011824,0,0,0,0,0,0,0,0
180,0,0,0,0,0.021369,0.0268707,0,0.108029,0.0136673,0.0453302,0.00907886,0,0,0.00515197,0,0.017168,0.00274228,0.0420119,0.0596785,0.0287703,0.0241773,0.0101353,0.0227779,0.0144666,0.0333581,0.0173171,0.0618059,0.0232207,0.0460275,0.0200774,0.0193656,0.144149,0.00553513,0.00624051,0.00431779,0.0286714,0.0107485,0.0202696,0.00914086,0.0131129,0,0,0.0373643,0,0.013316,0.0285149,0.0615241,0.0186563,0.0292946,0.00944622,0.0150048,0.0303495,0.00188596,0.0560325,0.00760036,0.00541524,0.0105256,0.0175135,0,0,0.0303625,0.0191641,0.0171456,0.0140299,0.0247107,0.0114303,0,0,0,0,0,0,0,0
181,0,0,0,0,0.0214847,0.0268759,0,0.10824,0.0137276,0.0458166,0.00863919,0,0,0.00547039,0,0.0172549,0.00278835,0.0422282,0.0598949,0.0283929,0.0237648,0.00996444,0.022828,0.0145517,0.0331873,0.0172453,0.0616628,0.0232313,0.0459848,0.0200603,0.0196471,0.143662,0.00576422,0.00625204,0.00448364,0.0274775,0.010817,0.0201157,0.00933199,0.0132687,0,0,0.0373286,0,0.013366,0.0284493,0.0614759,0.0190452,0.0293608,0.00950271,0.0144606,0.0302619,0.00203403,0.0562721,0.00768702,0.00547159,0.0105981,0.0170467,0,0,0.0292468,0.0193655,0.0172118,0.0139894,0.0245757,0.011417,0,0,0,0,0,0,0,0
182,0,0,0,0,0.0215758,0.0268224,0,0.107675,0.0137352,0.0459024,0.00819152,0,0,0.0058336,0,0.0173595,0.00279955,0.0424438,0.0596608,0.0280599,0.0230096,0.00981097,0.0228539,0.0143599,0.0326264,0.0173318,0.0615065,0.022937,0.0453769,0.0199064,0.0197556,0.142036,0.00600939,0.00627574,0.00452489,0.0260028,0.0108927,0.0199139,0.00951016,0.0134187,0,0,0.0372639,0,0.013439,0.0284603,0.0614106,0.0197013,0.0293811,0.00989806,0.0138685,0.0300724,0.00218199,0.0564286,0.00787155,0.00561553,0.0107477,0.0165747,0,0,0.0277952,0.0193865,0.017392,0.0139566,0.0244435,0.0115972,0,0,0,0,0,0,0,0
183,0,0,0,0,0.021743,0.0267746,0,0.106187,0.0137193,0.045621,0.00774967,0,0,0.00628903,0,0.0174504,0.00292968,0.0426473,0.0587757,0.0277484,0.0220092,0.0097378,0.0229222,0.0137294,0.0315037,0.0172968,0.0612615,0.0222952,0.0441418,0.0196066,0.0196967,0.139455,0.00645127,0.00629093,0.00440188,0.0244117,0.0109727,0.0198215,0.00965577,0.0135744,0,0,0.0371394,0,0.0134965,0.0285176,0.0613115,0.020789,0.0294252,0.0102508,0.0133352,0.0297873,0.00233653,0.0565873,0,0.00600775,0.0112782,0.0161078,0,0,0.0261686,0.0192949,0.0173961,0.0139087,0.0243224,0.0118784,0,0,0,0,0,0,0,0
184,0,0,0,0,0.0218122,0.0267269,0,0.104118,0.0137166,0.0450343,0.00748722,0,0,0.00684895,0,0.0175614,0.00318435,0.0428166,0.0574354,0.0273688,0.0205634,0.00966468,0.0230233,0.0128646,0.0297225,0.0172679,0.0608409,0.0214096,0.0424067,0.0191966,0.0195411,0.136148,0.00699608,0.00632599,0.00423805,0.0229057,0.0110028,0.0199435,0.0096628,0.0137303,0,0,0.0370563,0,0.0134863,0.0284066,0.0612799,0.0221027,0.0294365,0.0104199,0.0127377,0.0295096,0.00240068,0.0567216,0.00910469,0.00640853,0.0121469,0.0158318,0,0,0.0245531,0.0191264,0.0173197,0.0138779,0.0241235,0.0121085,0,0,0,0,0,0,0,0
185,0,0,0,0,0.0220257,0.0267439,0,0.101715,0.0136962,0.0441579,0.00723997,0,0,0.00751286,0,0.0177514,0.00351471,0.0429777,0.0558502,0.0268166,0.0190348,0.00958091,0.0233271,0.0120658,0.0276436,0.0173626,0.0606116,0.0202836,0.0404603,0.0187609,0.0192868,0.13224,0.00769773,0.0064662,0.00424102,0.0216791,0.0110135,0.0202429,0.00984149,0.013897,0,0,0.036859,0,0.0134447,0.0282155,0.0611676,0.0237198,0.0295491,0.0106405,0.0121115,0.02924,0.00248914,0.0567548,0.0089326,0.00719113,0.013387,0.0155012,0,0,0.0232567,0.0190244,0.017313,0.0139079,0.023961,0.0124467,0,0,0,0,0,0,0,0
186,0,0,0,0,0.0224413,0.0267152,0,0.0987688,0.0137099,0.0431315,0.00701159,0,0,0.00828291,0,0.0180025,0.003901,0.0430673,0.0540916,0.0262344,0.0173437,0.00952409,0.0235227,0.0109573,0.0251538,0.0176746,0.0603629,0.018827,0.0381166,0.0182662,0.018948,0.12781,0.00842856,0.00662589,0.004301,0.0206691,0.0110127,0.0206797,0.0102029,0.0139787,0,0,0.0364863,0,0.0134099,0.0279315,0.0610877,0.0254088,0.0297222,0.0109055,0.0114036,0.0287952,0.00252928,0.0567264,0.00844497,0.00780414,0.0148193,0.0151916,0,0,0.0221779,0.0189551,0.0172846,0.013828,0.0237662,0.0129484,0,0,0,0,0,0,0,0
187,0,0,0,0,0.0228044,0.0262413,0,0.0958977,0.0138669,0.0423182,0.00752882,0,0,0.00881774,0,0.0181486,0.00441249,0.043203,0.0529079,0.0253856,0.0156549,0.00976123,0.023297,0.00904184,0.0220883,0.0179035,0.0594783,0.0175791,0.0356019,0.0176979,0.0187382,0.123698,0.00901239,0.00665396,0.00437857,0.0167429,0.0110214,0.0222285,0.00881857,0.0136474,0,0,0.0355831,0,0.0133241,0.0272339,0.0617309,0.0237855,0.0292626,0.00867915,0.00954597,0.028055,0.00208477,0.0571391,0.00675711,0.0077797,0.00857932,0,0,0,0.0174401,0.0186438,0.0170444,0.0135557,0.0231552,0.0130396,0,0,0,0,0,0,0,0
188,0,0,0,0,0.0232125,0.0264723,0,0.0911272,0.0137788,0.0407336,0.00691501,0,0,0.00989877,0,0.0183344,0.00489518,0.042979,0.04997,0.0249713,0.0151109,0.00936942,0.0240376,0.00804796,0.0182774,0.0191041,0.0599329,0.01554,0.0321135,0.016699,0.0180736,0.116787,0.0098855,0.00677368,0.00427838,0.0183889,0.0110646,0.0214806,0.011314,0.0141444,0,0,0.0352596,0,0.0132964,0.0269966,0.0610871,0.0286889,0.030121,0.0116071,0.00965166,0.0273922,0.0030222,0.056697,0.00786733,0.00881822,0.0172418,0.0146803,0,0,0.0202107,0.0185335,0.0171008,0.0135255,0.0232906,0.0143766,0,0,0,0,0,0,0,0
189,0,0,0,0,0.0234201,0.0263089,0,0.0865282,0.0137861,0.0391315,0.00723489,0,0,0.0104115,0,0.0184233,0.00515328,0.0427923,0.047713,0.0242331,0.0158723,0.00931524,0.0242365,0.00684184,0.0147099,0.0204271,0.0598702,0.0136467,0.0283638,0.0154096,0.0175193,0.10996,0.0102767,0.00681695,0.00428946,0.0170698,0.0111589,0.0216331,0.0119118,0.0144563,0,0,0.0345384,0,0.0132437,0.0265878,0.0610903,0.030139,0.0302365,0.0121037,0.00874075,0.0266036,0.00381047,0.0567464,0,0.00960291,0.0176061,0.01434,0,0,0.019326,0.0182315,0.0169942,0.0133107,0.0230465,0.0150333,0,0,0,0,0,0,0,0
190,0,0,0,0,0.0234377,0.0262213,0,0.08156,0.0138223,0.0373693,0.00804032,0,0,0.0107566,0,0.0184522,0.00539408,0.0425801,0.0455716,0.0234318,0.0182202,0.00935414,0.0244288,0.00667252,0.0125287,0.0218495,0.0599064,0.0121031,0.0241206,0.0140691,0.016913,0.102331,0.0104464,0.0068201,0.00436082,0.0160417,0.0112762,0.021611,0.0124785,0.0146166,0,0,0.0337348,0,0.0131702,0.0260716,0.0612918,0.0309998,0.0304245,0.0124923,0.00782592,0.0258376,0.00445292,0.0566988,0,0.0100445,0.0176721,0.0141547,0.0277946,0,0.0187777,0.0178885,0.0167686,0.0130553,0.0228062,0.0154756,0,0,0,0,0,0,0,0
191,0,0,0,0,0.0232354,0.0262051,0,0.0760451,0.0138267,0.0355679,0.00907994,0,0,0.0109647,0,0.0183901,0.00551083,0.0422992,0.043078,0.0228147,0.0219281,0.00940749,0.0246732,0.0083274,0.0132798,0.0235285,0.0600932,0.0109823,0.0200112,0.0128169,0.0161983,0.0939575,0.01048,0.00680509,0.004368,0.0146685,0.0113953,0.0217914,0.0132734,0.0146051,0,0,0.0328542,0,0.0130567,0.0254667,0.0612316,0.0324941,0.030593,0.0131602,0.00724149,0.0251453,0.00528478,0.0570879,0,0.0113854,0.0194225,0.0136844,0,0,0.0182625,0.0175197,0.0165749,0.0127991,0.0226187,0.0157045,0,0,0,0,0,0,0,0
192,0,0,0,0,0.0232869,0.026009,0,0.0698616,0.0138357,0.033772,0.0102255,0,0,0.0110123,0,0.0182824,0.00555427,0.0420859,0.0407466,0.0222578,0.0261352,0.00959413,0.0247959,0.0109756,0.0167182,0.0253377,0.0601319,0.0103869,0.0163007,0.0114676,0.0154782,0.0850701,0.0104785,0.00675913,0.00434552,0.0136608,0.0115287,0.0217572,0.0137059,0.0144844,0,0,0.0320712,0,0.0129762,0.0249426,0.0614149,0.0332938,0.0307328,0.0135617,0.00719148,0.0245009,0.00586831,0.0571579,0,0.0122697,0.0202312,0.0135275,0.0290065,0,0.0181791,0.0172727,0.016357,0.012569,0.0223221,0.0156171,0,0,0,0,0,0,0,0
193,0,0,0,0,0.0233853,0.0256002,0,0.06401,0.0139067,0.0322165,0.0111418,0,0,0.0108957,0,0.0181843,0.00562845,0.0420623,0.0389485,0.0217397,0.0297444,0.0102077,0.0245791,0.0135761,0.0209389,0.0266921,0.0595404,0.0108233,0.0139789,0.0102658,0.0149209,0.0768704,0.010409,0.00667946,0.00438446,0.0158308,0.0116511,0.0197982,0.0123148,0.014193,0,0,0.0313786,0,0.0128963,0.0244258,0.0617773,0.027754,0.0306494,0.010444,0.00614508,0.0238729,0.00298986,0.0579035,0.00707605,0.0102948,0.0127819,0,0.0276729,0,0.022283,0.0168751,0.0160334,0.0123811,0.0218658,0.0153896,0,0,0,0,0,0,0,0
194,0,0,0,0,0.0236893,0.0258576,0,0.0567723,0.0137429,0.0301459,0.0118174,0,0,0.0110571,0,0.0181806,0.00569511,0.0425888,0.0366519,0.0217566,0.0326449,0.0100559,0.025147,0.0156244,0.0244701,0.0274213,0.0590872,0.0115707,0.0119012,0.00894551,0.0142388,0.0669042,0.0104205,0.00674003,0.0043944,0.012203,0.0116983,0.0219055,0.0141519,0.0142885,0,0,0.0311521,0,0.0128402,0.0243233,0.0614317,0.0347933,0.0308743,0.0145964,0.0066474,0.0234533,0.00715917,0.0571501,0,0.0142184,0.0207869,0.0128707,0.0312833,0,0.0186709,0.0166054,0.0159878,0.0123598,0.0221606,0.01646,0,0,0,0,0,0,0,0
195,0,0,0,0,0.0241483,0.0255173,0,0.0512485,0.0137022,0.0286223,0.0118255,0,0,0.0109631,0,0.0181464,0.00567572,0.0434789,0.0352536,0.0215177,0.0337951,0.0104418,0.0249638,0.0171368,0.026872,0.0273143,0.0575667,0.0122528,0.0112623,0.00820393,0.0139314,0.0594492,0.0100174,0.00673697,0.00445319,0.0173569,0.0117875,0.0201753,0.012391,0.0138303,0,0,0.030675,0,0.0127998,0.0239272,0.0615422,0.0292751,0.0307654,0.0112051,0.00589206,0.0228611,0.00411293,0.057792,0.00737914,0.0121454,0.0138761,0,0.0209614,0,0.0251143,0.016404,0.0157418,0.0123232,0.0218352,0.016259,0,0,0,0,0,0,0,0
196,0,0,0,0,0.0244773,0.0257206,0,0.0450074,0.0135609,0.0268362,0.0116957,0,0,0.0111318,0,0.0181457,0.00569298,0.0442348,0.033404,0.02173,0.0338635,0.0103459,0.0251921,0.0179042,0.0282545,0.0264753,0.0563893,0.0128682,0.0115556,0.00758828,0.0135487,0.0513124,0.00971776,0.00676098,0.00444298,0.021803,0.011874,0.0232022,0.0122807,0.0136944,0,0,0.0307989,0,0.012787,0.0239126,0.0614892,0.0307067,0.0308115,0.0114938,0.0061297,0.022658,0.00425423,0.0581638,0,0.0127192,0.013766,0,0.0326006,0,0.029854,0.0164321,0.0157639,0.0123547,0.0220885,0.016339,0,0,0,0,0,0,0,0
197,0,0,0,0,0.0239082,0.0260125,0,0.0391149,0.0134571,0.0253893,0.011532,0,0,0.0111367,0,0.0181551,0.00566209,0.0451801,0.0316135,0.0219156,0.0328171,0.0102042,0.0253752,0.0180205,0.0284508,0.0248746,0.0549834,0.0132966,0.0125767,0.00741988,0.0132143,0.043661,0.00969847,0.00676666,0.00447459,0.0248426,0.0118836,0.0252076,0.0121587,0.0135652,0,0,0.030988,0,0.0127717,0.0239797,0.0615586,0.0317136,0.0308969,0.0113247,0.00628726,0.0226013,0.00425076,0.0582505,0.00770448,0.0126119,0.0135973,0,0.0441009,0,0.0329953,0.0164475,0.0157574,0.0123174,0.0223906,0.0163991,0,0,0,0,0,0,0,0
198,0,0,0,0,0.02398,0.0262439,0,0.0342225,0.0133367,0.0243937,0.0111741,0,0,0.0109413,0,0.0181794,0.00558304,0.0461598,0.0297087,0.0221024,0.0306575,0.0102169,0.0255062,0.0173985,0.0274924,0.0223989,0.0534265,0.0135371,0.013731,0.0077664,0.0128795,0.0373033,0.0102654,0.00679924,0.00441499,0.0254604,0.0118409,0.0253602,0.011918,0.0134079,0,0,0.0312131,0,0.0127557,0.0241514,0.0615955,0.0319638,0.0308913,0.0117495,0.00637205,0.0225669,0.00469089,0.0581591,0.00788687,0.0131576,0.0139967,0,0.0435103,0,0.0339923,0.0165666,0.0157953,0.0123362,0.0226777,0.0164122,0,0,0,0,0,0,0,0
199,0,0,0,0,0.0236113,0.026574,0,0.0312683,0.0132345,0.0240454,0.0104993,0,0,0.0109616,0,0.0182514,0.00553961,0.0470957,0.0280415,0.0223685,0.0272619,0.0104457,0.0257177,0.0159349,0.0252758,0.0189707,0.051823,0.013628,0.0148534,0.00852814,0.0126067,0.0333484,0.0104718,0.00684406,0.00433113,0.0259449,0.011778,0.0252213,0.0115658,0.0134029,0,0,0.0314886,0,0.0127551,0.0243834,0.0615728,0.0320044,0.0308031,0.012366,0.00651019,0.0226663,0.00522419,0.057999,0,0.0137871,0.0143606,0,0.0421448,0,0.0346461,0.0167406,0.0158174,0.012448,0.0230599,0.0164952,0,0,0,0,0,0,0,0
200,0,0,0,0,0.0245348,0.0268673,0,0.0307184,0.0131088,0.0247772,0.0095344,0,0,0.0111994,0,0.0183861,0.00555784,0.0480148,0.0281476,0.022718,0.0227074,0.0103747,0.0258781,0.0136336,0.0218036,0.0146897,0.0503151,0.013512,0.0157419,0.00954016,0.0123286,0.0324139,0.0104542,0.00692232,0.00424975,0.0269381,0.0116894,0.0254628,0.0110608,0.0131836,0,0,0.0319938,0,0.0127813,0.0246854,0.0615141,0.0320031,0.0306325,0.0124743,0.00674836,0.0227887,0.00554917,0.0577079,0,0.0142644,0.0142908,0,0.0425363,0,0.0353982,0.01711,0.015877,0.0125909,0.0234443,0.0164949,0,0,0,0,0,0,0,0
201,0,0,0,0,0.0246393,0.0273243,0,0.0322648,0.0129177,0.0265103,0.00834145,0,0,0.0115385,0,0.0185328,0.00560629,0.048989,0.0304438,0.0231381,0.0169718,0.0100474,0.0261618,0.0104422,0.016989,0.0097186,0.0490334,0.0130821,0.016191,0.010532,0.0120314,0.0339846,0.0105417,0.00704758,0.00412989,0.026979,0.0116505,0.0251333,0.0104674,0.0130729,0,0,0.0326715,0,0.0128638,0.0251569,0.0614555,0.0314192,0.0303679,0.0122982,0.00708648,0.0230104,0.00587069,0.0572929,0,0.0145866,0.0141942,0,0.039156,0,0.0353281,0.0175826,0.0160864,0.0128332,0.0239903,0.0165544,0,0,0,0,0,0,0,0
202,0,0,0,0,0.0242519,0.0278325,0,0.0350635,0.0127205,0.0290134,0.00714018,0,0,0.0119837,0,0.0187056,0.00573196,0.0497353,0.0317968,0.0236159,0.0103542,0.00979761,0.0263835,0.00630315,0.010828,0.00433675,0.0481316,0.0126235,0.0163413,0.0116857,0.0116387,0.0371948,0.0107959,0.0071916,0.00410564,0.0205462,0.0115967,0.020056,0.00990951,0.0131215,0,0,0.03346,0,0.0129585,0.0256904,0.061299,0.028273,0.0299299,0.0126601,0.00737045,0.0233361,0.00730049,0.0563671,0,0.0152343,0.0162764,0,0,0,0.0295409,0.0180619,0.0163983,0.0131133,0.0245663,0.0166008,0,0,0,0,0,0,0,0
203,0,0,0,0,0.0236998,0.0285158,0,0.0373688,0.0124918,0.0316429,0.00566897,0,0,0.0125963,0,0.0189307,0.00589337,0.0501004,0.0357075,0.0245383,0.00419096,0.00980315,0.0267209,0.00288191,0.00402562,0.00349401,0.0478062,0.0121257,0.0160501,0.0126628,0.0113861,0.0401475,0.0111944,0.00734746,0.00411392,0.0208814,0.0115378,0.0200682,0.00906318,0.0132316,0,0,0.0344196,0,0.0130618,0.0263912,0.0612386,0.0269497,0.0294159,0.0127144,0.00804102,0.0238443,0.00744963,0.0557827,0,0.0151332,0.0153552,0,0,0,0.0298737,0.0186755,0.0167896,0.0134201,0.025293,0.0167333,0,0,0,0,0,0,0,0
204,0,0,0,0,0.0249375,0.0291004,0,0.0397556,0.0122709,0.0345072,0.0044975,0,0,0.0132995,0,0.019199,0.00600719,0.0504609,0.0401096,0.0255103,0.00594129,0.00993256,0.0270189,0.00603983,0.00521629,0.00899372,0.0479694,0.0118695,0.0157899,0.0135337,0.0113916,0.0429469,0.0116163,0.00751846,0.00407704,0.0221996,0.0114622,0.0202998,0.00790688,0.013102,0,0,0.0352877,0,0.0131377,0.0270158,0.0614172,0.0255327,0.0288467,0.0122886,0.0087544,0.0241788,0.00738965,0.0550226,0,0.0147133,0.0146549,0,0.0247815,0,0.0309064,0.0193011,0.0171379,0.0136938,0.025932,0.0167441,0,0,0,0,0,0,0,0
205,0,0,0,0,0.0275922,0.0295671,0,0.0422591,0.012086,0.0373473,0.00405411,0,0,0.0142144,0,0.0194878,0.00610243,0.0507873,0.0460454,0.0265024,0.0116537,0.0102044,0.0272463,0.0119407,0.0124033,0.0146774,0.0487969,0.0118283,0.0156435,0.0144624,0.0117151,0.045463,0.012446,0.00768157,0.00400115,0.0233001,0.0113923,0.0200743,0.00686026,0.0127868,0,0,0.0360261,0,0.0132247,0.0274785,0.0615541,0.024582,0.028287,0.0123544,0.00939766,0.0242638,0.00767333,0.0543897,0,0.0145517,0.0142038,0,0.0272313,0,0.0320125,0.0199554,0.0173753,0.0138826,0.0265185,0.016672,0,0,0,0,0,0,0,0
206,0,0,0,0,0.0277906,0.0302865,0,0.0441266,0.011939,0.0396323,0.00430293,0,0,0.0149913,0,0.0197965,0.00625243,0.0509374,0.0531477,0.0275805,0.0171985,0.010466,0.0275031,0.0184625,0.019794,0.0196825,0.050141,0.0119562,0.0154195,0.0153069,0.0122798,0.0472123,0.0133281,0.00783909,0.00387573,0.0245968,0.0113104,0.02,0.0059574,0.0128747,0,0,0.0367294,0,0.0132842,0.0279858,0.0617241,0.0238876,0.0276957,0.0129504,0.0100437,0.0245609,0.00794445,0.053901,0,0.0143239,0.013134,0,0.0255215,0,0.0333058,0.02043,0.0176215,0.0140574,0.0273343,0.0167585,0,0,0,0,0,0,0,0
207,0,0,0,0,0.0273365,0.0307359,0,0.0490688,0.0118472,0.0441039,0.00467267,0,0,0.0157465,0,0.0200832,0.00651256,0.0510676,0.0600789,0.0283873,0.0212302,0.0105913,0.027664,0.0242823,0.0255948,0.0234861,0.0517343,0.0131075,0.0165572,0.0172999,0.0113249,0.0532513,0.0142741,0.00795326,0.00376759,0.0256891,0.0112068,0.020107,0.00549095,0.0128848,0,0,0.0372114,0,0.013339,0.0283645,0.061893,0.0233541,0.0272911,0.0120479,0.0105475,0.0246814,0.00800673,0.0534192,0,0.0140867,0.0116608,0,0.024582,0,0.034624,0.0207158,0.0177519,0.0141523,0.0279235,0.0168575,0,0,0,0,0,0,0,0
208,0,0,0,0,0.0289083,0.0311947,0,0.0577531,0.011781,0.0515268,0.00520945,0,0,0.0164205,0,0.0203919,0.0067168,0.0512775,0.0680106,0.0288921,0.0240501,0.0107793,0.0276664,0.0286003,0.0298981,0.0261612,0.0530653,0.0151398,0.0192216,0.0210188,0.00990055,0.0641915,0.0151173,0.00809489,0.00360646,0.0267251,0.0111314,0.0203371,0.00512126,0.0128219,0,0,0.0377372,0,0.0133436,0.0287881,0.0620965,0.0226656,0.0268334,0.0127979,0.010993,0.0248688,0.00795456,0.0529628,0,0.0137073,0.0109351,0,0.0243916,0,0.0358084,0.0211235,0.0178133,0.0144414,0.028581,0.0168658,0,0,0,0,0,0,0,0
209,0,0,0,0,0.0274373,0.0318405,0,0.0637982,0.0118425,0.0558612,0.00537959,0,0,0.0170444,0,0.0206368,0.00694969,0.0513667,0.0722644,0.029038,0.0259042,0.0110165,0.027703,0.0310639,0.0326273,0.0275984,0.0537119,0.0157699,0.0203928,0.0229049,0.00976532,0.0703966,0.0158656,0.00817979,0.00365135,0.0277921,0.0110792,0.0204447,0.0051007,0.0131287,0,0,0.0380833,0,0.013358,0.0290805,0.062209,0.0222437,0.0266465,0.013023,0.0112659,0.0252686,0.00792862,0.0527813,0,0.0131518,0.0105231,0,0.024057,0,0.0368966,0.0212798,0.0178979,0.0147164,0.0293152,0.0171156,0,0,0,0,0,0,0,0
210,0,0,0,0,0.0270282,0.0326325,0,0.0713008,0.011828,0.0598184,0.00156056,0,0,0.0179714,0,0.020851,0.00738639,0.0511997,0.074778,0.0295919,0.027332,0.00847785,0.0285519,0.0345864,0.0349469,0.0303314,0.0567386,0.0165224,0.0210926,0.0244873,0.0105713,0.0758826,0.016782,0.00826822,0.00387257,0.0722063,0.0110167,0.0259331,0.0162118,0.0144854,0,0,0.037741,0,0.0133587,0.029069,0.0447575,0.0400396,0.0280424,0.0232207,0.0129102,0.0253066,0.0137218,0,0,0.0136661,0.0243562,0,0.038162,0,0.0912753,0.0210159,0.0181288,0.0147355,0.0303051,0.0196892,0,0,0,0,0,0,0,0
211,0,0,0,0,0.0264712,0.0320817,0,0.0621592,0.0119999,0.05305,0.00478389,0,0,0.0176682,0,0.0208818,0.00731383,0.0516327,0.0691601,0.0288855,0.0263552,0.0112415,0.0269975,0.0315145,0.0341319,0.0269836,0.0524674,0.0144761,0.018496,0.0206635,0.00992692,0.0673708,0.0168265,0.00817934,0.00398324,0.0303788,0.0108795,0.0210615,0.00578207,0.0132283,0,0,0.0381782,0,0.0134352,0.0292675,0.0621144,0.0222889,0.0269737,0.0122346,0.011294,0.0255346,0.00697729,0.0527434,0.00399868,0.0118571,0.00923961,0,0.0245908,0,0.0390865,0.0212584,0.0180008,0.0148697,0.0298187,0.0172787,0,0,0,0,0,0,0,0
212,0,0,0,0,0.0266641,0.0321569,0,0.0550351,0.0120068,0.0471763,0.00415367,0,0,0.0181354,0,0.0207825,0.0076028,0.0519461,0.0629772,0.0284421,0.0252729,0.0114215,0.0264667,0.0304085,0.0333669,0.0248257,0.0509688,0.0128992,0.0158433,0.0176728,0.0110854,0.0595113,0.0172752,0.00814017,0.00425565,0.0317577,0.0107579,0.0215726,0.00605569,0.0133484,0,0,0.0383443,0,0.0134308,0.0293558,0.0622745,0.0221934,0.0271758,0.0114187,0.0111827,0.0257352,0.00626641,0.0533238,0.00369077,0.0106653,0.00850794,0,0.0248425,0,0.0405637,0.0211825,0.018074,0.0149943,0.0299355,0.0172753,0,0,0,0,0,0,0,0
213,0,0,0,0,0.0266021,0.0319165,0,0.0546124,0.0120728,0.0447128,0.00468692,0,0,0.0179407,0,0.0205389,0.00737228,0.0520432,0.0577034,0.0283414,0.0237346,0.00828998,0.0263235,0.0313161,0.0320649,0.0241219,0.052462,0.0124097,0.0144058,0.0167264,0.0127836,0.0563829,0.0169003,0.00794979,0.00427501,0.0760642,0.0106993,0.0274033,0.0180629,0.0143903,0,0,0.0373189,0,0.0133534,0.028908,0.0436303,0.0413275,0.0285711,0.025105,0.0118864,0.0253278,0.018352,0,0.0265769,0.013305,0.026791,0,0.039321,0,0.0965875,0.0205644,0.0180335,0.0150461,0.0297687,0.0195867,0,0,0,0,0,0,0,0
214,0,0,0,0,0.025814,0.0314515,0,0.0466988,0.0121751,0.0395318,0.00325476,0,0,0.0172376,0,0.0202557,0.00701441,0.0526814,0.051879,0.0273809,0.0200144,0.0117501,0.0242133,0.0264717,0.0283589,0.0191875,0.0479712,0.0115039,0.0137244,0.0147884,0.012547,0.0501733,0.0157878,0.0077569,0.00461414,0.0343877,0.0104993,0.0225389,0.00724582,0.0129559,0,0,0.0385665,0,0.0135454,0.0295969,0.0624431,0.0241714,0.0283448,0.00902521,0.0105135,0.0262318,0.00419784,0.0551918,0.00272615,0.00682797,0.00797446,0,0.0255284,0,0.0434341,0.0210357,0.0182502,0.0153886,0.029222,0.0169625,0,0,0,0,0,0,0,0
215,0,0,0,0,0.0261656,0.0315368,0,0.0463795,0.0121834,0.0378678,0.00384386,0,0,0.0171794,0,0.0200658,0.00695818,0.0528973,0.0469054,0.0269789,0.0162821,0.0122479,0.0231291,0.0238765,0.0250851,0.0165693,0.0466896,0.0117455,0.0143626,0.0142601,0.0121779,0.0501086,0.015273,0.00767804,0.00533946,0.0362231,0.0103411,0.0232398,0.00780828,0.0130824,0,0,0.0393196,0,0.0136954,0.0301284,0.0625326,0.0245969,0.0289885,0.00837255,0.0105543,0.0270506,0.0030598,0.0555136,0.0035099,0.00485417,0.00802279,0,0.0261362,0,0.0450586,0.021156,0.0187731,0.0157621,0.0292336,0.0167327,0,0,0,0,0,0,0,0
