Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,IMU_B,IMU_M,
155,0,0,0,0,0.0227377,0.0291222,0,0.0515256,0.015053,0.0283359,0.00816061,0,0,0.00516363,0,0.0158406,0.00453671,0.0438935,0.0232953,0.0284906,0.00320282,0.0141185,0.0232055,0.00671825,0.00379135,0.00728083,0.0429433,0.0166114,0.02189,0.0133926,0.00929093,0.0548006,0.00655367,0.00506386,0.00445134,0.0304788,0.0112788,0.028571,0.00655979,0.0140604,0,0,0.037633,0,0.0128687,0.0281856,0.0592752,0.0361566,0.0262414,0.0128401,0.0198853,0.0294746,0.011915,0.053361,0.012973,0.0120266,0.0184663,0.0200775,0.0272063,0,0.0351074,0.0177438,0.016019,0.0126091,0.0281264,0.0106529,0,0,0,0,0,0,0,0
156,0,0,0,0,0.0228146,0.029149,0,0.0494712,0.0150087,0.0264922,0.0080176,0,0,0.00503856,0,0.0158369,0.00452564,0.0433729,0.0224899,0.0287924,0.00193475,0.0135264,0.0235326,0.00630555,0.00462458,0.00531672,0.0436863,0.0166217,0.0214936,0.0126544,0.00928235,0.0523084,0.00681661,0.0050979,0.00460925,0.0212824,0.0112673,0.0197887,0.00609736,0.0140159,0,0,0.0374618,0,0.0128324,0.0281299,0.0596332,0.025169,0.0262525,0.0124998,0.019994,0.0293075,0.00965849,0.05309,0.0112735,0.0094539,0.0152524,0.0178755,0.0244115,0,0.025716,0.017671,0.0160577,0.0125483,0.028079,0.00997602,0,0,0,0,0,0,0,0
157,0,0,0,0,0.0227241,0.0291272,0,0.0468877,0.0149222,0.0245193,0.00790074,0,0,0.0047221,0,0.0158596,0.00438966,0.0427669,0.0218195,0.029005,0.00269439,0.0127646,0.0237019,0.00642475,0.00615022,0.00420225,0.0444293,0.0165467,0.0207713,0.011939,0.00929628,0.0492754,0.00680685,0.00515617,0.00466014,0.0160927,0.011253,0.0149433,0.00594703,0.0138553,0,0,0.0375473,0,0.0128496,0.0282418,0.0596642,0.0157697,0.0265347,0.012191,0.0201029,0.0292215,0.0075294,0.053174,0.00999688,0.00741275,0.0122172,0.0179511,0.0221705,0,0.020728,0.0178345,0.0161072,0.0125912,0.0280587,0.0094595,0,0,0,0,0,0,0,0
158,0,0,0,0,0.0224145,0.0289564,0,0.0437159,0.014769,0.0227339,0.00795115,0,0,0.00417331,0,0.0158818,0.00420089,0.0422239,0.0214793,0.0291279,0.00475044,0.0122966,0.0236092,0.00708229,0.00794223,0.00398011,0.0451974,0.0163714,0.0199945,0.0111858,0.00931966,0.0451885,0.00636925,0.0052183,0.00466784,0.0133566,0.011172,0.0104053,0.00648552,0.0136736,0,0,0.0379129,0,0.0128519,0.028474,0.0595683,0.00699479,0.0272632,0.0117414,0.0201438,0.0292734,0.005994,0.0531943,0.00917746,0.00654974,0.0105595,0.0188322,0.0199424,0,0.0170254,0.0182462,0.0161464,0.0127412,0.0280772,0.00944482,0,0,0,0,0,0,0,0
159,0,0,0,0,0.0218979,0.0286237,0,0.0397804,0.014582,0.021073,0.00832111,0,0,0.00364545,0,0.0158631,0.00395161,0.0417504,0.021331,0.0291799,0.00671988,0.0120795,0.0231983,0.00799402,0.00955651,0.00524555,0.046045,0.0159729,0.0191288,0.0103926,0.00934831,0.0397065,0.00560511,0.00524919,0.00467509,0.0169978,0.0110683,0.00526343,0.0076839,0.013495,0,0,0.0384673,0,0.0128162,0.0287818,0.0595368,0.00818091,0.0282167,0.0115398,0.0200109,0.0294595,0.00600327,0.0525414,0.00913204,0.00719468,0.010676,0.0193426,0.0180043,0,0.0165832,0.0188236,0.0162588,0.0129867,0.0280897,0.00971137,0,0,0,0,0,0,0,0
160,0,0,0,0,0.0217322,0.0287702,0,0.035171,0.0143175,0.0201694,0.00910791,0,0,0.00420532,0,0.015814,0.00358039,0.0415844,0.0220905,0.0292269,0.00850448,0.0119208,0.0231227,0.00899255,0.011074,0.00753389,0.0468799,0.0154184,0.018167,0.00997502,0.00951984,0.03397,0.00465944,0.00538274,0.0045548,0.026933,0.0109141,0.0127479,0.00891684,0.0134632,0,0,0.0388633,0,0.0127903,0.029094,0.0596595,0.0201694,0.0290776,0.0121271,0.0201138,0.0301012,0.00717599,0.0515914,0.00987965,0.00826613,0.0111884,0.0193774,0.0167377,0,0.0231392,0.0192543,0.0164921,0.0133303,0.0285425,0.00998304,0,0,0,0,0,0,0,0
161,0,0,0,0,0.0215528,0.0285926,0,0.0301069,0.0141031,0.0197238,0.0094497,0,0,0.00453502,0,0.0158313,0.00337134,0.0414843,0.0221838,0.0294965,0.0103451,0.0116004,0.0229329,0.0100429,0.012409,0.0100851,0.0480263,0.0147631,0.0169581,0.00966533,0.00974939,0.0268979,0.00437602,0.00548631,0.00431028,0.0299314,0.0108022,0.0144589,0.00955023,0.0134038,0,0,0.0391574,0,0.0127869,0.0292904,0.0599151,0.021965,0.0294481,0.0116831,0.0198752,0.0303132,0.00828483,0.0512638,0.0103901,0.00972138,0.012411,0.0195779,0.0168248,0,0.0264624,0.0194322,0.0166365,0.0135122,0.0284076,0.0103091,0,0,0,0,0,0,0,0
162,0,0,0,0,0.0214929,0.02852,0,0.024977,0.0139464,0.0200784,0.00950207,0,0,0.00499657,0,0.0158912,0.00324358,0.0414149,0.0227361,0.0299679,0.0123827,0.0111869,0.0229418,0.0110665,0.0136778,0.0122045,0.0493683,0.0137201,0.0154299,0.00946078,0.0099826,0.0186196,0.00412306,0.00556975,0.00412585,0.0314921,0.0107348,0.0147871,0.0094251,0.0133738,0,0,0.038967,0,0.0127797,0.0292314,0.0603444,0.0215145,0.0293896,0.010619,0.0194886,0.0302573,0.00732215,0.0516735,0.00987646,0.00968137,0.0125171,0.0194561,0.0173673,0,0.0290306,0.0192783,0.016673,0.0136019,0.0280294,0.0112784,0,0,0,0,0,0,0,0
163,0,0,0,0,0.0214488,0.0283848,0,0.0219421,0.0138809,0.0215851,0.00928684,0,0,0.00523862,0,0.0159723,0.00309993,0.0413631,0.0236786,0.0304147,0.0143612,0.0108311,0.0228952,0.0119066,0.014661,0.0145426,0.0508903,0.0122476,0.0138797,0.00952964,0.0102225,0.00934877,0.00388519,0.00558743,0.00415029,0.0320868,0.0106676,0.0146401,0.00896609,0.0132795,0,0,0.0385345,0,0.0127565,0.0290298,0.0607519,0.0205452,0.0293335,0.00948591,0.0192053,0.0299472,0.00524595,0.0521736,0.00837204,0.00814732,0.011548,0.0190988,0.0183083,0,0.0304954,0.0189965,0.0167012,0.0135775,0.0275006,0.013019,0,0,0,0,0,0,0,0
164,0,0,0,0,0.0216509,0.0282525,0,0.0228409,0.013934,0.0241413,0.00940455,0,0,0.00562251,0,0.0160811,0.00312769,0.041253,0.0247,0.0307334,0.015761,0.0107057,0.0227959,0.0124262,0.0151914,0.0168554,0.0523917,0.0105197,0.0130836,0.0099151,0.0104496,0.00718915,0.00364797,0.00556767,0.0043278,0.0318323,0.0106554,0.0145224,0.00847211,0.013272,0,0,0.0380813,0,0.0127748,0.0287979,0.0610563,0.0192417,0.0292878,0.00846411,0.0190853,0.0298262,0.00368338,0.0523602,0.00677788,0.00655754,0.0105098,0.0186807,0.0196323,0,0.0308952,0.0186672,0.0167407,0.0135812,0.0269804,0.014003,0,0,0,0,0,0,0,0
165,0,0,0,0,0.0218719,0.0279567,0,0.028155,0.01408,0.0271894,0.00994558,0,0,0.0061019,0,0.0161351,0.00324097,0.0411093,0.0254651,0.030941,0.0164083,0.0106797,0.0227975,0.0127877,0.0156585,0.0184677,0.0537941,0.00895188,0.0139139,0.0105797,0.0106852,0.017073,0.00350773,0.00549449,0.00458008,0.0319244,0.0107127,0.0149329,0.0080246,0.0133743,0,0,0.0376484,0,0.0128237,0.0285941,0.0613827,0.0185017,0.0292885,0.00789532,0.0190146,0.0298399,0.00305026,0.0523139,0.00592483,0.00562902,0.0101972,0.0184361,0.0207465,0,0.0314788,0.0182913,0.0166917,0.0135703,0.0263492,0.0136035,0,0,0,0,0,0,0,0
166,0,0,0,0,0.0220177,0.0276644,0,0.0354751,0.0143305,0.0301131,0.0105999,0,0,0.00651013,0,0.0161729,0.00340339,0.0409003,0.0260272,0.0309533,0.0164831,0.0106685,0.0228913,0.0130645,0.0163217,0.0195681,0.055063,0.0077827,0.01612,0.0113009,0.0108706,0.0284962,0.00338521,0.00537928,0.00485279,0.0322062,0.0107819,0.015621,0.00762262,0.0136515,0,0,0.0371556,0,0.0128926,0.028396,0.0616201,0.0182476,0.0292573,0.00769251,0.0190752,0.0301231,0.00303074,0.0523246,0.00574749,0.00539176,0.0105979,0.0185295,0.0212172,0,0.0322037,0.0180199,0.016642,0.0135819,0.0258218,0.0120618,0,0,0,0,0,0,0,0
167,0,0,0,0,0.021909,0.0274185,0,0.0435785,0.014626,0.0329058,0.01118,0,0,0.00677568,0,0.016226,0.00351033,0.0405643,0.0269806,0.0308826,0.0162318,0.0107053,0.0227974,0.0130763,0.0170508,0.0203347,0.056236,0.00729655,0.0190424,0.011983,0.0111308,0.0403728,0.00325786,0.00525052,0.00506976,0.0322678,0.0108091,0.0164421,0.00727284,0.0139076,0,0,0.036678,0,0.0129465,0.0282377,0.0617884,0.018336,0.0291728,0.00765023,0.0191475,0.0305253,0.00304652,0.052566,0.00590732,0.00541171,0.0112746,0.0188894,0.0211246,0,0.0324662,0.0179218,0.0167081,0.0136494,0.0254655,0.0107279,0,0,0,0,0,0,0,0
