Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,LGTR,,LASI,LTHII
19,0,0,0,0,0.00688073,0.00524268,0,0,0,0.0265382,0.0141786,0.0324552,0,0,0.00883873,0,0.0174683,0.00482138,0.0339823,0.0362661,0.0139126,0.00213789,0.0179322,0.00815086,0.0100372,0.0403487,0.00804717,0.0116053,0.0460598,0.0294951,0.00813823,0.00720253,0.00197167,0.0433862,0.0199438,0.0278031,0.00544092,0.00405344,0,0,0.0136554,0,0.0145034,0.0111203,0.0763653,0.0233423,0.0188739,0.0107008,0.00552442,0.00855749,0.0088494,0.0446079,0.0123125,0.00739883,0.0333212,0,0.0244832,0.0696856,0.0444618,0.00940124,0.00797359,0.00745075,0.00709418,0.00432897,0,0,0,0,0,0.0567029,0,0.00574829,0.0169848
20,0,0,0,0,0.00873627,0.00615811,0,0,0,0.0266454,0.0140115,0.0315048,0,0,0.00817004,0,0.0174887,0.00452004,0.0334103,0.0366001,0.0150957,0.00233292,0.0203153,0.00839429,0.0104798,0.0404127,0.00865451,0.0119918,0.0464849,0.0301544,0.00893315,0.00726221,0.00190466,0.0387377,0.0199418,0.0249386,0.00531358,0.0049362,0,0,0.013451,0,0.0145204,0.0108986,0.0767754,0.0219548,0.0186062,0.0108757,0.00599171,0.00842009,0.00994616,0.043774,0.0136481,0.00793452,0,0,0.0232304,0.0702216,0.0396065,0.00934292,0.00769388,0.00739256,0.00806787,0.00526399,0,0,0,0,0,0.0566099,0,0.00550337,0.0179851
21,0,0,0,0,0.0109527,0.00730022,0,0,0,0.0267812,0.0138194,0.0308829,0,0,0.00756059,0,0.0174816,0.00436664,0.0328361,0.0370305,0.0162766,0.0021256,0.0229478,0.00863878,0.0111168,0.0406061,0.00927884,0.0123444,0.0469905,0.0308454,0.00958457,0.00734075,0.00183613,0.0387791,0.0198889,0.0244585,0.0051035,0.00631699,0,0,0.013095,0,0.0144926,0.0106631,0.0768184,0.0196968,0.0182562,0.0101351,0.00656558,0.00820216,0.0111719,0.0433974,0.0128579,0.00819139,0,0,0.0227728,0.0704331,0.0396058,0.00915612,0.0075485,0.00731418,0.00902186,0.00650012,0,0,0,0,0,0.0564098,0,0.00569371,0.0186692
22,0,0,0,0,0.0134006,0.00867449,0,0,0,0.0269315,0.0136689,0.0304683,0,0,0.00692618,0,0.0175128,0.00407643,0.0321827,0.0378014,0.017307,0.00218427,0.0257908,0.00890679,0.0115747,0.0408766,0.00977757,0.0126035,0.0473504,0.0315379,0.0102181,0.00745076,0.00174298,0.0413485,0.0198213,0.0271685,0.00518177,0.00807801,0,0,0.0127872,0,0.0144671,0.0105015,0.0763008,0.0209309,0.0173245,0.00999679,0.00727766,0.00836595,0.0119368,0.0427669,0.012317,0.00890796,0.0268392,0,0.0238296,0.0717308,0.0417766,0.00891351,0.0074716,0.00728778,0.0100611,0.00796035,0,0,0,0,0,0.0560492,0,0,0.019315
23,0,0,0,0,0.0161751,0.0101578,0,0,0,0.0270025,0.0135403,0.0302814,0,0,0.00628662,0,0.0175661,0.0038018,0.0317269,0.0379569,0.018641,0.00206206,0.0287786,0.00951644,0.0124627,0.0409977,0.0103291,0.012648,0.0474624,0.0318818,0.0108946,0.00756712,0.00168656,0.0393787,0.0197928,0.0258875,0.00485146,0.0104156,0,0,0.0124806,0,0.0145009,0.0103709,0.0761014,0.0200535,0.0174779,0.0102709,0.0075539,0.00848964,0.0123251,0.0427453,0.0122699,0.0095265,0.0252907,0,0.0233419,0.0737129,0.0403802,0.00867304,0.0074478,0.00717284,0.0109167,0.0101416,0,0,0,0,0,0.0559211,0,0.00540209,0
24,0,0,0,0,0.0187412,0.011751,0,0,0,0.0273477,0.0134131,0.0297517,0,0,0.00563926,0,0.0176134,0.00355733,0.0309302,0.0382245,0.0194976,0.00209069,0.0317185,0.00977886,0.0126833,0.0411625,0.0108616,0.0130159,0.0478189,0.0327683,0.0115823,0.00767717,0.00163958,0.036624,0.0197733,0.0244931,0.00483397,0.0127934,0,0,0.0121302,0,0.0145363,0.010215,0.0761525,0.020051,0.0173443,0.0112153,0.00783213,0.00868123,0.013152,0.0426027,0.0129451,0.00998961,0.0237872,0,0,0.0766027,0.037941,0.00839278,0.00740877,0.00692146,0.0120057,0.0124338,0,0,0,0,0,0.0556214,0,0.00491007,0.0212437
25,0,0,0,0,0.0203258,0.0128666,0,0,0,0.0275014,0.0133332,0.0294054,0,0,0.00518964,0,0.0176933,0.00346501,0.0304392,0.0384766,0.0203806,0.00217938,0.0338044,0.0102214,0.012997,0.0411971,0.0113863,0.0132203,0.0480051,0.0332755,0.0119348,0.00778136,0.00167214,0.0325291,0.0197248,0.0216559,0.00483231,0.0145114,0,0,0.0117744,0,0.0145464,0.0100269,0.0760075,0.019052,0.0172671,0.0120348,0.00802933,0.00881473,0.0135221,0.0423962,0.0134952,0.0102357,0.0221278,0,0,0.0796208,0.0338759,0.00810453,0.00738235,0.00676942,0.0128595,0.014306,0,0,0,0,0,0.0554481,0,0.00391292,0.0223593
26,0,0,0,0,0.0229689,0.0140992,0,0,0,0.0277384,0.013084,0.0290292,0,0,0.00549083,0,0.0177772,0.00404093,0.0299818,0.0390384,0.0207763,0.00240549,0.0361198,0.0104107,0.0129731,0.0412028,0.0115983,0.0133048,0.0480525,0.0340524,0.0121934,0.00797286,0.00166979,0.0266657,0.0196022,0.0176314,0.00520905,0.0172377,0,0,0.0124214,0,0.0144844,0.0103375,0.0760235,0.0170884,0.0168059,0.0126298,0.00813915,0.00894701,0.0132924,0.0422437,0.0139337,0.010408,0.0202026,0,0,0.0824522,0.0282376,0.00832524,0.00738243,0.00666248,0.0140018,0.0169843,0,0,0,0,0,0.055299,0,0,0.0227137
27,0,0,0,0,0.024549,0.0151069,0,0,0,0.0278466,0.0129342,0.028787,0,0,0.00458883,0,0.0176096,0.00361206,0.0295342,0.0387277,0.0212558,0.00239138,0.037982,0.0107761,0.0131914,0.0411489,0.0118548,0.0134254,0.04806,0.034445,0.0125539,0.00791212,0.00160631,0.0196691,0.0195426,0.0126004,0.00472364,0.0185365,0,0,0.0113992,0,0.0144937,0.00982239,0.0755858,0.0155898,0.0173065,0.0126187,0.00816763,0.00880585,0.0123604,0.0423034,0.0138188,0.0105091,0.0181783,0,0,0.0855311,0.02182,0.00763303,0.00735987,0.00658812,0.0147432,0.0186464,0,0,0,0,0,0.0553399,0,0.00421721,0.0226386
28,0,0,0,0,0.0261991,0.0161956,0,0,0,0.0279067,0.0127913,0.0284296,0,0,0.00392235,0,0.0174861,0.00329794,0.0291804,0.0385557,0.0215229,0.00245096,0.0400112,0.0109843,0.0132531,0.0409738,0.0120208,0.0135322,0.047996,0.0347907,0.0129211,0.00783943,0.00158208,0.0111609,0.0194755,0.00837161,0.00461192,0.020027,0,0,0.0106963,0,0.0144801,0.0094091,0.0750796,0.0151481,0.0174671,0.0122225,0.00815006,0.00895542,0.0111598,0.0423976,0.0130336,0.0105018,0.0165818,0,0.00619979,0.0888423,0.013978,0.007034,0.00783965,0.00645208,0.0155672,0.0202937,0,0,0,0,0,0.0553616,0,0.00517632,0.0225902
