Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,RTHI,RTIBI,LTHII,
151,0,0,0,0,0.0427453,0.0527905,0,0,0,0.11154,0.00966583,0.0465028,0.0172906,0,0,0.0200956,0,0.0212387,0.00890738,0.0457622,0.0610864,0.0285364,0.0198985,0.0175058,0.0573472,0.0130968,0.0317173,0.0608873,0.0238107,0.0455678,0.0161412,0.0197344,0.1466,0.0267627,0.0103402,0.00325798,0.0473278,0.0102915,0.0281591,0.00240856,0.0196336,0,0,0.0420667,0,0.0130845,0.0303279,0.0645101,0.0263376,0.0269775,0.0269909,0.0251852,0.0227857,0.0562231,0.0209212,0.01354,0.0157815,0.0264337,0,0.0508532,0.0266952,0.0126161,0.0135369,0.0506411,0.0199699,0,0,0,0,0,0.01014,0,0.0125761,0
152,0,0,0,0,0.0434013,0.0520149,0,0,0,0.113947,0.00983923,0.0477987,0.0188552,0,0,0.0205091,0,0.0210993,0.00891344,0.0463275,0.0634061,0.0270645,0.0200636,0.0184348,0.0558931,0.012554,0.031665,0.0593933,0.0246768,0.0467028,0.0160057,0.0205355,0.149468,0.0267171,0.0102597,0.00346246,0.0402262,0.0103597,0.0398823,0.00403486,0.0212704,0,0,0.041665,0,0.0130319,0.0299773,0.0667,0.0429314,0.0238155,0.023076,0.0230616,0.0227187,0.0549053,0.0180901,0.013539,0.0145998,0,0,0.0368219,0.0264475,0.0124455,0.0133933,0.049327,0.0209612,0,0,0,0,0,0.00846917,0,0.0122345,0
153,0,0,0,0,0.0421803,0.0517652,0,0,0,0.115285,0.00956948,0.0488975,0.0105232,0,0,0.0205695,0,0.0213199,0.00892209,0.0460041,0.0609433,0.0297055,0.0185931,0.013794,0.0569531,0.0137026,0.0296981,0.0616944,0.0241886,0.0470423,0.0175749,0.0197062,0.148959,0.0269502,0.0103752,0.00327992,0.0259683,0.0106777,0.0144588,0.0129768,0.019045,0,0,0.0390042,0,0.0127358,0.0285577,0.0601318,0.0175837,0.0275978,0.0588448,0.0225069,0.0208764,0.0728919,0.0509252,0.0430443,0.0447998,0.0631737,0,0.037435,0.0252636,0.0120859,0.0128539,0.0498024,0.0206989,0,0,0,0,0,0.0333294,0,0.0133782,0
154,0,0,0,0,0.0434032,0.0518493,0,0,0,0.115082,0.00961777,0.0478599,0.0178994,0,0,0.0207906,0,0.0213235,0.0087793,0.0467351,0.0641742,0.0262977,0.0195851,0.0187331,0.0554724,0.0130824,0.031079,0.0579822,0.0241321,0.0467753,0.0158052,0.0209495,0.150192,0.0265784,0.0104142,0.00318455,0.0368429,0.010392,0.0399028,0.00419094,0.0212653,0,0,0.0416951,0,0.0130218,0.0300585,0.0667908,0.0423191,0.0236705,0.0231398,0.021876,0.0222903,0.0559245,0.0196304,0.0143338,0.0433266,0,0,0.0317548,0.0266822,0.0124181,0.0132037,0.049022,0.0213718,0,0,0,0,0,0.00953593,0,0.0126056,0
155,0,0,0,0,0.0430764,0.0525418,0,0,0,0.113774,0.00928415,0.0471822,0.0154853,0,0,0.0206838,0,0.0215887,0.00876093,0.0466498,0.0629087,0.0266921,0.0188989,0.0179563,0.0562687,0.0140558,0.030353,0.0580549,0.0229433,0.0458759,0.0157198,0.0206584,0.148336,0.0263046,0.010577,0.00283284,0.0403521,0.0103692,0.0256546,0.00209867,0.0199033,0,0,0.0419632,0,0.0130699,0.0304203,0.0650495,0.0223825,0.025855,0.0259304,0.0225409,0.0223529,0.0574473,0.0222059,0.0143654,0.0511565,0.0248349,0,0.0425237,0.0268114,0.0127095,0.0132846,0.04995,0.0207646,0,0,0,0,0,0.012215,0,0.0130059,0
156,0,0,0,0,0.0431115,0.0523821,0,0,0,0.11223,0.00925009,0.0463169,0.0161063,0,0,0.0204745,0,0.0216205,0.00854537,0.0469546,0.0629853,0.0259691,0.0185532,0.0185223,0.0560197,0.0143795,0.0297156,0.0568311,0.0221905,0.0449337,0.0152875,0.0207742,0.14694,0.0259572,0.0105873,0.00271849,0.0450892,0.0103458,0.0324031,0.00228674,0.0201499,0,0,0.041978,0,0.0131354,0.0304911,0.0658841,0.0283533,0.0256377,0.0186568,0.0219596,0.0222957,0.0551169,0.0156104,0.00809822,0.0567806,0.0209006,0,0.0443866,0.0270348,0.0127726,0.0133959,0.0496725,0.0209944,0,0,0,0,0,0.00763064,0,0.0130881,0
157,0,0,0,0,0.0432411,0.0525894,0,0,0,0.110554,0.00917454,0.0453442,0.0158873,0,0,0.0203103,0,0.0216936,0.0084839,0.0471934,0.0623412,0.0256938,0.0179758,0.0187478,0.0561056,0.0146417,0.0285664,0.0559748,0.0211695,0.0437426,0.0149265,0.0206253,0.144676,0.025798,0.0106357,0.00265779,0.0430885,0.0103601,0.030925,0.00220739,0.0202021,0,0,0.0422032,0,0.0131684,0.030656,0.0657186,0.0270191,0.0255342,0.018989,0.021654,0.0222812,0.0552503,0.0157629,0.00780797,0.0535395,0.0203818,0,0.0423875,0.0272058,0.0127756,0.0134951,0.0497873,0.0210593,0,0,0,0,0,0.00761048,0,0.0131944,0
158,0,0,0,0,0.0433046,0.0527151,0,0,0,0.108785,0.00910391,0.0442887,0.0155432,0,0,0.0201059,0,0.0217441,0.00842048,0.0473897,0.061258,0.0255352,0.0171564,0.0187051,0.0562722,0.0143969,0.0270923,0.0551921,0.0199674,0.0423306,0.0145951,0.0203963,0.141766,0.0257706,0.0106724,0.00263682,0.0410212,0.0104113,0.0295026,0.00214511,0.0202194,0,0,0.0422278,0,0.0131849,0.0306632,0.0654371,0.0260793,0.0255039,0.0193714,0.0212752,0.0222339,0.0554534,0.0160857,0.00784054,0.0517509,0.0202241,0,0.04039,0.0273912,0.0126883,0.0135191,0.0498695,0.0211077,0,0,0,0,0,0.0079644,0,0.0135486,0
159,0,0,0,0,0.0433561,0.0527854,0,0,0,0.106405,0.00903203,0.0432422,0.0153199,0,0,0.0197845,0,0.0217899,0.00831705,0.0475374,0.0601189,0.0253255,0.0161795,0.0186729,0.0564124,0.0135201,0.0255581,0.0544109,0.0189947,0.0407294,0.0142635,0.0201245,0.138321,0.0257382,0.0106862,0.0026754,0.0396091,0.0104565,0.029038,0.00220916,0.0202428,0,0,0.0422497,0,0.0131931,0.0305987,0.0652943,0.0263769,0.0255196,0.0188265,0.0209102,0.0221481,0.0554105,0.0156925,0.00737282,0.0521848,0.0198527,0,0.0389273,0.0275079,0.0126688,0.0134913,0.0499596,0.0210731,0,0,0,0,0,0.00811218,0,0.0141808,0
160,0,0,0,0,0.0433288,0.0529113,0,0,0,0.103424,0.00893761,0.0421145,0.0148911,0,0,0.0195574,0,0.0218834,0.00826136,0.0477849,0.058778,0.0249941,0.0151929,0.0187319,0.0565128,0.0126512,0.0240843,0.0537104,0.0179387,0.0387995,0.0138557,0.0198013,0.134376,0.0256421,0.0107085,0.00266862,0.0387424,0.0104984,0.0289057,0.00242685,0.0201876,0,0,0.0423239,0,0.0132047,0.0305443,0.0652505,0.0261443,0.025562,0.0181876,0.0205124,0.0219703,0.0553759,0.0152588,0.00687927,0.0531703,0.0195196,0,0.0374404,0.0274546,0.0127421,0.0134975,0.0501244,0.0209519,0,0,0,0,0,0.00808833,0,0.0141315,0
