Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,RTHI,RTIBI,LTHII,
171,0,0,0,0,0.0445631,0.0526088,0,0,0,0.0312357,0.00853747,0.0208464,0.0125872,0,0,0.0197787,0,0.0227172,0.00801685,0.0531021,0.0333304,0.0235175,0.0100827,0.0196197,0.0563078,0.00615105,0.00906584,0.0470501,0.0099721,0.014331,0.00680703,0.0127356,0.0423832,0.0261493,0.0110193,0.0030078,0.0270891,0.0118003,0.0258333,0.00463219,0.0199955,0,0,0.0384485,0,0.012578,0.0276003,0.0635986,0.0291847,0.0258596,0.0167048,0.0169509,0.0190146,0.0551073,0.0142922,0.0113172,0.0548555,0.0152634,0,0.0259114,0.0251956,0.0112036,0.0115608,0.0506078,0.0196279,0,0,0,0,0,0.0103195,0.0254333,0.00988048,0
172,0,0,0,0,0.04437,0.0527632,0,0,0,0.0291392,0.00839832,0.0251803,0.0122971,0,0,0.0201149,0,0.0230394,0.00809457,0.0537603,0.035944,0.0242979,0.0116242,0.0193719,0.0563902,0.0063342,0.00835573,0.046853,0.0103394,0.0133633,0.0067746,0.0126101,0.0387791,0.0263837,0.0111898,0.00299427,0.0264352,0.0119234,0.0256644,0.00365987,0.020123,0,0,0.0382085,0,0.0126363,0.0275555,0.063685,0.0294413,0.025184,0.0167051,0.0172157,0.0188247,0.054615,0.0139681,0.0114305,0.0546919,0.0154216,0,0.0258731,0.0250352,0.011072,0.0115805,0.0509342,0.0191663,0,0,0,0,0,0.010305,0.0248934,0.0110521,0
173,0,0,0,0,0.0443058,0.0529785,0,0,0,0.0305903,0.00826387,0.0298065,0.0120526,0,0,0.0204542,0,0.0233558,0.00827983,0.0541985,0.0405997,0.0251955,0.014874,0.019114,0.0565147,0.00985161,0.0112974,0.0475826,0.0107361,0.012941,0.00763843,0.0126503,0.0393316,0.026596,0.0113772,0.00304338,0.025984,0.0119833,0.0253211,0.00261026,0.0200466,0,0,0.0383106,0,0.0126214,0.0276729,0.0637571,0.029547,0.0244352,0.016582,0.017786,0.0188534,0.054066,0.0133508,0.0114735,0.0544619,0.0157365,0,0.0259916,0.025041,0.0110025,0.0116362,0.0513631,0.0187885,0,0,0,0,0,0.0102776,0.0243577,0.0143739,0
174,0,0,0,0,0.0444604,0.0532901,0,0,0,0.0337755,0.008184,0.0337549,0.0120716,0,0,0.0207208,0,0.0236021,0.00844614,0.0544263,0.0466799,0.0260182,0.0189092,0.0188963,0.0567522,0.0154955,0.0171066,0.0490295,0.0113267,0.0131738,0,0.0126958,0.0417871,0.0267142,0.011534,0.00312052,0.0257383,0.0120304,0.0250183,0.00167665,0.0197974,0,0,0.0386167,0,0.0126412,0.0279217,0.0638555,0.029431,0.0237299,0.0162922,0.0185829,0.0189476,0.0535447,0.0133456,0.0112879,0.0541619,0.0161513,0,0.0263077,0.0253128,0.0109965,0.0116645,0.0518732,0.0184577,0,0,0,0,0,0.0106589,0.0237726,0.0184483,0
175,0,0,0,0,0.0444587,0.0536765,0,0,0,0.0359198,0.00799356,0.0358132,0.011989,0,0,0.0206668,0,0.0237758,0.00845396,0.0543621,0.0508418,0.0265759,0.0233611,0.0187408,0.0570228,0.0218203,0.0241811,0.0505825,0.0122148,0.0136194,0.0108051,0.012835,0.042999,0.0267977,0.0116411,0.00318507,0.0256178,0.0119845,0.0247377,0.00127012,0.0195332,0,0,0.0393605,0,0.012743,0.0282954,0.0638533,0.0291311,0.02321,0.0159368,0.0193019,0.0191347,0.0531388,0.0135485,0.0111785,0.0539027,0.0165823,0,0.0267262,0.0257431,0.0111152,0.0116454,0.0524554,0.0181007,0,0,0,0,0,0.0112028,0.023161,0.0223035,0
176,0,0,0,0,0.0442352,0.0539116,0,0,0,0.0445399,0.0078737,0.0421367,0.0117295,0,0,0.0204997,0,0.0237173,0.00853723,0.0542362,0.0581381,0.0269003,0.0265758,0.0184116,0.0572873,0.0270663,0.0300165,0.0516376,0.0155427,0.0178029,0.0152038,0.00981081,0.0528233,0.0268598,0.0116895,0.00326265,0.0256217,0.0118974,0.0245731,0.00178202,0.0193003,0,0,0.0400921,0,0.0127496,0.0285553,0.0638028,0.0289381,0.0229084,0.0156637,0.0196594,0.019254,0.0528946,0.0136632,0.0110234,0.0535906,0.0169544,0,0.0272931,0.0262205,0.0112184,0.0116377,0.0529549,0.0177576,0,0,0,0,0,0.0117525,0.0225565,0.0249893,0
177,0,0,0,0,0.044145,0.054281,0,0,0,0.053832,0.00772551,0.0488447,0.0114097,0,0,0.0199623,0,0.0235765,0.00850254,0.0541338,0.0644268,0.0270363,0.0287341,0.018287,0.0575343,0.0308729,0.0340328,0.0523382,0.0181356,0.0215854,0.0195204,0.00769617,0.0628352,0.0267224,0.0116413,0.00333819,0.0255542,0.0118092,0.0239575,0.00244725,0.0190636,0,0,0.0406017,0,0.0127877,0.0287848,0.0636864,0.0284546,0.0226698,0.0152543,0.0199136,0.0194949,0.0528023,0.0135867,0.010921,0.0532799,0.0173146,0,0.0277216,0.0265298,0.0112355,0.0117138,0.0535129,0.0175615,0,0,0,0,0,0.0115883,0.021978,0.0270907,0
178,0,0,0,0,0.0440136,0.054494,0,0,0,0.0587274,0.00768331,0.0517123,0.0108527,0,0,0.0193819,0,0.0232375,0.00844228,0.0542589,0.0664072,0.0270867,0.0299782,0.0182058,0.0577037,0.0327799,0.0361009,0.0526749,0.0183628,0.0224152,0.0207707,0.00722152,0.06732,0.0266831,0.0114959,0.00340157,0.0257494,0.0117602,0.0234326,0.00281251,0.0188061,0,0,0.0408992,0,0.012784,0.0291475,0.0636154,0.0280336,0.022541,0.0149755,0.0199605,0.0196414,0.052839,0.0136263,0.0108234,0.0531178,0.0175644,0,0.0286648,0.0267943,0.0112986,0.0117595,0.0539265,0.0175025,0,0,0,0,0,0.0114818,0.0215043,0.0281938,0
179,0,0,0,0,0.0440162,0.0546379,0,0,0,0.0584784,0.00772035,0.0501107,0.0100741,0,0,0.0184865,0,0.0228361,0.00826057,0.0547046,0.0637048,0.0270014,0.030294,0.0182285,0.0578451,0.0330705,0.0366246,0.0524384,0.0171681,0.0210588,0.0190225,0.0072599,0.0659315,0.0266167,0.0112808,0.00341649,0.0264427,0.0117026,0.0232993,0.00295071,0.0186131,0,0,0.0412589,0,0.0127659,0.0293382,0.0635546,0.0278011,0.0225655,0.014609,0.0198967,0.0198637,0.0529745,0.0133695,0.0103631,0.0532659,0.0179069,0,0.0301828,0.026912,0.0113658,0.0118045,0.0541047,0.0177044,0,0,0,0,0,0.0111956,0.0212266,0.0277077,0
180,0,0,0,0,0.0439848,0.0546701,0,0,0,0.0538557,0.00772324,0.0449348,0.00931502,0,0,0.0173942,0,0.0224532,0.00793253,0.0552181,0.0562517,0.0268384,0.0296032,0.0183009,0.0578384,0.0323158,0.0361236,0.0516224,0.0153691,0.0180309,0.0151354,0.00890417,0.059575,0.0263848,0.0110244,0.00334853,0.0272529,0.0116664,0.0229136,0.00290242,0.0185465,0,0,0.0415568,0,0.0128658,0.0293703,0.0634545,0.0273343,0.0226973,0.0143361,0.0196866,0.0201496,0.0532366,0.0130622,0.00965865,0.0534108,0.0181667,0,0.0315879,0.0268521,0.0114164,0.0118618,0.0540472,0.018225,0,0,0,0,0,0.0107422,0.0211108,0.026196,0
181,0,0,0,0,0.0440189,0.0546866,0,0,0,0.0473963,0.00772794,0.0382569,0.00877193,0,0,0.0161272,0,0.0221464,0.00747992,0.0554788,0.0471645,0.0265642,0.0280607,0.0186515,0.0576816,0.0309905,0.0349812,0.0502289,0.013198,0.0141704,0.0108334,0.0121623,0.0508206,0.0259675,0.0107901,0.00322549,0.0278596,0.0115809,0.0223127,0.00277156,0.0185949,0,0,0.0419134,0,0.0129618,0.0296053,0.0632881,0.0264673,0.0229853,0.0141453,0.0194259,0.0205913,0.0536036,0.0125881,0.00875819,0.0536691,0.0184159,0,0.0327104,0.0267843,0.0115914,0.0119823,0.0538665,0.0187014,0,0,0,0,0,0.00998251,0.0210099,0.024074,0
182,0,0,0,0,0.0440308,0.0546331,0,0,0,0.0455656,0.007847,0.0363342,0.00862589,0,0,0.0149108,0,0.0218283,0.00700786,0.0556181,0.0435173,0.0262071,0.0256922,0.0190811,0.057415,0.0291682,0.0330544,0.0487858,0.0135005,0.0142928,0.0104204,0.0116689,0.0494893,0.0254873,0.0105915,0.00314107,0.0286367,0.0114049,0.021673,0.00265258,0.0187111,0,0,0.042442,0,0.0130257,0.0300583,0.0631425,0.0255043,0.0233886,0.014168,0.0192261,0.0212261,0.0540457,0.0124117,0.00786663,0.0540839,0.018803,0,0.0336329,0.0268886,0.0119709,0.0122412,0.0536042,0.0189874,0,0,0,0,0,0.00909545,0.0208657,0.0216037,0
183,0,0,0,0,0.0439737,0.0546404,0,0,0,0.042638,0.00805788,0.0335307,0.00870354,0,0,0.0140765,0,0.0216084,0.00665195,0.0556122,0.0406434,0.0257296,0.0232958,0.0194275,0.0570889,0.0271269,0.0313568,0.0475223,0.0134244,0.0141365,0.00956254,0.0111665,0.0472878,0.0250113,0.0104766,0.00311684,0.0297297,0.011173,0.0210366,0.00270989,0.018854,0,0,0.043242,0,0.0131483,0.030702,0.0630841,0.024509,0.023848,0.0143827,0.0191123,0.0221705,0.0545852,0.0120935,0.00719806,0.0547109,0.0193016,0,0.034329,0.0270525,0.0124342,0.0126299,0.0533579,0.0191355,0,0,0,0,0,0.00821992,0.0208854,0.0192967,0
184,0,0,0,0,0.0444951,0.0547612,0,0,0,0.0388657,0.00822211,0.0306437,0.00881484,0,0,0.0135468,0,0.0215677,0.00642437,0.0552087,0.03797,0.0251405,0.0214801,0.0195913,0.0568241,0.0249602,0.0300496,0.0463948,0.0129743,0.0135649,0.00849234,0.0109137,0.0445528,0.0245883,0.0104825,0.00312077,0.0310591,0.0107898,0.0203826,0.00302398,0.0188566,0,0,0.0446134,0,0.0132386,0.0316935,0.0630081,0.0235591,0.0243284,0.0145889,0.0191664,0.0234914,0.0551709,0.0120131,0.00701062,0.0555847,0.0199,0,0.0351855,0.0275888,0.0130207,0.0131731,0.0532633,0.0190337,0,0,0,0,0,0.00744369,0.0209202,0.0176413,0
185,0,0,0,0,0.0450054,0.0551356,0,0,0,0.0331612,0.00829462,0.0276208,0.00855704,0,0,0.0129503,0,0.0215508,0.00617525,0.0546657,0.0333654,0.0244847,0.020852,0.0194963,0.0567625,0.022934,0.0289629,0.0454444,0.0123589,0.0132153,0.00839242,0.0104909,0.0402646,0.0241696,0.0104738,0.00319596,0.0324888,0.0103823,0.0198279,0.00361661,0.0188177,0,0,0.046547,0,0.0134475,0.0328254,0.0628416,0.0231407,0.0248186,0.0146534,0.0193736,0.0250859,0.0556908,0.0119919,0.00742148,0.0568147,0.0206015,0,0.036892,0.0284441,0.0136148,0.0138564,0.053427,0.0188344,0,0,0,0,0,0.00648926,0.0209865,0.017254,0
186,0,0,0,0,0.0452401,0.0555723,0,0,0,0.0247588,0.0082824,0.0228203,0.007788,0,0,0.0123777,0,0.021514,0.00594435,0.0541075,0.0276913,0.0239475,0.0210389,0.0192343,0.0567829,0.0208657,0.0275564,0.0449116,0.0128941,0.0143705,0.00968752,0.00919558,0.0334665,0.0236143,0.0104257,0.00329948,0.0341976,0.0100237,0.0192945,0.00440085,0.0188051,0,0,0.0489969,0,0.0138406,0.0342823,0.0625319,0.023893,0.0253689,0.014438,0.0195078,0.0265989,0.0562163,0.0120196,0.0084756,0.058486,0.0213265,0,0.0387599,0.0296436,0.014045,0.0147113,0.0536551,0.018785,0,0,0,0,0,0.00598252,0.0210752,0.0171223,0
187,0,0,0,0,0.0453684,0.055925,0,0,0,0.0170135,0.00822543,0.0174417,0.00691323,0,0,0.0117061,0,0.0213964,0.00568001,0.0536503,0.0243821,0.0237074,0.0207617,0.0189701,0.056705,0.019085,0.0254401,0.0452031,0.0148835,0.0162975,0.0114872,0.00812003,0.0279586,0.0230697,0.0103467,0.00331417,0.0362229,0.00953617,0.0189779,0.00520214,0.0189027,0,0,0.0517485,0,0.0141184,0.035991,0.06218,0.0258745,0.025932,0.0141731,0.0196286,0.0281139,0.0567758,0.0128083,0.0100688,0.0605521,0.0221054,0,0.0405546,0.0310204,0.014538,0.0154264,0.0537719,0.0191593,0,0,0,0,0,0.00604285,0.0212973,0.0164907,0
188,0,0,0,0,0.0454363,0.056144,0,0,0,0.0143884,0.0081686,0.014569,0.00640806,0,0,0.0107038,0,0.0212697,0.00535401,0.0536907,0.0243815,0.0238657,0.0196559,0.0188807,0.0564505,0.0174886,0.022584,0.0460958,0.0162386,0.0171011,0.0122496,0.00820379,0.0272662,0.0227932,0.0103012,0.00330476,0.0380616,0.00903217,0.0187596,0.00585473,0.0189363,0,0,0.0539657,0,0.0143345,0.0375175,0.0620785,0.0282965,0.0263987,0.0142067,0.0198696,0.0295339,0.0573087,0.0133691,0.0117922,0.0628061,0.0228179,0,0.0421694,0.0321678,0.0150435,0.0159434,0.0537276,0.0201728,0,0,0,0,0,0.00666787,0.0215681,0.0152655,0
189,0,0,0,0,0.0455788,0.0562917,0,0,0,0.0161179,0.00808696,0.0139702,0.00645133,0,0,0.00943926,0,0.0212067,0.00493566,0.054145,0.0257226,0.0242778,0.0181069,0.0190915,0.0560645,0.0151548,0.0191141,0.0464052,0.0160893,0.016961,0.0119356,0.00845095,0.0299431,0.022582,0.0102408,0.0032421,0.039749,0.00860361,0.0188877,0.00643037,0.0188964,0,0,0.0552476,0,0.0145694,0.0386483,0.0621883,0.0310043,0.0267239,0.0144738,0.0201673,0.0308408,0.0577377,0.0137014,0.0137705,0.0652222,0.023526,0,0.0435628,0.0329396,0.0156287,0.0163006,0.0536441,0.0215514,0,0,0,0,0,0.00753856,0.0220552,0.0139919,0
190,0,0,0,0,0.0456131,0.0562404,0,0,0,0.018737,0.00791108,0.0139555,0.00696012,0,0,0.00837756,0,0.0211472,0.00466093,0.0547532,0.0266175,0.0246422,0.0162952,0.0195805,0.055685,0.0123029,0.0161426,0.0456164,0.0150537,0.0164123,0.0111974,0.0086858,0.033141,0.0222903,0.0101549,0.00315919,0.0419483,0.00822866,0.0191671,0.00707824,0.0188339,0,0,0.0559437,0,0.0148015,0.0394461,0.0624672,0.0336897,0.0271251,0.0150144,0.0203149,0.0316836,0.0583485,0.0144242,0.0156481,0.0672915,0.0243782,0,0.045099,0.0333937,0.0163393,0.0166074,0.0534638,0.0227552,0,0,0,0,0,0.00820751,0.0224897,0,0
191,0,0,0,0,0.0462395,0.0562553,0,0,0,0.0207279,0.0077103,0.0139775,0.00788938,0,0,0.0077291,0,0.0210007,0.00436451,0.0555021,0.0273244,0.0247644,0.0141854,0.020229,0.0555316,0.0103632,0.0147436,0.0444036,0.0137974,0.0157327,0.0104857,0.00879127,0.0353509,0.0220345,0.0100505,0.00299565,0.0439893,0.00808504,0.0194111,0.00766688,0.0187524,0,0,0.0561509,0,0.015175,0.0398739,0.0626646,0.0371762,0.0274578,0.0159633,0.0204892,0.0324697,0.0590621,0,0.0172604,0.0679299,0.0254247,0,0.0472505,0.0331862,0.0170325,0.0171506,0.0532833,0.0231612,0,0,0,0,0,0.0093404,0.0225579,0.0126831,0
192,0,0,0,0,0.0466316,0.0561229,0,0,0,0.0224435,0.00778605,0.013163,0.00899373,0,0,0.00767801,0,0.0207191,0.00412352,0.0561619,0.0272401,0.0247036,0.0128141,0.0208564,0.05557,0.0104657,0.0152587,0.0435642,0.0129418,0.0154281,0.0100397,0.00889384,0.0373782,0.0219456,0.00995108,0.00286154,0.0457075,0.00819139,0.0198136,0.00841625,0.0189176,0,0,0.0557048,0,0.0156462,0.040024,0.062908,0.0404388,0.0276014,0.016048,0.0206305,0.0329356,0.0592624,0.0160731,0.0180741,0.0682479,0.0266006,0,0.0484196,0.0326032,0.0174396,0.0174896,0.0529181,0.0228382,0,0,0,0,0,0.0101606,0.0228752,0.0118084,0
193,0,0,0,0,0.0471396,0.055576,0,0,0,0.026394,0.00832351,0.0125557,0.0135532,0,0,0.00822824,0,0.0202126,0.00390564,0.0575995,0.0284292,0.0234015,0.0126901,0.0228994,0.0550619,0.0119875,0.0172119,0.0422648,0.0119818,0.015402,0.0100574,0.00910559,0.0430324,0.0223818,0.00973393,0.00248674,0.0613913,0.00823116,0.0375956,0.014243,0.0205372,0,0,0.0546215,0,0.0157868,0.039758,0.0643707,0.0592832,0.027304,0.0176168,0.020492,0.033951,0.0578129,0.0187421,0.0239316,0.0716081,0,0,0.0637055,0.0316792,0.0175515,0.0176278,0.0517631,0.0225649,0,0,0,0,0,0.0132527,0.0310135,0.011678,0
194,0,0,0,0,0.0464207,0.0554886,0,0,0,0.028659,0.00847214,0.0114058,0.0142617,0,0,0.00886077,0,0.0201258,0.00411684,0.057741,0.0277382,0.0232705,0.0124043,0.0235198,0.0556775,0.0126509,0.0177913,0.0422716,0.0115876,0.0151752,0.00994236,0.00921266,0.0460014,0.022783,0.00965942,0.00251267,0.0650126,0.00825419,0.0414639,0.0149665,0.0208777,0,0,0.0534475,0,0.0157241,0.0394318,0.0643845,0.0654722,0.0271522,0.0179472,0.0209972,0.0346316,0.0581214,0.0194096,0.0252457,0.0712764,0,0,0.0659202,0.0308778,0.0177069,0.0177811,0.0516191,0.0219691,0,0,0,0,0,0.0140109,0.0319751,0.0113475,0
195,0,0,0,0,0.0462654,0.055163,0,0,0,0.0315061,0.00874213,0.0109104,0.0145997,0,0,0.009586,0,0.0201628,0.00445723,0.0575189,0.0272673,0.022838,0.0123167,0.0237834,0.0561084,0.0127122,0.0180067,0.042234,0.0112797,0.0152007,0.00973071,0.00953825,0.0492862,0.0234265,0.00966579,0.00285931,0.0712378,0.00831142,0.0443497,0.0158767,0.0211451,0,0,0.0525637,0,0.0155475,0.0387702,0.0643916,0.0690875,0.0270874,0.0186686,0.0213733,0.0349882,0.0587569,0.0203122,0.0267962,0.0698606,0,0,0.0656887,0.030134,0.0175363,0.0177577,0.0513389,0.021589,0,0,0,0,0,0.0151875,0.0322608,0.0107313,0
196,0,0,0,0,0.0473778,0.0548185,0,0,0,0.0341509,0.00893273,0.0111487,0.0145519,0,0,0.0103954,0,0.0204043,0.00478206,0.0571827,0.0269602,0.0222077,0.0124172,0.0238804,0.0561762,0.0121501,0.0179985,0.0422474,0.0112036,0.0156405,0.00949233,0.0099939,0.0520027,0.0241211,0.00976332,0.00313922,0.0754443,0.00826694,0.0466274,0.0162355,0.0212694,0,0,0.0522627,0,0.0152247,0.0381902,0.0642401,0.0727118,0.0269498,0.0192609,0.0216185,0.0351038,0.0593574,0.0219,0.0286522,0.068491,0,0,0.065023,0.0296719,0.0172991,0.0176665,0.0510634,0.0213676,0,0,0,0,0,0.0167932,0.0326957,0.00991659,0
197,0,0,0,0,0.0478601,0.0545849,0,0,0,0.0359542,0.00882613,0.0116924,0.014222,0,0,0.0111287,0,0.0205274,0.00497956,0.0569766,0.0266689,0.0215864,0.0128702,0.0238728,0.0559816,0.0111879,0.0176979,0.0424682,0.011547,0.0163422,0.00987054,0.0103954,0.0535121,0.0246197,0.00984831,0.00311065,0.0757994,0.00828286,0.0495671,0.0162414,0.0213125,0,0,0.052008,0,0.0149394,0.0376954,0.0641732,0.0765986,0.0267451,0.0211084,0.0216458,0.0348975,0.060201,0,0.0309529,0.0666274,0,0,0.0637475,0.0294669,0.0170359,0.0173722,0.050927,0.0214448,0,0,0,0,0,0.0183756,0.0327093,0.00879525,0
198,0,0,0,0,0.047745,0.054421,0,0,0,0.0365081,0.0085983,0.0121293,0.0138932,0,0,0.0117856,0,0.0207127,0.00510264,0.0568532,0.0262769,0.0211115,0.0134693,0.0237022,0.0556689,0.0103307,0.0173873,0.0427588,0.012236,0.0169124,0.0104409,0.0106619,0.0535685,0.025273,0.00993237,0.00313566,0.0722333,0.0084141,0.0521442,0.0164655,0.021402,0,0,0.0516829,0,0.0148745,0.0372539,0.0640736,0.0791317,0.026467,0.0215075,0.0214781,0.0343216,0.0607577,0.0249334,0.0327454,0.0662683,0,0,0.0598635,0.0294769,0.0167321,0.0171202,0.0508276,0.0218011,0,0,0,0,0,0.0197622,0.0336074,0.00781316,0
199,0,0,0,0,0.0475034,0.0544009,0,0,0,0.0354265,0.0082724,0.0119967,0.0133303,0,0,0.0122269,0,0.0210869,0.0052094,0.0568649,0.0255392,0.0210437,0.0138586,0.0233066,0.0554958,0.00976306,0.0171497,0.0431656,0.0127842,0.017015,0.0108266,0.0106915,0.0519555,0.025697,0.0102449,0.0031923,0.0675015,0.00850233,0.0533016,0.0163812,0.0212774,0,0,0.0514991,0,0.0147896,0.0371585,0.0638003,0.0814723,0.0260861,0.022516,0.0212754,0.0337329,0.0613597,0.0261842,0.0345988,0.0660175,0,0,0.056529,0.0296964,0.0165232,0.0167939,0.0508123,0.0222383,0,0,0,0,0,0.0212374,0.0344622,0.00736704,0
200,0,0,0,0,0.0478102,0.0544382,0,0,0,0.0331077,0.0079269,0.0113369,0.0128144,0,0,0.012314,0,0.0214005,0.00495297,0.0568918,0.0240219,0.0213255,0.0138454,0.0227879,0.0554807,0.00946535,0.0168295,0.0436453,0.0130582,0.0164155,0.0107944,0.0104605,0.0487961,0.0257869,0.0105797,0.00322556,0.0634398,0.00844959,0.0541403,0.015866,0.0208431,0,0,0.0517443,0,0.0145547,0.0373904,0.0633587,0.0817082,0.0256327,0.02372,0.021088,0.0331869,0.062008,0,0.0361593,0.0651872,0,0,0.0518784,0.0301368,0.0164374,0.0166954,0.050836,0.0225832,0,0,0,0,0,0.0223392,0.0348281,0.00744968,0
201,0,0,0,0,0.0483068,0.0544311,0,0,0,0.03039,0.0076445,0.0106226,0.0128491,0,0,0.0123929,0,0.0216756,0.00463262,0.0569071,0.0223433,0.0216447,0.013541,0.0223365,0.055512,0.00935708,0.0164094,0.0439822,0.0131981,0.0156159,0.0106191,0.0100986,0.0452264,0.0258347,0.0108291,0.00335702,0.0574903,0.00845882,0.0538086,0.0158809,0.0206288,0,0,0.0520793,0,0.0143774,0.0372885,0.0631038,0.07968,0.0250414,0.0220746,0.0208597,0.0326959,0.0620936,0.0277915,0.0364749,0.0663093,0,0,0.0451004,0.0304112,0.0163153,0.0166331,0.0507472,0.022916,0,0,0,0,0,0.022575,0.0357127,0.00769403,0
202,0,0,0,0,0.0485637,0.0545295,0,0,0,0.0276837,0.00748081,0.00996864,0.0126314,0,0,0.0122663,0,0.0219243,0.00426949,0.0569105,0.020413,0.0219681,0.0132477,0.0220013,0.0557351,0.00946197,0.0159971,0.044337,0.0133854,0.0150486,0.0104296,0.00973166,0.0415516,0.0260046,0.0110465,0.00364877,0.0517362,0.00864053,0.053343,0.0155965,0.0203433,0,0,0.0522388,0,0.0143939,0.0369443,0.0627162,0.0776717,0.0245173,0.0228738,0.0207163,0.0322498,0.0622898,0.0280671,0.0367388,0.0679858,0,0,0.038256,0.0304814,0.0161044,0.0164096,0.0507769,0.0231382,0,0,0,0,0,0.0226362,0.0361702,0.00808041,0
203,0,0,0,0,0.0485632,0.0546596,0,0,0,0.0255989,0.00741192,0.00962105,0.0120741,0,0,0.0121136,0,0.0221998,0.00397321,0.0568505,0.0191364,0.0223955,0.0130551,0.0216394,0.0560657,0.00961194,0.0155791,0.0446044,0.0134874,0.0147411,0.0103644,0.0095376,0.0384062,0.0262071,0.0112191,0.00400916,0.0468542,0.00889078,0.0528687,0.0148687,0.0200041,0,0,0.0519466,0,0.0144418,0.0365878,0.0622704,0.0764478,0.0240349,0,0.020509,0.0317186,0.0624081,0.0302135,0.0371092,0.0686556,0,0,0.032297,0.0303109,0.0158212,0.0160845,0.0508464,0.023142,0,0,0,0,0,0.0226203,0.0363336,0.00863571,0
204,0,0,0,0,0.048438,0.0546603,0,0,0,0.0245462,0.00743051,0.00967173,0.0119464,0,0,0.0122181,0,0.022368,0.00384927,0.0565668,0.019021,0.022774,0.0128067,0.0212098,0.0563287,0.00971256,0.0152218,0.0446797,0.0133996,0.0145098,0.0102464,0.0095753,0.03633,0.0264633,0.0113179,0.00422533,0.0413802,0.00901766,0.0509883,0.0144289,0.0197683,0,0,0.0511023,0,0.0142106,0.036097,0.0618411,0.0741246,0.0235747,0.0244806,0.0203436,0.0311907,0.0618134,0.0302016,0.0358961,0.0709248,0,0,0.0262945,0.0300369,0.0155344,0.015787,0.0508199,0.0229295,0,0,0,0,0,0.0217682,0.0367646,0.00914368,0
205,0,0,0,0,0.0483425,0.0545825,0,0,0,0.023671,0.00748854,0.00980662,0.0118416,0,0,0.0124362,0,0.022426,0.00383977,0.0561783,0.0185318,0.0231034,0.0125299,0.0206188,0.0565422,0.00957045,0.0147645,0.0448322,0.013343,0.014274,0.00998839,0.0095714,0.0342304,0.0267407,0.0113681,0.00429945,0.037498,0.00923619,0.0495967,0.0137256,0.0195208,0,0,0.0499914,0,0.0140017,0.0355125,0.061609,0.0727914,0.0230915,0.0236696,0.0201994,0.0306955,0.0617417,0.0302368,0.0341995,0.0727235,0,0,0.0216413,0.0296639,0.0152305,0.0154393,0.0507327,0.0226318,0,0,0,0,0,0.020734,0.0365349,0.00948035,0
206,0,0,0,0,0.0483992,0.0545483,0,0,0,0.0227061,0.00752637,0.0100838,0.0118017,0,0,0.0128304,0,0.0223864,0.00406908,0.0558594,0.0177767,0.0233072,0.0124073,0.020351,0.0566432,0.00944215,0.0142916,0.0448221,0.0133026,0.0140265,0.00971993,0.00943056,0.0321643,0.0270203,0.0113831,0.00427152,0.0347369,0.00954126,0.0484408,0.0129704,0.0193935,0,0,0.0491347,0,0.0139823,0.0348783,0.0615681,0.0715553,0.0226646,0.0205553,0.0201879,0.0303664,0.0619496,0.0297149,0.0322238,0.0749749,0,0,0.0190092,0.0292327,0.0150023,0.0151139,0.0506938,0.022318,0,0,0,0,0,0.0192493,0.0351748,0.00976369,0
207,0,0,0,0,0.0483862,0.0544246,0,0,0,0.0215894,0.00757984,0.0104174,0.0116059,0,0,0.0132606,0,0.0223589,0.00443466,0.0555739,0.0168109,0.0234894,0.0124372,0.020304,0.0567367,0.00925481,0.0138318,0.04466,0.0134141,0.0139327,0.00946404,0.00920986,0.0299076,0.0273264,0.0113509,0.00416799,0.0328191,0.00970728,0.0476874,0.0121374,0.0193758,0,0,0.0483511,0,0.0137773,0.0342717,0.061575,0.0707297,0.0222581,0,0.0202048,0.0299516,0.0621043,0.0300344,0.0306885,0.0759869,0,0,0.017191,0.028892,0.0148019,0.0148394,0.050594,0.0220382,0,0,0,0,0,0.018024,0.0345173,0.00998826,0
208,0,0,0,0,0.0483566,0.0543416,0,0,0,0.0208094,0.00763576,0.0110082,0.0113972,0,0,0.013691,0,0.0223429,0.00475103,0.0553459,0.0161963,0.0237005,0.0125857,0.0201251,0.0568669,0.00931334,0.013521,0.0443852,0.0137499,0.0140608,0.00934887,0.0091073,0.0281068,0.0275835,0.0113218,0.00402379,0.0314811,0.00990018,0.0465789,0.01156,0.0192966,0,0,0.0475952,0,0.0136471,0.0337821,0.0614935,0.0690152,0.0219327,0,0.0204506,0.0295326,0.0619114,0.029671,0.0287423,0.076853,0,0,0.0161054,0.0285399,0.0145466,0.0145073,0.050503,0.0218841,0,0,0,0,0,0.0167649,0.0344533,0.0103256,0
