Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTOE,RUPA,RWRA,RWRB,T10,x68,x69,x70,x71,x72,STRN,RTIBP,LTHII,RTIBI,
9,0,0,0,0,0.0362048,0.0466787,0,0,0,0.0239166,0.0129437,0.028921,0.00434033,0,0,0.0044205,0,0.0171189,0.00306379,0.0490682,0.0469208,0.0268691,0.0245013,0.0167627,0.0586034,0.0193953,0.0222117,0.0558293,0.0152934,0.0181169,0.00905975,0.0161363,0.0406588,0.0191408,0.00695541,0.0048851,0.0140898,0.0132542,0.0328347,0.00510253,0.013427,0,0,0.0270415,0,0.0121446,0.0203159,0.0598259,0.0521834,0.0251004,0.0182208,0.0147124,0.0128251,0.0127932,0.0565232,0.011494,0.0199879,0.0322229,0.00861221,0.0209369,0.0182962,0.00970719,0.009061,0.0197665,0,0,0,0,0,0.0470877,0.0393369,0.0216891,0.034791,0
10,0,0,0,0,0.0362544,0.046759,0,0,0,0.0216257,0.012944,0.0311007,0.00399611,0,0,0.004403,0,0.0170833,0.00300847,0.048768,0.048092,0.027421,0.026895,0.0168789,0.0588351,0.022819,0.0266496,0.0563871,0.0164501,0.018358,0.00972119,0.0154165,0.0368616,0.0192405,0.00693907,0.00491081,0.0134308,0.0131961,0.0325345,0.00469433,0.0133862,0,0,0.0270396,0,0.0121085,0.0203337,0.0595675,0.0520119,0.0246302,0.0179065,0.0152129,0.0127589,0.013016,0.0563508,0.0111619,0.0201294,0.0319092,0.00889948,0.0208626,0.0182875,0.00985236,0.00898461,0.0196455,0,0,0,0,0,0.0471548,0.0390599,0.0237002,0.0341066,0
11,0,0,0,0,0.0360817,0.0467586,0,0,0,0.0284175,0.0129221,0.0363983,0.00375214,0,0,0.00434095,0,0.0170097,0.00296887,0.048389,0.0517238,0.0278805,0.0278335,0.0169504,0.0590442,0.0254628,0.02969,0.0568165,0.0188368,0.0206525,0.0134846,0.0127239,0.0431252,0.0193439,0.0069335,0.00495817,0.0146036,0.013147,0.0326101,0.00456047,0.0132841,0,0,0.027358,0,0.0121317,0.0205922,0.059553,0.0515917,0.0242856,0.0179959,0.0157224,0.0128369,0.0135951,0.0559166,0.0114021,0.0199681,0.0318891,0.00892399,0.0218422,0.0185826,0.00971148,0.00900742,0.019445,0,0,0,0,0,0.0472034,0.0386449,0.024855,0.0336546,0
12,0,0,0,0,0.035962,0.0467998,0,0,0,0.0364167,0.0128979,0.0407629,0.00368824,0,0,0.00420997,0,0.0170084,0.00295384,0.04788,0.054565,0.0280566,0.0282038,0.0169041,0.0591475,0.0274395,0.0318433,0.0570436,0.0207959,0.0229652,0.0172474,0.0112389,0.0496993,0.0193983,0.00691838,0.00500482,0.0166385,0.0131159,0.0327821,0.00467706,0.0132328,0,0,0.0279221,0,0.0122175,0.0209769,0.0596027,0.0508582,0.0240844,0.0183558,0.0161695,0.0130655,0.0141656,0.0555566,0.0120371,0.0195792,0.0318018,0.00900949,0.0233287,0.0190216,0.00977018,0.00912886,0.0193208,0,0,0,0,0,0.0471702,0.0380271,0.0254133,0.0333166,0
13,0,0,0,0,0.0361999,0.04702,0,0,0,0.0420848,0.0129086,0.0434179,0.00341845,0,0,0.00423836,0,0.0169471,0.0030733,0.0474655,0.0553024,0.0285675,0.0279908,0.0159257,0.0591211,0.0284793,0.0325701,0.0573393,0.0216724,0.0238103,0.0190422,0.0106069,0.0529109,0.0195373,0.00692083,0.00502067,0.0466807,0.0131539,0.0646493,0.0063822,0.0135039,0,0,0.0282519,0,0.0121909,0.0211483,0.0612828,0.0880159,0.0227877,0.038436,0.0159381,0.0132186,0.0293137,0.0545242,0.0310708,0.0363914,0.0571847,0.0261287,0.0497476,0.0189587,0.0099385,0.00916805,0.0195915,0,0,0,0,0,0.0471343,0.0644611,0.0253464,0.0539439,0
14,0,0,0,0,0.0363338,0.0470822,0,0,0,0.0409897,0.0129037,0.0412366,0.00345933,0,0,0.00436023,0,0.0169679,0.00334958,0.0474902,0.0519686,0.0282386,0.0274938,0.0168276,0.0587663,0.0276859,0.032239,0.0565557,0.0210271,0.0226433,0.0170428,0.00965128,0.050208,0.019847,0.00688451,0.0049686,0.00748488,0.0130363,0.0377341,0.00372762,0.0138745,0,0,0.0294151,0,0.0122667,0.0217068,0.0572371,0.0631369,0.0228807,0.0200581,0.0155416,0.0137071,0.0106681,0.0596148,0.0144593,0.0235268,0.0310544,0.0103503,0.0175662,0.0194888,0.0103151,0.0095047,0.0195025,0,0,0,0,0,0.0468499,0.0437499,0.0235962,0.0372874,0
15,0,0,0,0,0.0360742,0.0470466,0,0,0,0.0365122,0.0127802,0.0366719,0.00256477,0,0,0.00417672,0,0.01696,0.00333123,0.0477666,0.0461225,0.0281235,0.0268796,0.0169704,0.0584372,0.0269495,0.0314124,0.0559103,0.0196193,0.0202355,0.0132556,0.00976453,0.0437821,0.0197174,0.00686463,0.00497528,0.00750467,0.0127501,0.0346578,0.00423827,0.0138199,0,0,0.0310283,0,0.0124115,0.0225313,0.0565067,0.0579707,0.0233309,0.0165919,0.0157586,0.0142235,0.00915206,0.0600532,0.0110089,0.020009,0.0288245,0.0102191,0.0200375,0.0205805,0.0110384,0.0098808,0.0197163,0,0,0,0,0,0.0469188,0.0400628,0.0222454,0.035317,0
16,0,0,0,0,0.0363527,0.0469067,0,0,0,0.0305869,0.0126919,0.0307562,0.00200198,0,0,0.00423611,0,0.0169378,0.00335107,0.0479562,0.0383249,0.0279002,0.0258803,0.0172625,0.0579639,0.0256997,0.0300204,0.055023,0.017664,0.0172741,0.00843138,0.0114521,0.0348168,0.0198347,0.0068957,0.00497664,0.00913294,0.0125805,0.0348019,0.004353,0.0141236,0,0,0.0325153,0,0.012461,0.0232678,0.0562121,0.0571962,0.0234924,0.0161679,0.0155165,0.01478,0.00844934,0.0605014,0.0107605,0.0189661,0.0281457,0.00997784,0.0216217,0.0210564,0.0117802,0.0100729,0.0202502,0,0,0,0,0,0.0467598,0.0391703,0.0204905,0.0358271,0
17,0,0,0,0,0.0365534,0.0468195,0,0,0,0.0311507,0.0125644,0.0293316,0.00206583,0,0,0.00440993,0,0.0169627,0.00347265,0.0481575,0.0343943,0.0277129,0.0236016,0.0176961,0.0573809,0.0240602,0.0277505,0.0539966,0.0175667,0.0170594,0.00795453,0.0113971,0.034807,0.020214,0.00699275,0.00496454,0.0109835,0.012395,0.0355436,0.00419273,0.0144308,0,0,0.0340289,0,0.0126213,0.024144,0.0558239,0.0573892,0.0236754,0.0160078,0.0152469,0.0155306,0.00759323,0.0612378,0.0108367,0.0179984,0.0276445,0.0097074,0.0235778,0.021745,0.0119683,0.010404,0.0207614,0,0,0,0,0,0.0464985,0.0386686,0.0182737,0.0374949,0
18,0,0,0,0,0.0367886,0.0469166,0,0,0,0.0320575,0.0124347,0.0276953,0.00224357,0,0,0.00469733,0,0.0171026,0.00364888,0.0482245,0.0313083,0.0274596,0.021145,0.0180853,0.0568503,0.0220953,0.0258412,0.0529563,0.0171068,0.0165909,0.00745739,0.0114976,0.035557,0.0206123,0.0071551,0.00497087,0.0137175,0.0121699,0.0369513,0.00402931,0.0148011,0,0,0.0356027,0,0.012825,0.0252111,0.055455,0.0581746,0.0240032,0.0159496,0.0149508,0.0165264,0.00672043,0.0620475,0.0109985,0.0170084,0.0273492,0.00942347,0.026355,0.0225218,0.0125527,0.010853,0.0211577,0,0,0,0,0,0.0462225,0.038487,0.0158908,0.0386614,0
