Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTOE,RUPA,RWRA,RWRB,T10,x68,x69,x70,x71,x72,STRN,RTIBP,LTHII,RTIBI,
29,0,0,0,0,0.0407273,0.0490037,0,0,0,0.0157945,0.0119049,0.00757794,0.00102182,0,0,0.00677961,0,0.0178489,0.00452332,0.0477722,0.0159964,0.0279666,0.0138125,0.0208792,0.0521107,0.00685347,0.0128187,0.0511015,0.0151794,0.0159973,0.00895646,0.00865411,0.0239908,0.0191237,0.00765248,0.00480836,0.0547808,0.00984342,0.0371253,0.00474651,0.0188356,0,0,0.0497022,0,0.0150055,0.0364242,0.0557645,0.0536561,0.0249031,0.0210218,0.0178902,0.0275245,0.0136992,0.0688396,0.0179619,0.0174118,0.0162451,0.0215856,0.0546783,0.0316898,0.0170599,0.0150705,0.0246987,0,0,0,0,0,0.0457789,0.0301177,0.0102431,0.0345242,0
30,0,0,0,0,0.0408997,0.0494219,0,0,0,0.0171585,0.0117058,0.00744557,0.00428176,0,0,0.00650168,0,0.0179446,0.00461219,0.0481159,0.017678,0.0268516,0.0151566,0.0230081,0.0528944,0.00904069,0.0153949,0.0513703,0.0149907,0.0160908,0.00881192,0.00838044,0.0269757,0.0188321,0.0077337,0.00491168,0.038533,0.00975954,0.0277237,0.00933498,0.0184652,0,0,0.0506546,0,0.0152199,0.0370975,0.0619429,0.0538064,0.0280376,0.0182411,0.0205249,0.0281327,0.0142083,0.0633703,0.0170364,0.0212886,0.0201409,0.0276824,0.0268382,0.0321763,0.0172555,0.0154414,0.0238139,0,0,0,0,0,0.0464496,0.0361489,0.0115095,0.0322274,0
31,0,0,0,0,0.0409262,0.0492606,0,0,0,0.018391,0.0118796,0.00694191,0.00466947,0,0,0.00653526,0,0.0177438,0.00486121,0.0479283,0.0172863,0.0265732,0.0160382,0.0233251,0.0532649,0.00934838,0.015681,0.05171,0.0148963,0.0161162,0.00869258,0.00810338,0.02819,0.0197006,0.0077315,0.00503894,0.0411641,0.00995882,0.0274995,0.00998788,0.0184348,0,0,0.0494787,0,0.0150556,0.0362497,0.0618749,0.0536706,0.0279137,0.018608,0.0208894,0.0280025,0.0148041,0.0636975,0.017876,0.0221886,0.0185168,0.0275948,0.0256319,0.0312684,0.0170999,0.0151301,0.0233419,0,0,0,0,0,0.0462044,0.0345847,0.0117801,0.0317138,0
32,0,0,0,0,0.040771,0.0489957,0,0,0,0.0194678,0.0120062,0.00661208,0.00464913,0,0,0.00717613,0,0.0176837,0.0051744,0.0475345,0.0166209,0.0262005,0.0168001,0.0234471,0.053552,0.00905336,0.0154195,0.052116,0.0148232,0.0161479,0.00859234,0.00794499,0.0288452,0.020854,0.0077292,0.00503354,0.0421705,0.0101701,0.0286205,0.0104921,0.0183487,0,0,0.0481953,0,0.0148603,0.035238,0.0618773,0.0554096,0.0279124,0.0188219,0.021143,0.0274966,0.0154493,0.0641713,0.0186452,0,0.0181207,0.028141,0.026543,0.0303915,0.0169589,0.0147177,0.0231202,0,0,0,0,0,0.0459094,0.0331519,0.0117772,0.0319907,0
33,0,0,0,0,0.0405545,0.0487049,0,0,0,0.0203772,0.0120999,0.00647018,0.00497248,0,0,0.00770661,0,0.0176068,0.00546602,0.0472019,0.0160569,0.025604,0.0172911,0.0235878,0.0537491,0.00854902,0.0150033,0.0524769,0.0148083,0.016244,0.00858211,0.00790821,0.0291996,0.0216294,0.00771058,0.00488511,0.039006,0.0103838,0.0310983,0.0112349,0.018243,0,0,0.0469698,0,0.0146407,0.0343017,0.0625717,0.0587452,0.0281135,0.0185457,0.0213798,0.0268374,0.0155811,0.0642545,0.0189805,0.0239376,0,0.0291537,0.0247498,0.029721,0.0166071,0.014278,0.0230509,0,0,0,0,0,0.0457009,0.0320322,0.0115776,0.0321007,0
34,0,0,0,0,0.0403319,0.0485151,0,0,0,0.0207799,0.0121791,0.00645436,0.00507785,0,0,0.00793701,0,0.0174213,0.0056711,0.047076,0.015517,0.0252254,0.0175414,0.0235424,0.0539086,0.0080787,0.0147133,0.0529951,0.0149758,0.0164195,0.008722,0.0079573,0.0290446,0.021914,0.00758921,0.00465234,0.036869,0.0105869,0.0325164,0.0113861,0.0181434,0,0,0.0457449,0,0.0144153,0.0334214,0.0626738,0.0594095,0.02801,0.0182169,0.021474,0.0260492,0.0162123,0.064858,0.0191104,0,0,0.0306726,0.0240118,0.0291279,0.0161104,0.0138461,0.0230814,0,0,0,0,0,0.0455749,0.0317316,0.0112836,0.0325181,0
35,0,0,0,0,0.0401625,0.0483013,0,0,0,0.020492,0.0122055,0.00614782,0.00523907,0,0,0.00807275,0,0.0172961,0.00582583,0.0470875,0.0146878,0.0251248,0.0176587,0.0235195,0.0542032,0.0078688,0.0144536,0.0533726,0.0152337,0.0164924,0.0087671,0.00789128,0.0281421,0.0220752,0.00751472,0.00446829,0.034451,0.0107441,0.0333619,0.0115311,0.0179872,0,0,0.0447691,0,0.0142399,0.0326941,0.0628063,0.058384,0.0279333,0.0180494,0.0216275,0.0251336,0.0167861,0.0651017,0.0196217,0,0,0.0327055,0.0214713,0.0286137,0.0156775,0.0134891,0.0230593,0,0,0,0,0,0.0454687,0.032556,0.0110973,0.0331449,0
36,0,0,0,0,0.0401867,0.048161,0,0,0,0.0196505,0.0121422,0.00567723,0.00549668,0,0,0.00819491,0,0.0173362,0.00606906,0.0470478,0.0139612,0.0252337,0.0177026,0.0236155,0.054669,0.00783103,0.0142018,0.0536133,0.0155817,0.0164475,0.00872164,0.00775841,0.0268726,0.0222279,0.00752931,0.00444285,0.0344405,0.0108435,0.035879,0.011798,0.0177556,0,0,0.044149,0,0.0140863,0.0321648,0.0629785,0.0597069,0.0279824,0.0189691,0.0220025,0.02445,0.0174111,0.0651566,0.0210738,0.0264226,0,0.0348086,0.0210018,0.0281793,0.0153822,0.0132108,0.0228062,0,0,0,0,0,0.0455082,0,0.0110817,0.0356794,0
37,0,0,0,0,0.0402588,0.0479619,0,0,0,0.0185379,0.0121204,0.0052947,0.00588105,0,0,0.00829046,0,0.0173328,0.00631861,0.0469538,0.0135704,0.025445,0.0174801,0.0235613,0.0550348,0.00772858,0.0138121,0.0539272,0.0159325,0.0163774,0.00865405,0.00772517,0.0255345,0.02237,0.00750702,0.00453198,0.0308502,0.0109835,0.0367306,0.0117478,0.017609,0,0,0.0435205,0,0.0139726,0.0316233,0.0629859,0.0590796,0.027827,0.018563,0.0222531,0.0238558,0.0180004,0.0651765,0.0216389,0,0,0.0365088,0.0166087,0.0278385,0.0151267,0.0129181,0.0223187,0,0,0,0,0,0.0455083,0.0379755,0.0109711,0.0363406,0
38,0,0,0,0,0.0402433,0.0478357,0,0,0,0.0176433,0.0121171,0.00536674,0.00650838,0,0,0.00838577,0,0.0172876,0.00635483,0.0468943,0.0135449,0.025685,0.0170876,0.0234743,0.0553638,0.00760325,0.0134732,0.0542732,0.0162374,0.0163814,0.00858236,0.00785355,0.0244266,0.0225144,0.0074559,0.00463464,0.0290138,0.0111298,0.0376093,0.0117267,0.0175176,0,0,0.0429103,0,0.0138931,0.0311488,0.0632903,0.0591696,0.0276072,0.017783,0.0224557,0.0234234,0.0175189,0.0648638,0.0213662,0.0272451,0,0.037395,0.0139118,0.0274529,0.0149132,0.0126356,0.0217404,0,0,0,0,0,0.0454387,0.0406712,0.0108549,0.0369217,0
39,0,0,0,0,0.0401421,0.047818,0,0,0,0.0170693,0.0121307,0.00574758,0.00677876,0,0,0.0084544,0,0.0172823,0.00632975,0.0467895,0.0136064,0.0259651,0.0167448,0.0233684,0.0557353,0.00763409,0.0132093,0.0543378,0.0164723,0.0164809,0.00856243,0.00800667,0.0235201,0.0226462,0.00743222,0.00473596,0.0270165,0.011266,0.0382744,0.0115579,0.0174467,0,0,0.0424261,0,0.013821,0.0307906,0.0635259,0.0596879,0.0273878,0.0167967,0.0226971,0.0232032,0.0167934,0.0645862,0.0206387,0.0266607,0,0.0380122,0.0118358,0.0270714,0.0147952,0.0124496,0.0212919,0,0,0,0,0,0.0453814,0.0430954,0.0109056,0.0378566,0
40,0,0,0,0,0.0400351,0.0478068,0,0,0,0.0171029,0.0121872,0.0063052,0.00695706,0,0,0.00842517,0,0.0173102,0.00630043,0.0466455,0.013986,0.0261879,0.0163552,0.0233386,0.0560856,0.00781401,0.0130345,0.0541551,0.0164551,0.0165053,0.00859508,0.00828198,0.0231067,0.0227446,0.0074135,0.00479465,0.0252062,0.01136,0.0388004,0.0113202,0.0173875,0,0,0.0420676,0,0.0137643,0.0305055,0.0638084,0.0605315,0.0272408,0.016013,0.0229603,0.0230524,0.0158425,0.064101,0.0200391,0.0255685,0,0.0382964,0.010892,0.0267462,0.0146744,0.0123062,0.0210445,0,0,0,0,0,0.0453473,0.0443689,0.0109957,0.0380952,0
41,0,0,0,0,0.0399934,0.0477867,0,0,0,0.0175944,0.0122311,0.0069158,0.00714456,0,0,0.00837284,0,0.0173293,0.00626456,0.0465483,0.014741,0.026389,0.0158378,0.0233534,0.0563097,0.00810759,0.0128824,0.0538643,0.0162306,0.0164832,0.00859976,0.0087699,0.023201,0.0227317,0.00738907,0.00480183,0.023464,0.0113852,0.0389885,0.0110094,0.0173303,0,0,0.0417828,0,0.0136795,0.0302577,0.0641035,0.0613318,0.0271304,0.0153227,0.0232345,0.0228449,0.0147548,0.0634576,0.0195407,0.0240575,0,0.0381599,0.011889,0.0265369,0.0145546,0.0121678,0.020975,0,0,0,0,0,0.0453289,0.0447877,0.0110863,0.0375217,0
42,0,0,0,0,0.0399722,0.0477738,0,0,0,0.0184063,0.0121706,0.00771219,0.00729416,0,0,0.00835688,0,0.017348,0.00624847,0.0465484,0.0152655,0.02646,0.0151397,0.0234007,0.0563227,0.00845927,0.0127259,0.0535889,0.0159767,0.0163681,0.0085852,0.00940498,0.023486,0.0227632,0.0074206,0.00467779,0.0219093,0.011468,0.0386528,0.0106894,0.0172729,0,0,0.0415297,0,0.0136241,0.0300049,0.064336,0.0618596,0.02703,0.0147488,0.0235523,0.0226056,0.013673,0.0627358,0.0190896,0.0223177,0,0.0377131,0.0149496,0.0264094,0.014451,0.0119896,0.0210319,0,0,0,0,0,0.0453495,0.0449195,0.0110895,0.0367653,0
43,0,0,0,0,0.039903,0.0477318,0,0,0,0.0192361,0.0121752,0.00845612,0.00745691,0,0,0.008294,0,0.0173982,0.00618995,0.0465428,0.0155569,0.0265096,0.0147204,0.0234585,0.0564157,0.00886566,0.0127269,0.0533882,0.0158804,0.0163968,0.00865293,0.00994773,0.023514,0.0228357,0.00745367,0.00446321,0.0207646,0.0115743,0.0384407,0.01042,0.0172187,0,0,0.041194,0,0.0135788,0.0297298,0.0643749,0.06237,0.0269709,0.0143789,0.0238585,0.0223377,0.0129582,0.0621007,0.018471,0.020928,0,0.0375454,0.01814,0.0262869,0.014342,0.0117987,0.0211934,0,0,0,0,0,0.0453494,0.0454484,0,0,0
44,0,0,0,0,0.0398354,0.0477533,0,0,0,0.0198893,0.0121735,0.00936797,0.0078638,0,0,0.00822209,0,0.0174943,0.0061461,0.0464104,0.0157514,0.026603,0.0144966,0.0234968,0.0566519,0.00899605,0.0126835,0.0530811,0.0159856,0.0167108,0.00884427,0.0104269,0.0234704,0.0229132,0.00748244,0.00437924,0.0197371,0.0116411,0.0363397,0.0101148,0.0171545,0,0,0.0408428,0,0.0135174,0.029457,0.0645666,0.0615115,0.0269693,0.0143268,0.0242286,0.022046,0.0119602,0.0613597,0.0183231,0.0184416,0,0.0365783,0.0237842,0.0261716,0.0142096,0.0116782,0.0214461,0,0,0,0,0,0.0453802,0.0448328,0,0.0351392,0
45,0,0,0,0,0.0397778,0.0477338,0,0,0,0.0202797,0.0121011,0.0103242,0.00820289,0,0,0.00820608,0,0.017503,0.00614062,0.0461293,0.0155073,0.0266586,0.0145277,0.0235181,0.0568727,0.00893174,0.0126624,0.0526695,0.0163274,0.0171035,0.00909686,0.0107683,0.0233229,0.0230638,0.00749532,0.00434818,0.0200186,0.0116692,0.0349093,0.0098458,0.0170924,0,0,0.0405429,0,0.0134489,0.0292285,0.0646265,0.0610677,0.0269017,0.0142393,0.0245838,0.0216968,0.0113897,0.0607359,0.0180678,0.0164444,0,0.0357874,0.0281206,0.0260723,0.0140823,0.0115536,0.0216757,0,0,0,0,0,0.0454434,0.0449394,0,0.0342434,0
46,0,0,0,0,0.0397572,0.0477789,0,0,0,0.020979,0.0118379,0.011195,0.00830445,0,0,0.00830897,0,0.0175291,0.00617855,0.045799,0.015475,0.0267862,0.0140635,0.0236,0.0571798,0.00870348,0.0123773,0.0521215,0.0167455,0.0175051,0.00938981,0.0111033,0.0233134,0.0232505,0.00759108,0.00443769,0.0206593,0.0117084,0.0344032,0.00960865,0.0170009,0,0,0.0403533,0,0.0134144,0.0290822,0.0645602,0.0609777,0.0268655,0.0137194,0.0250207,0.0214186,0.0109814,0.060256,0.0176361,0.0149149,0,0.0351235,0.0309604,0.0260028,0.0140184,0.011452,0.0217967,0,0,0,0,0,0.0455043,0.0456417,0.0115089,0,0
47,0,0,0,0,0.039718,0.0479144,0,0,0,0.0214581,0.0115758,0.0118753,0.00840552,0,0,0.00835765,0,0.0176971,0.00617503,0.045631,0.0155777,0.0271642,0.0139125,0.0237567,0.0576146,0.00845056,0.0120493,0.051939,0.0171259,0.017934,0.00971904,0.0114096,0.0237194,0.0234868,0.00775342,0.00456417,0.021745,0.011849,0.0332962,0.00939758,0.016884,0,0,0.040266,0,0.0134621,0.0289892,0.0645462,0.0605591,0.0268714,0.0125225,0.025543,0.0212804,0.0104329,0.0597156,0.0175015,0.0129425,0,0.0343811,0.0344158,0.0260329,0.014042,0.0113517,0.0217167,0,0,0,0,0,0.0455914,0.0453846,0.011013,0.035355,0
48,0,0,0,0,0.0396753,0.0480814,0,0,0,0.0219723,0.0113338,0.0125566,0.00865768,0,0,0.00822089,0,0.0179044,0.00606198,0.0454298,0.0158018,0.0276781,0.0136181,0.0239942,0.05803,0.00815054,0.0117036,0.0518487,0.0173096,0.0181756,0.00999983,0.0117264,0.0242814,0.0236889,0.00789865,0.00437022,0.0224228,0.0119236,0.0332419,0.00925298,0.0167634,0,0,0.0402764,0,0.0135023,0.0289822,0.0644455,0.0610198,0.0269509,0.0120456,0.0261117,0.0211912,0.0101276,0.0591089,0.0172955,0.0115057,0,0.0337073,0.0361442,0.0261377,0.0141583,0.0112879,0.0214619,0,0,0,0,0,0.0457481,0.0455233,0.0108709,0.0352835,0
49,0,0,0,0,0.0399809,0.0471053,0,0,0,0.0238987,0.0115987,0.0127864,0.00886418,0,0,0.00949927,0,0.0177018,0.00651625,0.0452746,0.015217,0.0276701,0.0122546,0.022926,0.0580015,0.00706214,0.0100152,0.0512359,0.0173581,0.0182876,0.0100546,0.0116336,0.0253658,0.0249562,0.00778336,0.00431252,0.0186261,0.0122871,0.0550921,0.00994009,0.0175139,0,0,0.0381068,0,0.0132527,0.0274977,0.066005,0.0816645,0.0237019,0.0148971,0.0236082,0.0203934,0.00840574,0.0579765,0.01803,0.0165676,0,0,0.0104923,0.0248259,0.0136438,0.0106934,0.0213745,0,0,0,0,0,0.0442988,0.0594592,0.00991923,0.0374831,0
50,0,0,0,0,0.0398979,0.0471529,0,0,0,0.0245897,0.0113232,0.0135368,0.00883982,0,0,0.0094789,0,0.0178976,0.00641628,0.045139,0.0156864,0.0275585,0.0119738,0.0229833,0.0581675,0.00686001,0.00991146,0.05113,0.0175435,0.0185188,0.010333,0.012007,0.0262242,0.025262,0.0079255,0.00408436,0.0241872,0.0122833,0.0551142,0.00945912,0.0174334,0,0,0.0381463,0,0.01329,0.0274387,0.0659646,0.0808767,0.0237237,0.013218,0.0240256,0.0201361,0.00743959,0.0570737,0.0168219,0.0148145,0,0,0.0118728,0.024799,0.0136196,0.0106571,0.0210795,0,0,0,0,0,0.0444023,0.0585096,0.0100686,0.0457644,0
51,0,0,0,0,0.0398128,0.0472278,0,0,0,0.0253965,0.0110467,0.014322,0.00885946,0,0,0.00948211,0,0.0180073,0.00637484,0.045002,0.0160943,0.0276034,0.0117462,0.0230332,0.0583136,0.00659159,0.00972267,0.0510225,0.0176117,0.0187048,0.0106137,0.0123769,0.0272668,0.0256168,0.00803177,0.00388752,0.0268059,0.0122683,0.0548557,0.00908165,0.0173596,0,0,0.0381723,0,0.0133115,0.02741,0.0657744,0.0802101,0.0235924,0.0125414,0.0243285,0.0199467,0.0069503,0.0565471,0.0160699,0.0142241,0,0,0.0140929,0.0247041,0.0135911,0.0106164,0.0209996,0,0,0,0,0,0.044502,0.0581395,0.0102379,0.0541379,0
52,0,0,0,0,0.0398019,0.0472925,0,0,0,0.0262736,0.0108267,0.0151401,0.00889905,0,0,0.00950752,0,0.0181447,0.00637799,0.0448249,0.0164501,0.0277917,0.0115958,0.0230763,0.0584691,0.00642516,0.00950978,0.0508578,0.0175837,0.0188949,0.0108619,0.012679,0.0283054,0.0258522,0.0081452,0.00371508,0.0270495,0.0122977,0.0538858,0.00875233,0.0172774,0,0,0.0382029,0,0.0133279,0.0273665,0.0655466,0.0795019,0.0234112,0.012688,0.0246133,0.0198711,0.00675486,0.056187,0.0158253,0.0142482,0,0,0.0156803,0.0246763,0.013682,0.0105743,0.0210395,0,0,0,0,0,0.0446268,0.0578281,0.0104736,0.0507165,0
53,0,0,0,0,0.0396799,0.0472012,0,0,0,0.0289983,0.0107443,0.0165221,0.00706012,0,0,0.00964027,0,0.0181655,0.00630091,0.0443387,0.0167137,0.0288116,0.0115233,0.0212479,0.0587265,0.00640438,0.00905418,0.0514703,0.0182432,0.0199806,0.0115815,0.0133568,0.0313283,0.0260454,0.00817767,0.00352126,0.0731147,0.0124455,0.0376378,0.0037928,0.0173155,0,0,0.0374232,0,0.0132258,0.0268215,0.0635383,0.0267506,0.0219962,0.0147127,0.0245822,0.0194072,0.0142825,0.0566751,0.0171199,0.00925044,0,0,0.072083,0.0241907,0.0136655,0.0103595,0.0214845,0,0,0,0,0,0.0446026,0,0.0111526,0.040962,0
54,0,0,0,0,0.0395588,0.0472178,0,0,0,0.0304701,0.0106239,0.0174212,0.0069489,0,0,0.00959801,0,0.0181012,0.00618509,0.0442675,0.0171266,0.0289436,0.0114375,0.0212265,0.0590172,0.00618286,0.00883496,0.0512889,0.0181732,0.020094,0.0118556,0.0136716,0.0328705,0.0260635,0.00818487,0.00330991,0.0715862,0.0124111,0.0369658,0.00352487,0.0172881,0,0,0.0375574,0,0.0132361,0.0268397,0.0634938,0.0264412,0.0219199,0.0161261,0.0248044,0.0192841,0.0146446,0.0564574,0.017639,0.0096834,0,0,0.0710305,0.0242349,0.013738,0.0103735,0.0215554,0,0,0,0,0,0.044514,0,0.0113199,0.0353958,0
55,0,0,0,0,0.0395353,0.0473003,0,0,0,0.032389,0.0105844,0.0182895,0.00693577,0,0,0.00941305,0,0.0180508,0.00608116,0.044325,0.017719,0.0291515,0.0113863,0.0213586,0.0593501,0.00605272,0.00858479,0.0510866,0.0180213,0.0200856,0.0120718,0.0139753,0.0346084,0.0259675,0.0081703,0.0030957,0.068087,0.0123721,0.033992,0.00351342,0.017261,0,0,0.0378547,0,0.0132882,0.0269985,0.063616,0.0240554,0.0218232,0.018719,0.0250842,0.019299,0.0154631,0.0563951,0.0193823,0.0106849,0,0,0.068146,0.0243156,0.0138818,0.0103937,0.0215073,0,0,0,0,0,0.0444124,0,0.0114633,0,0
56,0,0,0,0,0.0393447,0.0479362,0,0,0,0.0338454,0.0103644,0.0193884,0.00609439,0,0,0.00817498,0,0.0182876,0.00553665,0.0437857,0.0187489,0.0304903,0.0121659,0.0216471,0.0598202,0.00655258,0.00922106,0.0516452,0.0183432,0.0202444,0.0125454,0.0147972,0.0358986,0.0251252,0.008305,0.002895,0.0558631,0.0122263,0.0252296,0.000411495,0.0169165,0,0,0.0387997,0,0.013394,0.0276959,0.0603363,0.0154483,0.0232661,0.0172384,0.0266584,0.0194412,0.0146772,0.0597985,0.0174039,0.00990689,0,0.0215729,0.0568965,0.0249138,0.0143205,0.0106146,0.0215256,0,0,0,0,0,0.0453801,0,0.0122807,0.0194404,0
57,0,0,0,0,0.0392161,0.0478124,0,0,0,0.035138,0.0104922,0.0203316,0.00612094,0,0,0.00823465,0,0.0181652,0.00549452,0.0438151,0.0191738,0.0301594,0.0120572,0.0214502,0.059904,0.00627976,0.00900317,0.0512928,0.0182088,0.0199873,0.0126525,0.0149428,0.0376019,0.0250873,0.00821673,0.00290561,0.0520667,0.0122105,0.0242652,0.0010175,0.0170098,0,0,0.0386629,0,0.013395,0.0276943,0.0605573,0.0161194,0.0229138,0.0183231,0.0264104,0.0194294,0.014845,0.059377,0.0175183,0.0100275,0,0.019336,0.0526172,0.02486,0.0143858,0.0106203,0.0215011,0,0,0,0,0,0.0451882,0,0.0123367,0.0236963,0
58,0,0,0,0,0.0392259,0.0477448,0,0,0,0.0360692,0.0105954,0.0211828,0.00618064,0,0,0.00838544,0,0.0180355,0.00557183,0.0438698,0.0194253,0.0297534,0.0119503,0.0213021,0.0599002,0.00602055,0.00882578,0.0508527,0.0180112,0.0198631,0.0127611,0.015022,0.0391737,0.0251201,0.00817193,0.00286175,0.0475558,0.0122119,0.0232566,0.00175684,0.0171017,0,0,0.038522,0,0.0134076,0.0277414,0.0606876,0.0171653,0.0225482,0.0185692,0.0260904,0.0194577,0.0147618,0.058708,0.0170755,0.00969918,0,0.0172254,0.0474211,0.0248422,0.0144133,0.0106403,0.0214735,0,0,0,0,0,0.0450297,0,0.0122696,0.0223903,0
59,0,0,0,0,0.039287,0.0477041,0,0,0,0.037376,0.0106617,0.0218542,0.00641324,0,0,0.00869089,0,0.0179463,0.00564266,0.0441533,0.0196195,0.0294536,0.0117323,0.021314,0.0599391,0.00575281,0.00846659,0.0503051,0.0177389,0.0198592,0.012836,0.0150008,0.0409717,0.0253295,0.00818253,0.00282901,0.0409793,0.0121855,0.0199502,0.00269356,0.01727,0,0,0.0385045,0,0.0134047,0.0279673,0.0607697,0.0166985,0.0222569,0.0181776,0.0257407,0.0195822,0.0141305,0.0578135,0.0161735,0.00877693,0.011496,0.0153214,0.0403887,0.0248457,0.0145129,0.0106663,0.0215105,0,0,0,0,0,0.0447839,0,0.0120322,0.021176,0
60,0,0,0,0,0.0394971,0.0477028,0,0,0,0.0390598,0.0107346,0.0225276,0.00663939,0,0,0.00903432,0,0.017813,0.00576022,0.0444084,0.0198382,0.0292523,0.011534,0.0213375,0.0600391,0.00549319,0.00804003,0.0497437,0.0174621,0.0198426,0.012903,0.0149223,0.0428534,0.0255582,0.00811263,0.00284621,0.0344802,0.012171,0.0175291,0.00358653,0.0175402,0,0,0.0385099,0,0.0134128,0.0280708,0.0608206,0.0171193,0.0220317,0.0179189,0.025325,0.0197957,0.0139095,0.0569711,0.0154791,0.0086243,0.0105671,0.0140717,0.0334505,0.0248847,0.0147116,0.0106836,0.0216864,0,0,0,0,0,0.0444524,0,0.0120975,0.0213551,0
61,0,0,0,0,0.0397061,0.0477013,0,0,0,0.0402787,0.0108375,0.0231707,0.00670816,0,0,0.00932712,0,0.0177588,0.00587135,0.0445857,0.0202298,0.0288811,0.0115066,0.021486,0.0600941,0.0052913,0.00776139,0.0492108,0.0171189,0.0196723,0.0129273,0.0148173,0.0441891,0.0256972,0.00806042,0.00290329,0.0277078,0.0121175,0.0154943,0.00452353,0.0177344,0,0,0.0386809,0,0.0134219,0.0281411,0.060732,0.017641,0.0218831,0.0178642,0.0249341,0.0200571,0.0143017,0.0563718,0.0153617,0.00950669,0.00825749,0.0136856,0.0263527,0.0249662,0.0150871,0.010715,0.0218197,0,0,0,0,0,0.0441959,0,0.0122189,0.0215551,0
62,0,0,0,0,0.0398501,0.0476919,0,0,0,0.0411929,0.0109375,0.0237978,0.00677445,0,0,0.00959155,0,0.0176819,0.00599037,0.0447147,0.0206635,0.0284396,0.011407,0.0216864,0.0601309,0.00511672,0.00747937,0.0486558,0.0167808,0.0194747,0.0128996,0.0147094,0.0450962,0.025861,0.00800966,0.00293959,0.0212103,0.0120171,0.0139798,0.00560125,0.0179062,0,0,0.0389207,0,0.0134227,0.0283345,0.0605546,0.0182656,0.0217482,0.0181697,0.0245963,0.0203743,0.0154267,0.0559881,0.0161298,0.0112029,0.0066834,0.0137441,0.0192939,0.025031,0.0155909,0.0107553,0.0218809,0,0,0,0,0,0.0439218,0,0.0121342,0.0214719,0
63,0,0,0,0,0.0398614,0.0474277,0,0,0,0.0413584,0.0110298,0.0237302,0.00736788,0,0,0.0100945,0,0.0175638,0.00612027,0.0446423,0.0206684,0.0285718,0.0106469,0.0220913,0.0601823,0.00443951,0.00639428,0.0477527,0.0163133,0.0190794,0.0125521,0.0143571,0.0452256,0.0261038,0.00798747,0.00294458,0.00621025,0.012044,0.022897,0.00822232,0.0180226,0,0,0.0386159,0,0.0133394,0.0282528,0.0606523,0.0338129,0.0207257,0.0150268,0.0237917,0.0203396,0.012158,0.0559863,0.0130192,0.00836062,0.013201,0.0219516,0.00915744,0.0248183,0.0160621,0.0106476,0.0217199,0,0,0,0,0,0.0434344,0,0.0112808,0.0240454,0
64,0,0,0,0,0.0399999,0.0474745,0,0,0,0.0414986,0.0110755,0.0237887,0.00719804,0,0,0.0107784,0,0.0175823,0.00624259,0.0445816,0.0208422,0.02785,0.010326,0.0224507,0.060152,0.00443905,0.00601645,0.047383,0.0161914,0.0189055,0.0124608,0.0142595,0.0454399,0.0262262,0.0079824,0.00302029,0.0175653,0.0118986,0.0289415,0.00938289,0.0182021,0,0,0.0392516,0,0.0134075,0.0286627,0.0602243,0.0394634,0.0210899,0.0137713,0.0235708,0.0208573,0.0141615,0.0560969,0.0144286,0.0108923,0.0141044,0.022459,0.0248394,0.0249668,0.0166112,0.0108676,0.0216206,0,0,0,0,0,0.043431,0,0.0109657,0.0262662,0
65,0,0,0,0,0.0400429,0.0475099,0,0,0,0.0413402,0.0110039,0.0235413,0.00697825,0,0,0.0105553,0,0.0176481,0.0064106,0.0445398,0.0207656,0.0274979,0.00966406,0.0223812,0.0600086,0.00440394,0.00544153,0.0471124,0.0161023,0.0187737,0.0122749,0.0140152,0.0454421,0.0262126,0.00800137,0.00300122,0.0275066,0.0117851,0.0341084,0.00970101,0.0182776,0,0,0.0396544,0,0.0134273,0.0291727,0.0597767,0.043699,0.021095,0.0131594,0.0234132,0.0214922,0.0162353,0.0564025,0.0163038,0.0136261,0.0146471,0.0237694,0.0339886,0.0252107,0.0169648,0.0111149,0.0213806,0,0,0,0,0,0.0437057,0,0.0103502,0.0283188,0
