Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,LTHII,LTHIP,IMU_M,
153,0,0,0,0,0.00733837,0.00719751,0,0,0.0514313,0.0100355,0.0185413,0.00292081,0,0,0.00838505,0,0.0190316,0.00232425,0.047117,0.0136297,0.034482,0.0176747,0.00236756,0.00993851,0.00642029,0.0103482,0.0113138,0.0131514,0.00760071,0.021666,0.0597304,0.00754078,0.00877186,0.00144321,0.0412099,0.0158131,0.0182822,0.00379838,0.00695955,0,0,0.00300807,0,0.0130831,0.00211682,0.0746927,0.0159253,0.0208139,0,0.00314282,0.00340439,0.0166989,0.0418291,0.0109927,0.0136287,0.0179812,0,0.0546524,0.0179916,0.0384759,0.00133448,0.00119745,0.00274509,0.00771396,0.0080756,0,0,0,0,0,0.0189661,0.0460353,0,0
154,0,0,0,0,0.00794146,0.00730695,0,0,0.0512013,0.0100331,0.0179471,0.00288034,0,0,0.00864452,0,0.0190687,0.00226149,0.0472276,0.0143539,0.0338185,0.0163395,0.00191639,0.0105348,0.00575008,0.00932547,0.0112756,0.013392,0.00739797,0.0214649,0.0597721,0.00781518,0.00882451,0.00153871,0.0471539,0.0158042,0.0275852,0.00518768,0.007209,0,0,0.00271735,0,0.0131177,0.00207426,0.0735229,0.0264387,0.0214888,0.0111291,0.00262484,0.00302737,0.0188446,0.0430944,0.0141792,0.0176187,0.0238507,0,0.06039,0.0133797,0.0461143,0.00177671,0.00108122,0.00266862,0.00779232,0.0084425,0,0,0,0,0,0.0179703,0.0455348,0,0
155,0,0,0,0,0.0072976,0.00694573,0,0,0.0520001,0.0101778,0.0177333,0.00292978,0,0,0.0093688,0,0.0190217,0.00216459,0.0472528,0.0162344,0.0332369,0.0149313,0.00170185,0.0102594,0.00471013,0.00855919,0.0112401,0.0142318,0.00759877,0.0215114,0.0609813,0.00838301,0.00872818,0.00153858,0.0573971,0.0158695,0.0389222,0.00638111,0.0063942,0,0,0.00231436,0,0.0131297,0.00185355,0.0724905,0.0395066,0.0219296,0.0132224,0.00223053,0.00366469,0.0216928,0.0443663,0.0183478,0.0218231,0.0280817,0,0.0675403,0.00850246,0.0560344,0.00188695,0.00129992,0.00238853,0.0076773,0.00759686,0,0,0,0,0,0.0167732,0.0449721,0,0
156,0,0,0,0,0.00767307,0.00685802,0,0,0.050999,0.0101925,0.0169081,0.0032525,0,0,0.00965856,0,0.0190722,0.00217628,0.0471764,0.0171573,0.032661,0.0133011,0.00157243,0.0105825,0.0038775,0.00781321,0.0113731,0.0147719,0.00765348,0.0211515,0.0606103,0.00875912,0.00876732,0.00169117,0.0640799,0.0159683,0.0477421,0.007017,0.00657925,0,0,0.00165297,0,0.0131388,0.00168745,0.0715813,0.0515759,0.0223605,0.0140382,0.00206373,0.00344525,0.0239612,0.0453523,0.0210324,0.0247946,0.0314,0,0.0730568,0.00739442,0.0642821,0.00204819,0.00169006,0.00214024,0.0075156,0.00755951,0,0,0,0,0,0.0153371,0.044598,0,0
157,0,0,0,0,0.00788887,0.00675487,0,0,0.0495238,0.0101142,0.0159428,0.00357633,0,0,0.00990807,0,0.0190651,0.00235331,0.0469226,0.0176,0.0323,0.0113972,0.00145424,0.0107727,0.00298956,0.00705637,0.0115929,0.0152402,0.00760757,0.0207486,0.0594925,0.00886894,0.00881765,0.00180463,0.0660978,0.0160627,0.0523056,0.00715605,0.00675641,0,0,0.00100307,0,0.01315,0.00155564,0.0710168,0.0601226,0.0224706,0.0140007,0.00202899,0.00324776,0.0248448,0.0457458,0.0218874,0.0260775,0.0332903,0,0.0757365,0.0106118,0.0683445,0.00215958,0.00213751,0.00212874,0.00730458,0.00742213,0,0,0,0,0,0.013071,0.0444841,0,0
158,0,0,0,0,0.00777238,0.00636013,0,0,0.0485702,0.0100564,0.0150659,0.0038409,0,0,0.0102481,0,0.0189482,0.0025045,0.0465958,0.0188392,0.03217,0.00980382,0.00154085,0.010638,0.00264191,0.0073691,0.0118008,0.0158968,0.00768799,0.0203635,0.058886,0.00891204,0.00877612,0.00192683,0.0633441,0.0161546,0.0526436,0.0070639,0.00675795,0,0,0.000559981,0,0.0131747,0.00160031,0.0711446,0.0637175,0.0224379,0.0132766,0.00199997,0.00327836,0.0238879,0.0453525,0.0205573,0.0251995,0.0308237,0,0.0751581,0,0.0678012,0.00261616,0.00238338,0.00212437,0.00692052,0.00724939,0,0,0,0,0,0.0108638,0.044449,0,0
159,0,0,0,0,0.0075997,0.00613533,0,0,0.046857,0.010048,0.0141286,0.00384342,0,0,0.010483,0,0.0190448,0.00267736,0.0461668,0.0195885,0.0324404,0.00828305,0.00169997,0.0105047,0.00299876,0.007996,0.0123802,0.0164611,0.00777675,0.0199195,0.0576124,0.00912417,0.00881625,0.00210468,0.0545699,0.0162591,0.0465536,0.00604688,0.00659376,0,0,0.00059902,0,0.0131981,0.00164108,0.071861,0.058235,0.0218921,0.0132302,0.00208123,0.00325858,0.0223223,0.0440627,0.0177211,0.0234601,0,0,0.071988,0,0.0605234,0.00277817,0.0026718,0.0021783,0.00664546,0.00698701,0,0,0,0,0,0.00862285,0.0449182,0,0
160,0,0,0,0,0.00777949,0.00614497,0,0,0.0441828,0.00988099,0.0130775,0.00351425,0,0,0.0101591,0,0.0191483,0.00259415,0.0455998,0.0195499,0.0330514,0.00659969,0.00161282,0.0103615,0.0039389,0.00865469,0.0130739,0.0167461,0.00779128,0.0194195,0.0552069,0.0089376,0.00894134,0.00223678,0.0445135,0.0163785,0.0412176,0.00488639,0.00668405,0,0,0.00195029,0,0.0132865,0.00184418,0.0723093,0.0542441,0.0210547,0.0107048,0.00227848,0.00173413,0.0188817,0.0434946,0.0123324,0.0194749,0.0157852,0,0.0674427,0,0.0508756,0.0015066,0.00395206,0.00244411,0.00653511,0.00696144,0,0,0,0,0,0.00609217,0.0457446,0,0
161,0,0,0,0,0.00758045,0.00591427,0,0,0.0424091,0.00984986,0.012563,0.00338114,0,0,0.0102727,0,0.0191246,0.00271856,0.0453747,0.0199131,0.0335493,0.00609189,0.0021275,0.00995029,0.00539912,0.0102333,0.013693,0.0171689,0.00782636,0.0188343,0.0535791,0.00878241,0.00895415,0.00244642,0.0285808,0.016451,0.0290458,0.00407778,0.00633557,0,0,0.00201758,0,0.0133091,0.00188882,0.0733304,0.0419632,0.0205507,0.010907,0.00250685,0.00154246,0.0175011,0.0421239,0.0107137,0.0173673,0,0,0.0604494,0,0.0350986,0.00140737,0.00415052,0.00248607,0.00627999,0.00681168,0,0,0,0,0,0.00381859,0.0467305,0,0
162,0,0,0,0,0.00679661,0.00539899,0,0,0.0410478,0.00984731,0.0125615,0.00285406,0,0,0.0103226,0,0.019451,0.00284203,0.0447853,0.0208719,0.034727,0.00773035,0.00280285,0.0094143,0.00781904,0.013034,0.0144181,0.0177742,0.0079953,0.0183818,0.0522438,0.00809745,0.00905665,0.00255686,0.0163264,0.0164743,0.0248569,0.00388794,0.00544772,0,0,0.00193192,0,0.013337,0.00183613,0.0735382,0.0383342,0.0195069,0.00935197,0.00258409,0.00103759,0.0153332,0.0422525,0.00866686,0.0145453,0,0,0.054872,0.0571293,0.0227833,0.00108828,0.00431915,0.00245475,0.00581933,0.00614258,0,0,0,0,0,0.00306851,0.0480542,0,0
163,0,0,0,0,0.00560627,0.00460595,0,0,0.0396315,0.00990463,0.0131842,0.00252306,0,0,0.0105679,0,0.0194405,0.0031163,0.0444144,0.0227708,0.0354519,0.0116136,0.00388395,0.00868275,0.0107739,0.0169866,0.0151162,0.0186474,0.0081838,0.0178499,0.0522201,0.0078715,0.00903535,0.00249216,0.00559112,0.016388,0.0213905,0.00413411,0.00428617,0,0,0.000924908,0,0.013267,0.0016994,0.0738616,0.0336952,0.0190086,0.00985889,0.00234823,0.00245513,0.014215,0.0422205,0.00743495,0.0128653,0,0,0.0530943,0.0593221,0.0144912,0.00322948,0.00277164,0.00211259,0.00518745,0.00533036,0,0,0,0,0,0.00605252,0.0492923,0,0
164,0,0,0,0,0.0037037,0.00410713,0,0,0.0390998,0.0099061,0.0127749,0.00240917,0,0,0.0105671,0,0.0191458,0.00342022,0.0440425,0.0171997,0.0356775,0.0150969,0.00437841,0.00729164,0.0132459,0.0193592,0.0162946,0.0202735,0.00705881,0.0152918,0.0542553,0.0074504,0.00894265,0.00249227,0.0071274,0.0163477,0.0190215,0.0040298,0.00255211,0,0,0.00101867,0,0.0131952,0.00141702,0.0738907,0.031544,0.0190004,0.0113192,0.00234556,0.00302574,0.0137258,0.0418791,0.0070764,0.0119749,0,0,0.0551781,0.0618916,0.00721018,0.00361784,0.0028728,0.0019334,0.00507818,0.00391956,0,0,0,0,0,0.010392,0.0511376,0,0
165,0,0,0,0,0.00283558,0.00359407,0,0,0.0395424,0.00988795,0.0134419,0.00235898,0,0,0.00994881,0,0.0191945,0.00336644,0.0437024,0.0107677,0.0357594,0.0193689,0.00474285,0.00636563,0.0158331,0.0218724,0.0176842,0.0219238,0.00858315,0.0147509,0.0575141,0.00681224,0.00897504,0.00250033,0.0108422,0.016268,0.0182485,0.003925,0.00223722,0,0,0.00166012,0,0.0131567,0.00116626,0.0737984,0.0304918,0.0195103,0.0127658,0.00234176,0.00290814,0.0141307,0.041186,0.00807035,0.0123231,0,0,0.0599764,0.0678287,0.00586181,0.00393708,0.00271983,0.00169801,0.00487329,0.0034668,0,0,0,0,0,0.0158672,0.0535433,0,0
166,0,0,0,0,0.00217281,0.00307347,0,0,0.0357896,0.00985232,0.0131104,0.0023563,0,0,0.00931373,0,0.019197,0.00334909,0.0434278,0.010403,0.0358925,0.0228431,0.00503719,0.00548751,0.0181286,0.0243178,0.0176764,0.0211413,0.0100639,0.0163646,0.0560748,0.00633042,0.00896581,0.00260331,0.0146318,0.0162256,0.0179796,0.00451675,0.00236103,0,0,0.00237445,0,0.0131303,0.00103696,0.0739617,0.02996,0.0201783,0.0141365,0.00256945,0.00294899,0.0145989,0.0405863,0.0092525,0.012826,0,0,0.0636322,0.0771004,0.00891403,0.00415246,0.0025713,0.00154921,0.00457661,0.00298733,0,0,0,0,0,0.020571,0.0558676,0,0
167,0,0,0,0,0.00201131,0.00275812,0,0,0.0289741,0.00977646,0.0110843,0.0020156,0,0,0.00889776,0,0.0190274,0.0034055,0.0430843,0.0112001,0.0360594,0.025232,0.00507401,0.00496085,0.0199944,0.026021,0.0167137,0.0183048,0.0103813,0.0185356,0.0515852,0.00586016,0.00889973,0.00272376,0.018054,0.0162799,0.0178965,0.00533003,0.00274765,0,0,0.00256714,0,0.0131469,0.00106372,0.0744897,0.0295381,0.0207225,0.0157213,0.0029363,0.00312719,0.0140786,0.0407902,0.00943692,0.0122933,0,0,0.0658172,0.0811314,0.0140811,0.00436813,0.00245091,0.00154494,0.00426853,0.00252354,0,0,0,0,0,0.0244388,0.058228,0,0
168,0,0,0,0,0.00227881,0.00252042,0,0,0.0219568,0.00977456,0.00779715,0.00137617,0,0,0.0086933,0,0.0189649,0.00354155,0.0425341,0.0125194,0.0361906,0.0268084,0.00492019,0.00473938,0.0214213,0.0269727,0.0155442,0.0145438,0.0107252,0.0211597,0.0463032,0.00556973,0.00882646,0.00273151,0.0226761,0.0164184,0.0180161,0.00568997,0.0031223,0,0,0.00215753,0,0.0132,0.00113486,0.0750282,0.0289457,0.0209545,0.0166093,0.00299308,0.00325662,0.0128675,0.041687,0.00879339,0.0103278,0,0,0.0658499,0.0793581,0.0210018,0.00427896,0.00246079,0.00166513,0.0039005,0.00233794,0,0,0,0,0,0.0273526,0.0606269,0,0
169,0,0,0,0,0.00282234,0.0023758,0,0,0.0177582,0.00979814,0.00481179,0.00100592,0,0,0.00848918,0,0.0189915,0.00365519,0.0419231,0.0147778,0.0363076,0.0277265,0.00473193,0.0048618,0.0222255,0.0272882,0.014726,0.0109709,0.0115533,0.0239466,0.0410372,0.00536263,0.0087367,0.00279717,0.0282735,0.0165441,0.0183275,0.0059004,0.00352573,0,0,0.00201729,0,0.0132323,0.00130132,0.0753409,0.0278242,0.021179,0.0162428,0.0031877,0.00355873,0.0118712,0.0425528,0.00894675,0.00862556,0,0,0.0639424,0.076454,0.0287505,0.00421018,0.002526,0.00185924,0.00361833,0.00252877,0,0,0,0,0,0.0292854,0.0629442,0,0
170,0,0,0,0,0.00321512,0.00208385,0,0,0.0188327,0.0098537,0.00242602,0.0014078,0,0,0.00873406,0,0.0187588,0.00397973,0.0413051,0.0171001,0.0364033,0.0279809,0.00454106,0.00486811,0.0223757,0.0269121,0.0145236,0.00827608,0.0128162,0.026796,0.0367301,0.00533571,0.00849841,0.00268092,0.0335837,0.0166595,0.0188718,0.0060433,0.00388312,0,0,0.00249988,0,0.01322,0.00139166,0.0753935,0.0259396,0.0213742,0.0152766,0.00373379,0.00372299,0.0116818,0.0431746,0.0102311,0.00791692,0,0,0.0614685,0.0738773,0.0351433,0.00418666,0.00274193,0.00198013,0.00329203,0.00258204,0,0,0,0,0,0.0309581,0.065174,0,0
171,0,0,0,0,0.0042512,0.00171548,0,0,0.024994,0.00990457,0.00256393,0.00217146,0,0,0.00801688,0,0.0185487,0.0036264,0.0405565,0.0221875,0.0362474,0.0280654,0.00455276,0.00565494,0.0226593,0.0265162,0.0150735,0.00718301,0.0147066,0.0298484,0.0359071,0.00555494,0.00835704,0.0023314,0.035982,0.0167486,0.0195245,0.00608417,0.00444843,0,0,0.00269302,0,0.0132217,0.00170146,0.0754108,0.0253206,0.0215771,0.0145153,0.00441349,0.00385201,0.0120257,0.0435757,0.0116804,0.00798495,0,0,0.0597517,0.071513,0.0392265,0.00454549,0.00241213,0.00200076,0.00335099,0.00274341,0,0,0,0,0,0.0326554,0.0673672,0,0
172,0,0,0,0,0.00314076,0.000771664,0,0,0.0506253,0.0102622,0.0396487,0.00389424,0,0,0.00906624,0,0.0182692,0.00433596,0.0391775,0.0416739,0.0364562,0.0368044,0.00579085,0.00567063,0.0311252,0.039564,0.00577283,0.00794392,0.0150803,0.0242797,0.05294,0.00667929,0.00811241,0.00196499,0.0361029,0.0170921,0.0209441,0.00642754,0.00268232,0,0,0.00411142,0,0.0131802,0.00288471,0.0764084,0.0258352,0.0205369,0.014728,0.00410219,0.00314872,0.0129284,0.043504,0.0129439,0.00890959,0,0,0.0595796,0.069977,0.039049,0.00535947,0.00281037,0.00232338,0.0033366,0.00230151,0,0,0,0,0,0.0366592,0.0680054,0,0
173,0,0,0,0,0.00306426,0.0010365,0,0,0.062961,0.0103529,0.0422045,0.00436361,0,0,0.00962166,0,0.018344,0.00483004,0.0382286,0.0411511,0.0360833,0.0375521,0.00612679,0.0056755,0.0314804,0.0389865,0.00600546,0.00940868,0.0161842,0.0253534,0.0644063,0.00716363,0.00821827,0.00169359,0.0362919,0.0171388,0.0223525,0.00632081,0.00210041,0,0,0.00459109,0,0.0131812,0.00307582,0.0764023,0.0266253,0.0205316,0.0148992,0.00427146,0.00370944,0.0127367,0.0441541,0.0130149,0.00873309,0,0,0.0593865,0.0699255,0.0394132,0.0056897,0.00268755,0.00224651,0.0035529,0.0043012,0,0,0,0,0,0.0381624,0.0698676,0,0
174,0,0,0,0,0.00295659,0.00168625,0,0,0.0742502,0.0103677,0.0435246,0.00448846,0,0,0.00974473,0,0.0183141,0.00500895,0.0374121,0.0386021,0.035669,0.0370831,0.00633213,0.00535773,0.0307858,0.0368167,0.00654661,0.011261,0.0168944,0.0262931,0.0770082,0.00734875,0.00823722,0.0018016,0.0357438,0.0171282,0.0238627,0.00642501,0.00153584,0,0,0.00474456,0,0.0131762,0.00306676,0.0761336,0.027525,0.0205586,0.0152156,0.0043207,0.00441569,0.0120585,0.0448677,0.0126762,0.00844963,0,0,0.0591858,0.0720854,0.0388045,0.00560871,0.00251007,0.00214813,0.00382258,0.00607591,0,0,0,0,0,0.0390891,0.071264,0,0
175,0,0,0,0,0.00297561,0.00217826,0,0,0.0837208,0.0102659,0.0437158,0.0041042,0,0,0.00945233,0,0.0182414,0.00486911,0.0369604,0.0340323,0.0351412,0.0353558,0.00640115,0.00484349,0.0291726,0.0332335,0.00730382,0.0134115,0.0171422,0.0269999,0.0885296,0.00711051,0.00823884,0.00221523,0.0347113,0.0170277,0.0248623,0.00679637,0.00142044,0,0,0.004439,0,0.0131698,0.00286721,0.0756737,0.0283155,0.0207234,0.0155751,0.00434036,0.00486484,0.0110145,0.0455437,0.0122795,0.00802797,0,0,0.0590128,0.0727045,0.0376588,0.00524045,0.00220514,0.00197953,0.00397712,0.0069271,0,0,0,0,0,0.039214,0.0720668,0,0
176,0,0,0,0,0.00325726,0.00245717,0,0,0.0911155,0.0100458,0.0430557,0.00350663,0,0,0.00894134,0,0.0182797,0.00460761,0.0368583,0.0282326,0.0346133,0.0324542,0.00629329,0.00460596,0.0269625,0.0287173,0.00828038,0.0160169,0.0173362,0.0275639,0.0975804,0.00658432,0.00834886,0.00281506,0.0332471,0.0168783,0.0254374,0.00726632,0.00167606,0,0,0.00391973,0,0.0131359,0.00235121,0.0751859,0.0291242,0.0209626,0.0164424,0.00438378,0.00507528,0.0101793,0.0462323,0.0126563,0.00766777,0,0,0.0595021,0.0598057,0.0361275,0.00481606,0.00191647,0.00179176,0.00399904,0.00667844,0,0,0,0,0,0.0385738,0.0724526,0,0
177,0,0,0,0,0.00363589,0.00267202,0,0,0.0961969,0.00980749,0.0420159,0.00309843,0,0,0.00816028,0,0.018488,0.00416774,0.0370701,0.0225007,0.0341663,0.0287788,0.00608738,0.00490957,0.0243961,0.0237816,0.00981799,0.0191046,0.0176458,0.0282278,0.104872,0.00602373,0.00861462,0.00343794,0.030837,0.0167191,0.0261044,0.00762992,0.00231988,0,0,0.00360291,0,0.0130672,0.00183818,0.0750121,0.0311141,0.0211129,0,0.00440042,0.00526115,0.0109454,0.0472395,0.0168427,0.0095131,0,0,0.0629301,0.0337382,0.0340186,0.00454049,0.00162971,0.00161903,0.00414043,0.00559196,0,0,0,0,0,0.0373681,0.0725561,0,0
178,0,0,0,0,0.00414958,0.00292785,0,0,0.099623,0.0095228,0.0412094,0.00316932,0,0,0.00749706,0,0.0187485,0.00372416,0.0375943,0.0178027,0.0335574,0.024744,0.0060589,0.00543115,0.0215893,0.0188025,0.0120362,0.0223323,0.0180502,0.0291265,0.110969,0.0058493,0.00890233,0.00399934,0.0188165,0.0165993,0.0244662,0.00718203,0.00310314,0,0,0.00364365,0,0.0130275,0.00139764,0.0730267,0.0265635,0.0212502,0.0144634,0.00460786,0.0054822,0.00870738,0.0500308,0.0109854,0.00841273,0,0,0.0594068,0.0256358,0.0190642,0.00440055,0.00144256,0.00147225,0.00434851,0.00443815,0,0,0,0,0,0.0357308,0.072377,0,0
179,0,0,0,0,0.0058205,0.00313823,0,0,0.102197,0.00900949,0.0408033,0.00320082,0,0,0.00615935,0,0.0192057,0.00260145,0.0383724,0.0158712,0.0333256,0.0208676,0.00598941,0.00589789,0.0188384,0.0143814,0.0143674,0.0254636,0.0185136,0.0300989,0.11657,0.00585452,0.00932547,0.00443385,0.0171863,0.0165401,0.0209816,0.00740887,0.00533225,0,0,0.00348366,0,0.0130607,0.00125756,0.0719487,0.0208513,0.0215165,0.0122341,0.0047834,0.00499974,0.00786136,0.0514131,0.0091035,0.00805778,0.0114142,0,0.0559194,0.0232895,0.0172361,0.00405371,0.0015441,0.00139556,0.00431914,0.00392828,0,0,0,0,0,0.0338379,0.0722521,0,0
180,0,0,0,0,0.00385045,0.00266378,0,0,0.104389,0.00908878,0.0405677,0.00328189,0,0,0.00661922,0,0.0193523,0.00332319,0.0391917,0.0172178,0.0329196,0.0172109,0.00578437,0.00680627,0.0162954,0.0109478,0.0167458,0.0284684,0.018838,0.0310312,0.121655,0.00604521,0.00939596,0.00464929,0.0157354,0.0163769,0.0206887,0.00712881,0.00376887,0,0,0.00397278,0,0.0129277,0.00124193,0.071675,0.0199096,0.0217195,0,0.00503787,0.00681777,0.00762804,0.0518166,0.00924129,0.00751766,0.0124132,0,0.0565375,0.0211996,0.014459,0.00503344,0.00187069,0.0014664,0.00431032,0.00160193,0,0,0,0,0,0.031581,0.0718969,0,0
181,0,0,0,0,0.00337673,0.00269219,0,0,0.10643,0.00909969,0.0406313,0.00310222,0,0,0.00665663,0,0.0195066,0.00353604,0.0398174,0.019598,0.0323811,0.0141303,0.00557578,0.00730415,0.0143598,0.00931575,0.0188326,0.0310341,0.0190599,0.0318233,0.126012,0.00627705,0.0094692,0.00469144,0.0124942,0.0163997,0.0186835,0.00656871,0.00347022,0,0,0.0040072,0,0.0129048,0.00124658,0.0710261,0.0164536,0.0217493,0,0.00532196,0.00710887,0.00791331,0.0534499,0.0110277,0.00967535,0.00895291,0,0.0553241,0.0193927,0.00997967,0.00531759,0.00230768,0.00154808,0.00444635,0.00119212,0,0,0,0,0,0.0296678,0.0713914,0,0
182,0,0,0,0,0.00285895,0.0027396,0,0,0.107935,0.00916124,0.0407332,0.00289426,0,0,0.00664368,0,0.0195614,0.00373076,0.0403267,0.0221873,0.0317519,0.0118671,0.00518139,0.00782637,0.013076,0.00932836,0.0203484,0.0329862,0.0191661,0.0324464,0.12916,0.00632289,0.00945168,0.00457737,0.0120742,0.0164467,0.0175762,0.00608115,0.00327849,0,0,0.00422837,0,0.0129033,0.00124947,0.0709019,0.0143667,0.0218922,0.011083,0.0053383,0.00724338,0.00765015,0.0536592,0.0115388,0.010592,0.00614639,0,0.054308,0.0187142,0.00996793,0.0055354,0.0028068,0.00158114,0.00466194,0.00132844,0,0,0,0,0,0.0282322,0.0707644,0,0
183,0,0,0,0,0.0025585,0.00285605,0,0,0.108824,0.00926942,0.0407761,0.00314073,0,0,0.00667299,0,0.0195558,0.00382742,0.04077,0.02437,0.0311433,0.0104993,0.0051825,0.00823606,0.0122576,0.00959889,0.021416,0.0344197,0.0191907,0.0329242,0.131148,0.00622448,0.00937526,0.00427983,0.0113928,0.016402,0.0170314,0.00559068,0.00319046,0,0,0.00441969,0,0.0128461,0.00121184,0.0708174,0.0132031,0.022089,0.0109459,0.00537125,0.00725019,0.007117,0.0539841,0.01271,0.010333,0.00523776,0,0.0544078,0.0180984,0.00916481,0.00573339,0.00309286,0.00154119,0.00484644,0.00254971,0,0,0,0,0,0.0269862,0.0698989,0,0
184,0,0,0,0,0.00258076,0.0031606,0,0,0.109167,0.00937611,0.0406559,0.00352552,0,0,0.00667409,0,0.0195062,0.00384609,0.041228,0.0261157,0.0305715,0.00954516,0.00524649,0.00859174,0.0114488,0.00988774,0.022204,0.0354712,0.0190954,0.0332834,0.131922,0.00614709,0.00928804,0.00390243,0.0105558,0.0163457,0.0169229,0.00507045,0.00316443,0,0,0.00435814,0,0.0127852,0.00123842,0.0708103,0.0131578,0.0222685,0.010312,0.00541993,0.00717425,0.00651183,0.0542413,0,0.00926309,0.00548683,0,0.0566631,0.0175232,0.00791543,0.00580516,0.00313101,0.00158818,0.00486998,0.00418664,0,0,0,0,0,0.0258171,0.0688912,0,0
185,0,0,0,0,0.00268426,0.0034811,0,0,0.108972,0.00940513,0.0404111,0.00363436,0,0,0.00662427,0,0.0194265,0.00380833,0.041705,0.0272194,0.0300386,0.00905251,0.00518025,0.00895835,0.0105217,0.0101137,0.0226638,0.036175,0.0189557,0.0335549,0.131977,0.00608241,0.00924122,0.00348995,0.00996264,0.0163068,0.0163587,0.0046557,0.0033458,0,0,0.00429386,0,0.0127556,0.0013123,0.0707994,0.0132157,0.0224337,0.0100224,0.00536696,0.00680091,0.00605399,0.054378,0,0.00908914,0.00479783,0,0.0561646,0.017435,0.00730953,0.00577679,0.00317377,0.0017461,0.00482651,0.00552438,0,0,0,0,0,0.0249866,0.0678129,0,0
186,0,0,0,0,0.00267493,0.00371659,0,0,0.108218,0.00937727,0.0399893,0.00367923,0,0,0.00647452,0,0.0193172,0.00366205,0.0421249,0.0277658,0.0296028,0.00902181,0.00518456,0.0093142,0.00971874,0.0101086,0.022653,0.0362899,0.0187357,0.0337429,0.131385,0.00596682,0.00916787,0.00312563,0.00917409,0.0163174,0.0151843,0.00428327,0.00384602,0,0,0.00427349,0,0.0127886,0.00143365,0.0707723,0.0125656,0.0226447,0.0089944,0.00534961,0.00624691,0.0054737,0.0544342,0,0.00829082,0.00516158,0,0.0408025,0.016977,0.00668325,0.00580491,0.00322963,0.00184996,0.00482352,0.00625306,0,0,0,0,0,0.0245536,0.0665145,0,0
187,0,0,0,0,0.00277427,0.00388626,0,0,0.107111,0.00927153,0.0391489,0.00417569,0,0,0.0062311,0,0.0193028,0.00339421,0.042526,0.0278436,0.0292189,0.00898329,0.00528096,0.00951702,0.00881565,0.0100052,0.0225259,0.0360046,0.018387,0.0338617,0.130353,0.00589851,0.0091724,0.00291893,0.00769159,0.0163541,0.0148236,0.0036303,0.00387641,0,0,0.00411038,0,0.0128286,0.00155817,0.0709953,0.00940132,0.0229213,0.00799541,0.00541978,0.00562844,0.00540486,0.0543757,0,0.00616694,0,0,0.0129699,0.0144572,0.005743,0.00577532,0.00313006,0.00186827,0.00480363,0.00661915,0,0,0,0,0,0.0238173,0.0651833,0,0
188,0,0,0,0,0.0043249,0.00405233,0,0,0.105053,0.00904481,0.0379256,0.00440004,0,0,0.00527908,0,0.0194944,0.00326394,0.0422129,0.0270948,0.0299192,0.00979309,0.00407718,0.00977622,0.00927835,0.0106564,0.0215897,0.0350329,0.0179278,0.0334127,0.127945,0.00542918,0.00932806,0.00292484,0.0160425,0.0163291,0.0161026,0.0067041,0.0057415,0,0,0.00396533,0,0.0128774,0.00144406,0.0691682,0.0218553,0.0230962,0.00554968,0.00402309,0.00440582,0.00306727,0.0542813,0,0.00915975,0,0.0242708,0.0222567,0.0211933,0.0170689,0.00568182,0.00270206,0.00183817,0.00434355,0.00592634,0,0,0,0,0,0.0233572,0.0647741,0,0
189,0,0,0,0,0.00556177,0.00464028,0,0,0.102707,0.00915723,0.0364295,0.00469941,0,0,0.00555495,0,0.0194725,0.00386865,0.0425035,0.0265575,0.0294926,0.0101135,0.00407077,0.0106863,0.00878334,0.0105145,0.0210166,0.0341555,0.0174192,0.0330433,0.125379,0.00559942,0.00927596,0.00305481,0.0160962,0.0162191,0.0173991,0.00590075,0.00679621,0,0,0.0044698,0,0.0127913,0.00187926,0.06936,0.0235219,0.0233357,0.00568883,0.00382661,0.00521962,0.0035671,0.0539956,0,0.0099148,0,0.0236315,0.0223088,0.0221688,0.0162973,0.00565349,0.0028968,0.00213839,0.00438458,0.00599915,0,0,0,0,0,0.0224455,0.0634236,0,0
190,0,0,0,0,0.00609681,0.00501537,0,0,0.0997367,0.00915279,0.0348431,0.00515276,0,0,0.00554057,0,0.0195309,0.00379474,0.0428939,0.0258579,0.0291804,0.010431,0.00408356,0.0109808,0.00813448,0.0103278,0.0201815,0.0330496,0.016733,0.0326231,0.122125,0.00553424,0.00931393,0.00306075,0.0153122,0.0162614,0.0175814,0.00535018,0.00713697,0,0,0.00458621,0,0.0128309,0.00205172,0.069434,0.024775,0.0235446,0.00525426,0.00377862,0.00462239,0.0037278,0.0538249,0,0.0102205,0,0.0231722,0.0211393,0.0226797,0.0152296,0.00545215,0.00273626,0.00231666,0.0044152,0.00636345,0,0,0,0,0,0.0214556,0.0621934,0,0
