Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,LTHII,LTHIP,IMU_M,
136,0,0,0,0,0.00442222,0.00419018,0,0,0.0387348,0.0101192,0.0144848,0.00196384,0,0,0.00257997,0,0.0190582,0.000924437,0.0507257,0.00683079,0.033691,0.0120468,0.00341504,0.00292347,0.00253367,0.0075566,0.0112763,0.0153795,0.0078636,0.0202132,0.0428452,0.00302037,0.00908881,0.00102794,0.0414702,0.0156406,0.013435,0.00168516,0.00730713,0,0,0.00235768,0,0.012798,0.00363573,0.0742817,0.0207499,0.0218238,0.0129046,0.00353146,0.00648035,0.00970753,0.0498433,0.00382492,0.0139275,0.0245534,0.0280945,0.023396,0.0334579,0.0516356,0.00257552,0.00332946,0.00364303,0.003951,0.00556066,0,0,0,0,0,0.0150527,0.0461544,0,0
137,0,0,0,0,0.00182833,0.00281395,0,0,0.0423069,0.0103482,0.01575,0.00251708,0,0,0.0043881,0,0.0187378,0.00098097,0.0505317,0.00646925,0.0340828,0.0135532,0.00239094,0.00319309,0.0032382,0.00824155,0.0111196,0.0155598,0.00798694,0.0204356,0.046929,0.0042985,0.00881552,0.000963871,0.0378084,0.0160485,0.0194103,0.00423594,0.00504611,0,0,0.00135954,0,0.0128832,0.00400419,0.0755217,0.0151087,0.0194464,0.0100341,0.00131063,0.0057259,0.00548602,0.0496226,0.0133694,0.00781254,0.0298843,0,0.018752,0.0406571,0.0418424,0.00261703,0.00390753,0.00375875,0.00300176,0.00532687,0,0,0,0,0,0.0165773,0.0463238,0,0
138,0,0,0,0,0.00425405,0.0039765,0,0,0.0411676,0.0102908,0.0165313,0.00303044,0,0,0.00292602,0,0.0189278,0.000951574,0.0497318,0.00743963,0.0350143,0.0155225,0.00415831,0.0030382,0.00435703,0.00970928,0.011562,0.0146878,0.00835494,0.0209266,0.0454817,0.00351729,0.00891725,0.000959545,0.0457765,0.0159412,0.0203916,0.00254374,0.00732741,0,0,0.00144365,0,0.0129622,0.00298792,0.072952,0.0199752,0.0203813,0.0139107,0.00498019,0.00696108,0.00920977,0.0496521,0.00512168,0.0128703,0.0260802,0.0296166,0.0269877,0.0339269,0.0527514,0.00320498,0.00261601,0.00352725,0.00406054,0.00589026,0,0,0,0,0,0.0179767,0.0470004,0,0
139,0,0,0,0,0.00439344,0.0041873,0,0,0.0426451,0.0102547,0.0175919,0.00353336,0,0,0.00332674,0,0.0189384,0.000776982,0.0493488,0.00769622,0.0354982,0.0170315,0.00444662,0.00360692,0.00533103,0.0107438,0.0117359,0.0143974,0.00857677,0.021234,0.0474252,0.00377767,0.00893386,0.00102739,0.0448989,0.0159815,0.021858,0.00321552,0.00730404,0,0,0.0012721,0,0.0129604,0.00336315,0.0726208,0.0203472,0.0198657,0.0139229,0.00569935,0.00645932,0.00925133,0.0492157,0.00485142,0.0114842,0.0260035,0.0293273,0.0282572,0.033872,0.0510884,0.00263578,0.00276923,0.00365739,0.0044016,0.00606735,0,0,0,0,0,0.0192482,0.0474176,0,0
140,0,0,0,0,0.00455439,0.00426298,0,0,0.0436267,0.0102476,0.0185256,0.00419944,0,0,0.00360053,0,0.0188607,0.000915795,0.0490164,0.00809351,0.0360196,0.0183629,0.0047839,0.00388164,0.00617314,0.0117332,0.0119362,0.0141589,0.00874131,0.021489,0.0490456,0.00402211,0.00889629,0.00109161,0.0430772,0.0160304,0.0226961,0.0041032,0.00740324,0,0,0.00114625,0,0.0129836,0.00324109,0.072394,0.0201705,0.0194247,0.0132129,0.00629945,0.00654418,0.0092089,0.0487284,0.00406979,0.0103961,0.0254093,0.0286401,0.0294485,0.0332445,0.048597,0.00282244,0.00262549,0.00364225,0.00450395,0.0061566,0,0,0,0,0,0.020324,0.047812,0,0
141,0,0,0,0,0.00474632,0.00447318,0,0,0.0447211,0.0101899,0.0192985,0.00465337,0,0,0.00381434,0,0.018818,0.00110685,0.0486581,0.00837129,0.0365893,0.0195613,0.00502709,0.00416,0.00682769,0.0126745,0.0121409,0.013852,0.00887633,0.0217804,0.0504866,0.00420779,0.00889402,0.0011937,0.0404081,0.0160458,0.022975,0.00480063,0.00748131,0,0,0.00124087,0,0.0130128,0.00314531,0.0720856,0.0195076,0.0192786,0.0117696,0.00690142,0.00648923,0.00920848,0.0480484,0.00318848,0.00960894,0.0242076,0.0282994,0.0299268,0.0323722,0.0451729,0.00290923,0.00248951,0.00359635,0.00472271,0.00627531,0,0,0,0,0,0.0212687,0.0481321,0,0
142,0,0,0,0,0.00499583,0.00464976,0,0,0.0459706,0.0101714,0.0199459,0.00512801,0,0,0.00402221,0,0.0188768,0.00128629,0.0483505,0.00861511,0.0370598,0.020578,0.00517057,0.00457735,0.00757715,0.0135834,0.0123807,0.013456,0.00901789,0.0220207,0.0517742,0.00444402,0.00891033,0.0012876,0.0369156,0.0160534,0.0227556,0.00544702,0.00757504,0,0,0.00141769,0,0.0130491,0.0030801,0.0719043,0.0187706,0.0191874,0.0106396,0.00734278,0.00630677,0.00969413,0.0476756,0.00327964,0.00922261,0.0231395,0.0280833,0.0295714,0.0316033,0.0408346,0.00303716,0.00232692,0.00363716,0.00491793,0.00644829,0,0,0,0,0,0.0220349,0.0483597,0,0
143,0,0,0,0,0.00544247,0.00481157,0,0,0.0469906,0.0101274,0.0204544,0.00531278,0,0,0.00423051,0,0.0188795,0.00140601,0.0481341,0.00906711,0.0372323,0.02135,0.00537472,0.0049768,0.00824072,0.014419,0.0125781,0.0131756,0.00906807,0.0222045,0.0529605,0.0045912,0.00889766,0.00133644,0.0304814,0.0160318,0.0187615,0.00574346,0.00772987,0,0,0.00178251,0,0.0130846,0.00302061,0.0721076,0.0133938,0.0193275,0.00966799,0.0077351,0.00605184,0.0105687,0.0467544,0.0050497,0.00863614,0,0.0282131,0.0280596,0.031373,0.0340437,0.00317053,0.00215101,0.00357104,0.00511479,0.00673487,0,0,0,0,0,0.0225478,0.0484064,0,0
144,0,0,0,0,0.00582248,0.00490617,0,0,0.0479973,0.0100949,0.0208303,0.00537587,0,0,0.0045205,0,0.0187955,0.00153394,0.0478929,0.00968054,0.0373428,0.0217778,0.00542328,0.00543834,0.00864174,0.0149131,0.0127957,0.0132048,0.00918981,0.0224908,0.0543297,0.0047273,0.00884849,0.00132121,0.0247059,0.0160172,0.0162595,0.00621112,0.00783799,0,0,0.00196474,0,0.0131069,0.00291533,0.0723657,0.00899254,0.0193362,0.00949215,0.00785799,0.00574185,0.0114263,0.0460489,0.00706073,0.00862106,0,0.0281174,0.0274075,0,0.0273326,0.00314776,0.00200765,0.00345357,0.00529418,0.00698699,0,0,0,0,0,0.0227676,0.0483557,0,0
145,0,0,0,0,0.00628007,0.00505853,0,0,0.0489093,0.0100523,0.0211636,0.00566744,0,0,0.00483367,0,0.0186983,0.001673,0.0475114,0.0103762,0.037679,0.0218988,0.00547097,0.00592456,0.00885496,0.0151425,0.0131476,0.0133805,0.00946667,0.0229268,0.0557127,0.00477012,0.00882482,0.00130389,0.0202882,0.0160322,0.0152326,0.00721577,0.0081033,0,0,0.00210926,0,0.0131385,0.002823,0.0721915,0.00930896,0.0193777,0.00922072,0.0080863,0.00545777,0.0119448,0.0461279,0.00871424,0.00881844,0,0.0285849,0.0312089,0,0.0218306,0.00299331,0.00184641,0.00333183,0.00556811,0.00736716,0,0,0,0,0,0.0227715,0.0483781,0,0
146,0,0,0,0,0.00571002,0.00480992,0,0,0.0513198,0.0102547,0.0213063,0.00450758,0,0,0.00571641,0,0.0186891,0.00169026,0.047853,0.0103684,0.0367382,0.0213843,0.00383199,0.00699631,0.00844288,0.0143399,0.0125605,0.0133787,0.00899172,0.0227045,0.058711,0.00584353,0.00877303,0.00132301,0.00991191,0.0161252,0.00826581,0.0053637,0.00696621,0,0,0.00191747,0,0.0131491,0.00339229,0.0760226,0.0137116,0.0181519,0.015165,0.00541244,0.00412134,0.0156548,0.0431755,0.0178073,0.0114514,0,0,0.0814165,0,0.011099,0.00226984,0.00223029,0.00338786,0.00520052,0.00647679,0,0,0,0,0,0.022556,0.0476381,0,0
147,0,0,0,0,0.00554746,0.00501979,0,0,0.051966,0.0103908,0.0210923,0.00434354,0,0,0.00644185,0,0.0187582,0.00211321,0.0476359,0.0106932,0.0366577,0.0211512,0.0038121,0.00725055,0.00837634,0.0140904,0.0125747,0.0135355,0.00893458,0.0226427,0.0596331,0.00644467,0.00876299,0.00131574,0.0117493,0.0161229,0.00952573,0.00526296,0.00691549,0,0,0.00198158,0,0.0131332,0.00269776,0.0765447,0.013513,0.0181537,0.0185058,0.00520777,0.00459501,0.0175538,0.0424488,0.0202109,0.0138304,0,0,0,0,0.0129078,0.00277597,0.00188285,0.00321803,0.00542781,0.00621382,0,0,0,0,0,0.022356,0.0475798,0,0
148,0,0,0,0,0.00590164,0.00541745,0,0,0.0516077,0.0102845,0.0205822,0.0045713,0,0,0.00653699,0,0.0188196,0.00207152,0.0472102,0.0110317,0.0367619,0.0208711,0.00406851,0.00759472,0.00822881,0.013861,0.0125959,0.0135733,0.00888832,0.0226216,0.0594574,0.0065657,0.00879926,0.00127929,0.0181633,0.0160225,0.00495611,0.00513404,0.0072624,0,0,0.00231835,0,0.0131239,0.00248235,0.075691,0.00999488,0.0186028,0.0166406,0.0056244,0.00442115,0.0160539,0.0423818,0.0175057,0.0119531,0,0,0.0833263,0.0254898,0.017324,0.00232672,0.00168774,0.00306043,0.00585088,0.00662018,0,0,0,0,0,0.0220117,0.0475589,0,0
149,0,0,0,0,0.00597282,0.00576757,0,0,0.0520776,0.0103258,0.0202293,0.00434517,0,0,0.00702242,0,0.0189707,0.00211561,0.047084,0.0113276,0.0363934,0.0205445,0.00370005,0.00818178,0.00808615,0.01342,0.0123352,0.013557,0.00871723,0.0225045,0.0599421,0.0069255,0.00878525,0.00127795,0.0215901,0.0160311,0.00681921,0.00461953,0.00717924,0,0,0.00255246,0,0.0131405,0.00242537,0.0759864,0.00987261,0.0186994,0.016948,0.00509408,0.00426232,0.0175443,0.0418212,0.0169677,0.0141062,0,0,0.0517069,0,0.0209879,0.00182543,0.00157422,0.00284687,0.00619482,0.00679063,0,0,0,0,0,0.0217707,0.0474224,0,0
150,0,0,0,0,0.00617033,0.00620882,0,0,0.0521375,0.01037,0.019899,0.00403301,0,0,0.00736371,0,0.0190941,0.00214469,0.0469932,0.011655,0.0358521,0.0201109,0.0033125,0.00860302,0.00784852,0.0128514,0.0119548,0.0133862,0.00839093,0.0223219,0.0598193,0.00707598,0.0086885,0.00129177,0.0309158,0.0160097,0.00834092,0.00350147,0.0070926,0,0,0.00299632,0,0.0131604,0.00242583,0.0759865,0.0112906,0.0191997,0,0.00462902,0.00416615,0.016379,0.0419296,0.0147206,0.0123776,0.0148372,0,0.0479648,0,0.0286325,0.00126741,0.00137904,0.0027611,0.00668185,0.00705051,0,0,0,0,0,0.0212913,0.0471386,0,0
151,0,0,0,0,0.00650509,0.00656847,0,0,0.0516822,0.0102683,0.0195124,0.00374727,0,0,0.00764434,0,0.0191314,0.00221442,0.0468467,0.0122122,0.0356008,0.0194559,0.00309821,0.008954,0.00744236,0.0120782,0.0116713,0.0132769,0.0081214,0.0222102,0.059647,0.00715693,0.00869932,0.00135658,0.0351248,0.0159683,0.0115528,0.00276101,0.00704063,0,0,0.00324853,0,0.0131891,0.0023713,0.0756751,0.0093121,0.0196017,0.0104753,0.00424619,0.00384696,0.0163035,0.0419111,0.0119955,0.0129866,0.00811961,0,0.0488411,0.0219603,0.0325695,0.000807446,0.00127629,0.00284774,0.00707988,0.00739852,0,0,0,0,0,0.0205466,0.0468013,0,0
152,0,0,0,0,0.00689265,0.00694897,0,0,0.0513036,0.0101067,0.0190193,0.00316313,0,0,0.00804913,0,0.0190624,0.00230528,0.0469456,0.0128357,0.0351022,0.0186918,0.00281535,0.00943592,0.0070198,0.0112742,0.0114884,0.013117,0.00781899,0.0219162,0.0595215,0.00731037,0.00875766,0.00140978,0.0389148,0.0158871,0.0152554,0.002642,0.00698578,0,0,0.00323205,0,0.0131435,0.00222379,0.0752042,0.0124935,0.0201734,0.00958718,0.00375425,0.00360392,0.0163469,0.0416418,0.0110522,0.0132332,0.00872359,0,0.051152,0.019866,0.0363943,0.000788721,0.0012323,0.00283125,0.00744513,0.00777953,0,0,0,0,0,0.0198144,0.0464632,0,0
